ward,precinct,total,Marilyn F. Johnson,Marilyn F. Johnson Percent,Joseph Robert Papavero,Joseph Robert Papavero Percent,precinct_id
2,52,240,216,90.0,24,10.0,02052
2,53,190,167,87.89,23,12.11,02053
2,54,237,208,87.76,29,12.24,02054
2,55,59,56,94.92,3,5.08,02055
2,56,215,189,87.91,26,12.09,02056
3,1,206,186,90.29,20,9.71,03001
3,2,300,271,90.33,29,9.67,03002
3,3,202,171,84.65,31,15.35,03003
3,4,162,147,90.74,15,9.26,03004
3,5,182,164,90.11,18,9.89,03005
3,6,162,134,82.72,28,17.28,03006
3,7,190,177,93.16,13,6.84,03007
3,8,212,193,91.04,19,8.96,03008
3,9,200,173,86.5,27,13.5,03009
3,10,93,83,89.25,10,10.75,03010
3,11,230,208,90.43,22,9.57,03011
3,12,212,186,87.74,26,12.26,03012
3,13,133,67,50.38,66,49.62,03013
3,14,122,86,70.49,36,29.51,03014
3,15,199,183,91.96,16,8.04,03015
3,16,207,193,93.24,14,6.76,03016
3,17,109,96,88.07,13,11.93,03017
3,18,104,99,95.19,5,4.81,03018
3,19,56,31,55.36,25,44.64,03019
3,20,143,126,88.11,17,11.89,03020
3,21,123,104,84.55,19,15.45,03021
3,22,122,117,95.9,5,4.1,03022
3,23,211,195,92.42,16,7.58,03023
3,24,204,190,93.14,14,6.86,03024
3,25,153,133,86.93,20,13.07,03025
3,26,86,79,91.86,7,8.14,03026
3,27,184,168,91.3,16,8.7,03027
3,28,339,289,85.25,50,14.75,03028
3,29,154,139,90.26,15,9.74,03029
3,30,172,160,93.02,12,6.98,03030
3,31,299,269,89.97,30,10.03,03031
3,32,179,158,88.27,21,11.73,03032
3,33,273,241,88.28,32,11.72,03033
3,34,189,171,90.48,18,9.52,03034
3,35,209,194,92.82,15,7.18,03035
3,36,92,81,88.04,11,11.96,03036
3,37,84,78,92.86,6,7.14,03037
3,38,265,241,90.94,24,9.06,03038
3,39,201,195,97.01,6,2.99,03039
3,40,158,149,94.3,9,5.7,03040
3,41,132,109,82.58,23,17.42,03041
3,42,137,127,92.7,10,7.3,03042
3,43,59,46,77.97,13,22.03,03043
3,44,79,64,81.01,15,18.99,03044
3,45,251,216,86.06,35,13.94,03045
3,46,44,33,75.0,11,25.0,03046
3,47,131,114,87.02,17,12.98,03047
3,48,128,105,82.03,23,17.97,03048
3,49,73,64,87.67,9,12.33,03049
3,50,196,174,88.78,22,11.22,03050
4,1,348,316,90.8,32,9.2,04001
4,2,402,370,92.04,32,7.96,04002
4,3,329,292,88.75,37,11.25,04003
4,4,260,231,88.85,29,11.15,04004
4,5,291,271,93.13,20,6.87,04005
4,6,98,94,95.92,4,4.08,04006
4,7,301,269,89.37,32,10.63,04007
4,8,292,276,94.52,16,5.48,04008
4,9,458,428,93.45,30,6.55,04009
4,10,290,264,91.03,26,8.97,04010
4,11,338,317,93.79,21,6.21,04011
4,12,160,146,91.25,14,8.75,04012
4,13,193,182,94.3,11,5.7,04013
4,14,193,171,88.6,22,11.4,04014
4,15,181,168,92.82,13,7.18,04015
4,16,328,302,92.07,26,7.93,04016
4,17,249,227,91.16,22,8.84,04017
4,18,276,252,91.3,24,8.7,04018
4,19,280,263,93.93,17,6.07,04019
4,20,132,119,90.15,13,9.85,04020
4,21,323,307,95.05,16,4.95,04021
4,22,315,290,92.06,25,7.94,04022
4,23,176,166,94.32,10,5.68,04023
4,24,281,255,90.75,26,9.25,04024
4,25,201,192,95.52,9,4.48,04025
4,26,273,251,91.94,22,8.06,04026
4,27,257,239,93.0,18,7.0,04027
4,28,166,151,90.96,15,9.04,04028
4,29,223,207,92.83,16,7.17,04029
4,30,220,208,94.55,12,5.45,04030
4,31,135,126,93.33,9,6.67,04031
4,32,243,231,95.06,12,4.94,04032
4,33,196,178,90.82,18,9.18,04033
4,34,169,159,94.08,10,5.92,04034
4,35,186,166,89.25,20,10.75,04035
4,36,179,169,94.41,10,5.59,04036
4,37,72,61,84.72,11,15.28,04037
4,38,384,354,92.19,30,7.81,04038
4,39,165,151,91.52,14,8.48,04039
4,40,199,173,86.93,26,13.07,04040
4,41,130,118,90.77,12,9.23,04041
4,42,302,283,93.71,19,6.29,04042
4,43,157,147,93.63,10,6.37,04043
4,44,163,147,90.18,16,9.82,04044
4,45,397,381,95.97,16,4.03,04045
4,46,200,184,92.0,16,8.0,04046
4,47,364,341,93.68,23,6.32,04047
4,48,286,263,91.96,23,8.04,04048
4,49,153,131,85.62,22,14.38,04049
4,50,230,209,90.87,21,9.13,04050
4,51,278,261,93.88,17,6.12,04051
4,52,309,270,87.38,39,12.62,04052
5,1,263,245,93.16,18,6.84,05001
5,2,219,205,93.61,14,6.39,05002
5,3,121,113,93.39,8,6.61,05003
5,4,164,155,94.51,9,5.49,05004
5,5,233,206,88.41,27,11.59,05005
5,6,303,276,91.09,27,8.91,05006
5,7,266,252,94.74,14,5.26,05007
5,8,282,263,93.26,19,6.74,05008
5,9,248,228,91.94,20,8.06,05009
5,10,238,209,87.82,29,12.18,05010
5,11,202,185,91.58,17,8.42,05011
5,12,170,159,93.53,11,6.47,05012
5,13,210,184,87.62,26,12.38,05013
5,14,280,258,92.14,22,7.86,05014
5,15,160,147,91.88,13,8.13,05015
5,16,198,172,86.87,26,13.13,05016
5,17,272,248,91.18,24,8.82,05017
5,18,261,242,92.72,19,7.28,05018
5,19,136,124,91.18,12,8.82,05019
5,20,124,112,90.32,12,9.68,05020
5,21,268,247,92.16,21,7.84,05021
5,22,202,178,88.12,24,11.88,05022
5,23,170,154,90.59,16,9.41,05023
5,24,187,179,95.72,8,4.28,05024
5,25,256,232,90.63,24,9.38,05025
5,26,265,248,93.58,17,6.42,05026
5,27,241,213,88.38,28,11.62,05027
5,28,261,246,94.25,15,5.75,05028
5,29,244,225,92.21,19,7.79,05029
5,30,181,165,91.16,16,8.84,05030
5,31,224,207,92.41,17,7.59,05031
5,32,340,321,94.41,19,5.59,05032
5,33,174,149,85.63,25,14.37,05033
5,34,275,252,91.64,23,8.36,05034
5,35,180,169,93.89,11,6.11,05035
5,36,145,133,91.72,12,8.28,05036
5,37,169,154,91.12,15,8.88,05037
5,38,220,206,93.64,14,6.36,05038
5,39,250,235,94.0,15,6.0,05039
5,40,240,212,88.33,28,11.67,05040
5,41,171,156,91.23,15,8.77,05041
5,42,242,215,88.84,27,11.16,05042
5,43,260,243,93.46,17,6.54,05043
5,44,284,269,94.72,15,5.28,05044
5,45,147,132,89.8,15,10.2,05045
5,46,214,192,89.72,22,10.28,05046
5,47,216,193,89.35,23,10.65,05047
5,48,142,132,92.96,10,7.04,05048
5,49,52,47,90.38,5,9.62,05049
5,50,205,184,89.76,21,10.24,05050
5,51,177,164,92.66,13,7.34,05051
5,52,28,24,85.71,4,14.29,05052
5,53,239,221,92.47,18,7.53,05053
5,54,336,315,93.75,21,6.25,05054
5,55,231,212,91.77,19,8.23,05055
6,1,312,299,95.83,13,4.17,06001
6,2,321,306,95.33,15,4.67,06002
6,3,275,251,91.27,24,8.73,06003
6,4,194,171,88.14,23,11.86,06004
6,5,129,112,86.82,17,13.18,06005
6,6,222,205,92.34,17,7.66,06006
6,7,287,263,91.64,24,8.36,06007
6,8,306,290,94.77,16,5.23,06008
6,9,247,242,97.98,5,2.02,06009
6,10,344,334,97.09,10,2.91,06010
6,11,244,228,93.44,16,6.56,06011
6,12,205,183,89.27,22,10.73,06012
6,13,229,208,90.83,21,9.17,06013
6,14,282,266,94.33,16,5.67,06014
6,15,170,146,85.88,24,14.12,06015
6,16,305,281,92.13,24,7.87,06016
6,17,327,305,93.27,22,6.73,06017
6,18,160,138,86.25,22,13.75,06018
6,19,310,279,90.0,31,10.0,06019
6,20,239,224,93.72,15,6.28,06020
6,21,246,233,94.72,13,5.28,06021
6,22,244,230,94.26,14,5.74,06022
6,23,205,194,94.63,11,5.37,06023
6,24,270,255,94.44,15,5.56,06024
6,25,201,181,90.05,20,9.95,06025
6,26,305,278,91.15,27,8.85,06026
6,27,355,341,96.06,14,3.94,06027
6,28,469,443,94.46,26,5.54,06028
6,29,312,299,95.83,13,4.17,06029
6,30,234,220,94.02,14,5.98,06030
6,31,301,289,96.01,12,3.99,06031
6,32,291,271,93.13,20,6.87,06032
6,33,306,283,92.48,23,7.52,06033
6,34,261,244,93.49,17,6.51,06034
6,35,248,237,95.56,11,4.44,06035
6,36,148,133,89.86,15,10.14,06036
6,37,315,310,98.41,5,1.59,06037
6,38,274,245,89.42,29,10.58,06038
6,39,241,213,88.38,28,11.62,06039
6,40,156,141,90.38,15,9.62,06040
6,41,299,284,94.98,15,5.02,06041
6,42,137,127,92.7,10,7.3,06042
6,43,274,253,92.34,21,7.66,06043
6,44,264,253,95.83,11,4.17,06044
6,45,199,190,95.48,9,4.52,06045
6,46,251,231,92.03,20,7.97,06046
6,47,295,280,94.92,15,5.08,06047
6,48,251,234,93.23,17,6.77,06048
6,49,248,221,89.11,27,10.89,06049
6,50,285,273,95.79,12,4.21,06050
6,51,189,170,89.95,19,10.05,06051
6,52,174,157,90.23,17,9.77,06052
6,53,241,219,90.87,22,9.13,06053
6,54,279,260,93.19,19,6.81,06054
6,55,232,216,93.1,16,6.9,06055
6,56,190,179,94.21,11,5.79,06056
6,57,161,149,92.55,12,7.45,06057
6,58,277,259,93.5,18,6.5,06058
6,59,234,222,94.87,12,5.13,06059
6,60,178,168,94.38,10,5.62,06060
6,61,170,157,92.35,13,7.65,06061
6,62,226,214,94.69,12,5.31,06062
6,63,270,255,94.44,15,5.56,06063
6,64,305,288,94.43,17,5.57,06064
7,1,287,276,96.17,11,3.83,07001
7,2,284,266,93.66,18,6.34,07002
7,3,175,149,85.14,26,14.86,07003
7,4,207,180,86.96,27,13.04,07004
7,5,188,164,87.23,24,12.77,07005
7,6,215,192,89.3,23,10.7,07006
7,7,164,149,90.85,15,9.15,07007
7,8,88,70,79.55,18,20.45,07008
7,9,222,200,90.09,22,9.91,07009
7,10,149,131,87.92,18,12.08,07010
7,11,239,226,94.56,13,5.44,07011
7,12,178,165,92.7,13,7.3,07012
7,13,152,139,91.45,13,8.55,07013
7,14,270,230,85.19,40,14.81,07014
7,15,128,114,89.06,14,10.94,07015
7,16,163,151,92.64,12,7.36,07016
7,17,146,130,89.04,16,10.96,07017
7,18,155,131,84.52,24,15.48,07018
7,19,356,322,90.45,34,9.55,07019
7,20,114,102,89.47,12,10.53,07020
7,21,208,183,87.98,25,12.02,07021
7,22,186,167,89.78,19,10.22,07022
7,23,176,157,89.2,19,10.8,07023
7,24,234,209,89.32,25,10.68,07024
7,25,289,272,94.12,17,5.88,07025
7,26,279,260,93.19,19,6.81,07026
7,27,310,297,95.81,13,4.19,07027
7,28,237,216,91.14,21,8.86,07028
7,29,149,139,93.29,10,6.71,07029
7,30,268,249,92.91,19,7.09,07030
7,31,246,231,93.9,15,6.1,07031
7,32,179,142,79.33,37,20.67,07032
7,33,182,162,89.01,20,10.99,07033
7,34,223,207,92.83,16,7.17,07034
7,35,124,107,86.29,17,13.71,07035
7,36,267,244,91.39,23,8.61,07036
7,37,124,112,90.32,12,9.68,07037
7,38,176,157,89.2,19,10.8,07038
7,39,205,183,89.27,22,10.73,07039
7,40,259,226,87.26,33,12.74,07040
7,41,184,165,89.67,19,10.33,07041
7,42,324,294,90.74,30,9.26,07042
7,43,234,217,92.74,17,7.26,07043
7,44,319,284,89.03,35,10.97,07044
7,45,316,297,93.99,19,6.01,07045
7,46,87,70,80.46,17,19.54,07046
7,47,185,175,94.59,10,5.41,07047
7,48,89,75,84.27,14,15.73,07048
7,49,136,125,91.91,11,8.09,07049
7,50,146,135,92.47,11,7.53,07050
7,51,206,194,94.17,12,5.83,07051
7,52,183,170,92.9,13,7.1,07052
7,53,202,180,89.11,22,10.89,07053
7,54,95,75,78.95,20,21.05,07054
7,55,188,173,92.02,15,7.98,07055
7,56,205,189,92.2,16,7.8,07056
7,57,178,166,93.26,12,6.74,07057
7,58,277,264,95.31,13,4.69,07058
7,59,127,117,92.13,10,7.87,07059
7,60,130,123,94.62,7,5.38,07060
7,61,199,188,94.47,11,5.53,07061
7,62,204,185,90.69,19,9.31,07062
7,63,190,169,88.95,21,11.05,07063
7,64,216,197,91.2,19,8.8,07064
7,65,220,194,88.18,26,11.82,07065
8,1,265,245,92.45,20,7.55,08001
8,2,153,139,90.85,14,9.15,08002
8,3,329,314,95.44,15,4.56,08003
8,4,243,234,96.3,9,3.7,08004
8,5,302,289,95.7,13,4.3,08005
8,6,296,284,95.95,12,4.05,08006
8,7,222,206,92.79,16,7.21,08007
8,8,269,261,97.03,8,2.97,08008
8,9,328,311,94.82,17,5.18,08009
8,10,342,331,96.78,11,3.22,08010
8,11,223,209,93.72,14,6.28,08011
8,12,239,225,94.14,14,5.86,08012
8,13,193,178,92.23,15,7.77,08013
8,14,183,167,91.26,16,8.74,08014
8,15,203,192,94.58,11,5.42,08015
8,16,265,249,93.96,16,6.04,08016
8,17,229,217,94.76,12,5.24,08017
8,18,167,157,94.01,10,5.99,08018
8,19,330,310,93.94,20,6.06,08019
8,20,204,182,89.22,22,10.78,08020
8,21,186,170,91.4,16,8.6,08021
8,22,224,204,91.07,20,8.93,08022
8,23,232,219,94.4,13,5.6,08023
8,24,273,251,91.94,22,8.06,08024
8,25,263,248,94.3,15,5.7,08025
8,26,185,169,91.35,16,8.65,08026
8,27,277,258,93.14,19,6.86,08027
8,28,214,198,92.52,16,7.48,08028
8,29,298,280,93.96,18,6.04,08029
8,30,211,197,93.36,14,6.64,08030
8,31,175,160,91.43,15,8.57,08031
8,32,380,357,93.95,23,6.05,08032
8,33,255,240,94.12,15,5.88,08033
8,34,312,283,90.71,29,9.29,08034
8,35,308,288,93.51,20,6.49,08035
8,36,247,227,91.9,20,8.1,08036
8,37,255,226,88.63,29,11.37,08037
8,38,268,248,92.54,20,7.46,08038
8,39,275,253,92.0,22,8.0,08039
8,40,239,215,89.96,24,10.04,08040
8,41,197,186,94.42,11,5.58,08041
8,42,252,234,92.86,18,7.14,08042
8,43,183,165,90.16,18,9.84,08043
8,44,204,185,90.69,19,9.31,08044
8,45,180,159,88.33,21,11.67,08045
8,46,204,186,91.18,18,8.82,08046
8,47,244,225,92.21,19,7.79,08047
8,48,220,198,90.0,22,10.0,08048
8,49,296,281,94.93,15,5.07,08049
8,50,249,232,93.17,17,6.83,08050
8,51,317,298,94.01,19,5.99,08051
8,52,272,262,96.32,10,3.68,08052
8,53,269,258,95.91,11,4.09,08053
8,54,231,212,91.77,19,8.23,08054
8,55,223,197,88.34,26,11.66,08055
8,56,271,252,92.99,19,7.01,08056
8,57,225,215,95.56,10,4.44,08057
8,58,240,226,94.17,14,5.83,08058
8,59,169,156,92.31,13,7.69,08059
8,60,202,184,91.09,18,8.91,08060
8,61,218,204,93.58,14,6.42,08061
8,62,223,215,96.41,8,3.59,08062
8,63,256,246,96.09,10,3.91,08063
8,64,226,208,92.04,18,7.96,08064
8,65,164,159,96.95,5,3.05,08065
8,66,403,370,91.81,33,8.19,08066
8,67,129,124,96.12,5,3.88,08067
8,68,135,124,91.85,11,8.15,08068
8,69,155,144,92.9,11,7.1,08069
8,70,303,271,89.44,32,10.56,08070
9,1,283,261,92.23,22,7.77,09001
9,2,256,226,88.28,30,11.72,09002
9,3,121,109,90.08,12,9.92,09003
9,4,243,222,91.36,21,8.64,09004
9,5,268,242,90.3,26,9.7,09005
9,6,287,255,88.85,32,11.15,09006
9,7,228,200,87.72,28,12.28,09007
9,8,259,237,91.51,22,8.49,09008
9,9,282,258,91.49,24,8.51,09009
9,10,247,222,89.88,25,10.12,09010
9,11,191,181,94.76,10,5.24,09011
9,12,250,222,88.8,28,11.2,09012
9,13,263,245,93.16,18,6.84,09013
9,14,350,322,92.0,28,8.0,09014
9,15,246,219,89.02,27,10.98,09015
9,16,196,178,90.82,18,9.18,09016
9,17,247,217,87.85,30,12.15,09017
9,18,267,241,90.26,26,9.74,09018
9,19,309,285,92.23,24,7.77,09019
9,20,284,267,94.01,17,5.99,09020
9,21,247,222,89.88,25,10.12,09021
9,22,304,279,91.78,25,8.22,09022
9,23,201,181,90.05,20,9.95,09023
9,24,124,109,87.9,15,12.1,09024
9,25,163,121,74.23,42,25.77,09025
9,26,153,137,89.54,16,10.46,09026
9,27,229,205,89.52,24,10.48,09027
9,28,118,89,75.42,29,24.58,09028
9,29,204,183,89.71,21,10.29,09029
9,30,247,231,93.52,16,6.48,09030
9,31,236,211,89.41,25,10.59,09031
9,32,264,236,89.39,28,10.61,09032
9,33,156,139,89.1,17,10.9,09033
9,34,202,179,88.61,23,11.39,09034
9,35,304,281,92.43,23,7.57,09035
9,36,292,258,88.36,34,11.64,09036
9,37,185,144,77.84,41,22.16,09037
9,38,250,225,90.0,25,10.0,09038
9,39,311,289,92.93,22,7.07,09039
9,40,281,261,92.88,20,7.12,09040
9,41,294,263,89.46,31,10.54,09041
9,42,82,69,84.15,13,15.85,09042
9,43,148,131,88.51,17,11.49,09043
9,44,186,165,88.71,21,11.29,09044
9,45,238,221,92.86,17,7.14,09045
9,46,208,189,90.87,19,9.13,09046
9,47,285,273,95.79,12,4.21,09047
9,48,282,258,91.49,24,8.51,09048
9,49,169,148,87.57,21,12.43,09049
9,50,248,232,93.55,16,6.45,09050
9,51,142,129,90.85,13,9.15,09051
9,52,289,265,91.7,24,8.3,09052
9,53,130,119,91.54,11,8.46,09053
10,1,150,118,78.67,32,21.33,10001
10,2,112,71,63.39,41,36.61,10002
10,3,152,97,63.82,55,36.18,10003
10,4,147,103,70.07,44,29.93,10004
10,5,129,91,70.54,38,29.46,10005
10,6,190,177,93.16,13,6.84,10006
10,7,53,46,86.79,7,13.21,10007
10,8,125,79,63.2,46,36.8,10008
10,9,131,82,62.6,49,37.4,10009
10,10,141,68,48.23,73,51.77,10010
10,11,161,90,55.9,71,44.1,10011
10,12,130,83,63.85,47,36.15,10012
10,13,124,67,54.03,57,45.97,10013
10,14,166,100,60.24,66,39.76,10014
10,15,87,53,60.92,34,39.08,10015
10,16,145,91,62.76,54,37.24,10016
10,17,112,72,64.29,40,35.71,10017
10,18,164,112,68.29,52,31.71,10018
10,19,172,110,63.95,62,36.05,10019
10,20,136,76,55.88,60,44.12,10020
10,21,122,72,59.02,50,40.98,10021
10,22,115,88,76.52,27,23.48,10022
10,23,140,91,65.0,49,35.0,10023
10,24,127,87,68.5,40,31.5,10024
10,25,232,172,74.14,60,25.86,10025
10,26,139,79,56.83,60,43.17,10026
10,27,189,106,56.08,83,43.92,10027
10,28,126,100,79.37,26,20.63,10028
10,29,169,160,94.67,9,5.33,10029
10,30,182,103,56.59,79,43.41,10030
10,31,157,87,55.41,70,44.59,10031
10,32,175,99,56.57,76,43.43,10032
10,33,150,85,56.67,65,43.33,10033
10,34,185,111,60.0,74,40.0,10034
10,35,150,97,64.67,53,35.33,10035
10,36,197,144,73.1,53,26.9,10036
10,37,147,104,70.75,43,29.25,10037
10,38,185,109,58.92,76,41.08,10038
10,39,162,98,60.49,64,39.51,10039
10,40,123,90,73.17,33,26.83,10040
10,41,186,100,53.76,86,46.24,10041
10,42,144,70,48.61,74,51.39,10042
10,43,89,67,75.28,22,24.72,10043
10,44,185,116,62.7,69,37.3,10044
10,45,104,63,60.58,41,39.42,10045
10,46,160,91,56.88,69,43.13,10046
10,47,143,86,60.14,57,39.86,10047
10,48,163,130,79.75,33,20.25,10048
11,1,203,157,77.34,46,22.66,11001
11,2,170,119,70.0,51,30.0,11002
11,3,159,129,81.13,30,18.87,11003
11,4,213,158,74.18,55,25.82,11004
11,5,121,78,64.46,43,35.54,11005
11,6,266,151,56.77,115,43.23,11006
11,7,174,123,70.69,51,29.31,11007
11,8,188,134,71.28,54,28.72,11008
11,9,135,84,62.22,51,37.78,11009
11,10,127,101,79.53,26,20.47,11010
11,11,252,195,77.38,57,22.62,11011
11,12,202,162,80.2,40,19.8,11012
11,13,175,131,74.86,44,25.14,11013
11,14,154,106,68.83,48,31.17,11014
11,15,168,134,79.76,34,20.24,11015
11,16,211,146,69.19,65,30.81,11016
11,17,253,181,71.54,72,28.46,11017
11,18,115,86,74.78,29,25.22,11018
11,19,151,119,78.81,32,21.19,11019
11,20,151,128,84.77,23,15.23,11020
11,21,190,153,80.53,37,19.47,11021
11,22,150,115,76.67,35,23.33,11022
11,23,162,121,74.69,41,25.31,11023
11,24,353,302,85.55,51,14.45,11024
11,25,175,137,78.29,38,21.71,11025
11,26,289,212,73.36,77,26.64,11026
11,27,136,99,72.79,37,27.21,11027
11,28,153,117,76.47,36,23.53,11028
11,29,195,130,66.67,65,33.33,11029
11,30,164,98,59.76,66,40.24,11030
11,31,128,78,60.94,50,39.06,11031
11,32,149,126,84.56,23,15.44,11032
11,33,122,93,76.23,29,23.77,11033
11,34,107,76,71.03,31,28.97,11034
11,35,269,229,85.13,40,14.87,11035
11,36,53,36,67.92,17,32.08,11036
11,37,223,179,80.27,44,19.73,11037
11,38,296,235,79.39,61,20.61,11038
11,39,262,167,63.74,95,36.26,11039
11,40,123,94,76.42,29,23.58,11040
11,41,120,86,71.67,34,28.33,11041
11,42,152,109,71.71,43,28.29,11042
11,43,196,122,62.24,74,37.76,11043
11,44,194,155,79.9,39,20.1,11044
11,45,80,54,67.5,26,32.5,11045
11,46,120,107,89.17,13,10.83,11046
11,47,165,119,72.12,46,27.88,11047
11,48,74,57,77.03,17,22.97,11048
11,49,175,142,81.14,33,18.86,11049
11,50,106,76,71.7,30,28.3,11050
12,1,86,48,55.81,38,44.19,12001
12,2,121,77,63.64,44,36.36,12002
12,3,114,65,57.02,49,42.98,12003
12,4,105,62,59.05,43,40.95,12004
12,5,125,77,61.6,48,38.4,12005
12,6,116,70,60.34,46,39.66,12006
12,7,156,89,57.05,67,42.95,12007
12,8,189,130,68.78,59,31.22,12008
12,9,111,54,48.65,57,51.35,12009
12,10,146,87,59.59,59,40.41,12010
12,11,191,99,51.83,92,48.17,12011
12,12,114,69,60.53,45,39.47,12012
12,13,166,111,66.87,55,33.13,12013
12,14,135,68,50.37,67,49.63,12014
12,15,118,66,55.93,52,44.07,12015
12,16,125,72,57.6,53,42.4,12016
12,17,150,113,75.33,37,24.67,12017
12,18,169,111,65.68,58,34.32,12018
12,19,171,105,61.4,66,38.6,12019
12,20,138,74,53.62,64,46.38,12020
12,21,138,85,61.59,53,38.41,12021
12,22,114,73,64.04,41,35.96,12022
12,23,147,85,57.82,62,42.18,12023
12,24,168,103,61.31,65,38.69,12024
13,1,228,171,75.0,57,25.0,13001
13,2,189,144,76.19,45,23.81,13002
13,3,248,156,62.9,92,37.1,13003
13,4,289,204,70.59,85,29.41,13004
13,5,274,177,64.6,97,35.4,13005
13,6,220,155,70.45,65,29.55,13006
13,7,208,156,75.0,52,25.0,13007
13,8,238,174,73.11,64,26.89,13008
13,9,271,189,69.74,82,30.26,13009
13,10,198,163,82.32,35,17.68,13010
13,11,235,186,79.15,49,20.85,13011
13,12,193,131,67.88,62,32.12,13012
13,13,257,219,85.21,38,14.79,13013
13,14,212,160,75.47,52,24.53,13014
13,15,346,265,76.59,81,23.41,13015
13,16,280,206,73.57,74,26.43,13016
13,17,203,153,75.37,50,24.63,13017
13,18,181,124,68.51,57,31.49,13018
13,19,316,228,72.15,88,27.85,13019
13,20,223,157,70.4,66,29.6,13020
13,21,263,211,80.23,52,19.77,13021
13,22,155,122,78.71,33,21.29,13022
13,23,211,169,80.09,42,19.91,13023
