ward,precinct,total,Rickey R. Hendon,Rickey R. Hendon Percent,Jonathan Singh Bedi,Jonathan Singh Bedi Percent,Amy Sue Mertens,Amy Sue Mertens Percent,precinct_id
27,8,193,168,87.05,11,5.7,14,7.25,27008
27,10,160,125,78.13,15,9.38,20,12.5,27010
27,11,205,99,48.29,29,14.15,77,37.56,27011
27,14,234,192,82.05,14,5.98,28,11.97,27014
27,15,131,107,81.68,11,8.4,13,9.92,27015
27,17,157,23,14.65,53,33.76,81,51.59,27017
27,18,136,37,27.21,27,19.85,72,52.94,27018
27,19,196,151,77.04,20,10.2,25,12.76,27019
27,22,194,169,87.11,13,6.7,12,6.19,27022
27,23,41,34,82.93,5,12.2,2,4.88,27023
27,24,187,160,85.56,6,3.21,21,11.23,27024
27,25,120,90,75.0,12,10.0,18,15.0,27025
27,26,183,146,79.78,15,8.2,22,12.02,27026
27,27,163,123,75.46,15,9.2,25,15.34,27027
27,29,158,132,83.54,14,8.86,12,7.59,27029
27,30,118,90,76.27,10,8.47,18,15.25,27030
27,31,140,111,79.29,7,5.0,22,15.71,27031
27,33,180,119,66.11,22,12.22,39,21.67,27033
27,34,174,147,84.48,11,6.32,16,9.2,27034
27,36,187,140,74.87,14,7.49,33,17.65,27036
27,40,172,144,83.72,11,6.4,17,9.88,27040
27,41,1,0,0.0,1,100.0,0,0.0,27041
27,44,157,125,79.62,15,9.55,17,10.83,27044
27,45,162,134,82.72,11,6.79,17,10.49,27045
27,46,207,176,85.02,14,6.76,17,8.21,27046
27,47,160,132,82.5,12,7.5,16,10.0,27047
27,48,217,187,86.18,14,6.45,16,7.37,27048
27,49,250,189,75.6,23,9.2,38,15.2,27049
27,50,197,55,27.92,33,16.75,109,55.33,27050
27,52,175,149,85.14,8,4.57,18,10.29,27052
27,53,148,70,47.3,19,12.84,59,39.86,27053
27,54,173,58,33.53,29,16.76,86,49.71,27054
27,55,172,142,82.56,9,5.23,21,12.21,27055
27,56,33,17,51.52,2,6.06,14,42.42,27056
27,57,121,48,39.67,29,23.97,44,36.36,27057
27,58,67,21,31.34,13,19.4,33,49.25,27058
28,2,243,195,80.25,26,10.7,22,9.05,28002
28,3,154,121,78.57,10,6.49,23,14.94,28003
28,5,184,141,76.63,14,7.61,29,15.76,28005
28,6,165,133,80.61,19,11.52,13,7.88,28006
28,7,180,128,71.11,25,13.89,27,15.0,28007
28,9,155,115,74.19,19,12.26,21,13.55,28009
28,10,62,55,88.71,0,0.0,7,11.29,28010
28,11,148,106,71.62,26,17.57,16,10.81,28011
28,13,98,77,78.57,10,10.2,11,11.22,28013
28,18,256,217,84.77,19,7.42,20,7.81,28018
28,20,226,189,83.63,17,7.52,20,8.85,28020
28,22,182,153,84.07,8,4.4,21,11.54,28022
28,23,174,138,79.31,11,6.32,25,14.37,28023
28,24,142,113,79.58,14,9.86,15,10.56,28024
28,25,129,103,79.84,13,10.08,13,10.08,28025
28,26,181,139,76.8,20,11.05,22,12.15,28026
28,28,126,86,68.25,16,12.7,24,19.05,28028
28,30,108,91,84.26,5,4.63,12,11.11,28030
28,31,179,142,79.33,16,8.94,21,11.73,28031
28,32,199,162,81.41,15,7.54,22,11.06,28032
28,33,198,145,73.23,12,6.06,41,20.71,28033
28,34,46,20,43.48,11,23.91,15,32.61,28034
28,35,175,150,85.71,14,8.0,11,6.29,28035
28,36,157,128,81.53,12,7.64,17,10.83,28036
28,37,269,228,84.76,17,6.32,24,8.92,28037
28,43,258,217,84.11,12,4.65,29,11.24,28043
28,44,203,173,85.22,16,7.88,14,6.9,28044
28,50,131,114,87.02,6,4.58,11,8.4,28050
28,52,153,115,75.16,14,9.15,24,15.69,28052
28,53,56,33,58.93,6,10.71,17,30.36,28053
28,54,158,134,84.81,8,5.06,16,10.13,28054
28,59,139,113,81.29,11,7.91,15,10.79,28059
28,61,108,69,63.89,15,13.89,24,22.22,28061
32,2,201,44,21.89,32,15.92,125,62.19,32002
32,4,232,31,13.36,29,12.5,172,74.14,32004
32,5,143,35,24.48,19,13.29,89,62.24,32005
32,6,212,73,34.43,33,15.57,106,50.0,32006
32,26,159,42,26.42,28,17.61,89,55.97,32026
32,29,120,31,25.83,15,12.5,74,61.67,32029
32,31,239,53,22.18,28,11.72,158,66.11,32031
32,33,124,30,24.19,29,23.39,65,52.42,32033
32,34,200,51,25.5,26,13.0,123,61.5,32034
32,35,218,49,22.48,23,10.55,146,66.97,32035
32,36,213,32,15.02,38,17.84,143,67.14,32036
32,37,1,1,100.0,0,0.0,0,0.0,32037
32,46,47,17,36.17,5,10.64,25,53.19,32046
32,50,12,2,16.67,0,0.0,10,83.33,32050
32,51,232,52,22.41,28,12.07,152,65.52,32051
32,52,119,19,15.97,10,8.4,90,75.63,32052
37,3,115,74,64.35,14,12.17,27,23.48,37003
37,4,308,229,74.35,43,13.96,36,11.69,37004
37,8,230,145,63.04,55,23.91,30,13.04,37008
37,12,167,121,72.46,14,8.38,32,19.16,37012
37,13,235,167,71.06,29,12.34,39,16.6,37013
37,28,247,174,70.45,43,17.41,30,12.15,37028
42,9,94,24,25.53,15,15.96,55,58.51,42009
42,12,134,33,24.63,12,8.96,89,66.42,42012
42,14,186,52,27.96,23,12.37,111,59.68,42014
42,18,296,69,23.31,63,21.28,164,55.41,42018
42,21,137,29,21.17,30,21.9,78,56.93,42021
42,59,234,63,26.92,46,19.66,125,53.42,42059
42,67,312,78,25.0,51,16.35,183,58.65,42067
42,68,166,33,19.88,35,21.08,98,59.04,42068
42,69,173,47,27.17,52,30.06,74,42.77,42069
43,1,265,83,31.32,52,19.62,130,49.06,43001
43,3,217,44,20.28,24,11.06,149,68.66,43003
43,5,197,46,23.35,24,12.18,127,64.47,43005
43,9,174,44,25.29,32,18.39,98,56.32,43009
43,10,188,37,19.68,39,20.74,112,59.57,43010
43,11,142,25,17.61,16,11.27,101,71.13,43011
43,15,167,28,16.77,25,14.97,114,68.26,43015
43,47,171,51,29.82,26,15.2,94,54.97,43047
43,55,108,57,52.78,8,7.41,43,39.81,43055
