ward,precinct,total,Heather Steans,Heather Steans Percent,Suzanne Elder,Suzanne Elder Percent,precinct_id
48,29,159,116,72.96,43,27.04,48029
48,30,218,130,59.63,88,40.37,48030
48,31,175,102,58.29,73,41.71,48031
48,32,197,137,69.54,60,30.46,48032
48,33,181,121,66.85,60,33.15,48033
48,34,225,146,64.89,79,35.11,48034
48,35,91,61,67.03,30,32.97,48035
48,36,201,114,56.72,87,43.28,48036
48,37,190,113,59.47,77,40.53,48037
48,38,276,196,71.01,80,28.99,48038
48,39,174,107,61.49,67,38.51,48039
48,40,181,96,53.04,85,46.96,48040
48,41,171,120,70.18,51,29.82,48041
48,42,181,119,65.75,62,34.25,48042
48,43,314,208,66.24,106,33.76,48043
48,44,235,155,65.96,80,34.04,48044
48,45,163,106,65.03,57,34.97,48045
48,46,159,100,62.89,59,37.11,48046
48,47,209,129,61.72,80,38.28,48047
48,48,225,135,60.0,90,40.0,48048
48,49,81,56,69.14,25,30.86,48049
48,50,255,170,66.67,85,33.33,48050
48,51,315,221,70.16,94,29.84,48051
48,52,156,97,62.18,59,37.82,48052
48,53,121,78,64.46,43,35.54,48053
48,54,181,116,64.09,65,35.91,48054
49,2,288,185,64.24,103,35.76,49002
49,3,148,101,68.24,47,31.76,49003
49,4,109,74,67.89,35,32.11,49004
49,7,166,100,60.24,66,39.76,49007
49,8,218,142,65.14,76,34.86,49008
49,9,188,126,67.02,62,32.98,49009
49,10,193,121,62.69,72,37.31,49010
49,11,157,84,53.5,73,46.5,49011
49,12,229,131,57.21,98,42.79,49012
49,13,259,165,63.71,94,36.29,49013
49,15,148,108,72.97,40,27.03,49015
49,17,24,7,29.17,17,70.83,49017
49,18,144,83,57.64,61,42.36,49018
49,19,181,113,62.43,68,37.57,49019
49,21,85,42,49.41,43,50.59,49021
49,22,194,134,69.07,60,30.93,49022
49,23,176,114,64.77,62,35.23,49023
49,25,244,162,66.39,82,33.61,49025
49,26,198,131,66.16,67,33.84,49026
49,27,305,205,67.21,100,32.79,49027
49,29,251,153,60.96,98,39.04,49029
49,31,149,107,71.81,42,28.19,49031
49,32,133,84,63.16,49,36.84,49032
49,33,155,94,60.65,61,39.35,49033
49,36,271,171,63.1,100,36.9,49036
49,37,293,179,61.09,114,38.91,49037
49,39,187,111,59.36,76,40.64,49039
49,42,244,150,61.48,94,38.52,49042
50,34,2,1,50.0,1,50.0,50034
