ward,precinct,total,Brian Terrence Sexton,Brian Terrence Sexton Percent,Kim R. Kardas,Kim R. Kardas Percent,John J. ''Jack'' Murphy,John J. ''Jack'' Murphy Percent,Michael B. Hyman,Michael B. Hyman Percent,precinct_id
2,50,122,21,17.21,38,31.15,40,32.79,23,18.85,02050
2,51,183,47,25.68,39,21.31,50,27.32,47,25.68,02051
2,52,228,66,28.95,54,23.68,47,20.61,61,26.75,02052
2,53,186,42,22.58,61,32.8,29,15.59,54,29.03,02053
2,54,223,23,10.31,72,32.29,32,14.35,96,43.05,02054
2,55,57,14,24.56,12,21.05,9,15.79,22,38.6,02055
2,56,194,49,25.26,48,24.74,65,33.51,32,16.49,02056
3,1,197,65,32.99,38,19.29,50,25.38,44,22.34,03001
3,2,267,69,25.84,42,15.73,68,25.47,88,32.96,03002
3,3,188,33,17.55,54,28.72,47,25.0,54,28.72,03003
3,4,156,37,23.72,39,25.0,31,19.87,49,31.41,03004
3,5,167,50,29.94,30,17.96,28,16.77,59,35.33,03005
3,6,154,28,18.18,35,22.73,55,35.71,36,23.38,03006
3,7,170,32,18.82,32,18.82,45,26.47,61,35.88,03007
3,8,198,45,22.73,56,28.28,42,21.21,55,27.78,03008
3,9,197,41,20.81,43,21.83,46,23.35,67,34.01,03009
3,10,88,22,25.0,12,13.64,29,32.95,25,28.41,03010
3,11,220,50,22.73,69,31.36,54,24.55,47,21.36,03011
3,12,203,42,20.69,31,15.27,46,22.66,84,41.38,03012
3,13,131,29,22.14,41,31.3,24,18.32,37,28.24,03013
3,14,110,32,29.09,25,22.73,29,26.36,24,21.82,03014
3,15,188,44,23.4,35,18.62,51,27.13,58,30.85,03015
3,16,195,45,23.08,35,17.95,44,22.56,71,36.41,03016
3,17,111,23,20.72,23,20.72,32,28.83,33,29.73,03017
3,18,88,21,23.86,16,18.18,22,25.0,29,32.95,03018
3,19,53,8,15.09,17,32.08,15,28.3,13,24.53,03019
3,20,139,42,30.22,18,12.95,28,20.14,51,36.69,03020
3,21,106,27,25.47,30,28.3,23,21.7,26,24.53,03021
3,22,121,21,17.36,22,18.18,44,36.36,34,28.1,03022
3,23,197,42,21.32,43,21.83,50,25.38,62,31.47,03023
3,24,222,48,21.62,50,22.52,48,21.62,76,34.23,03024
3,25,141,37,26.24,22,15.6,43,30.5,39,27.66,03025
3,26,82,18,21.95,18,21.95,7,8.54,39,47.56,03026
3,27,179,35,19.55,39,21.79,43,24.02,62,34.64,03027
3,28,327,51,15.6,89,27.22,82,25.08,105,32.11,03028
3,29,152,44,28.95,32,21.05,36,23.68,40,26.32,03029
3,30,162,44,27.16,35,21.6,37,22.84,46,28.4,03030
3,31,285,68,23.86,52,18.25,88,30.88,77,27.02,03031
3,32,164,41,25.0,29,17.68,37,22.56,57,34.76,03032
3,33,260,41,15.77,65,25.0,69,26.54,85,32.69,03033
3,34,171,36,21.05,38,22.22,42,24.56,55,32.16,03034
3,35,202,49,24.26,55,27.23,37,18.32,61,30.2,03035
3,36,82,19,23.17,11,13.41,29,35.37,23,28.05,03036
3,37,80,26,32.5,19,23.75,18,22.5,17,21.25,03037
3,38,250,65,26.0,39,15.6,73,29.2,73,29.2,03038
3,39,197,41,20.81,30,15.23,49,24.87,77,39.09,03039
3,40,153,45,29.41,35,22.88,39,25.49,34,22.22,03040
3,41,113,36,31.86,23,20.35,18,15.93,36,31.86,03041
3,42,135,34,25.19,28,20.74,31,22.96,42,31.11,03042
3,43,50,10,20.0,11,22.0,16,32.0,13,26.0,03043
3,44,72,20,27.78,17,23.61,21,29.17,14,19.44,03044
3,45,229,62,27.07,54,23.58,50,21.83,63,27.51,03045
3,46,38,8,21.05,11,28.95,14,36.84,5,13.16,03046
3,47,120,20,16.67,26,21.67,35,29.17,39,32.5,03047
3,48,106,26,24.53,24,22.64,32,30.19,24,22.64,03048
3,49,70,19,27.14,18,25.71,23,32.86,10,14.29,03049
3,50,178,22,12.36,26,14.61,45,25.28,85,47.75,03050
4,1,310,56,18.06,78,25.16,47,15.16,129,41.61,04001
4,2,370,106,28.65,81,21.89,71,19.19,112,30.27,04002
4,3,307,67,21.82,65,21.17,91,29.64,84,27.36,04003
4,4,249,64,25.7,54,21.69,59,23.69,72,28.92,04004
4,5,265,56,21.13,62,23.4,41,15.47,106,40.0,04005
4,6,96,30,31.25,19,19.79,14,14.58,33,34.38,04006
4,7,287,76,26.48,68,23.69,61,21.25,82,28.57,04007
4,8,273,62,22.71,44,16.12,61,22.34,106,38.83,04008
4,9,415,119,28.67,95,22.89,86,20.72,115,27.71,04009
4,10,255,68,26.67,64,25.1,59,23.14,64,25.1,04010
4,11,313,90,28.75,67,21.41,86,27.48,70,22.36,04011
4,12,154,46,29.87,24,15.58,25,16.23,59,38.31,04012
4,13,189,50,26.46,37,19.58,32,16.93,70,37.04,04013
4,14,184,36,19.57,43,23.37,48,26.09,57,30.98,04014
4,15,171,57,33.33,37,21.64,27,15.79,50,29.24,04015
4,16,305,78,25.57,74,24.26,68,22.3,85,27.87,04016
4,17,227,51,22.47,56,24.67,44,19.38,76,33.48,04017
4,18,255,53,20.78,61,23.92,60,23.53,81,31.76,04018
4,19,258,74,28.68,59,22.87,61,23.64,64,24.81,04019
4,20,127,26,20.47,40,31.5,37,29.13,24,18.9,04020
4,21,308,62,20.13,70,22.73,59,19.16,117,37.99,04021
4,22,292,76,26.03,76,26.03,43,14.73,97,33.22,04022
4,23,164,32,19.51,35,21.34,30,18.29,67,40.85,04023
4,24,242,49,20.25,50,20.66,53,21.9,90,37.19,04024
4,25,178,53,29.78,41,23.03,31,17.42,53,29.78,04025
4,26,265,65,24.53,63,23.77,66,24.91,71,26.79,04026
4,27,249,54,21.69,54,21.69,55,22.09,86,34.54,04027
4,28,158,29,18.35,29,18.35,24,15.19,76,48.1,04028
4,29,208,43,20.67,63,30.29,24,11.54,78,37.5,04029
4,30,210,66,31.43,51,24.29,35,16.67,58,27.62,04030
4,31,132,16,12.12,45,34.09,17,12.88,54,40.91,04031
4,32,231,41,17.75,63,27.27,17,7.36,110,47.62,04032
4,33,183,48,26.23,48,26.23,43,23.5,44,24.04,04033
4,34,161,32,19.88,31,19.25,23,14.29,75,46.58,04034
4,35,182,52,28.57,41,22.53,52,28.57,37,20.33,04035
4,36,162,47,29.01,45,27.78,30,18.52,40,24.69,04036
4,37,75,15,20.0,20,26.67,23,30.67,17,22.67,04037
4,38,360,69,19.17,68,18.89,65,18.06,158,43.89,04038
4,39,159,27,16.98,41,25.79,35,22.01,56,35.22,04039
4,40,197,41,20.81,35,17.77,61,30.96,60,30.46,04040
4,41,118,15,12.71,53,44.92,8,6.78,42,35.59,04041
4,42,276,83,30.07,65,23.55,62,22.46,66,23.91,04042
4,43,146,20,13.7,32,21.92,18,12.33,76,52.05,04043
4,44,147,32,21.77,40,27.21,28,19.05,47,31.97,04044
4,45,376,76,20.21,70,18.62,45,11.97,185,49.2,04045
4,46,179,39,21.79,36,20.11,30,16.76,74,41.34,04046
4,47,328,73,22.26,67,20.43,39,11.89,149,45.43,04047
4,48,276,72,26.09,52,18.84,33,11.96,119,43.12,04048
4,49,156,31,19.87,27,17.31,43,27.56,55,35.26,04049
4,50,215,51,23.72,46,21.4,48,22.33,70,32.56,04050
4,51,249,68,27.31,57,22.89,70,28.11,54,21.69,04051
4,52,295,69,23.39,73,24.75,87,29.49,66,22.37,04052
5,1,233,66,28.33,58,24.89,46,19.74,63,27.04,05001
5,2,201,34,16.92,41,20.4,41,20.4,85,42.29,05002
5,3,115,26,22.61,28,24.35,10,8.7,51,44.35,05003
5,4,152,50,32.89,33,21.71,35,23.03,34,22.37,05004
5,5,218,47,21.56,50,22.94,63,28.9,58,26.61,05005
5,6,286,88,30.77,65,22.73,54,18.88,79,27.62,05006
5,7,258,61,23.64,50,19.38,51,19.77,96,37.21,05007
5,8,273,26,9.52,47,17.22,24,8.79,176,64.47,05008
5,9,228,56,24.56,49,21.49,58,25.44,65,28.51,05009
5,10,223,62,27.8,55,24.66,62,27.8,44,19.73,05010
5,11,200,28,14.0,53,26.5,21,10.5,98,49.0,05011
5,12,158,27,17.09,32,20.25,31,19.62,68,43.04,05012
5,13,193,48,24.87,50,25.91,57,29.53,38,19.69,05013
5,14,269,48,17.84,69,25.65,34,12.64,118,43.87,05014
5,15,150,35,23.33,44,29.33,27,18.0,44,29.33,05015
5,16,173,45,26.01,46,26.59,39,22.54,43,24.86,05016
5,17,257,76,29.57,57,22.18,62,24.12,62,24.12,05017
5,18,246,59,23.98,48,19.51,62,25.2,77,31.3,05018
5,19,133,36,27.07,31,23.31,36,27.07,30,22.56,05019
5,20,122,27,22.13,15,12.3,29,23.77,51,41.8,05020
5,21,253,57,22.53,60,23.72,67,26.48,69,27.27,05021
5,22,193,57,29.53,43,22.28,47,24.35,46,23.83,05022
5,23,166,47,28.31,42,25.3,35,21.08,42,25.3,05023
5,24,177,49,27.68,35,19.77,14,7.91,79,44.63,05024
5,25,245,63,25.71,55,22.45,56,22.86,71,28.98,05025
5,26,252,67,26.59,53,21.03,71,28.17,61,24.21,05026
5,27,232,24,10.34,47,20.26,31,13.36,130,56.03,05027
5,28,241,58,24.07,47,19.5,41,17.01,95,39.42,05028
5,29,221,73,33.03,56,25.34,36,16.29,56,25.34,05029
5,30,175,9,5.14,26,14.86,14,8.0,126,72.0,05030
5,31,213,61,28.64,51,23.94,57,26.76,44,20.66,05031
5,32,297,91,30.64,74,24.92,49,16.5,83,27.95,05032
5,33,160,44,27.5,23,14.38,49,30.63,44,27.5,05033
5,34,263,82,31.18,60,22.81,61,23.19,60,22.81,05034
5,35,166,35,21.08,49,29.52,24,14.46,58,34.94,05035
5,36,135,30,22.22,38,28.15,36,26.67,31,22.96,05036
5,37,169,35,20.71,53,31.36,31,18.34,50,29.59,05037
5,38,202,23,11.39,31,15.35,22,10.89,126,62.38,05038
5,39,244,27,11.07,47,19.26,18,7.38,152,62.3,05039
5,40,232,73,31.47,51,21.98,55,23.71,53,22.84,05040
5,41,164,10,6.1,27,16.46,17,10.37,110,67.07,05041
5,42,228,75,32.89,36,15.79,60,26.32,57,25.0,05042
5,43,238,62,26.05,47,19.75,42,17.65,87,36.55,05043
5,44,260,74,28.46,67,25.77,64,24.62,55,21.15,05044
5,45,141,39,27.66,30,21.28,33,23.4,39,27.66,05045
5,46,205,39,19.02,57,27.8,32,15.61,77,37.56,05046
5,47,201,65,32.34,45,22.39,43,21.39,48,23.88,05047
5,48,131,34,25.95,34,25.95,22,16.79,41,31.3,05048
5,49,54,15,27.78,12,22.22,16,29.63,11,20.37,05049
5,50,193,49,25.39,39,20.21,47,24.35,58,30.05,05050
5,51,170,36,21.18,42,24.71,46,27.06,46,27.06,05051
5,52,27,5,18.52,10,37.04,6,22.22,6,22.22,05052
5,53,226,52,23.01,50,22.12,41,18.14,83,36.73,05053
5,54,310,80,25.81,71,22.9,55,17.74,104,33.55,05054
5,55,206,57,27.67,45,21.84,70,33.98,34,16.5,05055
6,1,283,76,26.86,47,16.61,56,19.79,104,36.75,06001
6,2,308,92,29.87,49,15.91,62,20.13,105,34.09,06002
6,3,263,61,23.19,41,15.59,66,25.1,95,36.12,06003
6,4,189,38,20.11,39,20.63,52,27.51,60,31.75,06004
6,5,117,28,23.93,21,17.95,31,26.5,37,31.62,06005
6,6,203,67,33.0,34,16.75,54,26.6,48,23.65,06006
6,7,255,58,22.75,60,23.53,54,21.18,83,32.55,06007
6,8,294,55,18.71,45,15.31,65,22.11,129,43.88,06008
6,9,230,53,23.04,40,17.39,38,16.52,99,43.04,06009
6,10,311,72,23.15,62,19.94,51,16.4,126,40.51,06010
6,11,224,61,27.23,51,22.77,40,17.86,72,32.14,06011
6,12,188,43,22.87,42,22.34,46,24.47,57,30.32,06012
6,13,217,52,23.96,36,16.59,43,19.82,86,39.63,06013
6,14,265,73,27.55,61,23.02,52,19.62,79,29.81,06014
6,15,153,46,30.07,16,10.46,40,26.14,51,33.33,06015
6,16,286,52,18.18,57,19.93,50,17.48,127,44.41,06016
6,17,302,80,26.49,56,18.54,54,17.88,112,37.09,06017
6,18,153,33,21.57,42,27.45,38,24.84,40,26.14,06018
6,19,293,80,27.3,62,21.16,75,25.6,76,25.94,06019
6,20,224,49,21.88,38,16.96,70,31.25,67,29.91,06020
6,21,240,55,22.92,36,15.0,49,20.42,100,41.67,06021
6,22,235,57,24.26,29,12.34,50,21.28,99,42.13,06022
6,23,184,38,20.65,28,15.22,35,19.02,83,45.11,06023
6,24,255,80,31.37,51,20.0,40,15.69,84,32.94,06024
6,25,181,43,23.76,34,18.78,39,21.55,65,35.91,06025
6,26,275,66,24.0,45,16.36,51,18.55,113,41.09,06026
6,27,343,86,25.07,57,16.62,64,18.66,136,39.65,06027
6,28,436,115,26.38,81,18.58,73,16.74,167,38.3,06028
6,29,288,62,21.53,45,15.63,48,16.67,133,46.18,06029
6,30,229,44,19.21,49,21.4,45,19.65,91,39.74,06030
6,31,292,65,22.26,52,17.81,53,18.15,122,41.78,06031
6,32,267,64,23.97,50,18.73,60,22.47,93,34.83,06032
6,33,294,95,32.31,51,17.35,61,20.75,87,29.59,06033
6,34,244,56,22.95,46,18.85,49,20.08,93,38.11,06034
6,35,241,61,25.31,32,13.28,36,14.94,112,46.47,06035
6,36,138,30,21.74,30,21.74,36,26.09,42,30.43,06036
6,37,291,72,24.74,37,12.71,36,12.37,146,50.17,06037
6,38,263,52,19.77,57,21.67,71,27.0,83,31.56,06038
6,39,219,53,24.2,37,16.89,52,23.74,77,35.16,06039
6,40,144,30,20.83,25,17.36,29,20.14,60,41.67,06040
6,41,284,78,27.46,50,17.61,45,15.85,111,39.08,06041
6,42,130,27,20.77,21,16.15,34,26.15,48,36.92,06042
6,43,265,54,20.38,52,19.62,57,21.51,102,38.49,06043
6,44,251,66,26.29,29,11.55,49,19.52,107,42.63,06044
6,45,193,54,27.98,35,18.13,28,14.51,76,39.38,06045
6,46,247,65,26.32,43,17.41,49,19.84,90,36.44,06046
6,47,284,58,20.42,55,19.37,57,20.07,114,40.14,06047
6,48,238,46,19.33,44,18.49,45,18.91,103,43.28,06048
6,49,227,46,20.26,53,23.35,64,28.19,64,28.19,06049
6,50,278,72,25.9,56,20.14,49,17.63,101,36.33,06050
6,51,175,46,26.29,38,21.71,30,17.14,61,34.86,06051
6,52,166,42,25.3,30,18.07,37,22.29,57,34.34,06052
6,53,222,60,27.03,39,17.57,47,21.17,76,34.23,06053
6,54,265,64,24.15,53,20.0,50,18.87,98,36.98,06054
6,55,227,46,20.26,33,14.54,34,14.98,114,50.22,06055
6,56,178,39,21.91,26,14.61,31,17.42,82,46.07,06056
6,57,135,32,23.7,25,18.52,27,20.0,51,37.78,06057
6,58,271,61,22.51,40,14.76,35,12.92,135,49.82,06058
6,59,210,66,31.43,41,19.52,44,20.95,59,28.1,06059
6,60,162,32,19.75,36,22.22,30,18.52,64,39.51,06060
6,61,160,26,16.25,35,21.88,41,25.63,58,36.25,06061
6,62,204,36,17.65,37,18.14,38,18.63,93,45.59,06062
6,63,251,55,21.91,51,20.32,44,17.53,101,40.24,06063
6,64,286,59,20.63,44,15.38,50,17.48,133,46.5,06064
7,1,272,81,29.78,52,19.12,57,20.96,82,30.15,07001
7,2,264,42,15.91,57,21.59,53,20.08,112,42.42,07002
7,3,171,37,21.64,42,24.56,46,26.9,46,26.9,07003
7,4,203,33,16.26,39,19.21,39,19.21,92,45.32,07004
7,5,184,36,19.57,41,22.28,33,17.93,74,40.22,07005
7,6,198,28,14.14,33,16.67,55,27.78,82,41.41,07006
7,7,155,39,25.16,25,16.13,44,28.39,47,30.32,07007
7,8,78,10,12.82,18,23.08,21,26.92,29,37.18,07008
7,9,211,46,21.8,38,18.01,51,24.17,76,36.02,07009
7,10,144,27,18.75,22,15.28,27,18.75,68,47.22,07010
7,11,219,61,27.85,54,24.66,32,14.61,72,32.88,07011
7,12,163,36,22.09,35,21.47,30,18.4,62,38.04,07012
7,13,138,41,29.71,31,22.46,24,17.39,42,30.43,07013
7,14,242,60,24.79,60,24.79,58,23.97,64,26.45,07014
7,15,127,32,25.2,33,25.98,23,18.11,39,30.71,07015
7,16,154,35,22.73,23,14.94,42,27.27,54,35.06,07016
7,17,135,24,17.78,31,22.96,33,24.44,47,34.81,07017
7,18,142,34,23.94,37,26.06,26,18.31,45,31.69,07018
7,19,323,85,26.32,65,20.12,67,20.74,106,32.82,07019
7,20,98,19,19.39,16,16.33,27,27.55,36,36.73,07020
7,21,197,42,21.32,34,17.26,41,20.81,80,40.61,07021
7,22,174,41,23.56,28,16.09,29,16.67,76,43.68,07022
7,23,164,43,26.22,25,15.24,34,20.73,62,37.8,07023
7,24,218,59,27.06,34,15.6,54,24.77,71,32.57,07024
7,25,272,45,16.54,45,16.54,64,23.53,118,43.38,07025
7,26,266,54,20.3,56,21.05,66,24.81,90,33.83,07026
7,27,292,72,24.66,63,21.58,57,19.52,100,34.25,07027
7,28,227,50,22.03,57,25.11,50,22.03,70,30.84,07028
7,29,141,42,29.79,24,17.02,32,22.7,43,30.5,07029
7,30,247,68,27.53,38,15.38,52,21.05,89,36.03,07030
7,31,237,58,24.47,46,19.41,57,24.05,76,32.07,07031
7,32,168,35,20.83,48,28.57,45,26.79,40,23.81,07032
7,33,169,41,24.26,28,16.57,42,24.85,58,34.32,07033
7,34,218,44,20.18,38,17.43,56,25.69,80,36.7,07034
7,35,120,25,20.83,29,24.17,32,26.67,34,28.33,07035
7,36,259,51,19.69,57,22.01,53,20.46,98,37.84,07036
7,37,119,32,26.89,20,16.81,30,25.21,37,31.09,07037
7,38,168,47,27.98,37,22.02,40,23.81,44,26.19,07038
7,39,185,41,22.16,39,21.08,43,23.24,62,33.51,07039
7,40,243,58,23.87,47,19.34,60,24.69,78,32.1,07040
7,41,178,46,25.84,46,25.84,39,21.91,47,26.4,07041
7,42,301,71,23.59,57,18.94,79,26.25,94,31.23,07042
7,43,216,50,23.15,47,21.76,46,21.3,73,33.8,07043
7,44,288,51,17.71,81,28.13,54,18.75,102,35.42,07044
7,45,291,68,23.37,48,16.49,74,25.43,101,34.71,07045
7,46,83,18,21.69,11,13.25,23,27.71,31,37.35,07046
7,47,176,42,23.86,29,16.48,45,25.57,60,34.09,07047
7,48,87,22,25.29,11,12.64,21,24.14,33,37.93,07048
7,49,131,29,22.14,18,13.74,29,22.14,55,41.98,07049
7,50,136,35,25.74,27,19.85,22,16.18,52,38.24,07050
7,51,194,43,22.16,35,18.04,37,19.07,79,40.72,07051
7,52,169,38,22.49,43,25.44,19,11.24,69,40.83,07052
7,53,180,39,21.67,36,20.0,33,18.33,72,40.0,07053
7,54,96,19,19.79,23,23.96,26,27.08,28,29.17,07054
7,55,182,56,30.77,27,14.84,32,17.58,67,36.81,07055
7,56,193,51,26.42,39,20.21,40,20.73,63,32.64,07056
7,57,171,37,21.64,27,15.79,32,18.71,75,43.86,07057
7,58,268,69,25.75,50,18.66,60,22.39,89,33.21,07058
7,59,124,36,29.03,20,16.13,31,25.0,37,29.84,07059
7,60,124,35,28.23,31,25.0,22,17.74,36,29.03,07060
7,61,189,47,24.87,39,20.63,32,16.93,71,37.57,07061
7,62,187,45,24.06,43,22.99,36,19.25,63,33.69,07062
7,63,183,49,26.78,33,18.03,36,19.67,65,35.52,07063
7,64,196,32,16.33,37,18.88,38,19.39,89,45.41,07064
7,65,207,55,26.57,45,21.74,50,24.15,57,27.54,07065
8,1,241,68,28.22,45,18.67,39,16.18,89,36.93,08001
8,2,141,53,37.59,25,17.73,25,17.73,38,26.95,08002
8,3,318,83,26.1,51,16.04,61,19.18,123,38.68,08003
8,4,225,68,30.22,45,20.0,38,16.89,74,32.89,08004
8,5,279,94,33.69,50,17.92,50,17.92,85,30.47,08005
8,6,282,69,24.47,53,18.79,40,14.18,120,42.55,08006
8,7,202,43,21.29,48,23.76,38,18.81,73,36.14,08007
8,8,256,60,23.44,40,15.63,54,21.09,102,39.84,08008
8,9,308,85,27.6,53,17.21,51,16.56,119,38.64,08009
8,10,314,87,27.71,66,21.02,61,19.43,100,31.85,08010
8,11,215,42,19.53,27,12.56,50,23.26,96,44.65,08011
8,12,233,49,21.03,43,18.45,48,20.6,93,39.91,08012
8,13,177,43,24.29,29,16.38,47,26.55,58,32.77,08013
8,14,168,38,22.62,41,24.4,38,22.62,51,30.36,08014
8,15,188,53,28.19,36,19.15,46,24.47,53,28.19,08015
8,16,258,73,28.29,57,22.09,47,18.22,81,31.4,08016
8,17,219,54,24.66,40,18.26,49,22.37,76,34.7,08017
8,18,159,37,23.27,41,25.79,37,23.27,44,27.67,08018
8,19,303,95,31.35,56,18.48,65,21.45,87,28.71,08019
8,20,169,44,26.04,32,18.93,39,23.08,54,31.95,08020
8,21,174,52,29.89,35,20.11,29,16.67,58,33.33,08021
8,22,210,51,24.29,36,17.14,48,22.86,75,35.71,08022
8,23,214,43,20.09,53,24.77,43,20.09,75,35.05,08023
8,24,263,65,24.71,52,19.77,53,20.15,93,35.36,08024
