ward,precinct,total,Diana L. Kenworthy,Diana L. Kenworthy Percent,John G. Mulroe,John G. Mulroe Percent,Rosaire Marie Hall,Rosaire Marie Hall Percent,precinct_id
39,40,111,35,31.53,45,40.54,31,27.93,39040
39,41,29,13,44.83,11,37.93,5,17.24,39041
39,42,154,23,14.94,90,58.44,41,26.62,39042
39,43,158,59,37.34,50,31.65,49,31.01,39043
39,44,219,120,54.79,47,21.46,52,23.74,39044
39,45,94,42,44.68,23,24.47,29,30.85,39045
39,46,152,63,41.45,48,31.58,41,26.97,39046
39,47,75,37,49.33,21,28.0,17,22.67,39047
40,1,98,58,59.18,22,22.45,18,18.37,40001
40,2,118,53,44.92,38,32.2,27,22.88,40002
40,5,158,70,44.3,59,37.34,29,18.35,40005
40,6,169,85,50.3,46,27.22,38,22.49,40006
40,8,36,19,52.78,9,25.0,8,22.22,40008
40,10,161,74,45.96,47,29.19,40,24.84,40010
40,14,150,72,48.0,45,30.0,33,22.0,40014
40,15,167,74,44.31,50,29.94,43,25.75,40015
40,17,73,34,46.58,24,32.88,15,20.55,40017
40,18,33,20,60.61,3,9.09,10,30.3,40018
40,19,119,49,41.18,39,32.77,31,26.05,40019
40,20,133,75,56.39,44,33.08,14,10.53,40020
40,21,165,83,50.3,44,26.67,38,23.03,40021
40,24,92,48,52.17,18,19.57,26,28.26,40024
40,25,138,43,31.16,62,44.93,33,23.91,40025
40,29,181,79,43.65,78,43.09,24,13.26,40029
40,30,176,93,52.84,60,34.09,23,13.07,40030
40,31,137,47,34.31,69,50.36,21,15.33,40031
40,32,87,41,47.13,24,27.59,22,25.29,40032
40,34,109,48,44.04,33,30.28,28,25.69,40034
40,36,153,74,48.37,39,25.49,40,26.14,40036
40,38,95,47,49.47,29,30.53,19,20.0,40038
40,44,126,54,42.86,43,34.13,29,23.02,40044
40,48,104,50,48.08,33,31.73,21,20.19,40048
40,49,90,37,41.11,26,28.89,27,30.0,40049
41,1,233,43,18.45,168,72.1,22,9.44,41001
41,2,259,48,18.53,190,73.36,21,8.11,41002
41,3,201,69,34.33,106,52.74,26,12.94,41003
41,4,252,41,16.27,185,73.41,26,10.32,41004
41,5,266,46,17.29,184,69.17,36,13.53,41005
41,6,215,32,14.88,138,64.19,45,20.93,41006
41,7,263,61,23.19,169,64.26,33,12.55,41007
41,8,218,56,25.69,131,60.09,31,14.22,41008
41,9,213,83,38.97,89,41.78,41,19.25,41009
41,10,190,40,21.05,99,52.11,51,26.84,41010
41,11,239,57,23.85,158,66.11,24,10.04,41011
41,12,189,72,38.1,77,40.74,40,21.16,41012
41,13,115,42,36.52,41,35.65,32,27.83,41013
41,14,239,48,20.08,139,58.16,52,21.76,41014
41,15,243,46,18.93,180,74.07,17,7.0,41015
41,16,210,50,23.81,121,57.62,39,18.57,41016
41,17,230,59,25.65,133,57.83,38,16.52,41017
41,18,152,49,32.24,69,45.39,34,22.37,41018
41,19,121,42,34.71,65,53.72,14,11.57,41019
41,20,229,74,32.31,109,47.6,46,20.09,41020
41,21,218,68,31.19,118,54.13,32,14.68,41021
41,22,192,43,22.4,124,64.58,25,13.02,41022
41,23,181,56,30.94,98,54.14,27,14.92,41023
41,24,181,76,41.99,74,40.88,31,17.13,41024
41,30,250,81,32.4,126,50.4,43,17.2,41030
41,31,250,51,20.4,170,68.0,29,11.6,41031
41,32,136,37,27.21,47,34.56,52,38.24,41032
41,33,157,63,40.13,69,43.95,25,15.92,41033
41,34,151,34,22.52,93,61.59,24,15.89,41034
41,35,220,60,27.27,127,57.73,33,15.0,41035
41,36,220,72,32.73,116,52.73,32,14.55,41036
41,37,223,54,24.22,126,56.5,43,19.28,41037
41,38,230,75,32.61,116,50.43,39,16.96,41038
41,39,146,39,26.71,72,49.32,35,23.97,41039
41,40,258,45,17.44,186,72.09,27,10.47,41040
41,41,199,54,27.14,110,55.28,35,17.59,41041
41,42,286,41,14.34,217,75.87,28,9.79,41042
41,43,220,66,30.0,114,51.82,40,18.18,41043
41,45,171,68,39.77,73,42.69,30,17.54,41045
41,46,171,49,28.65,89,52.05,33,19.3,41046
41,49,298,45,15.1,237,79.53,16,5.37,41049
41,50,228,56,24.56,128,56.14,44,19.3,41050
41,51,151,50,33.11,77,50.99,24,15.89,41051
41,52,278,77,27.7,155,55.76,46,16.55,41052
41,53,206,65,31.55,102,49.51,39,18.93,41053
41,55,181,39,21.55,118,65.19,24,13.26,41055
41,56,307,39,12.7,246,80.13,22,7.17,41056
45,2,225,83,36.89,106,47.11,36,16.0,45002
45,3,260,123,47.31,105,40.38,32,12.31,45003
45,4,231,70,30.3,108,46.75,53,22.94,45004
45,5,192,73,38.02,92,47.92,27,14.06,45005
45,6,188,75,39.89,70,37.23,43,22.87,45006
45,7,162,59,36.42,60,37.04,43,26.54,45007
45,8,148,54,36.49,61,41.22,33,22.3,45008
45,9,184,62,33.7,91,49.46,31,16.85,45009
45,10,219,58,26.48,84,38.36,77,35.16,45010
45,11,169,72,42.6,65,38.46,32,18.93,45011
45,12,233,61,26.18,84,36.05,88,37.77,45012
45,13,242,123,50.83,91,37.6,28,11.57,45013
45,14,213,81,38.03,71,33.33,61,28.64,45014
45,15,223,92,41.26,96,43.05,35,15.7,45015
45,16,201,113,56.22,46,22.89,42,20.9,45016
45,17,169,55,32.54,78,46.15,36,21.3,45017
45,18,187,86,45.99,68,36.36,33,17.65,45018
45,19,203,63,31.03,110,54.19,30,14.78,45019
45,20,158,77,48.73,54,34.18,27,17.09,45020
45,21,175,71,40.57,77,44.0,27,15.43,45021
45,22,167,58,34.73,82,49.1,27,16.17,45022
45,23,214,86,40.19,99,46.26,29,13.55,45023
45,24,236,88,37.29,96,40.68,52,22.03,45024
45,25,202,92,45.54,72,35.64,38,18.81,45025
45,26,233,130,55.79,61,26.18,42,18.03,45026
45,27,184,68,36.96,84,45.65,32,17.39,45027
45,28,188,82,43.62,49,26.06,57,30.32,45028
45,29,186,82,44.09,58,31.18,46,24.73,45029
45,30,177,73,41.24,72,40.68,32,18.08,45030
45,31,192,72,37.5,70,36.46,50,26.04,45031
45,32,128,36,28.13,66,51.56,26,20.31,45032
45,33,170,71,41.76,71,41.76,28,16.47,45033
45,34,147,42,28.57,63,42.86,42,28.57,45034
45,35,163,64,39.26,65,39.88,34,20.86,45035
45,36,160,60,37.5,48,30.0,52,32.5,45036
45,37,189,74,39.15,62,32.8,53,28.04,45037
45,38,226,110,48.67,77,34.07,39,17.26,45038
45,39,216,117,54.17,59,27.31,40,18.52,45039
45,40,233,111,47.64,75,32.19,47,20.17,45040
45,41,135,64,47.41,43,31.85,28,20.74,45041
45,42,197,83,42.13,76,38.58,38,19.29,45042
45,43,170,55,32.35,80,47.06,35,20.59,45043
45,44,224,48,21.43,135,60.27,41,18.3,45044
45,45,134,56,41.79,47,35.07,31,23.13,45045
45,46,211,88,41.71,73,34.6,50,23.7,45046
45,47,210,113,53.81,54,25.71,43,20.48,45047
45,48,182,77,42.31,69,37.91,36,19.78,45048
45,49,196,74,37.76,79,40.31,43,21.94,45049
45,50,146,51,34.93,72,49.32,23,15.75,45050
45,51,172,58,33.72,91,52.91,23,13.37,45051
45,52,189,70,37.04,89,47.09,30,15.87,45052
45,53,154,69,44.81,58,37.66,27,17.53,45053
46,21,75,32,42.67,29,38.67,14,18.67,46021
47,1,218,109,50.0,60,27.52,49,22.48,47001
47,2,165,70,42.42,54,32.73,41,24.85,47002
47,3,170,84,49.41,44,25.88,42,24.71,47003
47,4,239,118,49.37,92,38.49,29,12.13,47004
47,5,202,135,66.83,35,17.33,32,15.84,47005
47,6,242,147,60.74,63,26.03,32,13.22,47006
47,7,190,105,55.26,64,33.68,21,11.05,47007
47,8,275,187,68.0,51,18.55,37,13.45,47008
47,9,187,111,59.36,50,26.74,26,13.9,47009
47,10,154,73,47.4,43,27.92,38,24.68,47010
47,11,385,269,69.87,57,14.81,59,15.32,47011
47,12,167,89,53.29,40,23.95,38,22.75,47012
47,13,326,235,72.09,67,20.55,24,7.36,47013
47,14,156,75,48.08,43,27.56,38,24.36,47014
47,16,207,117,56.52,60,28.99,30,14.49,47016
47,17,205,102,49.76,65,31.71,38,18.54,47017
47,19,262,175,66.79,57,21.76,30,11.45,47019
47,20,231,148,64.07,51,22.08,32,13.85,47020
47,21,8,5,62.5,0,0.0,3,37.5,47021
47,22,213,129,60.56,50,23.47,34,15.96,47022
47,25,213,132,61.97,48,22.54,33,15.49,47025
47,26,308,155,50.32,75,24.35,78,25.32,47026
47,27,175,102,58.29,53,30.29,20,11.43,47027
47,28,326,231,70.86,49,15.03,46,14.11,47028
47,29,234,152,64.96,58,24.79,24,10.26,47029
47,30,248,164,66.13,46,18.55,38,15.32,47030
47,31,219,129,58.9,45,20.55,45,20.55,47031
47,32,248,164,66.13,49,19.76,35,14.11,47032
47,33,212,111,52.36,67,31.6,34,16.04,47033
47,34,267,172,64.42,51,19.1,44,16.48,47034
47,35,265,145,54.72,74,27.92,46,17.36,47035
47,36,289,135,46.71,90,31.14,64,22.15,47036
47,37,248,141,56.85,71,28.63,36,14.52,47037
47,38,244,155,63.52,45,18.44,44,18.03,47038
47,39,220,134,60.91,51,23.18,35,15.91,47039
47,42,169,89,52.66,49,28.99,31,18.34,47042
47,43,153,85,55.56,52,33.99,16,10.46,47043
47,45,206,110,53.4,62,30.1,34,16.5,47045
47,46,145,68,46.9,52,35.86,25,17.24,47046
47,47,190,98,51.58,55,28.95,37,19.47,47047
47,48,31,14,45.16,9,29.03,8,25.81,47048
47,49,121,60,49.59,39,32.23,22,18.18,47049
47,50,145,83,57.24,48,33.1,14,9.66,47050
47,51,134,77,57.46,37,27.61,20,14.93,47051
47,52,97,47,48.45,22,22.68,28,28.87,47052
48,49,6,2,33.33,2,33.33,2,33.33,48049
50,8,153,72,47.06,41,26.8,40,26.14,50008
50,23,133,64,48.12,29,21.8,40,30.08,50023
50,29,172,82,47.67,50,29.07,40,23.26,50029
50,45,26,15,57.69,4,15.38,7,26.92,50045
