ward,precinct,total,Enoch Clarke-Bey (Clinton),Enoch Clarke-Bey (Clinton) Percent,Alice J. Palmer (Clinton),Alice J. Palmer (Clinton) Percent,Dante Sawyer (Clinton),Dante Sawyer (Clinton) Percent,Mercedes Mallette (Clinton),Mercedes Mallette (Clinton) Percent,"William Payton, Sr. (Clinton)","William Payton, Sr. (Clinton) Percent",Lupe M. Perez (Clinton),Lupe M. Perez (Clinton) Percent,Bernard McCann (Clinton),Bernard McCann (Clinton) Percent,Malissa Rainey (Clinton),Malissa Rainey (Clinton) Percent,Carrie Austin (Obama),Carrie Austin (Obama) Percent,Anthony A. Beale (Obama),Anthony A. Beale (Obama) Percent,Michael Eaddy (Obama),Michael Eaddy (Obama) Percent,Leslie A. Hairston (Obama),Leslie A. Hairston (Obama) Percent,Cheryle Jackson (Obama),Cheryle Jackson (Obama) Percent,Sandi Jackson (Obama),Sandi Jackson (Obama) Percent,James T. Meeks (Obama),James T. Meeks (Obama) Percent,"Willie ''Bill'' Williams, Jr. (Obama)","Willie ''Bill'' Williams, Jr. (Obama) Percent",Adam Avrushin (Richardson),Adam Avrushin (Richardson) Percent,Joan Donahue (Richardson),Joan Donahue (Richardson) Percent,precinct_id
9,18,2078,18,0.87,24,1.15,22,1.06,19,0.91,24,1.15,18,0.87,21,1.01,22,1.06,224,10.78,244,11.74,226,10.88,234,11.26,234,11.26,239,11.5,252,12.13,231,11.12,15,0.72,11,0.53,09018
9,19,2515,14,0.56,17,0.68,21,0.83,12,0.48,22,0.87,17,0.68,12,0.48,18,0.72,271,10.78,306,12.17,285,11.33,289,11.49,299,11.89,295,11.73,309,12.29,287,11.41,23,0.91,18,0.72,09019
9,20,2288,15,0.66,16,0.7,17,0.74,14,0.61,16,0.7,17,0.74,13,0.57,15,0.66,251,10.97,286,12.5,259,11.32,267,11.67,269,11.76,272,11.89,275,12.02,261,11.41,12,0.52,13,0.57,09020
9,21,1903,17,0.89,30,1.58,27,1.42,20,1.05,20,1.05,16,0.84,22,1.16,23,1.21,185,9.72,239,12.56,203,10.67,210,11.04,206,10.83,219,11.51,224,11.77,205,10.77,22,1.16,15,0.79,09021
9,22,2462,13,0.53,22,0.89,18,0.73,16,0.65,20,0.81,18,0.73,11,0.45,20,0.81,274,11.13,297,12.06,280,11.37,282,11.45,298,12.1,293,11.9,295,11.98,280,11.37,11,0.45,14,0.57,09022
9,23,1530,11,0.72,17,1.11,16,1.05,13,0.85,21,1.37,13,0.85,8,0.52,12,0.78,158,10.33,196,12.81,167,10.92,168,10.98,173,11.31,176,11.5,193,12.61,168,10.98,12,0.78,8,0.52,09023
9,24,1144,11,0.96,10,0.87,11,0.96,9,0.79,10,0.87,9,0.79,11,0.96,8,0.7,122,10.66,148,12.94,127,11.1,124,10.84,126,11.01,130,11.36,143,12.5,132,11.54,8,0.7,5,0.44,09024
9,25,1463,53,3.62,64,4.37,46,3.14,52,3.55,52,3.55,60,4.1,50,3.42,52,3.55,119,8.13,143,9.77,124,8.48,128,8.75,127,8.68,127,8.68,117,8.0,121,8.27,14,0.96,14,0.96,09025
9,26,1244,11,0.88,13,1.05,8,0.64,9,0.72,17,1.37,10,0.8,12,0.96,12,0.96,132,10.61,147,11.82,136,10.93,138,11.09,145,11.66,143,11.5,155,12.46,144,11.58,5,0.4,7,0.56,09026
9,27,1718,12,0.7,23,1.34,18,1.05,13,0.76,18,1.05,13,0.76,15,0.87,12,0.7,191,11.12,212,12.34,186,10.83,192,11.18,193,11.23,201,11.7,217,12.63,185,10.77,8,0.47,9,0.52,09027
9,28,806,28,3.47,31,3.85,28,3.47,29,3.6,26,3.23,46,5.71,25,3.1,26,3.23,60,7.44,84,10.42,69,8.56,66,8.19,68,8.44,69,8.56,75,9.31,65,8.06,5,0.62,6,0.74,09028
9,29,2037,8,0.39,11,0.54,9,0.44,9,0.44,10,0.49,8,0.39,7,0.34,8,0.39,236,11.59,247,12.13,245,12.03,245,12.03,245,12.03,246,12.08,251,12.32,244,11.98,5,0.25,3,0.15,09029
