ward,precinct,total,Stephen Stern,Stephen Stern Percent,Dominique C. Ross,Dominique C. Ross Percent,precinct_id
15,2,134,57,42.54,77,57.46,15002
15,3,149,67,44.97,82,55.03,15003
15,4,131,53,40.46,78,59.54,15004
15,5,143,65,45.45,78,54.55,15005
15,7,135,71,52.59,64,47.41,15007
15,12,94,42,44.68,52,55.32,15012
15,17,169,71,42.01,98,57.99,15017
15,18,93,47,50.54,46,49.46,15018
15,19,135,58,42.96,77,57.04,15019
15,20,127,66,51.97,61,48.03,15020
15,21,160,85,53.13,75,46.88,15021
15,23,132,59,44.7,73,55.3,15023
15,26,155,54,34.84,101,65.16,15026
15,31,127,48,37.8,79,62.2,15031
15,33,99,47,47.47,52,52.53,15033
15,34,102,43,42.16,59,57.84,15034
15,35,143,59,41.26,84,58.74,15035
15,36,132,60,45.45,72,54.55,15036
15,37,118,51,43.22,67,56.78,15037
15,39,166,69,41.57,97,58.43,15039
15,40,137,73,53.28,64,46.72,15040
15,42,103,44,42.72,59,57.28,15042
15,43,109,43,39.45,66,60.55,15043
15,46,108,40,37.04,68,62.96,15046
15,47,157,79,50.32,78,49.68,15047
15,51,45,16,35.56,29,64.44,15051
15,52,71,24,33.8,47,66.2,15052
16,3,110,48,43.64,62,56.36,16003
16,5,141,71,50.35,70,49.65,16005
16,6,73,29,39.73,44,60.27,16006
16,8,150,58,38.67,92,61.33,16008
16,9,200,109,54.5,91,45.5,16009
16,10,243,103,42.39,140,57.61,16010
16,12,115,50,43.48,65,56.52,16012
16,14,161,69,42.86,92,57.14,16014
16,15,197,80,40.61,117,59.39,16015
16,16,145,58,40.0,87,60.0,16016
16,18,161,73,45.34,88,54.66,16018
16,19,197,84,42.64,113,57.36,16019
16,20,135,54,40.0,81,60.0,16020
16,22,121,53,43.8,68,56.2,16022
16,24,50,17,34.0,33,66.0,16024
16,25,112,45,40.18,67,59.82,16025
16,26,139,66,47.48,73,52.52,16026
16,27,167,76,45.51,91,54.49,16027
16,28,168,90,53.57,78,46.43,16028
16,29,126,59,46.83,67,53.17,16029
16,30,151,66,43.71,85,56.29,16030
16,31,152,64,42.11,88,57.89,16031
16,33,120,53,44.17,67,55.83,16033
16,34,129,47,36.43,82,63.57,16034
16,36,144,61,42.36,83,57.64,16036
16,37,110,45,40.91,65,59.09,16037
16,38,93,38,40.86,55,59.14,16038
16,40,181,94,51.93,87,48.07,16040
16,41,83,39,46.99,44,53.01,16041
16,43,186,84,45.16,102,54.84,16043
16,44,3,2,66.67,1,33.33,16044
17,1,103,41,39.81,62,60.19,17001
17,6,131,57,43.51,74,56.49,17006
17,8,145,68,46.9,77,53.1,17008
17,13,118,42,35.59,76,64.41,17013
17,14,151,65,43.05,86,56.95,17014
17,16,138,62,44.93,76,55.07,17016
17,17,135,54,40.0,81,60.0,17017
17,19,72,43,59.72,29,40.28,17019
17,34,130,58,44.62,72,55.38,17034
17,36,95,51,53.68,44,46.32,17036
17,39,139,83,59.71,56,40.29,17039
17,41,137,58,42.34,79,57.66,17041
17,42,143,69,48.25,74,51.75,17042
17,43,136,58,42.65,78,57.35,17043
17,45,128,51,39.84,77,60.16,17045
17,46,188,76,40.43,112,59.57,17046
17,49,90,35,38.89,55,61.11,17049
17,58,130,63,48.46,67,51.54,17058
20,1,188,84,44.68,104,55.32,20001
20,2,178,95,53.37,83,46.63,20002
20,3,157,71,45.22,86,54.78,20003
20,5,115,49,42.61,66,57.39,20005
20,6,219,90,41.1,129,58.9,20006
20,7,63,33,52.38,30,47.62,20007
20,9,211,101,47.87,110,52.13,20009
20,10,158,91,57.59,67,42.41,20010
20,11,149,69,46.31,80,53.69,20011
20,12,90,41,45.56,49,54.44,20012
20,13,117,48,41.03,69,58.97,20013
20,14,257,126,49.03,131,50.97,20014
20,16,268,123,45.9,145,54.1,20016
20,17,140,83,59.29,57,40.71,20017
20,18,146,59,40.41,87,59.59,20018
20,19,149,64,42.95,85,57.05,20019
20,20,114,42,36.84,72,63.16,20020
20,22,250,100,40.0,150,60.0,20022
20,23,192,96,50.0,96,50.0,20023
20,24,209,71,33.97,138,66.03,20024
20,25,144,64,44.44,80,55.56,20025
20,26,185,87,47.03,98,52.97,20026
20,27,98,37,37.76,61,62.24,20027
20,28,190,80,42.11,110,57.89,20028
20,29,218,85,38.99,133,61.01,20029
20,30,178,64,35.96,114,64.04,20030
20,31,179,92,51.4,87,48.6,20031
20,32,162,79,48.77,83,51.23,20032
20,33,184,75,40.76,109,59.24,20033
20,34,255,110,43.14,145,56.86,20034
20,35,84,39,46.43,45,53.57,20035
20,36,155,68,43.87,87,56.13,20036
20,37,184,85,46.2,99,53.8,20037
20,38,19,8,42.11,11,57.89,20038
20,39,143,49,34.27,94,65.73,20039
20,40,140,79,56.43,61,43.57,20040
20,41,4,1,25.0,3,75.0,20041
20,42,162,88,54.32,74,45.68,20042
20,43,34,22,64.71,12,35.29,20043
20,44,182,68,37.36,114,62.64,20044
20,45,127,57,44.88,70,55.12,20045
20,46,149,61,40.94,88,59.06,20046
20,47,147,71,48.3,76,51.7,20047
20,48,77,29,37.66,48,62.34,20048
20,49,145,62,42.76,83,57.24,20049
20,50,106,52,49.06,54,50.94,20050
