ward,precinct,total,Mariyana T. Spyropoulos,Mariyana T. Spyropoulos Percent,Kathleen Therese Meany,Kathleen Therese Meany Percent,Frank Avila,Frank Avila Percent,Dean T. Maragos,Dean T. Maragos Percent,Cynthia M. Santos,Cynthia M. Santos Percent,Diane Jones,Diane Jones Percent,Matthew Podgorski,Matthew Podgorski Percent,precinct_id
1,22,422,64,15.17,46,10.9,86,20.38,46,10.9,106,25.12,30,7.11,23,5.45,01022
1,23,359,59,16.43,34,9.47,75,20.89,39,10.86,80,22.28,29,8.08,19,5.29,01023
1,24,685,108,15.77,77,11.24,145,21.17,68,9.93,147,21.46,57,8.32,43,6.28,01024
1,25,356,56,15.73,40,11.24,61,17.13,45,12.64,76,21.35,40,11.24,16,4.49,01025
1,26,340,72,21.18,38,11.18,63,18.53,38,11.18,58,17.06,23,6.76,23,6.76,01026
1,27,206,25,12.14,22,10.68,44,21.36,20,9.71,55,26.7,20,9.71,10,4.85,01027
1,28,247,43,17.41,39,15.79,36,14.57,22,8.91,39,15.79,39,15.79,16,6.48,01028
1,29,377,65,17.24,33,8.75,81,21.49,47,12.47,83,22.02,30,7.96,23,6.1,01029
1,30,664,102,15.36,66,9.94,152,22.89,81,12.2,135,20.33,59,8.89,33,4.97,01030
1,31,427,108,25.29,57,13.35,60,14.05,38,8.9,61,14.29,32,7.49,38,8.9,01031
1,32,353,47,13.31,29,8.22,81,22.95,24,6.8,102,28.9,34,9.63,17,4.82,01032
1,33,440,81,18.41,42,9.55,92,20.91,32,7.27,112,25.45,35,7.95,24,5.45,01033
1,34,274,52,18.98,33,12.04,48,17.52,25,9.12,60,21.9,22,8.03,14,5.11,01034
1,35,265,46,17.36,35,13.21,49,18.49,37,13.96,41,15.47,16,6.04,23,8.68,01035
1,36,391,68,17.39,61,15.6,71,18.16,35,8.95,74,18.93,29,7.42,28,7.16,01036
1,37,315,61,19.37,36,11.43,61,19.37,37,11.75,49,15.56,26,8.25,27,8.57,01037
1,38,277,46,16.61,28,10.11,64,23.1,26,9.39,64,23.1,23,8.3,11,3.97,01038
1,39,430,65,15.12,47,10.93,106,24.65,40,9.3,96,22.33,34,7.91,23,5.35,01039
1,40,219,31,14.16,25,11.42,45,20.55,14,6.39,55,25.11,12,5.48,19,8.68,01040
1,41,405,65,16.05,43,10.62,84,20.74,36,8.89,95,23.46,28,6.91,32,7.9,01041
1,42,331,57,17.22,40,12.08,63,19.03,39,11.78,66,19.94,30,9.06,13,3.93,01042
1,43,294,40,13.61,32,10.88,62,21.09,34,11.56,70,23.81,24,8.16,19,6.46,01043
1,44,342,64,18.71,50,14.62,55,16.08,29,8.48,71,20.76,27,7.89,31,9.06,01044
1,45,451,67,14.86,41,9.09,97,21.51,50,11.09,113,25.06,32,7.1,26,5.76,01045
1,46,449,86,19.15,56,12.47,78,17.37,44,9.8,77,17.15,32,7.13,46,10.24,01046
1,47,408,83,20.34,55,13.48,66,16.18,46,11.27,70,17.16,27,6.62,34,8.33,01047
1,48,225,33,14.67,23,10.22,47,20.89,24,10.67,43,19.11,20,8.89,25,11.11,01048
1,49,166,33,19.88,21,12.65,27,16.27,19,11.45,31,18.67,15,9.04,10,6.02,01049
1,50,330,59,17.88,38,11.52,53,16.06,37,11.21,71,21.52,24,7.27,36,10.91,01050
2,1,726,157,21.63,108,14.88,107,14.74,62,8.54,99,13.64,76,10.47,60,8.26,02001
2,2,137,18,13.14,20,14.6,17,12.41,9,6.57,20,14.6,33,24.09,8,5.84,02002
2,3,582,116,19.93,81,13.92,64,11.0,45,7.73,85,14.6,94,16.15,45,7.73,02003
2,4,328,62,18.9,30,9.15,31,9.45,10,3.05,33,10.06,125,38.11,7,2.13,02004
2,5,613,74,12.07,80,13.05,58,9.46,42,6.85,87,14.19,169,27.57,23,3.75,02005
2,6,679,149,21.94,91,13.4,111,16.35,89,13.11,91,13.4,57,8.39,42,6.19,02006
2,7,664,70,10.54,82,12.35,81,12.2,60,9.04,101,15.21,169,25.45,21,3.16,02007
2,8,737,135,18.32,104,14.11,113,15.33,60,8.14,112,15.2,100,13.57,56,7.6,02008
2,9,493,91,18.46,54,10.95,61,12.37,35,7.1,78,15.82,111,22.52,21,4.26,02009
2,10,413,66,15.98,47,11.38,48,11.62,27,6.54,37,8.96,128,30.99,15,3.63,02010
2,11,874,174,19.91,120,13.73,151,17.28,107,12.24,93,10.64,86,9.84,66,7.55,02011
2,12,632,136,21.52,88,13.92,100,15.82,61,9.65,82,12.97,52,8.23,57,9.02,02012
2,13,571,97,16.99,70,12.26,89,15.59,50,8.76,60,10.51,113,19.79,37,6.48,02013
2,14,823,109,13.24,94,11.42,92,11.18,71,8.63,112,13.61,182,22.11,51,6.2,02014
2,15,263,34,12.93,29,11.03,34,12.93,15,5.7,34,12.93,72,27.38,5,1.9,02015
2,16,585,115,19.66,84,14.36,91,15.56,63,10.77,86,14.7,55,9.4,51,8.72,02016
2,17,404,69,17.08,46,11.39,40,9.9,20,4.95,51,12.62,123,30.45,11,2.72,02017
2,18,584,114,19.52,86,14.73,87,14.9,41,7.02,73,12.5,88,15.07,44,7.53,02018
2,19,603,115,19.07,81,13.43,82,13.6,71,11.77,82,13.6,68,11.28,56,9.29,02019
2,20,632,84,13.29,68,10.76,81,12.82,44,6.96,96,15.19,145,22.94,32,5.06,02020
2,21,558,91,16.31,73,13.08,68,12.19,44,7.89,55,9.86,126,22.58,36,6.45,02021
2,22,854,159,18.62,98,11.48,135,15.81,73,8.55,122,14.29,121,14.17,58,6.79,02022
2,23,406,63,15.52,52,12.81,48,11.82,28,6.9,48,11.82,95,23.4,19,4.68,02023
2,24,359,60,16.71,45,12.53,55,15.32,28,7.8,52,14.48,61,16.99,21,5.85,02024
2,25,713,148,20.76,78,10.94,101,14.17,38,5.33,103,14.45,150,21.04,48,6.73,02025
2,26,436,64,14.68,55,12.61,53,12.16,38,8.72,63,14.45,90,20.64,26,5.96,02026
2,27,389,55,14.14,44,11.31,41,10.54,33,8.48,39,10.03,115,29.56,16,4.11,02027
2,28,303,66,21.78,44,14.52,44,14.52,28,9.24,43,14.19,29,9.57,18,5.94,02028
2,29,317,48,15.14,44,13.88,38,11.99,32,10.09,33,10.41,67,21.14,24,7.57,02029
2,30,591,115,19.46,68,11.51,85,14.38,66,11.17,83,14.04,66,11.17,53,8.97,02030
2,31,645,80,12.4,62,9.61,85,13.18,45,6.98,84,13.02,155,24.03,29,4.5,02031
2,32,249,33,13.25,30,12.05,31,12.45,21,8.43,36,14.46,65,26.1,7,2.81,02032
2,33,327,42,12.84,48,14.68,34,10.4,12,3.67,48,14.68,89,27.22,13,3.98,02033
2,34,428,56,13.08,40,9.35,35,8.18,31,7.24,48,11.21,149,34.81,20,4.67,02034
2,35,152,37,24.34,24,15.79,19,12.5,18,11.84,23,15.13,16,10.53,8,5.26,02035
2,36,663,101,15.23,87,13.12,100,15.08,72,10.86,90,13.57,97,14.63,55,8.3,02036
2,37,521,124,23.8,74,14.2,84,16.12,50,9.6,62,11.9,52,9.98,34,6.53,02037
2,38,712,132,18.54,104,14.61,99,13.9,81,11.38,107,15.03,80,11.24,57,8.01,02038
2,39,522,91,17.43,64,12.26,66,12.64,48,9.2,85,16.28,101,19.35,30,5.75,02039
2,40,790,132,16.71,102,12.91,112,14.18,67,8.48,126,15.95,115,14.56,59,7.47,02040
2,41,262,29,11.07,42,16.03,28,10.69,13,4.96,33,12.6,72,27.48,9,3.44,02041
2,42,219,21,9.59,38,17.35,29,13.24,10,4.57,28,12.79,61,27.85,10,4.57,02042
2,43,722,127,17.59,104,14.4,116,16.07,76,10.53,91,12.6,97,13.43,41,5.68,02043
2,44,402,41,10.2,39,9.7,48,11.94,34,8.46,58,14.43,93,23.13,15,3.73,02044
2,45,508,87,17.13,54,10.63,43,8.46,24,4.72,63,12.4,148,29.13,20,3.94,02045
2,46,798,102,12.78,82,10.28,105,13.16,68,8.52,90,11.28,189,23.68,30,3.76,02046
2,47,312,60,19.23,37,11.86,27,8.65,21,6.73,30,9.62,102,32.69,4,1.28,02047
2,48,404,51,12.62,49,12.13,34,8.42,23,5.69,55,13.61,119,29.46,15,3.71,02048
2,49,372,74,19.89,58,15.59,47,12.63,38,10.22,46,12.37,46,12.37,32,8.6,02049
2,50,349,67,19.2,33,9.46,54,15.47,39,11.17,69,19.77,39,11.17,23,6.59,02050
2,51,440,52,11.82,63,14.32,50,11.36,33,7.5,58,13.18,107,24.32,17,3.86,02051
2,52,611,110,18.0,64,10.47,73,11.95,30,4.91,74,12.11,174,28.48,25,4.09,02052
2,53,520,106,20.38,69,13.27,71,13.65,47,9.04,76,14.62,63,12.12,37,7.12,02053
2,54,629,126,20.03,104,16.53,93,14.79,82,13.04,96,15.26,56,8.9,38,6.04,02054
2,55,180,30,16.67,30,16.67,25,13.89,24,13.33,24,13.33,22,12.22,12,6.67,02055
2,56,552,73,13.22,61,11.05,59,10.69,31,5.62,80,14.49,148,26.81,14,2.54,02056
3,1,487,51,10.47,62,12.73,62,12.73,24,4.93,76,15.61,125,25.67,10,2.05,03001
3,2,717,57,7.95,69,9.62,123,17.15,66,9.21,93,12.97,159,22.18,13,1.81,03002
3,3,542,77,14.21,66,12.18,85,15.68,43,7.93,84,15.5,88,16.24,25,4.61,03003
3,4,403,33,8.19,48,11.91,64,15.88,32,7.94,57,14.14,92,22.83,7,1.74,03004
3,5,444,52,11.71,38,8.56,73,16.44,32,7.21,50,11.26,90,20.27,6,1.35,03005
3,6,393,33,8.4,60,15.27,64,16.28,33,8.4,59,15.01,91,23.16,4,1.02,03006
3,7,483,51,10.56,62,12.84,82,16.98,36,7.45,52,10.77,102,21.12,6,1.24,03007
3,8,575,68,11.83,69,12.0,88,15.3,46,8.0,80,13.91,127,22.09,12,2.09,03008
3,9,546,48,8.79,54,9.89,96,17.58,52,9.52,81,14.84,115,21.06,3,0.55,03009
3,10,198,29,14.65,26,13.13,21,10.61,15,7.58,21,10.61,51,25.76,2,1.01,03010
3,11,586,70,11.95,51,8.7,96,16.38,36,6.14,70,11.95,140,23.89,10,1.71,03011
3,12,553,57,10.31,51,9.22,88,15.91,61,11.03,62,11.21,114,20.61,8,1.45,03012
3,13,322,31,9.63,21,6.52,103,31.99,26,8.07,95,29.5,22,6.83,11,3.42,03013
3,14,277,24,8.66,24,8.66,35,12.64,27,9.75,36,13.0,70,25.27,18,6.5,03014
3,15,480,41,8.54,58,12.08,65,13.54,37,7.71,55,11.46,114,23.75,12,2.5,03015
3,16,526,52,9.89,49,9.32,99,18.82,56,10.65,48,9.13,112,21.29,3,0.57,03016
3,17,257,21,8.17,27,10.51,43,16.73,30,11.67,26,10.12,46,17.9,6,2.33,03017
3,18,256,22,8.59,31,12.11,34,13.28,21,8.2,33,12.89,64,25.0,3,1.17,03018
3,19,172,23,13.37,8,4.65,44,25.58,16,9.3,38,22.09,15,8.72,17,9.88,03019
3,20,332,32,9.64,37,11.14,51,15.36,33,9.94,33,9.94,78,23.49,3,0.9,03020
3,21,274,26,9.49,37,13.5,38,13.87,27,9.85,37,13.5,62,22.63,5,1.82,03021
3,22,326,31,9.51,44,13.5,44,13.5,31,9.51,41,12.58,80,24.54,7,2.15,03022
3,23,456,34,7.46,55,12.06,69,15.13,44,9.65,66,14.47,90,19.74,9,1.97,03023
3,24,488,55,11.27,47,9.63,68,13.93,60,12.3,59,12.09,119,24.39,5,1.02,03024
3,25,333,33,9.91,47,14.11,53,15.92,31,9.31,30,9.01,75,22.52,6,1.8,03025
3,26,249,20,8.03,17,6.83,54,21.69,36,14.46,32,12.85,41,16.47,7,2.81,03026
3,27,454,55,12.11,45,9.91,64,14.1,37,8.15,65,14.32,100,22.03,6,1.32,03027
3,28,968,185,19.11,121,12.5,157,16.22,94,9.71,125,12.91,115,11.88,57,5.89,03028
3,29,407,46,11.3,48,11.79,67,16.46,52,12.78,59,14.5,77,18.92,4,0.98,03029
3,30,424,38,8.96,46,10.85,68,16.04,29,6.84,59,13.92,101,23.82,5,1.18,03030
3,31,661,65,9.83,82,12.41,97,14.67,43,6.51,77,11.65,193,29.2,12,1.82,03031
3,32,445,36,8.09,42,9.44,77,17.3,51,11.46,52,11.69,96,21.57,11,2.47,03032
3,33,685,55,8.03,66,9.64,119,17.37,82,11.97,64,9.34,150,21.9,15,2.19,03033
3,34,481,45,9.36,35,7.28,83,17.26,43,8.94,81,16.84,89,18.5,7,1.46,03034
3,35,510,49,9.61,57,11.18,79,15.49,49,9.61,59,11.57,116,22.75,8,1.57,03035
3,36,226,22,9.73,32,14.16,37,16.37,22,9.73,23,10.18,54,23.89,2,0.88,03036
3,37,223,22,9.87,26,11.66,38,17.04,20,8.97,23,10.31,48,21.52,6,2.69,03037
3,38,645,61,9.46,81,12.56,105,16.28,47,7.29,78,12.09,146,22.64,21,3.26,03038
3,39,513,16,3.12,77,15.01,87,16.96,50,9.75,61,11.89,127,24.76,4,0.78,03039
3,40,403,55,13.65,38,9.43,63,15.63,28,6.95,56,13.9,105,26.05,4,0.99,03040
3,41,352,35,9.94,40,11.36,63,17.9,21,5.97,56,15.91,71,20.17,11,3.13,03041
3,42,340,37,10.88,40,11.76,57,16.76,31,9.12,40,11.76,77,22.65,4,1.18,03042
3,43,118,12,10.17,12,10.17,11,9.32,4,3.39,13,11.02,38,32.2,5,4.24,03043
3,44,172,29,16.86,16,9.3,25,14.53,9,5.23,21,12.21,44,25.58,6,3.49,03044
3,45,637,92,14.44,92,14.44,98,15.38,47,7.38,81,12.72,131,20.57,18,2.83,03045
3,46,95,6,6.32,13,13.68,12,12.63,12,12.63,7,7.37,23,24.21,5,5.26,03046
3,47,310,32,10.32,39,12.58,48,15.48,34,10.97,30,9.68,72,23.23,6,1.94,03047
3,48,318,39,12.26,33,10.38,40,12.58,32,10.06,31,9.75,80,25.16,7,2.2,03048
3,49,203,27,13.3,28,13.79,19,9.36,10,4.93,25,12.32,55,27.09,5,2.46,03049
3,50,452,28,6.19,33,7.3,88,19.47,87,19.25,36,7.96,72,15.93,13,2.88,03050
4,1,953,121,12.7,120,12.59,149,15.63,99,10.39,131,13.75,165,17.31,35,3.67,04001
4,2,1000,93,9.3,110,11.0,159,15.9,70,7.0,132,13.2,236,23.6,19,1.9,04002
4,3,790,78,9.87,90,11.39,115,14.56,64,8.1,127,16.08,179,22.66,20,2.53,04003
4,4,615,55,8.94,64,10.41,83,13.5,53,8.62,71,11.54,185,30.08,8,1.3,04004
4,5,789,69,8.75,84,10.65,137,17.36,77,9.76,100,12.67,179,22.69,10,1.27,04005
4,6,268,29,10.82,26,9.7,47,17.54,13,4.85,35,13.06,66,24.63,1,0.37,04006
4,7,744,73,9.81,85,11.42,117,15.73,54,7.26,94,12.63,195,26.21,16,2.15,04007
4,8,757,69,9.11,78,10.3,142,18.76,74,9.78,83,10.96,173,22.85,14,1.85,04008
4,9,1226,104,8.48,176,14.36,173,14.11,81,6.61,174,14.19,293,23.9,19,1.55,04009
4,10,708,93,13.14,62,8.76,107,15.11,50,7.06,91,12.85,180,25.42,15,2.12,04010
4,11,815,76,9.33,82,10.06,124,15.21,43,5.28,101,12.39,223,27.36,14,1.72,04011
4,12,454,51,11.23,35,7.71,91,20.04,37,8.15,60,13.22,104,22.91,6,1.32,04012
4,13,539,55,10.2,55,10.2,103,19.11,61,11.32,78,14.47,91,16.88,17,3.15,04013
4,14,455,56,12.31,45,9.89,62,13.63,37,8.13,46,10.11,146,32.09,2,0.44,04014
4,15,476,62,13.03,51,10.71,77,16.18,30,6.3,62,13.03,116,24.37,12,2.52,04015
4,16,801,69,8.61,84,10.49,128,15.98,69,8.61,103,12.86,194,24.22,13,1.62,04016
4,17,684,92,13.45,108,15.79,90,13.16,46,6.73,84,12.28,143,20.91,27,3.95,04017
4,18,724,75,10.36,64,8.84,124,17.13,67,9.25,84,11.6,168,23.2,15,2.07,04018
4,19,650,64,9.85,77,11.85,104,16.0,41,6.31,84,12.92,168,25.85,13,2.0,04019
4,20,305,23,7.54,43,14.1,38,12.46,17,5.57,36,11.8,88,28.85,4,1.31,04020
4,21,872,109,12.5,73,8.37,157,18.0,100,11.47,116,13.3,159,18.23,22,2.52,04021
4,22,852,88,10.33,107,12.56,132,15.49,81,9.51,126,14.79,172,20.19,14,1.64,04022
4,23,483,49,10.14,61,12.63,80,16.56,43,8.9,70,14.49,89,18.43,17,3.52,04023
4,24,715,91,12.73,58,8.11,136,19.02,71,9.93,68,9.51,156,21.82,12,1.68,04024
4,25,509,46,9.04,64,12.57,79,15.52,30,5.89,57,11.2,136,26.72,4,0.79,04025
4,26,694,52,7.49,74,10.66,111,15.99,43,6.2,88,12.68,194,27.95,10,1.44,04026
4,27,661,58,8.77,80,12.1,110,16.64,67,10.14,78,11.8,157,23.75,7,1.06,04027
4,28,469,63,13.43,57,12.15,88,18.76,45,9.59,63,13.43,58,12.37,18,3.84,04028
4,29,581,89,15.32,82,14.11,91,15.66,55,9.47,77,13.25,100,17.21,14,2.41,04029
4,30,566,56,9.89,79,13.96,79,13.96,26,4.59,77,13.6,153,27.03,8,1.41,04030
4,31,378,55,14.55,56,14.81,78,20.63,43,11.38,39,10.32,42,11.11,14,3.7,04031
4,32,697,96,13.77,79,11.33,138,19.8,82,11.76,89,12.77,87,12.48,21,3.01,04032
4,33,502,41,8.17,52,10.36,75,14.94,27,5.38,86,17.13,110,21.91,18,3.59,04033
4,34,450,69,15.33,82,18.22,77,17.11,53,11.78,53,11.78,54,12.0,16,3.56,04034
4,35,438,39,8.9,49,11.19,57,13.01,24,5.48,66,15.07,124,28.31,7,1.6,04035
4,36,449,59,13.14,36,8.02,75,16.7,32,7.13,58,12.92,118,26.28,11,2.45,04036
4,37,191,18,9.42,30,15.71,19,9.95,11,5.76,26,13.61,50,26.18,7,3.66,04037
4,38,1043,113,10.83,98,9.4,210,20.13,109,10.45,129,12.37,183,17.55,21,2.01,04038
4,39,403,42,10.42,32,7.94,61,15.14,44,10.92,44,10.92,98,24.32,9,2.23,04039
4,40,501,46,9.18,53,10.58,85,16.97,47,9.38,54,10.78,119,23.75,12,2.4,04040
4,41,343,69,20.12,40,11.66,59,17.2,30,8.75,49,14.29,37,10.79,20,5.83,04041
4,42,784,88,11.22,91,11.61,123,15.69,39,4.97,111,14.16,190,24.23,15,1.91,04042
4,43,402,51,12.69,61,15.17,80,19.9,48,11.94,46,11.44,44,10.95,12,2.99,04043
4,44,418,51,12.2,43,10.29,73,17.46,53,12.68,46,11.0,68,16.27,19,4.55,04044
4,45,1131,70,6.19,119,10.52,210,18.57,126,11.14,110,9.73,242,21.4,24,2.12,04045
4,46,500,40,8.0,44,8.8,90,18.0,53,10.6,63,12.6,107,21.4,11,2.2,04046
4,47,976,106,10.86,105,10.76,185,18.95,121,12.4,115,11.78,162,16.6,31,3.18,04047
4,48,813,86,10.58,86,10.58,160,19.68,82,10.09,110,13.53,147,18.08,24,2.95,04048
4,49,400,41,10.25,48,12.0,61,15.25,32,8.0,49,12.25,87,21.75,17,4.25,04049
4,50,589,62,10.53,49,8.32,103,17.49,61,10.36,73,12.39,128,21.73,9,1.53,04050
4,51,707,76,10.75,87,12.31,104,14.71,38,5.37,111,15.7,175,24.75,15,2.12,04051
4,52,759,74,9.75,95,12.52,93,12.25,41,5.4,109,14.36,205,27.01,19,2.5,04052
5,1,686,51,7.43,96,13.99,96,13.99,44,6.41,104,15.16,173,25.22,7,1.02,05001
5,2,530,48,9.06,85,16.04,112,21.13,50,9.43,52,9.81,113,21.32,9,1.7,05002
5,3,308,33,10.71,53,17.21,48,15.58,29,9.42,37,12.01,61,19.81,8,2.6,05003
5,4,448,34,7.59,59,13.17,59,13.17,26,5.8,75,16.74,118,26.34,6,1.34,05004
5,5,544,50,9.19,86,15.81,85,15.63,56,10.29,75,13.79,110,20.22,10,1.84,05005
5,6,777,58,7.46,120,15.44,104,13.38,52,6.69,120,15.44,190,24.45,19,2.45,05006
5,7,691,44,6.37,111,16.06,121,17.51,57,8.25,93,13.46,147,21.27,14,2.03,05007
5,8,870,108,12.41,161,18.51,191,21.95,168,19.31,60,6.9,67,7.7,41,4.71,05008
5,9,673,78,11.59,84,12.48,105,15.6,41,6.09,82,12.18,176,26.15,13,1.93,05009
5,10,541,58,10.72,67,12.38,59,10.91,25,4.62,85,15.71,169,31.24,9,1.66,05010
5,11,575,77,13.39,104,18.09,103,17.91,75,13.04,70,12.17,82,14.26,15,2.61,05011
5,12,435,35,8.05,74,17.01,79,18.16,46,10.57,45,10.34,90,20.69,10,2.3,05012
5,13,528,54,10.23,76,14.39,74,14.02,29,5.49,70,13.26,142,26.89,11,2.08,05013
5,14,796,108,13.57,130,16.33,136,17.09,78,9.8,109,13.69,117,14.7,27,3.39,05014
5,15,464,64,13.79,66,14.22,57,12.28,29,6.25,58,12.5,106,22.84,14,3.02,05015
5,16,465,50,10.75,64,13.76,56,12.04,23,4.95,64,13.76,118,25.38,19,4.09,05016
5,17,673,58,8.62,108,16.05,94,13.97,56,8.32,89,13.22,158,23.48,16,2.38,05017
5,18,635,65,10.24,106,16.69,113,17.8,65,10.24,81,12.76,133,20.94,13,2.05,05018
5,19,360,37,10.28,48,13.33,63,17.5,15,4.17,44,12.22,102,28.33,9,2.5,05019
5,20,324,21,6.48,55,16.98,61,18.83,40,12.35,40,12.35,69,21.3,6,1.85,05020
5,21,671,54,8.05,104,15.5,104,15.5,53,7.9,103,15.35,160,23.85,7,1.04,05021
5,22,532,51,9.59,76,14.29,77,14.47,34,6.39,79,14.85,127,23.87,8,1.5,05022
5,23,405,48,11.85,57,14.07,69,17.04,23,5.68,48,11.85,95,23.46,7,1.73,05023
5,24,517,65,12.57,89,17.21,80,15.47,50,9.67,61,11.8,90,17.41,15,2.9,05024
5,25,608,64,10.53,97,15.95,102,16.78,42,6.91,90,14.8,132,21.71,13,2.14,05025
5,26,650,59,9.08,77,11.85,106,16.31,37,5.69,97,14.92,161,24.77,15,2.31,05026
5,27,713,122,17.11,117,16.41,141,19.78,97,13.6,89,12.48,60,8.42,29,4.07,05027
5,28,675,65,9.63,83,12.3,107,15.85,54,8.0,97,14.37,158,23.41,13,1.93,05028
5,29,637,60,9.42,81,12.72,88,13.81,38,5.97,94,14.76,166,26.06,10,1.57,05029
5,30,528,64,12.12,120,22.73,118,22.35,108,20.45,41,7.77,26,4.92,18,3.41,05030
5,31,568,44,7.75,104,18.31,74,13.03,25,4.4,76,13.38,149,26.23,12,2.11,05031
5,32,903,73,8.08,137,15.17,134,14.84,75,8.31,117,12.96,214,23.7,23,2.55,05032
5,33,391,29,7.42,60,15.35,65,16.62,39,9.97,56,14.32,89,22.76,9,2.3,05033
5,34,684,56,8.19,100,14.62,86,12.57,34,4.97,107,15.64,175,25.58,13,1.9,05034
5,35,468,61,13.03,65,13.89,87,18.59,44,9.4,59,12.61,79,16.88,18,3.85,05035
5,36,360,30,8.33,53,14.72,32,8.89,22,6.11,66,18.33,88,24.44,13,3.61,05036
5,37,504,73,14.48,65,12.9,83,16.47,48,9.52,81,16.07,83,16.47,16,3.17,05037
5,38,605,68,11.24,115,19.01,122,20.17,99,16.36,62,10.25,66,10.91,19,3.14,05038
5,39,720,95,13.19,137,19.03,163,22.64,130,18.06,56,7.78,62,8.61,23,3.19,05039
5,40,593,60,10.12,77,12.98,77,12.98,41,6.91,83,14.0,148,24.96,14,2.36,05040
5,41,492,67,13.62,108,21.95,115,23.37,92,18.7,36,7.32,27,5.49,17,3.46,05041
5,42,628,59,9.39,102,16.24,85,13.54,36,5.73,90,14.33,148,23.57,14,2.23,05042
5,43,739,70,9.47,117,15.83,115,15.56,60,8.12,87,11.77,160,21.65,8,1.08,05043
5,44,691,55,7.96,106,15.34,106,15.34,36,5.21,112,16.21,166,24.02,15,2.17,05044
5,45,372,41,11.02,43,11.56,71,19.09,24,6.45,35,9.41,101,27.15,4,1.08,05045
5,46,611,86,14.08,93,15.22,112,18.33,60,9.82,92,15.06,81,13.26,26,4.26,05046
5,47,546,47,8.61,78,14.29,71,13.0,27,4.95,94,17.22,137,25.09,11,2.01,05047
5,48,389,64,16.45,53,13.62,56,14.4,31,7.97,55,14.14,63,16.2,18,4.63,05048
5,49,150,13,8.67,19,12.67,21,14.0,7,4.67,31,20.67,33,22.0,2,1.33,05049
5,50,559,49,8.77,94,16.82,88,15.74,59,10.55,73,13.06,116,20.75,11,1.97,05050
5,51,409,39,9.54,48,11.74,68,16.63,21,5.13,68,16.63,107,26.16,9,2.2,05051
5,52,78,15,19.23,13,16.67,11,14.1,6,7.69,9,11.54,12,15.38,4,5.13,05052
5,53,661,67,10.14,92,13.92,119,18.0,57,8.62,91,13.77,123,18.61,17,2.57,05053
5,54,859,59,6.87,145,16.88,149,17.35,76,8.85,105,12.22,183,21.3,18,2.1,05054
5,55,566,48,8.48,86,15.19,81,14.31,31,5.48,86,15.19,143,25.27,6,1.06,05055
6,1,819,67,8.18,98,11.97,135,16.48,78,9.52,84,10.26,190,23.2,10,1.22,06001
6,2,854,67,7.85,85,9.95,133,15.57,78,9.13,114,13.35,197,23.07,14,1.64,06002
6,3,711,51,7.17,78,10.97,127,17.86,69,9.7,85,11.95,147,20.68,12,1.69,06003
6,4,483,38,7.87,58,12.01,70,14.49,46,9.52,57,11.8,112,23.19,14,2.9,06004
