ward,precinct,total,E. Madeline O'Neill,E. Madeline O'Neill Percent,Joan Powell,Joan Powell Percent,Patrick Dennis Riley,Patrick Dennis Riley Percent,precinct_id
3,45,232,63,27.16,122,52.59,34,14.66,03045
3,46,39,14,35.9,15,38.46,5,12.82,03046
3,47,117,31,26.5,70,59.83,12,10.26,03047
3,48,112,27,24.11,56,50.0,18,16.07,03048
3,49,71,19,26.76,35,49.3,15,21.13,03049
3,50,182,35,19.23,119,65.38,17,9.34,03050
4,1,309,76,24.6,188,60.84,28,9.06,04001
4,2,370,97,26.22,202,54.59,45,12.16,04002
4,3,309,72,23.3,171,55.34,50,16.18,04003
4,4,246,70,28.46,134,54.47,31,12.6,04004
4,5,273,59,21.61,177,64.84,30,10.99,04005
4,6,100,25,25.0,66,66.0,9,9.0,04006
4,7,279,84,30.11,135,48.39,50,17.92,04007
4,8,275,66,24.0,154,56.0,44,16.0,04008
4,9,414,96,23.19,240,57.97,54,13.04,04009
4,10,257,62,24.12,147,57.2,42,16.34,04010
4,11,317,98,30.91,156,49.21,50,15.77,04011
4,12,153,31,20.26,91,59.48,22,14.38,04012
4,13,185,46,24.86,114,61.62,20,10.81,04013
4,14,181,49,27.07,90,49.72,33,18.23,04014
4,15,172,43,25.0,101,58.72,20,11.63,04015
4,16,311,81,26.05,179,57.56,40,12.86,04016
4,17,222,56,25.23,124,55.86,34,15.32,04017
4,18,264,72,27.27,146,55.3,37,14.02,04018
4,19,268,77,28.73,137,51.12,46,17.16,04019
4,20,128,38,29.69,58,45.31,25,19.53,04020
4,21,302,62,20.53,199,65.89,35,11.59,04021
4,22,283,82,28.98,157,55.48,33,11.66,04022
4,23,166,45,27.11,92,55.42,21,12.65,04023
4,24,244,45,18.44,168,68.85,25,10.25,04024
4,25,185,50,27.03,117,63.24,16,8.65,04025
4,26,261,69,26.44,144,55.17,40,15.33,04026
4,27,243,68,27.98,133,54.73,34,13.99,04027
4,28,148,32,21.62,101,68.24,12,8.11,04028
4,29,201,57,28.36,115,57.21,24,11.94,04029
4,30,208,58,27.88,115,55.29,29,13.94,04030
4,31,136,37,27.21,87,63.97,10,7.35,04031
4,32,225,46,20.44,159,70.67,14,6.22,04032
4,33,185,38,20.54,104,56.22,35,18.92,04033
4,34,151,38,25.17,101,66.89,8,5.3,04034
4,35,181,43,23.76,88,48.62,37,20.44,04035
4,36,156,35,22.44,97,62.18,17,10.9,04036
4,37,75,21,28.0,32,42.67,17,22.67,04037
4,38,354,75,21.19,228,64.41,35,9.89,04038
4,39,160,38,23.75,86,53.75,26,16.25,04039
4,40,197,44,22.34,119,60.41,25,12.69,04040
4,41,118,32,27.12,73,61.86,7,5.93,04041
4,42,280,87,31.07,150,53.57,35,12.5,04042
4,43,141,28,19.86,95,67.38,10,7.09,04043
4,44,149,38,25.5,85,57.05,18,12.08,04044
4,45,389,71,18.25,268,68.89,40,10.28,04045
4,46,182,38,20.88,118,64.84,19,10.44,04046
4,47,333,64,19.22,225,67.57,35,10.51,04047
4,48,268,63,23.51,172,64.18,28,10.45,04048
4,49,150,40,26.67,75,50.0,28,18.67,04049
4,50,219,51,23.29,131,59.82,24,10.96,04050
4,51,254,76,29.92,137,53.94,36,14.17,04051
4,52,295,117,39.66,122,41.36,40,13.56,04052
5,1,230,61,26.52,131,56.96,32,13.91,05001
5,2,198,34,17.17,129,65.15,31,15.66,05002
5,3,114,17,14.91,80,70.18,12,10.53,05003
5,4,154,48,31.17,77,50.0,23,14.94,05004
5,5,218,59,27.06,105,48.17,41,18.81,05005
5,6,284,77,27.11,155,54.58,44,15.49,05006
5,7,258,66,25.58,149,57.75,38,14.73,05007
5,8,230,43,18.7,158,68.7,18,7.83,05008
5,9,230,47,20.43,135,58.7,40,17.39,05009
5,10,225,71,31.56,107,47.56,40,17.78,05010
5,11,179,50,27.93,100,55.87,23,12.85,05011
5,12,157,34,21.66,103,65.61,17,10.83,05012
5,13,192,51,26.56,105,54.69,30,15.63,05013
5,14,256,55,21.48,167,65.23,28,10.94,05014
5,15,149,31,20.81,87,58.39,25,16.78,05015
5,16,179,58,32.4,82,45.81,30,16.76,05016
5,17,252,70,27.78,126,50.0,45,17.86,05017
5,18,243,48,19.75,145,59.67,40,16.46,05018
5,19,138,42,30.43,63,45.65,26,18.84,05019
5,20,122,23,18.85,78,63.93,17,13.93,05020
5,21,261,62,23.75,145,55.56,43,16.48,05021
5,22,197,61,30.96,88,44.67,35,17.77,05022
5,23,166,46,27.71,80,48.19,32,19.28,05023
5,24,170,33,19.41,108,63.53,19,11.18,05024
5,25,240,59,24.58,123,51.25,47,19.58,05025
5,26,248,76,30.65,116,46.77,45,18.15,05026
5,27,214,37,17.29,151,70.56,12,5.61,05027
5,28,240,56,23.33,147,61.25,26,10.83,05028
5,29,223,54,24.22,137,61.43,25,11.21,05029
5,30,140,30,21.43,98,70.0,9,6.43,05030
5,31,213,60,28.17,118,55.4,28,13.15,05031
5,32,305,73,23.93,191,62.62,35,11.48,05032
5,33,164,55,33.54,69,42.07,33,20.12,05033
5,34,261,74,28.35,141,54.02,37,14.18,05034
5,35,158,42,26.58,95,60.13,15,9.49,05035
5,36,139,51,36.69,54,38.85,23,16.55,05036
5,37,157,47,29.94,76,48.41,23,14.65,05037
5,38,167,33,19.76,111,66.47,15,8.98,05038
5,39,216,49,22.69,149,68.98,11,5.09,05039
5,40,232,61,26.29,128,55.17,33,14.22,05040
5,41,123,19,15.45,86,69.92,13,10.57,05041
5,42,233,69,29.61,95,40.77,59,25.32,05042
5,43,230,53,23.04,146,63.48,20,8.7,05043
5,44,259,81,31.27,130,50.19,36,13.9,05044
5,45,133,34,25.56,77,57.89,18,13.53,05045
5,46,197,46,23.35,115,58.38,19,9.64,05046
5,47,204,62,30.39,89,43.63,45,22.06,05047
5,48,130,37,28.46,70,53.85,17,13.08,05048
5,49,50,15,30.0,22,44.0,11,22.0,05049
5,50,200,51,25.5,110,55.0,29,14.5,05050
5,51,170,53,31.18,67,39.41,38,22.35,05051
5,52,29,11,37.93,13,44.83,3,10.34,05052
5,53,222,55,24.77,137,61.71,26,11.71,05053
5,54,315,76,24.13,196,62.22,34,10.79,05054
5,55,204,66,32.35,97,47.55,33,16.18,05055
6,1,271,76,28.04,161,59.41,24,8.86,06001
6,2,287,89,31.01,148,51.57,34,11.85,06002
6,3,251,75,29.88,125,49.8,40,15.94,06003
6,4,182,49,26.92,85,46.7,36,19.78,06004
6,5,112,44,39.29,46,41.07,17,15.18,06005
6,6,199,50,25.13,105,52.76,37,18.59,06006
6,7,239,72,30.13,113,47.28,46,19.25,06007
6,8,270,76,28.15,143,52.96,38,14.07,06008
6,9,207,34,16.43,130,62.8,36,17.39,06009
6,10,298,78,26.17,177,59.4,31,10.4,06010
6,11,217,61,28.11,124,57.14,26,11.98,06011
6,12,182,55,30.22,87,47.8,35,19.23,06012
6,13,204,58,28.43,104,50.98,35,17.16,06013
6,14,257,64,24.9,133,51.75,51,19.84,06014
6,15,139,34,24.46,68,48.92,24,17.27,06015
6,16,265,78,29.43,139,52.45,38,14.34,06016
6,17,291,73,25.09,179,61.51,30,10.31,06017
6,18,148,44,29.73,71,47.97,22,14.86,06018
6,19,290,96,33.1,138,47.59,41,14.14,06019
6,20,212,74,34.91,90,42.45,37,17.45,06020
6,21,219,58,26.48,111,50.68,40,18.26,06021
6,22,219,59,26.94,120,54.79,31,14.16,06022
6,23,152,44,28.95,75,49.34,27,17.76,06023
6,24,226,64,28.32,121,53.54,31,13.72,06024
6,25,168,43,25.6,88,52.38,26,15.48,06025
6,26,252,71,28.17,126,50.0,41,16.27,06026
6,27,315,84,26.67,177,56.19,44,13.97,06027
6,28,398,122,30.65,212,53.27,52,13.07,06028
6,29,257,66,25.68,153,59.53,31,12.06,06029
6,30,203,53,26.11,101,49.75,41,20.2,06030
6,31,254,69,27.17,146,57.48,32,12.6,06031
6,32,243,63,25.93,126,51.85,44,18.11,06032
6,33,276,93,33.7,136,49.28,34,12.32,06033
6,34,229,76,33.19,108,47.16,36,15.72,06034
6,35,215,58,26.98,116,53.95,34,15.81,06035
6,36,136,34,25.0,56,41.18,36,26.47,06036
6,37,264,57,21.59,164,62.12,35,13.26,06037
6,38,258,77,29.84,124,48.06,40,15.5,06038
6,39,195,41,21.03,106,54.36,36,18.46,06039
6,40,131,42,32.06,53,40.46,26,19.85,06040
6,41,253,74,29.25,145,57.31,27,10.67,06041
6,42,127,34,26.77,55,43.31,31,24.41,06042
6,43,248,62,25.0,123,49.6,42,16.94,06043
6,44,226,63,27.88,117,51.77,35,15.49,06044
6,45,182,58,31.87,88,48.35,29,15.93,06045
6,46,231,66,28.57,134,58.01,24,10.39,06046
6,47,261,75,28.74,133,50.96,42,16.09,06047
6,48,215,65,30.23,96,44.65,45,20.93,06048
6,49,221,67,30.32,108,48.87,37,16.74,06049
6,50,253,75,29.64,135,53.36,37,14.62,06050
6,51,160,44,27.5,81,50.63,26,16.25,06051
6,52,155,56,36.13,66,42.58,25,16.13,06052
6,53,207,57,27.54,105,50.72,35,16.91,06053
6,54,244,83,34.02,120,49.18,34,13.93,06054
6,55,193,56,29.02,92,47.67,39,20.21,06055
6,56,156,49,31.41,73,46.79,27,17.31,06056
6,57,120,39,32.5,56,46.67,22,18.33,06057
6,58,242,56,23.14,135,55.79,42,17.36,06058
6,59,203,60,29.56,113,55.67,25,12.32,06059
6,60,152,41,26.97,89,58.55,17,11.18,06060
6,61,154,36,23.38,81,52.6,32,20.78,06061
6,62,184,63,34.24,84,45.65,28,15.22,06062
6,63,239,58,24.27,131,54.81,41,17.15,06063
6,64,265,62,23.4,156,58.87,37,13.96,06064
7,1,269,65,24.16,174,64.68,22,8.18,07001
7,2,266,62,23.31,172,64.66,24,9.02,07002
7,3,168,41,24.4,89,52.98,29,17.26,07003
7,4,205,38,18.54,121,59.02,36,17.56,07004
7,5,185,38,20.54,112,60.54,28,15.14,07005
7,6,205,55,26.83,118,57.56,23,11.22,07006
7,7,161,43,26.71,85,52.8,29,18.01,07007
7,8,80,21,26.25,42,52.5,14,17.5,07008
7,9,210,45,21.43,131,62.38,32,15.24,07009
7,10,147,23,15.65,95,64.63,22,14.97,07010
7,11,218,51,23.39,137,62.84,21,9.63,07011
7,12,166,25,15.06,115,69.28,15,9.04,07012
7,13,136,36,26.47,74,54.41,22,16.18,07013
7,14,243,70,28.81,115,47.33,46,18.93,07014
7,15,127,38,29.92,60,47.24,25,19.69,07015
7,16,154,37,24.03,93,60.39,21,13.64,07016
7,17,137,33,24.09,72,52.55,23,16.79,07017
7,18,145,43,29.66,74,51.03,20,13.79,07018
7,19,339,95,28.02,187,55.16,43,12.68,07019
7,20,99,25,25.25,49,49.49,19,19.19,07020
7,21,199,47,23.62,114,57.29,27,13.57,07021
7,22,174,34,19.54,105,60.34,31,17.82,07022
7,23,159,30,18.87,100,62.89,24,15.09,07023
7,24,219,55,25.11,127,57.99,27,12.33,07024
7,25,276,65,23.55,168,60.87,33,11.96,07025
7,26,269,63,23.42,154,57.25,44,16.36,07026
7,27,297,62,20.88,186,62.63,34,11.45,07027
7,28,224,58,25.89,126,56.25,30,13.39,07028
7,29,140,44,31.43,70,50.0,22,15.71,07029
7,30,247,43,17.41,165,66.8,27,10.93,07030
7,31,237,59,24.89,134,56.54,36,15.19,07031
7,32,169,49,28.99,82,48.52,26,15.38,07032
7,33,173,43,24.86,91,52.6,31,17.92,07033
7,34,215,54,25.12,122,56.74,27,12.56,07034
7,35,121,31,25.62,69,57.02,11,9.09,07035
7,36,260,59,22.69,155,59.62,37,14.23,07036
7,37,118,17,14.41,68,57.63,23,19.49,07037
7,38,169,39,23.08,95,56.21,27,15.98,07038
7,39,186,51,27.42,112,60.22,16,8.6,07039
7,40,251,71,28.29,130,51.79,33,13.15,07040
7,41,176,41,23.3,104,59.09,25,14.2,07041
7,42,309,68,22.01,169,54.69,60,19.42,07042
7,43,216,58,26.85,117,54.17,33,15.28,07043
7,44,299,62,20.74,183,61.2,36,12.04,07044
7,45,287,67,23.34,171,59.58,38,13.24,07045
7,46,84,23,27.38,42,50.0,14,16.67,07046
7,47,177,47,26.55,104,58.76,21,11.86,07047
7,48,87,28,32.18,45,51.72,10,11.49,07048
7,49,130,21,16.15,91,70.0,14,10.77,07049
7,50,138,26,18.84,88,63.77,17,12.32,07050
7,51,199,44,22.11,121,60.8,24,12.06,07051
7,52,173,37,21.39,109,63.01,18,10.4,07052
7,53,189,40,21.16,116,61.38,24,12.7,07053
7,54,93,24,25.81,50,53.76,15,16.13,07054
7,55,180,40,22.22,118,65.56,17,9.44,07055
7,56,189,51,26.98,105,55.56,25,13.23,07056
7,57,175,35,20.0,116,66.29,19,10.86,07057
7,58,268,61,22.76,160,59.7,36,13.43,07058
7,59,124,30,24.19,68,54.84,21,16.94,07059
7,60,124,33,26.61,69,55.65,17,13.71,07060
7,61,188,50,26.6,103,54.79,29,15.43,07061
7,62,194,42,21.65,123,63.4,24,12.37,07062
7,63,184,47,25.54,99,53.8,30,16.3,07063
7,64,195,38,19.49,126,64.62,26,13.33,07064
7,65,210,60,28.57,106,50.48,38,18.1,07065
8,1,242,51,21.07,162,66.94,21,8.68,08001
8,2,147,51,34.69,69,46.94,19,12.93,08002
8,3,307,67,21.82,200,65.15,31,10.1,08003
8,4,224,53,23.66,134,59.82,31,13.84,08004
8,5,286,62,21.68,183,63.99,29,10.14,08005
8,6,279,57,20.43,180,64.52,32,11.47,08006
8,7,207,44,21.26,132,63.77,25,12.08,08007
8,8,253,67,26.48,159,62.85,24,9.49,08008
8,9,307,61,19.87,194,63.19,46,14.98,08009
8,10,328,74,22.56,203,61.89,36,10.98,08010
8,11,217,48,22.12,137,63.13,27,12.44,08011
8,12,233,44,18.88,142,60.94,39,16.74,08012
8,13,180,55,30.56,85,47.22,31,17.22,08013
8,14,179,50,27.93,90,50.28,33,18.44,08014
8,15,183,56,30.6,100,54.64,21,11.48,08015
8,16,256,62,24.22,168,65.63,22,8.59,08016
8,17,222,40,18.02,151,68.02,21,9.46,08017
8,18,162,49,30.25,80,49.38,28,17.28,08018
8,19,308,68,22.08,196,63.64,37,12.01,08019
8,20,170,40,23.53,98,57.65,24,14.12,08020
8,21,169,43,25.44,95,56.21,26,15.38,08021
8,22,214,48,22.43,134,62.62,24,11.21,08022
8,23,212,39,18.4,136,64.15,24,11.32,08023
8,24,264,68,25.76,157,59.47,28,10.61,08024
8,25,243,61,25.1,142,58.44,25,10.29,08025
8,26,179,42,23.46,98,54.75,32,17.88,08026
8,27,272,62,22.79,176,64.71,28,10.29,08027
8,28,196,40,20.41,127,64.8,25,12.76,08028
8,29,293,48,16.38,208,70.99,27,9.22,08029
8,30,190,53,27.89,111,58.42,21,11.05,08030
8,31,164,38,23.17,101,61.59,19,11.59,08031
8,32,354,80,22.6,216,61.02,47,13.28,08032
8,33,251,39,15.54,175,69.72,32,12.75,08033
8,34,302,76,25.17,179,59.27,37,12.25,08034
8,35,288,71,24.65,162,56.25,42,14.58,08035
8,36,236,70,29.66,129,54.66,29,12.29,08036
8,37,248,68,27.42,133,53.63,35,14.11,08037
8,38,249,66,26.51,129,51.81,47,18.88,08038
8,39,258,55,21.32,157,60.85,38,14.73,08039
8,40,225,64,28.44,114,50.67,40,17.78,08040
8,41,182,58,31.87,98,53.85,20,10.99,08041
8,42,245,61,24.9,148,60.41,29,11.84,08042
8,43,171,43,25.15,87,50.88,37,21.64,08043
8,44,200,45,22.5,122,61.0,25,12.5,08044
8,45,174,48,27.59,92,52.87,27,15.52,08045
8,46,194,51,26.29,113,58.25,24,12.37,08046
8,47,231,58,25.11,135,58.44,26,11.26,08047
8,48,210,46,21.9,123,58.57,30,14.29,08048
8,49,272,64,23.53,165,60.66,35,12.87,08049
8,50,229,57,24.89,130,56.77,29,12.66,08050
8,51,298,76,25.5,183,61.41,26,8.72,08051
8,52,260,57,21.92,159,61.15,29,11.15,08052
8,53,243,53,21.81,150,61.73,27,11.11,08053
8,54,229,52,22.71,136,59.39,34,14.85,08054
8,55,227,58,25.55,132,58.15,30,13.22,08055
8,56,262,79,30.15,140,53.44,35,13.36,08056
8,57,218,45,20.64,134,61.47,35,16.06,08057
8,58,236,57,24.15,144,61.02,29,12.29,08058
8,59,163,40,24.54,100,61.35,13,7.98,08059
8,60,190,46,24.21,110,57.89,29,15.26,08060
8,61,196,55,28.06,104,53.06,26,13.27,08061
8,62,204,50,24.51,120,58.82,28,13.73,08062
8,63,251,54,21.51,162,64.54,24,9.56,08063
8,64,221,65,29.41,124,56.11,18,8.14,08064
8,65,161,29,18.01,108,67.08,18,11.18,08065
8,66,376,94,25.0,213,56.65,54,14.36,08066
8,67,122,35,28.69,63,51.64,20,16.39,08067
8,68,124,35,28.23,64,51.61,17,13.71,08068
8,69,141,37,26.24,65,46.1,33,23.4,08069
8,70,298,61,20.47,164,55.03,59,19.8,08070
9,1,266,69,25.94,162,60.9,31,11.65,09001
9,2,238,65,27.31,115,48.32,47,19.75,09002
9,3,105,34,32.38,46,43.81,18,17.14,09003
9,4,229,62,27.07,123,53.71,26,11.35,09004
9,5,252,69,27.38,124,49.21,48,19.05,09005
9,6,272,85,31.25,141,51.84,35,12.87,09006
9,7,207,63,30.43,94,45.41,39,18.84,09007
9,8,246,63,25.61,135,54.88,36,14.63,09008
9,9,270,68,25.19,158,58.52,40,14.81,09009
9,10,219,63,28.77,112,51.14,31,14.16,09010
9,11,182,52,28.57,88,48.35,33,18.13,09011
9,12,220,60,27.27,102,46.36,42,19.09,09012
9,13,249,67,26.91,129,51.81,41,16.47,09013
9,14,336,73,21.73,202,60.12,48,14.29,09014
9,15,234,54,23.08,131,55.98,41,17.52,09015
9,16,185,31,16.76,114,61.62,25,13.51,09016
9,17,234,48,20.51,137,58.55,44,18.8,09017
9,18,259,65,25.1,127,49.03,58,22.39,09018
9,19,292,79,27.05,162,55.48,38,13.01,09019
9,20,273,64,23.44,151,55.31,53,19.41,09020
9,21,229,74,32.31,119,51.97,29,12.66,09021
9,22,279,78,27.96,159,56.99,33,11.83,09022
9,23,187,42,22.46,114,60.96,28,14.97,09023
9,24,118,37,31.36,53,44.92,22,18.64,09024
9,25,154,62,40.26,60,38.96,24,15.58,09025
9,26,141,40,28.37,72,51.06,18,12.77,09026
9,27,199,47,23.62,94,47.24,42,21.11,09027
9,28,99,32,32.32,45,45.45,13,13.13,09028
9,29,192,50,26.04,113,58.85,23,11.98,09029
9,30,228,58,25.44,137,60.09,31,13.6,09030
9,31,222,72,32.43,120,54.05,19,8.56,09031
9,32,240,57,23.75,134,55.83,39,16.25,09032
9,33,149,45,30.2,77,51.68,24,16.11,09033
9,34,179,59,32.96,86,48.04,26,14.53,09034
9,35,304,71,23.36,190,62.5,36,11.84,09035
9,36,271,65,23.99,151,55.72,42,15.5,09036
9,37,167,50,29.94,74,44.31,38,22.75,09037
9,38,239,72,30.13,116,48.54,39,16.32,09038
9,39,303,58,19.14,200,66.01,39,12.87,09039
9,40,265,70,26.42,153,57.74,34,12.83,09040
9,41,281,66,23.49,152,54.09,54,19.22,09041
9,42,72,18,25.0,37,51.39,13,18.06,09042
9,43,143,42,29.37,70,48.95,24,16.78,09043
9,44,187,52,27.81,90,48.13,34,18.18,09044
9,45,216,54,25.0,125,57.87,28,12.96,09045
9,46,199,35,17.59,118,59.3,40,20.1,09046
9,47,262,60,22.9,147,56.11,43,16.41,09047
9,48,259,79,30.5,136,52.51,39,15.06,09048
9,49,164,37,22.56,90,54.88,28,17.07,09049
9,50,237,51,21.52,151,63.71,31,13.08,09050
