ward,precinct,total,Martin A. Sandoval (Clinton),Martin A. Sandoval (Clinton) Percent,Diana E. Lopez (Clinton),Diana E. Lopez (Clinton) Percent,George A. Cardenas (Clinton),George A. Cardenas (Clinton) Percent,Leticia Delgadillo (Obama),Leticia Delgadillo (Obama) Percent,Miguel del Valle (Obama),Miguel del Valle (Obama) Percent,Jesse H. Ruiz (Obama),Jesse H. Ruiz (Obama) Percent,Cuahutemoc Morfin (Richardson),Cuahutemoc Morfin (Richardson) Percent,Rosa D. Reyes (Richardson),Rosa D. Reyes (Richardson) Percent,Elizabeth Hernandez (Richardson),Elizabeth Hernandez (Richardson) Percent,precinct_id
22,17,569,102,17.93,86,15.11,83,14.59,48,8.44,74,13.01,40,7.03,4,0.7,7,1.23,9,1.58,22017
22,18,583,93,15.95,85,14.58,79,13.55,63,10.81,83,14.24,51,8.75,5,0.86,5,0.86,3,0.51,22018
22,20,663,122,18.4,106,15.99,100,15.08,53,7.99,73,11.01,49,7.39,8,1.21,10,1.51,11,1.66,22020
22,22,473,67,14.16,69,14.59,61,12.9,56,11.84,66,13.95,45,9.51,6,1.27,8,1.69,5,1.06,22022
22,23,672,100,14.88,89,13.24,84,12.5,71,10.57,100,14.88,67,9.97,10,1.49,7,1.04,6,0.89,22023
22,24,426,79,18.54,66,15.49,59,13.85,38,8.92,58,13.62,29,6.81,5,1.17,3,0.7,1,0.23,22024
22,25,514,90,17.51,80,15.56,74,14.4,44,8.56,63,12.26,42,8.17,2,0.39,4,0.78,5,0.97,22025
22,26,478,83,17.36,63,13.18,66,13.81,46,9.62,64,13.39,38,7.95,4,0.84,9,1.88,6,1.26,22026
22,27,696,132,18.97,105,15.09,98,14.08,55,7.9,98,14.08,52,7.47,5,0.72,6,0.86,6,0.86,22027
22,28,359,70,19.5,66,18.38,59,16.43,23,6.41,33,9.19,17,4.74,5,1.39,5,1.39,6,1.67,22028
22,29,391,64,16.37,63,16.11,56,14.32,35,8.95,43,11.0,31,7.93,5,1.28,6,1.53,4,1.02,22029
23,9,805,156,19.38,122,15.16,117,14.53,70,8.7,85,10.56,61,7.58,7,0.87,13,1.61,10,1.24,23009
23,24,629,119,18.92,102,16.22,96,15.26,54,8.59,65,10.33,45,7.15,8,1.27,7,1.11,3,0.48,23024
23,29,721,145,20.11,117,16.23,113,15.67,56,7.77,71,9.85,48,6.66,7,0.97,7,0.97,7,0.97,23029
24,44,867,45,5.19,50,5.77,40,4.61,168,19.38,176,20.3,164,18.92,6,0.69,11,1.27,14,1.61,24044
24,53,648,101,15.59,95,14.66,87,13.43,69,10.65,92,14.2,54,8.33,8,1.23,2,0.31,5,0.77,24053
25,1,719,132,18.36,124,17.25,111,15.44,60,8.34,78,10.85,51,7.09,9,1.25,5,0.7,1,0.14,25001
25,2,961,146,15.19,137,14.26,123,12.8,92,9.57,138,14.36,84,8.74,33,3.43,8,0.83,4,0.42,25002
25,5,742,111,14.96,106,14.29,100,13.48,72,9.7,101,13.61,70,9.43,14,1.89,11,1.48,9,1.21,25005
25,6,396,31,7.83,32,8.08,26,6.57,57,14.39,78,19.7,57,14.39,15,3.79,6,1.52,6,1.52,25006
25,7,646,106,16.41,96,14.86,93,14.4,61,9.44,76,11.76,46,7.12,17,2.63,7,1.08,7,1.08,25007
25,8,826,130,15.74,113,13.68,105,12.71,83,10.05,111,13.44,78,9.44,14,1.69,11,1.33,7,0.85,25008
25,9,1081,156,14.43,159,14.71,134,12.4,113,10.45,144,13.32,97,8.97,23,2.13,17,1.57,15,1.39,25009
25,11,881,130,14.76,118,13.39,111,12.6,97,11.01,131,14.87,83,9.42,20,2.27,4,0.45,6,0.68,25011
25,12,747,77,10.31,92,12.32,73,9.77,101,13.52,107,14.32,93,12.45,18,2.41,11,1.47,14,1.87,25012
25,13,898,142,15.81,149,16.59,129,14.37,76,8.46,109,12.14,73,8.13,18,2.0,5,0.56,7,0.78,25013
25,15,804,154,19.15,138,17.16,137,17.04,46,5.72,77,9.58,50,6.22,10,1.24,10,1.24,9,1.12,25015
25,17,1240,156,12.58,146,11.77,144,11.61,145,11.69,190,15.32,136,10.97,33,2.66,14,1.13,21,1.69,25017
25,19,909,137,15.07,121,13.31,120,13.2,91,10.01,128,14.08,82,9.02,31,3.41,12,1.32,10,1.1,25019
25,20,878,137,15.6,130,14.81,126,14.35,80,9.11,120,13.67,71,8.09,22,2.51,7,0.8,10,1.14,25020
25,22,438,68,15.53,61,13.93,59,13.47,42,9.59,58,13.24,39,8.9,10,2.28,6,1.37,5,1.14,25022
25,23,869,120,13.81,123,14.15,111,12.77,96,11.05,116,13.35,87,10.01,26,2.99,4,0.46,7,0.81,25023
25,24,1032,143,13.86,131,12.69,129,12.5,111,10.76,137,13.28,102,9.88,39,3.78,19,1.84,16,1.55,25024
25,30,813,113,13.9,109,13.41,110,13.53,89,10.95,108,13.28,85,10.46,13,1.6,8,0.98,10,1.23,25030
25,31,499,44,8.82,41,8.22,38,7.62,76,15.23,90,18.04,70,14.03,14,2.81,8,1.6,7,1.4,25031
26,1,408,43,10.54,43,10.54,35,8.58,62,15.2,68,16.67,57,13.97,1,0.25,2,0.49,5,1.23,26001
26,2,520,50,9.62,53,10.19,43,8.27,77,14.81,108,20.77,72,13.85,2,0.38,7,1.35,2,0.38,26002
26,3,474,47,9.92,43,9.07,35,7.38,75,15.82,88,18.57,68,14.35,1,0.21,4,0.84,8,1.69,26003
26,4,376,34,9.04,36,9.57,26,6.91,55,14.63,76,20.21,52,13.83,3,0.8,4,1.06,5,1.33,26004
26,5,556,37,6.65,44,7.91,36,6.47,90,16.19,127,22.84,87,15.65,4,0.72,7,1.26,5,0.9,26005
26,6,245,21,8.57,36,14.69,19,7.76,30,12.24,55,22.45,24,9.8,1,0.41,5,2.04,1,0.41,26006
26,7,360,30,8.33,31,8.61,26,7.22,59,16.39,68,18.89,55,15.28,3,0.83,4,1.11,2,0.56,26007
26,8,406,46,11.33,44,10.84,38,9.36,54,13.3,70,17.24,50,12.32,4,0.99,4,0.99,5,1.23,26008
26,9,298,30,10.07,37,12.42,26,8.72,33,11.07,70,23.49,31,10.4,4,1.34,9,3.02,4,1.34,26009
26,10,324,28,8.64,32,9.88,23,7.1,44,13.58,69,21.3,49,15.12,4,1.23,2,0.62,3,0.93,26010
26,11,442,49,11.09,59,13.35,43,9.73,55,12.44,84,19.0,48,10.86,0,0.0,4,0.9,8,1.81,26011
26,12,343,32,9.33,27,7.87,25,7.29,48,13.99,76,22.16,51,14.87,1,0.29,5,1.46,7,2.04,26012
26,13,540,38,7.04,47,8.7,34,6.3,88,16.3,99,18.33,83,15.37,8,1.48,9,1.67,6,1.11,26013
26,14,382,47,12.3,53,13.87,38,9.95,46,12.04,73,19.11,39,10.21,1,0.26,3,0.79,2,0.52,26014
26,15,393,46,11.7,45,11.45,38,9.67,49,12.47,73,18.58,43,10.94,3,0.76,6,1.53,7,1.78,26015
26,16,382,37,9.69,45,11.78,37,9.69,47,12.3,74,19.37,48,12.57,2,0.52,6,1.57,7,1.83,26016
26,18,299,37,12.37,42,14.05,34,11.37,30,10.03,57,19.06,30,10.03,2,0.67,3,1.0,2,0.67,26018
26,19,875,67,7.66,71,8.11,70,8.0,148,16.91,159,18.17,139,15.89,5,0.57,6,0.69,6,0.69,26019
26,20,575,34,5.91,39,6.78,34,5.91,102,17.74,128,22.26,91,15.83,4,0.7,5,0.87,5,0.87,26020
26,21,471,35,7.43,50,10.62,38,8.07,70,14.86,88,18.68,65,13.8,4,0.85,5,1.06,11,2.34,26021
26,22,382,31,8.12,32,8.38,26,6.81,60,15.71,78,20.42,56,14.66,3,0.79,4,1.05,2,0.52,26022
26,23,301,38,12.62,48,15.95,38,12.62,29,9.63,55,18.27,30,9.97,1,0.33,4,1.33,2,0.66,26023
26,24,357,31,8.68,37,10.36,29,8.12,59,16.53,54,15.13,52,14.57,3,0.84,3,0.84,4,1.12,26024
26,25,152,16,10.53,13,8.55,13,8.55,19,12.5,33,21.71,21,13.82,1,0.66,2,1.32,3,1.97,26025
26,26,302,33,10.93,34,11.26,32,10.6,37,12.25,58,19.21,34,11.26,2,0.66,6,1.99,2,0.66,26026
26,27,430,32,7.44,40,9.3,32,7.44,64,14.88,89,20.7,67,15.58,4,0.93,2,0.47,6,1.4,26027
26,28,404,30,7.43,32,7.92,26,6.44,66,16.34,94,23.27,64,15.84,1,0.25,3,0.74,2,0.5,26028
26,29,441,43,9.75,51,11.56,40,9.07,60,13.61,76,17.23,56,12.7,1,0.23,5,1.13,5,1.13,26029
26,30,420,33,7.86,37,8.81,29,6.9,68,16.19,92,21.9,65,15.48,2,0.48,2,0.48,3,0.71,26030
26,31,411,47,11.44,46,11.19,47,11.44,43,10.46,84,20.44,47,11.44,2,0.49,6,1.46,5,1.22,26031
26,32,561,55,9.8,59,10.52,59,10.52,84,14.97,92,16.4,77,13.73,2,0.36,6,1.07,5,0.89,26032
26,34,515,29,5.63,34,6.6,27,5.24,98,19.03,102,19.81,94,18.25,5,0.97,9,1.75,5,0.97,26034
26,35,545,43,7.89,48,8.81,43,7.89,90,16.51,94,17.25,87,15.96,3,0.55,6,1.1,3,0.55,26035
26,36,445,38,8.54,44,9.89,37,8.31,68,15.28,83,18.65,64,14.38,1,0.22,6,1.35,4,0.9,26036
26,37,283,30,10.6,32,11.31,23,8.13,38,13.43,55,19.43,36,12.72,4,1.41,4,1.41,3,1.06,26037
26,38,278,12,4.32,20,7.19,9,3.24,49,17.63,65,23.38,53,19.06,3,1.08,4,1.44,3,1.08,26038
26,39,425,26,6.12,29,6.82,26,6.12,74,17.41,94,22.12,74,17.41,0,0.0,2,0.47,5,1.18,26039
26,40,234,26,11.11,24,10.26,21,8.97,35,14.96,40,17.09,32,13.68,2,0.85,1,0.43,3,1.28,26040
26,41,449,26,5.79,40,8.91,33,7.35,69,15.37,104,23.16,69,15.37,1,0.22,5,1.11,2,0.45,26041
26,42,397,32,8.06,44,11.08,34,8.56,55,13.85,79,19.9,51,12.85,3,0.76,7,1.76,11,2.77,26042
26,43,372,47,12.63,45,12.1,42,11.29,39,10.48,70,18.82,33,8.87,2,0.54,5,1.34,7,1.88,26043
26,44,249,11,4.42,15,6.02,10,4.02,49,19.68,53,21.29,47,18.88,2,0.8,1,0.4,3,1.2,26044
26,45,506,30,5.93,46,9.09,30,5.93,87,17.19,106,20.95,83,16.4,1,0.2,1,0.2,2,0.4,26045
