ward,precinct,total,Jacqueline ''Jackie'' Kaplan (Obama),Jacqueline ''Jackie'' Kaplan (Obama) Percent,Jane E. Hearrin (Clinton),Jane E. Hearrin (Clinton) Percent,precinct_id
45,17,182,90,49.45,92,50.55,45017
45,18,209,113,54.07,96,45.93,45018
45,19,217,116,53.46,101,46.54,45019
45,20,195,98,50.26,97,49.74,45020
45,21,190,94,49.47,96,50.53,45021
45,22,167,64,38.32,103,61.68,45022
45,23,211,109,51.66,102,48.34,45023
45,24,254,129,50.79,125,49.21,45024
45,25,216,107,49.54,109,50.46,45025
45,26,239,123,51.46,116,48.54,45026
45,27,188,87,46.28,101,53.72,45027
45,28,220,97,44.09,123,55.91,45028
45,29,203,96,47.29,107,52.71,45029
45,30,199,90,45.23,109,54.77,45030
45,31,218,134,61.47,84,38.53,45031
45,32,139,62,44.6,77,55.4,45032
45,33,192,95,49.48,97,50.52,45033
45,34,165,76,46.06,89,53.94,45034
45,35,193,109,56.48,84,43.52,45035
45,36,192,112,58.33,80,41.67,45036
45,37,232,108,46.55,124,53.45,45037
45,38,252,131,51.98,121,48.02,45038
45,39,227,122,53.74,105,46.26,45039
45,40,238,120,50.42,118,49.58,45040
45,41,149,79,53.02,70,46.98,45041
45,42,187,68,36.36,119,63.64,45042
45,43,187,87,46.52,100,53.48,45043
45,44,225,110,48.89,115,51.11,45044
45,45,155,69,44.52,86,55.48,45045
45,46,226,121,53.54,105,46.46,45046
45,47,229,122,53.28,107,46.72,45047
45,48,218,126,57.8,92,42.2,45048
45,49,209,124,59.33,85,40.67,45049
45,50,168,87,51.79,81,48.21,45050
45,51,187,91,48.66,96,51.34,45051
45,52,206,95,46.12,111,53.88,45052
45,53,160,72,45.0,88,55.0,45053
46,3,286,195,68.18,91,31.82,46003
46,5,191,132,69.11,59,30.89,46005
46,13,238,148,62.18,90,37.82,46013
46,17,343,208,60.64,135,39.36,46017
46,18,265,173,65.28,92,34.72,46018
46,24,211,143,67.77,68,32.23,46024
46,29,224,125,55.8,99,44.2,46029
46,31,291,177,60.82,114,39.18,46031
46,36,260,137,52.69,123,47.31,46036
46,37,212,157,74.06,55,25.94,46037
46,43,343,208,60.64,135,39.36,46043
46,44,219,165,75.34,54,24.66,46044
47,1,270,186,68.89,84,31.11,47001
47,2,193,116,60.1,77,39.9,47002
47,3,194,113,58.25,81,41.75,47003
47,4,263,182,69.2,81,30.8,47004
47,5,245,189,77.14,56,22.86,47005
47,6,272,186,68.38,86,31.62,47006
47,7,245,183,74.69,62,25.31,47007
47,8,311,197,63.34,114,36.66,47008
47,9,201,128,63.68,73,36.32,47009
47,10,208,155,74.52,53,25.48,47010
47,11,427,282,66.04,145,33.96,47011
47,12,214,141,65.89,73,34.11,47012
47,13,349,255,73.07,94,26.93,47013
47,14,206,144,69.9,62,30.1,47014
47,15,293,201,68.6,92,31.4,47015
47,16,235,162,68.94,73,31.06,47016
47,17,233,144,61.8,89,38.2,47017
47,18,304,214,70.39,90,29.61,47018
47,19,279,178,63.8,101,36.2,47019
47,20,279,183,65.59,96,34.41,47020
47,21,253,184,72.73,69,27.27,47021
47,22,253,170,67.19,83,32.81,47022
