ward,precinct,total,Sheila M. Murphy (Clinton),Sheila M. Murphy (Clinton) Percent,Fred G. Lebed (Clinton),Fred G. Lebed (Clinton) Percent,Mary Morrissey-Kochanny (Clinton),Mary Morrissey-Kochanny (Clinton) Percent,Ghassan Abboud (Clinton),Ghassan Abboud (Clinton) Percent,Colleen Burns (Clinton),Colleen Burns (Clinton) Percent,Martin Arteaga (Clinton),Martin Arteaga (Clinton) Percent,John P. Daley (Obama),John P. Daley (Obama) Percent,Elizabeth ''Lisa'' Hernandez (Obama),Elizabeth ''Lisa'' Hernandez (Obama) Percent,Shirley Roumagoux-Madigan (Obama),Shirley Roumagoux-Madigan (Obama) Percent,"Albert D. Tyson, III (Obama)","Albert D. Tyson, III (Obama) Percent",Arthur Velasquez (Obama),Arthur Velasquez (Obama) Percent,Diane M. Viverito (Obama),Diane M. Viverito (Obama) Percent,Mike Erickson (Richardson),Mike Erickson (Richardson) Percent,Guillermo GÃ³mez (Richardson),Guillermo GÃ³mez (Richardson) Percent,precinct_id
11,26,1645,150,9.12,126,7.66,127,7.72,119,7.23,140,8.51,142,8.63,156,9.48,149,9.06,121,7.36,117,7.11,139,8.45,123,7.48,8,0.49,28,1.7,11026
11,29,1130,111,9.82,87,7.7,91,8.05,84,7.43,103,9.12,97,8.58,111,9.82,95,8.41,86,7.61,71,6.28,87,7.7,77,6.81,8,0.71,22,1.95,11029
11,30,910,84,9.23,76,8.35,74,8.13,69,7.58,76,8.35,94,10.33,77,8.46,84,9.23,60,6.59,57,6.26,70,7.69,61,6.7,11,1.21,17,1.87,11030
11,31,724,66,9.12,53,7.32,52,7.18,44,6.08,55,7.6,50,6.91,86,11.88,61,8.43,65,8.98,57,7.87,63,8.7,65,8.98,5,0.69,2,0.28,11031
11,32,856,67,7.83,55,6.43,59,6.89,51,5.96,63,7.36,57,6.66,114,13.32,79,9.23,76,8.88,72,8.41,76,8.88,76,8.88,7,0.82,4,0.47,11032
11,33,713,63,8.84,53,7.43,55,7.71,46,6.45,56,7.85,45,6.31,84,11.78,64,8.98,59,8.27,60,8.42,59,8.27,61,8.56,4,0.56,4,0.56,11033
11,34,287,32,11.15,25,8.71,28,9.76,22,7.67,32,11.15,24,8.36,34,11.85,18,6.27,18,6.27,15,5.23,16,5.57,20,6.97,1,0.35,2,0.7,11034
11,35,1460,100,6.85,89,6.1,82,5.62,77,5.27,96,6.58,78,5.34,204,13.97,155,10.62,145,9.93,132,9.04,141,9.66,138,9.45,9,0.62,14,0.96,11035
11,37,1240,97,7.82,84,6.77,83,6.69,79,6.37,88,7.1,82,6.61,163,13.15,116,9.35,106,8.55,106,8.55,113,9.11,112,9.03,5,0.4,6,0.48,11037
11,38,1803,138,7.65,123,6.82,129,7.15,110,6.1,132,7.32,112,6.21,219,12.15,162,8.99,165,9.15,152,8.43,162,8.99,169,9.37,18,1.0,12,0.67,11038
11,39,1635,162,9.91,141,8.62,144,8.81,123,7.52,148,9.05,129,7.89,177,10.83,127,7.77,123,7.52,110,6.73,117,7.16,124,7.58,7,0.43,3,0.18,11039
11,40,689,47,6.82,45,6.53,49,7.11,42,6.1,50,7.26,44,6.39,86,12.48,68,9.87,56,8.13,63,9.14,62,9.0,62,9.0,6,0.87,9,1.31,11040
11,41,666,48,7.21,44,6.61,51,7.66,46,6.91,50,7.51,46,6.91,72,10.81,63,9.46,63,9.46,56,8.41,56,8.41,64,9.61,5,0.75,2,0.3,11041
11,42,870,72,8.28,61,7.01,59,6.78,60,6.9,63,7.24,68,7.82,99,11.38,73,8.39,74,8.51,66,7.59,73,8.39,73,8.39,12,1.38,17,1.95,11042
11,43,1153,123,10.67,105,9.11,115,9.97,101,8.76,123,10.67,103,8.93,107,9.28,76,6.59,63,5.46,59,5.12,68,5.9,70,6.07,20,1.73,20,1.73,11043
11,44,1115,88,7.89,72,6.46,78,7.0,74,6.64,80,7.17,74,6.64,129,11.57,112,10.04,96,8.61,90,8.07,102,9.15,97,8.7,9,0.81,14,1.26,11044
11,45,486,52,10.7,47,9.67,50,10.29,46,9.47,52,10.7,48,9.88,45,9.26,31,6.38,30,6.17,25,5.14,29,5.97,28,5.76,1,0.21,2,0.41,11045
11,47,984,85,8.64,70,7.11,80,8.13,69,7.01,78,7.93,67,6.81,114,11.59,88,8.94,78,7.93,75,7.62,78,7.93,77,7.83,11,1.12,14,1.42,11047
11,48,426,40,9.39,35,8.22,35,8.22,30,7.04,40,9.39,32,7.51,47,11.03,34,7.98,31,7.28,32,7.51,31,7.28,31,7.28,4,0.94,4,0.94,11048
11,49,983,88,8.95,70,7.12,76,7.73,64,6.51,79,8.04,65,6.61,118,12.0,89,9.05,85,8.65,81,8.24,79,8.04,79,8.04,7,0.71,3,0.31,11049
11,50,618,60,9.71,51,8.25,47,7.61,46,7.44,54,8.74,54,8.74,65,10.52,42,6.8,47,7.61,44,7.12,45,7.28,53,8.58,3,0.49,7,1.13,11050
13,1,1349,111,8.23,86,6.38,94,6.97,78,5.78,98,7.26,87,6.45,143,10.6,132,9.79,122,9.04,117,8.67,120,8.9,123,9.12,22,1.63,16,1.19,13001
13,2,1053,78,7.41,64,6.08,68,6.46,60,5.7,70,6.65,73,6.93,106,10.07,114,10.83,96,9.12,93,8.83,105,9.97,98,9.31,8,0.76,20,1.9,13002
13,4,1729,180,10.41,153,8.85,149,8.62,141,8.16,173,10.01,148,8.56,151,8.73,130,7.52,121,7.0,109,6.3,116,6.71,125,7.23,19,1.1,14,0.81,13004
13,5,1525,147,9.64,116,7.61,110,7.21,109,7.15,119,7.8,138,9.05,129,8.46,140,9.18,122,8.0,112,7.34,126,8.26,123,8.07,17,1.11,17,1.11,13005
13,6,1286,111,8.63,93,7.23,97,7.54,85,6.61,102,7.93,96,7.47,122,9.49,119,9.25,103,8.01,100,7.78,110,8.55,116,9.02,13,1.01,19,1.48,13006
13,7,1121,88,7.85,74,6.6,72,6.42,67,5.98,83,7.4,84,7.49,115,10.26,114,10.17,101,9.01,102,9.1,103,9.19,104,9.28,9,0.8,5,0.45,13007
13,8,1376,141,10.25,124,9.01,124,9.01,104,7.56,128,9.3,124,9.01,116,8.43,94,6.83,92,6.69,88,6.4,92,6.69,97,7.05,31,2.25,21,1.53,13008
13,9,1529,146,9.55,127,8.31,128,8.37,124,8.11,140,9.16,137,8.96,136,8.89,121,7.91,107,7.0,94,6.15,111,7.26,105,6.87,24,1.57,29,1.9,13009
13,10,1145,80,6.99,68,5.94,76,6.64,62,5.41,70,6.11,73,6.38,128,11.18,121,10.57,113,9.87,107,9.34,111,9.69,108,9.43,14,1.22,14,1.22,13010
13,11,1423,108,7.59,93,6.54,98,6.89,87,6.11,101,7.1,91,6.39,153,10.75,139,9.77,133,9.35,128,9.0,134,9.42,136,9.56,9,0.63,13,0.91,13011
13,12,1084,98,9.04,71,6.55,88,8.12,73,6.73,87,8.03,94,8.67,89,8.21,105,9.69,92,8.49,77,7.1,87,8.03,84,7.75,17,1.57,22,2.03,13012
13,13,1447,91,6.29,80,5.53,84,5.81,75,5.18,91,6.29,84,5.81,165,11.4,156,10.78,151,10.44,138,9.54,155,10.71,154,10.64,9,0.62,14,0.97,13013
13,14,1204,86,7.14,80,6.64,77,6.4,72,5.98,79,6.56,88,7.31,127,10.55,118,9.8,115,9.55,103,8.55,116,9.63,107,8.89,13,1.08,23,1.91,13014
13,15,2034,158,7.77,152,7.47,149,7.33,131,6.44,144,7.08,155,7.62,194,9.54,197,9.69,188,9.24,170,8.36,175,8.6,181,8.9,20,0.98,20,0.98,13015
13,16,1578,145,9.19,130,8.24,128,8.11,121,7.67,132,8.37,146,9.25,130,8.24,150,9.51,120,7.6,108,6.84,124,7.86,109,6.91,12,0.76,23,1.46,13016
13,17,1257,105,8.35,92,7.32,94,7.48,88,7.0,104,8.27,92,7.32,122,9.71,118,9.39,105,8.35,94,7.48,110,8.75,102,8.11,16,1.27,15,1.19,13017
13,18,960,85,8.85,75,7.81,79,8.23,73,7.6,82,8.54,88,9.17,76,7.92,87,9.06,71,7.4,70,7.29,79,8.23,73,7.6,6,0.63,16,1.67,13018
13,19,1839,128,6.96,98,5.33,108,5.87,100,5.44,111,6.04,119,6.47,198,10.77,202,10.98,184,10.01,180,9.79,195,10.6,178,9.68,12,0.65,26,1.41,13019
13,20,1245,112,9.0,84,6.75,97,7.79,81,6.51,99,7.95,111,8.92,113,9.08,120,9.64,95,7.63,92,7.39,113,9.08,97,7.79,9,0.72,22,1.77,13020
13,21,1579,102,6.46,81,5.13,82,5.19,69,4.37,92,5.83,91,5.76,187,11.84,182,11.53,164,10.39,165,10.45,172,10.89,166,10.51,12,0.76,14,0.89,13021
13,22,1154,92,7.97,77,6.67,79,6.85,69,5.98,81,7.02,85,7.37,108,9.36,119,10.31,110,9.53,102,8.84,108,9.36,104,9.01,8,0.69,12,1.04,13022
13,23,1185,88,7.43,73,6.16,79,6.67,70,5.91,79,6.67,81,6.84,125,10.55,120,10.13,114,9.62,106,8.95,114,9.62,115,9.7,10,0.84,11,0.93,13023
13,24,1260,100,7.94,87,6.9,88,6.98,70,5.56,94,7.46,76,6.03,130,10.32,126,10.0,117,9.29,108,8.57,122,9.68,112,8.89,18,1.43,12,0.95,13024
13,25,1040,123,11.83,102,9.81,108,10.38,93,8.94,106,10.19,105,10.1,71,6.83,65,6.25,57,5.48,58,5.58,57,5.48,60,5.77,16,1.54,19,1.83,13025
13,26,1349,96,7.12,79,5.86,84,6.23,77,5.71,93,6.89,87,6.45,147,10.9,142,10.53,127,9.41,123,9.12,133,9.86,131,9.71,10,0.74,20,1.48,13026
13,27,1256,102,8.12,80,6.37,87,6.93,72,5.73,94,7.48,79,6.29,134,10.67,121,9.63,119,9.47,109,8.68,116,9.24,114,9.08,13,1.04,16,1.27,13027
13,28,1077,87,8.08,71,6.59,80,7.43,73,6.78,87,8.08,90,8.36,91,8.45,102,9.47,95,8.82,79,7.34,90,8.36,88,8.17,19,1.76,25,2.32,13028
13,29,1226,103,8.4,89,7.26,95,7.75,75,6.12,86,7.01,92,7.5,115,9.38,119,9.71,106,8.65,93,7.59,108,8.81,108,8.81,15,1.22,22,1.79,13029
13,30,1891,185,9.78,150,7.93,151,7.99,141,7.46,159,8.41,177,9.36,154,8.14,169,8.94,136,7.19,127,6.72,152,8.04,138,7.3,19,1.0,33,1.75,13030
13,31,1629,122,7.49,106,6.51,113,6.94,93,5.71,111,6.81,121,7.43,167,10.25,171,10.5,145,8.9,136,8.35,160,9.82,141,8.66,13,0.8,30,1.84,13031
13,32,1462,53,3.63,36,2.46,37,2.53,30,2.05,40,2.74,36,2.46,210,14.36,202,13.82,195,13.34,201,13.75,202,13.82,198,13.54,11,0.75,11,0.75,13032
13,33,1284,102,7.94,81,6.31,91,7.09,73,5.69,91,7.09,96,7.48,129,10.05,129,10.05,120,9.35,107,8.33,115,8.96,119,9.27,14,1.09,17,1.32,13033
13,34,1881,125,6.65,113,6.01,116,6.17,104,5.53,118,6.27,123,6.54,205,10.9,195,10.37,188,9.99,185,9.84,192,10.21,191,10.15,11,0.58,15,0.8,13034
13,35,1489,105,7.05,87,5.84,88,5.91,77,5.17,91,6.11,93,6.25,154,10.34,151,10.14,157,10.54,141,9.47,156,10.48,156,10.48,15,1.01,18,1.21,13035
13,36,751,62,8.26,48,6.39,54,7.19,53,7.06,55,7.32,58,7.72,70,9.32,77,10.25,60,7.99,61,8.12,69,9.19,62,8.26,9,1.2,13,1.73,13036
13,37,1130,85,7.52,69,6.11,73,6.46,70,6.19,76,6.73,83,7.35,114,10.09,110,9.73,105,9.29,102,9.03,106,9.38,114,10.09,9,0.8,14,1.24,13037
13,38,1373,130,9.47,111,8.08,113,8.23,105,7.65,116,8.45,111,8.08,118,8.59,115,8.38,106,7.72,101,7.36,106,7.72,99,7.21,23,1.68,19,1.38,13038
13,39,1219,109,8.94,92,7.55,100,8.2,86,7.05,96,7.88,105,8.61,110,9.02,105,8.61,102,8.37,89,7.3,96,7.88,97,7.96,13,1.07,19,1.56,13039
13,40,1555,152,9.77,130,8.36,144,9.26,130,8.36,142,9.13,150,9.65,122,7.85,122,7.85,106,6.82,101,6.5,116,7.46,104,6.69,15,0.96,21,1.35,13040
13,41,1116,114,10.22,104,9.32,109,9.77,105,9.41,113,10.13,118,10.57,74,6.63,79,7.08,70,6.27,66,5.91,68,6.09,69,6.18,10,0.9,17,1.52,13041
13,42,1366,89,6.52,79,5.78,79,5.78,72,5.27,84,6.15,70,5.12,158,11.57,147,10.76,143,10.47,134,9.81,138,10.1,144,10.54,16,1.17,13,0.95,13042
13,43,1325,105,7.92,88,6.64,86,6.49,79,5.96,93,7.02,95,7.17,130,9.81,132,9.96,118,8.91,113,8.53,124,9.36,124,9.36,17,1.28,21,1.58,13043
13,44,1990,94,4.72,85,4.27,86,4.32,77,3.87,84,4.22,94,4.72,249,12.51,251,12.61,236,11.86,234,11.76,247,12.41,238,11.96,4,0.2,11,0.55,13044
13,45,1612,125,7.75,99,6.14,107,6.64,90,5.58,119,7.38,112,6.95,178,11.04,162,10.05,145,9.0,140,8.68,148,9.18,151,9.37,14,0.87,22,1.36,13045
13,46,1399,126,9.01,102,7.29,95,6.79,92,6.58,114,8.15,114,8.15,131,9.36,128,9.15,114,8.15,102,7.29,121,8.65,110,7.86,21,1.5,29,2.07,13046
13,47,1435,137,9.55,111,7.74,113,7.87,104,7.25,119,8.29,127,8.85,127,8.85,125,8.71,111,7.74,101,7.04,120,8.36,102,7.11,17,1.18,21,1.46,13047
14,2,879,88,10.01,70,7.96,67,7.62,64,7.28,71,8.08,80,9.1,79,8.99,73,8.3,63,7.17,59,6.71,72,8.19,63,7.17,9,1.02,21,2.39,14002
14,25,963,82,8.52,72,7.48,77,8.0,69,7.17,75,7.79,81,8.41,97,10.07,87,9.03,75,7.79,75,7.79,81,8.41,76,7.89,8,0.83,8,0.83,14025
14,28,873,89,10.19,72,8.25,75,8.59,69,7.9,73,8.36,90,10.31,76,8.71,74,8.48,54,6.19,53,6.07,65,7.45,52,5.96,7,0.8,24,2.75,14028
15,1,887,60,6.76,53,5.98,54,6.09,55,6.2,56,6.31,57,6.43,93,10.48,88,9.92,91,10.26,91,10.26,94,10.6,86,9.7,6,0.68,3,0.34,15001
15,10,625,70,11.2,53,8.48,58,9.28,55,8.8,58,9.28,76,12.16,41,6.56,54,8.64,34,5.44,29,4.64,47,7.52,33,5.28,0,0.0,17,2.72,15010
15,13,591,32,5.41,24,4.06,29,4.91,24,4.06,29,4.91,38,6.43,69,11.68,80,13.54,55,9.31,62,10.49,66,11.17,60,10.15,10,1.69,13,2.2,15013
15,14,953,93,9.76,73,7.66,79,8.29,74,7.76,84,8.81,89,9.34,67,7.03,87,9.13,68,7.14,65,6.82,79,8.29,65,6.82,11,1.15,19,1.99,15014
15,15,774,57,7.36,40,5.17,46,5.94,45,5.81,52,6.72,65,8.4,83,10.72,84,10.85,61,7.88,68,8.79,76,9.82,70,9.04,6,0.78,21,2.71,15015
15,16,596,58,9.73,47,7.89,46,7.72,40,6.71,45,7.55,59,9.9,42,7.05,55,9.23,43,7.21,38,6.38,51,8.56,46,7.72,6,1.01,20,3.36,15016
15,25,777,48,6.18,27,3.47,34,4.38,26,3.35,38,4.89,42,5.41,95,12.23,97,12.48,84,10.81,90,11.58,89,11.45,81,10.42,10,1.29,16,2.06,15025
15,28,1021,97,9.5,85,8.33,85,8.33,75,7.35,88,8.62,112,10.97,78,7.64,93,9.11,60,5.88,63,6.17,81,7.93,67,6.56,9,0.88,28,2.74,15028
15,32,980,49,5.0,39,3.98,42,4.29,35,3.57,42,4.29,50,5.1,123,12.55,121,12.35,112,11.43,116,11.84,115,11.73,110,11.22,9,0.92,17,1.73,15032
15,44,956,56,5.86,42,4.39,41,4.29,38,3.97,48,5.02,53,5.54,113,11.82,113,11.82,101,10.56,112,11.72,106,11.09,106,11.09,11,1.15,16,1.67,15044
15,49,459,37,8.06,25,5.45,24,5.23,23,5.01,34,7.41,28,6.1,46,10.02,53,11.55,40,8.71,43,9.37,47,10.24,45,9.8,6,1.31,8,1.74,15049
16,1,584,32,5.48,18,3.08,17,2.91,24,4.11,28,4.79,22,3.77,83,14.21,80,13.7,71,12.16,68,11.64,66,11.3,65,11.13,3,0.51,7,1.2,16001
16,4,623,52,8.35,37,5.94,40,6.42,41,6.58,45,7.22,51,8.19,62,9.95,63,10.11,50,8.03,53,8.51,56,8.99,52,8.35,8,1.28,13,2.09,16004
16,6,414,11,2.66,4,0.97,3,0.72,6,1.45,8,1.93,6,1.45,58,14.01,62,14.98,59,14.25,65,15.7,61,14.73,60,14.49,5,1.21,6,1.45,16006
16,7,946,33,3.49,18,1.9,17,1.8,15,1.59,17,1.8,21,2.22,134,14.16,134,14.16,122,12.9,136,14.38,132,13.95,139,14.69,15,1.59,13,1.37,16007
16,11,1039,59,5.68,33,3.18,44,4.23,35,3.37,49,4.72,42,4.04,140,13.47,131,12.61,121,11.65,131,12.61,118,11.36,112,10.78,8,0.77,16,1.54,16011
16,13,652,62,9.51,51,7.82,57,8.74,45,6.9,57,8.74,65,9.97,51,7.82,62,9.51,47,7.21,42,6.44,55,8.44,46,7.06,3,0.46,9,1.38,16013
16,17,785,76,9.68,67,8.54,71,9.04,64,8.15,69,8.79,85,10.83,48,6.11,72,9.17,45,5.73,47,5.99,57,7.26,52,6.62,8,1.02,24,3.06,16017
16,23,811,72,8.88,59,7.27,53,6.54,53,6.54,61,7.52,69,8.51,71,8.75,83,10.23,61,7.52,64,7.89,78,9.62,62,7.64,4,0.49,21,2.59,16023
16,32,700,71,10.14,56,8.0,63,9.0,54,7.71,71,10.14,76,10.86,49,7.0,59,8.43,38,5.43,40,5.71,55,7.86,41,5.86,8,1.14,19,2.71,16032
16,35,906,79,8.72,66,7.28,64,7.06,54,5.96,71,7.84,94,10.38,68,7.51,91,10.04,55,6.07,69,7.62,83,9.16,66,7.28,14,1.55,32,3.53,16035
16,39,749,88,11.75,68,9.08,73,9.75,67,8.95,75,10.01,99,13.22,39,5.21,57,7.61,31,4.14,36,4.81,47,6.28,31,4.14,9,1.2,29,3.87,16039
16,42,747,69,9.24,52,6.96,55,7.36,52,6.96,64,8.57,86,11.51,64,8.57,76,10.17,46,6.16,49,6.56,57,7.63,45,6.02,7,0.94,25,3.35,16042
18,3,839,80,9.54,68,8.1,74,8.82,65,7.75,77,9.18,69,8.22,75,8.94,65,7.75,62,7.39,61,7.27,62,7.39,61,7.27,12,1.43,8,0.95,18003
18,6,1068,89,8.33,79,7.4,76,7.12,70,6.55,84,7.87,81,7.58,100,9.36,99,9.27,84,7.87,89,8.33,99,9.27,93,8.71,12,1.12,13,1.22,18006
18,15,774,62,8.01,55,7.11,56,7.24,53,6.85,58,7.49,60,7.75,66,8.53,70,9.04,67,8.66,68,8.79,75,9.69,67,8.66,6,0.78,11,1.42,18015
18,28,1124,105,9.34,91,8.1,88,7.83,79,7.03,100,8.9,87,7.74,105,9.34,89,7.92,87,7.74,83,7.38,90,8.01,98,8.72,13,1.16,9,0.8,18028
18,41,1291,117,9.06,90,6.97,103,7.98,88,6.82,102,7.9,92,7.13,124,9.6,120,9.3,110,8.52,108,8.37,106,8.21,111,8.6,8,0.62,12,0.93,18041
18,43,971,56,5.77,48,4.94,43,4.43,36,3.71,48,4.94,55,5.66,119,12.26,120,12.36,105,10.81,101,10.4,114,11.74,101,10.4,7,0.72,18,1.85,18043
18,48,771,75,9.73,61,7.91,62,8.04,66,8.56,72,9.34,72,9.34,63,8.17,62,8.04,50,6.49,51,6.61,59,7.65,53,6.87,11,1.43,14,1.82,18048
18,55,1246,109,8.75,92,7.38,101,8.11,90,7.22,110,8.83,98,7.87,109,8.75,101,8.11,97,7.78,102,8.19,100,8.03,105,8.43,19,1.52,13,1.04,18055
18,56,1140,71,6.23,54,4.74,47,4.12,44,3.86,52,4.56,65,5.7,127,11.14,142,12.46,115,10.09,134,11.75,133,11.67,122,10.7,16,1.4,18,1.58,18056
18,57,1170,85,7.26,71,6.07,67,5.73,59,5.04,73,6.24,75,6.41,122,10.43,130,11.11,104,8.89,120,10.26,121,10.34,109,9.32,13,1.11,21,1.79,18057
18,62,1011,75,7.42,48,4.75,56,5.54,54,5.34,60,5.93,64,6.33,110,10.88,104,10.29,97,9.59,103,10.19,104,10.29,104,10.29,13,1.29,19,1.88,18062
19,1,1631,146,8.95,102,6.25,117,7.17,87,5.33,121,7.42,93,5.7,186,11.4,152,9.32,155,9.5,139,8.52,148,9.07,146,8.95,25,1.53,14,0.86,19001
19,2,1674,55,3.29,34,2.03,37,2.21,32,1.91,47,2.81,37,2.21,243,14.52,236,14.1,224,13.38,242,14.46,239,14.28,231,13.8,13,0.78,4,0.24,19002
19,3,952,108,11.34,85,8.93,86,9.03,73,7.67,100,10.5,83,8.72,93,9.77,66,6.93,65,6.83,55,5.78,59,6.2,58,6.09,14,1.47,7,0.74,19003
19,4,1341,118,8.8,86,6.41,99,7.38,82,6.11,104,7.76,89,6.64,149,11.11,118,8.8,123,9.17,108,8.05,116,8.65,114,8.5,23,1.72,12,0.89,19004
19,5,1878,72,3.83,51,2.72,61,3.25,41,2.18,67,3.57,45,2.4,269,14.32,253,13.47,247,13.15,252,13.42,254,13.53,244,12.99,13,0.69,9,0.48,19005
19,6,1075,128,11.91,95,8.84,107,9.95,90,8.37,111,10.33,93,8.65,90,8.37,70,6.51,72,6.7,61,5.67,64,5.95,68,6.33,15,1.4,11,1.02,19006
19,7,1543,141,9.14,99,6.42,107,6.93,93,6.03,123,7.97,94,6.09,178,11.54,138,8.94,143,9.27,131,8.49,133,8.62,138,8.94,16,1.04,9,0.58,19007
19,8,1015,115,11.33,91,8.97,104,10.25,86,8.47,111,10.94,88,8.67,84,8.28,65,6.4,71,7.0,54,5.32,52,5.12,59,5.81,18,1.77,17,1.67,19008
19,9,962,107,11.12,88,9.15,102,10.6,80,8.32,102,10.6,88,9.15,75,7.8,64,6.65,62,6.44,52,5.41,57,5.93,56,5.82,16,1.66,13,1.35,19009
19,10,2266,131,5.78,96,4.24,110,4.85,90,3.97,129,5.69,101,4.46,282,12.44,265,11.69,265,11.69,250,11.03,252,11.12,249,10.99,28,1.24,18,0.79,19010
19,11,1522,149,9.79,119,7.82,137,9.0,104,6.83,144,9.46,116,7.62,146,9.59,111,7.29,115,7.56,107,7.03,111,7.29,115,7.56,32,2.1,16,1.05,19011
