ward,precinct,total,Mark N. Pera,Mark N. Pera Percent,Jim Capparelli,Jim Capparelli Percent,Daniel William Lipinski,Daniel William Lipinski Percent,Jerry Bennett,Jerry Bennett Percent,precinct_id
11,49,195,28,14.36,58,29.74,101,51.79,8,4.1,11049
11,50,114,24,21.05,15,13.16,65,57.02,10,8.77,11050
13,1,260,15,5.77,65,25.0,173,66.54,7,2.69,13001
13,2,196,39,19.9,5,2.55,145,73.98,7,3.57,13002
13,4,330,29,8.79,110,33.33,167,50.61,24,7.27,13004
13,5,304,59,19.41,20,6.58,213,70.07,12,3.95,13005
13,6,245,36,14.69,16,6.53,173,70.61,20,8.16,13006
13,7,232,13,5.6,11,4.74,200,86.21,8,3.45,13007
13,8,277,14,5.05,81,29.24,174,62.82,8,2.89,13008
13,9,285,53,18.6,31,10.88,192,67.37,9,3.16,13009
13,10,225,30,13.33,8,3.56,175,77.78,12,5.33,13010
13,11,264,57,21.59,20,7.58,169,64.02,18,6.82,13011
13,12,215,52,24.19,20,9.3,134,62.33,9,4.19,13012
13,13,272,43,15.81,16,5.88,207,76.1,6,2.21,13013
13,14,245,58,23.67,14,5.71,162,66.12,11,4.49,13014
13,15,376,70,18.62,16,4.26,276,73.4,14,3.72,13015
13,16,318,61,19.18,25,7.86,213,66.98,19,5.97,13016
13,17,232,42,18.1,31,13.36,145,62.5,14,6.03,13017
13,18,188,92,48.94,8,4.26,79,42.02,9,4.79,13018
13,19,333,73,21.92,15,4.5,221,66.37,24,7.21,13019
13,20,255,115,45.1,9,3.53,124,48.63,7,2.75,13020
13,21,290,33,11.38,13,4.48,224,77.24,20,6.9,13021
13,22,217,30,13.82,7,3.23,168,77.42,12,5.53,13022
13,23,233,36,15.45,23,9.87,165,70.82,9,3.86,13023
13,24,233,20,8.58,8,3.43,199,85.41,6,2.58,13024
13,25,205,43,20.98,18,8.78,119,58.05,25,12.2,13025
13,26,243,12,4.94,26,10.7,200,82.3,5,2.06,13026
13,27,234,23,9.83,36,15.38,168,71.79,7,2.99,13027
13,28,198,39,19.7,16,8.08,132,66.67,11,5.56,13028
13,29,232,44,18.97,25,10.78,152,65.52,11,4.74,13029
13,30,368,144,39.13,11,2.99,196,53.26,17,4.62,13030
13,31,299,79,26.42,12,4.01,200,66.89,8,2.68,13031
13,32,256,28,10.94,16,6.25,170,66.41,42,16.41,13032
13,33,236,57,24.15,16,6.78,149,63.14,14,5.93,13033
13,34,340,70,20.59,10,2.94,252,74.12,8,2.35,13034
13,35,278,38,13.67,9,3.24,216,77.7,15,5.4,13035
13,36,137,23,16.79,9,6.57,97,70.8,8,5.84,13036
13,37,213,37,17.37,17,7.98,133,62.44,26,12.21,13037
13,38,251,44,17.53,15,5.98,178,70.92,14,5.58,13038
13,39,225,38,16.89,6,2.67,171,76.0,10,4.44,13039
13,40,289,100,34.6,16,5.54,165,57.09,8,2.77,13040
13,41,201,34,16.92,9,4.48,154,76.62,4,1.99,13041
13,42,244,37,15.16,16,6.56,157,64.34,34,13.93,13042
13,43,257,39,15.18,22,8.56,188,73.15,8,3.11,13043
13,44,346,45,13.01,7,2.02,289,83.53,5,1.45,13044
13,45,309,28,9.06,47,15.21,217,70.23,17,5.5,13045
13,46,263,82,31.18,30,11.41,142,53.99,9,3.42,13046
13,47,263,67,25.48,17,6.46,171,65.02,8,3.04,13047
14,2,166,56,33.73,12,7.23,88,53.01,10,6.02,14002
14,25,195,47,24.1,10,5.13,132,67.69,6,3.08,14025
14,28,176,54,30.68,8,4.55,100,56.82,14,7.95,14028
15,1,112,56,50.0,8,7.14,40,35.71,8,7.14,15001
15,10,136,98,72.06,5,3.68,25,18.38,8,5.88,15010
15,13,122,39,31.97,15,12.3,36,29.51,32,26.23,15013
15,14,190,119,62.63,9,4.74,51,26.84,11,5.79,15014
15,15,149,58,38.93,15,10.07,50,33.56,26,17.45,15015
15,16,124,75,60.48,8,6.45,30,24.19,11,8.87,15016
15,25,159,42,26.42,18,11.32,61,38.36,38,23.9,15025
15,28,215,119,55.35,15,6.98,69,32.09,12,5.58,15028
15,32,180,46,25.56,21,11.67,69,38.33,44,24.44,15032
15,44,186,66,35.48,10,5.38,75,40.32,35,18.82,15044
15,49,89,35,39.33,10,11.24,21,23.6,23,25.84,15049
16,1,128,36,28.13,11,8.59,51,39.84,30,23.44,16001
16,4,120,43,35.83,15,12.5,42,35.0,20,16.67,16004
16,6,72,15,20.83,7,9.72,28,38.89,22,30.56,16006
16,7,156,38,24.36,12,7.69,59,37.82,47,30.13,16007
16,11,211,58,27.49,22,10.43,81,38.39,50,23.7,16011
16,13,128,54,42.19,9,7.03,42,32.81,23,17.97,16013
16,17,158,102,64.56,8,5.06,46,29.11,2,1.27,16017
16,23,153,56,36.6,9,5.88,67,43.79,21,13.73,16023
16,32,136,47,34.56,19,13.97,55,40.44,15,11.03,16032
16,35,181,83,45.86,24,13.26,50,27.62,24,13.26,16035
16,39,169,107,63.31,11,6.51,46,27.22,5,2.96,16039
16,42,167,85,50.9,10,5.99,51,30.54,21,12.57,16042
18,3,177,35,19.77,27,15.25,104,58.76,11,6.21,18003
18,6,196,49,25.0,20,10.2,114,58.16,13,6.63,18006
18,15,141,56,39.72,4,2.84,67,47.52,14,9.93,18015
18,28,225,51,22.67,29,12.89,131,58.22,14,6.22,18028
18,41,231,51,22.08,27,11.69,119,51.52,34,14.72,18041
18,43,188,65,34.57,18,9.57,78,41.49,27,14.36,18043
18,48,151,47,31.13,13,8.61,81,53.64,10,6.62,18048
18,55,231,46,19.91,24,10.39,136,58.87,25,10.82,18055
18,56,226,75,33.19,21,9.29,88,38.94,42,18.58,18056
18,57,212,61,28.77,24,11.32,107,50.47,20,9.43,18057
18,62,188,65,34.57,18,9.57,77,40.96,28,14.89,18062
19,1,314,35,11.15,43,13.69,203,64.65,33,10.51,19001
19,2,294,52,17.69,36,12.24,174,59.18,32,10.88,19002
19,3,188,34,18.09,27,14.36,105,55.85,22,11.7,19003
19,4,248,23,9.27,19,7.66,154,62.1,52,20.97,19004
19,5,332,78,23.49,40,12.05,163,49.1,51,15.36,19005
19,6,218,58,26.61,18,8.26,120,55.05,22,10.09,19006
19,7,284,50,17.61,40,14.08,162,57.04,32,11.27,19007
19,8,201,26,12.94,23,11.44,128,63.68,24,11.94,19008
19,9,196,40,20.41,40,20.41,108,55.1,8,4.08,19009
19,10,405,82,20.25,77,19.01,192,47.41,54,13.33,19010
19,11,315,41,13.02,64,20.32,167,53.02,43,13.65,19011
19,12,261,33,12.64,20,7.66,186,71.26,22,8.43,19012
19,13,254,54,21.26,14,5.51,146,57.48,40,15.75,19013
19,14,150,40,26.67,15,10.0,78,52.0,17,11.33,19014
19,15,246,58,23.58,31,12.6,138,56.1,19,7.72,19015
19,16,323,44,13.62,33,10.22,185,57.28,61,18.89,19016
19,17,306,41,13.4,53,17.32,181,59.15,31,10.13,19017
19,18,348,79,22.7,69,19.83,167,47.99,33,9.48,19018
19,19,321,104,32.4,24,7.48,160,49.84,33,10.28,19019
19,20,289,84,29.07,17,5.88,155,53.63,33,11.42,19020
19,21,178,39,21.91,27,15.17,82,46.07,30,16.85,19021
19,22,359,94,26.18,68,18.94,166,46.24,31,8.64,19022
19,23,337,82,24.33,38,11.28,190,56.38,27,8.01,19023
19,24,236,32,13.56,23,9.75,150,63.56,31,13.14,19024
19,25,331,87,26.28,29,8.76,178,53.78,37,11.18,19025
19,26,324,112,34.57,30,9.26,157,48.46,25,7.72,19026
19,27,198,85,42.93,13,6.57,65,32.83,35,17.68,19027
19,29,211,34,16.11,27,12.8,123,58.29,27,12.8,19029
19,30,242,30,12.4,21,8.68,149,61.57,42,17.36,19030
19,31,275,91,33.09,29,10.55,124,45.09,31,11.27,19031
19,32,304,59,19.41,60,19.74,168,55.26,17,5.59,19032
19,33,278,44,15.83,48,17.27,162,58.27,24,8.63,19033
19,34,309,94,30.42,30,9.71,143,46.28,42,13.59,19034
19,35,296,75,25.34,24,8.11,153,51.69,44,14.86,19035
19,36,397,143,36.02,27,6.8,161,40.55,66,16.62,19036
19,37,303,111,36.63,17,5.61,112,36.96,63,20.79,19037
19,38,306,94,30.72,19,6.21,139,45.42,54,17.65,19038
19,39,165,26,15.76,14,8.48,105,63.64,20,12.12,19039
19,40,350,134,38.29,31,8.86,153,43.71,32,9.14,19040
19,41,187,35,18.72,18,9.63,117,62.57,17,9.09,19041
19,42,319,74,23.2,31,9.72,171,53.61,43,13.48,19042
19,44,239,38,15.9,48,20.08,118,49.37,35,14.64,19044
19,45,305,66,21.64,46,15.08,168,55.08,25,8.2,19045
19,46,353,68,19.26,23,6.52,232,65.72,30,8.5,19046
19,47,223,46,20.63,21,9.42,120,53.81,36,16.14,19047
19,49,357,78,21.85,23,6.44,201,56.3,55,15.41,19049
19,51,231,32,13.85,30,12.99,112,48.48,57,24.68,19051
19,52,178,34,19.1,18,10.11,97,54.49,29,16.29,19052
19,53,285,55,19.3,30,10.53,169,59.3,31,10.88,19053
19,54,204,29,14.22,23,11.27,101,49.51,51,25.0,19054
19,55,241,33,13.69,25,10.37,162,67.22,21,8.71,19055
19,56,365,85,23.29,40,10.96,200,54.79,40,10.96,19056
19,57,350,115,32.86,28,8.0,160,45.71,47,13.43,19057
19,58,248,36,14.52,36,14.52,138,55.65,38,15.32,19058
19,59,247,31,12.55,35,14.17,147,59.51,34,13.77,19059
19,61,376,58,15.43,28,7.45,229,60.9,61,16.22,19061
19,62,299,57,19.06,26,8.7,190,63.55,26,8.7,19062
19,63,238,54,22.69,17,7.14,143,60.08,24,10.08,19063
19,64,301,77,25.58,28,9.3,163,54.15,33,10.96,19064
19,65,228,58,25.44,19,8.33,99,43.42,52,22.81,19065
20,41,79,37,46.84,11,13.92,21,26.58,10,12.66,20041
23,1,236,11,4.66,82,34.75,129,54.66,14,5.93,23001
23,2,311,53,17.04,80,25.72,156,50.16,22,7.07,23002
23,3,223,30,13.45,68,30.49,118,52.91,7,3.14,23003
23,4,262,20,7.63,101,38.55,135,51.53,6,2.29,23004
23,5,205,56,27.32,12,5.85,128,62.44,9,4.39,23005
23,6,234,44,18.8,12,5.13,168,71.79,10,4.27,23006
23,7,105,13,12.38,7,6.67,62,59.05,23,21.9,23007
23,8,270,35,12.96,24,8.89,195,72.22,16,5.93,23008
23,10,297,47,15.82,12,4.04,230,77.44,8,2.69,23010
23,11,271,23,8.49,71,26.2,166,61.25,11,4.06,23011
23,12,261,34,13.03,77,29.5,144,55.17,6,2.3,23012
23,13,316,46,14.56,93,29.43,161,50.95,16,5.06,23013
23,14,99,12,12.12,8,8.08,63,63.64,16,16.16,23014
23,15,224,24,10.71,109,48.66,86,38.39,5,2.23,23015
23,16,278,22,7.91,101,36.33,135,48.56,20,7.19,23016
23,17,286,50,17.48,84,29.37,139,48.6,13,4.55,23017
23,18,204,18,8.82,108,52.94,74,36.27,4,1.96,23018
23,19,231,31,13.42,70,30.3,123,53.25,7,3.03,23019
23,20,234,14,5.98,65,27.78,143,61.11,12,5.13,23020
23,21,224,48,21.43,19,8.48,125,55.8,32,14.29,23021
23,22,262,38,14.5,99,37.79,118,45.04,7,2.67,23022
23,23,214,17,7.94,65,30.37,123,57.48,9,4.21,23023
23,25,178,60,33.71,12,6.74,98,55.06,8,4.49,23025
23,26,252,14,5.56,84,33.33,136,53.97,18,7.14,23026
23,27,203,18,8.87,117,57.64,62,30.54,6,2.96,23027
23,28,266,34,12.78,69,25.94,152,57.14,11,4.14,23028
23,30,221,15,6.79,56,25.34,141,63.8,9,4.07,23030
23,31,243,55,22.63,18,7.41,150,61.73,20,8.23,23031
23,32,275,37,13.45,37,13.45,187,68.0,14,5.09,23032
23,33,256,52,20.31,27,10.55,165,64.45,12,4.69,23033
23,34,217,51,23.5,21,9.68,140,64.52,5,2.3,23034
23,35,184,29,15.76,13,7.07,108,58.7,34,18.48,23035
23,36,333,27,8.11,106,31.83,189,56.76,11,3.3,23036
23,37,180,17,9.44,21,11.67,89,49.44,53,29.44,23037
23,38,227,23,10.13,54,23.79,135,59.47,15,6.61,23038
23,39,236,17,7.2,69,29.24,137,58.05,13,5.51,23039
23,40,239,18,7.53,81,33.89,128,53.56,12,5.02,23040
23,41,226,41,18.14,14,6.19,152,67.26,19,8.41,23041
23,42,185,24,12.97,31,16.76,118,63.78,12,6.49,23042
23,43,275,30,10.91,132,48.0,103,37.45,10,3.64,23043
23,44,275,40,14.55,38,13.82,184,66.91,13,4.73,23044
23,45,314,53,16.88,61,19.43,187,59.55,13,4.14,23045
23,46,261,32,12.26,75,28.74,144,55.17,10,3.83,23046
23,47,279,27,9.68,87,31.18,149,53.41,16,5.73,23047
23,48,214,31,14.49,20,9.35,144,67.29,19,8.88,23048
23,49,285,36,12.63,90,31.58,149,52.28,10,3.51,23049
23,50,154,46,29.87,16,10.39,84,54.55,8,5.19,23050
23,51,216,25,11.57,21,9.72,155,71.76,15,6.94,23051
23,52,279,45,16.13,61,21.86,157,56.27,16,5.73,23052
23,53,153,23,15.03,12,7.84,108,70.59,10,6.54,23053
23,54,292,25,8.56,83,28.42,179,61.3,5,1.71,23054
23,55,247,30,12.15,106,42.91,103,41.7,8,3.24,23055
23,56,219,17,7.76,58,26.48,134,61.19,10,4.57,23056
