ward,precinct,total,John Garrett Maher,John Garrett Maher Percent,Eileen O'Neill Burke,Eileen O'Neill Burke Percent,Joan Ellen Smuda,Joan Ellen Smuda Percent,Kenneth L. Fletcher,Kenneth L. Fletcher Percent,Thomas Francis Biesty,Thomas Francis Biesty Percent,precinct_id
39,27,181,25,13.81,67,37.02,38,20.99,25,13.81,26,14.36,39027
39,28,195,25,12.82,72,36.92,42,21.54,29,14.87,27,13.85,39028
39,29,172,22,12.79,68,39.53,38,22.09,22,12.79,22,12.79,39029
39,30,106,14,13.21,44,41.51,21,19.81,15,14.15,12,11.32,39030
39,31,116,19,16.38,47,40.52,20,17.24,20,17.24,10,8.62,39031
39,33,170,26,15.29,72,42.35,26,15.29,17,10.0,29,17.06,39033
39,34,191,39,20.42,72,37.7,39,20.42,24,12.57,17,8.9,39034
39,35,182,31,17.03,64,35.16,43,23.63,24,13.19,20,10.99,39035
39,36,172,27,15.7,40,23.26,39,22.67,52,30.23,14,8.14,39036
39,37,274,22,8.03,59,21.53,39,14.23,10,3.65,144,52.55,39037
39,38,179,22,12.29,57,31.84,47,26.26,18,10.06,35,19.55,39038
39,39,82,10,12.2,34,41.46,11,13.41,8,9.76,19,23.17,39039
39,40,121,12,9.92,36,29.75,27,22.31,14,11.57,32,26.45,39040
39,41,30,5,16.67,10,33.33,6,20.0,7,23.33,2,6.67,39041
39,42,159,10,6.29,23,14.47,25,15.72,10,6.29,91,57.23,39042
39,43,158,17,10.76,48,30.38,37,23.42,22,13.92,34,21.52,39043
39,44,226,27,11.95,72,31.86,50,22.12,52,23.01,25,11.06,39044
39,45,95,18,18.95,39,41.05,16,16.84,14,14.74,8,8.42,39045
39,46,156,21,13.46,60,38.46,18,11.54,31,19.87,26,16.67,39046
39,47,82,18,21.95,25,30.49,11,13.41,7,8.54,21,25.61,39047
40,1,104,11,10.58,43,41.35,21,20.19,19,18.27,10,9.62,40001
40,2,119,19,15.97,46,38.66,17,14.29,29,24.37,8,6.72,40002
40,5,156,28,17.95,62,39.74,19,12.18,30,19.23,17,10.9,40005
40,6,168,20,11.9,57,33.93,39,23.21,25,14.88,27,16.07,40006
40,8,38,4,10.53,14,36.84,9,23.68,7,18.42,4,10.53,40008
40,10,165,22,13.33,54,32.73,28,16.97,44,26.67,17,10.3,40010
40,14,146,21,14.38,62,42.47,24,16.44,28,19.18,11,7.53,40014
40,15,174,27,15.52,64,36.78,28,16.09,40,22.99,15,8.62,40015
40,17,71,9,12.68,27,38.03,9,12.68,19,26.76,7,9.86,40017
40,18,32,5,15.63,9,28.13,4,12.5,13,40.63,1,3.13,40018
40,19,117,13,11.11,45,38.46,13,11.11,30,25.64,16,13.68,40019
40,20,136,12,8.82,36,26.47,21,15.44,51,37.5,16,11.76,40020
40,21,161,17,10.56,67,41.61,35,21.74,26,16.15,16,9.94,40021
40,24,94,21,22.34,35,37.23,14,14.89,16,17.02,8,8.51,40024
40,25,126,27,21.43,44,34.92,19,15.08,22,17.46,14,11.11,40025
40,29,182,44,24.18,57,31.32,21,11.54,33,18.13,27,14.84,40029
40,30,177,19,10.73,40,22.6,25,14.12,77,43.5,16,9.04,40030
40,31,140,14,10.0,37,26.43,17,12.14,54,38.57,18,12.86,40031
40,32,89,17,19.1,31,34.83,10,11.24,26,29.21,5,5.62,40032
40,34,114,24,21.05,33,28.95,19,16.67,15,13.16,23,20.18,40034
40,36,153,20,13.07,48,31.37,30,19.61,38,24.84,17,11.11,40036
40,38,97,14,14.43,38,39.18,22,22.68,17,17.53,6,6.19,40038
40,44,126,21,16.67,58,46.03,18,14.29,17,13.49,12,9.52,40044
40,48,105,18,17.14,38,36.19,17,16.19,18,17.14,14,13.33,40048
40,49,90,16,17.78,30,33.33,21,23.33,16,17.78,7,7.78,40049
41,1,225,32,14.22,93,41.33,35,15.56,20,8.89,45,20.0,41001
41,2,252,33,13.1,103,40.87,38,15.08,30,11.9,48,19.05,41002
41,3,199,22,11.06,106,53.27,33,16.58,19,9.55,19,9.55,41003
41,4,234,23,9.83,103,44.02,41,17.52,20,8.55,47,20.09,41004
41,5,247,29,11.74,112,45.34,36,14.57,37,14.98,33,13.36,41005
41,6,231,41,17.75,51,22.08,27,11.69,10,4.33,102,44.16,41006
41,7,257,31,12.06,109,42.41,26,10.12,20,7.78,71,27.63,41007
41,8,222,19,8.56,65,29.28,99,44.59,21,9.46,18,8.11,41008
41,9,210,23,10.95,72,34.29,54,25.71,32,15.24,29,13.81,41009
41,10,193,43,22.28,42,21.76,27,13.99,13,6.74,68,35.23,41010
41,11,228,24,10.53,112,49.12,44,19.3,25,10.96,23,10.09,41011
41,12,190,29,15.26,73,38.42,50,26.32,15,7.89,23,12.11,41012
41,13,118,23,19.49,34,28.81,35,29.66,12,10.17,14,11.86,41013
41,14,265,63,23.77,54,20.38,25,9.43,15,5.66,108,40.75,41014
41,15,207,27,13.04,95,45.89,38,18.36,13,6.28,34,16.43,41015
41,16,217,22,10.14,98,45.16,39,17.97,19,8.76,39,17.97,41016
41,17,223,26,11.66,91,40.81,48,21.52,26,11.66,32,14.35,41017
41,18,164,16,9.76,51,31.1,74,45.12,9,5.49,14,8.54,41018
41,19,138,19,13.77,30,21.74,33,23.91,8,5.8,48,34.78,41019
41,20,232,31,13.36,83,35.78,58,25.0,34,14.66,26,11.21,41020
41,21,219,22,10.05,75,34.25,84,38.36,16,7.31,22,10.05,41021
41,22,199,24,12.06,66,33.17,38,19.1,25,12.56,46,23.12,41022
41,23,191,25,13.09,69,36.13,54,28.27,17,8.9,26,13.61,41023
41,24,185,25,13.51,65,35.14,58,31.35,16,8.65,21,11.35,41024
41,30,242,41,16.94,89,36.78,69,28.51,17,7.02,26,10.74,41030
41,31,230,38,16.52,95,41.3,55,23.91,17,7.39,25,10.87,41031
41,32,142,13,9.15,56,39.44,35,24.65,16,11.27,22,15.49,41032
41,33,159,18,11.32,60,37.74,36,22.64,15,9.43,30,18.87,41033
41,34,145,21,14.48,60,41.38,26,17.93,17,11.72,21,14.48,41034
41,35,220,26,11.82,74,33.64,64,29.09,19,8.64,37,16.82,41035
41,36,213,29,13.62,75,35.21,33,15.49,23,10.8,53,24.88,41036
41,37,220,24,10.91,97,44.09,52,23.64,14,6.36,33,15.0,41037
41,38,216,31,14.35,81,37.5,56,25.93,13,6.02,35,16.2,41038
41,39,146,31,21.23,37,25.34,18,12.33,9,6.16,51,34.93,41039
41,40,243,26,10.7,86,35.39,50,20.58,21,8.64,60,24.69,41040
41,41,204,26,12.75,59,28.92,70,34.31,19,9.31,30,14.71,41041
41,42,255,28,10.98,94,36.86,26,10.2,16,6.27,91,35.69,41042
41,43,225,19,8.44,58,25.78,90,40.0,25,11.11,33,14.67,41043
41,45,175,17,9.71,73,41.71,53,30.29,14,8.0,18,10.29,41045
41,46,173,13,7.51,81,46.82,41,23.7,16,9.25,22,12.72,41046
41,49,270,27,10.0,101,37.41,44,16.3,26,9.63,72,26.67,41049
41,50,222,37,16.67,86,38.74,46,20.72,29,13.06,24,10.81,41050
41,51,150,16,10.67,69,46.0,38,25.33,10,6.67,17,11.33,41051
41,52,288,17,5.9,125,43.4,64,22.22,27,9.38,55,19.1,41052
41,53,204,28,13.73,79,38.73,44,21.57,37,18.14,16,7.84,41053
41,55,167,26,15.57,55,32.93,40,23.95,17,10.18,29,17.37,41055
41,56,268,30,11.19,112,41.79,43,16.04,14,5.22,69,25.75,41056
45,2,216,24,11.11,75,34.72,51,23.61,40,18.52,26,12.04,45002
45,3,253,40,15.81,72,28.46,26,10.28,100,39.53,15,5.93,45003
45,4,245,25,10.2,51,20.82,23,9.39,19,7.76,127,51.84,45004
45,5,200,36,18.0,39,19.5,38,19.0,18,9.0,69,34.5,45005
45,6,183,31,16.94,71,38.8,32,17.49,36,19.67,13,7.1,45006
45,7,173,28,16.18,66,38.15,37,21.39,17,9.83,25,14.45,45007
45,8,151,22,14.57,64,42.38,38,25.17,14,9.27,13,8.61,45008
45,9,190,24,12.63,64,33.68,47,24.74,34,17.89,21,11.05,45009
45,10,209,27,12.92,82,39.23,43,20.57,35,16.75,22,10.53,45010
45,11,170,24,14.12,71,41.76,33,19.41,25,14.71,17,10.0,45011
45,12,210,32,15.24,77,36.67,46,21.9,21,10.0,34,16.19,45012
45,13,228,26,11.4,59,25.88,69,30.26,49,21.49,25,10.96,45013
45,14,211,23,10.9,93,44.08,42,19.91,25,11.85,28,13.27,45014
45,15,223,18,8.07,72,32.29,70,31.39,48,21.52,15,6.73,45015
45,16,204,25,12.25,72,35.29,35,17.16,57,27.94,15,7.35,45016
45,17,171,18,10.53,69,40.35,38,22.22,13,7.6,33,19.3,45017
45,18,189,25,13.23,59,31.22,32,16.93,53,28.04,20,10.58,45018
45,19,187,26,13.9,50,26.74,46,24.6,34,18.18,31,16.58,45019
45,20,162,19,11.73,59,36.42,42,25.93,32,19.75,10,6.17,45020
45,21,182,24,13.19,69,37.91,37,20.33,33,18.13,19,10.44,45021
45,22,158,22,13.92,56,35.44,37,23.42,31,19.62,12,7.59,45022
45,23,211,15,7.11,83,39.34,46,21.8,44,20.85,23,10.9,45023
45,24,239,29,12.13,73,30.54,51,21.34,28,11.72,58,24.27,45024
45,25,203,24,11.82,69,33.99,41,20.2,58,28.57,11,5.42,45025
45,26,232,24,10.34,75,32.33,41,17.67,70,30.17,22,9.48,45026
45,27,180,15,8.33,71,39.44,35,19.44,39,21.67,20,11.11,45027
45,28,188,21,11.17,86,45.74,26,13.83,40,21.28,15,7.98,45028
45,29,185,19,10.27,74,40.0,49,26.49,24,12.97,19,10.27,45029
45,30,180,24,13.33,55,30.56,32,17.78,20,11.11,49,27.22,45030
45,31,189,27,14.29,87,46.03,43,22.75,19,10.05,13,6.88,45031
45,32,126,22,17.46,46,36.51,30,23.81,21,16.67,7,5.56,45032
45,33,175,16,9.14,63,36.0,43,24.57,36,20.57,17,9.71,45033
45,34,147,21,14.29,53,36.05,44,29.93,16,10.88,13,8.84,45034
45,35,170,20,11.76,56,32.94,29,17.06,42,24.71,23,13.53,45035
45,36,165,23,13.94,41,24.85,21,12.73,33,20.0,47,28.48,45036
45,37,201,14,6.97,62,30.85,33,16.42,38,18.91,54,26.87,45037
45,38,227,26,11.45,76,33.48,43,18.94,56,24.67,26,11.45,45038
45,39,219,16,7.31,70,31.96,38,17.35,69,31.51,26,11.87,45039
45,40,236,32,13.56,77,32.63,46,19.49,51,21.61,30,12.71,45040
45,41,137,20,14.6,34,24.82,19,13.87,33,24.09,31,22.63,45041
45,42,199,25,12.56,64,32.16,34,17.09,52,26.13,24,12.06,45042
45,43,178,26,14.61,54,30.34,51,28.65,27,15.17,20,11.24,45043
45,44,228,32,14.04,129,56.58,29,12.72,14,6.14,24,10.53,45044
45,45,135,16,11.85,54,40.0,30,22.22,28,20.74,7,5.19,45045
45,46,210,24,11.43,64,30.48,48,22.86,52,24.76,22,10.48,45046
45,47,207,26,12.56,66,31.88,45,21.74,56,27.05,14,6.76,45047
45,48,183,17,9.29,71,38.8,33,18.03,39,21.31,23,12.57,45048
45,49,191,28,14.66,63,32.98,30,15.71,49,25.65,21,10.99,45049
45,50,154,24,15.58,59,38.31,34,22.08,18,11.69,19,12.34,45050
45,51,171,21,12.28,56,32.75,39,22.81,33,19.3,22,12.87,45051
45,52,191,14,7.33,77,40.31,38,19.9,45,23.56,17,8.9,45052
45,53,151,20,13.25,54,35.76,29,19.21,33,21.85,15,9.93,45053
46,21,75,9,12.0,25,33.33,18,24.0,12,16.0,11,14.67,46021
47,1,216,40,18.52,62,28.7,54,25.0,44,20.37,16,7.41,47001
47,2,158,21,13.29,58,36.71,37,23.42,21,13.29,21,13.29,47002
47,3,170,20,11.76,61,35.88,17,10.0,40,23.53,32,18.82,47003
47,4,226,30,13.27,60,26.55,44,19.47,54,23.89,38,16.81,47004
47,5,190,22,11.58,64,33.68,33,17.37,58,30.53,13,6.84,47005
47,6,239,17,7.11,85,35.56,50,20.92,61,25.52,26,10.88,47006
47,7,189,23,12.17,66,34.92,24,12.7,60,31.75,16,8.47,47007
47,8,257,26,10.12,67,26.07,35,13.62,104,40.47,25,9.73,47008
47,9,176,22,12.5,55,31.25,24,13.64,52,29.55,23,13.07,47009
47,10,154,15,9.74,61,39.61,35,22.73,25,16.23,18,11.69,47010
47,11,378,45,11.9,105,27.78,63,16.67,140,37.04,25,6.61,47011
47,12,168,17,10.12,62,36.9,24,14.29,47,27.98,18,10.71,47012
47,13,285,34,11.93,87,30.53,45,15.79,74,25.96,45,15.79,47013
47,14,151,16,10.6,68,45.03,24,15.89,26,17.22,17,11.26,47014
47,16,205,20,9.76,66,32.2,42,20.49,51,24.88,26,12.68,47016
47,17,196,12,6.12,68,34.69,48,24.49,41,20.92,27,13.78,47017
47,19,233,37,15.88,65,27.9,41,17.6,61,26.18,29,12.45,47019
47,20,226,41,18.14,75,33.19,38,16.81,45,19.91,27,11.95,47020
47,21,8,1,12.5,3,37.5,1,12.5,2,25.0,1,12.5,47021
47,22,199,26,13.07,59,29.65,37,18.59,52,26.13,25,12.56,47022
47,25,209,18,8.61,64,30.62,41,19.62,57,27.27,29,13.88,47025
47,26,314,32,10.19,100,31.85,74,23.57,73,23.25,35,11.15,47026
47,27,174,18,10.34,46,26.44,32,18.39,55,31.61,23,13.22,47027
47,28,304,28,9.21,98,32.24,51,16.78,97,31.91,30,9.87,47028
47,29,224,22,9.82,61,27.23,35,15.63,73,32.59,33,14.73,47029
47,30,236,24,10.17,76,32.2,48,20.34,69,29.24,19,8.05,47030
47,31,210,29,13.81,65,30.95,40,19.05,56,26.67,20,9.52,47031
47,32,244,24,9.84,65,26.64,45,18.44,85,34.84,25,10.25,47032
47,33,204,29,14.22,60,29.41,34,16.67,55,26.96,26,12.75,47033
47,34,258,31,12.02,99,38.37,45,17.44,51,19.77,32,12.4,47034
47,35,269,37,13.75,86,31.97,45,16.73,71,26.39,30,11.15,47035
47,36,280,37,13.21,106,37.86,43,15.36,58,20.71,36,12.86,47036
47,37,217,17,7.83,88,40.55,49,22.58,36,16.59,27,12.44,47037
47,38,229,23,10.04,85,37.12,42,18.34,49,21.4,30,13.1,47038
47,39,205,26,12.68,65,31.71,46,22.44,45,21.95,23,11.22,47039
47,42,168,23,13.69,61,36.31,25,14.88,43,25.6,16,9.52,47042
47,43,140,11,7.86,39,27.86,27,19.29,42,30.0,21,15.0,47043
47,45,200,26,13.0,66,33.0,26,13.0,52,26.0,30,15.0,47045
47,46,147,16,10.88,49,33.33,35,23.81,27,18.37,20,13.61,47046
47,47,185,16,8.65,72,38.92,33,17.84,36,19.46,28,15.14,47047
47,48,35,9,25.71,12,34.29,4,11.43,9,25.71,1,2.86,47048
47,49,114,16,14.04,36,31.58,22,19.3,23,20.18,17,14.91,47049
47,50,131,7,5.34,40,30.53,26,19.85,42,32.06,16,12.21,47050
47,51,131,22,16.79,49,37.4,20,15.27,28,21.37,12,9.16,47051
47,52,96,11,11.46,30,31.25,17,17.71,27,28.13,11,11.46,47052
48,49,6,1,16.67,3,50.0,1,16.67,1,16.67,0,0.0,48049
50,8,156,26,16.67,67,42.95,24,15.38,23,14.74,16,10.26,50008
50,23,132,24,18.18,54,40.91,22,16.67,22,16.67,10,7.58,50023
50,29,169,23,13.61,74,43.79,28,16.57,26,15.38,18,10.65,50029
50,45,28,4,14.29,7,25.0,7,25.0,6,21.43,4,14.29,50045
