ward,precinct,total,Joseph Berrios,Joseph Berrios Percent,Jay Paul Deratany,Jay Paul Deratany Percent,precinct_id
22,29,110,87,79.09,23,20.91,22029
23,2,105,78,74.29,27,25.71,23002
23,4,247,153,61.94,94,38.06,23004
23,5,194,145,74.74,49,25.26,23005
23,6,214,153,71.5,61,28.5,23006
23,8,256,185,72.27,71,27.73,23008
23,9,243,175,72.02,68,27.98,23009
23,10,281,224,79.72,57,20.28,23010
23,20,62,37,59.68,25,40.32,23020
23,24,188,134,71.28,54,28.72,23024
23,25,167,120,71.86,47,28.14,23025
23,28,239,144,60.25,95,39.75,23028
23,29,200,145,72.5,55,27.5,23029
23,31,227,170,74.89,57,25.11,23031
23,32,264,171,64.77,93,35.23,23032
23,33,239,174,72.8,65,27.2,23033
23,34,193,128,66.32,65,33.68,23034
23,35,180,139,77.22,41,22.78,23035
23,37,175,118,67.43,57,32.57,23037
23,39,10,4,40.0,6,60.0,23039
23,41,219,163,74.43,56,25.57,23041
23,42,175,108,61.71,67,38.29,23042
23,44,107,72,67.29,35,32.71,23044
23,45,299,210,70.23,89,29.77,23045
23,48,204,138,67.65,66,32.35,23048
23,50,140,97,69.29,43,30.71,23050
23,51,208,130,62.5,78,37.5,23051
23,53,145,97,66.9,48,33.1,23053
23,54,268,150,55.97,118,44.03,23054
23,55,94,56,59.57,38,40.43,23055
24,44,5,5,100.0,0,0.0,24044
24,53,189,158,83.6,31,16.4,24053
25,1,219,169,77.17,50,22.83,25001
25,2,273,209,76.56,64,23.44,25002
25,3,72,45,62.5,27,37.5,25003
25,4,238,135,56.72,103,43.28,25004
25,5,231,164,71.0,67,29.0,25005
25,6,139,93,66.91,46,33.09,25006
25,7,176,133,75.57,43,24.43,25007
25,8,248,205,82.66,43,17.34,25008
25,9,316,238,75.32,78,24.68,25009
25,10,129,93,72.09,36,27.91,25010
25,11,251,191,76.1,60,23.9,25011
25,12,198,132,66.67,66,33.33,25012
25,13,266,214,80.45,52,19.55,25013
25,14,109,81,74.31,28,25.69,25014
25,15,232,180,77.59,52,22.41,25015
25,16,119,84,70.59,35,29.41,25016
25,17,337,250,74.18,87,25.82,25017
25,18,156,100,64.1,56,35.9,25018
25,19,257,203,78.99,54,21.01,25019
25,20,257,203,78.99,54,21.01,25020
25,22,137,101,73.72,36,26.28,25022
25,23,256,187,73.05,69,26.95,25023
25,24,256,198,77.34,58,22.66,25024
25,29,311,187,60.13,124,39.87,25029
25,30,221,158,71.49,63,28.51,25030
25,31,122,78,63.93,44,36.07,25031
26,1,105,68,64.76,37,35.24,26001
26,2,168,124,73.81,44,26.19,26002
26,3,143,110,76.92,33,23.08,26003
26,4,108,72,66.67,36,33.33,26004
26,5,171,127,74.27,44,25.73,26005
26,6,77,66,85.71,11,14.29,26006
26,7,87,48,55.17,39,44.83,26007
26,8,103,62,60.19,41,39.81,26008
26,9,104,96,92.31,8,7.69,26009
26,10,109,88,80.73,21,19.27,26010
26,11,132,105,79.55,27,20.45,26011
26,12,99,78,78.79,21,21.21,26012
26,13,135,52,38.52,83,61.48,26013
26,14,121,96,79.34,25,20.66,26014
26,15,118,96,81.36,22,18.64,26015
26,16,107,83,77.57,24,22.43,26016
26,17,68,44,64.71,24,35.29,26017
26,18,91,66,72.53,25,27.47,26018
26,19,210,134,63.81,76,36.19,26019
26,20,158,114,72.15,44,27.85,26020
26,21,138,105,76.09,33,23.91,26021
26,22,92,56,60.87,36,39.13,26022
26,23,103,83,80.58,20,19.42,26023
26,24,83,52,62.65,31,37.35,26024
26,25,43,38,88.37,5,11.63,26025
26,26,85,67,78.82,18,21.18,26026
26,27,113,88,77.88,25,22.12,26027
26,28,46,36,78.26,10,21.74,26028
26,29,138,104,75.36,34,24.64,26029
26,30,121,94,77.69,27,22.31,26030
26,31,108,83,76.85,25,23.15,26031
26,32,146,99,67.81,47,32.19,26032
26,33,61,32,52.46,29,47.54,26033
26,34,125,80,64.0,45,36.0,26034
26,35,149,88,59.06,61,40.94,26035
26,36,126,99,78.57,27,21.43,26036
26,37,81,71,87.65,10,12.35,26037
26,38,82,62,75.61,20,24.39,26038
26,39,109,85,77.98,24,22.02,26039
26,40,65,46,70.77,19,29.23,26040
26,41,131,97,74.05,34,25.95,26041
26,42,102,90,88.24,12,11.76,26042
26,43,106,84,79.25,22,20.75,26043
26,44,63,48,76.19,15,23.81,26044
26,45,152,121,79.61,31,20.39,26045
26,46,149,88,59.06,61,40.94,26046
26,47,74,65,87.84,9,12.16,26047
26,48,117,96,82.05,21,17.95,26048
26,49,93,75,80.65,18,19.35,26049
26,50,90,67,74.44,23,25.56,26050
26,51,112,66,58.93,46,41.07,26051
26,52,52,38,73.08,14,26.92,26052
26,53,78,50,64.1,28,35.9,26053
26,54,118,91,77.12,27,22.88,26054
26,55,97,73,75.26,24,24.74,26055
26,56,92,69,75.0,23,25.0,26056
26,57,121,101,83.47,20,16.53,26057
26,58,108,82,75.93,26,24.07,26058
26,59,116,88,75.86,28,24.14,26059
26,60,124,86,69.35,38,30.65,26060
26,61,78,61,78.21,17,21.79,26061
26,62,153,96,62.75,57,37.25,26062
26,63,54,44,81.48,10,18.52,26063
27,10,304,247,81.25,57,18.75,27010
27,13,135,78,57.78,57,42.22,27013
27,15,1,1,100.0,0,0.0,27015
27,18,145,79,54.48,66,45.52,27018
27,28,76,49,64.47,27,35.53,27028
27,32,143,104,72.73,39,27.27,27032
27,35,150,86,57.33,64,42.67,27035
27,38,132,89,67.42,43,32.58,27038
27,41,173,105,60.69,68,39.31,27041
27,42,118,64,54.24,54,45.76,27042
27,50,194,86,44.33,108,55.67,27050
27,53,142,84,59.15,58,40.85,27053
27,56,116,67,57.76,49,42.24,27056
27,59,196,142,72.45,54,27.55,27059
28,29,175,137,78.29,38,21.71,28029
28,34,50,44,88.0,6,12.0,28034
28,38,65,46,70.77,19,29.23,28038
28,53,97,70,72.16,27,27.84,28053
29,2,176,138,78.41,38,21.59,29002
29,9,141,96,68.09,45,31.91,29009
29,30,135,94,69.63,41,30.37,29030
29,32,171,120,70.18,51,29.82,29032
30,1,161,82,50.93,79,49.07,30001
30,2,142,109,76.76,33,23.24,30002
30,3,220,128,58.18,92,41.82,30003
30,4,155,115,74.19,40,25.81,30004
30,5,96,78,81.25,18,18.75,30005
30,7,133,95,71.43,38,28.57,30007
30,8,179,116,64.8,63,35.2,30008
30,9,159,131,82.39,28,17.61,30009
30,10,150,120,80.0,30,20.0,30010
30,11,114,79,69.3,35,30.7,30011
30,12,162,134,82.72,28,17.28,30012
30,13,138,84,60.87,54,39.13,30013
30,14,59,44,74.58,15,25.42,30014
30,15,164,70,42.68,94,57.32,30015
30,16,159,99,62.26,60,37.74,30016
30,18,104,80,76.92,24,23.08,30018
30,19,106,74,69.81,32,30.19,30019
30,20,127,104,81.89,23,18.11,30020
30,21,183,150,81.97,33,18.03,30021
30,22,157,129,82.17,28,17.83,30022
30,23,154,139,90.26,15,9.74,30023
30,24,169,145,85.8,24,14.2,30024
30,25,78,65,83.33,13,16.67,30025
30,26,103,86,83.5,17,16.5,30026
30,27,207,173,83.57,34,16.43,30027
30,28,119,84,70.59,35,29.41,30028
30,29,109,91,83.49,18,16.51,30029
30,30,190,128,67.37,62,32.63,30030
30,31,127,98,77.17,29,22.83,30031
30,32,61,44,72.13,17,27.87,30032
30,33,152,117,76.97,35,23.03,30033
30,34,163,116,71.17,47,28.83,30034
30,35,155,134,86.45,21,13.55,30035
30,36,136,100,73.53,36,26.47,30036
30,37,131,97,74.05,34,25.95,30037
30,38,208,131,62.98,77,37.02,30038
30,39,156,105,67.31,51,32.69,30039
30,40,164,131,79.88,33,20.12,30040
30,41,188,170,90.43,18,9.57,30041
31,1,77,68,88.31,9,11.69,31001
31,2,110,83,75.45,27,24.55,31002
31,3,142,113,79.58,29,20.42,31003
31,4,125,99,79.2,26,20.8,31004
31,5,156,121,77.56,35,22.44,31005
31,6,142,113,79.58,29,20.42,31006
31,7,141,111,78.72,30,21.28,31007
31,8,123,84,68.29,39,31.71,31008
31,9,124,101,81.45,23,18.55,31009
31,10,64,61,95.31,3,4.69,31010
31,11,98,76,77.55,22,22.45,31011
31,12,129,111,86.05,18,13.95,31012
31,13,128,100,78.13,28,21.88,31013
31,14,126,110,87.3,16,12.7,31014
31,15,77,55,71.43,22,28.57,31015
31,16,91,61,67.03,30,32.97,31016
31,17,130,109,83.85,21,16.15,31017
31,18,124,108,87.1,16,12.9,31018
31,19,124,110,88.71,14,11.29,31019
31,20,118,89,75.42,29,24.58,31020
31,21,159,130,81.76,29,18.24,31021
31,22,107,82,76.64,25,23.36,31022
31,23,66,54,81.82,12,18.18,31023
31,24,113,100,88.5,13,11.5,31024
31,25,155,138,89.03,17,10.97,31025
31,26,80,64,80.0,16,20.0,31026
31,27,133,118,88.72,15,11.28,31027
31,28,140,104,74.29,36,25.71,31028
31,29,129,103,79.84,26,20.16,31029
31,30,182,154,84.62,28,15.38,31030
31,31,193,142,73.58,51,26.42,31031
31,32,152,130,85.53,22,14.47,31032
31,33,133,101,75.94,32,24.06,31033
31,34,109,93,85.32,16,14.68,31034
31,35,105,89,84.76,16,15.24,31035
31,36,157,129,82.17,28,17.83,31036
31,37,124,102,82.26,22,17.74,31037
31,38,82,59,71.95,23,28.05,31038
31,39,66,59,89.39,7,10.61,31039
31,40,82,69,84.15,13,15.85,31040
31,41,136,108,79.41,28,20.59,31041
31,42,187,155,82.89,32,17.11,31042
31,43,143,108,75.52,35,24.48,31043
31,44,123,103,83.74,20,16.26,31044
31,45,134,101,75.37,33,24.63,31045
31,46,124,97,78.23,27,21.77,31046
31,47,153,121,79.08,32,20.92,31047
31,48,122,99,81.15,23,18.85,31048
31,49,64,51,79.69,13,20.31,31049
31,50,144,106,73.61,38,26.39,31050
31,51,98,79,80.61,19,19.39,31051
32,1,221,117,52.94,104,47.06,32001
32,2,209,97,46.41,112,53.59,32002
32,3,163,92,56.44,71,43.56,32003
32,4,223,112,50.22,111,49.78,32004
32,5,144,75,52.08,69,47.92,32005
32,6,195,105,53.85,90,46.15,32006
32,7,145,67,46.21,78,53.79,32007
32,8,235,106,45.11,129,54.89,32008
32,9,278,108,38.85,170,61.15,32009
32,10,195,95,48.72,100,51.28,32010
32,11,159,85,53.46,74,46.54,32011
32,12,132,73,55.3,59,44.7,32012
32,13,88,40,45.45,48,54.55,32013
32,14,183,113,61.75,70,38.25,32014
32,15,154,72,46.75,82,53.25,32015
32,16,198,119,60.1,79,39.9,32016
32,17,199,118,59.3,81,40.7,32017
32,18,149,81,54.36,68,45.64,32018
32,19,198,99,50.0,99,50.0,32019
32,20,158,87,55.06,71,44.94,32020
32,21,173,73,42.2,100,57.8,32021
32,22,233,101,43.35,132,56.65,32022
32,23,183,81,44.26,102,55.74,32023
32,24,182,81,44.51,101,55.49,32024
32,25,162,76,46.91,86,53.09,32025
32,26,153,70,45.75,83,54.25,32026
32,27,178,88,49.44,90,50.56,32027
32,28,169,81,47.93,88,52.07,32028
32,29,176,90,51.14,86,48.86,32029
32,30,189,95,50.26,94,49.74,32030
32,31,230,107,46.52,123,53.48,32031
32,32,158,70,44.3,88,55.7,32032
32,33,118,50,42.37,68,57.63,32033
32,34,206,106,51.46,100,48.54,32034
32,35,210,98,46.67,112,53.33,32035
32,36,193,94,48.7,99,51.3,32036
32,37,170,98,57.65,72,42.35,32037
32,38,209,100,47.85,109,52.15,32038
32,39,194,99,51.03,95,48.97,32039
32,40,233,116,49.79,117,50.21,32040
32,41,210,99,47.14,111,52.86,32041
32,42,253,132,52.17,121,47.83,32042
32,43,188,80,42.55,108,57.45,32043
32,44,152,84,55.26,68,44.74,32044
32,45,176,97,55.11,79,44.89,32045
32,46,83,56,67.47,27,32.53,32046
32,47,222,98,44.14,124,55.86,32047
32,48,213,86,40.38,127,59.62,32048
32,49,120,56,46.67,64,53.33,32049
32,50,225,95,42.22,130,57.78,32050
32,51,211,93,44.08,118,55.92,32051
32,52,112,61,54.46,51,45.54,32052
33,1,255,180,70.59,75,29.41,33001
33,2,294,208,70.75,86,29.25,33002
33,3,250,151,60.4,99,39.6,33003
33,4,298,198,66.44,100,33.56,33004
33,5,217,139,64.06,78,35.94,33005
33,6,283,200,70.67,83,29.33,33006
33,7,314,117,37.26,197,62.74,33007
33,8,209,98,46.89,111,53.11,33008
33,9,246,147,59.76,99,40.24,33009
33,10,295,175,59.32,120,40.68,33010
33,11,258,177,68.6,81,31.4,33011
33,12,277,211,76.17,66,23.83,33012
33,13,300,220,73.33,80,26.67,33013
33,14,212,130,61.32,82,38.68,33014
33,15,238,145,60.92,93,39.08,33015
33,16,253,168,66.4,85,33.6,33016
33,17,299,216,72.24,83,27.76,33017
33,18,81,53,65.43,28,34.57,33018
33,19,259,173,66.8,86,33.2,33019
33,20,263,169,64.26,94,35.74,33020
33,21,262,172,65.65,90,34.35,33021
33,22,326,226,69.33,100,30.67,33022
33,23,243,136,55.97,107,44.03,33023
33,24,312,155,49.68,157,50.32,33024
33,25,329,214,65.05,115,34.95,33025
33,26,266,162,60.9,104,39.1,33026
33,27,210,112,53.33,98,46.67,33027
35,1,254,174,68.5,80,31.5,35001
35,2,180,136,75.56,44,24.44,35002
35,3,147,113,76.87,34,23.13,35003
35,4,235,148,62.98,87,37.02,35004
35,5,214,163,76.17,51,23.83,35005
35,6,239,169,70.71,70,29.29,35006
35,7,258,161,62.4,97,37.6,35007
35,8,192,106,55.21,86,44.79,35008
35,9,208,138,66.35,70,33.65,35009
35,10,215,141,65.58,74,34.42,35010
35,11,233,153,65.67,80,34.33,35011
35,12,258,147,56.98,111,43.02,35012
35,13,73,62,84.93,11,15.07,35013
35,14,236,180,76.27,56,23.73,35014
35,15,220,144,65.45,76,34.55,35015
35,16,204,128,62.75,76,37.25,35016
35,17,214,154,71.96,60,28.04,35017
35,18,244,161,65.98,83,34.02,35018
35,19,210,126,60.0,84,40.0,35019
35,20,195,143,73.33,52,26.67,35020
35,21,230,161,70.0,69,30.0,35021
35,22,86,46,53.49,40,46.51,35022
35,23,138,98,71.01,40,28.99,35023
35,24,140,99,70.71,41,29.29,35024
35,25,189,106,56.08,83,43.92,35025
35,26,273,183,67.03,90,32.97,35026
35,27,259,159,61.39,100,38.61,35027
35,28,208,126,60.58,82,39.42,35028
35,29,264,145,54.92,119,45.08,35029
35,30,274,140,51.09,134,48.91,35030
35,31,104,66,63.46,38,36.54,35031
35,32,123,94,76.42,29,23.58,35032
35,33,200,118,59.0,82,41.0,35033
35,34,203,115,56.65,88,43.35,35034
35,35,200,123,61.5,77,38.5,35035
35,36,159,110,69.18,49,30.82,35036
36,1,185,143,77.3,42,22.7,36001
36,2,158,116,73.42,42,26.58,36002
36,3,336,253,75.3,83,24.7,36003
36,4,166,121,72.89,45,27.11,36004
36,5,135,90,66.67,45,33.33,36005
36,6,184,134,72.83,50,27.17,36006
36,7,151,94,62.25,57,37.75,36007
36,8,179,106,59.22,73,40.78,36008
36,9,166,99,59.64,67,40.36,36009
36,10,116,74,63.79,42,36.21,36010
36,11,239,148,61.92,91,38.08,36011
36,12,144,99,68.75,45,31.25,36012
36,13,306,241,78.76,65,21.24,36013
36,14,239,200,83.68,39,16.32,36014
36,15,212,161,75.94,51,24.06,36015
36,16,315,192,60.95,123,39.05,36016
36,17,150,97,64.67,53,35.33,36017
36,18,232,150,64.66,82,35.34,36018
36,19,232,170,73.28,62,26.72,36019
36,20,247,187,75.71,60,24.29,36020
36,21,305,202,66.23,103,33.77,36021
36,22,244,158,64.75,86,35.25,36022
36,23,130,102,78.46,28,21.54,36023
36,24,247,208,84.21,39,15.79,36024
36,25,135,94,69.63,41,30.37,36025
36,26,170,111,65.29,59,34.71,36026
36,27,111,72,64.86,39,35.14,36027
36,28,169,112,66.27,57,33.73,36028
36,29,164,100,60.98,64,39.02,36029
36,30,190,129,67.89,61,32.11,36030
36,31,195,135,69.23,60,30.77,36031
36,32,179,108,60.34,71,39.66,36032
36,33,172,119,69.19,53,30.81,36033
36,34,133,74,55.64,59,44.36,36034
36,35,215,157,73.02,58,26.98,36035
36,36,177,118,66.67,59,33.33,36036
36,37,153,103,67.32,50,32.68,36037
36,38,132,100,75.76,32,24.24,36038
36,39,189,118,62.43,71,37.57,36039
36,40,217,128,58.99,89,41.01,36040
36,41,168,114,67.86,54,32.14,36041
36,42,153,98,64.05,55,35.95,36042
36,43,157,105,66.88,52,33.12,36043
36,44,209,130,62.2,79,37.8,36044
36,45,203,125,61.58,78,38.42,36045
36,46,157,84,53.5,73,46.5,36046
36,47,126,71,56.35,55,43.65,36047
36,48,140,92,65.71,48,34.29,36048
36,49,215,128,59.53,87,40.47,36049
36,50,170,119,70.0,51,30.0,36050
36,51,221,162,73.3,59,26.7,36051
36,52,190,131,68.95,59,31.05,36052
36,53,140,102,72.86,38,27.14,36053
36,54,300,210,70.0,90,30.0,36054
36,55,304,204,67.11,100,32.89,36055
37,1,148,130,87.84,18,12.16,37001
37,2,21,15,71.43,6,28.57,37002
37,12,3,3,100.0,0,0.0,37012
37,19,176,144,81.82,32,18.18,37019
37,42,2,1,50.0,1,50.0,37042
38,1,213,126,59.15,87,40.85,38001
38,2,155,115,74.19,40,25.81,38002
38,3,132,93,70.45,39,29.55,38003
38,4,88,53,60.23,35,39.77,38004
38,5,302,153,50.66,149,49.34,38005
38,6,174,122,70.11,52,29.89,38006
38,7,211,105,49.76,106,50.24,38007
38,8,115,78,67.83,37,32.17,38008
38,9,168,80,47.62,88,52.38,38009
38,10,211,98,46.45,113,53.55,38010
38,11,132,89,67.42,43,32.58,38011
38,12,160,89,55.63,71,44.38,38012
38,13,151,84,55.63,67,44.37,38013
38,14,154,102,66.23,52,33.77,38014
38,15,121,72,59.5,49,40.5,38015
