ward,precinct,total,Maria Vazquez (Obama),Maria Vazquez (Obama) Percent,Mary E. Kennelly (Clinton),Mary E. Kennelly (Clinton) Percent,precinct_id
16,42,160,100,62.5,60,37.5,16042
18,3,166,79,47.59,87,52.41,18003
18,6,199,109,54.77,90,45.23,18006
18,15,146,84,57.53,62,42.47,18015
18,28,203,101,49.75,102,50.25,18028
18,41,233,128,54.94,105,45.06,18041
18,43,198,144,72.73,54,27.27,18043
18,48,149,72,48.32,77,51.68,18048
18,55,230,113,49.13,117,50.87,18055
18,56,238,181,76.05,57,23.95,18056
18,57,228,155,67.98,73,32.02,18057
18,62,197,139,70.56,58,29.44,18062
19,1,276,146,52.9,130,47.1,19001
19,2,282,238,84.4,44,15.6,19002
19,3,165,62,37.58,103,62.42,19003
19,4,217,105,48.39,112,51.61,19004
19,5,332,269,81.02,63,18.98,19005
19,6,190,75,39.47,115,60.53,19006
19,7,266,150,56.39,116,43.61,19007
19,8,179,72,40.22,107,59.78,19008
19,9,176,68,38.64,108,61.36,19009
19,10,391,281,71.87,110,28.13,19010
19,11,255,105,41.18,150,58.82,19011
19,12,213,87,40.85,126,59.15,19012
19,13,266,242,90.98,24,9.02,19013
19,14,146,57,39.04,89,60.96,19014
19,15,204,74,36.27,130,63.73,19015
19,16,269,126,46.84,143,53.16,19016
19,17,275,142,51.64,133,48.36,19017
19,18,325,241,74.15,84,25.85,19018
19,19,301,205,68.11,96,31.89,19019
19,20,307,253,82.41,54,17.59,19020
19,21,169,85,50.3,84,49.7,19021
19,22,321,225,70.09,96,29.91,19022
19,23,288,160,55.56,128,44.44,19023
19,24,206,94,45.63,112,54.37,19024
19,25,326,211,64.72,115,35.28,19025
19,26,313,203,64.86,110,35.14,19026
19,27,218,167,76.61,51,23.39,19027
19,29,192,84,43.75,108,56.25,19029
19,30,224,90,40.18,134,59.82,19030
19,31,258,172,66.67,86,33.33,19031
19,32,265,138,52.08,127,47.92,19032
19,33,242,92,38.02,150,61.98,19033
19,34,279,186,66.67,93,33.33,19034
19,35,275,182,66.18,93,33.82,19035
19,36,424,358,84.43,66,15.57,19036
19,37,311,232,74.6,79,25.4,19037
19,38,325,261,80.31,64,19.69,19038
19,39,175,156,89.14,19,10.86,19039
19,40,342,243,71.05,99,28.95,19040
19,41,170,67,39.41,103,60.59,19041
19,42,338,280,82.84,58,17.16,19042
19,44,209,92,44.02,117,55.98,19044
19,45,278,134,48.2,144,51.8,19045
19,46,301,172,57.14,129,42.86,19046
19,47,236,195,82.63,41,17.37,19047
19,49,370,305,82.43,65,17.57,19049
19,51,210,102,48.57,108,51.43,19051
19,52,163,79,48.47,84,51.53,19052
19,53,276,152,55.07,124,44.93,19053
19,54,184,87,47.28,97,52.72,19054
19,55,217,93,42.86,124,57.14,19055
19,56,352,266,75.57,86,24.43,19056
19,57,344,256,74.42,88,25.58,19057
19,58,222,82,36.94,140,63.06,19058
19,59,232,101,43.53,131,56.47,19059
19,61,330,201,60.91,129,39.09,19061
19,62,264,157,59.47,107,40.53,19062
19,63,232,177,76.29,55,23.71,19063
19,64,305,238,78.03,67,21.97,19064
19,65,246,180,73.17,66,26.83,19065
20,41,85,42,49.41,43,50.59,20041
23,1,216,81,37.5,135,62.5,23001
23,2,261,116,44.44,145,55.56,23002
23,3,193,71,36.79,122,63.21,23003
23,4,233,93,39.91,140,60.09,23004
23,5,197,93,47.21,104,52.79,23005
23,6,198,81,40.91,117,59.09,23006
23,7,106,97,91.51,9,8.49,23007
23,8,228,103,45.18,125,54.82,23008
23,10,222,90,40.54,132,59.46,23010
23,11,233,74,31.76,159,68.24,23011
23,12,232,95,40.95,137,59.05,23012
23,13,283,102,36.04,181,63.96,23013
23,14,113,100,88.5,13,11.5,23014
23,15,194,68,35.05,126,64.95,23015
23,16,252,101,40.08,151,59.92,23016
23,17,258,90,34.88,168,65.12,23017
23,18,171,59,34.5,112,65.5,23018
23,19,189,88,46.56,101,53.44,23019
23,20,200,72,36.0,128,64.0,23020
23,21,244,221,90.57,23,9.43,23021
23,22,235,87,37.02,148,62.98,23022
23,23,187,57,30.48,130,69.52,23023
23,25,162,80,49.38,82,50.62,23025
23,26,224,80,35.71,144,64.29,23026
23,27,186,79,42.47,107,57.53,23027
23,28,232,70,30.17,162,69.83,23028
23,30,196,76,38.78,120,61.22,23030
23,31,231,127,54.98,104,45.02,23031
23,32,249,116,46.59,133,53.41,23032
23,33,219,96,43.84,123,56.16,23033
23,34,193,76,39.38,117,60.62,23034
23,35,193,180,93.26,13,6.74,23035
23,36,279,106,37.99,173,62.01,23036
23,37,193,178,92.23,15,7.77,23037
23,38,201,83,41.29,118,58.71,23038
23,39,203,84,41.38,119,58.62,23039
23,40,185,84,45.41,101,54.59,23040
23,41,210,101,48.1,109,51.9,23041
23,42,167,91,54.49,76,45.51,23042
23,43,250,88,35.2,162,64.8,23043
23,44,242,91,37.6,151,62.4,23044
23,45,285,121,42.46,164,57.54,23045
23,46,233,95,40.77,138,59.23,23046
23,47,237,91,38.4,146,61.6,23047
23,48,190,72,37.89,118,62.11,23048
23,49,250,87,34.8,163,65.2,23049
23,50,141,54,38.3,87,61.7,23050
23,51,190,91,47.89,99,52.11,23051
23,52,253,107,42.29,146,57.71,23052
23,53,140,68,48.57,72,51.43,23053
23,54,252,102,40.48,150,59.52,23054
23,55,210,86,40.95,124,59.05,23055
23,56,179,72,40.22,107,59.78,23056
