ward,precinct,total,Billy Ocasio (Obama),Billy Ocasio (Obama) Percent,Andrew P. Fox (Clinton),Andrew P. Fox (Clinton) Percent,precinct_id
13,3,259,91,35.14,168,64.86,13003
14,1,105,46,43.81,59,56.19,14001
14,3,221,91,41.18,130,58.82,14003
14,4,137,66,48.18,71,51.82,14004
14,5,229,128,55.9,101,44.1,14005
14,6,156,83,53.21,73,46.79,14006
14,7,156,74,47.44,82,52.56,14007
14,8,126,68,53.97,58,46.03,14008
14,9,181,86,47.51,95,52.49,14009
14,10,192,82,42.71,110,57.29,14010
14,11,144,76,52.78,68,47.22,14011
14,12,145,80,55.17,65,44.83,14012
14,13,183,88,48.09,95,51.91,14013
14,14,154,80,51.95,74,48.05,14014
14,15,207,112,54.11,95,45.89,14015
14,16,181,85,46.96,96,53.04,14016
14,17,179,97,54.19,82,45.81,14017
14,18,204,86,42.16,118,57.84,14018
14,19,230,114,49.57,116,50.43,14019
14,20,143,72,50.35,71,49.65,14020
14,21,172,97,56.4,75,43.6,14021
14,22,206,117,56.8,89,43.2,14022
14,23,219,111,50.68,108,49.32,14023
14,24,114,54,47.37,60,52.63,14024
14,26,196,79,40.31,117,59.69,14026
14,27,213,101,47.42,112,52.58,14027
14,29,208,111,53.37,97,46.63,14029
14,30,153,76,49.67,77,50.33,14030
14,31,160,89,55.63,71,44.38,14031
14,32,137,73,53.28,64,46.72,14032
14,33,147,76,51.7,71,48.3,14033
14,34,156,81,51.92,75,48.08,14034
14,35,161,78,48.45,83,51.55,14035
16,21,147,68,46.26,79,53.74,16021
16,32,9,6,66.67,3,33.33,16032
20,4,148,86,58.11,62,41.89,20004
20,8,62,23,37.1,39,62.9,20008
20,15,190,102,53.68,88,46.32,20015
20,21,101,48,47.52,53,52.48,20021
22,1,140,62,44.29,78,55.71,22001
22,2,105,55,52.38,50,47.62,22002
22,3,191,74,38.74,117,61.26,22003
22,4,149,62,41.61,87,58.39,22004
22,5,159,68,42.77,91,57.23,22005
22,6,154,68,44.16,86,55.84,22006
22,8,144,70,48.61,74,51.39,22008
22,9,189,78,41.27,111,58.73,22009
22,10,164,74,45.12,90,54.88,22010
22,11,156,69,44.23,87,55.77,22011
22,12,117,52,44.44,65,55.56,22012
22,13,163,78,47.85,85,52.15,22013
22,14,119,76,63.87,43,36.13,22014
22,15,120,63,52.5,57,47.5,22015
22,16,176,91,51.7,85,48.3,22016
22,17,156,67,42.95,89,57.05,22017
22,18,154,77,50.0,77,50.0,22018
22,20,185,75,40.54,110,59.46,22020
22,22,131,66,50.38,65,49.62,22022
22,23,177,91,51.41,86,48.59,22023
22,24,126,63,50.0,63,50.0,22024
22,25,139,66,47.48,73,52.52,22025
22,26,136,65,47.79,71,52.21,22026
22,27,211,89,42.18,122,57.82,22027
22,28,98,40,40.82,58,59.18,22028
22,29,109,49,44.95,60,55.05,22029
23,9,241,104,43.15,137,56.85,23009
23,24,185,75,40.54,110,59.46,23024
23,29,198,77,38.89,121,61.11,23029
24,44,245,196,80.0,49,20.0,24044
24,53,193,102,52.85,91,47.15,24053
25,1,204,81,39.71,123,60.29,25001
25,2,278,141,50.72,137,49.28,25002
25,5,215,104,48.37,111,51.63,25005
25,6,120,86,71.67,34,28.33,25006
25,7,199,98,49.25,101,50.75,25007
25,8,249,118,47.39,131,52.61,25008
25,9,322,161,50.0,161,50.0,25009
25,11,259,140,54.05,119,45.95,25011
25,12,219,134,61.19,85,38.81,25012
25,13,274,123,44.89,151,55.11,25013
25,15,243,83,34.16,160,65.84,25015
25,17,364,220,60.44,144,39.56,25017
25,19,267,128,47.94,139,52.06,25019
25,20,254,123,48.43,131,51.57,25020
25,22,129,58,44.96,71,55.04,25022
25,23,269,133,49.44,136,50.56,25023
25,24,298,154,51.68,144,48.32,25024
25,30,234,118,50.43,116,49.57,25030
25,31,140,99,70.71,41,29.29,25031
26,1,119,86,72.27,33,27.73,26001
26,2,182,137,75.27,45,24.73,26002
26,3,150,112,74.67,38,25.33,26003
26,4,114,84,73.68,30,26.32,26004
26,5,187,137,73.26,50,26.74,26005
26,6,85,61,71.76,24,28.24,26006
26,7,99,71,71.72,28,28.28,26007
26,8,115,78,67.83,37,32.17,26008
26,9,111,84,75.68,27,24.32,26009
26,10,105,85,80.95,20,19.05,26010
26,11,137,91,66.42,46,33.58,26011
26,12,103,74,71.84,29,28.16,26012
26,13,156,117,75.0,39,25.0,26013
26,14,137,99,72.26,38,27.74,26014
26,15,122,84,68.85,38,31.15,26015
26,16,111,77,69.37,34,30.63,26016
26,18,100,66,66.0,34,34.0,26018
26,19,250,178,71.2,72,28.8,26019
26,20,188,159,84.57,29,15.43,26020
26,21,153,119,77.78,34,22.22,26021
26,22,113,80,70.8,33,29.2,26022
26,23,106,69,65.09,37,34.91,26023
26,24,102,76,74.51,26,25.49,26024
26,25,54,39,72.22,15,27.78,26025
26,26,88,58,65.91,30,34.09,26026
26,27,124,93,75.0,31,25.0,26027
26,28,130,104,80.0,26,20.0,26028
26,29,140,98,70.0,42,30.0,26029
26,30,131,103,78.63,28,21.37,26030
26,31,124,88,70.97,36,29.03,26031
26,32,173,115,66.47,58,33.53,26032
26,34,152,121,79.61,31,20.39,26034
26,35,156,106,67.95,50,32.05,26035
26,36,134,97,72.39,37,27.61,26036
26,37,83,65,78.31,18,21.69,26037
26,38,96,86,89.58,10,10.42,26038
26,39,131,102,77.86,29,22.14,26039
26,40,72,47,65.28,25,34.72,26040
26,41,149,113,75.84,36,24.16,26041
26,42,110,87,79.09,23,20.91,26042
26,43,118,83,70.34,35,29.66,26043
26,44,75,62,82.67,13,17.33,26044
26,45,176,136,77.27,40,22.73,26045
26,46,35,20,57.14,15,42.86,26046
26,47,78,52,66.67,26,33.33,26047
26,48,143,113,79.02,30,20.98,26048
26,49,107,83,77.57,24,22.43,26049
26,50,101,86,85.15,15,14.85,26050
26,51,137,105,76.64,32,23.36,26051
26,52,60,43,71.67,17,28.33,26052
26,53,93,76,81.72,17,18.28,26053
26,54,118,72,61.02,46,38.98,26054
26,55,101,70,69.31,31,30.69,26055
26,56,116,94,81.03,22,18.97,26056
26,57,132,97,73.48,35,26.52,26057
26,58,118,90,76.27,28,23.73,26058
26,59,135,101,74.81,34,25.19,26059
26,60,142,106,74.65,36,25.35,26060
26,61,78,59,75.64,19,24.36,26061
26,62,168,114,67.86,54,32.14,26062
26,63,55,39,70.91,16,29.09,26063
27,13,149,109,73.15,40,26.85,27013
27,18,4,3,75.0,1,25.0,27018
27,32,166,114,68.67,52,31.33,27032
27,35,172,113,65.7,59,34.3,27035
27,38,153,113,73.86,40,26.14,27038
27,41,214,156,72.9,58,27.1,27041
27,56,150,120,80.0,30,20.0,27056
27,59,199,141,70.85,58,29.15,27059
28,29,169,89,52.66,80,47.34,28029
28,34,46,24,52.17,22,47.83,28034
28,38,60,35,58.33,25,41.67,28038
29,6,108,76,70.37,32,29.63,29006
29,7,155,92,59.35,63,40.65,29007
29,10,111,53,47.75,58,52.25,29010
29,24,89,41,46.07,48,53.93,29024
29,39,180,112,62.22,68,37.78,29039
30,4,162,98,60.49,64,39.51,30004
30,5,92,52,56.52,40,43.48,30005
30,17,15,10,66.67,5,33.33,30017
30,18,107,54,50.47,53,49.53,30018
30,19,117,73,62.39,44,37.61,30019
30,20,133,85,63.91,48,36.09,30020
30,21,178,107,60.11,71,39.89,30021
30,22,162,91,56.17,71,43.83,30022
30,23,159,108,67.92,51,32.08,30023
30,24,149,93,62.42,56,37.58,30024
30,25,10,3,30.0,7,70.0,30025
30,26,112,83,74.11,29,25.89,30026
30,27,225,145,64.44,80,35.56,30027
30,29,113,59,52.21,54,47.79,30029
30,31,140,92,65.71,48,34.29,30031
30,32,67,45,67.16,22,32.84,30032
30,33,151,96,63.58,55,36.42,30033
30,35,159,82,51.57,77,48.43,30035
30,36,142,79,55.63,63,44.37,30036
30,41,177,98,55.37,79,44.63,30041
31,1,75,49,65.33,26,34.67,31001
31,2,106,57,53.77,49,46.23,31002
31,4,131,65,49.62,66,50.38,31004
31,5,149,86,57.72,63,42.28,31005
31,6,142,72,50.7,70,49.3,31006
31,7,144,90,62.5,54,37.5,31007
31,10,59,33,55.93,26,44.07,31010
31,11,98,55,56.12,43,43.88,31011
31,12,134,85,63.43,49,36.57,31012
31,13,125,63,50.4,62,49.6,31013
31,14,110,73,66.36,37,33.64,31014
31,16,30,17,56.67,13,43.33,31016
31,17,124,77,62.1,47,37.9,31017
31,18,111,62,55.86,49,44.14,31018
31,20,118,68,57.63,50,42.37,31020
31,21,153,93,60.78,60,39.22,31021
31,22,101,62,61.39,39,38.61,31022
31,23,74,44,59.46,30,40.54,31023
31,24,106,69,65.09,37,34.91,31024
31,25,134,93,69.4,41,30.6,31025
31,27,123,70,56.91,53,43.09,31027
31,30,173,103,59.54,70,40.46,31030
31,31,181,98,54.14,83,45.86,31031
31,34,108,66,61.11,42,38.89,31034
31,35,82,44,53.66,38,46.34,31035
31,36,150,82,54.67,68,45.33,31036
31,37,114,68,59.65,46,40.35,31037
31,39,69,33,47.83,36,52.17,31039
31,40,80,51,63.75,29,36.25,31040
31,42,176,116,65.91,60,34.09,31042
31,44,116,70,60.34,46,39.66,31044
31,49,66,46,69.7,20,30.3,31049
31,51,93,45,48.39,48,51.61,31051
32,1,47,33,70.21,14,29.79,32001
32,2,260,195,75.0,65,25.0,32002
32,3,194,162,83.51,32,16.49,32003
32,4,261,197,75.48,64,24.52,32004
32,5,182,131,71.98,51,28.02,32005
32,11,201,143,71.14,58,28.86,32011
32,12,34,30,88.24,4,11.76,32012
32,14,206,150,72.82,56,27.18,32014
32,16,208,145,69.71,63,30.29,32016
32,17,160,119,74.38,41,25.63,32017
32,28,201,142,70.65,59,29.35,32028
32,29,218,145,66.51,73,33.49,32029
32,31,301,229,76.08,72,23.92,32031
32,33,143,94,65.73,49,34.27,32033
32,34,246,176,71.54,70,28.46,32034
32,35,275,202,73.45,73,26.55,32035
32,36,271,206,76.01,65,23.99,32036
32,46,43,26,60.47,17,39.53,32046
32,52,153,106,69.28,47,30.72,32052
33,1,284,151,53.17,133,46.83,33001
33,2,304,193,63.49,111,36.51,33002
33,3,278,178,64.03,100,35.97,33003
33,4,305,158,51.8,147,48.2,33004
33,6,274,133,48.54,141,51.46,33006
33,8,242,173,71.49,69,28.51,33008
33,11,268,162,60.45,106,39.55,33011
33,12,278,147,52.88,131,47.12,33012
33,13,293,177,60.41,116,39.59,33013
33,15,256,147,57.42,109,42.58,33015
33,16,266,142,53.38,124,46.62,33016
33,17,300,185,61.67,115,38.33,33017
33,19,283,145,51.24,138,48.76,33019
33,20,292,168,57.53,124,42.47,33020
33,21,269,159,59.11,110,40.89,33021
33,22,139,88,63.31,51,36.69,33022
33,26,281,165,58.72,116,41.28,33026
33,27,231,148,64.07,83,35.93,33027
35,1,273,173,63.37,100,36.63,35001
35,2,195,123,63.08,72,36.92,35002
35,3,182,132,72.53,50,27.47,35003
35,4,235,138,58.72,97,41.28,35004
35,5,233,152,65.24,81,34.76,35005
35,6,247,121,48.99,126,51.01,35006
35,7,302,217,71.85,85,28.15,35007
35,8,217,172,79.26,45,20.74,35008
35,9,224,146,65.18,78,34.82,35009
35,10,241,169,70.12,72,29.88,35010
35,11,245,141,57.55,104,42.45,35011
35,12,294,224,76.19,70,23.81,35012
35,13,70,35,50.0,35,50.0,35013
35,14,262,188,71.76,74,28.24,35014
35,15,235,143,60.85,92,39.15,35015
35,16,241,186,77.18,55,22.82,35016
35,17,244,191,78.28,53,21.72,35017
35,18,257,186,72.37,71,27.63,35018
35,19,246,183,74.39,63,25.61,35019
35,20,216,145,67.13,71,32.87,35020
35,21,238,148,62.18,90,37.82,35021
35,23,145,96,66.21,49,33.79,35023
35,24,146,77,52.74,69,47.26,35024
35,25,225,187,83.11,38,16.89,35025
35,26,280,149,53.21,131,46.79,35026
35,27,277,205,74.01,72,25.99,35027
35,28,236,173,73.31,63,26.69,35028
35,29,298,202,67.79,96,32.21,35029
35,30,326,251,76.99,75,23.01,35030
35,31,134,93,69.4,41,30.6,35031
35,32,150,116,77.33,34,22.67,35032
35,34,243,183,75.31,60,24.69,35034
35,35,220,140,63.64,80,36.36,35035
35,36,169,129,76.33,40,23.67,35036
36,4,157,105,66.88,52,33.12,36004
36,33,160,111,69.38,49,30.63,36033
36,44,45,29,64.44,16,35.56,36044
36,54,53,38,71.7,15,28.3,36054
36,55,15,11,73.33,4,26.67,36055
37,1,156,84,53.85,72,46.15,37001
37,11,94,50,53.19,44,46.81,37011
37,19,193,100,51.81,93,48.19,37019
37,39,201,108,53.73,93,46.27,37039
