ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Robert Dallas,Robert Dallas Percent,precinct_id
3,10,111,104,93.69,7,6.31,03010
3,11,272,258,94.85,14,5.15,03011
3,12,242,232,95.87,10,4.13,03012
3,14,134,134,100.0,0,0.0,03014
3,15,268,250,93.28,18,6.72,03015
3,16,230,224,97.39,6,2.61,03016
3,17,132,128,96.97,4,3.03,03017
3,18,117,108,92.31,9,7.69,03018
3,20,172,162,94.19,10,5.81,03020
3,21,135,123,91.11,12,8.89,03021
3,22,145,140,96.55,5,3.45,03022
3,23,103,96,93.2,7,6.8,03023
3,24,241,231,95.85,10,4.15,03024
3,25,175,167,95.43,8,4.57,03025
3,26,100,97,97.0,3,3.0,03026
3,27,223,217,97.31,6,2.69,03027
3,28,402,340,84.58,62,15.42,03028
3,29,188,181,96.28,7,3.72,03029
3,31,355,336,94.65,19,5.35,03031
3,32,202,197,97.52,5,2.48,03032
3,33,323,299,92.57,24,7.43,03033
3,35,231,217,93.94,14,6.06,03035
3,36,97,90,92.78,7,7.22,03036
3,37,103,97,94.17,6,5.83,03037
3,39,259,248,95.75,11,4.25,03039
3,40,195,186,95.38,9,4.62,03040
3,42,168,162,96.43,6,3.57,03042
3,43,71,62,87.32,9,12.68,03043
3,45,295,270,91.53,25,8.47,03045
3,46,49,49,100.0,0,0.0,03046
3,47,155,149,96.13,6,3.87,03047
3,48,185,178,96.22,7,3.78,03048
3,49,87,75,86.21,12,13.79,03049
3,50,210,201,95.71,9,4.29,03050
4,4,306,285,93.14,21,6.86,04004
4,5,356,340,95.51,16,4.49,04005
4,6,122,116,95.08,6,4.92,04006
4,7,352,336,95.45,16,4.55,04007
4,10,332,317,95.48,15,4.52,04010
4,11,396,378,95.45,18,4.55,04011
4,14,229,214,93.45,15,6.55,04014
4,15,231,217,93.94,14,6.06,04015
4,25,227,219,96.48,8,3.52,04025
4,27,290,279,96.21,11,3.79,04027
4,30,255,240,94.12,15,5.88,04030
4,35,211,197,93.36,14,6.64,04035
4,36,204,192,94.12,12,5.88,04036
4,42,201,188,93.53,13,6.47,04042
11,14,147,114,77.55,33,22.45,11014
11,27,142,110,77.46,32,22.54,11027
11,28,120,87,72.5,33,27.5,11028
11,34,54,47,87.04,7,12.96,11034
11,36,50,47,94.0,3,6.0,11036
11,46,92,84,91.3,8,8.7,11046
12,1,19,10,52.63,9,47.37,12001
12,6,31,21,67.74,10,32.26,12006
12,18,101,80,79.21,21,20.79,12018
16,15,218,202,92.66,16,7.34,16015
16,16,187,179,95.72,8,4.28,16016
16,18,208,193,92.79,15,7.21,16018
16,20,169,159,94.08,10,5.92,16020
16,22,152,143,94.08,9,5.92,16022
16,29,154,135,87.66,19,12.34,16029
16,30,170,156,91.76,14,8.24,16030
16,33,155,143,92.26,12,7.74,16033
20,27,153,145,94.77,8,5.23,20027
20,31,245,234,95.51,11,4.49,20031
20,40,180,164,91.11,16,8.89,20040
20,45,147,139,94.56,8,5.44,20045
20,48,89,87,97.75,2,2.25,20048
22,7,230,226,98.26,4,1.74,22007
22,18,1,1,100.0,0,0.0,22018
22,19,179,175,97.77,4,2.23,22019
22,21,229,216,94.32,13,5.68,22021
24,1,327,313,95.72,14,4.28,24001
24,2,173,167,96.53,6,3.47,24002
24,3,229,220,96.07,9,3.93,24003
24,4,225,216,96.0,9,4.0,24004
24,5,186,181,97.31,5,2.69,24005
24,6,254,246,96.85,8,3.15,24006
24,7,184,177,96.2,7,3.8,24007
24,8,195,191,97.95,4,2.05,24008
24,9,232,225,96.98,7,3.02,24009
24,10,164,155,94.51,9,5.49,24010
24,11,135,127,94.07,8,5.93,24011
24,12,187,175,93.58,12,6.42,24012
24,13,221,205,92.76,16,7.24,24013
24,14,298,289,96.98,9,3.02,24014
24,15,196,192,97.96,4,2.04,24015
24,16,178,172,96.63,6,3.37,24016
24,17,187,185,98.93,2,1.07,24017
24,18,157,152,96.82,5,3.18,24018
24,19,166,159,95.78,7,4.22,24019
24,20,210,200,95.24,10,4.76,24020
24,21,140,134,95.71,6,4.29,24021
24,22,220,210,95.45,10,4.55,24022
24,23,170,163,95.88,7,4.12,24023
24,24,115,111,96.52,4,3.48,24024
24,25,239,233,97.49,6,2.51,24025
24,26,285,279,97.89,6,2.11,24026
24,27,107,101,94.39,6,5.61,24027
24,28,256,250,97.66,6,2.34,24028
24,29,261,248,95.02,13,4.98,24029
24,30,201,197,98.01,4,1.99,24030
24,31,211,201,95.26,10,4.74,24031
24,32,199,190,95.48,9,4.52,24032
24,33,167,158,94.61,9,5.39,24033
24,34,213,199,93.43,14,6.57,24034
24,35,295,290,98.31,5,1.69,24035
24,36,187,184,98.4,3,1.6,24036
24,37,268,251,93.66,17,6.34,24037
24,38,222,209,94.14,13,5.86,24038
24,39,204,195,95.59,9,4.41,24039
24,40,274,261,95.26,13,4.74,24040
24,41,186,177,95.16,9,4.84,24041
24,42,167,164,98.2,3,1.8,24042
24,43,293,291,99.32,2,0.68,24043
24,44,17,17,100.0,0,0.0,24044
24,45,193,188,97.41,5,2.59,24045
24,46,242,236,97.52,6,2.48,24046
24,47,183,172,93.99,11,6.01,24047
24,48,120,116,96.67,4,3.33,24048
24,49,337,325,96.44,12,3.56,24049
24,50,358,337,94.13,21,5.87,24050
24,51,338,328,97.04,10,2.96,24051
24,52,179,176,98.32,3,1.68,24052
24,54,262,253,96.56,9,3.44,24054
24,55,225,215,95.56,10,4.44,24055
24,56,264,253,95.83,11,4.17,24056
25,3,195,164,84.1,31,15.9,25003
25,4,226,176,77.88,50,22.12,25004
25,5,1,1,100.0,0,0.0,25005
25,6,23,13,56.52,10,43.48,25006
25,8,2,0,0.0,2,100.0,25008
25,10,127,103,81.1,24,18.9,25010
25,14,119,101,84.87,18,15.13,25014
25,16,144,132,91.67,12,8.33,25016
25,18,180,162,90.0,18,10.0,25018
25,21,161,136,84.47,25,15.53,25021
25,25,157,131,83.44,26,16.56,25025
25,26,144,110,76.39,34,23.61,25026
25,27,157,127,80.89,30,19.11,25027
25,28,238,201,84.45,37,15.55,25028
25,29,361,292,80.89,69,19.11,25029
26,17,65,52,80.0,13,20.0,26017
26,28,3,3,100.0,0,0.0,26028
26,33,53,38,71.7,15,28.3,26033
26,46,115,88,76.52,27,23.48,26046
27,1,195,156,80.0,39,20.0,27001
27,2,163,149,91.41,14,8.59,27002
27,3,212,200,94.34,12,5.66,27003
27,4,132,119,90.15,13,9.85,27004
27,5,59,47,79.66,12,20.34,27005
27,6,94,88,93.62,6,6.38,27006
27,7,178,151,84.83,27,15.17,27007
27,8,216,208,96.3,8,3.7,27008
27,9,255,238,93.33,17,6.67,27009
27,10,346,336,97.11,10,2.89,27010
27,11,221,185,83.71,36,16.29,27011
27,12,154,132,85.71,22,14.29,27012
27,14,279,266,95.34,13,4.66,27014
27,15,132,123,93.18,9,6.82,27015
27,16,66,47,71.21,19,28.79,27016
27,17,159,135,84.91,24,15.09,27017
27,18,129,95,73.64,34,26.36,27018
27,19,212,204,96.23,8,3.77,27019
27,20,333,322,96.7,11,3.3,27020
27,21,135,132,97.78,3,2.22,27021
27,22,204,196,96.08,8,3.92,27022
27,23,45,42,93.33,3,6.67,27023
27,24,191,179,93.72,12,6.28,27024
27,25,125,116,92.8,9,7.2,27025
27,26,189,180,95.24,9,4.76,27026
27,27,174,167,95.98,7,4.02,27027
27,28,181,165,91.16,16,8.84,27028
27,29,157,142,90.45,15,9.55,27029
27,30,116,102,87.93,14,12.07,27030
27,31,160,151,94.38,9,5.63,27031
27,33,185,173,93.51,12,6.49,27033
27,34,195,192,98.46,3,1.54,27034
27,36,199,187,93.97,12,6.03,27036
27,37,130,117,90.0,13,10.0,27037
27,39,131,125,95.42,6,4.58,27039
27,40,174,163,93.68,11,6.32,27040
27,42,125,107,85.6,18,14.4,27042
27,43,109,103,94.5,6,5.5,27043
27,44,159,154,96.86,5,3.14,27044
27,45,158,154,97.47,4,2.53,27045
27,46,217,204,94.01,13,5.99,27046
27,47,171,160,93.57,11,6.43,27047
27,48,228,223,97.81,5,2.19,27048
27,49,267,254,95.13,13,4.87,27049
27,50,209,166,79.43,43,20.57,27050
27,51,126,124,98.41,2,1.59,27051
27,52,185,178,96.22,7,3.78,27052
27,53,152,127,83.55,25,16.45,27053
27,54,179,145,81.01,34,18.99,27054
27,55,189,185,97.88,4,2.12,27055
27,57,124,105,84.68,19,15.32,27057
27,58,62,52,83.87,10,16.13,27058
28,1,241,230,95.44,11,4.56,28001
28,2,255,245,96.08,10,3.92,28002
28,3,158,153,96.84,5,3.16,28003
28,4,262,254,96.95,8,3.05,28004
28,5,198,193,97.47,5,2.53,28005
28,6,176,171,97.16,5,2.84,28006
28,7,197,185,93.91,12,6.09,28007
28,8,136,132,97.06,4,2.94,28008
28,9,180,172,95.56,8,4.44,28009
28,10,63,62,98.41,1,1.59,28010
28,11,162,157,96.91,5,3.09,28011
28,12,175,169,96.57,6,3.43,28012
28,13,110,102,92.73,8,7.27,28013
28,14,130,128,98.46,2,1.54,28014
28,15,205,202,98.54,3,1.46,28015
28,16,178,174,97.75,4,2.25,28016
28,17,180,171,95.0,9,5.0,28017
28,18,272,261,95.96,11,4.04,28018
28,19,214,209,97.66,5,2.34,28019
28,20,243,231,95.06,12,4.94,28020
28,21,273,267,97.8,6,2.2,28021
28,22,197,192,97.46,5,2.54,28022
28,23,183,179,97.81,4,2.19,28023
28,24,158,147,93.04,11,6.96,28024
28,25,161,156,96.89,5,3.11,28025
28,26,209,204,97.61,5,2.39,28026
28,27,254,240,94.49,14,5.51,28027
28,28,135,130,96.3,5,3.7,28028
28,30,130,125,96.15,5,3.85,28030
28,31,208,203,97.6,5,2.4,28031
28,32,204,201,98.53,3,1.47,28032
28,33,209,198,94.74,11,5.26,28033
28,35,182,173,95.05,9,4.95,28035
28,36,166,161,96.99,5,3.01,28036
28,37,285,280,98.25,5,1.75,28037
28,39,201,198,98.51,3,1.49,28039
28,40,268,259,96.64,9,3.36,28040
28,41,215,208,96.74,7,3.26,28041
28,42,170,163,95.88,7,4.12,28042
28,43,273,264,96.7,9,3.3,28043
28,44,214,205,95.79,9,4.21,28044
28,45,228,219,96.05,9,3.95,28045
28,46,201,196,97.51,5,2.49,28046
28,47,222,208,93.69,14,6.31,28047
28,48,116,109,93.97,7,6.03,28048
28,49,104,100,96.15,4,3.85,28049
28,50,142,133,93.66,9,6.34,28050
28,51,188,181,96.28,7,3.72,28051
28,52,163,146,89.57,17,10.43,28052
28,53,98,81,82.65,17,17.35,28053
28,54,166,161,96.99,5,3.01,28054
28,55,184,181,98.37,3,1.63,28055
28,56,214,204,95.33,10,4.67,28056
28,57,223,212,95.07,11,4.93,28057
28,58,198,190,95.96,8,4.04,28058
28,59,143,140,97.9,3,2.1,28059
28,60,142,140,98.59,2,1.41,28060
28,61,110,97,88.18,13,11.82,28061
29,1,494,482,97.57,12,2.43,29001
29,3,338,327,96.75,11,3.25,29003
29,4,278,271,97.48,7,2.52,29004
29,5,255,250,98.04,5,1.96,29005
29,8,202,194,96.04,8,3.96,29008
29,11,261,250,95.79,11,4.21,29011
29,12,337,322,95.55,15,4.45,29012
29,13,293,290,98.98,3,1.02,29013
29,14,340,332,97.65,8,2.35,29014
29,15,289,277,95.85,12,4.15,29015
29,16,385,374,97.14,11,2.86,29016
29,17,214,207,96.73,7,3.27,29017
29,18,315,303,96.19,12,3.81,29018
29,19,405,400,98.77,5,1.23,29019
29,20,284,274,96.48,10,3.52,29020
29,21,236,225,95.34,11,4.66,29021
29,22,202,177,87.62,25,12.38,29022
29,23,284,280,98.59,4,1.41,29023
29,25,303,298,98.35,5,1.65,29025
29,26,257,252,98.05,5,1.95,29026
29,27,237,228,96.2,9,3.8,29027
29,28,356,349,98.03,7,1.97,29028
29,29,367,358,97.55,9,2.45,29029
29,31,270,262,97.04,8,2.96,29031
29,33,233,227,97.42,6,2.58,29033
29,34,182,160,87.91,22,12.09,29034
29,35,229,217,94.76,12,5.24,29035
29,36,384,380,98.96,4,1.04,29036
29,37,271,267,98.52,4,1.48,29037
29,38,238,238,100.0,0,0.0,29038
29,40,384,379,98.7,5,1.3,29040
29,41,348,338,97.13,10,2.87,29041
29,42,329,319,96.96,10,3.04,29042
29,43,355,352,99.15,3,0.85,29043
29,44,255,246,96.47,9,3.53,29044
29,45,262,249,95.04,13,4.96,29045
29,46,272,258,94.85,14,5.15,29046
29,47,345,334,96.81,11,3.19,29047
29,48,293,280,95.56,13,4.44,29048
29,49,384,375,97.66,9,2.34,29049
32,1,180,142,78.89,38,21.11,32001
32,6,188,143,76.06,45,23.94,32006
32,12,103,81,78.64,22,21.36,32012
32,17,65,48,73.85,17,26.15,32017
32,26,154,127,82.47,27,17.53,32026
32,46,49,36,73.47,13,26.53,32046
32,50,183,150,81.97,33,18.03,32050
32,51,231,189,81.82,42,18.18,32051
36,23,126,112,88.89,14,11.11,36023
36,24,265,254,95.85,11,4.15,36024
36,44,177,158,89.27,19,10.73,36044
36,54,275,254,92.36,21,7.64,36054
37,2,265,236,89.06,29,10.94,37002
37,3,156,142,91.03,14,8.97,37003
37,4,324,305,94.14,19,5.86,37004
37,5,345,336,97.39,9,2.61,37005
37,6,300,287,95.67,13,4.33,37006
37,7,334,331,99.1,3,0.9,37007
37,8,238,215,90.34,23,9.66,37008
37,9,260,251,96.54,9,3.46,37009
37,10,260,246,94.62,14,5.38,37010
37,12,180,166,92.22,14,7.78,37012
37,13,235,209,88.94,26,11.06,37013
37,14,354,347,98.02,7,1.98,37014
37,15,280,269,96.07,11,3.93,37015
37,16,269,257,95.54,12,4.46,37016
37,17,253,249,98.42,4,1.58,37017
37,18,320,307,95.94,13,4.06,37018
37,20,276,269,97.46,7,2.54,37020
37,21,276,266,96.38,10,3.62,37021
37,22,160,152,95.0,8,5.0,37022
37,23,233,227,97.42,6,2.58,37023
37,24,277,270,97.47,7,2.53,37024
37,25,297,282,94.95,15,5.05,37025
37,26,316,301,95.25,15,4.75,37026
37,27,273,264,96.7,9,3.3,37027
37,28,262,248,94.66,14,5.34,37028
37,29,313,302,96.49,11,3.51,37029
37,30,193,179,92.75,14,7.25,37030
37,31,293,289,98.63,4,1.37,37031
37,32,285,280,98.25,5,1.75,37032
37,33,227,219,96.48,8,3.52,37033
37,34,271,263,97.05,8,2.95,37034
37,35,291,285,97.94,6,2.06,37035
37,36,292,282,96.58,10,3.42,37036
37,37,296,289,97.64,7,2.36,37037
37,38,325,315,96.92,10,3.08,37038
37,40,297,286,96.3,11,3.7,37040
37,41,317,303,95.58,14,4.42,37041
37,42,134,106,79.1,28,20.9,37042
37,43,249,244,97.99,5,2.01,37043
42,1,220,180,81.82,40,18.18,42001
42,2,141,119,84.4,22,15.6,42002
42,3,168,129,76.79,39,23.21,42003
42,4,168,132,78.57,36,21.43,42004
42,5,169,138,81.66,31,18.34,42005
42,6,344,275,79.94,69,20.06,42006
42,7,170,143,84.12,27,15.88,42007
42,8,232,182,78.45,50,21.55,42008
42,9,372,290,77.96,82,22.04,42009
42,10,149,115,77.18,34,22.82,42010
42,11,204,169,82.84,35,17.16,42011
42,12,144,116,80.56,28,19.44,42012
42,13,307,256,83.39,51,16.61,42013
42,14,198,153,77.27,45,22.73,42014
42,15,214,174,81.31,40,18.69,42015
42,16,128,108,84.38,20,15.63,42016
42,17,366,313,85.52,53,14.48,42017
42,18,284,236,83.1,48,16.9,42018
42,19,77,68,88.31,9,11.69,42019
42,20,105,84,80.0,21,20.0,42020
42,21,140,107,76.43,33,23.57,42021
42,22,130,100,76.92,30,23.08,42022
42,23,239,191,79.92,48,20.08,42023
42,24,197,155,78.68,42,21.32,42024
42,25,174,149,85.63,25,14.37,42025
42,26,232,210,90.52,22,9.48,42026
42,27,242,190,78.51,52,21.49,42027
42,28,190,155,81.58,35,18.42,42028
42,29,214,189,88.32,25,11.68,42029
42,30,119,94,78.99,25,21.01,42030
42,31,127,106,83.46,21,16.54,42031
42,32,109,88,80.73,21,19.27,42032
42,33,263,225,85.55,38,14.45,42033
42,34,181,147,81.22,34,18.78,42034
42,35,153,124,81.05,29,18.95,42035
42,36,154,120,77.92,34,22.08,42036
42,37,152,128,84.21,24,15.79,42037
42,38,127,109,85.83,18,14.17,42038
42,39,119,105,88.24,14,11.76,42039
42,40,187,155,82.89,32,17.11,42040
42,41,226,161,71.24,65,28.76,42041
42,42,111,91,81.98,20,18.02,42042
42,43,201,165,82.09,36,17.91,42043
42,44,258,209,81.01,49,18.99,42044
42,45,197,167,84.77,30,15.23,42045
42,46,140,108,77.14,32,22.86,42046
42,47,125,110,88.0,15,12.0,42047
42,48,152,120,78.95,32,21.05,42048
42,49,63,53,84.13,10,15.87,42049
42,50,155,122,78.71,33,21.29,42050
42,51,214,174,81.31,40,18.69,42051
42,52,102,83,81.37,19,18.63,42052
42,53,189,159,84.13,30,15.87,42053
42,54,154,134,87.01,20,12.99,42054
42,55,195,157,80.51,38,19.49,42055
42,56,200,161,80.5,39,19.5,42056
42,57,161,127,78.88,34,21.12,42057
42,58,97,74,76.29,23,23.71,42058
42,59,249,200,80.32,49,19.68,42059
42,60,100,85,85.0,15,15.0,42060
42,61,103,89,86.41,14,13.59,42061
42,62,119,94,78.99,25,21.01,42062
42,63,196,172,87.76,24,12.24,42063
42,64,77,68,88.31,9,11.69,42064
42,65,181,153,84.53,28,15.47,42065
42,66,191,157,82.2,34,17.8,42066
42,67,317,257,81.07,60,18.93,42067
42,68,177,145,81.92,32,18.08,42068
42,69,165,134,81.21,31,18.79,42069
43,1,268,228,85.07,40,14.93,43001
43,3,230,194,84.35,36,15.65,43003
43,4,256,194,75.78,62,24.22,43004
43,5,210,172,81.9,38,18.1,43005
43,9,185,151,81.62,34,18.38,43009
43,10,188,146,77.66,42,22.34,43010
43,11,148,121,81.76,27,18.24,43011
43,13,102,92,90.2,10,9.8,43013
43,15,171,139,81.29,32,18.71,43015
43,16,201,166,82.59,35,17.41,43016
43,18,214,182,85.05,32,14.95,43018
43,19,143,115,80.42,28,19.58,43019
43,23,185,144,77.84,41,22.16,43023
43,24,198,151,76.26,47,23.74,43024
43,25,246,215,87.4,31,12.6,43025
43,26,144,116,80.56,28,19.44,43026
43,28,232,190,81.9,42,18.1,43028
43,30,139,114,82.01,25,17.99,43030
43,35,206,174,84.47,32,15.53,43035
43,36,178,140,78.65,38,21.35,43036
43,37,175,142,81.14,33,18.86,43037
43,39,130,102,78.46,28,21.54,43039
43,40,87,70,80.46,17,19.54,43040
43,41,112,97,86.61,15,13.39,43041
43,42,148,132,89.19,16,10.81,43042
43,46,211,169,80.09,42,19.91,43046
43,47,175,140,80.0,35,20.0,43047
43,49,174,131,75.29,43,24.71,43049
43,51,241,207,85.89,34,14.11,43051
43,52,153,130,84.97,23,15.03,43052
43,54,150,120,80.0,30,20.0,43054
43,55,227,208,91.63,19,8.37,43055
