ward,precinct,total,Katie L. Remer (Clinton),Katie L. Remer (Clinton) Percent,Naisy Dolar (Obama),Naisy Dolar (Obama) Percent,precinct_id
46,35,276,74,26.81,202,73.19,46035
46,38,185,53,28.65,132,71.35,46038
46,39,271,96,35.42,175,64.58,46039
46,40,184,61,33.15,123,66.85,46040
46,41,196,69,35.2,127,64.8,46041
46,42,247,62,25.1,185,74.9,46042
46,45,300,89,29.67,211,70.33,46045
46,46,211,66,31.28,145,68.72,46046
46,47,123,37,30.08,86,69.92,46047
48,1,261,98,37.55,163,62.45,48001
48,2,201,85,42.29,116,57.71,48002
48,3,287,105,36.59,182,63.41,48003
48,4,250,103,41.2,147,58.8,48004
48,5,206,72,34.95,134,65.05,48005
48,6,277,89,32.13,188,67.87,48006
48,7,204,62,30.39,142,69.61,48007
48,8,185,85,45.95,100,54.05,48008
48,9,226,102,45.13,124,54.87,48009
48,10,149,48,32.21,101,67.79,48010
48,11,304,93,30.59,211,69.41,48011
48,12,244,69,28.28,175,71.72,48012
48,13,219,100,45.66,119,54.34,48013
48,14,249,104,41.77,145,58.23,48014
48,15,173,61,35.26,112,64.74,48015
48,16,197,65,32.99,132,67.01,48016
48,17,279,94,33.69,185,66.31,48017
48,18,175,56,32.0,119,68.0,48018
48,19,212,63,29.72,149,70.28,48019
48,20,157,37,23.57,120,76.43,48020
48,21,251,63,25.1,188,74.9,48021
48,22,303,112,36.96,191,63.04,48022
48,23,199,81,40.7,118,59.3,48023
48,24,201,74,36.82,127,63.18,48024
48,25,292,110,37.67,182,62.33,48025
48,26,247,96,38.87,151,61.13,48026
48,27,142,56,39.44,86,60.56,48027
48,28,206,94,45.63,112,54.37,48028
48,29,172,94,54.65,78,45.35,48029
48,30,235,75,31.91,160,68.09,48030
48,31,184,50,27.17,134,72.83,48031
48,32,210,53,25.24,157,74.76,48032
48,33,192,95,49.48,97,50.52,48033
48,34,241,91,37.76,150,62.24,48034
48,35,92,45,48.91,47,51.09,48035
48,36,227,91,40.09,136,59.91,48036
48,37,210,69,32.86,141,67.14,48037
48,38,286,91,31.82,195,68.18,48038
48,39,192,84,43.75,108,56.25,48039
48,40,193,73,37.82,120,62.18,48040
48,41,174,65,37.36,109,62.64,48041
48,42,206,59,28.64,147,71.36,48042
48,43,346,98,28.32,248,71.68,48043
48,44,264,83,31.44,181,68.56,48044
48,45,190,80,42.11,110,57.89,48045
48,46,171,36,21.05,135,78.95,48046
48,47,222,61,27.48,161,72.52,48047
48,48,252,80,31.75,172,68.25,48048
48,49,97,34,35.05,63,64.95,48049
48,50,287,80,27.87,207,72.13,48050
48,51,326,93,28.53,233,71.47,48051
48,52,173,56,32.37,117,67.63,48052
48,53,133,40,30.08,93,69.92,48053
48,54,198,67,33.84,131,66.16,48054
49,1,225,43,19.11,182,80.89,49001
49,2,296,128,43.24,168,56.76,49002
49,3,158,47,29.75,111,70.25,49003
49,4,117,44,37.61,73,62.39,49004
49,5,241,61,25.31,180,74.69,49005
49,6,262,74,28.24,188,71.76,49006
49,7,186,41,22.04,145,77.96,49007
49,8,245,70,28.57,175,71.43,49008
49,9,205,51,24.88,154,75.12,49009
49,10,208,65,31.25,143,68.75,49010
49,11,163,60,36.81,103,63.19,49011
49,12,253,63,24.9,190,75.1,49012
49,13,274,65,23.72,209,76.28,49013
49,14,213,65,30.52,148,69.48,49014
49,15,198,37,18.69,161,81.31,49015
49,16,149,34,22.82,115,77.18,49016
49,17,29,5,17.24,24,82.76,49017
49,18,165,53,32.12,112,67.88,49018
49,19,188,38,20.21,150,79.79,49019
49,20,239,70,29.29,169,70.71,49020
49,21,98,32,32.65,66,67.35,49021
49,22,203,59,29.06,144,70.94,49022
49,23,199,52,26.13,147,73.87,49023
49,24,265,83,31.32,182,68.68,49024
49,25,268,75,27.99,193,72.01,49025
49,26,198,73,36.87,125,63.13,49026
49,27,310,45,14.52,265,85.48,49027
49,28,207,42,20.29,165,79.71,49028
49,29,276,76,27.54,200,72.46,49029
49,30,216,44,20.37,172,79.63,49030
49,31,170,37,21.76,133,78.24,49031
49,32,155,53,34.19,102,65.81,49032
49,33,173,50,28.9,123,71.1,49033
49,34,220,54,24.55,166,75.45,49034
49,35,286,70,24.48,216,75.52,49035
49,36,301,82,27.24,219,72.76,49036
49,37,320,87,27.19,233,72.81,49037
49,38,199,43,21.61,156,78.39,49038
49,39,213,56,26.29,157,73.71,49039
49,40,179,67,37.43,112,62.57,49040
49,41,197,56,28.43,141,71.57,49041
49,42,258,64,24.81,194,75.19,49042
50,1,267,126,47.19,141,52.81,50001
50,2,270,140,51.85,130,48.15,50002
50,3,205,85,41.46,120,58.54,50003
50,4,201,78,38.81,123,61.19,50004
50,5,215,104,48.37,111,51.63,50005
50,6,156,57,36.54,99,63.46,50006
50,7,281,91,32.38,190,67.62,50007
50,8,197,84,42.64,113,57.36,50008
50,9,200,68,34.0,132,66.0,50009
50,10,120,63,52.5,57,47.5,50010
50,11,201,101,50.25,100,49.75,50011
50,12,111,81,72.97,30,27.03,50012
50,13,217,90,41.47,127,58.53,50013
50,14,106,74,69.81,32,30.19,50014
50,15,285,89,31.23,196,68.77,50015
50,16,101,67,66.34,34,33.66,50016
50,17,161,78,48.45,83,51.55,50017
50,18,154,50,32.47,104,67.53,50018
50,19,172,88,51.16,84,48.84,50019
50,20,189,54,28.57,135,71.43,50020
50,21,237,86,36.29,151,63.71,50021
50,22,227,67,29.52,160,70.48,50022
50,23,152,80,52.63,72,47.37,50023
50,24,213,97,45.54,116,54.46,50024
50,25,180,99,55.0,81,45.0,50025
50,26,139,71,51.08,68,48.92,50026
50,27,80,50,62.5,30,37.5,50027
50,28,165,88,53.33,77,46.67,50028
50,29,216,77,35.65,139,64.35,50029
50,30,164,68,41.46,96,58.54,50030
50,31,75,51,68.0,24,32.0,50031
50,32,225,68,30.22,157,69.78,50032
50,33,138,68,49.28,70,50.72,50033
50,34,160,58,36.25,102,63.75,50034
50,35,279,91,32.62,188,67.38,50035
50,36,231,69,29.87,162,70.13,50036
50,37,222,58,26.13,164,73.87,50037
50,38,141,89,63.12,52,36.88,50038
50,39,162,98,60.49,64,39.51,50039
50,40,195,86,44.1,109,55.9,50040
50,41,260,106,40.77,154,59.23,50041
50,42,219,68,31.05,151,68.95,50042
50,43,186,70,37.63,116,62.37,50043
