ward,precinct,total,Anita Rivkin-Carothers,Anita Rivkin-Carothers Percent,Melanie Rose Nuby,Melanie Rose Nuby Percent,Kevin Kenneth Pechous,Kevin Kenneth Pechous Percent,T. Lee Boyd Jr.,T. Lee Boyd Jr. Percent,precinct_id
28,28,120,68,56.67,20,16.67,8,6.67,16,13.33,28028
28,30,97,63,64.95,15,15.46,6,6.19,9,9.28,28030
28,31,149,90,60.4,21,14.09,8,5.37,20,13.42,28031
28,32,172,81,47.09,45,26.16,10,5.81,32,18.6,28032
28,33,163,94,57.67,27,16.56,6,3.68,23,14.11,28033
28,35,150,62,41.33,54,36.0,3,2.0,16,10.67,28035
28,36,135,91,67.41,17,12.59,2,1.48,20,14.81,28036
28,37,207,123,59.42,34,16.43,8,3.86,31,14.98,28037
28,39,158,98,62.03,25,15.82,3,1.9,21,13.29,28039
28,40,223,115,51.57,39,17.49,10,4.48,42,18.83,28040
28,41,170,91,53.53,30,17.65,7,4.12,29,17.06,28041
28,42,143,82,57.34,32,22.38,5,3.5,20,13.99,28042
28,43,226,142,62.83,35,15.49,7,3.1,25,11.06,28043
28,44,178,89,50.0,37,20.79,11,6.18,26,14.61,28044
28,45,172,86,50.0,27,15.7,12,6.98,34,19.77,28045
28,46,164,106,64.63,27,16.46,7,4.27,14,8.54,28046
28,47,165,90,54.55,30,18.18,10,6.06,17,10.3,28047
28,48,92,57,61.96,16,17.39,3,3.26,12,13.04,28048
28,49,71,40,56.34,11,15.49,2,2.82,11,15.49,28049
28,50,100,57,57.0,18,18.0,3,3.0,11,11.0,28050
28,51,138,65,47.1,27,19.57,8,5.8,26,18.84,28051
28,52,139,67,48.2,37,26.62,13,9.35,17,12.23,28052
28,54,139,65,46.76,34,24.46,5,3.6,27,19.42,28054
28,55,150,85,56.67,33,22.0,8,5.33,18,12.0,28055
28,56,161,87,54.04,42,26.09,4,2.48,25,15.53,28056
28,57,167,106,63.47,17,10.18,5,2.99,27,16.17,28057
28,58,169,107,63.31,18,10.65,11,6.51,19,11.24,28058
28,59,121,64,52.89,26,21.49,8,6.61,18,14.88,28059
28,60,99,48,48.48,22,22.22,4,4.04,19,19.19,28060
28,61,95,35,36.84,30,31.58,4,4.21,19,20.0,28061
29,1,452,357,78.98,32,7.08,14,3.1,33,7.3,29001
29,3,319,265,83.07,22,6.9,7,2.19,15,4.7,29003
29,4,245,183,74.69,29,11.84,6,2.45,19,7.76,29004
29,5,217,164,75.58,28,12.9,5,2.3,13,5.99,29005
29,8,181,141,77.9,22,12.15,3,1.66,10,5.52,29008
29,11,239,190,79.5,24,10.04,4,1.67,13,5.44,29011
29,13,257,212,82.49,17,6.61,7,2.72,14,5.45,29013
29,14,317,242,76.34,32,10.09,10,3.15,25,7.89,29014
29,16,364,294,80.77,25,6.87,11,3.02,27,7.42,29016
29,18,283,227,80.21,20,7.07,6,2.12,18,6.36,29018
29,19,372,302,81.18,37,9.95,7,1.88,19,5.11,29019
