ward,precinct,total,Jan Rowland (Clinton),Jan Rowland (Clinton) Percent,Greta Ivers (Obama),Greta Ivers (Obama) Percent,precinct_id
6,4,234,26,11.11,208,88.89,06004
6,5,160,8,5.0,152,95.0,06005
6,6,256,16,6.25,240,93.75,06006
6,7,301,23,7.64,278,92.36,06007
6,8,335,11,3.28,324,96.72,06008
6,9,266,17,6.39,249,93.61,06009
6,10,360,24,6.67,336,93.33,06010
6,11,277,13,4.69,264,95.31,06011
6,12,233,18,7.73,215,92.27,06012
6,13,246,16,6.5,230,93.5,06013
6,14,325,15,4.62,310,95.38,06014
6,15,207,17,8.21,190,91.79,06015
6,16,345,25,7.25,320,92.75,06016
6,17,356,15,4.21,341,95.79,06017
6,18,174,20,11.49,154,88.51,06018
6,19,340,26,7.65,314,92.35,06019
6,20,269,16,5.95,253,94.05,06020
6,23,232,15,6.47,217,93.53,06023
6,24,283,24,8.48,259,91.52,06024
6,25,215,11,5.12,204,94.88,06025
6,26,325,22,6.77,303,93.23,06026
6,27,389,14,3.6,375,96.4,06027
6,28,496,34,6.85,462,93.15,06028
6,29,332,20,6.02,312,93.98,06029
6,30,254,25,9.84,229,90.16,06030
6,31,337,24,7.12,313,92.88,06031
6,32,327,38,11.62,289,88.38,06032
6,33,343,31,9.04,312,90.96,06033
6,34,268,24,8.96,244,91.04,06034
6,35,263,21,7.98,242,92.02,06035
6,36,164,21,12.8,143,87.2,06036
6,37,330,10,3.03,320,96.97,06037
6,38,294,22,7.48,272,92.52,06038
6,39,268,21,7.84,247,92.16,06039
6,40,172,7,4.07,165,95.93,06040
6,41,323,20,6.19,303,93.81,06041
6,42,151,13,8.61,138,91.39,06042
6,43,308,26,8.44,282,91.56,06043
6,44,276,17,6.16,259,93.84,06044
6,45,227,19,8.37,208,91.63,06045
6,46,280,8,2.86,272,97.14,06046
6,47,331,18,5.44,313,94.56,06047
6,48,266,14,5.26,252,94.74,06048
6,49,326,10,3.07,316,96.93,06049
6,50,319,14,4.39,305,95.61,06050
6,51,213,17,7.98,196,92.02,06051
6,52,197,9,4.57,188,95.43,06052
6,53,258,31,12.02,227,87.98,06053
6,54,312,40,12.82,272,87.18,06054
6,55,247,10,4.05,237,95.95,06055
6,56,214,16,7.48,198,92.52,06056
6,57,165,12,7.27,153,92.73,06057
6,58,309,22,7.12,287,92.88,06058
6,59,269,13,4.83,256,95.17,06059
6,60,190,14,7.37,176,92.63,06060
6,61,182,17,9.34,165,90.66,06061
6,62,237,21,8.86,216,91.14,06062
6,63,278,18,6.47,260,93.53,06063
8,1,277,31,11.19,246,88.81,08001
8,2,151,4,2.65,147,97.35,08002
8,3,103,12,11.65,91,88.35,08003
8,6,296,27,9.12,269,90.88,08006
8,10,380,30,7.89,350,92.11,08010
8,11,219,20,9.13,199,90.87,08011
8,12,267,10,3.75,257,96.25,08012
8,13,217,27,12.44,190,87.56,08013
8,14,206,12,5.83,194,94.17,08014
8,16,298,14,4.7,284,95.3,08016
8,18,202,11,5.45,191,94.55,08018
8,20,213,21,9.86,192,90.14,08020
8,21,212,24,11.32,188,88.68,08021
8,22,243,20,8.23,223,91.77,08022
8,29,275,14,5.09,261,94.91,08029
8,30,241,14,5.81,227,94.19,08030
8,31,190,14,7.37,176,92.63,08031
8,33,265,15,5.66,250,94.34,08033
8,35,321,29,9.03,292,90.97,08035
8,37,282,26,9.22,256,90.78,08037
8,38,287,33,11.5,254,88.5,08038
8,40,270,13,4.81,257,95.19,08040
8,41,219,25,11.42,194,88.58,08041
8,43,205,27,13.17,178,86.83,08043
8,45,187,14,7.49,173,92.51,08045
8,48,237,16,6.75,221,93.25,08048
8,52,287,20,6.97,267,93.03,08052
8,53,300,21,7.0,279,93.0,08053
8,54,259,18,6.95,241,93.05,08054
8,55,243,9,3.7,234,96.3,08055
8,56,283,20,7.07,263,92.93,08056
8,58,277,18,6.5,259,93.5,08058
8,59,188,15,7.98,173,92.02,08059
8,61,245,15,6.12,230,93.88,08061
8,64,242,23,9.5,219,90.5,08064
8,67,157,4,2.55,153,97.45,08067
8,68,174,12,6.9,162,93.1,08068
8,69,168,8,4.76,160,95.24,08069
9,36,333,26,7.81,307,92.19,09036
9,47,307,17,5.54,290,94.46,09047
15,2,160,18,11.25,142,88.75,15002
15,3,164,18,10.98,146,89.02,15003
15,4,165,10,6.06,155,93.94,15004
15,5,157,6,3.82,151,96.18,15005
15,6,198,42,21.21,156,78.79,15006
15,7,181,20,11.05,161,88.95,15007
15,8,266,33,12.41,233,87.59,15008
15,9,207,28,13.53,179,86.47,15009
15,11,229,20,8.73,209,91.27,15011
15,12,118,11,9.32,107,90.68,15012
15,17,188,17,9.04,171,90.96,15017
15,18,118,17,14.41,101,85.59,15018
15,19,160,16,10.0,144,90.0,15019
15,20,151,10,6.62,141,93.38,15020
15,21,182,17,9.34,165,90.66,15021
15,22,260,47,18.08,213,81.92,15022
15,23,159,7,4.4,152,95.6,15023
15,24,172,43,25.0,129,75.0,15024
15,26,173,16,9.25,157,90.75,15026
15,27,163,17,10.43,146,89.57,15027
15,29,97,11,11.34,86,88.66,15029
15,30,208,21,10.1,187,89.9,15030
15,31,153,12,7.84,141,92.16,15031
15,33,121,10,8.26,111,91.74,15033
15,34,162,11,6.79,151,93.21,15034
15,35,182,19,10.44,163,89.56,15035
15,36,158,10,6.33,148,93.67,15036
15,37,133,13,9.77,120,90.23,15037
15,38,180,29,16.11,151,83.89,15038
15,39,198,22,11.11,176,88.89,15039
15,40,166,9,5.42,157,94.58,15040
15,41,248,34,13.71,214,86.29,15041
15,42,115,16,13.91,99,86.09,15042
15,43,143,10,6.99,133,93.01,15043
15,45,107,24,22.43,83,77.57,15045
15,46,136,13,9.56,123,90.44,15046
15,47,198,20,10.1,178,89.9,15047
15,48,132,20,15.15,112,84.85,15048
15,49,43,13,30.23,30,69.77,15049
15,50,176,21,11.93,155,88.07,15050
15,51,125,8,6.4,117,93.6,15051
15,52,85,5,5.88,80,94.12,15052
16,2,150,15,10.0,135,90.0,16002
16,3,165,16,9.7,149,90.3,16003
16,5,181,13,7.18,168,92.82,16005
16,8,184,25,13.59,159,86.41,16008
16,9,234,30,12.82,204,87.18,16009
16,10,293,26,8.87,267,91.13,16010
16,12,141,14,9.93,127,90.07,16012
16,14,199,13,6.53,186,93.47,16014
16,19,221,36,16.29,185,83.71,16019
16,24,65,8,12.31,57,87.69,16024
16,25,145,17,11.72,128,88.28,16025
16,26,161,16,9.94,145,90.06,16026
16,27,202,11,5.45,191,94.55,16027
16,28,203,16,7.88,187,92.12,16028
16,31,218,10,4.59,208,95.41,16031
16,34,162,9,5.56,153,94.44,16034
16,36,179,11,6.15,168,93.85,16036
16,37,126,10,7.94,116,92.06,16037
16,38,123,7,5.69,116,94.31,16038
16,40,209,23,11.0,186,89.0,16040
16,41,91,6,6.59,85,93.41,16041
16,43,207,18,8.7,189,91.3,16043
16,44,170,38,22.35,132,77.65,16044
17,1,126,10,7.94,116,92.06,17001
17,2,218,15,6.88,203,93.12,17002
17,3,150,7,4.67,143,95.33,17003
17,4,294,21,7.14,273,92.86,17004
17,5,165,14,8.48,151,91.52,17005
17,6,183,21,11.48,162,88.52,17006
17,7,251,15,5.98,236,94.02,17007
17,8,177,17,9.6,160,90.4,17008
17,9,132,7,5.3,125,94.7,17009
17,10,222,18,8.11,204,91.89,17010
17,11,239,11,4.6,228,95.4,17011
17,12,294,25,8.5,269,91.5,17012
17,13,143,13,9.09,130,90.91,17013
17,14,193,20,10.36,173,89.64,17014
17,15,208,15,7.21,193,92.79,17015
17,16,186,15,8.06,171,91.94,17016
17,17,172,16,9.3,156,90.7,17017
17,18,224,18,8.04,206,91.96,17018
17,19,94,3,3.19,91,96.81,17019
17,20,195,18,9.23,177,90.77,17020
17,21,285,14,4.91,271,95.09,17021
17,22,210,19,9.05,191,90.95,17022
17,23,123,5,4.07,118,95.93,17023
17,24,219,9,4.11,210,95.89,17024
17,25,142,17,11.97,125,88.03,17025
17,26,302,16,5.3,286,94.7,17026
17,27,290,29,10.0,261,90.0,17027
17,28,187,13,6.95,174,93.05,17028
17,29,220,24,10.91,196,89.09,17029
17,30,238,15,6.3,223,93.7,17030
17,31,172,12,6.98,160,93.02,17031
17,32,242,21,8.68,221,91.32,17032
17,33,184,8,4.35,176,95.65,17033
17,34,160,13,8.13,147,91.88,17034
17,35,136,15,11.03,121,88.97,17035
17,36,129,13,10.08,116,89.92,17036
17,37,189,20,10.58,169,89.42,17037
17,38,207,17,8.21,190,91.79,17038
17,39,156,17,10.9,139,89.1,17039
17,40,185,18,9.73,167,90.27,17040
17,41,174,20,11.49,154,88.51,17041
17,42,177,10,5.65,167,94.35,17042
17,43,166,9,5.42,157,94.58,17043
17,44,141,13,9.22,128,90.78,17044
17,45,142,12,8.45,130,91.55,17045
17,46,225,15,6.67,210,93.33,17046
17,47,124,9,7.26,115,92.74,17047
17,48,241,18,7.47,223,92.53,17048
17,49,147,10,6.8,137,93.2,17049
17,50,198,13,6.57,185,93.43,17050
17,51,243,19,7.82,224,92.18,17051
17,52,271,19,7.01,252,92.99,17052
17,53,202,12,5.94,190,94.06,17053
17,54,237,12,5.06,225,94.94,17054
17,55,191,23,12.04,168,87.96,17055
17,56,241,25,10.37,216,89.63,17056
17,57,240,22,9.17,218,90.83,17057
17,58,149,16,10.74,133,89.26,17058
17,59,118,5,4.24,113,95.76,17059
17,60,275,29,10.55,246,89.45,17060
17,61,184,14,7.61,170,92.39,17061
17,62,184,15,8.15,169,91.85,17062
17,63,158,10,6.33,148,93.67,17063
17,64,131,9,6.87,122,93.13,17064
18,1,138,21,15.22,117,84.78,18001
18,2,274,40,14.6,234,85.4,18002
18,4,319,28,8.78,291,91.22,18004
18,5,280,21,7.5,259,92.5,18005
18,7,230,49,21.3,181,78.7,18007
18,8,122,11,9.02,111,90.98,18008
18,9,269,20,7.43,249,92.57,18009
18,10,431,33,7.66,398,92.34,18010
18,11,245,69,28.16,176,71.84,18011
18,12,351,35,9.97,316,90.03,18012
18,13,329,43,13.07,286,86.93,18013
18,14,355,35,9.86,320,90.14,18014
18,16,305,22,7.21,283,92.79,18016
18,17,245,53,21.63,192,78.37,18017
18,18,258,22,8.53,236,91.47,18018
18,19,385,39,10.13,346,89.87,18019
18,20,283,20,7.07,263,92.93,18020
18,21,407,33,8.11,374,91.89,18021
18,22,339,28,8.26,311,91.74,18022
18,23,258,28,10.85,230,89.15,18023
18,24,337,17,5.04,320,94.96,18024
18,25,281,16,5.69,265,94.31,18025
18,26,224,18,8.04,206,91.96,18026
18,27,268,30,11.19,238,88.81,18027
18,29,276,66,23.91,210,76.09,18029
18,30,233,12,5.15,221,94.85,18030
18,31,277,37,13.36,240,86.64,18031
18,32,376,21,5.59,355,94.41,18032
18,33,237,20,8.44,217,91.56,18033
18,34,370,35,9.46,335,90.54,18034
18,35,366,33,9.02,333,90.98,18035
18,36,204,52,25.49,152,74.51,18036
18,37,243,22,9.05,221,90.95,18037
18,38,325,22,6.77,303,93.23,18038
18,39,266,34,12.78,232,87.22,18039
18,40,365,30,8.22,335,91.78,18040
18,42,195,28,14.36,167,85.64,18042
18,44,171,34,19.88,137,80.12,18044
18,45,299,24,8.03,275,91.97,18045
18,46,278,17,6.12,261,93.88,18046
18,47,230,25,10.87,205,89.13,18047
18,49,246,29,11.79,217,88.21,18049
18,50,265,16,6.04,249,93.96,18050
18,51,372,26,6.99,346,93.01,18051
18,52,320,13,4.06,307,95.94,18052
18,53,226,20,8.85,206,91.15,18053
18,54,296,19,6.42,277,93.58,18054
18,58,282,29,10.28,253,89.72,18058
18,59,221,27,12.22,194,87.78,18059
18,60,338,24,7.1,314,92.9,18060
18,61,288,20,6.94,268,93.06,18061
19,19,5,1,20.0,4,80.0,19019
19,28,345,25,7.25,320,92.75,19028
19,43,383,42,10.97,341,89.03,19043
19,48,284,21,7.39,263,92.61,19048
19,50,317,27,8.52,290,91.48,19050
19,60,302,29,9.6,273,90.4,19060
19,66,348,16,4.6,332,95.4,19066
20,1,227,18,7.93,209,92.07,20001
20,2,194,16,8.25,178,91.75,20002
20,3,196,24,12.24,172,87.76,20003
20,5,137,4,2.92,133,97.08,20005
20,6,260,16,6.15,244,93.85,20006
20,7,78,7,8.97,71,91.03,20007
20,9,257,27,10.51,230,89.49,20009
20,10,180,10,5.56,170,94.44,20010
20,11,171,16,9.36,155,90.64,20011
20,12,140,7,5.0,133,95.0,20012
20,13,160,13,8.13,147,91.88,20013
20,14,284,26,9.15,258,90.85,20014
20,16,310,23,7.42,287,92.58,20016
20,17,153,10,6.54,143,93.46,20017
20,18,163,19,11.66,144,88.34,20018
20,19,174,15,8.62,159,91.38,20019
20,20,135,17,12.59,118,87.41,20020
20,22,302,23,7.62,279,92.38,20022
20,23,297,19,6.4,278,93.6,20023
20,24,248,28,11.29,220,88.71,20024
20,25,177,15,8.47,162,91.53,20025
20,26,211,29,13.74,182,86.26,20026
20,28,224,13,5.8,211,94.2,20028
20,29,234,17,7.26,217,92.74,20029
20,30,223,7,3.14,216,96.86,20030
20,32,199,32,16.08,167,83.92,20032
20,33,255,19,7.45,236,92.55,20033
20,34,325,44,13.54,281,86.46,20034
20,35,119,3,2.52,116,97.48,20035
20,36,178,11,6.18,167,93.82,20036
20,37,225,9,4.0,216,96.0,20037
20,38,26,0,0.0,26,100.0,20038
20,39,182,10,5.49,172,94.51,20039
20,42,189,19,10.05,170,89.95,20042
20,43,43,2,4.65,41,95.35,20043
20,44,269,22,8.18,247,91.82,20044
20,46,199,11,5.53,188,94.47,20046
20,47,175,7,4.0,168,96.0,20047
20,49,164,14,8.54,150,91.46,20049
20,50,116,14,12.07,102,87.93,20050
21,1,387,31,8.01,356,91.99,21001
21,2,289,27,9.34,262,90.66,21002
21,3,231,19,8.23,212,91.77,21003
21,4,289,24,8.3,265,91.7,21004
21,5,278,15,5.4,263,94.6,21005
21,6,229,20,8.73,209,91.27,21006
21,7,274,22,8.03,252,91.97,21007
21,8,296,13,4.39,283,95.61,21008
21,9,291,23,7.9,268,92.1,21009
21,10,205,9,4.39,196,95.61,21010
21,11,270,24,8.89,246,91.11,21011
21,12,306,25,8.17,281,91.83,21012
21,13,144,13,9.03,131,90.97,21013
21,14,289,31,10.73,258,89.27,21014
21,15,234,20,8.55,214,91.45,21015
21,16,263,16,6.08,247,93.92,21016
21,17,271,23,8.49,248,91.51,21017
21,18,247,20,8.1,227,91.9,21018
21,19,242,21,8.68,221,91.32,21019
21,20,152,7,4.61,145,95.39,21020
21,21,291,18,6.19,273,93.81,21021
21,22,264,15,5.68,249,94.32,21022
21,23,227,14,6.17,213,93.83,21023
21,24,300,19,6.33,281,93.67,21024
21,25,229,19,8.3,210,91.7,21025
21,26,199,22,11.06,177,88.94,21026
21,27,303,15,4.95,288,95.05,21027
21,28,213,14,6.57,199,93.43,21028
21,29,149,10,6.71,139,93.29,21029
21,30,189,20,10.58,169,89.42,21030
21,31,366,24,6.56,342,93.44,21031
21,32,255,25,9.8,230,90.2,21032
21,33,277,23,8.3,254,91.7,21033
21,34,306,19,6.21,287,93.79,21034
21,35,160,14,8.75,146,91.25,21035
21,36,229,21,9.17,208,90.83,21036
21,37,268,15,5.6,253,94.4,21037
21,38,256,14,5.47,242,94.53,21038
21,39,236,13,5.51,223,94.49,21039
21,40,252,12,4.76,240,95.24,21040
21,41,221,15,6.79,206,93.21,21041
21,42,271,18,6.64,253,93.36,21042
21,43,250,17,6.8,233,93.2,21043
21,44,276,24,8.7,252,91.3,21044
21,45,235,22,9.36,213,90.64,21045
21,46,211,12,5.69,199,94.31,21046
21,47,309,24,7.77,285,92.23,21047
21,48,342,18,5.26,324,94.74,21048
21,49,310,29,9.35,281,90.65,21049
21,50,253,9,3.56,244,96.44,21050
21,51,310,21,6.77,289,93.23,21051
21,52,275,25,9.09,250,90.91,21052
21,53,246,18,7.32,228,92.68,21053
21,54,245,17,6.94,228,93.06,21054
21,55,292,27,9.25,265,90.75,21055
21,56,202,13,6.44,189,93.56,21056
21,57,235,18,7.66,217,92.34,21057
21,58,200,17,8.5,183,91.5,21058
21,59,322,25,7.76,297,92.24,21059
21,60,259,19,7.34,240,92.66,21060
21,61,292,20,6.85,272,93.15,21061
21,62,283,13,4.59,270,95.41,21062
21,63,274,29,10.58,245,89.42,21063
21,64,143,10,6.99,133,93.01,21064
21,65,338,33,9.76,305,90.24,21065
21,66,216,15,6.94,201,93.06,21066
21,67,258,21,8.14,237,91.86,21067
21,68,276,19,6.88,257,93.12,21068
21,69,231,12,5.19,219,94.81,21069
21,70,256,11,4.3,245,95.7,21070
21,71,195,13,6.67,182,93.33,21071
21,72,266,21,7.89,245,92.11,21072
21,73,347,31,8.93,316,91.07,21073
21,74,106,9,8.49,97,91.51,21074
34,8,309,21,6.8,288,93.2,34008
34,13,347,23,6.63,324,93.37,34013
34,19,64,8,12.5,56,87.5,34019
34,29,302,20,6.62,282,93.38,34029
34,33,150,6,4.0,144,96.0,34033
34,44,85,4,4.71,81,95.29,34044
34,45,301,23,7.64,278,92.36,34045
34,47,164,10,6.1,154,93.9,34047
34,51,440,34,7.73,406,92.27,34051
34,55,301,20,6.64,281,93.36,34055
34,57,291,23,7.9,268,92.1,34057
34,58,312,21,6.73,291,93.27,34058
