ward,precinct,total,Jill Rose Quinn,Jill Rose Quinn Percent,James Samuel Worley,James Samuel Worley Percent,Wendelin ''Wendi'' DeLoach,Wendelin ''Wendi'' DeLoach Percent,precinct_id
5,9,342,219,64.04,64,18.71,59,17.25,05009
5,10,198,109,55.05,55,27.78,34,17.17,05010
5,11,293,200,68.26,50,17.06,43,14.68,05011
5,12,157,75,47.77,41,26.11,41,26.11,05012
5,13,227,124,54.63,63,27.75,40,17.62,05013
5,14,235,124,52.77,55,23.4,56,23.83,05014
5,15,258,173,67.05,46,17.83,39,15.12,05015
5,16,232,130,56.03,60,25.86,42,18.1,05016
5,17,185,108,58.38,53,28.65,24,12.97,05017
5,18,276,195,70.65,32,11.59,49,17.75,05018
5,19,277,219,79.06,26,9.39,32,11.55,05019
5,20,328,210,64.02,47,14.33,71,21.65,05020
5,21,272,194,71.32,36,13.24,42,15.44,05021
5,22,340,232,68.24,62,18.24,46,13.53,05022
5,23,450,336,74.67,62,13.78,52,11.56,05023
5,24,317,245,77.29,31,9.78,41,12.93,05024
5,25,236,130,55.08,65,27.54,41,17.37,05025
5,26,241,126,52.28,57,23.65,58,24.07,05026
5,27,251,199,79.28,30,11.95,22,8.76,05027
5,28,277,174,62.82,53,19.13,50,18.05,05028
5,29,257,143,55.64,61,23.74,53,20.62,05029
5,30,170,89,52.35,53,31.18,28,16.47,05030
5,31,176,91,51.7,43,24.43,42,23.86,05031
5,32,289,174,60.21,64,22.15,51,17.65,05032
5,33,274,151,55.11,73,26.64,50,18.25,05033
5,34,311,254,81.67,27,8.68,30,9.65,05034
5,35,329,254,77.2,34,10.33,41,12.46,05035
5,36,93,51,54.84,29,31.18,13,13.98,05036
5,37,299,219,73.24,42,14.05,38,12.71,05037
5,38,196,106,54.08,50,25.51,40,20.41,05038
5,39,222,168,75.68,36,16.22,18,8.11,05039
5,40,185,107,57.84,37,20.0,41,22.16,05040
5,41,145,97,66.9,26,17.93,22,15.17,05041
6,1,252,134,53.17,65,25.79,53,21.03,06001
6,2,276,153,55.43,70,25.36,53,19.2,06002
6,3,250,149,59.6,59,23.6,42,16.8,06003
6,4,154,84,54.55,31,20.13,39,25.32,06004
6,5,129,68,52.71,44,34.11,17,13.18,06005
6,6,247,130,52.63,75,30.36,42,17.0,06006
6,7,193,99,51.3,54,27.98,40,20.73,06007
6,8,248,131,52.82,76,30.65,41,16.53,06008
6,9,168,80,47.62,54,32.14,34,20.24,06009
6,10,123,68,55.28,31,25.2,24,19.51,06010
6,11,179,90,50.28,54,30.17,35,19.55,06011
6,12,142,75,52.82,37,26.06,30,21.13,06012
6,13,168,82,48.81,60,35.71,26,15.48,06013
6,14,198,98,49.49,65,32.83,35,17.68,06014
6,15,161,98,60.87,41,25.47,22,13.66,06015
6,16,273,139,50.92,77,28.21,57,20.88,06016
6,17,124,53,42.74,44,35.48,27,21.77,06017
6,18,166,90,54.22,54,32.53,22,13.25,06018
6,19,166,91,54.82,42,25.3,33,19.88,06019
6,20,116,55,47.41,43,37.07,18,15.52,06020
6,21,88,43,48.86,34,38.64,11,12.5,06021
6,22,126,65,51.59,32,25.4,29,23.02,06022
6,23,81,46,56.79,27,33.33,8,9.88,06023
6,24,104,56,53.85,37,35.58,11,10.58,06024
6,25,96,46,47.92,29,30.21,21,21.88,06025
6,26,128,74,57.81,30,23.44,24,18.75,06026
6,27,104,50,48.08,33,31.73,21,20.19,06027
6,28,88,35,39.77,32,36.36,21,23.86,06028
6,29,233,143,61.37,66,28.33,24,10.3,06029
6,30,165,84,50.91,46,27.88,35,21.21,06030
6,31,242,131,54.13,66,27.27,45,18.6,06031
6,32,200,107,53.5,58,29.0,35,17.5,06032
6,33,207,118,57.0,53,25.6,36,17.39,06033
6,34,225,123,54.67,58,25.78,44,19.56,06034
6,35,226,120,53.1,69,30.53,37,16.37,06035
6,36,267,140,52.43,94,35.21,33,12.36,06036
6,37,260,147,56.54,67,25.77,46,17.69,06037
6,38,247,129,52.23,77,31.17,41,16.6,06038
6,39,156,93,59.62,42,26.92,21,13.46,06039
6,40,183,96,52.46,56,30.6,31,16.94,06040
6,41,230,127,55.22,63,27.39,40,17.39,06041
6,42,188,98,52.13,55,29.26,35,18.62,06042
6,43,183,111,60.66,41,22.4,31,16.94,06043
6,44,215,117,54.42,57,26.51,41,19.07,06044
6,45,260,124,47.69,85,32.69,51,19.62,06045
6,46,148,73,49.32,44,29.73,31,20.95,06046
6,47,156,80,51.28,51,32.69,25,16.03,06047
6,48,200,108,54.0,52,26.0,40,20.0,06048
7,1,191,99,51.83,60,31.41,32,16.75,07001
7,2,175,81,46.29,62,35.43,32,18.29,07002
7,3,216,117,54.17,58,26.85,41,18.98,07003
7,4,193,106,54.92,62,32.12,25,12.95,07004
7,5,183,100,54.64,56,30.6,27,14.75,07005
7,6,260,146,56.15,60,23.08,54,20.77,07006
7,7,175,99,56.57,41,23.43,35,20.0,07007
7,8,111,57,51.35,39,35.14,15,13.51,07008
7,9,335,173,51.64,96,28.66,66,19.7,07009
7,10,236,125,52.97,65,27.54,46,19.49,07010
7,11,194,98,50.52,52,26.8,44,22.68,07011
7,12,162,80,49.38,51,31.48,31,19.14,07012
7,13,128,66,51.56,36,28.13,26,20.31,07013
7,14,188,99,52.66,46,24.47,43,22.87,07014
7,15,194,111,57.22,47,24.23,36,18.56,07015
7,16,143,69,48.25,41,28.67,33,23.08,07016
7,17,169,91,53.85,52,30.77,26,15.38,07017
7,18,143,72,50.35,42,29.37,29,20.28,07018
7,19,166,79,47.59,53,31.93,34,20.48,07019
7,20,138,70,50.72,41,29.71,27,19.57,07020
7,21,122,60,49.18,40,32.79,22,18.03,07021
7,22,159,90,56.6,43,27.04,26,16.35,07022
7,23,213,122,57.28,59,27.7,32,15.02,07023
7,24,141,71,50.35,44,31.21,26,18.44,07024
7,25,149,83,55.7,46,30.87,20,13.42,07025
7,26,167,96,57.49,33,19.76,38,22.75,07026
7,27,157,96,61.15,35,22.29,26,16.56,07027
7,28,123,57,46.34,43,34.96,23,18.7,07028
7,29,165,102,61.82,29,17.58,34,20.61,07029
7,30,123,80,65.04,23,18.7,20,16.26,07030
7,31,114,66,57.89,30,26.32,18,15.79,07031
7,32,306,165,53.92,83,27.12,58,18.95,07032
7,33,298,151,50.67,87,29.19,60,20.13,07033
7,34,252,122,48.41,78,30.95,52,20.63,07034
7,35,213,111,52.11,60,28.17,42,19.72,07035
7,36,256,138,53.91,71,27.73,47,18.36,07036
7,37,201,112,55.72,53,26.37,36,17.91,07037
7,38,171,91,53.22,51,29.82,29,16.96,07038
7,39,188,91,48.4,63,33.51,34,18.09,07039
7,40,193,111,57.51,55,28.5,27,13.99,07040
7,41,195,124,63.59,49,25.13,22,11.28,07041
7,42,175,93,53.14,61,34.86,21,12.0,07042
7,43,193,119,61.66,47,24.35,27,13.99,07043
7,44,163,94,57.67,41,25.15,28,17.18,07044
7,45,159,81,50.94,47,29.56,31,19.5,07045
7,46,88,58,65.91,16,18.18,14,15.91,07046
8,1,149,78,52.35,47,31.54,24,16.11,08001
8,2,159,90,56.6,46,28.93,23,14.47,08002
8,3,286,150,52.45,84,29.37,52,18.18,08003
8,4,265,166,62.64,61,23.02,38,14.34,08004
8,5,250,143,57.2,58,23.2,49,19.6,08005
8,6,249,154,61.85,57,22.89,38,15.26,08006
8,7,252,135,53.57,62,24.6,55,21.83,08007
8,8,236,143,60.59,48,20.34,45,19.07,08008
8,9,159,93,58.49,36,22.64,30,18.87,08009
8,10,302,171,56.62,69,22.85,62,20.53,08010
8,11,145,77,53.1,39,26.9,29,20.0,08011
8,12,198,117,59.09,44,22.22,37,18.69,08012
8,13,213,118,55.4,48,22.54,47,22.07,08013
8,14,148,79,53.38,44,29.73,25,16.89,08014
8,15,197,110,55.84,52,26.4,35,17.77,08015
8,16,71,41,57.75,20,28.17,10,14.08,08016
8,17,188,103,54.79,50,26.6,35,18.62,08017
8,18,143,83,58.04,43,30.07,17,11.89,08018
8,19,271,160,59.04,66,24.35,45,16.61,08019
8,20,257,135,52.53,67,26.07,55,21.4,08020
8,21,254,143,56.3,78,30.71,33,12.99,08021
8,22,214,145,67.76,44,20.56,25,11.68,08022
8,23,170,110,64.71,36,21.18,24,14.12,08023
8,24,141,73,51.77,44,31.21,24,17.02,08024
8,25,200,111,55.5,50,25.0,39,19.5,08025
8,26,148,80,54.05,39,26.35,29,19.59,08026
8,27,251,145,57.77,65,25.9,41,16.33,08027
8,28,220,115,52.27,73,33.18,32,14.55,08028
8,29,226,125,55.31,46,20.35,55,24.34,08029
8,30,234,130,55.56,65,27.78,39,16.67,08030
8,31,151,79,52.32,47,31.13,25,16.56,08031
8,32,196,123,62.76,51,26.02,22,11.22,08032
8,33,164,101,61.59,42,25.61,21,12.8,08033
8,34,233,135,57.94,65,27.9,33,14.16,08034
8,35,259,133,51.35,77,29.73,49,18.92,08035
8,36,216,121,56.02,53,24.54,42,19.44,08036
8,37,193,119,61.66,41,21.24,33,17.1,08037
8,38,147,91,61.9,36,24.49,20,13.61,08038
8,39,225,130,57.78,59,26.22,36,16.0,08039
8,40,192,90,46.88,62,32.29,40,20.83,08040
8,41,217,114,52.53,64,29.49,39,17.97,08041
8,42,253,142,56.13,65,25.69,46,18.18,08042
8,43,113,60,53.1,37,32.74,16,14.16,08043
8,44,139,78,56.12,40,28.78,21,15.11,08044
8,45,153,83,54.25,42,27.45,28,18.3,08045
8,46,166,87,52.41,47,28.31,32,19.28,08046
8,47,178,111,62.36,42,23.6,25,14.04,08047
8,48,192,108,56.25,56,29.17,28,14.58,08048
8,49,226,124,54.87,55,24.34,47,20.8,08049
8,50,229,130,56.77,56,24.45,43,18.78,08050
8,51,246,144,58.54,62,25.2,40,16.26,08051
8,52,310,172,55.48,78,25.16,60,19.35,08052
8,53,95,54,56.84,25,26.32,16,16.84,08053
8,54,161,92,57.14,52,32.3,17,10.56,08054
8,55,223,138,61.88,54,24.22,31,13.9,08055
8,56,238,131,55.04,59,24.79,48,20.17,08056
9,1,186,106,56.99,46,24.73,34,18.28,09001
9,2,188,105,55.85,56,29.79,27,14.36,09002
9,3,105,55,52.38,30,28.57,20,19.05,09003
9,4,161,85,52.8,50,31.06,26,16.15,09004
9,5,184,103,55.98,43,23.37,38,20.65,09005
9,6,196,103,52.55,58,29.59,35,17.86,09006
9,7,129,67,51.94,42,32.56,20,15.5,09007
9,8,168,84,50.0,39,23.21,45,26.79,09008
9,9,220,111,50.45,77,35.0,32,14.55,09009
9,10,168,67,39.88,47,27.98,54,32.14,09010
9,11,136,81,59.56,38,27.94,17,12.5,09011
9,12,222,121,54.5,50,22.52,51,22.97,09012
9,13,260,145,55.77,62,23.85,53,20.38,09013
9,14,257,144,56.03,67,26.07,46,17.9,09014
9,15,158,79,50.0,57,36.08,22,13.92,09015
9,16,212,107,50.47,57,26.89,48,22.64,09016
9,17,129,67,51.94,35,27.13,27,20.93,09017
9,18,149,77,51.68,41,27.52,31,20.81,09018
9,19,189,101,53.44,45,23.81,43,22.75,09019
9,20,180,100,55.56,51,28.33,29,16.11,09020
9,21,180,99,55.0,44,24.44,37,20.56,09021
9,22,217,118,54.38,69,31.8,30,13.82,09022
9,23,235,128,54.47,59,25.11,48,20.43,09023
9,24,237,116,48.95,74,31.22,47,19.83,09024
9,25,218,106,48.62,67,30.73,45,20.64,09025
9,26,156,80,51.28,43,27.56,33,21.15,09026
9,27,166,108,65.06,36,21.69,22,13.25,09027
9,28,88,44,50.0,25,28.41,19,21.59,09028
9,29,113,68,60.18,20,17.7,25,22.12,09029
9,30,151,82,54.3,33,21.85,36,23.84,09030
9,31,140,89,63.57,34,24.29,17,12.14,09031
9,32,193,97,50.26,69,35.75,27,13.99,09032
9,33,147,91,61.9,40,27.21,16,10.88,09033
9,34,137,75,54.74,42,30.66,20,14.6,09034
9,35,201,121,60.2,49,24.38,31,15.42,09035
9,36,159,84,52.83,40,25.16,35,22.01,09036
9,37,271,167,61.62,56,20.66,48,17.71,09037
9,38,199,105,52.76,63,31.66,31,15.58,09038
9,39,225,114,50.67,61,27.11,50,22.22,09039
9,40,234,117,50.0,71,30.34,46,19.66,09040
9,41,173,91,52.6,39,22.54,43,24.86,09041
9,42,231,113,48.92,64,27.71,54,23.38,09042
9,43,149,90,60.4,39,26.17,20,13.42,09043
9,44,193,106,54.92,61,31.61,26,13.47,09044
9,45,148,76,51.35,53,35.81,19,12.84,09045
9,46,209,116,55.5,48,22.97,45,21.53,09046
9,47,240,129,53.75,65,27.08,46,19.17,09047
9,48,217,115,53.0,62,28.57,40,18.43,09048
9,49,239,134,56.07,67,28.03,38,15.9,09049
9,50,317,173,54.57,80,25.24,64,20.19,09050
9,51,228,122,53.51,63,27.63,43,18.86,09051
10,1,158,86,54.43,44,27.85,28,17.72,10001
10,2,133,85,63.91,22,16.54,26,19.55,10002
10,3,139,79,56.83,32,23.02,28,20.14,10003
10,4,115,73,63.48,32,27.83,10,8.7,10004
10,5,120,81,67.5,26,21.67,13,10.83,10005
10,6,124,79,63.71,22,17.74,23,18.55,10006
10,7,107,66,61.68,23,21.5,18,16.82,10007
10,8,79,45,56.96,24,30.38,10,12.66,10008
10,9,133,86,64.66,26,19.55,21,15.79,10009
10,10,155,106,68.39,21,13.55,28,18.06,10010
10,11,206,121,58.74,32,15.53,53,25.73,10011
10,12,100,58,58.0,23,23.0,19,19.0,10012
10,13,161,95,59.01,32,19.88,34,21.12,10013
10,14,207,131,63.29,42,20.29,34,16.43,10014
10,15,365,180,49.32,124,33.97,61,16.71,10015
10,16,98,64,65.31,15,15.31,19,19.39,10016
10,17,225,135,60.0,53,23.56,37,16.44,10017
10,18,93,47,50.54,28,30.11,18,19.35,10018
10,19,173,95,54.91,33,19.08,45,26.01,10019
10,20,183,108,59.02,38,20.77,37,20.22,10020
10,21,166,98,59.04,41,24.7,27,16.27,10021
10,22,107,63,58.88,29,27.1,15,14.02,10022
10,23,144,94,65.28,17,11.81,33,22.92,10023
10,24,135,84,62.22,21,15.56,30,22.22,10024
10,25,47,28,59.57,12,25.53,7,14.89,10025
10,26,115,61,53.04,36,31.3,18,15.65,10026
10,27,140,82,58.57,34,24.29,24,17.14,10027
10,28,193,108,55.96,50,25.91,35,18.13,10028
10,29,176,95,53.98,47,26.7,34,19.32,10029
10,30,148,86,58.11,39,26.35,23,15.54,10030
10,31,124,75,60.48,31,25.0,18,14.52,10031
10,32,150,105,70.0,17,11.33,28,18.67,10032
10,33,123,69,56.1,23,18.7,31,25.2,10033
10,34,113,58,51.33,32,28.32,23,20.35,10034
10,35,182,105,57.69,39,21.43,38,20.88,10035
10,36,41,23,56.1,13,31.71,5,12.2,10036
11,1,241,158,65.56,47,19.5,36,14.94,11001
11,2,15,7,46.67,6,40.0,2,13.33,11002
11,3,212,155,73.11,13,6.13,44,20.75,11003
11,4,172,122,70.93,33,19.19,17,9.88,11004
11,5,315,212,67.3,43,13.65,60,19.05,11005
11,6,262,187,71.37,28,10.69,47,17.94,11006
11,7,232,150,64.66,39,16.81,43,18.53,11007
11,8,209,151,72.25,34,16.27,24,11.48,11008
11,9,194,132,68.04,32,16.49,30,15.46,11009
11,10,184,132,71.74,31,16.85,21,11.41,11010
11,11,196,136,69.39,33,16.84,27,13.78,11011
11,12,274,189,68.98,61,22.26,24,8.76,11012
11,13,224,160,71.43,43,19.2,21,9.38,11013
11,14,97,66,68.04,20,20.62,11,11.34,11014
11,15,72,50,69.44,8,11.11,14,19.44,11015
11,16,133,101,75.94,20,15.04,12,9.02,11016
11,17,324,202,62.35,53,16.36,69,21.3,11017
11,18,170,119,70.0,26,15.29,25,14.71,11018
11,19,294,216,73.47,35,11.9,43,14.63,11019
11,20,137,95,69.34,24,17.52,18,13.14,11020
11,21,306,224,73.2,57,18.63,25,8.17,11021
11,22,274,187,68.25,47,17.15,40,14.6,11022
11,23,143,110,76.92,16,11.19,17,11.89,11023
11,24,325,236,72.62,68,20.92,21,6.46,11024
11,25,270,192,71.11,33,12.22,45,16.67,11025
11,26,271,209,77.12,30,11.07,32,11.81,11026
11,27,81,63,77.78,10,12.35,8,9.88,11027
11,28,88,55,62.5,21,23.86,12,13.64,11028
11,29,259,184,71.04,53,20.46,22,8.49,11029
11,30,100,72,72.0,16,16.0,12,12.0,11030
11,31,202,144,71.29,34,16.83,24,11.88,11031
11,32,84,59,70.24,19,22.62,6,7.14,11032
11,33,250,167,66.8,49,19.6,34,13.6,11033
11,34,68,53,77.94,7,10.29,8,11.76,11034
11,35,31,20,64.52,4,12.9,7,22.58,11035
11,36,72,54,75.0,4,5.56,14,19.44,11036
11,37,54,38,70.37,9,16.67,7,12.96,11037
11,38,105,77,73.33,11,10.48,17,16.19,11038
12,1,240,139,57.92,49,20.42,52,21.67,12001
12,2,160,80,50.0,48,30.0,32,20.0,12002
12,3,304,213,70.07,45,14.8,46,15.13,12003
12,4,251,166,66.14,40,15.94,45,17.93,12004
12,5,171,109,63.74,29,16.96,33,19.3,12005
12,6,213,127,59.62,50,23.47,36,16.9,12006
12,7,206,136,66.02,35,16.99,35,16.99,12007
12,8,220,136,61.82,45,20.45,39,17.73,12008
12,9,177,112,63.28,36,20.34,29,16.38,12009
12,10,272,152,55.88,50,18.38,70,25.74,12010
12,11,214,111,51.87,57,26.64,46,21.5,12011
12,12,195,113,57.95,51,26.15,31,15.9,12012
12,13,197,118,59.9,45,22.84,34,17.26,12013
12,14,178,103,57.87,37,20.79,38,21.35,12014
12,15,172,89,51.74,46,26.74,37,21.51,12015
12,16,154,67,43.51,53,34.42,34,22.08,12016
12,17,196,119,60.71,36,18.37,41,20.92,12017
12,18,133,72,54.14,37,27.82,24,18.05,12018
12,19,203,112,55.17,48,23.65,43,21.18,12019
12,20,211,129,61.14,40,18.96,42,19.91,12020
12,21,186,121,65.05,32,17.2,33,17.74,12021
12,22,209,111,53.11,48,22.97,50,23.92,12022
12,23,224,134,59.82,45,20.09,45,20.09,12023
13,1,154,91,59.09,31,20.13,32,20.78,13001
13,2,138,92,66.67,23,16.67,23,16.67,13002
