ward,precinct,total,Owens ''Joe'' Shelby,Owens ''Joe'' Shelby Percent,Marcia O'Brien Conway,Marcia O'Brien Conway Percent,Pamela Reaves-Harris,Pamela Reaves-Harris Percent,Mable Taylor,Mable Taylor Percent,Kristen Marie Lyons,Kristen Marie Lyons Percent,precinct_id
24,30,101,26,25.74,14,13.86,43,42.57,12,11.88,6,5.94,24030
24,31,170,52,30.59,23,13.53,65,38.24,22,12.94,8,4.71,24031
24,32,88,16,18.18,13,14.77,48,54.55,9,10.23,2,2.27,24032
24,33,104,19,18.27,16,15.38,49,47.12,16,15.38,4,3.85,24033
24,34,163,34,20.86,21,12.88,71,43.56,29,17.79,8,4.91,24034
24,35,139,23,16.55,22,15.83,67,48.2,22,15.83,5,3.6,24035
24,36,205,44,21.46,27,13.17,88,42.93,36,17.56,10,4.88,24036
24,37,91,18,19.78,14,15.38,43,47.25,11,12.09,5,5.49,24037
24,38,151,22,14.57,26,17.22,73,48.34,26,17.22,4,2.65,24038
24,40,167,26,15.57,31,18.56,82,49.1,22,13.17,6,3.59,24040
24,41,127,12,9.45,16,12.6,71,55.91,22,17.32,6,4.72,24041
25,3,232,33,14.22,80,34.48,73,31.47,26,11.21,20,8.62,25003
25,4,110,14,12.73,21,19.09,52,47.27,16,14.55,7,6.36,25004
25,10,201,25,12.44,91,45.27,55,27.36,11,5.47,19,9.45,25010
25,16,247,29,11.74,113,45.75,61,24.7,18,7.29,26,10.53,25016
25,20,113,18,15.93,19,16.81,49,43.36,23,20.35,4,3.54,25020
25,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25025
25,27,129,15,11.63,58,44.96,35,27.13,13,10.08,8,6.2,25027
25,29,188,22,11.7,50,26.6,74,39.36,26,13.83,16,8.51,25029
25,31,266,46,17.29,110,41.35,63,23.68,15,5.64,32,12.03,25031
26,2,99,8,8.08,29,29.29,36,36.36,15,15.15,11,11.11,26002
26,10,87,9,10.34,18,20.69,33,37.93,15,17.24,12,13.79,26010
26,17,137,17,12.41,49,35.77,43,31.39,9,6.57,19,13.87,26017
26,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26031
26,46,114,15,13.16,37,32.46,35,30.7,10,8.77,17,14.91,26046
27,2,175,21,12.0,55,31.43,64,36.57,18,10.29,17,9.71,27002
27,3,109,24,22.02,15,13.76,43,39.45,14,12.84,13,11.93,27003
27,4,110,19,17.27,13,11.82,56,50.91,13,11.82,9,8.18,27004
27,5,152,32,21.05,21,13.82,60,39.47,23,15.13,16,10.53,27005
27,8,147,29,19.73,14,9.52,67,45.58,23,15.65,14,9.52,27008
27,10,211,51,24.17,33,15.64,67,31.75,38,18.01,22,10.43,27010
27,14,87,10,11.49,10,11.49,46,52.87,20,22.99,1,1.15,27014
27,15,110,18,16.36,23,20.91,41,37.27,11,10.0,17,15.45,27015
27,16,148,24,16.22,55,37.16,37,25.0,14,9.46,18,12.16,27016
27,17,196,31,15.82,30,15.31,94,47.96,26,13.27,15,7.65,27017
27,18,149,17,11.41,32,21.48,62,41.61,20,13.42,18,12.08,27018
27,19,93,12,12.9,13,13.98,43,46.24,13,13.98,12,12.9,27019
27,22,106,28,26.42,19,17.92,43,40.57,10,9.43,6,5.66,27022
27,23,157,27,17.2,30,19.11,60,38.22,28,17.83,12,7.64,27023
27,24,100,16,16.0,18,18.0,37,37.0,12,12.0,17,17.0,27024
27,25,189,21,11.11,31,16.4,84,44.44,38,20.11,15,7.94,27025
27,26,141,25,17.73,15,10.64,63,44.68,23,16.31,15,10.64,27026
27,27,220,41,18.64,39,17.73,94,42.73,22,10.0,24,10.91,27027
27,29,116,18,15.52,24,20.69,42,36.21,15,12.93,17,14.66,27029
27,30,105,22,20.95,9,8.57,50,47.62,13,12.38,11,10.48,27030
27,31,156,28,17.95,29,18.59,54,34.62,25,16.03,20,12.82,27031
27,32,194,26,13.4,22,11.34,88,45.36,46,23.71,12,6.19,27032
27,33,166,21,12.65,37,22.29,53,31.93,43,25.9,12,7.23,27033
27,34,126,20,15.87,24,19.05,45,35.71,23,18.25,14,11.11,27034
27,36,152,11,7.24,26,17.11,88,57.89,15,9.87,12,7.89,27036
27,39,166,29,17.47,23,13.86,77,46.39,24,14.46,13,7.83,27039
27,41,168,28,16.67,20,11.9,77,45.83,30,17.86,13,7.74,27041
27,43,128,18,14.06,21,16.41,52,40.63,26,20.31,11,8.59,27043
27,44,132,25,18.94,17,12.88,70,53.03,13,9.85,7,5.3,27044
27,45,320,45,14.06,133,41.56,86,26.88,28,8.75,28,8.75,27045
27,49,153,28,18.3,16,10.46,74,48.37,31,20.26,4,2.61,27049
27,50,187,29,15.51,36,19.25,79,42.25,24,12.83,19,10.16,27050
28,1,100,18,18.0,20,20.0,47,47.0,12,12.0,3,3.0,28001
28,2,144,17,11.81,21,14.58,60,41.67,35,24.31,11,7.64,28002
28,3,137,16,11.68,21,15.33,82,59.85,14,10.22,4,2.92,28003
28,4,113,16,14.16,41,36.28,32,28.32,15,13.27,9,7.96,28004
28,5,130,10,7.69,43,33.08,52,40.0,18,13.85,7,5.38,28005
28,6,79,12,15.19,26,32.91,26,32.91,8,10.13,7,8.86,28006
28,7,154,24,15.58,15,9.74,90,58.44,19,12.34,6,3.9,28007
28,8,128,16,12.5,49,38.28,40,31.25,12,9.38,11,8.59,28008
28,9,154,24,15.58,20,12.99,90,58.44,12,7.79,8,5.19,28009
28,10,188,23,12.23,63,33.51,77,40.96,10,5.32,15,7.98,28010
28,11,349,47,13.47,85,24.36,152,43.55,39,11.17,26,7.45,28011
28,12,148,26,17.57,21,14.19,61,41.22,37,25.0,3,2.03,28012
28,13,184,29,15.76,28,15.22,100,54.35,22,11.96,5,2.72,28013
28,14,141,22,15.6,20,14.18,82,58.16,14,9.93,3,2.13,28014
28,15,42,8,19.05,8,19.05,20,47.62,4,9.52,2,4.76,28015
28,16,85,18,21.18,11,12.94,44,51.76,9,10.59,3,3.53,28016
28,17,140,24,17.14,13,9.29,79,56.43,19,13.57,5,3.57,28017
28,18,146,18,12.33,26,17.81,70,47.95,22,15.07,10,6.85,28018
28,19,132,21,15.91,45,34.09,45,34.09,14,10.61,7,5.3,28019
28,20,140,28,20.0,22,15.71,65,46.43,19,13.57,6,4.29,28020
28,21,143,20,13.99,24,16.78,71,49.65,20,13.99,8,5.59,28021
28,22,173,28,16.18,35,20.23,68,39.31,34,19.65,8,4.62,28022
28,23,208,22,10.58,23,11.06,136,65.38,21,10.1,6,2.88,28023
28,24,142,30,21.13,19,13.38,67,47.18,18,12.68,8,5.63,28024
28,25,247,33,13.36,24,9.72,158,63.97,26,10.53,6,2.43,28025
28,26,149,23,15.44,20,13.42,76,51.01,23,15.44,7,4.7,28026
28,27,159,17,10.69,66,41.51,44,27.67,14,8.81,18,11.32,28027
28,28,215,29,13.49,91,42.33,66,30.7,14,6.51,15,6.98,28028
28,29,77,12,15.58,15,19.48,39,50.65,7,9.09,4,5.19,28029
28,30,29,10,34.48,1,3.45,16,55.17,2,6.9,0,0.0,28030
28,31,228,49,21.49,26,11.4,104,45.61,41,17.98,8,3.51,28031
28,32,159,26,16.35,19,11.95,87,54.72,19,11.95,8,5.03,28032
28,33,182,28,15.38,20,10.99,101,55.49,28,15.38,5,2.75,28033
28,34,254,34,13.39,47,18.5,133,52.36,28,11.02,12,4.72,28034
28,35,152,24,15.79,24,15.79,82,53.95,14,9.21,8,5.26,28035
28,36,93,16,17.2,6,6.45,50,53.76,18,19.35,3,3.23,28036
28,37,205,41,20.0,21,10.24,121,59.02,18,8.78,4,1.95,28037
28,38,54,8,14.81,6,11.11,26,48.15,13,24.07,1,1.85,28038
28,39,107,17,15.89,9,8.41,59,55.14,15,14.02,7,6.54,28039
28,40,228,79,34.65,15,6.58,109,47.81,19,8.33,6,2.63,28040
28,41,117,22,18.8,10,8.55,66,56.41,15,12.82,4,3.42,28041
28,42,145,30,20.69,17,11.72,76,52.41,18,12.41,4,2.76,28042
28,43,183,25,13.66,21,11.48,107,58.47,26,14.21,4,2.19,28043
28,44,125,25,20.0,9,7.2,73,58.4,14,11.2,4,3.2,28044
28,45,155,19,12.26,66,42.58,44,28.39,16,10.32,10,6.45,28045
28,46,298,39,13.09,82,27.52,114,38.26,35,11.74,28,9.4,28046
29,2,264,54,20.45,28,10.61,125,47.35,47,17.8,10,3.79,29002
29,3,221,42,19.0,41,18.55,97,43.89,36,16.29,5,2.26,29003
29,4,259,66,25.48,35,13.51,110,42.47,41,15.83,7,2.7,29004
29,5,132,30,22.73,13,9.85,53,40.15,27,20.45,9,6.82,29005
29,6,135,23,17.04,14,10.37,66,48.89,27,20.0,5,3.7,29006
29,8,168,23,13.69,18,10.71,84,50.0,33,19.64,10,5.95,29008
29,11,109,24,22.02,13,11.93,45,41.28,21,19.27,6,5.5,29011
29,13,205,36,17.56,26,12.68,103,50.24,29,14.15,11,5.37,29013
29,14,194,45,23.2,27,13.92,94,48.45,23,11.86,5,2.58,29014
29,16,198,37,18.69,13,6.57,112,56.57,29,14.65,7,3.54,29016
29,18,185,39,21.08,27,14.59,82,44.32,27,14.59,10,5.41,29018
29,19,220,51,23.18,25,11.36,99,45.0,34,15.45,11,5.0,29019
29,20,214,41,19.16,27,12.62,84,39.25,49,22.9,13,6.07,29020
29,21,236,40,16.95,34,14.41,112,47.46,34,14.41,16,6.78,29021
29,22,174,33,18.97,31,17.82,76,43.68,19,10.92,15,8.62,29022
29,25,263,68,25.86,44,16.73,116,44.11,30,11.41,5,1.9,29025
29,26,202,34,16.83,28,13.86,92,45.54,40,19.8,8,3.96,29026
29,27,188,53,28.19,29,15.43,67,35.64,32,17.02,7,3.72,29027
29,28,266,50,18.8,26,9.77,140,52.63,36,13.53,14,5.26,29028
29,33,149,28,18.79,23,15.44,62,41.61,27,18.12,9,6.04,29033
29,34,154,27,17.53,31,20.13,65,42.21,19,12.34,12,7.79,29034
29,35,144,23,15.97,17,11.81,77,53.47,23,15.97,4,2.78,29035
29,37,210,40,19.05,30,14.29,110,52.38,23,10.95,7,3.33,29037
29,40,262,61,23.28,30,11.45,112,42.75,46,17.56,13,4.96,29040
29,41,173,41,23.7,21,12.14,77,44.51,25,14.45,9,5.2,29041
29,42,242,105,43.39,17,7.02,82,33.88,32,13.22,6,2.48,29042
29,44,257,53,20.62,32,12.45,118,45.91,45,17.51,9,3.5,29044
37,1,144,24,16.67,31,21.53,51,35.42,28,19.44,10,6.94,37001
37,3,118,15,12.71,15,12.71,63,53.39,19,16.1,6,5.08,37003
37,4,117,16,13.68,20,17.09,56,47.86,14,11.97,11,9.4,37004
37,5,195,42,21.54,35,17.95,84,43.08,25,12.82,9,4.62,37005
37,6,181,38,20.99,22,12.15,81,44.75,29,16.02,11,6.08,37006
37,7,113,19,16.81,26,23.01,46,40.71,15,13.27,7,6.19,37007
37,8,102,18,17.65,23,22.55,37,36.27,15,14.71,9,8.82,37008
37,9,180,37,20.56,21,11.67,75,41.67,36,20.0,11,6.11,37009
37,11,91,17,18.68,10,10.99,41,45.05,17,18.68,6,6.59,37011
37,13,132,17,12.88,25,18.94,72,54.55,14,10.61,4,3.03,37013
37,14,181,38,20.99,25,13.81,82,45.3,29,16.02,7,3.87,37014
37,15,197,21,10.66,32,16.24,93,47.21,37,18.78,14,7.11,37015
37,17,118,15,12.71,25,21.19,48,40.68,21,17.8,9,7.63,37017
37,18,166,35,21.08,16,9.64,76,45.78,30,18.07,9,5.42,37018
37,19,126,27,21.43,14,11.11,61,48.41,16,12.7,8,6.35,37019
37,20,125,29,23.2,18,14.4,48,38.4,23,18.4,7,5.6,37020
37,21,130,23,17.69,26,20.0,57,43.85,17,13.08,7,5.38,37021
37,22,19,0,0.0,3,15.79,10,52.63,3,15.79,3,15.79,37022
37,23,180,50,27.78,26,14.44,60,33.33,38,21.11,6,3.33,37023
37,24,65,7,10.77,13,20.0,33,50.77,11,16.92,1,1.54,37024
37,25,162,26,16.05,24,14.81,80,49.38,25,15.43,7,4.32,37025
37,27,163,30,18.4,21,12.88,71,43.56,34,20.86,7,4.29,37027
37,28,159,28,17.61,32,20.13,75,47.17,15,9.43,9,5.66,37028
37,29,155,24,15.48,22,14.19,80,51.61,24,15.48,5,3.23,37029
37,30,168,33,19.64,26,15.48,69,41.07,33,19.64,7,4.17,37030
37,31,186,61,32.8,25,13.44,74,39.78,22,11.83,4,2.15,37031
37,32,140,29,20.71,20,14.29,66,47.14,19,13.57,6,4.29,37032
37,33,202,48,23.76,25,12.38,91,45.05,28,13.86,10,4.95,37033
37,34,172,50,29.07,17,9.88,59,34.3,42,24.42,4,2.33,37034
37,35,220,32,14.55,30,13.64,106,48.18,45,20.45,7,3.18,37035
37,36,152,32,21.05,17,11.18,66,43.42,28,18.42,9,5.92,37036
37,37,190,27,14.21,28,14.74,95,50.0,29,15.26,11,5.79,37037
37,38,203,46,22.66,22,10.84,97,47.78,30,14.78,8,3.94,37038
37,39,146,35,23.97,14,9.59,63,43.15,25,17.12,9,6.16,37039
37,40,203,77,37.93,22,10.84,68,33.5,28,13.79,8,3.94,37040
37,41,61,8,13.11,6,9.84,34,55.74,4,6.56,9,14.75,37041
42,3,203,17,8.37,84,41.38,62,30.54,16,7.88,24,11.82,42003
42,12,87,7,8.05,42,48.28,19,21.84,6,6.9,13,14.94,42012
42,16,204,25,12.25,98,48.04,50,24.51,21,10.29,10,4.9,42016
42,18,172,31,18.02,61,35.47,50,29.07,12,6.98,18,10.47,42018
42,21,152,22,14.47,68,44.74,41,26.97,6,3.95,15,9.87,42021
42,36,204,26,12.75,89,43.63,57,27.94,9,4.41,23,11.27,42036
42,41,190,21,11.05,84,44.21,39,20.53,25,13.16,21,11.05,42041
