ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Kina Collins,Kina Collins Percent,Anthony Clark,Anthony Clark Percent,Kristine Schanbacher,Kristine Schanbacher Percent,precinct_id
3,9,367,271,73.84,60,16.35,25,6.81,11,3.0,03009
3,10,139,127,91.37,4,2.88,4,2.88,4,2.88,03010
3,11,297,216,72.73,34,11.45,34,11.45,13,4.38,03011
3,12,314,248,78.98,28,8.92,27,8.6,11,3.5,03012
3,13,373,213,57.1,51,13.67,37,9.92,72,19.3,03013
3,14,336,171,50.89,64,19.05,38,11.31,63,18.75,03014
3,15,255,188,73.73,38,14.9,19,7.45,10,3.92,03015
3,16,260,206,79.23,28,10.77,18,6.92,8,3.08,03016
3,17,418,219,52.39,86,20.57,54,12.92,59,14.11,03017
3,18,267,179,67.04,28,10.49,37,13.86,23,8.61,03018
3,19,328,165,50.3,49,14.94,37,11.28,77,23.48,03019
3,20,360,259,71.94,49,13.61,40,11.11,12,3.33,03020
3,21,353,249,70.54,25,7.08,24,6.8,55,15.58,03021
3,22,373,155,41.55,78,20.91,63,16.89,77,20.64,03022
3,23,170,124,72.94,21,12.35,15,8.82,10,5.88,03023
3,24,249,191,76.71,30,12.05,23,9.24,5,2.01,03024
3,25,484,241,49.79,62,12.81,50,10.33,131,27.07,03025
3,26,379,199,52.51,48,12.66,32,8.44,100,26.39,03026
3,27,363,181,49.86,53,14.6,49,13.5,80,22.04,03027
3,28,225,191,84.89,16,7.11,16,7.11,2,0.89,03028
3,29,259,192,74.13,28,10.81,23,8.88,16,6.18,03029
3,30,151,113,74.83,19,12.58,15,9.93,4,2.65,03030
3,31,365,268,73.42,45,12.33,36,9.86,16,4.38,03031
3,32,373,190,50.94,65,17.43,45,12.06,73,19.57,03032
3,33,364,150,41.21,65,17.86,60,16.48,89,24.45,03033
3,34,387,202,52.2,57,14.73,42,10.85,86,22.22,03034
3,35,37,22,59.46,10,27.03,3,8.11,2,5.41,03035
3,36,144,124,86.11,11,7.64,7,4.86,2,1.39,03036
3,37,284,214,75.35,32,11.27,28,9.86,10,3.52,03037
3,39,382,180,47.12,58,15.18,47,12.3,97,25.39,03039
3,40,264,175,66.29,26,9.85,33,12.5,30,11.36,03040
4,2,379,169,44.59,58,15.3,49,12.93,103,27.18,04002
4,4,390,294,75.38,55,14.1,33,8.46,8,2.05,04004
4,5,397,274,69.02,59,14.86,41,10.33,23,5.79,04005
4,6,448,363,81.03,40,8.93,24,5.36,21,4.69,04006
4,7,412,296,71.84,57,13.83,47,11.41,12,2.91,04007
4,8,46,40,86.96,1,2.17,5,10.87,0,0.0,04008
4,10,438,294,67.12,72,16.44,51,11.64,21,4.79,04010
4,11,162,132,81.48,9,5.56,19,11.73,2,1.23,04011
4,13,346,129,37.28,77,22.25,56,16.18,84,24.28,04013
4,14,49,41,83.67,3,6.12,4,8.16,1,2.04,04014
4,15,119,75,63.03,26,21.85,9,7.56,9,7.56,04015
4,16,475,169,35.58,95,20.0,77,16.21,134,28.21,04016
4,17,360,152,42.22,64,17.78,54,15.0,90,25.0,04017
4,20,306,137,44.77,44,14.38,53,17.32,72,23.53,04020
4,21,371,138,37.2,88,23.72,71,19.14,74,19.95,04021
4,22,4,3,75.0,1,25.0,0,0.0,0,0.0,04022
4,25,368,155,42.12,61,16.58,49,13.32,103,27.99,04025
4,28,217,150,69.12,39,17.97,16,7.37,12,5.53,04028
4,29,98,70,71.43,14,14.29,9,9.18,5,5.1,04029
4,30,64,51,79.69,6,9.38,3,4.69,4,6.25,04030
4,34,289,220,76.12,40,13.84,20,6.92,9,3.11,04034
4,35,378,288,76.19,41,10.85,40,10.58,9,2.38,04035
4,36,183,142,77.6,17,9.29,17,9.29,7,3.83,04036
4,37,512,205,40.04,93,18.16,79,15.43,135,26.37,04037
6,21,107,85,79.44,12,11.21,9,8.41,1,0.93,06021
11,2,17,14,82.35,0,0.0,1,5.88,2,11.76,11002
11,6,330,154,46.67,59,17.88,75,22.73,42,12.73,11006
11,7,285,109,38.25,86,30.18,47,16.49,43,15.09,11007
11,14,144,70,48.61,23,15.97,22,15.28,29,20.14,11014
11,30,136,75,55.15,16,11.76,22,16.18,23,16.91,11030
11,33,304,150,49.34,50,16.45,44,14.47,60,19.74,11033
11,34,96,46,47.92,11,11.46,11,11.46,28,29.17,11034
11,35,44,28,63.64,6,13.64,6,13.64,4,9.09,11035
11,36,89,35,39.33,18,20.22,17,19.1,19,21.35,11036
11,37,78,55,70.51,13,16.67,5,6.41,5,6.41,11037
12,10,30,12,40.0,5,16.67,10,33.33,3,10.0,12010
12,15,94,61,64.89,12,12.77,12,12.77,9,9.57,12015
12,18,74,24,32.43,21,28.38,13,17.57,16,21.62,12018
15,2,119,95,79.83,12,10.08,10,8.4,2,1.68,15002
15,3,142,108,76.06,18,12.68,8,5.63,8,5.63,15003
15,7,133,108,81.2,10,7.52,10,7.52,5,3.76,15007
15,13,28,7,25.0,10,35.71,7,25.0,4,14.29,15013
15,14,14,3,21.43,6,42.86,2,14.29,3,21.43,15014
15,16,1,1,100.0,0,0.0,0,0.0,0,0.0,15016
15,17,155,122,78.71,13,8.39,11,7.1,9,5.81,15017
15,18,113,89,78.76,9,7.96,13,11.5,2,1.77,15018
15,20,141,121,85.82,7,4.96,9,6.38,4,2.84,15020
15,21,139,106,76.26,11,7.91,11,7.91,11,7.91,15021
15,22,143,94,65.73,21,14.69,19,13.29,9,6.29,15022
15,23,139,119,85.61,3,2.16,8,5.76,9,6.47,15023
15,24,116,86,74.14,8,6.9,16,13.79,6,5.17,15024
16,2,171,134,78.36,21,12.28,12,7.02,4,2.34,16002
16,3,131,107,81.68,12,9.16,11,8.4,1,0.76,16003
16,4,154,123,79.87,17,11.04,10,6.49,4,2.6,16004
16,5,109,85,77.98,8,7.34,12,11.01,4,3.67,16005
16,6,171,143,83.63,14,8.19,12,7.02,2,1.17,16006
16,7,145,109,75.17,16,11.03,14,9.66,6,4.14,16007
16,8,96,75,78.13,11,11.46,6,6.25,4,4.17,16008
16,9,7,6,85.71,1,14.29,0,0.0,0,0.0,16009
16,10,142,119,83.8,7,4.93,12,8.45,4,2.82,16010
16,11,150,99,66.0,22,14.67,21,14.0,8,5.33,16011
16,12,131,89,67.94,17,12.98,17,12.98,8,6.11,16012
16,13,142,76,53.52,23,16.2,27,19.01,16,11.27,16013
16,14,124,106,85.48,10,8.06,3,2.42,5,4.03,16014
16,15,174,133,76.44,25,14.37,14,8.05,2,1.15,16015
16,16,155,128,82.58,14,9.03,10,6.45,3,1.94,16016
16,17,156,94,60.26,23,14.74,22,14.1,17,10.9,16017
16,18,107,71,66.36,14,13.08,14,13.08,8,7.48,16018
16,19,159,111,69.81,24,15.09,16,10.06,8,5.03,16019
16,20,129,110,85.27,7,5.43,9,6.98,3,2.33,16020
16,21,136,110,80.88,8,5.88,12,8.82,6,4.41,16021
16,22,130,106,81.54,12,9.23,6,4.62,6,4.62,16022
16,23,6,5,83.33,1,16.67,0,0.0,0,0.0,16023
16,24,94,79,84.04,5,5.32,6,6.38,4,4.26,16024
16,25,175,133,76.0,16,9.14,22,12.57,4,2.29,16025
16,26,138,116,84.06,12,8.7,5,3.62,5,3.62,16026
16,27,82,63,76.83,13,15.85,5,6.1,1,1.22,16027
16,29,121,102,84.3,10,8.26,7,5.79,2,1.65,16029
16,31,140,117,83.57,7,5.0,12,8.57,4,2.86,16031
16,33,109,81,74.31,20,18.35,6,5.5,2,1.83,16033
16,34,120,99,82.5,8,6.67,11,9.17,2,1.67,16034
16,35,145,71,48.97,36,24.83,29,20.0,9,6.21,16035
16,36,115,96,83.48,9,7.83,8,6.96,2,1.74,16036
17,6,41,35,85.37,3,7.32,2,4.88,1,2.44,17006
17,7,176,99,56.25,30,17.05,25,14.2,22,12.5,17007
17,8,4,3,75.0,1,25.0,0,0.0,0,0.0,17008
17,12,208,109,52.4,40,19.23,44,21.15,15,7.21,17012
17,13,148,122,82.43,13,8.78,11,7.43,2,1.35,17013
17,14,153,94,61.44,22,14.38,22,14.38,15,9.8,17014
17,16,50,30,60.0,9,18.0,8,16.0,3,6.0,17016
17,19,112,86,76.79,11,9.82,15,13.39,0,0.0,17019
17,25,3,2,66.67,0,0.0,0,0.0,1,33.33,17025
17,31,123,96,78.05,15,12.2,8,6.5,4,3.25,17031
17,33,84,64,76.19,11,13.1,6,7.14,3,3.57,17033
17,35,57,47,82.46,6,10.53,3,5.26,1,1.75,17035
17,36,33,28,84.85,3,9.09,2,6.06,0,0.0,17036
20,2,64,51,79.69,6,9.38,4,6.25,3,4.69,20002
20,4,41,34,82.93,5,12.2,2,4.88,0,0.0,20004
20,6,98,80,81.63,7,7.14,6,6.12,5,5.1,20006
20,11,103,68,66.02,12,11.65,16,15.53,7,6.8,20011
20,15,102,50,49.02,22,21.57,18,17.65,12,11.76,20015
20,17,132,73,55.3,26,19.7,22,16.67,11,8.33,20017
20,20,93,51,54.84,19,20.43,14,15.05,9,9.68,20020
20,21,153,111,72.55,21,13.73,9,5.88,12,7.84,20021
20,25,150,112,74.67,17,11.33,12,8.0,9,6.0,20025
20,27,29,23,79.31,0,0.0,5,17.24,1,3.45,20027
20,30,63,53,84.13,6,9.52,3,4.76,1,1.59,20030
20,31,161,124,77.02,21,13.04,15,9.32,1,0.62,20031
20,32,177,141,79.66,22,12.43,11,6.21,3,1.69,20032
20,36,56,47,83.93,5,8.93,3,5.36,1,1.79,20036
20,37,2,1,50.0,1,50.0,0,0.0,0,0.0,20037
20,38,71,56,78.87,6,8.45,9,12.68,0,0.0,20038
20,39,14,13,92.86,0,0.0,0,0.0,1,7.14,20039
22,14,110,56,50.91,20,18.18,22,20.0,12,10.91,22014
22,15,5,2,40.0,1,20.0,2,40.0,0,0.0,22015
22,19,93,63,67.74,12,12.9,14,15.05,4,4.3,22019
22,21,217,191,88.02,17,7.83,9,4.15,0,0.0,22021
23,17,48,18,37.5,9,18.75,11,22.92,10,20.83,23017
23,19,66,28,42.42,13,19.7,13,19.7,12,18.18,23019
23,31,34,14,41.18,4,11.76,6,17.65,10,29.41,23031
24,1,188,146,77.66,30,15.96,11,5.85,1,0.53,24001
24,2,170,144,84.71,17,10.0,9,5.29,0,0.0,24002
24,3,189,144,76.19,30,15.87,12,6.35,3,1.59,24003
24,4,144,121,84.03,13,9.03,8,5.56,2,1.39,24004
24,5,108,92,85.19,12,11.11,4,3.7,0,0.0,24005
24,6,219,187,85.39,22,10.05,9,4.11,1,0.46,24006
24,7,108,40,37.04,23,21.3,32,29.63,13,12.04,24007
24,8,91,81,89.01,7,7.69,2,2.2,1,1.1,24008
24,9,173,140,80.92,19,10.98,8,4.62,6,3.47,24009
24,10,91,75,82.42,7,7.69,8,8.79,1,1.1,24010
24,11,204,175,85.78,24,11.76,4,1.96,1,0.49,24011
24,12,89,70,78.65,8,8.99,8,8.99,3,3.37,24012
24,13,89,71,79.78,15,16.85,2,2.25,1,1.12,24013
24,14,161,134,83.23,18,11.18,8,4.97,1,0.62,24014
24,15,81,70,86.42,9,11.11,2,2.47,0,0.0,24015
24,16,284,131,46.13,67,23.59,60,21.13,26,9.15,24016
24,17,154,136,88.31,13,8.44,5,3.25,0,0.0,24017
24,18,214,184,85.98,19,8.88,9,4.21,2,0.93,24018
24,19,240,201,83.75,26,10.83,12,5.0,1,0.42,24019
24,20,152,140,92.11,6,3.95,5,3.29,1,0.66,24020
24,21,97,79,81.44,10,10.31,8,8.25,0,0.0,24021
24,22,245,214,87.35,20,8.16,6,2.45,5,2.04,24022
24,23,139,114,82.01,15,10.79,7,5.04,3,2.16,24023
24,24,223,191,85.65,14,6.28,14,6.28,4,1.79,24024
24,25,148,130,87.84,12,8.11,2,1.35,4,2.7,24025
24,26,305,261,85.57,31,10.16,10,3.28,3,0.98,24026
24,27,209,176,84.21,20,9.57,13,6.22,0,0.0,24027
24,28,156,127,81.41,17,10.9,9,5.77,3,1.92,24028
24,29,158,133,84.18,17,10.76,5,3.16,3,1.9,24029
24,30,120,103,85.83,10,8.33,7,5.83,0,0.0,24030
24,31,214,183,85.51,18,8.41,11,5.14,2,0.93,24031
24,32,110,97,88.18,5,4.55,6,5.45,2,1.82,24032
24,33,125,105,84.0,14,11.2,6,4.8,0,0.0,24033
24,34,192,168,87.5,12,6.25,5,2.6,7,3.65,24034
24,35,174,142,81.61,18,10.34,13,7.47,1,0.57,24035
24,36,239,194,81.17,19,7.95,19,7.95,7,2.93,24036
24,37,119,99,83.19,13,10.92,4,3.36,3,2.52,24037
24,38,182,141,77.47,18,9.89,21,11.54,2,1.1,24038
24,39,199,144,72.36,20,10.05,22,11.06,13,6.53,24039
24,40,204,165,80.88,29,14.22,9,4.41,1,0.49,24040
24,41,149,130,87.25,10,6.71,8,5.37,1,0.67,24041
25,3,310,112,36.13,62,20.0,62,20.0,74,23.87,25003
25,4,192,117,60.94,28,14.58,33,17.19,14,7.29,25004
25,6,89,59,66.29,6,6.74,10,11.24,14,15.73,25006
25,10,277,120,43.32,34,12.27,42,15.16,81,29.24,25010
25,14,161,75,46.58,30,18.63,25,15.53,31,19.25,25014
25,16,292,103,35.27,52,17.81,51,17.47,86,29.45,25016
25,18,145,86,59.31,15,10.34,29,20.0,15,10.34,25018
25,20,158,118,74.68,20,12.66,14,8.86,6,3.8,25020
25,21,366,150,40.98,66,18.03,69,18.85,81,22.13,25021
25,25,229,106,46.29,36,15.72,35,15.28,52,22.71,25025
25,27,263,106,40.3,56,21.29,37,14.07,64,24.33,25027
25,29,233,156,66.95,41,17.6,21,9.01,15,6.44,25029
25,31,349,145,41.55,58,16.62,71,20.34,75,21.49,25031
26,1,116,38,32.76,24,20.69,34,29.31,20,17.24,26001
26,3,235,60,25.53,52,22.13,81,34.47,42,17.87,26003
26,4,133,69,51.88,26,19.55,26,19.55,12,9.02,26004
26,10,123,50,40.65,25,20.33,35,28.46,13,10.57,26010
26,17,164,64,39.02,25,15.24,35,21.34,40,24.39,26017
26,19,125,81,64.8,22,17.6,16,12.8,6,4.8,26019
26,21,240,101,42.08,46,19.17,67,27.92,26,10.83,26021
26,27,105,28,26.67,27,25.71,28,26.67,22,20.95,26027
26,28,117,46,39.32,28,23.93,21,17.95,22,18.8,26028
26,33,239,82,34.31,56,23.43,73,30.54,28,11.72,26033
26,36,180,47,26.11,40,22.22,74,41.11,19,10.56,26036
26,39,131,38,29.01,31,23.66,40,30.53,22,16.79,26039
26,45,69,33,47.83,19,27.54,9,13.04,8,11.59,26045
26,46,141,59,41.84,23,16.31,38,26.95,21,14.89,26046
27,1,319,147,46.08,52,16.3,62,19.44,58,18.18,27001
27,2,213,131,61.5,23,10.8,23,10.8,36,16.9,27002
27,3,141,103,73.05,18,12.77,20,14.18,0,0.0,27003
27,4,133,84,63.16,18,13.53,22,16.54,9,6.77,27004
27,5,187,136,72.73,24,12.83,17,9.09,10,5.35,27005
27,6,253,144,56.92,33,13.04,32,12.65,44,17.39,27006
27,8,175,143,81.71,11,6.29,17,9.71,4,2.29,27008
27,9,115,62,53.91,15,13.04,12,10.43,26,22.61,27009
27,10,282,226,80.14,33,11.7,13,4.61,10,3.55,27010
27,11,191,80,41.88,34,17.8,25,13.09,52,27.23,27011
27,13,290,215,74.14,48,16.55,20,6.9,7,2.41,27013
27,14,96,84,87.5,6,6.25,4,4.17,2,2.08,27014
27,15,130,109,83.85,11,8.46,9,6.92,1,0.77,27015
27,16,195,90,46.15,36,18.46,28,14.36,41,21.03,27016
27,17,242,167,69.01,24,9.92,31,12.81,20,8.26,27017
27,18,180,135,75.0,27,15.0,9,5.0,9,5.0,27018
27,19,113,75,66.37,10,8.85,22,19.47,6,5.31,27019
27,20,152,106,69.74,34,22.37,8,5.26,4,2.63,27020
27,21,212,103,48.58,31,14.62,15,7.08,63,29.72,27021
27,22,126,104,82.54,11,8.73,8,6.35,3,2.38,27022
27,23,194,159,81.96,22,11.34,11,5.67,2,1.03,27023
27,24,130,80,61.54,32,24.62,16,12.31,2,1.54,27024
27,25,244,145,59.43,45,18.44,33,13.52,21,8.61,27025
27,26,185,139,75.14,15,8.11,22,11.89,9,4.86,27026
27,27,263,175,66.54,40,15.21,33,12.55,15,5.7,27027
27,28,195,105,53.85,29,14.87,22,11.28,39,20.0,27028
27,29,138,83,60.14,36,26.09,14,10.14,5,3.62,27029
27,30,132,113,85.61,8,6.06,8,6.06,3,2.27,27030
27,31,202,145,71.78,24,11.88,27,13.37,6,2.97,27031
27,32,238,143,60.08,41,17.23,40,16.81,14,5.88,27032
27,33,258,162,62.79,33,12.79,23,8.91,40,15.5,27033
27,34,166,137,82.53,13,7.83,10,6.02,6,3.61,27034
27,35,252,87,34.52,37,14.68,56,22.22,72,28.57,27035
27,36,192,125,65.1,18,9.38,34,17.71,15,7.81,27036
27,37,219,149,68.04,24,10.96,14,6.39,32,14.61,27037
27,38,322,208,64.6,29,9.01,28,8.7,57,17.7,27038
27,39,197,148,75.13,21,10.66,21,10.66,7,3.55,27039
27,40,254,118,46.46,54,21.26,43,16.93,39,15.35,27040
27,41,232,192,82.76,22,9.48,10,4.31,8,3.45,27041
27,42,74,61,82.43,10,13.51,2,2.7,1,1.35,27042
27,43,163,126,77.3,18,11.04,12,7.36,7,4.29,27043
27,44,170,124,72.94,21,12.35,18,10.59,7,4.12,27044
27,45,439,173,39.41,106,24.15,76,17.31,84,19.13,27045
27,47,196,144,73.47,23,11.73,12,6.12,17,8.67,27047
27,48,373,207,55.5,70,18.77,43,11.53,53,14.21,27048
27,49,190,154,81.05,17,8.95,15,7.89,4,2.11,27049
27,50,243,198,81.48,26,10.7,15,6.17,4,1.65,27050
28,1,125,109,87.2,12,9.6,4,3.2,0,0.0,28001
28,2,189,132,69.84,22,11.64,27,14.29,8,4.23,28002
28,3,155,130,83.87,8,5.16,11,7.1,6,3.87,28003
28,4,148,68,45.95,30,20.27,23,15.54,27,18.24,28004
28,5,159,120,75.47,16,10.06,15,9.43,8,5.03,28005
28,6,97,61,62.89,11,11.34,7,7.22,18,18.56,28006
28,7,179,157,87.71,9,5.03,12,6.7,1,0.56,28007
28,8,168,70,41.67,26,15.48,28,16.67,44,26.19,28008
28,9,189,163,86.24,13,6.88,10,5.29,3,1.59,28009
28,10,233,124,53.22,32,13.73,35,15.02,42,18.03,28010
28,11,420,200,47.62,94,22.38,75,17.86,51,12.14,28011
28,12,177,152,85.88,14,7.91,8,4.52,3,1.69,28012
28,13,247,222,89.88,15,6.07,9,3.64,1,0.4,28013
28,14,180,159,88.33,12,6.67,8,4.44,1,0.56,28014
28,15,51,47,92.16,3,5.88,0,0.0,1,1.96,28015
28,16,106,90,84.91,9,8.49,6,5.66,1,0.94,28016
28,17,161,136,84.47,14,8.7,6,3.73,5,3.11,28017
28,18,184,152,82.61,15,8.15,10,5.43,7,3.8,28018
28,19,162,80,49.38,30,18.52,26,16.05,26,16.05,28019
28,20,173,142,82.08,15,8.67,8,4.62,8,4.62,28020
28,21,165,148,89.7,7,4.24,5,3.03,5,3.03,28021
28,22,226,169,74.78,19,8.41,24,10.62,14,6.19,28022
28,23,235,209,88.94,16,6.81,7,2.98,3,1.28,28023
28,24,164,144,87.8,6,3.66,12,7.32,2,1.22,28024
28,25,290,239,82.41,27,9.31,18,6.21,6,2.07,28025
28,26,180,161,89.44,8,4.44,10,5.56,1,0.56,28026
28,27,207,101,48.79,28,13.53,39,18.84,39,18.84,28027
28,28,263,137,52.09,34,12.93,42,15.97,50,19.01,28028
28,29,90,71,78.89,12,13.33,4,4.44,3,3.33,28029
28,30,39,37,94.87,1,2.56,1,2.56,0,0.0,28030
28,31,269,221,82.16,15,5.58,26,9.67,7,2.6,28031
28,32,185,164,88.65,7,3.78,11,5.95,3,1.62,28032
28,33,217,194,89.4,12,5.53,8,3.69,3,1.38,28033
28,34,304,238,78.29,34,11.18,22,7.24,10,3.29,28034
28,35,191,160,83.77,19,9.95,7,3.66,5,2.62,28035
28,36,114,96,84.21,9,7.89,8,7.02,1,0.88,28036
28,37,232,200,86.21,16,6.9,10,4.31,6,2.59,28037
28,38,67,61,91.04,2,2.99,2,2.99,2,2.99,28038
28,39,127,112,88.19,10,7.87,4,3.15,1,0.79,28039
28,40,248,211,85.08,15,6.05,18,7.26,4,1.61,28040
28,41,134,115,85.82,10,7.46,8,5.97,1,0.75,28041
28,42,177,140,79.1,32,18.08,5,2.82,0,0.0,28042
28,43,217,167,76.96,43,19.82,5,2.3,2,0.92,28043
28,44,148,129,87.16,12,8.11,6,4.05,1,0.68,28044
28,45,189,84,44.44,36,19.05,38,20.11,31,16.4,28045
28,46,356,163,45.79,73,20.51,63,17.7,57,16.01,28046
29,1,303,182,60.07,59,19.47,39,12.87,23,7.59,29001
29,2,320,285,89.06,19,5.94,10,3.13,6,1.88,29002
29,3,278,243,87.41,21,7.55,10,3.6,4,1.44,29003
29,4,306,262,85.62,21,6.86,19,6.21,4,1.31,29004
29,5,176,144,81.82,20,11.36,8,4.55,4,2.27,29005
29,6,175,156,89.14,12,6.86,6,3.43,1,0.57,29006
29,7,261,186,71.26,36,13.79,31,11.88,8,3.07,29007
29,8,189,151,79.89,22,11.64,12,6.35,4,2.12,29008
29,9,1,0,0.0,0,0.0,0,0.0,1,100.0,29009
29,10,339,185,54.57,69,20.35,38,11.21,47,13.86,29010
29,11,130,107,82.31,12,9.23,10,7.69,1,0.77,29011
29,12,310,252,81.29,24,7.74,30,9.68,4,1.29,29012
29,13,264,222,84.09,23,8.71,13,4.92,6,2.27,29013
29,14,245,216,88.16,17,6.94,9,3.67,3,1.22,29014
29,15,289,250,86.51,22,7.61,12,4.15,5,1.73,29015
29,16,222,167,75.23,17,7.66,36,16.22,2,0.9,29016
29,17,232,202,87.07,13,5.6,16,6.9,1,0.43,29017
29,18,225,175,77.78,22,9.78,20,8.89,8,3.56,29018
29,19,255,208,81.57,24,9.41,22,8.63,1,0.39,29019
29,20,249,219,87.95,13,5.22,14,5.62,3,1.2,29020
29,21,287,251,87.46,21,7.32,15,5.23,0,0.0,29021
29,22,222,167,75.23,28,12.61,20,9.01,7,3.15,29022
29,24,225,181,80.44,20,8.89,20,8.89,4,1.78,29024
29,25,307,266,86.64,23,7.49,15,4.89,3,0.98,29025
29,26,220,166,75.45,23,10.45,26,11.82,5,2.27,29026
29,27,236,194,82.2,17,7.2,22,9.32,3,1.27,29027
29,28,317,262,82.65,29,9.15,23,7.26,3,0.95,29028
29,33,200,154,77.0,12,6.0,27,13.5,7,3.5,29033
29,34,195,146,74.87,24,12.31,16,8.21,9,4.62,29034
29,35,163,141,86.5,9,5.52,11,6.75,2,1.23,29035
29,36,230,185,80.43,19,8.26,17,7.39,9,3.91,29036
29,37,255,218,85.49,18,7.06,13,5.1,6,2.35,29037
29,40,309,263,85.11,26,8.41,14,4.53,6,1.94,29040
29,41,207,167,80.68,25,12.08,12,5.8,3,1.45,29041
29,42,281,244,86.83,20,7.12,13,4.63,4,1.42,29042
29,43,213,129,60.56,35,16.43,32,15.02,17,7.98,29043
29,44,300,237,79.0,28,9.33,29,9.67,6,2.0,29044
36,5,121,70,57.85,19,15.7,22,18.18,10,8.26,36005
36,21,47,21,44.68,14,29.79,4,8.51,8,17.02,36021
37,1,184,140,76.09,18,9.78,17,9.24,9,4.89,37001
37,2,135,99,73.33,14,10.37,16,11.85,6,4.44,37002
37,3,137,116,84.67,13,9.49,8,5.84,0,0.0,37003
37,4,153,116,75.82,22,14.38,12,7.84,3,1.96,37004
37,5,255,217,85.1,17,6.67,16,6.27,5,1.96,37005
37,6,227,197,86.78,14,6.17,15,6.61,1,0.44,37006
37,7,130,99,76.15,17,13.08,7,5.38,7,5.38,37007
37,8,124,97,78.23,10,8.06,13,10.48,4,3.23,37008
37,9,206,174,84.47,15,7.28,12,5.83,5,2.43,37009
37,10,248,177,71.37,34,13.71,20,8.06,17,6.85,37010
37,11,123,98,79.67,9,7.32,10,8.13,6,4.88,37011
37,12,160,112,70.0,23,14.38,13,8.13,12,7.5,37012
37,13,151,112,74.17,18,11.92,17,11.26,4,2.65,37013
37,14,215,189,87.91,14,6.51,7,3.26,5,2.33,37014
37,15,237,205,86.5,16,6.75,11,4.64,5,2.11,37015
37,16,224,177,79.02,26,11.61,15,6.7,6,2.68,37016
37,17,157,133,84.71,18,11.46,6,3.82,0,0.0,37017
37,18,214,190,88.79,9,4.21,11,5.14,4,1.87,37018
37,19,147,114,77.55,16,10.88,10,6.8,7,4.76,37019
37,20,159,137,86.16,10,6.29,9,5.66,3,1.89,37020
37,21,161,136,84.47,11,6.83,4,2.48,10,6.21,37021
37,22,175,127,72.57,22,12.57,17,9.71,9,5.14,37022
37,23,218,184,84.4,18,8.26,13,5.96,3,1.38,37023
37,24,212,181,85.38,12,5.66,14,6.6,5,2.36,37024
37,25,202,173,85.64,14,6.93,12,5.94,3,1.49,37025
37,26,263,196,74.52,42,15.97,12,4.56,13,4.94,37026
37,27,203,174,85.71,12,5.91,15,7.39,2,0.99,37027
37,28,183,143,78.14,13,7.1,17,9.29,10,5.46,37028
