ward,precinct,total,Abigail Schultz (Bernie Sanders),Abigail Schultz (Bernie Sanders) Percent,Mary Colleran (Bernie Sanders),Mary Colleran (Bernie Sanders) Percent,William Bianchi (Bernie Sanders),William Bianchi (Bernie Sanders) Percent,Santos Moreno (Bernie Sanders),Santos Moreno (Bernie Sanders) Percent,Patrick Mulchrone (Bernie Sanders),Patrick Mulchrone (Bernie Sanders) Percent,Dave Temkin (Bernie Sanders),Dave Temkin (Bernie Sanders) Percent,Jared Zingsheim (Andrew Yang),Jared Zingsheim (Andrew Yang) Percent,Amber Fudacz (Andrew Yang),Amber Fudacz (Andrew Yang) Percent,Patrick Maloney (Andrew Yang),Patrick Maloney (Andrew Yang) Percent,William Rudnick (Andrew Yang),William Rudnick (Andrew Yang) Percent,Noah Brant (Andrew Yang),Noah Brant (Andrew Yang) Percent,Rio Diaz (Pete Buttigieg),Rio Diaz (Pete Buttigieg) Percent,Diana Helt (Pete Buttigieg),Diana Helt (Pete Buttigieg) Percent,Kevin Johnson (Pete Buttigieg),Kevin Johnson (Pete Buttigieg) Percent,Brad Lippitz (Pete Buttigieg),Brad Lippitz (Pete Buttigieg) Percent,Jonathan Pizer (Pete Buttigieg),Jonathan Pizer (Pete Buttigieg) Percent,Amanda Penabad (Pete Buttigieg),Amanda Penabad (Pete Buttigieg) Percent,Lee Greenhouse (Pete Buttigieg),Lee Greenhouse (Pete Buttigieg) Percent,Matthew Martin (Elizabeth Warren),Matthew Martin (Elizabeth Warren) Percent,Andrea McPike (Elizabeth Warren),Andrea McPike (Elizabeth Warren) Percent,Zach Koutsky (Elizabeth Warren),Zach Koutsky (Elizabeth Warren) Percent,Kaitlin ''Kady'' McFadden (Elizabeth W,Kaitlin ''Kady'' McFadden (Elizabeth W Percent,Michael Negron (Elizabeth Warren),Michael Negron (Elizabeth Warren) Percent,Eileen Dordek (Elizabeth Warren),Eileen Dordek (Elizabeth Warren) Percent,Carter Harms (Elizabeth Warren),Carter Harms (Elizabeth Warren) Percent,Eduardo Fernandez de Garayalde Gonzale,Eduardo Fernandez de Garayalde Gonzale Percent,Ross D. Secler (Amy J. Klobuchar),Ross D. Secler (Amy J. Klobuchar) Percent,Colette Holt (Amy J. Klobuchar),Colette Holt (Amy J. Klobuchar) Percent,Denise K. Marx (Amy J. Klobuchar),Denise K. Marx (Amy J. Klobuchar) Percent,Ryan O'Donnell (Amy J. Klobuchar),Ryan O'Donnell (Amy J. Klobuchar) Percent,precinct_id
1,32,1028,89,8.66,88,8.56,78,7.59,87,8.46,74,7.2,74,7.2,0,0.0,4,0.39,0,0.0,1,0.1,1,0.1,5,0.49,5,0.49,1,0.1,2,0.19,0,0.0,4,0.39,1,0.1,10,0.97,10,0.97,8,0.78,11,1.07,11,1.07,12,1.17,8,0.78,4,0.39,1,0.1,2,0.19,0,0.0,1,0.1,01032
1,33,2218,156,7.03,154,6.94,143,6.45,154,6.94,141,6.36,135,6.09,4,0.18,4,0.18,3,0.14,3,0.14,1,0.05,8,0.36,6,0.27,3,0.14,8,0.36,6,0.27,8,0.36,4,0.18,14,0.63,15,0.68,9,0.41,15,0.68,10,0.45,15,0.68,9,0.41,3,0.14,2,0.09,5,0.23,4,0.18,1,0.05,01033
1,35,2263,171,7.56,168,7.42,153,6.76,163,7.2,146,6.45,140,6.19,2,0.09,2,0.09,2,0.09,3,0.13,1,0.04,11,0.49,14,0.62,5,0.22,5,0.22,9,0.4,12,0.53,1,0.04,22,0.97,34,1.5,19,0.84,30,1.33,22,0.97,25,1.1,15,0.66,1,0.04,2,0.09,6,0.27,5,0.22,1,0.04,01035
1,36,2114,148,7.0,149,7.05,133,6.29,143,6.76,127,6.01,128,6.05,3,0.14,14,0.66,11,0.52,4,0.19,4,0.19,6,0.28,13,0.61,7,0.33,5,0.24,7,0.33,10,0.47,3,0.14,15,0.71,27,1.28,15,0.71,33,1.56,20,0.95,26,1.23,16,0.76,3,0.14,1,0.05,9,0.43,7,0.33,2,0.09,01036
1,37,1651,127,7.69,123,7.45,113,6.84,117,7.09,111,6.72,104,6.3,3,0.18,6,0.36,2,0.12,2,0.12,2,0.12,6,0.36,7,0.42,5,0.3,4,0.24,4,0.24,3,0.18,1,0.06,10,0.61,14,0.85,11,0.67,13,0.79,8,0.48,10,0.61,7,0.42,1,0.06,0,0.0,2,0.12,1,0.06,2,0.12,01037
1,38,370,22,5.95,23,6.22,21,5.68,21,5.68,21,5.68,20,5.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.27,3,0.81,2,0.54,2,0.54,4,1.08,2,0.54,1,0.27,2,0.54,2,0.54,2,0.54,3,0.81,2,0.54,2,0.54,2,0.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01038
1,39,1404,109,7.76,108,7.69,96,6.84,110,7.83,93,6.62,93,6.62,4,0.28,8,0.57,7,0.5,4,0.28,5,0.36,6,0.43,9,0.64,4,0.28,5,0.36,5,0.36,10,0.71,3,0.21,12,0.85,18,1.28,12,0.85,16,1.14,9,0.64,11,0.78,8,0.57,3,0.21,0,0.0,1,0.07,2,0.14,3,0.21,01039
1,40,1891,152,8.04,140,7.4,134,7.09,148,7.83,121,6.4,118,6.24,9,0.48,6,0.32,7,0.37,8,0.42,7,0.37,8,0.42,6,0.32,5,0.26,3,0.16,5,0.26,10,0.53,8,0.42,16,0.85,17,0.9,15,0.79,17,0.9,16,0.85,12,0.63,12,0.63,6,0.32,4,0.21,4,0.21,7,0.37,6,0.32,01040
2,1,2119,189,8.92,180,8.49,166,7.83,176,8.31,160,7.55,157,7.41,2,0.09,6,0.28,3,0.14,2,0.09,1,0.05,5,0.24,6,0.28,3,0.14,3,0.14,3,0.14,6,0.28,1,0.05,23,1.09,32,1.51,21,0.99,31,1.46,19,0.9,26,1.23,14,0.66,2,0.09,0,0.0,4,0.19,3,0.14,3,0.14,02001
2,3,2298,171,7.44,169,7.35,153,6.66,159,6.92,149,6.48,150,6.53,4,0.17,4,0.17,7,0.3,1,0.04,0,0.0,7,0.3,8,0.35,5,0.22,6,0.26,5,0.22,7,0.3,1,0.04,24,1.04,32,1.39,24,1.04,30,1.31,24,1.04,30,1.31,18,0.78,2,0.09,3,0.13,6,0.26,7,0.3,2,0.09,02003
2,4,1912,166,8.68,163,8.53,151,7.9,158,8.26,151,7.9,146,7.64,4,0.21,5,0.26,3,0.16,2,0.1,0,0.0,3,0.16,5,0.26,1,0.05,1,0.05,1,0.05,8,0.42,0,0.0,14,0.73,15,0.78,13,0.68,20,1.05,14,0.73,17,0.89,10,0.52,4,0.21,2,0.1,3,0.16,2,0.1,1,0.05,02004
2,5,2272,208,9.15,199,8.76,185,8.14,189,8.32,174,7.66,171,7.53,8,0.35,9,0.4,7,0.31,5,0.22,6,0.26,10,0.44,6,0.26,3,0.13,9,0.4,2,0.09,10,0.44,0,0.0,15,0.66,25,1.1,15,0.66,15,0.66,13,0.57,14,0.62,8,0.35,3,0.13,2,0.09,0,0.0,3,0.13,3,0.13,02005
2,6,1832,171,9.33,171,9.33,159,8.68,167,9.12,150,8.19,143,7.81,4,0.22,8,0.44,1,0.05,1,0.05,1,0.05,4,0.22,4,0.22,4,0.22,2,0.11,2,0.11,12,0.66,2,0.11,18,0.98,24,1.31,15,0.82,28,1.53,16,0.87,24,1.31,13,0.71,1,0.05,0,0.0,7,0.38,2,0.11,1,0.05,02006
2,7,1532,124,8.09,124,8.09,118,7.7,120,7.83,113,7.38,108,7.05,5,0.33,5,0.33,5,0.33,2,0.13,4,0.26,3,0.2,5,0.33,4,0.26,4,0.26,2,0.13,5,0.33,4,0.26,6,0.39,9,0.59,7,0.46,13,0.85,9,0.59,12,0.78,7,0.46,2,0.13,0,0.0,1,0.07,0,0.0,0,0.0,02007
2,8,2132,177,8.3,179,8.4,166,7.79,172,8.07,161,7.55,158,7.41,2,0.09,1,0.05,6,0.28,0,0.0,0,0.0,5,0.23,8,0.38,6,0.28,5,0.23,5,0.23,11,0.52,3,0.14,10,0.47,20,0.94,12,0.56,19,0.89,11,0.52,17,0.8,9,0.42,2,0.09,4,0.19,4,0.19,6,0.28,1,0.05,02008
2,12,713,24,3.37,24,3.37,24,3.37,23,3.23,24,3.37,23,3.23,0,0.0,2,0.28,1,0.14,1,0.14,0,0.0,4,0.56,8,1.12,7,0.98,7,0.98,6,0.84,7,0.98,4,0.56,2,0.28,3,0.42,2,0.28,2,0.28,2,0.28,2,0.28,2,0.28,1,0.14,1,0.14,1,0.14,2,0.28,1,0.14,02012
2,14,354,31,8.76,30,8.47,29,8.19,31,8.76,28,7.91,28,7.91,1,0.28,1,0.28,1,0.28,1,0.28,1,0.28,3,0.85,1,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.28,0,0.0,1,0.28,4,1.13,2,0.56,1,0.28,2,0.56,0,0.0,0,0.0,0,0.0,0,0.0,02014
2,15,1927,136,7.06,129,6.69,128,6.64,136,7.06,122,6.33,118,6.12,2,0.1,4,0.21,2,0.1,1,0.05,1,0.05,3,0.16,7,0.36,7,0.36,7,0.36,9,0.47,6,0.31,5,0.26,12,0.62,13,0.67,11,0.57,15,0.78,10,0.52,10,0.52,8,0.42,4,0.21,0,0.0,0,0.0,0,0.0,2,0.1,02015
2,16,1818,129,7.1,128,7.04,125,6.88,126,6.93,116,6.38,113,6.22,1,0.06,3,0.17,5,0.28,3,0.17,2,0.11,11,0.61,12,0.66,9,0.5,8,0.44,7,0.39,9,0.5,4,0.22,16,0.88,17,0.94,15,0.83,16,0.88,14,0.77,13,0.72,11,0.61,3,0.17,6,0.33,3,0.17,3,0.17,3,0.17,02016
2,17,58,5,8.62,3,5.17,3,5.17,3,5.17,2,3.45,2,3.45,0,0.0,0,0.0,1,1.72,0,0.0,0,0.0,1,1.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.72,0,0.0,0,0.0,0,0.0,1,1.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02017
2,20,1259,49,3.89,47,3.73,42,3.34,45,3.57,39,3.1,40,3.18,6,0.48,1,0.08,2,0.16,2,0.16,2,0.16,1,0.08,4,0.32,4,0.32,3,0.24,3,0.24,3,0.24,2,0.16,5,0.4,7,0.56,6,0.48,9,0.71,2,0.16,5,0.4,1,0.08,2,0.16,2,0.16,3,0.24,3,0.24,3,0.24,02020
2,21,2076,158,7.61,159,7.66,148,7.13,154,7.42,139,6.7,138,6.65,4,0.19,3,0.14,2,0.1,2,0.1,4,0.19,8,0.39,14,0.67,7,0.34,8,0.39,7,0.34,10,0.48,3,0.14,10,0.48,23,1.11,10,0.48,21,1.01,11,0.53,17,0.82,9,0.43,4,0.19,2,0.1,6,0.29,5,0.24,4,0.19,02021
2,22,2001,54,2.7,53,2.65,49,2.45,47,2.35,47,2.35,44,2.2,1,0.05,3,0.15,2,0.1,0,0.0,1,0.05,4,0.2,13,0.65,8,0.4,7,0.35,3,0.15,10,0.5,4,0.2,9,0.45,10,0.5,6,0.3,12,0.6,6,0.3,11,0.55,6,0.3,1,0.05,2,0.1,3,0.15,5,0.25,4,0.2,02022
2,24,1463,52,3.55,51,3.49,46,3.14,44,3.01,40,2.73,39,2.67,3,0.21,2,0.14,2,0.14,2,0.14,3,0.21,5,0.34,6,0.41,4,0.27,3,0.21,3,0.21,4,0.27,2,0.14,11,0.75,11,0.75,9,0.62,8,0.55,4,0.27,5,0.34,5,0.34,1,0.07,2,0.14,2,0.14,2,0.14,3,0.21,02024
2,25,2254,161,7.14,159,7.05,151,6.7,160,7.1,143,6.34,134,5.94,6,0.27,7,0.31,7,0.31,7,0.31,6,0.27,3,0.13,4,0.18,4,0.18,6,0.27,2,0.09,5,0.22,3,0.13,20,0.89,21,0.93,13,0.58,19,0.84,12,0.53,15,0.67,10,0.44,3,0.13,2,0.09,4,0.18,2,0.09,1,0.04,02025
2,26,1450,69,4.76,62,4.28,55,3.79,58,4.0,55,3.79,50,3.45,2,0.14,5,0.34,4,0.28,6,0.41,4,0.28,5,0.34,7,0.48,8,0.55,8,0.55,8,0.55,5,0.34,4,0.28,8,0.55,11,0.76,6,0.41,12,0.83,5,0.34,12,0.83,5,0.34,6,0.41,2,0.14,7,0.48,6,0.41,3,0.21,02026
2,28,1189,42,3.53,42,3.53,37,3.11,39,3.28,35,2.94,32,2.69,0,0.0,0,0.0,1,0.08,0,0.0,1,0.08,1,0.08,3,0.25,3,0.25,5,0.42,4,0.34,4,0.34,4,0.34,9,0.76,11,0.93,6,0.5,9,0.76,8,0.67,10,0.84,6,0.5,2,0.17,3,0.25,4,0.34,3,0.25,4,0.34,02028
2,30,1509,46,3.05,41,2.72,39,2.58,41,2.72,39,2.58,36,2.39,0,0.0,0,0.0,2,0.13,0,0.0,0,0.0,4,0.27,10,0.66,3,0.2,6,0.4,5,0.33,8,0.53,7,0.46,7,0.46,9,0.6,4,0.27,6,0.4,5,0.33,5,0.33,5,0.33,1,0.07,1,0.07,6,0.4,2,0.13,2,0.13,02030
2,31,2495,58,2.32,59,2.36,49,1.96,58,2.32,51,2.04,49,1.96,2,0.08,2,0.08,3,0.12,4,0.16,2,0.08,8,0.32,12,0.48,6,0.24,7,0.28,8,0.32,12,0.48,4,0.16,5,0.2,11,0.44,4,0.16,10,0.4,4,0.16,9,0.36,4,0.16,2,0.08,3,0.12,7,0.28,5,0.2,5,0.2,02031
2,33,3012,83,2.76,81,2.69,78,2.59,77,2.56,73,2.42,68,2.26,6,0.2,8,0.27,7,0.23,5,0.17,7,0.23,15,0.5,23,0.76,17,0.56,13,0.43,13,0.43,15,0.5,10,0.33,10,0.33,16,0.53,12,0.4,19,0.63,11,0.37,15,0.5,6,0.2,4,0.13,5,0.17,9,0.3,6,0.2,5,0.17,02033
2,37,1951,69,3.54,66,3.38,59,3.02,61,3.13,61,3.13,56,2.87,1,0.05,2,0.1,3,0.15,0,0.0,0,0.0,5,0.26,8,0.41,5,0.26,9,0.46,5,0.26,10,0.51,5,0.26,11,0.56,16,0.82,12,0.62,15,0.77,11,0.56,14,0.72,10,0.51,1,0.05,2,0.1,4,0.21,3,0.15,5,0.26,02037
2,38,355,3,0.85,3,0.85,3,0.85,3,0.85,3,0.85,2,0.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.28,1,0.28,3,0.85,2,0.56,1,0.28,1,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.28,1,0.28,1,0.28,1,0.28,1,0.28,02038
2,44,1169,36,3.08,35,2.99,34,2.91,33,2.82,31,2.65,31,2.65,2,0.17,1,0.09,2,0.17,1,0.09,1,0.09,3,0.26,4,0.34,3,0.26,3,0.26,2,0.17,4,0.34,1,0.09,4,0.34,7,0.6,3,0.26,7,0.6,4,0.34,4,0.34,3,0.26,2,0.17,3,0.26,5,0.43,4,0.34,3,0.26,02044
26,28,1117,100,8.95,95,8.5,89,7.97,94,8.42,85,7.61,81,7.25,4,0.36,5,0.45,6,0.54,3,0.27,5,0.45,6,0.54,3,0.27,3,0.27,3,0.27,2,0.18,6,0.54,2,0.18,10,0.9,8,0.72,5,0.45,7,0.63,7,0.63,8,0.72,3,0.27,3,0.27,2,0.18,1,0.09,2,0.18,0,0.0,26028
26,32,1428,107,7.49,103,7.21,97,6.79,110,7.7,96,6.72,95,6.65,5,0.35,9,0.63,6,0.42,4,0.28,3,0.21,6,0.42,6,0.42,1,0.07,4,0.28,2,0.14,5,0.35,0,0.0,11,0.77,9,0.63,7,0.49,15,1.05,14,0.98,12,0.84,4,0.28,6,0.42,4,0.28,8,0.56,6,0.42,4,0.28,26032
27,7,2281,208,9.12,200,8.77,183,8.02,199,8.72,178,7.8,172,7.54,4,0.18,6,0.26,5,0.22,3,0.13,4,0.18,10,0.44,13,0.57,6,0.26,7,0.31,7,0.31,11,0.48,2,0.09,16,0.7,27,1.18,18,0.79,28,1.23,15,0.66,28,1.23,11,0.48,4,0.18,0,0.0,1,0.04,1,0.04,4,0.18,27007
27,12,1073,48,4.47,49,4.57,42,3.91,40,3.73,39,3.63,39,3.63,1,0.09,2,0.19,2,0.19,1,0.09,0,0.0,2,0.19,4,0.37,2,0.19,2,0.19,2,0.19,4,0.37,1,0.09,8,0.75,11,1.03,9,0.84,12,1.12,7,0.65,12,1.12,8,0.75,0,0.0,0,0.0,1,0.09,1,0.09,2,0.19,27012
27,13,554,55,9.93,56,10.11,54,9.75,55,9.93,50,9.03,47,8.48,3,0.54,3,0.54,3,0.54,4,0.72,2,0.36,1,0.18,4,0.72,1,0.18,2,0.36,1,0.18,3,0.54,1,0.18,8,1.44,7,1.26,6,1.08,6,1.08,4,0.72,3,0.54,3,0.54,1,0.18,0,0.0,1,0.18,1,0.18,0,0.0,27013
27,27,79,7,8.86,7,8.86,5,6.33,5,6.33,6,7.59,6,7.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.27,0,0.0,1,1.27,1,1.27,0,0.0,1,1.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27027
27,35,64,8,12.5,8,12.5,8,12.5,8,12.5,8,12.5,8,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.56,1,1.56,1,1.56,1,1.56,1,1.56,1,1.56,1,1.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27035
27,37,147,1,0.68,1,0.68,1,0.68,2,1.36,1,0.68,1,0.68,0,0.0,1,0.68,1,0.68,1,0.68,1,0.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.68,0,0.0,0,0.0,27037
27,40,55,3,5.45,4,7.27,2,3.64,3,5.45,2,3.64,2,3.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.82,2,3.64,1,1.82,2,3.64,1,1.82,2,3.64,1,1.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27040
27,42,695,50,7.19,46,6.62,42,6.04,43,6.19,41,5.9,40,5.76,2,0.29,3,0.43,3,0.43,2,0.29,1,0.14,0,0.0,2,0.29,1,0.14,2,0.29,1,0.14,2,0.29,1,0.14,2,0.29,4,0.58,0,0.0,6,0.86,1,0.14,3,0.43,0,0.0,1,0.14,1,0.14,1,0.14,0,0.0,1,0.14,27042
27,43,56,7,12.5,7,12.5,7,12.5,7,12.5,7,12.5,7,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27043
27,46,1275,41,3.22,34,2.67,35,2.75,34,2.67,32,2.51,30,2.35,3,0.24,1,0.08,2,0.16,4,0.31,1,0.08,5,0.39,7,0.55,7,0.55,6,0.47,5,0.39,6,0.47,5,0.39,5,0.39,6,0.47,5,0.39,12,0.94,5,0.39,9,0.71,6,0.47,1,0.08,0,0.0,1,0.08,2,0.16,0,0.0,27046
29,23,448,30,6.7,30,6.7,25,5.58,28,6.25,25,5.58,23,5.13,1,0.22,1,0.22,1,0.22,1,0.22,2,0.45,2,0.45,2,0.45,2,0.45,2,0.45,1,0.22,2,0.45,1,0.22,3,0.67,4,0.89,3,0.67,8,1.79,3,0.67,3,0.67,2,0.45,2,0.45,1,0.22,1,0.22,1,0.22,1,0.22,29023
29,29,1227,81,6.6,74,6.03,67,5.46,85,6.93,66,5.38,60,4.89,4,0.33,7,0.57,11,0.9,5,0.41,5,0.41,8,0.65,4,0.33,5,0.41,2,0.16,1,0.08,5,0.41,1,0.08,10,0.81,6,0.49,2,0.16,10,0.81,9,0.73,3,0.24,3,0.24,5,0.41,3,0.24,1,0.08,1,0.08,6,0.49,29029
29,31,893,54,6.05,50,5.6,49,5.49,59,6.61,42,4.7,39,4.37,5,0.56,3,0.34,3,0.34,3,0.34,2,0.22,7,0.78,4,0.45,6,0.67,4,0.45,5,0.56,8,0.9,3,0.34,7,0.78,8,0.9,2,0.22,8,0.9,3,0.34,5,0.56,1,0.11,5,0.56,4,0.45,3,0.34,3,0.34,2,0.22,29031
29,32,987,69,6.99,73,7.4,66,6.69,72,7.29,62,6.28,57,5.78,4,0.41,5,0.51,5,0.51,1,0.1,1,0.1,6,0.61,0,0.0,0,0.0,1,0.1,0,0.0,2,0.2,1,0.1,2,0.2,3,0.3,3,0.3,2,0.2,1,0.1,2,0.2,1,0.1,5,0.51,5,0.51,4,0.41,5,0.51,7,0.71,29032
29,38,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29038
