ward,precinct,total,Jesse G Reyes,Jesse G Reyes Percent,"P. Scott Neville, Jr.","P. Scott Neville, Jr. Percent",Shelly A. Harris,Shelly A. Harris Percent,Cynthia Y. Cobbs,Cynthia Y. Cobbs Percent,Daniel Epstein,Daniel Epstein Percent,Nathaniel Roosevelt Howse,Nathaniel Roosevelt Howse Percent,precinct_id
2,29,252,34,13.49,61,24.21,37,14.68,31,12.3,32,12.7,14,5.56,02029
2,30,206,17,8.25,68,33.01,17,8.25,21,10.19,24,11.65,10,4.85,02030
2,31,318,20,6.29,106,33.33,54,16.98,21,6.6,28,8.81,15,4.72,02031
2,32,168,29,17.26,38,22.62,27,16.07,16,9.52,20,11.9,8,4.76,02032
2,33,394,38,9.64,118,29.95,69,17.51,33,8.38,34,8.63,16,4.06,02033
2,34,225,20,8.89,85,37.78,23,10.22,13,5.78,34,15.11,10,4.44,02034
2,35,248,18,7.26,71,28.63,41,16.53,37,14.92,26,10.48,16,6.45,02035
2,36,229,33,14.41,55,24.02,33,14.41,26,11.35,27,11.79,10,4.37,02036
2,37,251,28,11.16,71,28.29,33,13.15,28,11.16,14,5.58,11,4.38,02037
2,38,200,21,10.5,69,34.5,22,11.0,13,6.5,19,9.5,6,3.0,02038
2,39,127,17,13.39,33,25.98,24,18.9,15,11.81,16,12.6,5,3.94,02039
2,40,191,32,16.75,48,25.13,27,14.14,22,11.52,28,14.66,7,3.66,02040
2,41,206,30,14.56,51,24.76,32,15.53,26,12.62,23,11.17,11,5.34,02041
2,42,218,31,14.22,63,28.9,36,16.51,28,12.84,25,11.47,6,2.75,02042
2,43,241,25,10.37,65,26.97,24,9.96,33,13.69,36,14.94,9,3.73,02043
2,44,152,23,15.13,45,29.61,15,9.87,14,9.21,12,7.89,6,3.95,02044
2,45,257,47,18.29,70,27.24,34,13.23,27,10.51,27,10.51,11,4.28,02045
2,46,145,13,8.97,40,27.59,20,13.79,20,13.79,21,14.48,4,2.76,02046
3,1,360,41,11.39,112,31.11,65,18.06,66,18.33,6,1.67,57,15.83,03001
3,2,416,45,10.82,143,34.38,65,15.63,63,15.14,12,2.88,69,16.59,03002
3,3,179,30,16.76,63,35.2,23,12.85,25,13.97,7,3.91,26,14.53,03003
3,4,372,34,9.14,166,44.62,45,12.1,56,15.05,11,2.96,51,13.71,03004
3,5,171,33,19.3,38,22.22,31,18.13,27,15.79,7,4.09,29,16.96,03005
3,6,349,50,14.33,114,32.66,46,13.18,39,11.17,22,6.3,24,6.88,03006
3,7,224,23,10.27,76,33.93,49,21.88,34,15.18,4,1.79,31,13.84,03007
3,8,198,23,11.62,57,28.79,38,19.19,38,19.19,11,5.56,24,12.12,03008
3,9,352,43,12.22,136,38.64,53,15.06,77,21.88,5,1.42,31,8.81,03009
3,10,124,30,24.19,33,26.61,25,20.16,14,11.29,0,0.0,19,15.32,03010
3,11,286,26,9.09,99,34.62,63,22.03,42,14.69,4,1.4,42,14.69,03011
3,12,321,30,9.35,126,39.25,45,14.02,44,13.71,14,4.36,47,14.64,03012
3,13,338,41,12.13,119,35.21,27,7.99,36,10.65,21,6.21,31,9.17,03013
3,14,315,55,17.46,101,32.06,37,11.75,43,13.65,28,8.89,19,6.03,03014
3,15,233,29,12.45,64,27.47,54,23.18,40,17.17,5,2.15,35,15.02,03015
3,16,251,38,15.14,80,31.87,38,15.14,40,15.94,8,3.19,31,12.35,03016
3,17,391,46,11.76,98,25.06,70,17.9,74,18.93,23,5.88,43,11.0,03017
3,18,377,66,17.51,99,26.26,61,16.18,76,20.16,15,3.98,46,12.2,03018
3,19,301,33,10.96,131,43.52,35,11.63,26,8.64,12,3.99,32,10.63,03019
3,20,336,46,13.69,95,28.27,63,18.75,59,17.56,9,2.68,48,14.29,03020
3,21,322,37,11.49,123,38.2,41,12.73,29,9.01,10,3.11,44,13.66,03021
3,22,344,50,14.53,104,30.23,33,9.59,63,18.31,29,8.43,28,8.14,03022
3,23,215,34,15.81,49,22.79,44,20.47,43,20.0,3,1.4,29,13.49,03023
3,24,240,30,12.5,72,30.0,38,15.83,45,18.75,10,4.17,33,13.75,03024
3,25,457,54,11.82,162,35.45,45,9.85,41,8.97,41,8.97,32,7.0,03025
3,26,339,52,15.34,141,41.59,29,8.55,32,9.44,24,7.08,27,7.96,03026
3,27,329,64,19.45,102,31.0,33,10.03,48,14.59,18,5.47,22,6.69,03027
3,28,205,36,17.56,54,26.34,44,21.46,27,13.17,4,1.95,27,13.17,03028
3,29,278,51,18.35,62,22.3,58,20.86,49,17.63,7,2.52,35,12.59,03029
3,30,269,26,9.67,119,44.24,50,18.59,30,11.15,6,2.23,32,11.9,03030
3,31,356,45,12.64,133,37.36,50,14.04,69,19.38,12,3.37,35,9.83,03031
3,32,336,38,11.31,117,34.82,33,9.82,49,14.58,23,6.85,32,9.52,03032
3,33,326,34,10.43,109,33.44,34,10.43,52,15.95,22,6.75,24,7.36,03033
3,34,348,45,12.93,105,30.17,43,12.36,51,14.66,28,8.05,28,8.05,03034
3,35,138,18,13.04,49,35.51,18,13.04,25,18.12,4,2.9,18,13.04,03035
3,36,138,21,15.22,29,21.01,37,26.81,24,17.39,4,2.9,17,12.32,03036
3,37,260,32,12.31,77,29.62,46,17.69,41,15.77,14,5.38,35,13.46,03037
3,38,262,37,14.12,105,40.08,45,17.18,28,10.69,6,2.29,34,12.98,03038
3,39,358,29,8.1,141,39.39,38,10.61,57,15.92,27,7.54,26,7.26,03039
3,40,234,40,17.09,85,36.32,35,14.96,24,10.26,11,4.7,23,9.83,03040
3,41,245,30,12.24,80,32.65,31,12.65,39,15.92,15,6.12,35,14.29,03041
4,1,434,40,9.22,186,42.86,27,6.22,55,12.67,81,18.66,18,4.15,04001
4,2,346,47,13.58,132,38.15,35,10.12,48,13.87,19,5.49,17,4.91,04002
4,3,255,43,16.86,99,38.82,39,15.29,41,16.08,10,3.92,14,5.49,04003
4,4,406,47,11.58,166,40.89,75,18.47,69,17.0,9,2.22,26,6.4,04004
4,5,375,38,10.13,164,43.73,61,16.27,62,16.53,14,3.73,20,5.33,04005
4,6,421,40,9.5,186,44.18,74,17.58,60,14.25,13,3.09,33,7.84,04006
4,7,397,34,8.56,186,46.85,53,13.35,68,17.13,13,3.27,25,6.3,04007
4,8,370,25,6.76,187,50.54,45,12.16,58,15.68,8,2.16,35,9.46,04008
4,9,443,36,8.13,231,52.14,55,12.42,64,14.45,6,1.35,38,8.58,04009
4,10,416,47,11.3,188,45.19,50,12.02,74,17.79,15,3.61,31,7.45,04010
4,11,281,29,10.32,145,51.6,38,13.52,32,11.39,7,2.49,19,6.76,04011
4,12,383,38,9.92,168,43.86,54,14.1,51,13.32,10,2.61,45,11.75,04012
4,13,321,55,17.13,87,27.1,41,12.77,55,17.13,28,8.72,11,3.43,04013
4,14,292,25,8.56,128,43.84,55,18.84,44,15.07,8,2.74,21,7.19,04014
4,15,378,44,11.64,145,38.36,61,16.14,74,19.58,14,3.7,25,6.61,04015
4,16,435,56,12.87,143,32.87,58,13.33,57,13.1,41,9.43,24,5.52,04016
4,17,334,38,11.38,122,36.53,39,11.68,47,14.07,31,9.28,12,3.59,04017
4,18,334,51,15.27,142,42.51,58,17.37,45,13.47,7,2.1,16,4.79,04018
4,19,230,43,18.7,60,26.09,50,21.74,44,19.13,3,1.3,18,7.83,04019
4,20,279,41,14.7,108,38.71,30,10.75,22,7.89,28,10.04,8,2.87,04020
4,21,338,56,16.57,90,26.63,56,16.57,42,12.43,33,9.76,15,4.44,04021
4,22,332,22,6.63,175,52.71,27,8.13,33,9.94,27,8.13,24,7.23,04022
4,23,422,39,9.24,208,49.29,36,8.53,35,8.29,66,15.64,15,3.55,04023
4,24,308,29,9.42,155,50.32,27,8.77,41,13.31,21,6.82,18,5.84,04024
4,25,342,51,14.91,110,32.16,49,14.33,42,12.28,21,6.14,18,5.26,04025
4,26,292,35,11.99,150,51.37,31,10.62,41,14.04,7,2.4,21,7.19,04026
4,27,425,46,10.82,190,44.71,31,7.29,52,12.24,55,12.94,21,4.94,04027
4,28,293,34,11.6,116,39.59,39,13.31,51,17.41,14,4.78,22,7.51,04028
4,29,271,37,13.65,104,38.38,39,14.39,50,18.45,9,3.32,18,6.64,04029
4,30,383,42,10.97,155,40.47,72,18.8,63,16.45,11,2.87,30,7.83,04030
4,31,421,32,7.6,252,59.86,48,11.4,35,8.31,7,1.66,28,6.65,04031
4,32,338,34,10.06,159,47.04,55,16.27,50,14.79,5,1.48,25,7.4,04032
4,33,331,27,8.16,149,45.02,48,14.5,41,12.39,25,7.55,18,5.44,04033
4,34,282,26,9.22,125,44.33,41,14.54,44,15.6,5,1.77,22,7.8,04034
4,35,363,35,9.64,194,53.44,39,10.74,41,11.29,9,2.48,35,9.64,04035
4,36,384,42,10.94,172,44.79,42,10.94,59,15.36,17,4.43,30,7.81,04036
4,37,481,59,12.27,176,36.59,44,9.15,73,15.18,39,8.11,17,3.53,04037
4,38,352,30,8.52,174,49.43,44,12.5,52,14.77,9,2.56,32,9.09,04038
5,1,236,34,14.41,87,36.86,42,17.8,40,16.95,6,2.54,16,6.78,05001
5,2,213,19,8.92,66,30.99,48,22.54,50,23.47,7,3.29,15,7.04,05002
5,3,325,36,11.08,129,39.69,25,7.69,42,12.92,58,17.85,13,4.0,05003
5,4,391,33,8.44,154,39.39,53,13.55,67,17.14,44,11.25,28,7.16,05004
5,5,255,42,16.47,78,30.59,47,18.43,43,16.86,11,4.31,18,7.06,05005
5,6,237,35,14.77,93,39.24,35,14.77,44,18.57,4,1.69,21,8.86,05006
5,7,317,44,13.88,106,33.44,43,13.56,70,22.08,17,5.36,20,6.31,05007
5,8,344,29,8.43,175,50.87,15,4.36,20,5.81,59,17.15,10,2.91,05008
5,9,406,35,8.62,172,42.36,57,14.04,51,12.56,41,10.1,23,5.67,05009
5,10,221,19,8.6,77,34.84,57,25.79,40,18.1,6,2.71,13,5.88,05010
5,11,338,38,11.24,135,39.94,32,9.47,45,13.31,37,10.95,19,5.62,05011
5,12,183,18,9.84,72,39.34,37,20.22,32,17.49,5,2.73,10,5.46,05012
5,13,260,30,11.54,99,38.08,51,19.62,49,18.85,6,2.31,15,5.77,05013
5,14,279,17,6.09,133,47.67,47,16.85,45,16.13,3,1.08,22,7.89,05014
5,15,297,27,9.09,130,43.77,40,13.47,47,15.82,28,9.43,9,3.03,05015
5,16,261,22,8.43,90,34.48,65,24.9,50,19.16,11,4.21,15,5.75,05016
5,17,205,33,16.1,55,26.83,46,22.44,37,18.05,7,3.41,14,6.83,05017
5,18,304,35,11.51,137,45.07,22,7.24,41,13.49,47,15.46,11,3.62,05018
5,19,323,28,8.67,161,49.85,19,5.88,26,8.05,48,14.86,17,5.26,05019
5,20,390,27,6.92,191,48.97,38,9.74,54,13.85,35,8.97,29,7.44,05020
5,21,324,42,12.96,116,35.8,32,9.88,43,13.27,46,14.2,21,6.48,05021
5,22,392,28,7.14,209,53.32,36,9.18,40,10.2,24,6.12,20,5.1,05022
5,23,531,42,7.91,256,48.21,37,6.97,55,10.36,71,13.37,33,6.21,05023
5,24,355,32,9.01,160,45.07,17,4.79,59,16.62,54,15.21,17,4.79,05024
5,25,288,25,8.68,154,53.47,40,13.89,30,10.42,6,2.08,23,7.99,05025
5,26,279,29,10.39,99,35.48,58,20.79,53,19.0,6,2.15,27,9.68,05026
5,27,319,32,10.03,132,41.38,18,5.64,34,10.66,71,22.26,12,3.76,05027
5,28,326,37,11.35,146,44.79,43,13.19,51,15.64,8,2.45,31,9.51,05028
5,29,292,29,9.93,123,42.12,51,17.47,51,17.47,8,2.74,22,7.53,05029
5,30,196,27,13.78,64,32.65,41,20.92,35,17.86,3,1.53,19,9.69,05030
5,31,201,24,11.94,78,38.81,37,18.41,32,15.92,3,1.49,19,9.45,05031
5,32,336,27,8.04,164,48.81,48,14.29,49,14.58,8,2.38,31,9.23,05032
5,33,317,54,17.03,91,28.71,75,23.66,56,17.67,7,2.21,31,9.78,05033
5,34,366,34,9.29,178,48.63,17,4.64,31,8.47,55,15.03,17,4.64,05034
5,35,381,27,7.09,167,43.83,37,9.71,49,12.86,49,12.86,17,4.46,05035
5,36,108,12,11.11,37,34.26,24,22.22,15,13.89,7,6.48,10,9.26,05036
5,37,335,29,8.66,156,46.57,28,8.36,38,11.34,47,14.03,21,6.27,05037
5,38,240,26,10.83,73,30.42,61,25.42,50,20.83,5,2.08,17,7.08,05038
5,39,266,19,7.14,124,46.62,23,8.65,18,6.77,27,10.15,25,9.4,05039
5,40,218,17,7.8,102,46.79,42,19.27,23,10.55,5,2.29,20,9.17,05040
5,41,192,14,7.29,113,58.85,16,8.33,17,8.85,11,5.73,9,4.69,05041
6,1,296,26,8.78,131,44.26,47,15.88,51,17.23,4,1.35,25,8.45,06001
6,2,306,30,9.8,127,41.5,49,16.01,55,17.97,5,1.63,27,8.82,06002
6,3,282,35,12.41,131,46.45,49,17.38,36,12.77,3,1.06,20,7.09,06003
6,4,173,30,17.34,48,27.75,37,21.39,41,23.7,4,2.31,6,3.47,06004
6,5,142,24,16.9,41,28.87,23,16.2,32,22.54,3,2.11,14,9.86,06005
6,6,284,24,8.45,123,43.31,42,14.79,56,19.72,6,2.11,29,10.21,06006
6,7,225,33,14.67,83,36.89,41,18.22,37,16.44,2,0.89,19,8.44,06007
6,8,269,24,8.92,138,51.3,40,14.87,48,17.84,1,0.37,12,4.46,06008
6,9,197,32,16.24,65,32.99,51,25.89,26,13.2,3,1.52,13,6.6,06009
6,10,150,16,10.67,53,35.33,34,22.67,29,19.33,6,4.0,8,5.33,06010
6,11,211,30,14.22,57,27.01,45,21.33,53,25.12,2,0.95,15,7.11,06011
6,12,168,18,10.71,47,27.98,49,29.17,31,18.45,5,2.98,10,5.95,06012
6,13,196,26,13.27,79,40.31,33,16.84,44,22.45,2,1.02,7,3.57,06013
6,14,231,21,9.09,104,45.02,44,19.05,36,15.58,2,0.87,18,7.79,06014
6,15,200,47,23.5,50,25.0,38,19.0,28,14.0,4,2.0,19,9.5,06015
6,16,302,28,9.27,130,43.05,50,16.56,54,17.88,2,0.66,27,8.94,06016
6,17,148,23,15.54,44,29.73,28,18.92,35,23.65,2,1.35,10,6.76,06017
6,18,190,38,20.0,45,23.68,49,25.79,37,19.47,4,2.11,6,3.16,06018
6,19,193,27,13.99,69,35.75,32,16.58,40,20.73,3,1.55,15,7.77,06019
6,20,129,18,13.95,34,26.36,25,19.38,36,27.91,1,0.78,10,7.75,06020
6,21,105,24,22.86,20,19.05,22,20.95,25,23.81,2,1.9,8,7.62,06021
6,22,169,31,18.34,31,18.34,33,19.53,38,22.49,8,4.73,13,7.69,06022
6,23,102,14,13.73,19,18.63,21,20.59,17,16.67,2,1.96,26,25.49,06023
6,24,122,24,19.67,28,22.95,22,18.03,25,20.49,7,5.74,10,8.2,06024
6,25,107,17,15.89,36,33.64,17,15.89,29,27.1,1,0.93,4,3.74,06025
6,26,142,16,11.27,39,27.46,27,19.01,35,24.65,7,4.93,9,6.34,06026
6,27,117,15,12.82,32,27.35,21,17.95,34,29.06,3,2.56,6,5.13,06027
6,28,101,23,22.77,30,29.7,19,18.81,14,13.86,4,3.96,8,7.92,06028
6,29,276,16,5.8,149,53.99,29,10.51,44,15.94,5,1.81,23,8.33,06029
6,30,190,31,16.32,70,36.84,32,16.84,37,19.47,3,1.58,11,5.79,06030
6,31,283,21,7.42,154,54.42,37,13.07,44,15.55,2,0.71,20,7.07,06031
6,32,237,30,12.66,115,48.52,42,17.72,26,10.97,2,0.84,17,7.17,06032
6,33,232,26,11.21,101,43.53,41,17.67,26,11.21,6,2.59,16,6.9,06033
6,34,260,28,10.77,107,41.15,50,19.23,52,20.0,2,0.77,14,5.38,06034
6,35,254,9,3.54,105,41.34,50,19.69,51,20.08,4,1.57,18,7.09,06035
6,36,308,38,12.34,132,42.86,61,19.81,42,13.64,7,2.27,19,6.17,06036
6,37,307,21,6.84,179,58.31,38,12.38,42,13.68,4,1.3,16,5.21,06037
6,38,290,22,7.59,149,51.38,40,13.79,46,15.86,3,1.03,19,6.55,06038
6,39,180,20,11.11,66,36.67,31,17.22,34,18.89,5,2.78,14,7.78,06039
6,40,210,18,8.57,92,43.81,37,17.62,36,17.14,1,0.48,21,10.0,06040
6,41,261,31,11.88,114,43.68,39,14.94,41,15.71,4,1.53,27,10.34,06041
6,42,221,30,13.57,80,36.2,37,16.74,45,20.36,2,0.9,22,9.95,06042
6,43,215,28,13.02,93,43.26,34,15.81,29,13.49,6,2.79,16,7.44,06043
6,44,250,38,15.2,95,38.0,51,20.4,37,14.8,5,2.0,15,6.0,06044
6,45,281,24,8.54,137,48.75,44,15.66,42,14.95,6,2.14,20,7.12,06045
6,46,177,28,15.82,59,33.33,37,20.9,36,20.34,4,2.26,11,6.21,06046
6,47,179,30,16.76,57,31.84,41,22.91,26,14.53,5,2.79,13,7.26,06047
6,48,224,19,8.48,96,42.86,47,20.98,37,16.52,3,1.34,13,5.8,06048
7,1,211,26,12.32,84,39.81,40,18.96,38,18.01,3,1.42,15,7.11,07001
7,2,201,30,14.93,59,29.35,44,21.89,39,19.4,4,1.99,14,6.97,07002
7,3,264,28,10.61,125,47.35,42,15.91,39,14.77,3,1.14,18,6.82,07003
7,4,227,24,10.57,100,44.05,39,17.18,35,15.42,2,0.88,23,10.13,07004
7,5,201,30,14.93,65,32.34,44,21.89,27,13.43,10,4.98,17,8.46,07005
7,6,302,28,9.27,122,40.4,46,15.23,53,17.55,11,3.64,29,9.6,07006
7,7,195,33,16.92,65,33.33,37,18.97,33,16.92,4,2.05,15,7.69,07007
7,8,133,17,12.78,40,30.08,30,22.56,25,18.8,3,2.26,10,7.52,07008
7,9,404,43,10.64,154,38.12,68,16.83,77,19.06,10,2.48,33,8.17,07009
7,10,256,33,12.89,107,41.8,39,15.23,44,17.19,2,0.78,20,7.81,07010
7,11,218,35,16.06,74,33.94,33,15.14,42,19.27,8,3.67,17,7.8,07011
7,12,200,29,14.5,49,24.5,55,27.5,43,21.5,5,2.5,12,6.0,07012
7,13,162,31,19.14,54,33.33,35,21.6,17,10.49,3,1.85,15,9.26,07013
7,14,219,29,13.24,80,36.53,37,16.89,30,13.7,12,5.48,18,8.22,07014
7,15,226,26,11.5,111,49.12,31,13.72,28,12.39,5,2.21,16,7.08,07015
7,16,163,25,15.34,48,29.45,32,19.63,34,20.86,6,3.68,12,7.36,07016
7,17,192,26,13.54,56,29.17,49,25.52,31,16.15,4,2.08,14,7.29,07017
7,18,155,24,15.48,53,34.19,29,18.71,21,13.55,2,1.29,18,11.61,07018
7,19,186,24,12.9,80,43.01,34,18.28,27,14.52,1,0.54,11,5.91,07019
7,20,157,19,12.1,50,31.85,44,28.03,24,15.29,3,1.91,10,6.37,07020
7,21,148,34,22.97,43,29.05,33,22.3,27,18.24,2,1.35,5,3.38,07021
7,22,178,44,24.72,49,27.53,33,18.54,26,14.61,3,1.69,12,6.74,07022
7,23,238,18,7.56,112,47.06,46,19.33,36,15.13,3,1.26,18,7.56,07023
7,24,161,22,13.66,59,36.65,37,22.98,21,13.04,3,1.86,13,8.07,07024
7,25,174,47,27.01,42,24.14,38,21.84,28,16.09,1,0.57,10,5.75,07025
7,26,195,17,8.72,98,50.26,29,14.87,28,14.36,2,1.03,12,6.15,07026
7,27,177,23,12.99,73,41.24,32,18.08,28,15.82,2,1.13,14,7.91,07027
7,28,143,22,15.38,47,32.87,26,18.18,28,19.58,4,2.8,9,6.29,07028
7,29,188,24,12.77,89,47.34,23,12.23,32,17.02,3,1.6,11,5.85,07029
7,30,139,45,32.37,46,33.09,21,15.11,20,14.39,0,0.0,4,2.88,07030
7,31,132,35,26.52,42,31.82,25,18.94,18,13.64,2,1.52,5,3.79,07031
7,32,352,33,9.38,184,52.27,52,14.77,49,13.92,4,1.14,17,4.83,07032
7,33,334,33,9.88,150,44.91,58,17.37,53,15.87,6,1.8,25,7.49,07033
7,34,292,28,9.59,122,41.78,54,18.49,47,16.1,4,1.37,26,8.9,07034
7,35,236,47,19.92,85,36.02,43,18.22,35,14.83,3,1.27,13,5.51,07035
7,36,292,30,10.27,136,46.58,52,17.81,49,16.78,4,1.37,15,5.14,07036
7,37,234,33,14.1,102,43.59,37,15.81,36,15.38,1,0.43,18,7.69,07037
7,38,187,17,9.09,85,45.45,36,19.25,34,18.18,1,0.53,13,6.95,07038
7,39,216,24,11.11,88,40.74,37,17.13,40,18.52,4,1.85,12,5.56,07039
7,40,215,20,9.3,96,44.65,40,18.6,38,17.67,1,0.47,14,6.51,07040
7,41,216,23,10.65,91,42.13,38,17.59,37,17.13,2,0.93,19,8.8,07041
7,42,194,26,13.4,99,51.03,28,14.43,26,13.4,1,0.52,9,4.64,07042
7,43,212,26,12.26,90,42.45,47,22.17,30,14.15,1,0.47,8,3.77,07043
7,44,190,27,14.21,84,44.21,31,16.32,34,17.89,7,3.68,3,1.58,07044
7,45,197,27,13.71,79,40.1,39,19.8,30,15.23,6,3.05,11,5.58,07045
