ward,precinct,total,Eileen Marie O'Connor,Eileen Marie O'Connor Percent,Cory Eli Oshita,Cory Eli Oshita Percent,Anthony Lucafo,Anthony Lucafo Percent,precinct_id
2,16,211,119,56.4,30,14.22,62,29.38,02016
2,17,301,175,58.14,45,14.95,81,26.91,02017
2,20,30,19,63.33,7,23.33,4,13.33,02020
2,21,275,152,55.27,70,25.45,53,19.27,02021
2,25,246,143,58.13,36,14.63,67,27.24,02025
26,1,178,107,60.11,41,23.03,30,16.85,26001
26,2,49,25,51.02,15,30.61,9,18.37,26002
26,3,187,124,66.31,39,20.86,24,12.83,26003
26,4,108,67,62.04,22,20.37,19,17.59,26004
26,5,192,101,52.6,58,30.21,33,17.19,26005
26,6,158,89,56.33,36,22.78,33,20.89,26006
26,7,198,131,66.16,38,19.19,29,14.65,26007
26,8,93,53,56.99,21,22.58,19,20.43,26008
26,9,144,80,55.56,30,20.83,34,23.61,26009
26,10,53,28,52.83,18,33.96,7,13.21,26010
26,11,170,79,46.47,46,27.06,45,26.47,26011
26,12,187,98,52.41,60,32.09,29,15.51,26012
26,13,95,55,57.89,22,23.16,18,18.95,26013
26,14,137,81,59.12,33,24.09,23,16.79,26014
26,15,90,47,52.22,19,21.11,24,26.67,26015
26,16,75,41,54.67,19,25.33,15,20.0,26016
26,18,75,38,50.67,25,33.33,12,16.0,26018
26,19,103,54,52.43,32,31.07,17,16.5,26019
26,20,168,91,54.17,36,21.43,41,24.4,26020
26,21,204,128,62.75,44,21.57,32,15.69,26021
26,22,82,40,48.78,20,24.39,22,26.83,26022
26,23,135,87,64.44,21,15.56,27,20.0,26023
26,24,106,60,56.6,32,30.19,14,13.21,26024
26,25,127,65,51.18,41,32.28,21,16.54,26025
26,26,108,64,59.26,30,27.78,14,12.96,26026
26,27,174,109,62.64,38,21.84,27,15.52,26027
26,28,226,131,57.96,31,13.72,64,28.32,26028
26,29,77,34,44.16,32,41.56,11,14.29,26029
26,30,139,73,52.52,43,30.94,23,16.55,26030
26,31,88,47,53.41,20,22.73,21,23.86,26031
26,32,186,102,54.84,39,20.97,45,24.19,26032
26,33,195,121,62.05,41,21.03,33,16.92,26033
26,34,160,94,58.75,34,21.25,32,20.0,26034
26,35,150,78,52.0,43,28.67,29,19.33,26035
26,36,156,105,67.31,19,12.18,32,20.51,26036
26,37,165,92,55.76,33,20.0,40,24.24,26037
26,38,65,35,53.85,17,26.15,13,20.0,26038
26,39,185,113,61.08,42,22.7,30,16.22,26039
26,40,134,83,61.94,29,21.64,22,16.42,26040
26,41,176,102,57.95,33,18.75,41,23.3,26041
26,42,140,70,50.0,57,40.71,13,9.29,26042
26,43,96,50,52.08,25,26.04,21,21.88,26043
26,44,64,41,64.06,13,20.31,10,15.63,26044
26,45,75,47,62.67,13,17.33,15,20.0,26045
26,47,98,47,47.96,27,27.55,24,24.49,26047
26,48,172,89,51.74,46,26.74,37,21.51,26048
26,49,76,49,64.47,14,18.42,13,17.11,26049
27,1,260,149,57.31,39,15.0,72,27.69,27001
27,5,6,2,33.33,2,33.33,2,33.33,27005
27,7,265,156,58.87,52,19.62,57,21.51,27007
27,11,116,74,63.79,22,18.97,20,17.24,27011
27,13,304,139,45.72,66,21.71,99,32.57,27013
27,16,8,4,50.0,2,25.0,2,25.0,27016
27,24,14,9,64.29,3,21.43,2,14.29,27024
27,27,11,8,72.73,1,9.09,2,18.18,27027
27,33,43,27,62.79,7,16.28,9,20.93,27033
27,35,27,18,66.67,4,14.81,5,18.52,27035
27,40,212,105,49.53,35,16.51,72,33.96,27040
27,43,10,6,60.0,0,0.0,4,40.0,27043
27,45,13,7,53.85,2,15.38,4,30.77,27045
30,14,129,78,60.47,23,17.83,28,21.71,30014
30,19,186,112,60.22,37,19.89,37,19.89,30019
31,1,101,55,54.46,28,27.72,18,17.82,31001
31,2,92,52,56.52,22,23.91,18,19.57,31002
31,4,142,94,66.2,31,21.83,17,11.97,31004
31,5,146,76,52.05,36,24.66,34,23.29,31005
31,6,78,41,52.56,19,24.36,18,23.08,31006
31,7,240,140,58.33,51,21.25,49,20.42,31007
31,10,155,84,54.19,28,18.06,43,27.74,31010
31,13,136,76,55.88,33,24.26,27,19.85,31013
31,16,218,107,49.08,54,24.77,57,26.15,31016
31,17,71,43,60.56,20,28.17,8,11.27,31017
31,18,113,63,55.75,23,20.35,27,23.89,31018
31,20,95,56,58.95,16,16.84,23,24.21,31020
31,21,103,66,64.08,19,18.45,18,17.48,31021
31,22,97,49,50.52,26,26.8,22,22.68,31022
31,23,128,83,64.84,24,18.75,21,16.41,31023
31,24,134,80,59.7,29,21.64,25,18.66,31024
31,26,144,74,51.39,34,23.61,36,25.0,31026
31,27,115,63,54.78,24,20.87,28,24.35,31027
31,28,81,35,43.21,25,30.86,21,25.93,31028
31,29,91,46,50.55,17,18.68,28,30.77,31029
31,30,96,53,55.21,20,20.83,23,23.96,31030
31,32,81,39,48.15,15,18.52,27,33.33,31032
31,35,99,54,54.55,19,19.19,26,26.26,31035
31,36,106,62,58.49,24,22.64,20,18.87,31036
31,37,130,76,58.46,30,23.08,24,18.46,31037
31,38,90,50,55.56,19,21.11,21,23.33,31038
31,39,146,95,65.07,25,17.12,26,17.81,31039
31,40,142,78,54.93,31,21.83,33,23.24,31040
31,41,104,56,53.85,33,31.73,15,14.42,31041
32,1,307,154,50.16,95,30.94,58,18.89,32001
32,2,241,146,60.58,34,14.11,61,25.31,32002
32,3,333,170,51.05,101,30.33,62,18.62,32003
32,4,226,120,53.1,32,14.16,74,32.74,32004
32,5,233,142,60.94,38,16.31,53,22.75,32005
32,6,256,150,58.59,31,12.11,75,29.3,32006
32,9,226,139,61.5,41,18.14,46,20.35,32009
32,11,244,142,58.2,57,23.36,45,18.44,32011
32,12,191,92,48.17,48,25.13,51,26.7,32012
32,13,154,98,63.64,16,10.39,40,25.97,32013
32,14,285,164,57.54,63,22.11,58,20.35,32014
32,15,227,155,68.28,29,12.78,43,18.94,32015
32,16,239,139,58.16,51,21.34,49,20.5,32016
32,17,294,182,61.9,58,19.73,54,18.37,32017
32,19,39,30,76.92,8,20.51,1,2.56,32019
32,20,282,167,59.22,48,17.02,67,23.76,32020
32,21,33,25,75.76,3,9.09,5,15.15,32021
32,22,274,163,59.49,48,17.52,63,22.99,32022
32,24,147,79,53.74,30,20.41,38,25.85,32024
32,25,48,25,52.08,9,18.75,14,29.17,32025
32,26,312,175,56.09,59,18.91,78,25.0,32026
32,27,168,99,58.93,18,10.71,51,30.36,32027
32,28,294,170,57.82,64,21.77,60,20.41,32028
32,29,261,137,52.49,47,18.01,77,29.5,32029
32,30,174,114,65.52,22,12.64,38,21.84,32030
32,31,230,143,62.17,32,13.91,55,23.91,32031
32,32,276,147,53.26,42,15.22,87,31.52,32032
32,33,225,136,60.44,26,11.56,63,28.0,32033
32,34,241,146,60.58,40,16.6,55,22.82,32034
32,35,190,115,60.53,29,15.26,46,24.21,32035
32,36,222,135,60.81,29,13.06,58,26.13,32036
32,37,228,158,69.3,31,13.6,39,17.11,32037
32,38,202,126,62.38,32,15.84,44,21.78,32038
32,40,233,144,61.8,27,11.59,62,26.61,32040
32,41,245,147,60.0,39,15.92,59,24.08,32041
32,42,183,103,56.28,31,16.94,49,26.78,32042
32,43,269,162,60.22,39,14.5,68,25.28,32043
33,1,325,169,52.0,65,20.0,91,28.0,33001
33,3,441,221,50.11,156,35.37,64,14.51,33003
33,4,392,193,49.23,110,28.06,89,22.7,33004
33,5,229,113,49.34,59,25.76,57,24.89,33005
33,6,254,117,46.06,93,36.61,44,17.32,33006
33,8,471,263,55.84,107,22.72,101,21.44,33008
33,9,282,144,51.06,80,28.37,58,20.57,33009
33,10,246,130,52.85,73,29.67,43,17.48,33010
33,11,295,153,51.86,96,32.54,46,15.59,33011
33,12,277,158,57.04,78,28.16,41,14.8,33012
33,13,281,150,53.38,85,30.25,46,16.37,33013
33,14,108,59,54.63,35,32.41,14,12.96,33014
33,15,275,156,56.73,58,21.09,61,22.18,33015
33,16,394,210,53.3,104,26.4,80,20.3,33016
33,17,278,157,56.47,69,24.82,52,18.71,33017
33,19,327,197,60.24,68,20.8,62,18.96,33019
33,20,372,193,51.88,95,25.54,84,22.58,33020
33,21,301,150,49.83,91,30.23,60,19.93,33021
33,22,276,126,45.65,98,35.51,52,18.84,33022
33,23,333,194,58.26,86,25.83,53,15.92,33023
33,24,461,273,59.22,98,21.26,90,19.52,33024
33,25,374,152,40.64,151,40.37,71,18.98,33025
33,26,215,123,57.21,49,22.79,43,20.0,33026
33,27,312,176,56.41,78,25.0,58,18.59,33027
33,28,272,142,52.21,64,23.53,66,24.26,33028
35,1,253,132,52.17,70,27.67,51,20.16,35001
35,2,266,132,49.62,58,21.8,76,28.57,35002
35,3,205,110,53.66,62,30.24,33,16.1,35003
35,4,252,114,45.24,90,35.71,48,19.05,35004
35,5,190,108,56.84,37,19.47,45,23.68,35005
35,6,233,135,57.94,42,18.03,56,24.03,35006
35,7,251,144,57.37,54,21.51,53,21.12,35007
35,8,231,121,52.38,54,23.38,56,24.24,35008
35,10,330,192,58.18,67,20.3,71,21.52,35010
35,11,255,137,53.73,59,23.14,59,23.14,35011
35,12,141,76,53.9,35,24.82,30,21.28,35012
35,13,132,69,52.27,36,27.27,27,20.45,35013
35,14,175,93,53.14,36,20.57,46,26.29,35014
35,15,285,150,52.63,81,28.42,54,18.95,35015
35,16,126,62,49.21,29,23.02,35,27.78,35016
35,17,211,125,59.24,41,19.43,45,21.33,35017
35,18,162,85,52.47,38,23.46,39,24.07,35018
35,19,142,77,54.23,33,23.24,32,22.54,35019
35,20,205,126,61.46,38,18.54,41,20.0,35020
35,21,224,122,54.46,60,26.79,42,18.75,35021
35,23,144,86,59.72,31,21.53,27,18.75,35023
35,24,203,118,58.13,44,21.67,41,20.2,35024
35,25,190,123,64.74,18,9.47,49,25.79,35025
35,26,215,100,46.51,88,40.93,27,12.56,35026
35,27,217,122,56.22,59,27.19,36,16.59,35027
35,28,237,142,59.92,49,20.68,46,19.41,35028
36,6,134,78,58.21,26,19.4,30,22.39,36006
36,8,138,67,48.55,27,19.57,44,31.88,36008
36,9,156,88,56.41,33,21.15,35,22.44,36009
36,11,110,67,60.91,20,18.18,23,20.91,36011
36,12,94,46,48.94,18,19.15,30,31.91,36012
36,13,106,52,49.06,27,25.47,27,25.47,36013
36,21,115,53,46.09,27,23.48,35,30.43,36021
36,22,122,57,46.72,31,25.41,34,27.87,36022
36,23,47,25,53.19,8,17.02,14,29.79,36023
36,25,161,81,50.31,42,26.09,38,23.6,36025
37,2,112,74,66.07,23,20.54,15,13.39,37002
37,10,196,124,63.27,48,24.49,24,12.24,37010
37,12,132,75,56.82,33,25.0,24,18.18,37012
37,16,49,37,75.51,9,18.37,3,6.12,37016
37,22,121,80,66.12,20,16.53,21,17.36,37022
37,26,0,0,0.0,0,0.0,0,0.0,37026
37,41,95,65,68.42,19,20.0,11,11.58,37041
40,8,359,196,54.6,63,17.55,100,27.86,40008
40,38,194,140,72.16,17,8.76,37,19.07,40038
47,9,131,69,52.67,24,18.32,38,29.01,47009
47,13,88,66,75.0,10,11.36,12,13.64,47013
47,40,159,105,66.04,10,6.29,44,27.67,47040
47,42,111,73,65.77,16,14.41,22,19.82,47042
