ward,precinct,total,Steve Hagerty (Pete Buttigieg),Steve Hagerty (Pete Buttigieg) Percent,Markus Pitchford (Pete Buttigieg),Markus Pitchford (Pete Buttigieg) Percent,Greg Schweizer (Pete Buttigieg),Greg Schweizer (Pete Buttigieg) Percent,Debra Shore (Pete Buttigieg),Debra Shore (Pete Buttigieg) Percent,Carolyn Townsend (Bernie Sanders),Carolyn Townsend (Bernie Sanders) Percent,Cortney Ritsema (Bernie Sanders),Cortney Ritsema (Bernie Sanders) Percent,Margaret ''Meg'' Welch (Bernie Sanders,Margaret ''Meg'' Welch (Bernie Sanders Percent,Michelle L. Oxman (Bernie Sanders),Michelle L. Oxman (Bernie Sanders) Percent,Amarzaya Makhbal (Bernie Sanders),Amarzaya Makhbal (Bernie Sanders) Percent,Anub Abraham (Bernie Sanders),Anub Abraham (Bernie Sanders) Percent,Michael J. Harrington (Bernie Sanders),Michael J. Harrington (Bernie Sanders) Percent,Ryan McIntyre (Bernie Sanders),Ryan McIntyre (Bernie Sanders) Percent,Janice Berman-Krautwald (Andrew Yang),Janice Berman-Krautwald (Andrew Yang) Percent,John Lee Bingham (Andrew Yang),John Lee Bingham (Andrew Yang) Percent,Molly Bosi (Andrew Yang),Molly Bosi (Andrew Yang) Percent,Chase Rawlins (Andrew Yang),Chase Rawlins (Andrew Yang) Percent,Vasilios Stefanis (Andrew Yang),Vasilios Stefanis (Andrew Yang) Percent,Daniel Biss (Elizabeth Warren),Daniel Biss (Elizabeth Warren) Percent,Josina Morita (Elizabeth Warren),Josina Morita (Elizabeth Warren) Percent,Daniel J. Montgomery (Elizabeth Warren,Daniel J. Montgomery (Elizabeth Warren Percent,Ilya Sheyman (Elizabeth Warren),Ilya Sheyman (Elizabeth Warren) Percent,Miguel Moreno (Elizabeth Warren),Miguel Moreno (Elizabeth Warren) Percent,Leo Smith (Elizabeth Warren),Leo Smith (Elizabeth Warren) Percent,Leni Manaa-Hoppenworth (Elizabeth Warr,Leni Manaa-Hoppenworth (Elizabeth Warr Percent,Marcia Blumenthal Fields (Joseph R. Bi,Marcia Blumenthal Fields (Joseph R. Bi Percent,Jane Hannemann (Amy J. Klobuchar),Jane Hannemann (Amy J. Klobuchar) Percent,Joe Shepherd (Amy J. Klobuchar),Joe Shepherd (Amy J. Klobuchar) Percent,John Fitzgerald (Amy J. Klobuchar),John Fitzgerald (Amy J. Klobuchar) Percent,Hope R. Green (Amy J. Klobuchar),Hope R. Green (Amy J. Klobuchar) Percent,Catherine Marquis (Amy J. Klobuchar),Catherine Marquis (Amy J. Klobuchar) Percent,Christie Ann Hefner (Amy J. Klobuchar),Christie Ann Hefner (Amy J. Klobuchar) Percent,Jacob (Jake) Riley (Amy J. Klobuchar),Jacob (Jake) Riley (Amy J. Klobuchar) Percent,precinct_id
40,33,2573,25,0.97,25,0.97,9,0.35,23,0.89,155,6.02,151,5.87,156,6.06,150,5.83,149,5.79,145,5.64,141,5.48,133,5.17,6,0.23,4,0.16,7,0.27,3,0.12,4,0.16,44,1.71,41,1.59,42,1.63,40,1.55,41,1.59,30,1.17,39,1.52,138,5.36,22,0.86,2,0.08,4,0.16,12,0.47,7,0.27,12,0.47,3,0.12,40033
40,35,855,10,1.17,5,0.58,3,0.35,5,0.58,56,6.55,60,7.02,59,6.9,61,7.13,58,6.78,56,6.55,49,5.73,49,5.73,0,0.0,0,0.0,2,0.23,2,0.23,2,0.23,4,0.47,5,0.58,6,0.7,4,0.47,11,1.29,10,1.17,13,1.52,46,5.38,8,0.94,2,0.23,1,0.12,3,0.35,5,0.58,7,0.82,2,0.23,40035
40,36,2083,32,1.54,22,1.06,16,0.77,19,0.91,106,5.09,109,5.23,100,4.8,103,4.94,101,4.85,96,4.61,94,4.51,90,4.32,7,0.34,4,0.19,4,0.19,2,0.1,5,0.24,31,1.49,25,1.2,23,1.1,26,1.25,33,1.58,22,1.06,30,1.44,134,6.43,25,1.2,4,0.19,3,0.14,5,0.24,4,0.19,6,0.29,4,0.19,40036
40,37,2138,28,1.31,26,1.22,16,0.75,25,1.17,141,6.59,137,6.41,141,6.59,138,6.45,135,6.31,134,6.27,129,6.03,124,5.8,6,0.28,4,0.19,6,0.28,3,0.14,1,0.05,21,0.98,28,1.31,21,0.98,26,1.22,30,1.4,19,0.89,27,1.26,100,4.68,18,0.84,8,0.37,6,0.28,5,0.23,5,0.23,6,0.28,2,0.09,40037
40,39,469,10,2.13,5,1.07,4,0.85,9,1.92,38,8.1,39,8.32,41,8.74,42,8.96,38,8.1,36,7.68,34,7.25,31,6.61,2,0.43,3,0.64,2,0.43,0,0.0,0,0.0,2,0.43,2,0.43,3,0.64,4,0.85,9,1.92,3,0.64,4,0.85,11,2.35,3,0.64,1,0.21,0,0.0,0,0.0,0,0.0,0,0.0,1,0.21,40039
41,1,1288,18,1.4,9,0.7,8,0.62,9,0.7,62,4.81,59,4.58,67,5.2,63,4.89,60,4.66,57,4.43,64,4.97,52,4.04,4,0.31,3,0.23,6,0.47,4,0.31,3,0.23,8,0.62,3,0.23,9,0.7,9,0.7,6,0.47,8,0.62,7,0.54,97,7.53,15,1.16,6,0.47,8,0.62,6,0.47,5,0.39,9,0.7,7,0.54,41001
41,2,1396,21,1.5,12,0.86,13,0.93,19,1.36,53,3.8,52,3.72,56,4.01,51,3.65,53,3.8,52,3.72,54,3.87,47,3.37,7,0.5,7,0.5,13,0.93,8,0.57,10,0.72,5,0.36,7,0.5,8,0.57,10,0.72,10,0.72,8,0.57,15,1.07,95,6.81,18,1.29,7,0.5,15,1.07,7,0.5,17,1.22,13,0.93,11,0.79,41002
41,4,1587,20,1.26,19,1.2,17,1.07,24,1.51,53,3.34,49,3.09,49,3.09,48,3.02,46,2.9,52,3.28,51,3.21,46,2.9,10,0.63,9,0.57,8,0.5,4,0.25,7,0.44,11,0.69,10,0.63,15,0.95,16,1.01,12,0.76,13,0.82,11,0.69,133,8.38,29,1.83,5,0.32,7,0.44,7,0.44,7,0.44,7,0.44,5,0.32,41004
41,5,1760,25,1.42,20,1.14,15,0.85,20,1.14,90,5.11,84,4.77,89,5.06,79,4.49,81,4.6,82,4.66,84,4.77,73,4.15,8,0.45,8,0.45,7,0.4,9,0.51,8,0.45,7,0.4,11,0.63,13,0.74,16,0.91,13,0.74,13,0.74,16,0.91,121,6.88,15,0.85,5,0.28,10,0.57,7,0.4,8,0.45,15,0.85,5,0.28,41005
41,7,1556,25,1.61,19,1.22,16,1.03,19,1.22,65,4.18,58,3.73,66,4.24,61,3.92,54,3.47,51,3.28,50,3.21,51,3.28,6,0.39,4,0.26,10,0.64,7,0.45,4,0.26,12,0.77,12,0.77,11,0.71,10,0.64,12,0.77,15,0.96,15,0.96,112,7.2,27,1.74,10,0.64,11,0.71,17,1.09,12,0.77,14,0.9,15,0.96,41007
41,8,1588,21,1.32,11,0.69,16,1.01,23,1.45,80,5.04,77,4.85,85,5.35,80,5.04,79,4.97,79,4.97,81,5.1,69,4.35,5,0.31,10,0.63,11,0.69,4,0.25,5,0.31,10,0.63,17,1.07,16,1.01,15,0.94,15,0.94,13,0.82,12,0.76,95,5.98,20,1.26,6,0.38,7,0.44,7,0.44,2,0.13,6,0.38,3,0.19,41008
41,10,1795,32,1.78,26,1.45,19,1.06,21,1.17,62,3.45,60,3.34,66,3.68,59,3.29,62,3.45,53,2.95,56,3.12,48,2.67,7,0.39,3,0.17,5,0.28,5,0.28,5,0.28,12,0.67,10,0.56,12,0.67,8,0.45,8,0.45,9,0.5,12,0.67,141,7.86,32,1.78,8,0.45,16,0.89,14,0.78,10,0.56,14,0.78,9,0.5,41010
41,11,1071,16,1.49,10,0.93,10,0.93,8,0.75,63,5.88,54,5.04,63,5.88,53,4.95,51,4.76,47,4.39,54,5.04,49,4.58,7,0.65,7,0.65,7,0.65,6,0.56,5,0.47,4,0.37,5,0.47,12,1.12,8,0.75,8,0.75,8,0.75,7,0.65,56,5.23,13,1.21,8,0.75,10,0.93,10,0.93,12,1.12,10,0.93,10,0.93,41011
41,13,1475,21,1.42,16,1.08,9,0.61,17,1.15,72,4.88,68,4.61,76,5.15,75,5.08,68,4.61,63,4.27,69,4.68,63,4.27,11,0.75,9,0.61,13,0.88,9,0.61,8,0.54,3,0.2,2,0.14,5,0.34,7,0.47,12,0.81,8,0.54,9,0.61,98,6.64,14,0.95,7,0.47,14,0.95,9,0.61,7,0.47,11,0.75,6,0.41,41013
41,15,1880,27,1.44,23,1.22,21,1.12,17,0.9,75,3.99,67,3.56,82,4.36,77,4.1,67,3.56,67,3.56,68,3.62,62,3.3,8,0.43,8,0.43,10,0.53,10,0.53,8,0.43,11,0.59,11,0.59,16,0.85,14,0.74,19,1.01,13,0.69,13,0.69,138,7.34,30,1.6,13,0.69,17,0.9,12,0.64,15,0.8,16,0.85,11,0.59,41015
41,17,251,5,1.99,1,0.4,2,0.8,4,1.59,12,4.78,10,3.98,12,4.78,10,3.98,10,3.98,10,3.98,11,4.38,9,3.59,2,0.8,1,0.4,0,0.0,0,0.0,0,0.0,3,1.2,1,0.4,1,0.4,2,0.8,0,0.0,1,0.4,2,0.8,21,8.37,4,1.59,1,0.4,1,0.4,1,0.4,1,0.4,1,0.4,2,0.8,41017
41,18,1347,22,1.63,17,1.26,13,0.97,15,1.11,47,3.49,53,3.93,57,4.23,50,3.71,50,3.71,47,3.49,54,4.01,46,3.41,11,0.82,9,0.67,10,0.74,8,0.59,10,0.74,10,0.74,8,0.59,10,0.74,8,0.59,9,0.67,7,0.52,7,0.52,102,7.57,20,1.48,6,0.45,12,0.89,6,0.45,5,0.37,8,0.59,7,0.52,41018
41,20,1015,8,0.79,9,0.89,9,0.89,14,1.38,54,5.32,49,4.83,54,5.32,47,4.63,47,4.63,47,4.63,51,5.02,42,4.14,3,0.3,3,0.3,6,0.59,3,0.3,3,0.3,10,0.99,9,0.89,9,0.89,5,0.49,8,0.79,6,0.59,10,0.99,71,7.0,10,0.99,2,0.2,6,0.59,3,0.3,5,0.49,5,0.49,2,0.2,41020
41,23,608,8,1.32,6,0.99,5,0.82,4,0.66,29,4.77,28,4.61,30,4.93,29,4.77,26,4.28,27,4.44,25,4.11,27,4.44,2,0.33,1,0.16,3,0.49,5,0.82,5,0.82,5,0.82,3,0.49,3,0.49,4,0.66,6,0.99,6,0.99,5,0.82,39,6.41,9,1.48,5,0.82,4,0.66,5,0.82,4,0.66,9,1.48,6,0.99,41023
41,25,760,8,1.05,6,0.79,3,0.39,3,0.39,59,7.76,54,7.11,58,7.63,58,7.63,57,7.5,54,7.11,53,6.97,49,6.45,3,0.39,3,0.39,5,0.66,3,0.39,2,0.26,4,0.53,5,0.66,2,0.26,2,0.26,4,0.53,2,0.26,2,0.26,32,4.21,6,0.79,3,0.39,4,0.53,3,0.39,1,0.13,4,0.53,4,0.53,41025
41,28,1072,20,1.87,11,1.03,12,1.12,17,1.59,67,6.25,62,5.78,68,6.34,59,5.5,60,5.6,60,5.6,55,5.13,46,4.29,4,0.37,0,0.0,5,0.47,3,0.28,3,0.28,7,0.65,6,0.56,8,0.75,11,1.03,6,0.56,5,0.47,8,0.75,61,5.69,11,1.03,2,0.19,4,0.37,3,0.28,4,0.37,5,0.47,1,0.09,41028
41,29,764,11,1.44,8,1.05,7,0.92,12,1.57,50,6.54,51,6.68,51,6.68,55,7.2,47,6.15,44,5.76,50,6.54,44,5.76,4,0.52,5,0.65,2,0.26,4,0.52,6,0.79,7,0.92,4,0.52,4,0.52,4,0.52,6,0.79,8,1.05,8,1.05,36,4.71,7,0.92,1,0.13,5,0.65,2,0.26,2,0.26,4,0.52,2,0.26,41029
41,31,1614,23,1.43,10,0.62,13,0.81,16,0.99,60,3.72,58,3.59,62,3.84,53,3.28,51,3.16,50,3.1,58,3.59,43,2.66,4,0.25,6,0.37,1,0.06,3,0.19,2,0.12,13,0.81,11,0.68,14,0.87,16,0.99,14,0.87,18,1.12,16,0.99,141,8.74,23,1.43,7,0.43,10,0.62,9,0.56,11,0.68,11,0.68,10,0.62,41031
41,33,241,2,0.83,1,0.41,1,0.41,3,1.24,18,7.47,18,7.47,18,7.47,19,7.88,17,7.05,16,6.64,18,7.47,15,6.22,1,0.41,0,0.0,1,0.41,0,0.0,1,0.41,1,0.41,1,0.41,0,0.0,2,0.83,2,0.83,1,0.41,1,0.41,11,4.56,2,0.83,0,0.0,2,0.83,0,0.0,1,0.41,0,0.0,0,0.0,41033
41,34,1398,21,1.5,15,1.07,11,0.79,15,1.07,69,4.94,66,4.72,70,5.01,66,4.72,63,4.51,62,4.43,61,4.36,58,4.15,4,0.29,5,0.36,2,0.14,8,0.57,6,0.43,11,0.79,9,0.64,10,0.72,11,0.79,13,0.93,7,0.5,10,0.72,95,6.8,21,1.5,8,0.57,12,0.86,11,0.79,9,0.64,10,0.72,5,0.36,41034
41,36,1457,25,1.72,21,1.44,16,1.1,25,1.72,71,4.87,67,4.6,75,5.15,71,4.87,64,4.39,64,4.39,63,4.32,58,3.98,7,0.48,7,0.48,4,0.27,6,0.41,7,0.48,19,1.3,15,1.03,10,0.69,9,0.62,10,0.69,9,0.62,10,0.69,102,7.0,10,0.69,4,0.27,0,0.0,1,0.07,2,0.14,1,0.07,0,0.0,41036
41,37,1737,29,1.67,26,1.5,20,1.15,24,1.38,94,5.41,84,4.84,94,5.41,89,5.12,81,4.66,79,4.55,86,4.95,74,4.26,8,0.46,10,0.58,9,0.52,5,0.29,8,0.46,12,0.69,13,0.75,8,0.46,13,0.75,12,0.69,10,0.58,15,0.86,105,6.04,20,1.15,6,0.35,16,0.92,7,0.4,9,0.52,8,0.46,6,0.35,41037
41,40,1423,29,2.04,18,1.26,17,1.19,18,1.26,57,4.01,54,3.79,58,4.08,52,3.65,54,3.79,53,3.72,58,4.08,49,3.44,5,0.35,7,0.49,10,0.7,9,0.63,12,0.84,10,0.7,11,0.77,10,0.7,10,0.7,10,0.7,6,0.42,13,0.91,103,7.24,14,0.98,9,0.63,15,1.05,14,0.98,11,0.77,10,0.7,9,0.63,41040
41,41,1329,21,1.58,18,1.35,15,1.13,16,1.2,59,4.44,54,4.06,65,4.89,60,4.51,54,4.06,55,4.14,58,4.36,47,3.54,5,0.38,4,0.3,7,0.53,7,0.53,8,0.6,10,0.75,13,0.98,8,0.6,13,0.98,15,1.13,11,0.83,11,0.83,84,6.32,11,0.83,8,0.6,9,0.68,7,0.53,7,0.53,6,0.45,4,0.3,41041
41,42,1355,28,2.07,21,1.55,11,0.81,16,1.18,54,3.99,45,3.32,53,3.91,45,3.32,43,3.17,41,3.03,39,2.88,34,2.51,7,0.52,7,0.52,7,0.52,6,0.44,7,0.52,12,0.89,10,0.74,15,1.11,14,1.03,14,1.03,6,0.44,10,0.74,106,7.82,17,1.25,7,0.52,13,0.96,9,0.66,7,0.52,12,0.89,4,0.3,41042
41,43,1344,20,1.49,14,1.04,10,0.74,12,0.89,67,4.99,62,4.61,68,5.06,62,4.61,57,4.24,57,4.24,60,4.46,49,3.65,4,0.3,3,0.22,4,0.3,2,0.15,1,0.07,9,0.67,6,0.45,9,0.67,7,0.52,13,0.97,8,0.6,13,0.97,98,7.29,23,1.71,6,0.45,5,0.37,6,0.45,3,0.22,9,0.67,2,0.15,41043
41,44,1465,22,1.5,13,0.89,11,0.75,14,0.96,60,4.1,55,3.75,64,4.37,58,3.96,55,3.75,56,3.82,60,4.1,54,3.69,7,0.48,5,0.34,7,0.48,5,0.34,8,0.55,15,1.02,13,0.89,15,1.02,15,1.02,12,0.82,15,1.02,16,1.09,95,6.48,28,1.91,8,0.55,12,0.82,12,0.82,10,0.68,9,0.61,11,0.75,41044
41,45,818,12,1.47,7,0.86,8,0.98,10,1.22,48,5.87,40,4.89,43,5.26,37,4.52,38,4.65,35,4.28,42,5.13,35,4.28,4,0.49,4,0.49,4,0.49,4,0.49,4,0.49,3,0.37,3,0.37,5,0.61,3,0.37,8,0.98,5,0.61,4,0.49,59,7.21,7,0.86,3,0.37,6,0.73,3,0.37,1,0.12,1,0.12,2,0.24,41045
44,3,1761,32,1.82,23,1.31,15,0.85,22,1.25,26,1.48,25,1.42,28,1.59,28,1.59,24,1.36,24,1.36,26,1.48,21,1.19,5,0.28,4,0.23,4,0.23,3,0.17,6,0.34,23,1.31,15,0.85,11,0.62,12,0.68,12,0.68,12,0.68,14,0.8,191,10.85,36,2.04,4,0.23,6,0.34,13,0.74,10,0.57,13,0.74,5,0.28,44003
44,4,1632,26,1.59,23,1.41,18,1.1,25,1.53,53,3.25,50,3.06,52,3.19,52,3.19,53,3.25,49,3.0,52,3.19,50,3.06,6,0.37,4,0.25,6,0.37,2,0.12,4,0.25,19,1.16,16,0.98,12,0.74,13,0.8,10,0.61,9,0.55,11,0.67,142,8.7,27,1.65,5,0.31,2,0.12,8,0.49,1,0.06,12,0.74,3,0.18,44004
44,7,1754,27,1.54,23,1.31,17,0.97,19,1.08,41,2.34,43,2.45,49,2.79,42,2.39,41,2.34,43,2.45,38,2.17,36,2.05,6,0.34,4,0.23,5,0.29,4,0.23,1,0.06,11,0.63,9,0.51,9,0.51,11,0.63,10,0.57,8,0.46,8,0.46,182,10.38,32,1.82,3,0.17,4,0.23,11,0.63,7,0.4,12,0.68,2,0.11,44007
44,24,1710,25,1.46,13,0.76,13,0.76,24,1.4,49,2.87,45,2.63,47,2.75,49,2.87,45,2.63,44,2.57,43,2.51,39,2.28,3,0.18,3,0.18,2,0.12,2,0.12,3,0.18,18,1.05,16,0.94,15,0.88,19,1.11,19,1.11,14,0.82,20,1.17,162,9.47,36,2.11,8,0.47,10,0.58,9,0.53,11,0.64,18,1.05,11,0.64,44024
44,35,2054,35,1.7,24,1.17,25,1.22,35,1.7,74,3.6,73,3.55,80,3.89,75,3.65,71,3.46,71,3.46,67,3.26,64,3.12,3,0.15,2,0.1,2,0.1,3,0.15,3,0.15,17,0.83,15,0.73,15,0.73,17,0.83,16,0.78,15,0.73,15,0.73,181,8.81,31,1.51,4,0.19,2,0.1,11,0.54,9,0.44,11,0.54,3,0.15,44035
46,1,1965,28,1.42,16,0.81,22,1.12,26,1.32,144,7.33,140,7.12,141,7.18,133,6.77,135,6.87,138,7.02,141,7.18,127,6.46,4,0.2,6,0.31,5,0.25,5,0.25,6,0.31,29,1.48,27,1.37,23,1.17,26,1.32,29,1.48,22,1.12,22,1.12,73,3.72,6,0.31,5,0.25,8,0.41,4,0.2,5,0.25,8,0.41,8,0.41,46001
46,2,2365,34,1.44,35,1.48,22,0.93,24,1.01,160,6.77,163,6.89,159,6.72,158,6.68,158,6.68,153,6.47,146,6.17,142,6.0,2,0.08,2,0.08,4,0.17,2,0.08,1,0.04,28,1.18,24,1.01,27,1.14,37,1.56,34,1.44,30,1.27,37,1.56,105,4.44,8,0.34,2,0.08,6,0.25,7,0.3,3,0.13,0,0.0,0,0.0,46002
46,4,2441,36,1.47,29,1.19,22,0.9,29,1.19,148,6.06,148,6.06,153,6.27,150,6.15,153,6.27,151,6.19,138,5.65,126,5.16,8,0.33,5,0.2,8,0.33,5,0.2,5,0.2,28,1.15,33,1.35,20,0.82,33,1.35,31,1.27,23,0.94,32,1.31,120,4.92,21,0.86,2,0.08,5,0.2,11,0.45,8,0.33,8,0.33,6,0.25,46004
46,5,64,4,6.25,4,6.25,2,3.13,3,4.69,2,3.13,2,3.13,2,3.13,1,1.56,1,1.56,1,1.56,1,1.56,1,1.56,0,0.0,0,0.0,0,0.0,1,1.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,9.38,1,1.56,1,1.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46005
46,6,2162,33,1.53,32,1.48,21,0.97,37,1.71,158,7.31,153,7.08,153,7.08,151,6.98,142,6.57,148,6.85,136,6.29,131,6.06,11,0.51,5,0.23,16,0.74,6,0.28,9,0.42,23,1.06,29,1.34,22,1.02,25,1.16,30,1.39,26,1.2,27,1.25,79,3.65,14,0.65,5,0.23,4,0.19,7,0.32,4,0.19,3,0.14,6,0.28,46006
46,7,2582,44,1.7,42,1.63,18,0.7,33,1.28,87,3.37,80,3.1,89,3.45,80,3.1,72,2.79,69,2.67,73,2.83,66,2.56,12,0.46,5,0.19,12,0.46,4,0.15,4,0.15,21,0.81,26,1.01,18,0.7,21,0.81,22,0.85,14,0.54,19,0.74,233,9.02,43,1.67,3,0.12,7,0.27,19,0.74,16,0.62,15,0.58,6,0.23,46007
46,8,1598,14,0.88,11,0.69,9,0.56,15,0.94,107,6.7,107,6.7,109,6.82,111,6.95,104,6.51,101,6.32,104,6.51,93,5.82,8,0.5,7,0.44,8,0.5,5,0.31,7,0.44,14,0.88,17,1.06,15,0.94,20,1.25,16,1.0,10,0.63,17,1.06,81,5.07,7,0.44,3,0.19,6,0.38,4,0.25,3,0.19,4,0.25,6,0.38,46008
