ward,precinct,total,Kim Foxx,Kim Foxx Percent,Bill Conway,Bill Conway Percent,Donna More,Donna More Percent,Bob Fioretti,Bob Fioretti Percent,precinct_id
2,2,218,63,28.9,87,39.91,58,26.61,10,4.59,02002
2,3,333,170,51.05,80,24.02,71,21.32,12,3.6,02003
2,4,276,167,60.51,55,19.93,37,13.41,17,6.16,02004
2,5,338,175,51.78,86,25.44,59,17.46,18,5.33,02005
2,6,276,137,49.64,64,23.19,54,19.57,21,7.61,02006
2,7,236,130,55.08,59,25.0,32,13.56,15,6.36,02007
2,8,299,144,48.16,95,31.77,50,16.72,10,3.34,02008
2,9,206,78,37.86,81,39.32,37,17.96,10,4.85,02009
2,10,184,46,25.0,80,43.48,49,26.63,9,4.89,02010
2,11,290,75,25.86,130,44.83,69,23.79,16,5.52,02011
2,12,329,171,51.98,83,25.23,66,20.06,9,2.74,02012
2,13,294,80,27.21,105,35.71,80,27.21,29,9.86,02013
2,14,372,187,50.27,111,29.84,45,12.1,29,7.8,02014
2,15,275,126,45.82,74,26.91,57,20.73,18,6.55,02015
2,16,263,159,60.46,55,20.91,38,14.45,11,4.18,02016
2,17,378,195,51.59,88,23.28,68,17.99,27,7.14,02017
2,18,275,102,37.09,85,30.91,74,26.91,14,5.09,02018
2,19,140,46,32.86,55,39.29,30,21.43,9,6.43,02019
2,20,276,104,37.68,112,40.58,46,16.67,14,5.07,02020
2,21,328,188,57.32,69,21.04,51,15.55,20,6.1,02021
2,22,303,94,31.02,125,41.25,75,24.75,9,2.97,02022
2,23,219,64,29.22,96,43.84,47,21.46,12,5.48,02023
2,24,217,63,29.03,86,39.63,58,26.73,10,4.61,02024
2,25,320,154,48.13,93,29.06,62,19.38,11,3.44,02025
2,26,243,93,38.27,92,37.86,42,17.28,16,6.58,02026
2,27,244,81,33.2,97,39.75,51,20.9,15,6.15,02027
2,28,269,83,30.86,96,35.69,73,27.14,17,6.32,02028
2,29,291,98,33.68,110,37.8,60,20.62,23,7.9,02029
2,30,229,76,33.19,96,41.92,45,19.65,12,5.24,02030
2,31,355,91,25.63,151,42.54,97,27.32,16,4.51,02031
2,32,192,73,38.02,66,34.38,43,22.4,10,5.21,02032
2,33,466,132,28.33,193,41.42,110,23.61,31,6.65,02033
2,34,254,68,26.77,116,45.67,60,23.62,10,3.94,02034
2,35,293,114,38.91,118,40.27,50,17.06,11,3.75,02035
2,36,262,75,28.63,113,43.13,58,22.14,16,6.11,02036
2,37,288,87,30.21,104,36.11,68,23.61,29,10.07,02037
2,38,250,65,26.0,99,39.6,71,28.4,15,6.0,02038
2,39,149,55,36.91,49,32.89,33,22.15,12,8.05,02039
2,40,227,99,43.61,81,35.68,36,15.86,11,4.85,02040
2,41,229,85,37.12,76,33.19,57,24.89,11,4.8,02041
2,42,252,99,39.29,83,32.94,58,23.02,12,4.76,02042
2,43,305,102,33.44,113,37.05,72,23.61,18,5.9,02043
2,44,175,53,30.29,67,38.29,40,22.86,15,8.57,02044
2,45,300,135,45.0,88,29.33,60,20.0,17,5.67,02045
2,46,176,79,44.89,62,35.23,28,15.91,7,3.98,02046
3,1,383,328,85.64,27,7.05,17,4.44,11,2.87,03001
3,2,452,394,87.17,33,7.3,18,3.98,7,1.55,03002
3,3,205,161,78.54,21,10.24,12,5.85,11,5.37,03003
3,4,390,351,90.0,23,5.9,9,2.31,7,1.79,03004
3,5,187,153,81.82,18,9.63,10,5.35,6,3.21,03005
3,6,401,188,46.88,125,31.17,59,14.71,29,7.23,03006
3,7,243,210,86.42,20,8.23,8,3.29,5,2.06,03007
3,8,224,187,83.48,22,9.82,12,5.36,3,1.34,03008
3,9,381,331,86.88,27,7.09,15,3.94,8,2.1,03009
3,10,142,120,84.51,13,9.15,6,4.23,3,2.11,03010
3,11,312,266,85.26,21,6.73,14,4.49,11,3.53,03011
3,12,359,312,86.91,31,8.64,11,3.06,5,1.39,03012
3,13,393,171,43.51,117,29.77,67,17.05,38,9.67,03013
3,14,363,217,59.78,93,25.62,34,9.37,19,5.23,03014
3,15,259,222,85.71,22,8.49,11,4.25,4,1.54,03015
3,16,267,227,85.02,18,6.74,14,5.24,8,3.0,03016
3,17,429,275,64.1,71,16.55,56,13.05,27,6.29,03017
3,18,422,326,77.25,41,9.72,29,6.87,26,6.16,03018
3,19,341,139,40.76,111,32.55,54,15.84,37,10.85,03019
3,20,364,318,87.36,25,6.87,11,3.02,10,2.75,03020
3,21,366,205,56.01,88,24.04,40,10.93,33,9.02,03021
3,22,397,188,47.36,108,27.2,72,18.14,29,7.3,03022
3,23,241,187,77.59,32,13.28,13,5.39,9,3.73,03023
3,24,266,227,85.34,23,8.65,12,4.51,4,1.5,03024
3,25,515,209,40.58,190,36.89,83,16.12,33,6.41,03025
3,26,388,184,47.42,116,29.9,54,13.92,34,8.76,03026
3,27,392,170,43.37,120,30.61,63,16.07,39,9.95,03027
3,28,226,189,83.63,22,9.73,11,4.87,4,1.77,03028
3,29,303,229,75.58,38,12.54,25,8.25,11,3.63,03029
3,30,291,260,89.35,22,7.56,5,1.72,4,1.37,03030
3,31,381,323,84.78,30,7.87,18,4.72,10,2.62,03031
3,32,386,205,53.11,85,22.02,68,17.62,28,7.25,03032
3,33,387,191,49.35,119,30.75,56,14.47,21,5.43,03033
3,34,399,219,54.89,101,25.31,49,12.28,30,7.52,03034
3,35,151,123,81.46,16,10.6,6,3.97,6,3.97,03035
3,36,146,112,76.71,23,15.75,9,6.16,2,1.37,03036
3,37,288,262,90.97,15,5.21,5,1.74,6,2.08,03037
3,38,288,244,84.72,15,5.21,17,5.9,12,4.17,03038
3,39,393,176,44.78,123,31.3,73,18.58,21,5.34,03039
3,40,276,180,65.22,55,19.93,21,7.61,20,7.25,03040
3,41,292,206,70.55,51,17.47,26,8.9,9,3.08,03041
4,1,470,365,77.66,44,9.36,48,10.21,13,2.77,04001
4,2,401,174,43.39,115,28.68,94,23.44,18,4.49,04002
4,3,287,239,83.28,30,10.45,9,3.14,9,3.14,04003
4,4,442,393,88.91,29,6.56,10,2.26,10,2.26,04004
4,5,413,335,81.11,42,10.17,24,5.81,12,2.91,04005
4,6,447,371,83.0,41,9.17,19,4.25,16,3.58,04006
4,7,422,359,85.07,25,5.92,25,5.92,13,3.08,04007
4,8,402,363,90.3,22,5.47,11,2.74,6,1.49,04008
4,9,465,401,86.24,38,8.17,18,3.87,8,1.72,04009
4,10,455,373,81.98,46,10.11,24,5.27,12,2.64,04010
4,11,311,262,84.24,31,9.97,13,4.18,5,1.61,04011
4,12,409,338,82.64,32,7.82,26,6.36,13,3.18,04012
4,13,360,170,47.22,93,25.83,76,21.11,21,5.83,04013
4,14,323,249,77.09,39,12.07,14,4.33,21,6.5,04014
4,15,417,347,83.21,43,10.31,20,4.8,7,1.68,04015
4,16,494,258,52.23,120,24.29,84,17.0,32,6.48,04016
4,17,375,208,55.47,86,22.93,37,9.87,44,11.73,04017
4,18,357,302,84.59,32,8.96,15,4.2,8,2.24,04018
4,19,261,211,80.84,39,14.94,6,2.3,5,1.92,04019
4,20,310,162,52.26,76,24.52,49,15.81,23,7.42,04020
4,21,382,214,56.02,81,21.2,57,14.92,30,7.85,04021
4,22,350,272,77.71,44,12.57,27,7.71,7,2.0,04022
4,23,475,392,82.53,43,9.05,31,6.53,9,1.89,04023
4,24,342,258,75.44,48,14.04,26,7.6,10,2.92,04024
4,25,382,166,43.46,101,26.44,80,20.94,35,9.16,04025
4,26,318,288,90.57,17,5.35,7,2.2,6,1.89,04026
4,27,465,372,80.0,47,10.11,33,7.1,13,2.8,04027
4,28,310,256,82.58,23,7.42,26,8.39,5,1.61,04028
4,29,297,257,86.53,22,7.41,12,4.04,6,2.02,04029
4,30,420,367,87.38,29,6.9,12,2.86,12,2.86,04030
4,31,442,358,81.0,37,8.37,34,7.69,13,2.94,04031
4,32,369,320,86.72,26,7.05,17,4.61,6,1.63,04032
4,33,354,287,81.07,32,9.04,27,7.63,8,2.26,04033
4,34,303,245,80.86,30,9.9,12,3.96,16,5.28,04034
4,35,382,335,87.7,21,5.5,16,4.19,10,2.62,04035
4,36,410,337,82.2,43,10.49,16,3.9,14,3.41,04036
4,37,539,261,48.42,148,27.46,84,15.58,46,8.53,04037
4,38,373,314,84.18,29,7.77,14,3.75,16,4.29,04038
5,1,253,211,83.4,29,11.46,10,3.95,3,1.19,05001
5,2,216,183,84.72,20,9.26,11,5.09,2,0.93,05002
5,3,350,276,78.86,35,10.0,29,8.29,10,2.86,05003
5,4,428,353,82.48,24,5.61,44,10.28,7,1.64,05004
5,5,282,228,80.85,25,8.87,24,8.51,5,1.77,05005
5,6,249,217,87.15,19,7.63,7,2.81,6,2.41,05006
5,7,357,287,80.39,36,10.08,28,7.84,6,1.68,05007
5,8,366,267,72.95,40,10.93,43,11.75,16,4.37,05008
5,9,443,352,79.46,42,9.48,39,8.8,10,2.26,05009
5,10,236,211,89.41,14,5.93,6,2.54,5,2.12,05010
5,11,362,265,73.2,36,9.94,49,13.54,12,3.31,05011
5,12,203,165,81.28,21,10.34,12,5.91,5,2.46,05012
5,13,289,241,83.39,29,10.03,11,3.81,8,2.77,05013
5,14,291,262,90.03,10,3.44,15,5.15,4,1.37,05014
5,15,321,239,74.45,36,11.21,37,11.53,9,2.8,05015
5,16,285,238,83.51,25,8.77,12,4.21,10,3.51,05016
5,17,234,186,79.49,28,11.97,17,7.26,3,1.28,05017
5,18,323,253,78.33,35,10.84,24,7.43,11,3.41,05018
5,19,351,256,72.93,41,11.68,41,11.68,13,3.7,05019
5,20,415,318,76.63,49,11.81,36,8.67,12,2.89,05020
5,21,342,256,74.85,45,13.16,36,10.53,5,1.46,05021
5,22,420,302,71.9,63,15.0,45,10.71,10,2.38,05022
5,23,567,411,72.49,78,13.76,62,10.93,16,2.82,05023
5,24,378,311,82.28,26,6.88,30,7.94,11,2.91,05024
5,25,306,261,85.29,23,7.52,13,4.25,9,2.94,05025
5,26,301,246,81.73,36,11.96,15,4.98,4,1.33,05026
5,27,353,257,72.8,46,13.03,42,11.9,8,2.27,05027
5,28,347,301,86.74,25,7.2,14,4.03,7,2.02,05028
5,29,316,272,86.08,26,8.23,13,4.11,5,1.58,05029
5,30,214,179,83.64,16,7.48,15,7.01,4,1.87,05030
5,31,219,187,85.39,18,8.22,8,3.65,6,2.74,05031
5,32,351,301,85.75,27,7.69,14,3.99,9,2.56,05032
5,33,344,286,83.14,39,11.34,14,4.07,5,1.45,05033
5,34,400,280,70.0,59,14.75,49,12.25,12,3.0,05034
5,35,425,315,74.12,39,9.18,66,15.53,5,1.18,05035
5,36,121,94,77.69,21,17.36,4,3.31,2,1.65,05036
5,37,363,245,67.49,46,12.67,53,14.6,19,5.23,05037
5,38,261,209,80.08,30,11.49,12,4.6,10,3.83,05038
5,39,285,196,68.77,42,14.74,37,12.98,10,3.51,05039
5,40,235,208,88.51,12,5.11,11,4.68,4,1.7,05040
5,41,203,135,66.5,33,16.26,26,12.81,9,4.43,05041
6,1,307,271,88.27,14,4.56,15,4.89,7,2.28,06001
6,2,318,279,87.74,25,7.86,8,2.52,6,1.89,06002
6,3,304,264,86.84,19,6.25,16,5.26,5,1.64,06003
6,4,181,144,79.56,24,13.26,7,3.87,6,3.31,06004
6,5,151,129,85.43,15,9.93,5,3.31,2,1.32,06005
6,6,310,280,90.32,16,5.16,10,3.23,4,1.29,06006
6,7,243,215,88.48,18,7.41,8,3.29,2,0.82,06007
6,8,279,241,86.38,26,9.32,11,3.94,1,0.36,06008
6,9,213,176,82.63,18,8.45,12,5.63,7,3.29,06009
6,10,154,136,88.31,10,6.49,8,5.19,0,0.0,06010
6,11,224,184,82.14,25,11.16,7,3.13,8,3.57,06011
6,12,178,139,78.09,29,16.29,6,3.37,4,2.25,06012
6,13,209,187,89.47,7,3.35,12,5.74,3,1.44,06013
6,14,248,214,86.29,18,7.26,10,4.03,6,2.42,06014
6,15,222,188,84.68,20,9.01,9,4.05,5,2.25,06015
6,16,315,273,86.67,22,6.98,15,4.76,5,1.59,06016
6,17,155,133,85.81,12,7.74,5,3.23,5,3.23,06017
6,18,225,197,87.56,17,7.56,9,4.0,2,0.89,06018
6,19,213,187,87.79,12,5.63,8,3.76,6,2.82,06019
6,20,139,108,77.7,18,12.95,10,7.19,3,2.16,06020
6,21,116,96,82.76,12,10.34,5,4.31,3,2.59,06021
6,22,160,118,73.75,16,10.0,18,11.25,8,5.0,06022
6,23,111,90,81.08,15,13.51,6,5.41,0,0.0,06023
6,24,135,108,80.0,13,9.63,8,5.93,6,4.44,06024
6,25,114,95,83.33,11,9.65,6,5.26,2,1.75,06025
6,26,149,132,88.59,9,6.04,7,4.7,1,0.67,06026
6,27,122,101,82.79,15,12.3,6,4.92,0,0.0,06027
6,28,112,92,82.14,13,11.61,5,4.46,2,1.79,06028
6,29,284,248,87.32,23,8.1,9,3.17,4,1.41,06029
6,30,199,166,83.42,16,8.04,9,4.52,8,4.02,06030
6,31,294,260,88.44,15,5.1,10,3.4,9,3.06,06031
6,32,252,219,86.9,19,7.54,9,3.57,5,1.98,06032
6,33,254,218,85.83,19,7.48,13,5.12,4,1.57,06033
6,34,268,232,86.57,20,7.46,12,4.48,4,1.49,06034
6,35,269,226,84.01,20,7.43,16,5.95,7,2.6,06035
6,36,330,298,90.3,19,5.76,8,2.42,5,1.52,06036
6,37,321,278,86.6,17,5.3,18,5.61,8,2.49,06037
6,38,307,278,90.55,16,5.21,8,2.61,5,1.63,06038
6,39,195,167,85.64,16,8.21,9,4.62,3,1.54,06039
6,40,220,201,91.36,8,3.64,6,2.73,5,2.27,06040
6,41,276,240,86.96,20,7.25,9,3.26,7,2.54,06041
6,42,231,204,88.31,19,8.23,6,2.6,2,0.87,06042
6,43,236,206,87.29,19,8.05,8,3.39,3,1.27,06043
6,44,274,222,81.02,28,10.22,21,7.66,3,1.09,06044
6,45,300,269,89.67,16,5.33,10,3.33,5,1.67,06045
6,46,190,160,84.21,20,10.53,6,3.16,4,2.11,06046
6,47,192,158,82.29,18,9.38,8,4.17,8,4.17,06047
6,48,255,215,84.31,25,9.8,12,4.71,3,1.18,06048
7,1,232,190,81.9,18,7.76,17,7.33,7,3.02,07001
7,2,224,184,82.14,23,10.27,11,4.91,6,2.68,07002
7,3,279,242,86.74,21,7.53,13,4.66,3,1.08,07003
7,4,250,206,82.4,26,10.4,14,5.6,4,1.6,07004
7,5,216,173,80.09,21,9.72,15,6.94,7,3.24,07005
7,6,321,271,84.42,24,7.48,18,5.61,8,2.49,07006
7,7,206,162,78.64,26,12.62,13,6.31,5,2.43,07007
7,8,150,131,87.33,14,9.33,3,2.0,2,1.33,07008
7,9,421,355,84.32,35,8.31,18,4.28,13,3.09,07009
7,10,272,237,87.13,14,5.15,17,6.25,4,1.47,07010
7,11,233,185,79.4,24,10.3,18,7.73,6,2.58,07011
7,12,223,179,80.27,28,12.56,8,3.59,8,3.59,07012
7,13,170,140,82.35,20,11.76,8,4.71,2,1.18,07013
7,14,239,186,77.82,29,12.13,14,5.86,10,4.18,07014
7,15,236,205,86.86,21,8.9,6,2.54,4,1.69,07015
7,16,175,145,82.86,16,9.14,10,5.71,4,2.29,07016
7,17,208,178,85.58,22,10.58,7,3.37,1,0.48,07017
7,18,169,137,81.07,22,13.02,6,3.55,4,2.37,07018
7,19,193,166,86.01,13,6.74,10,5.18,4,2.07,07019
7,20,165,129,78.18,20,12.12,11,6.67,5,3.03,07020
7,21,154,119,77.27,17,11.04,11,7.14,7,4.55,07021
7,22,189,148,78.31,23,12.17,10,5.29,8,4.23,07022
7,23,254,226,88.98,13,5.12,12,4.72,3,1.18,07023
7,24,174,153,87.93,9,5.17,9,5.17,3,1.72,07024
7,25,181,138,76.24,30,16.57,10,5.52,3,1.66,07025
7,26,200,169,84.5,17,8.5,7,3.5,7,3.5,07026
7,27,185,158,85.41,12,6.49,11,5.95,4,2.16,07027
7,28,152,127,83.55,10,6.58,12,7.89,3,1.97,07028
7,29,186,165,88.71,13,6.99,7,3.76,1,0.54,07029
7,30,152,119,78.29,20,13.16,9,5.92,4,2.63,07030
7,31,144,112,77.78,16,11.11,10,6.94,6,4.17,07031
7,32,363,323,88.98,22,6.06,13,3.58,5,1.38,07032
7,33,347,287,82.71,31,8.93,19,5.48,10,2.88,07033
7,34,307,269,87.62,17,5.54,14,4.56,7,2.28,07034
7,35,256,220,85.94,22,8.59,10,3.91,4,1.56,07035
7,36,298,252,84.56,26,8.72,17,5.7,3,1.01,07036
7,37,248,205,82.66,26,10.48,7,2.82,10,4.03,07037
7,38,199,167,83.92,21,10.55,8,4.02,3,1.51,07038
7,39,223,196,87.89,14,6.28,11,4.93,2,0.9,07039
7,40,227,187,82.38,21,9.25,13,5.73,6,2.64,07040
7,41,232,208,89.66,15,6.47,7,3.02,2,0.86,07041
7,42,210,174,82.86,18,8.57,12,5.71,6,2.86,07042
7,43,229,199,86.9,21,9.17,9,3.93,0,0.0,07043
7,44,202,173,85.64,16,7.92,11,5.45,2,0.99,07044
7,45,213,159,74.65,36,16.9,12,5.63,6,2.82,07045
7,46,113,84,74.34,19,16.81,10,8.85,0,0.0,07046
8,1,187,152,81.28,23,12.3,9,4.81,3,1.6,08001
8,2,189,156,82.54,16,8.47,13,6.88,4,2.12,08002
8,3,336,305,90.77,19,5.65,10,2.98,2,0.6,08003
8,4,310,280,90.32,14,4.52,10,3.23,6,1.94,08004
8,5,311,284,91.32,16,5.14,8,2.57,3,0.96,08005
8,6,276,240,86.96,16,5.8,11,3.99,9,3.26,08006
8,7,312,267,85.58,31,9.94,11,3.53,3,0.96,08007
8,8,289,254,87.89,18,6.23,10,3.46,7,2.42,08008
8,9,189,156,82.54,18,9.52,9,4.76,6,3.17,08009
8,10,367,328,89.37,27,7.36,7,1.91,5,1.36,08010
8,11,166,150,90.36,10,6.02,3,1.81,3,1.81,08011
8,12,232,207,89.22,11,4.74,11,4.74,3,1.29,08012
8,13,261,226,86.59,20,7.66,9,3.45,6,2.3,08013
8,14,185,153,82.7,19,10.27,8,4.32,5,2.7,08014
8,15,244,206,84.43,17,6.97,17,6.97,4,1.64,08015
8,16,80,68,85.0,9,11.25,2,2.5,1,1.25,08016
8,17,233,201,86.27,23,9.87,8,3.43,1,0.43,08017
8,18,178,150,84.27,19,10.67,8,4.49,1,0.56,08018
8,19,314,277,88.22,20,6.37,12,3.82,5,1.59,08019
8,20,304,262,86.18,26,8.55,11,3.62,5,1.64,08020
8,21,323,261,80.8,34,10.53,19,5.88,9,2.79,08021
8,22,243,210,86.42,10,4.12,16,6.58,7,2.88,08022
8,23,192,159,82.81,20,10.42,9,4.69,4,2.08,08023
8,24,171,136,79.53,17,9.94,10,5.85,8,4.68,08024
8,25,239,189,79.08,30,12.55,16,6.69,4,1.67,08025
8,26,186,161,86.56,16,8.6,5,2.69,4,2.15,08026
8,27,305,268,87.87,16,5.25,14,4.59,7,2.3,08027
8,28,256,228,89.06,18,7.03,6,2.34,4,1.56,08028
8,29,282,240,85.11,24,8.51,9,3.19,9,3.19,08029
8,30,277,234,84.48,26,9.39,11,3.97,6,2.17,08030
8,31,199,167,83.92,12,6.03,10,5.03,10,5.03,08031
8,32,223,198,88.79,11,4.93,12,5.38,2,0.9,08032
8,33,194,167,86.08,12,6.19,12,6.19,3,1.55,08033
8,34,269,234,86.99,22,8.18,9,3.35,4,1.49,08034
8,35,313,260,83.07,24,7.67,17,5.43,12,3.83,08035
8,36,267,218,81.65,28,10.49,13,4.87,8,3.0,08036
8,37,229,191,83.41,21,9.17,9,3.93,8,3.49,08037
8,38,181,153,84.53,15,8.29,9,4.97,4,2.21,08038
8,39,272,242,88.97,19,6.99,9,3.31,2,0.74,08039
8,40,225,198,88.0,13,5.78,7,3.11,7,3.11,08040
8,41,268,231,86.19,25,9.33,6,2.24,6,2.24,08041
8,42,303,273,90.1,15,4.95,10,3.3,5,1.65,08042
8,43,145,116,80.0,18,12.41,6,4.14,5,3.45,08043
8,44,182,155,85.16,19,10.44,7,3.85,1,0.55,08044
8,45,195,160,82.05,19,9.74,9,4.62,7,3.59,08045
8,46,190,162,85.26,13,6.84,9,4.74,6,3.16,08046
8,47,220,194,88.18,19,8.64,5,2.27,2,0.91,08047
8,48,230,200,86.96,19,8.26,7,3.04,4,1.74,08048
8,49,274,249,90.88,13,4.74,9,3.28,3,1.09,08049
8,50,269,235,87.36,18,6.69,12,4.46,4,1.49,08050
8,51,289,253,87.54,17,5.88,11,3.81,8,2.77,08051
8,52,377,336,89.12,18,4.77,15,3.98,8,2.12,08052
8,53,122,106,86.89,11,9.02,4,3.28,1,0.82,08053
8,54,180,154,85.56,16,8.89,8,4.44,2,1.11,08054
8,55,264,228,86.36,21,7.95,11,4.17,4,1.52,08055
8,56,291,252,86.6,23,7.9,8,2.75,8,2.75,08056
9,1,230,202,87.83,14,6.09,9,3.91,5,2.17,09001
9,2,224,184,82.14,25,11.16,14,6.25,1,0.45,09002
9,3,146,117,80.14,21,14.38,4,2.74,4,2.74,09003
9,4,195,180,92.31,3,1.54,10,5.13,2,1.03,09004
9,5,225,195,86.67,16,7.11,8,3.56,6,2.67,09005
9,6,242,211,87.19,19,7.85,7,2.89,5,2.07,09006
9,7,151,126,83.44,10,6.62,7,4.64,8,5.3,09007
9,8,210,180,85.71,20,9.52,6,2.86,4,1.9,09008
9,9,267,240,89.89,13,4.87,9,3.37,5,1.87,09009
9,10,209,182,87.08,16,7.66,10,4.78,1,0.48,09010
9,11,164,141,85.98,16,9.76,2,1.22,5,3.05,09011
9,12,265,232,87.55,11,4.15,15,5.66,7,2.64,09012
9,13,308,276,89.61,19,6.17,11,3.57,2,0.65,09013
9,14,306,252,82.35,28,9.15,15,4.9,11,3.59,09014
9,15,202,159,78.71,20,9.9,17,8.42,6,2.97,09015
9,16,252,220,87.3,20,7.94,10,3.97,2,0.79,09016
9,17,167,145,86.83,13,7.78,4,2.4,5,2.99,09017
9,18,167,148,88.62,12,7.19,4,2.4,3,1.8,09018
9,19,211,184,87.2,18,8.53,7,3.32,2,0.95,09019
9,20,219,189,86.3,20,9.13,6,2.74,4,1.83,09020
9,21,220,181,82.27,25,11.36,10,4.55,4,1.82,09021
9,22,274,258,94.16,11,4.01,3,1.09,2,0.73,09022
9,23,298,260,87.25,17,5.7,12,4.03,9,3.02,09023
9,24,278,234,84.17,28,10.07,9,3.24,7,2.52,09024
9,25,261,239,91.57,14,5.36,8,3.07,0,0.0,09025
9,26,200,161,80.5,23,11.5,11,5.5,5,2.5,09026
9,27,202,178,88.12,11,5.45,7,3.47,6,2.97,09027
9,28,100,73,73.0,13,13.0,10,10.0,4,4.0,09028
9,29,134,121,90.3,7,5.22,4,2.99,2,1.49,09029
9,30,173,144,83.24,21,12.14,5,2.89,3,1.73,09030
9,31,176,143,81.25,18,10.23,9,5.11,6,3.41,09031
9,32,243,218,89.71,14,5.76,8,3.29,3,1.23,09032
9,33,170,138,81.18,20,11.76,11,6.47,1,0.59,09033
9,34,169,145,85.8,13,7.69,8,4.73,3,1.78,09034
9,35,247,222,89.88,13,5.26,11,4.45,1,0.4,09035
9,36,193,172,89.12,11,5.7,3,1.55,7,3.63,09036
9,37,325,195,60.0,72,22.15,27,8.31,31,9.54,09037
9,38,226,195,86.28,15,6.64,12,5.31,4,1.77,09038
9,39,259,232,89.58,18,6.95,7,2.7,2,0.77,09039
9,40,303,269,88.78,14,4.62,13,4.29,7,2.31,09040
9,41,198,166,83.84,19,9.6,8,4.04,5,2.53,09041
9,42,276,234,84.78,19,6.88,17,6.16,6,2.17,09042
9,43,176,147,83.52,16,9.09,9,5.11,4,2.27,09043
9,44,219,199,90.87,11,5.02,7,3.2,2,0.91,09044
9,45,178,151,84.83,18,10.11,9,5.06,0,0.0,09045
9,46,249,187,75.1,24,9.64,25,10.04,13,5.22,09046
9,47,298,264,88.59,14,4.7,12,4.03,8,2.68,09047
9,48,278,244,87.77,17,6.12,15,5.4,2,0.72,09048
9,49,295,260,88.14,17,5.76,14,4.75,4,1.36,09049
9,50,382,342,89.53,20,5.24,11,2.88,9,2.36,09050
9,51,268,231,86.19,20,7.46,12,4.48,5,1.87,09051
10,1,196,130,66.33,43,21.94,17,8.67,6,3.06,10001
10,2,176,36,20.45,110,62.5,14,7.95,16,9.09,10002
10,3,178,55,30.9,93,52.25,12,6.74,18,10.11,10003
10,4,145,80,55.17,48,33.1,11,7.59,6,4.14,10004
10,5,147,34,23.13,78,53.06,20,13.61,15,10.2,10005
10,6,156,41,26.28,78,50.0,24,15.38,13,8.33,10006
10,7,124,34,27.42,50,40.32,28,22.58,12,9.68,10007
10,8,103,69,66.99,21,20.39,11,10.68,2,1.94,10008
