ward,precinct,total,Lauren Brougham Glennon,Lauren Brougham Glennon Percent,Regina Ann Mescall,Regina Ann Mescall Percent,James John Knibbs,James John Knibbs Percent,"Thomas J. Condon, Jr.","Thomas J. Condon, Jr. Percent",Brad S. Telander,Brad S. Telander Percent,Scott Edward Lipinski,Scott Edward Lipinski Percent,precinct_id
13,48,173,22,12.72,26,15.03,5,2.89,8,4.62,2,1.16,34,19.65,13048
14,1,226,65,28.76,31,13.72,6,2.65,12,5.31,4,1.77,61,26.99,14001
14,2,261,47,18.01,55,21.07,14,5.36,31,11.88,4,1.53,51,19.54,14002
14,3,168,31,18.45,42,25.0,15,8.93,13,7.74,3,1.79,31,18.45,14003
14,4,183,58,31.69,33,18.03,4,2.19,17,9.29,8,4.37,33,18.03,14004
14,7,245,53,21.63,50,20.41,10,4.08,22,8.98,7,2.86,49,20.0,14007
14,8,207,42,20.29,58,28.02,7,3.38,11,5.31,4,1.93,47,22.71,14008
14,9,255,61,23.92,48,18.82,14,5.49,17,6.67,2,0.78,62,24.31,14009
14,12,183,31,16.94,50,27.32,6,3.28,15,8.2,7,3.83,42,22.95,14012
14,13,184,33,17.93,58,31.52,10,5.43,11,5.98,2,1.09,33,17.93,14013
14,18,94,21,22.34,16,17.02,6,6.38,6,6.38,5,5.32,29,30.85,14018
14,22,252,51,20.24,52,20.63,14,5.56,22,8.73,4,1.59,65,25.79,14022
14,23,153,33,21.57,29,18.95,9,5.88,15,9.8,6,3.92,39,25.49,14023
14,24,263,130,49.43,39,14.83,16,6.08,6,2.28,1,0.38,37,14.07,14024
14,27,209,47,22.49,54,25.84,8,3.83,12,5.74,7,3.35,42,20.1,14027
14,28,145,32,22.07,29,20.0,8,5.52,9,6.21,3,2.07,32,22.07,14028
15,22,62,13,20.97,18,29.03,3,4.84,14,22.58,0,0.0,7,11.29,15022
16,29,40,10,25.0,11,27.5,4,10.0,9,22.5,0,0.0,4,10.0,16029
17,1,195,31,15.9,67,34.36,10,5.13,29,14.87,7,3.59,28,14.36,17001
17,3,164,37,22.56,42,25.61,16,9.76,26,15.85,3,1.83,20,12.2,17003
17,8,130,35,26.92,31,23.85,13,10.0,16,12.31,4,3.08,14,10.77,17008
17,11,132,26,19.7,35,26.52,9,6.82,21,15.91,5,3.79,15,11.36,17011
17,12,66,6,9.09,31,46.97,3,4.55,5,7.58,3,4.55,9,13.64,17012
17,14,45,8,17.78,9,20.0,2,4.44,4,8.89,0,0.0,9,20.0,17014
17,17,169,32,18.93,47,27.81,14,8.28,31,18.34,6,3.55,20,11.83,17017
17,19,62,20,32.26,11,17.74,6,9.68,10,16.13,0,0.0,8,12.9,17019
17,25,26,3,11.54,10,38.46,0,0.0,7,26.92,1,3.85,3,11.54,17025
17,30,130,25,19.23,31,23.85,9,6.92,23,17.69,8,6.15,19,14.62,17030
17,31,109,19,17.43,28,25.69,15,13.76,21,19.27,2,1.83,11,10.09,17031
17,32,140,29,20.71,34,24.29,19,13.57,19,13.57,3,2.14,14,10.0,17032
17,33,78,21,26.92,19,24.36,10,12.82,10,12.82,2,2.56,8,10.26,17033
17,34,106,30,28.3,20,18.87,8,7.55,18,16.98,4,3.77,10,9.43,17034
17,35,9,1,11.11,1,11.11,2,22.22,3,33.33,0,0.0,2,22.22,17035
17,36,111,32,28.83,32,28.83,8,7.21,12,10.81,2,1.8,14,12.61,17036
17,37,165,35,21.21,53,32.12,13,7.88,29,17.58,4,2.42,12,7.27,17037
17,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17040
18,1,182,27,14.84,55,30.22,14,7.69,27,14.84,3,1.65,22,12.09,18001
18,2,174,40,22.99,48,27.59,12,6.9,24,13.79,1,0.57,20,11.49,18002
18,3,151,29,19.21,32,21.19,15,9.93,29,19.21,2,1.32,23,15.23,18003
18,4,246,52,21.14,56,22.76,23,9.35,37,15.04,5,2.03,18,7.32,18004
18,5,128,27,21.09,28,21.88,14,10.94,23,17.97,5,3.91,19,14.84,18005
18,6,186,37,19.89,41,22.04,38,20.43,15,8.06,5,2.69,28,15.05,18006
18,7,180,39,21.67,40,22.22,25,13.89,26,14.44,4,2.22,21,11.67,18007
18,8,223,52,23.32,48,21.52,41,18.39,40,17.94,3,1.35,17,7.62,18008
18,9,222,43,19.37,45,20.27,33,14.86,23,10.36,12,5.41,18,8.11,18009
18,10,322,73,22.67,72,22.36,57,17.7,40,12.42,7,2.17,21,6.52,18010
18,11,161,29,18.01,41,25.47,25,15.53,23,14.29,7,4.35,17,10.56,18011
18,12,179,47,26.26,37,20.67,24,13.41,24,13.41,5,2.79,11,6.15,18012
18,13,230,62,26.96,58,25.22,33,14.35,21,9.13,4,1.74,23,10.0,18013
18,14,230,46,20.0,42,18.26,38,16.52,38,16.52,9,3.91,15,6.52,18014
18,15,216,38,17.59,65,30.09,29,13.43,19,8.8,9,4.17,26,12.04,18015
18,16,199,55,27.64,44,22.11,23,11.56,27,13.57,8,4.02,21,10.55,18016
18,17,211,39,18.48,48,22.75,24,11.37,22,10.43,5,2.37,30,14.22,18017
18,18,185,37,20.0,44,23.78,23,12.43,42,22.7,8,4.32,18,9.73,18018
18,19,181,37,20.44,36,19.89,23,12.71,32,17.68,2,1.1,18,9.94,18019
18,21,253,55,21.74,64,25.3,37,14.62,45,17.79,9,3.56,16,6.32,18021
18,22,269,69,25.65,74,27.51,22,8.18,35,13.01,9,3.35,23,8.55,18022
18,23,181,46,25.41,25,13.81,24,13.26,34,18.78,3,1.66,19,10.5,18023
18,24,161,33,20.5,35,21.74,14,8.7,11,6.83,5,3.11,33,20.5,18024
18,25,174,39,22.41,41,23.56,19,10.92,18,10.34,7,4.02,29,16.67,18025
18,26,285,60,21.05,74,25.96,29,10.18,45,15.79,3,1.05,24,8.42,18026
18,27,174,41,23.56,49,28.16,21,12.07,24,13.79,5,2.87,13,7.47,18027
18,28,177,43,24.29,34,19.21,15,8.47,19,10.73,3,1.69,36,20.34,18028
18,29,222,53,23.87,63,28.38,22,9.91,29,13.06,5,2.25,26,11.71,18029
18,30,209,42,20.1,41,19.62,26,12.44,24,11.48,8,3.83,44,21.05,18030
18,31,236,41,17.37,62,26.27,27,11.44,21,8.9,4,1.69,32,13.56,18031
18,32,228,52,22.81,50,21.93,29,12.72,44,19.3,3,1.32,19,8.33,18032
18,33,158,36,22.78,46,29.11,18,11.39,28,17.72,0,0.0,17,10.76,18033
18,34,270,44,16.3,63,23.33,28,10.37,24,8.89,12,4.44,14,5.19,18034
18,35,257,67,26.07,65,25.29,22,8.56,35,13.62,5,1.95,19,7.39,18035
18,36,195,29,14.87,44,22.56,18,9.23,28,14.36,8,4.1,32,16.41,18036
18,37,271,41,15.13,65,23.99,44,16.24,27,9.96,1,0.37,20,7.38,18037
18,39,143,32,22.38,36,25.17,18,12.59,22,15.38,2,1.4,12,8.39,18039
18,40,216,38,17.59,59,27.31,20,9.26,21,9.72,1,0.46,46,21.3,18040
18,41,270,64,23.7,56,20.74,46,17.04,32,11.85,6,2.22,22,8.15,18041
18,42,167,31,18.56,53,31.74,18,10.78,25,14.97,4,2.4,18,10.78,18042
18,43,136,31,22.79,25,18.38,9,6.62,10,7.35,4,2.94,29,21.32,18043
18,44,181,45,24.86,30,16.57,30,16.57,19,10.5,6,3.31,35,19.34,18044
18,45,172,33,19.19,43,25.0,18,10.47,11,6.4,6,3.49,29,16.86,18045
18,46,214,47,21.96,46,21.5,27,12.62,17,7.94,6,2.8,35,16.36,18046
18,47,137,39,28.47,36,26.28,21,15.33,15,10.95,6,4.38,12,8.76,18047
18,48,143,30,20.98,35,24.48,15,10.49,19,13.29,6,4.2,19,13.29,18048
18,49,116,21,18.1,29,25.0,21,18.1,16,13.79,5,4.31,12,10.34,18049
18,50,135,31,22.96,37,27.41,18,13.33,17,12.59,3,2.22,17,12.59,18050
19,1,249,50,20.08,39,15.66,56,22.49,31,12.45,13,5.22,9,3.61,19001
19,2,372,67,18.01,105,28.23,50,13.44,53,14.25,8,2.15,20,5.38,19002
19,3,189,46,24.34,18,9.52,41,21.69,17,8.99,12,6.35,16,8.47,19003
19,4,266,71,26.69,26,9.77,50,18.8,28,10.53,23,8.65,27,10.15,19004
19,5,369,61,16.53,134,36.31,68,18.43,30,8.13,5,1.36,16,4.34,19005
19,6,232,54,23.28,22,9.48,39,16.81,23,9.91,17,7.33,25,10.78,19006
19,7,245,37,15.1,36,14.69,78,31.84,41,16.73,8,3.27,10,4.08,19007
19,8,246,62,25.2,18,7.32,80,32.52,20,8.13,11,4.47,23,9.35,19008
19,9,197,46,23.35,34,17.26,13,6.6,27,13.71,13,6.6,19,9.64,19009
19,10,359,67,18.66,118,32.87,64,17.83,24,6.69,6,1.67,11,3.06,19010
19,11,239,54,22.59,26,10.88,61,25.52,16,6.69,15,6.28,27,11.3,19011
19,12,205,52,25.37,30,14.63,25,12.2,12,5.85,16,7.8,20,9.76,19012
19,13,311,58,18.65,81,26.05,37,11.9,44,14.15,9,2.89,24,7.72,19013
19,14,268,55,20.52,56,20.9,60,22.39,26,9.7,3,1.12,21,7.84,19014
19,15,262,75,28.63,20,7.63,50,19.08,21,8.02,15,5.73,22,8.4,19015
19,16,259,66,25.48,23,8.88,60,23.17,25,9.65,11,4.25,21,8.11,19016
19,17,235,50,21.28,22,9.36,76,32.34,38,16.17,6,2.55,11,4.68,19017
19,18,324,51,15.74,141,43.52,51,15.74,19,5.86,6,1.85,8,2.47,19018
19,19,407,86,21.13,76,18.67,81,19.9,31,7.62,8,1.97,17,4.18,19019
19,20,285,61,21.4,45,15.79,58,20.35,33,11.58,13,4.56,20,7.02,19020
19,21,212,47,22.17,26,12.26,45,21.23,19,8.96,18,8.49,22,10.38,19021
19,22,364,65,17.86,70,19.23,104,28.57,31,8.52,8,2.2,9,2.47,19022
19,23,303,48,15.84,31,10.23,76,25.08,64,21.12,22,7.26,14,4.62,19023
19,24,194,40,20.62,19,9.79,39,20.1,18,9.28,18,9.28,20,10.31,19024
19,25,317,56,17.67,37,11.67,99,31.23,22,6.94,13,4.1,6,1.89,19025
19,26,311,39,12.54,44,14.15,115,36.98,56,18.01,2,0.64,5,1.61,19026
19,27,268,55,20.52,90,33.58,43,16.04,25,9.33,6,2.24,17,6.34,19027
19,28,52,10,19.23,17,32.69,8,15.38,4,7.69,0,0.0,4,7.69,19028
19,29,221,52,23.53,22,9.95,31,14.03,21,9.5,13,5.88,27,12.22,19029
19,30,225,66,29.33,33,14.67,27,12.0,23,10.22,13,5.78,24,10.67,19030
19,31,275,47,17.09,51,18.55,66,24.0,31,11.27,8,2.91,10,3.64,19031
19,32,244,33,13.52,38,15.57,67,27.46,46,18.85,10,4.1,9,3.69,19032
19,33,254,59,23.23,29,11.42,47,18.5,27,10.63,11,4.33,34,13.39,19033
19,34,294,65,22.11,52,17.69,71,24.15,37,12.59,5,1.7,7,2.38,19034
19,35,289,46,15.92,51,17.65,65,22.49,45,15.57,11,3.81,2,0.69,19035
19,36,325,74,22.77,80,24.62,44,13.54,48,14.77,10,3.08,29,8.92,19036
19,37,305,43,14.1,92,30.16,53,17.38,37,12.13,3,0.98,12,3.93,19037
19,38,244,37,15.16,71,29.1,30,12.3,30,12.3,5,2.05,23,9.43,19038
19,39,80,12,15.0,31,38.75,7,8.75,13,16.25,1,1.25,10,12.5,19039
19,40,301,51,16.94,62,20.6,70,23.26,28,9.3,6,1.99,22,7.31,19040
19,41,210,47,22.38,18,8.57,40,19.05,21,10.0,11,5.24,26,12.38,19041
19,42,220,36,16.36,51,23.18,38,17.27,28,12.73,9,4.09,9,4.09,19042
19,43,315,53,16.83,87,27.62,43,13.65,47,14.92,5,1.59,19,6.03,19043
19,44,268,83,30.97,29,10.82,56,20.9,16,5.97,11,4.1,31,11.57,19044
19,45,254,55,21.65,29,11.42,59,23.23,35,13.78,14,5.51,11,4.33,19045
19,46,295,54,18.31,38,12.88,102,34.58,32,10.85,9,3.05,10,3.39,19046
19,47,410,71,17.32,75,18.29,70,17.07,72,17.56,14,3.41,26,6.34,19047
19,48,268,49,18.28,74,27.61,31,11.57,37,13.81,9,3.36,15,5.6,19048
19,49,321,66,20.56,68,21.18,56,17.45,43,13.4,4,1.25,32,9.97,19049
19,50,232,52,22.41,28,12.07,75,32.33,28,12.07,4,1.72,9,3.88,19050
19,51,325,60,18.46,46,14.15,104,32.0,48,14.77,12,3.69,11,3.38,19051
19,52,250,58,23.2,17,6.8,46,18.4,32,12.8,12,4.8,27,10.8,19052
19,53,245,41,16.73,54,22.04,55,22.45,33,13.47,7,2.86,13,5.31,19053
19,54,183,41,22.4,19,10.38,43,23.5,22,12.02,6,3.28,19,10.38,19054
19,55,193,31,16.06,17,8.81,44,22.8,34,17.62,3,1.55,17,8.81,19055
19,56,330,62,18.79,100,30.3,57,17.27,20,6.06,13,3.94,9,2.73,19056
19,57,284,45,15.85,71,25.0,67,23.59,30,10.56,8,2.82,17,5.99,19057
22,1,105,21,20.0,22,20.95,14,13.33,21,20.0,3,2.86,20,19.05,22001
22,2,216,44,20.37,56,25.93,6,2.78,14,6.48,8,3.7,58,26.85,22002
22,8,240,46,19.17,71,29.58,12,5.0,24,10.0,4,1.67,43,17.92,22008
22,23,212,41,19.34,60,28.3,17,8.02,33,15.57,6,2.83,32,15.09,22023
23,1,165,53,32.12,29,17.58,4,2.42,18,10.91,7,4.24,33,20.0,23001
23,2,166,42,25.3,30,18.07,10,6.02,12,7.23,9,5.42,43,25.9,23002
23,3,163,43,26.38,37,22.7,2,1.23,8,4.91,1,0.61,41,25.15,23003
23,4,199,41,20.6,45,22.61,10,5.03,13,6.53,5,2.51,45,22.61,23004
23,5,198,33,16.67,57,28.79,6,3.03,23,11.62,4,2.02,38,19.19,23005
23,6,90,18,20.0,16,17.78,2,2.22,15,16.67,4,4.44,21,23.33,23006
23,7,154,32,20.78,37,24.03,10,6.49,15,9.74,8,5.19,26,16.88,23007
23,8,202,41,20.3,55,27.23,12,5.94,22,10.89,4,1.98,36,17.82,23008
23,9,160,30,18.75,38,23.75,13,8.13,10,6.25,6,3.75,39,24.38,23009
23,10,200,33,16.5,57,28.5,16,8.0,17,8.5,6,3.0,39,19.5,23010
23,11,181,36,19.89,53,29.28,9,4.97,19,10.5,8,4.42,29,16.02,23011
23,12,194,70,36.08,31,15.98,6,3.09,12,6.19,4,2.06,39,20.1,23012
23,13,162,24,14.81,52,32.1,12,7.41,18,11.11,10,6.17,22,13.58,23013
23,14,168,39,23.21,25,14.88,6,3.57,18,10.71,2,1.19,56,33.33,23014
23,15,66,17,25.76,19,28.79,2,3.03,6,9.09,1,1.52,6,9.09,23015
23,16,185,54,29.19,26,14.05,11,5.95,11,5.95,6,3.24,40,21.62,23016
23,17,110,15,13.64,44,40.0,7,6.36,7,6.36,2,1.82,20,18.18,23017
23,18,144,34,23.61,26,18.06,11,7.64,13,9.03,4,2.78,37,25.69,23018
23,19,155,28,18.06,52,33.55,10,6.45,13,8.39,3,1.94,22,14.19,23019
23,20,104,21,20.19,31,29.81,1,0.96,10,9.62,3,2.88,16,15.38,23020
23,21,205,46,22.44,48,23.41,9,4.39,14,6.83,5,2.44,52,25.37,23021
23,22,161,29,18.01,40,24.84,15,9.32,8,4.97,2,1.24,36,22.36,23022
23,23,169,47,27.81,33,19.53,2,1.18,10,5.92,3,1.78,42,24.85,23023
23,24,120,23,19.17,33,27.5,8,6.67,9,7.5,5,4.17,19,15.83,23024
23,25,167,40,23.95,43,25.75,8,4.79,11,6.59,5,2.99,42,25.15,23025
23,26,162,32,19.75,46,28.4,2,1.23,12,7.41,8,4.94,36,22.22,23026
23,27,169,39,23.08,20,11.83,14,8.28,13,7.69,4,2.37,45,26.63,23027
23,28,176,39,22.16,38,21.59,15,8.52,9,5.11,6,3.41,43,24.43,23028
23,29,149,36,24.16,18,12.08,4,2.68,15,10.07,2,1.34,54,36.24,23029
23,30,225,41,18.22,63,28.0,14,6.22,17,7.56,5,2.22,54,24.0,23030
23,31,157,31,19.75,44,28.03,10,6.37,15,9.55,3,1.91,27,17.2,23031
23,32,163,31,19.02,50,30.67,5,3.07,15,9.2,5,3.07,32,19.63,23032
23,33,176,42,23.86,47,26.7,7,3.98,16,9.09,6,3.41,27,15.34,23033
23,34,187,27,14.44,43,22.99,10,5.35,26,13.9,7,3.74,41,21.93,23034
23,35,135,34,25.19,33,24.44,7,5.19,15,11.11,5,3.7,32,23.7,23035
23,36,151,35,23.18,24,15.89,7,4.64,8,5.3,4,2.65,51,33.77,23036
23,37,180,56,31.11,25,13.89,7,3.89,12,6.67,0,0.0,38,21.11,23037
23,38,152,46,30.26,28,18.42,7,4.61,19,12.5,3,1.97,26,17.11,23038
23,39,197,40,20.3,58,29.44,10,5.08,15,7.61,5,2.54,39,19.8,23039
34,17,271,60,22.14,69,25.46,28,10.33,54,19.93,2,0.74,29,10.7,34017
34,19,30,9,30.0,7,23.33,5,16.67,3,10.0,3,10.0,2,6.67,34019
34,49,131,36,27.48,29,22.14,14,10.69,23,17.56,4,3.05,8,6.11,34049
