ward,precinct,total,Tyria B. Walton,Tyria B. Walton Percent,precinct_id
8,30,219,219,100.0,08030
8,31,145,145,100.0,08031
8,32,179,179,100.0,08032
8,33,156,156,100.0,08033
8,34,202,202,100.0,08034
8,35,252,252,100.0,08035
8,36,210,210,100.0,08036
8,37,170,170,100.0,08037
8,38,137,137,100.0,08038
8,39,202,202,100.0,08039
8,40,171,171,100.0,08040
8,41,212,212,100.0,08041
8,43,104,104,100.0,08043
8,44,129,129,100.0,08044
8,45,140,140,100.0,08045
8,46,148,148,100.0,08046
8,47,166,166,100.0,08047
8,48,169,169,100.0,08048
8,49,218,218,100.0,08049
8,50,201,201,100.0,08050
8,51,222,222,100.0,08051
8,52,295,295,100.0,08052
8,53,95,95,100.0,08053
8,54,147,147,100.0,08054
8,55,212,212,100.0,08055
8,56,221,221,100.0,08056
9,12,212,212,100.0,09012
9,13,223,223,100.0,09013
9,14,199,199,100.0,09014
9,23,206,206,100.0,09023
9,24,222,222,100.0,09024
9,25,203,203,100.0,09025
9,35,112,112,100.0,09035
9,36,140,140,100.0,09036
9,42,223,223,100.0,09042
9,47,227,227,100.0,09047
9,48,209,209,100.0,09048
9,49,216,216,100.0,09049
9,50,310,310,100.0,09050
9,51,224,224,100.0,09051
10,1,139,139,100.0,10001
10,2,124,124,100.0,10002
10,3,121,121,100.0,10003
10,4,105,105,100.0,10004
10,5,100,100,100.0,10005
10,6,115,115,100.0,10006
10,7,97,97,100.0,10007
10,8,71,71,100.0,10008
10,9,123,123,100.0,10009
10,10,134,134,100.0,10010
10,11,191,191,100.0,10011
10,12,87,87,100.0,10012
10,13,152,152,100.0,10013
10,14,187,187,100.0,10014
10,15,350,350,100.0,10015
10,16,89,89,100.0,10016
10,17,196,196,100.0,10017
10,18,85,85,100.0,10018
10,19,167,167,100.0,10019
10,20,162,162,100.0,10020
10,21,140,140,100.0,10021
10,22,92,92,100.0,10022
10,23,132,132,100.0,10023
10,24,122,122,100.0,10024
10,25,46,46,100.0,10025
10,26,116,116,100.0,10026
10,27,121,121,100.0,10027
10,28,183,183,100.0,10028
10,29,150,150,100.0,10029
10,30,132,132,100.0,10030
10,31,122,122,100.0,10031
10,32,136,136,100.0,10032
10,33,105,105,100.0,10033
10,34,100,100,100.0,10034
10,35,153,153,100.0,10035
10,36,38,38,100.0,10036
17,2,146,146,100.0,17002
17,4,193,193,100.0,17004
17,5,109,109,100.0,17005
17,9,130,130,100.0,17009
17,10,199,199,100.0,17010
17,15,164,164,100.0,17015
17,18,216,216,100.0,17018
17,20,246,246,100.0,17020
17,21,239,239,100.0,17021
17,22,140,140,100.0,17022
17,23,115,115,100.0,17023
17,24,183,183,100.0,17024
17,26,168,168,100.0,17026
17,27,166,166,100.0,17027
17,28,124,124,100.0,17028
17,29,122,122,100.0,17029
17,35,35,35,100.0,17035
17,38,167,167,100.0,17038
17,39,180,180,100.0,17039
17,40,199,199,100.0,17040
17,41,238,238,100.0,17041
18,20,144,144,100.0,18020
18,38,182,182,100.0,18038
21,2,29,29,100.0,21002
21,4,164,164,100.0,21004
21,13,56,56,100.0,21013
21,15,187,187,100.0,21015
21,17,76,76,100.0,21017
21,20,143,143,100.0,21020
21,26,141,141,100.0,21026
21,28,233,233,100.0,21028
21,30,139,139,100.0,21030
21,31,155,155,100.0,21031
21,33,87,87,100.0,21033
21,34,87,87,100.0,21034
21,43,172,172,100.0,21043
21,44,44,44,100.0,21044
21,47,160,160,100.0,21047
21,48,64,64,100.0,21048
21,51,201,201,100.0,21051
21,52,151,151,100.0,21052
21,53,153,153,100.0,21053
21,54,160,160,100.0,21054
