ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Ameena Nuur Matthews,Ameena Nuur Matthews Percent,Sarah Gad,Sarah Gad Percent,"Robert Emmons, Jr.","Robert Emmons, Jr. Percent",precinct_id
4,36,212,149,70.28,17,8.02,16,7.55,30,14.15,04036
4,38,360,273,75.83,32,8.89,14,3.89,41,11.39,04038
5,2,213,187,87.79,15,7.04,4,1.88,7,3.29,05002
5,3,352,140,39.77,31,8.81,65,18.47,116,32.95,05003
5,4,419,222,52.98,50,11.93,50,11.93,97,23.15,05004
5,5,271,212,78.23,17,6.27,16,5.9,26,9.59,05005
5,7,350,251,71.71,31,8.86,27,7.71,41,11.71,05007
5,8,379,136,35.88,21,5.54,70,18.47,152,40.11,05008
5,9,437,235,53.78,53,12.13,65,14.87,84,19.22,05009
5,10,177,143,80.79,20,11.3,5,2.82,9,5.08,05010
5,11,145,76,52.41,13,8.97,17,11.72,39,26.9,05011
5,12,197,162,82.23,12,6.09,9,4.57,14,7.11,05012
5,13,280,221,78.93,27,9.64,12,4.29,20,7.14,05013
5,15,316,187,59.18,31,9.81,44,13.92,54,17.09,05015
5,16,287,230,80.14,29,10.1,13,4.53,15,5.23,05016
5,17,229,187,81.66,15,6.55,17,7.42,10,4.37,05017
5,18,186,98,52.69,19,10.22,16,8.6,53,28.49,05018
5,19,342,136,39.77,22,6.43,62,18.13,122,35.67,05019
5,20,405,246,60.74,38,9.38,43,10.62,78,19.26,05020
5,21,337,140,41.54,33,9.79,66,19.58,98,29.08,05021
5,22,412,233,56.55,36,8.74,47,11.41,96,23.3,05022
5,24,375,157,41.87,26,6.93,67,17.87,125,33.33,05024
5,25,59,49,83.05,3,5.08,2,3.39,5,8.47,05025
5,27,362,109,30.11,31,8.56,65,17.96,157,43.37,05027
5,30,209,162,77.51,19,9.09,13,6.22,15,7.18,05030
5,33,338,290,85.8,17,5.03,16,4.73,15,4.44,05033
5,34,411,120,29.2,39,9.49,87,21.17,165,40.15,05034
5,35,360,138,38.33,40,11.11,53,14.72,129,35.83,05035
5,39,288,114,39.58,25,8.68,47,16.32,102,35.42,05039
6,1,303,262,86.47,20,6.6,7,2.31,14,4.62,06001
6,2,314,261,83.12,23,7.32,9,2.87,21,6.69,06002
6,3,297,261,87.88,14,4.71,10,3.37,12,4.04,06003
6,4,177,156,88.14,6,3.39,8,4.52,7,3.95,06004
6,5,144,128,88.89,7,4.86,4,2.78,5,3.47,06005
6,6,302,257,85.1,24,7.95,7,2.32,14,4.64,06006
6,7,239,205,85.77,17,7.11,4,1.67,13,5.44,06007
6,8,277,236,85.2,19,6.86,8,2.89,14,5.05,06008
6,9,208,176,84.62,11,5.29,8,3.85,13,6.25,06009
6,10,155,133,85.81,11,7.1,3,1.94,8,5.16,06010
6,11,213,183,85.92,10,4.69,8,3.76,12,5.63,06011
6,12,172,148,86.05,6,3.49,12,6.98,6,3.49,06012
6,13,215,186,86.51,11,5.12,4,1.86,14,6.51,06013
6,14,244,202,82.79,23,9.43,11,4.51,8,3.28,06014
6,15,213,180,84.51,9,4.23,15,7.04,9,4.23,06015
6,16,314,262,83.44,28,8.92,10,3.18,14,4.46,06016
6,17,147,125,85.03,9,6.12,5,3.4,8,5.44,06017
6,18,202,171,84.65,10,4.95,14,6.93,7,3.47,06018
6,19,206,176,85.44,15,7.28,2,0.97,13,6.31,06019
6,20,136,115,84.56,5,3.68,9,6.62,7,5.15,06020
6,21,8,8,100.0,0,0.0,0,0.0,0,0.0,06021
6,22,157,121,77.07,12,7.64,13,8.28,11,7.01,06022
6,23,108,93,86.11,2,1.85,4,3.7,9,8.33,06023
6,24,132,121,91.67,4,3.03,4,3.03,3,2.27,06024
6,25,114,99,86.84,5,4.39,5,4.39,5,4.39,06025
6,26,144,126,87.5,6,4.17,7,4.86,5,3.47,06026
6,27,120,102,85.0,7,5.83,6,5.0,5,4.17,06027
6,28,113,99,87.61,4,3.54,4,3.54,6,5.31,06028
6,29,282,238,84.4,18,6.38,4,1.42,22,7.8,06029
6,30,191,152,79.58,15,7.85,14,7.33,10,5.24,06030
6,31,296,244,82.43,22,7.43,17,5.74,13,4.39,06031
6,32,247,209,84.62,24,9.72,7,2.83,7,2.83,06032
6,33,245,221,90.2,10,4.08,4,1.63,10,4.08,06033
6,34,265,221,83.4,17,6.42,13,4.91,14,5.28,06034
6,35,260,211,81.15,22,8.46,9,3.46,18,6.92,06035
6,36,323,285,88.24,16,4.95,13,4.02,9,2.79,06036
6,37,308,253,82.14,25,8.12,11,3.57,19,6.17,06037
6,38,303,253,83.5,22,7.26,9,2.97,19,6.27,06038
6,39,196,161,82.14,15,7.65,6,3.06,14,7.14,06039
6,40,215,178,82.79,19,8.84,9,4.19,9,4.19,06040
6,41,271,227,83.76,23,8.49,11,4.06,10,3.69,06041
6,42,228,192,84.21,10,4.39,10,4.39,16,7.02,06042
6,43,236,197,83.47,10,4.24,11,4.66,18,7.63,06043
6,44,269,241,89.59,14,5.2,5,1.86,9,3.35,06044
6,45,297,245,82.49,19,6.4,8,2.69,25,8.42,06045
6,46,185,156,84.32,7,3.78,5,2.7,17,9.19,06046
6,47,194,170,87.63,9,4.64,9,4.64,6,3.09,06047
6,48,246,209,84.96,17,6.91,11,4.47,9,3.66,06048
7,1,99,81,81.82,8,8.08,5,5.05,5,5.05,07001
8,1,190,157,82.63,14,7.37,8,4.21,11,5.79,08001
8,2,186,156,83.87,10,5.38,8,4.3,12,6.45,08002
8,3,329,277,84.19,20,6.08,9,2.74,23,6.99,08003
8,4,110,88,80.0,7,6.36,4,3.64,11,10.0,08004
8,5,293,248,84.64,25,8.53,7,2.39,13,4.44,08005
8,6,278,232,83.45,18,6.47,13,4.68,15,5.4,08006
8,8,283,236,83.39,24,8.48,7,2.47,16,5.65,08008
8,10,362,301,83.15,24,6.63,13,3.59,24,6.63,08010
8,11,162,143,88.27,9,5.56,6,3.7,4,2.47,08011
8,12,227,191,84.14,11,4.85,5,2.2,20,8.81,08012
8,13,260,214,82.31,18,6.92,15,5.77,13,5.0,08013
8,14,181,152,83.98,15,8.29,7,3.87,7,3.87,08014
8,15,244,201,82.38,16,6.56,10,4.1,17,6.97,08015
8,16,80,68,85.0,3,3.75,5,6.25,4,5.0,08016
8,18,171,151,88.3,10,5.85,5,2.92,5,2.92,08018
8,19,311,257,82.64,13,4.18,15,4.82,26,8.36,08019
8,20,302,249,82.45,23,7.62,11,3.64,19,6.29,08020
8,21,317,264,83.28,23,7.26,14,4.42,16,5.05,08021
8,22,240,208,86.67,11,4.58,8,3.33,13,5.42,08022
8,23,187,167,89.3,9,4.81,4,2.14,7,3.74,08023
8,24,166,147,88.55,5,3.01,4,2.41,10,6.02,08024
8,25,229,187,81.66,12,5.24,12,5.24,18,7.86,08025
8,26,181,151,83.43,16,8.84,9,4.97,5,2.76,08026
8,27,65,49,75.38,7,10.77,2,3.08,7,10.77,08027
8,29,273,222,81.32,26,9.52,8,2.93,17,6.23,08029
8,30,269,227,84.39,12,4.46,12,4.46,18,6.69,08030
8,31,195,163,83.59,13,6.67,7,3.59,12,6.15,08031
8,33,196,166,84.69,14,7.14,10,5.1,6,3.06,08033
8,34,262,227,86.64,14,5.34,8,3.05,13,4.96,08034
8,35,319,256,80.25,23,7.21,13,4.08,27,8.46,08035
8,37,225,190,84.44,10,4.44,8,3.56,17,7.56,08037
8,38,178,158,88.76,8,4.49,5,2.81,7,3.93,08038
8,40,218,193,88.53,10,4.59,7,3.21,8,3.67,08040
8,41,262,230,87.79,12,4.58,7,2.67,13,4.96,08041
8,43,144,127,88.19,6,4.17,6,4.17,5,3.47,08043
8,44,179,161,89.94,8,4.47,2,1.12,8,4.47,08044
8,45,193,163,84.46,7,3.63,9,4.66,14,7.25,08045
8,47,219,187,85.39,10,4.57,12,5.48,10,4.57,08047
8,48,230,191,83.04,15,6.52,10,4.35,14,6.09,08048
8,49,257,217,84.44,24,9.34,7,2.72,9,3.5,08049
8,50,163,145,88.96,8,4.91,1,0.61,9,5.52,08050
8,51,278,239,85.97,14,5.04,5,1.8,20,7.19,08051
8,52,379,318,83.91,24,6.33,12,3.17,25,6.6,08052
8,54,188,168,89.36,8,4.26,6,3.19,6,3.19,08054
8,55,256,223,87.11,14,5.47,12,4.69,7,2.73,08055
8,56,285,236,82.81,24,8.42,3,1.05,22,7.72,08056
9,12,266,230,86.47,12,4.51,7,2.63,17,6.39,09012
9,23,287,243,84.67,13,4.53,4,1.39,27,9.41,09023
9,24,267,225,84.27,16,5.99,9,3.37,17,6.37,09024
9,25,254,209,82.28,22,8.66,8,3.15,15,5.91,09025
9,36,191,178,93.19,8,4.19,2,1.05,3,1.57,09036
9,42,272,222,81.62,14,5.15,11,4.04,25,9.19,09042
9,47,286,242,84.62,19,6.64,7,2.45,18,6.29,09047
9,48,270,229,84.81,15,5.56,7,2.59,19,7.04,09048
9,49,292,243,83.22,18,6.16,15,5.14,16,5.48,09049
9,50,375,314,83.73,23,6.13,11,2.93,27,7.2,09050
9,51,266,227,85.34,10,3.76,12,4.51,17,6.39,09051
13,19,265,124,46.79,40,15.09,76,28.68,25,9.43,13019
13,41,46,22,47.83,11,23.91,8,17.39,5,10.87,13041
16,6,0,0,0.0,0,0.0,0,0.0,0,0.0,16006
16,9,148,134,90.54,6,4.05,3,2.03,5,3.38,16009
16,27,47,40,85.11,1,2.13,2,4.26,4,8.51,16027
16,28,168,139,82.74,12,7.14,9,5.36,8,4.76,16028
16,30,109,99,90.83,1,0.92,5,4.59,4,3.67,16030
16,31,38,35,92.11,0,0.0,1,2.63,2,5.26,16031
16,34,33,28,84.85,3,9.09,0,0.0,2,6.06,16034
17,1,215,135,62.79,23,10.7,38,17.67,19,8.84,17001
17,2,203,180,88.67,13,6.4,4,1.97,6,2.96,17002
17,3,207,178,85.99,14,6.76,7,3.38,8,3.86,17003
17,4,280,245,87.5,8,2.86,11,3.93,16,5.71,17004
17,5,145,125,86.21,10,6.9,2,1.38,8,5.52,17005
17,6,138,98,71.01,14,10.14,19,13.77,7,5.07,17006
17,8,173,144,83.24,14,8.09,9,5.2,6,3.47,17008
17,9,164,139,84.76,10,6.1,5,3.05,10,6.1,17009
17,10,285,253,88.77,5,1.75,8,2.81,19,6.67,17010
17,11,163,144,88.34,2,1.23,7,4.29,10,6.13,17011
17,12,37,26,70.27,5,13.51,4,10.81,2,5.41,17012
17,13,0,0,0.0,0,0.0,0,0.0,0,0.0,17013
17,15,224,187,83.48,13,5.8,10,4.46,14,6.25,17015
17,16,142,92,64.79,13,9.15,18,12.68,19,13.38,17016
17,17,195,151,77.44,13,6.67,18,9.23,13,6.67,17017
17,18,268,237,88.43,18,6.72,6,2.24,7,2.61,17018
17,20,281,253,90.04,12,4.27,6,2.14,10,3.56,17020
17,21,311,257,82.64,21,6.75,13,4.18,20,6.43,17021
17,22,174,151,86.78,8,4.6,10,5.75,5,2.87,17022
17,23,140,121,86.43,9,6.43,3,2.14,7,5.0,17023
17,24,243,217,89.3,7,2.88,7,2.88,12,4.94,17024
17,25,155,121,78.06,12,7.74,15,9.68,7,4.52,17025
17,26,235,206,87.66,12,5.11,7,2.98,10,4.26,17026
17,27,215,173,80.47,10,4.65,5,2.33,27,12.56,17027
17,28,162,143,88.27,5,3.09,7,4.32,7,4.32,17028
17,29,160,143,89.38,9,5.63,4,2.5,4,2.5,17029
17,30,143,89,62.24,14,9.79,25,17.48,15,10.49,17030
17,32,164,144,87.8,6,3.66,7,4.27,7,4.27,17032
17,33,16,15,93.75,1,6.25,0,0.0,0,0.0,17033
17,34,137,121,88.32,4,2.92,7,5.11,5,3.65,17034
17,35,43,38,88.37,5,11.63,0,0.0,0,0.0,17035
17,36,163,151,92.64,6,3.68,3,1.84,3,1.84,17036
17,37,209,187,89.47,2,0.96,10,4.78,10,4.78,17037
17,38,217,185,85.25,8,3.69,15,6.91,9,4.15,17038
17,39,234,216,92.31,7,2.99,8,3.42,3,1.28,17039
17,40,245,221,90.2,8,3.27,7,2.86,9,3.67,17040
17,41,286,249,87.06,15,5.24,9,3.15,13,4.55,17041
18,1,208,159,76.44,18,8.65,16,7.69,15,7.21,18001
18,2,186,103,55.38,17,9.14,41,22.04,25,13.44,18002
18,3,165,97,58.79,24,14.55,28,16.97,16,9.7,18003
18,4,283,238,84.1,18,6.36,9,3.18,18,6.36,18004
18,5,151,137,90.73,10,6.62,4,2.65,0,0.0,18005
18,6,209,125,59.81,28,13.4,24,11.48,32,15.31,18006
18,7,206,157,76.21,17,8.25,17,8.25,15,7.28,18007
18,8,257,210,81.71,11,4.28,13,5.06,23,8.95,18008
18,9,253,205,81.03,22,8.7,6,2.37,20,7.91,18009
18,10,368,312,84.78,19,5.16,12,3.26,25,6.79,18010
18,11,197,145,73.6,14,7.11,28,14.21,10,5.08,18011
18,12,199,170,85.43,11,5.53,7,3.52,11,5.53,18012
18,13,265,221,83.4,13,4.91,15,5.66,16,6.04,18013
18,14,277,235,84.84,15,5.42,13,4.69,14,5.05,18014
18,15,12,3,25.0,2,16.67,7,58.33,0,0.0,18015
18,16,235,195,82.98,16,6.81,8,3.4,16,6.81,18016
18,17,243,191,78.6,18,7.41,19,7.82,15,6.17,18017
18,18,228,198,86.84,8,3.51,6,2.63,16,7.02,18018
18,19,217,201,92.63,12,5.53,2,0.92,2,0.92,18019
18,20,187,162,86.63,13,6.95,4,2.14,8,4.28,18020
18,21,313,246,78.59,29,9.27,15,4.79,23,7.35,18021
18,22,327,289,88.38,21,6.42,7,2.14,10,3.06,18022
18,23,222,172,77.48,20,9.01,11,4.95,19,8.56,18023
18,26,331,273,82.48,23,6.95,13,3.93,22,6.65,18026
18,27,208,167,80.29,15,7.21,12,5.77,14,6.73,18027
18,28,200,112,56.0,31,15.5,29,14.5,28,14.0,18028
18,29,250,183,73.2,22,8.8,22,8.8,23,9.2,18029
18,31,260,203,78.08,19,7.31,22,8.46,16,6.15,18031
18,32,268,225,83.96,17,6.34,7,2.61,19,7.09,18032
18,33,195,165,84.62,10,5.13,11,5.64,9,4.62,18033
18,34,322,274,85.09,15,4.66,7,2.17,26,8.07,18034
18,35,309,248,80.26,16,5.18,18,5.83,27,8.74,18035
18,36,222,150,67.57,27,12.16,28,12.61,17,7.66,18036
18,37,309,254,82.2,28,9.06,9,2.91,18,5.83,18037
18,38,238,210,88.24,15,6.3,3,1.26,10,4.2,18038
18,39,168,131,77.98,9,5.36,16,9.52,12,7.14,18039
18,41,316,266,84.18,19,6.01,14,4.43,17,5.38,18041
18,42,188,143,76.06,13,6.91,17,9.04,15,7.98,18042
18,44,185,95,51.35,20,10.81,44,23.78,26,14.05,18044
18,45,190,121,63.68,22,11.58,29,15.26,18,9.47,18045
18,47,166,139,83.73,8,4.82,9,5.42,10,6.02,18047
18,48,161,143,88.82,7,4.35,6,3.73,5,3.11,18048
18,49,138,116,84.06,5,3.62,8,5.8,9,6.52,18049
18,50,161,133,82.61,11,6.83,12,7.45,5,3.11,18050
19,2,360,247,68.61,33,9.17,28,7.78,52,14.44,19002
19,5,241,157,65.15,27,11.2,22,9.13,35,14.52,19005
19,10,38,18,47.37,6,15.79,7,18.42,7,18.42,19010
19,11,18,10,55.56,2,11.11,6,33.33,0,0.0,19011
19,13,367,283,77.11,32,8.72,9,2.45,43,11.72,19013
19,14,291,164,56.36,24,8.25,32,11.0,71,24.4,19014
19,20,313,221,70.61,24,7.67,30,9.58,38,12.14,19020
19,25,78,37,47.44,12,15.38,12,15.38,17,21.79,19025
19,27,298,184,61.74,31,10.4,34,11.41,49,16.44,19027
19,28,337,269,79.82,18,5.34,17,5.04,33,9.79,19028
19,31,271,119,43.91,19,7.01,48,17.71,85,31.37,19031
19,36,385,266,69.09,47,12.21,28,7.27,44,11.43,19036
19,37,333,179,53.75,47,14.11,24,7.21,83,24.92,19037
19,38,274,192,70.07,19,6.93,30,10.95,33,12.04,19038
19,39,97,79,81.44,4,4.12,7,7.22,7,7.22,19039
19,40,314,169,53.82,35,11.15,46,14.65,64,20.38,19040
19,42,244,152,62.3,18,7.38,32,13.11,42,17.21,19042
19,43,413,332,80.39,28,6.78,13,3.15,40,9.69,19043
19,47,447,323,72.26,30,6.71,40,8.95,54,12.08,19047
19,48,346,278,80.35,23,6.65,9,2.6,36,10.4,19048
19,49,364,266,73.08,28,7.69,19,5.22,51,14.01,19049
19,57,31,17,54.84,1,3.23,4,12.9,9,29.03,19057
20,1,249,199,79.92,13,5.22,20,8.03,17,6.83,20001
20,3,202,166,82.18,12,5.94,15,7.43,9,4.46,20003
20,5,268,205,76.49,30,11.19,13,4.85,20,7.46,20005
20,7,223,183,82.06,13,5.83,18,8.07,9,4.04,20007
20,8,222,199,89.64,9,4.05,7,3.15,7,3.15,20008
20,9,382,276,72.25,42,10.99,33,8.64,31,8.12,20009
20,10,156,133,85.26,12,7.69,8,5.13,3,1.92,20010
20,11,203,161,79.31,12,5.91,15,7.39,15,7.39,20011
20,12,169,141,83.43,14,8.28,4,2.37,10,5.92,20012
20,13,247,224,90.69,6,2.43,9,3.64,8,3.24,20013
20,14,141,111,78.72,6,4.26,13,9.22,11,7.8,20014
20,16,303,208,68.65,32,10.56,33,10.89,30,9.9,20016
20,18,150,129,86.0,8,5.33,4,2.67,9,6.0,20018
20,19,226,183,80.97,16,7.08,17,7.52,10,4.42,20019
20,22,306,227,74.18,28,9.15,14,4.58,37,12.09,20022
20,23,209,182,87.08,8,3.83,8,3.83,11,5.26,20023
20,24,288,170,59.03,27,9.38,45,15.63,46,15.97,20024
20,26,249,176,70.68,21,8.43,17,6.83,35,14.06,20026
20,27,93,79,84.95,4,4.3,1,1.08,9,9.68,20027
20,28,124,108,87.1,8,6.45,3,2.42,5,4.03,20028
20,29,264,231,87.5,10,3.79,8,3.03,15,5.68,20029
20,30,41,37,90.24,3,7.32,0,0.0,1,2.44,20030
20,31,113,95,84.07,9,7.96,6,5.31,3,2.65,20031
20,33,145,118,81.38,8,5.52,9,6.21,10,6.9,20033
20,34,367,174,47.41,34,9.26,57,15.53,102,27.79,20034
20,35,146,119,81.51,10,6.85,11,7.53,6,4.11,20035
20,37,54,49,90.74,2,3.7,3,5.56,0,0.0,20037
21,1,267,229,85.77,14,5.24,12,4.49,12,4.49,21001
21,2,186,154,82.8,10,5.38,13,6.99,9,4.84,21002
21,3,268,227,84.7,17,6.34,8,2.99,16,5.97,21003
21,4,222,195,87.84,10,4.5,7,3.15,10,4.5,21004
21,5,292,246,84.25,13,4.45,11,3.77,22,7.53,21005
21,6,225,195,86.67,10,4.44,11,4.89,9,4.0,21006
21,7,269,233,86.62,11,4.09,6,2.23,19,7.06,21007
21,8,255,230,90.2,7,2.75,8,3.14,10,3.92,21008
21,9,286,240,83.92,19,6.64,9,3.15,18,6.29,21009
21,10,213,188,88.26,4,1.88,5,2.35,16,7.51,21010
21,11,239,196,82.01,9,3.77,14,5.86,20,8.37,21011
21,12,220,186,84.55,17,7.73,6,2.73,11,5.0,21012
21,13,230,201,87.39,17,7.39,4,1.74,8,3.48,21013
21,14,271,241,88.93,10,3.69,8,2.95,12,4.43,21014
21,15,221,197,89.14,9,4.07,6,2.71,9,4.07,21015
21,16,218,178,81.65,16,7.34,5,2.29,19,8.72,21016
21,17,194,168,86.6,8,4.12,8,4.12,10,5.15,21017
21,18,285,251,88.07,18,6.32,4,1.4,12,4.21,21018
21,19,255,217,85.1,13,5.1,6,2.35,19,7.45,21019
21,20,212,182,85.85,18,8.49,5,2.36,7,3.3,21020
21,21,198,177,89.39,5,2.53,3,1.52,13,6.57,21021
21,22,212,190,89.62,13,6.13,4,1.89,5,2.36,21022
21,23,218,187,85.78,14,6.42,6,2.75,11,5.05,21023
21,24,262,225,85.88,15,5.73,5,1.91,17,6.49,21024
21,25,238,197,82.77,16,6.72,8,3.36,17,7.14,21025
21,26,217,194,89.4,12,5.53,4,1.84,7,3.23,21026
21,27,244,211,86.48,10,4.1,8,3.28,15,6.15,21027
21,28,287,254,88.5,16,5.57,8,2.79,9,3.14,21028
21,29,314,275,87.58,16,5.1,10,3.18,13,4.14,21029
21,30,183,159,86.89,8,4.37,10,5.46,6,3.28,21030
21,31,193,164,84.97,12,6.22,6,3.11,11,5.7,21031
21,32,227,204,89.87,4,1.76,7,3.08,12,5.29,21032
21,33,229,197,86.03,11,4.8,5,2.18,16,6.99,21033
21,34,216,188,87.04,9,4.17,5,2.31,14,6.48,21034
21,35,297,253,85.19,12,4.04,11,3.7,21,7.07,21035
21,36,255,219,85.88,19,7.45,5,1.96,12,4.71,21036
21,37,170,143,84.12,9,5.29,6,3.53,12,7.06,21037
21,38,216,184,85.19,11,5.09,8,3.7,13,6.02,21038
21,39,189,166,87.83,9,4.76,9,4.76,5,2.65,21039
21,40,241,208,86.31,9,3.73,10,4.15,14,5.81,21040
21,41,259,227,87.64,12,4.63,8,3.09,12,4.63,21041
21,42,284,237,83.45,17,5.99,13,4.58,17,5.99,21042
21,43,212,178,83.96,10,4.72,9,4.25,15,7.08,21043
21,44,269,226,84.01,19,7.06,10,3.72,14,5.2,21044
21,45,210,184,87.62,7,3.33,6,2.86,13,6.19,21045
21,46,277,230,83.03,20,7.22,10,3.61,17,6.14,21046
21,47,207,183,88.41,11,5.31,6,2.9,7,3.38,21047
21,48,232,202,87.07,12,5.17,6,2.59,12,5.17,21048
21,49,286,235,82.17,15,5.24,9,3.15,27,9.44,21049
21,50,181,160,88.4,9,4.97,4,2.21,8,4.42,21050
21,51,252,214,84.92,16,6.35,6,2.38,16,6.35,21051
21,52,231,194,83.98,16,6.93,4,1.73,17,7.36,21052
21,53,206,170,82.52,16,7.77,8,3.88,12,5.83,21053
21,54,212,191,90.09,7,3.3,8,3.77,6,2.83,21054
34,1,279,231,82.8,17,6.09,9,3.23,22,7.89,34001
34,2,194,160,82.47,8,4.12,6,3.09,20,10.31,34002
34,3,250,215,86.0,11,4.4,8,3.2,16,6.4,34003
34,5,225,189,84.0,13,5.78,6,2.67,17,7.56,34005
34,6,296,255,86.15,13,4.39,11,3.72,17,5.74,34006
34,7,298,251,84.23,11,3.69,7,2.35,29,9.73,34007
34,8,192,174,90.63,6,3.13,1,0.52,11,5.73,34008
34,9,146,126,86.3,2,1.37,7,4.79,11,7.53,34009
34,10,252,213,84.52,20,7.94,5,1.98,14,5.56,34010
34,11,186,145,77.96,16,8.6,9,4.84,16,8.6,34011
34,12,276,236,85.51,10,3.62,8,2.9,22,7.97,34012
34,13,253,202,79.84,12,4.74,16,6.32,23,9.09,34013
34,14,194,163,84.02,8,4.12,12,6.19,11,5.67,34014
34,15,192,169,88.02,6,3.13,3,1.56,14,7.29,34015
34,16,192,159,82.81,7,3.65,6,3.13,20,10.42,34016
34,17,318,265,83.33,11,3.46,9,2.83,33,10.38,34017
34,19,252,216,85.71,11,4.37,7,2.78,18,7.14,34019
34,20,323,287,88.85,16,4.95,7,2.17,13,4.02,34020
34,21,308,256,83.12,20,6.49,8,2.6,24,7.79,34021
34,22,140,118,84.29,9,6.43,5,3.57,8,5.71,34022
34,25,381,311,81.63,27,7.09,8,2.1,35,9.19,34025
34,26,282,245,86.88,13,4.61,6,2.13,18,6.38,34026
34,29,205,178,86.83,6,2.93,6,2.93,15,7.32,34029
34,30,107,93,86.92,6,5.61,2,1.87,6,5.61,34030
34,31,175,145,82.86,13,7.43,6,3.43,11,6.29,34031
34,32,224,189,84.38,12,5.36,9,4.02,14,6.25,34032
34,33,170,153,90.0,7,4.12,3,1.76,7,4.12,34033
34,34,301,258,85.71,11,3.65,13,4.32,19,6.31,34034
34,35,277,218,78.7,18,6.5,15,5.42,26,9.39,34035
34,40,263,205,77.95,18,6.84,6,2.28,34,12.93,34040
34,41,33,25,75.76,5,15.15,0,0.0,3,9.09,34041
34,42,260,211,81.15,17,6.54,5,1.92,27,10.38,34042
34,43,240,216,90.0,6,2.5,5,2.08,13,5.42,34043
34,44,261,226,86.59,11,4.21,11,4.21,13,4.98,34044
34,45,215,191,88.84,9,4.19,3,1.4,12,5.58,34045
34,46,180,151,83.89,19,10.56,3,1.67,7,3.89,34046
34,47,249,219,87.95,14,5.62,9,3.61,7,2.81,34047
34,48,290,250,86.21,13,4.48,2,0.69,25,8.62,34048
34,49,241,191,79.25,14,5.81,13,5.39,23,9.54,34049
34,50,186,157,84.41,7,3.76,4,2.15,18,9.68,34050
34,51,296,247,83.45,16,5.41,3,1.01,30,10.14,34051
34,52,206,168,81.55,10,4.85,10,4.85,18,8.74,34052
