ward,precinct,total,Brandon Johnson (Elizabeth Warren),Brandon Johnson (Elizabeth Warren) Percent,Jamie Brown (Elizabeth Warren),Jamie Brown (Elizabeth Warren) Percent,Frederick ''Fritz'' Kaegi (Elizabeth W,Frederick ''Fritz'' Kaegi (Elizabeth W Percent,Mony Ruiz Velasco (Elizabeth Warren),Mony Ruiz Velasco (Elizabeth Warren) Percent,Marlon D. Harris (Elizabeth Warren),Marlon D. Harris (Elizabeth Warren) Percent,Harlene Ellin (Elizabeth Warren),Harlene Ellin (Elizabeth Warren) Percent,Mihir Garud (Elizabeth Warren),Mihir Garud (Elizabeth Warren) Percent,Benetta Mansfield (Elizabeth Warren),Benetta Mansfield (Elizabeth Warren) Percent,Mary Ann Abbott (Andrew Yang),Mary Ann Abbott (Andrew Yang) Percent,Elizabeth Henricks (Andrew Yang),Elizabeth Henricks (Andrew Yang) Percent,Steven Dyme (Andrew Yang),Steven Dyme (Andrew Yang) Percent,Yvonne O'Connor (Andrew Yang),Yvonne O'Connor (Andrew Yang) Percent,Peter Wojda IV (Andrew Yang),Peter Wojda IV (Andrew Yang) Percent,Rudyard ''Rudy'' Urian (Andrew Yang),Rudyard ''Rudy'' Urian (Andrew Yang) Percent,Marty Castro (Pete Buttigieg),Marty Castro (Pete Buttigieg) Percent,Eric Davis (Pete Buttigieg),Eric Davis (Pete Buttigieg) Percent,Thomas Gary (Pete Buttigieg),Thomas Gary (Pete Buttigieg) Percent,Marla Izbicky (Pete Buttigieg),Marla Izbicky (Pete Buttigieg) Percent,Amalia Mahoney (Pete Buttigieg),Amalia Mahoney (Pete Buttigieg) Percent,Cristal Thomas Gary (Pete Buttigieg),Cristal Thomas Gary (Pete Buttigieg) Percent,Claudia Moreno-Nunez (Bernie Sanders),Claudia Moreno-Nunez (Bernie Sanders) Percent,Julie Lehrman (Bernie Sanders),Julie Lehrman (Bernie Sanders) Percent,Martese Luzette Chism (Bernie Sanders),Martese Luzette Chism (Bernie Sanders) Percent,Ojus Khanolkar (Bernie Sanders),Ojus Khanolkar (Bernie Sanders) Percent,Dominique Coronel (Bernie Sanders),Dominique Coronel (Bernie Sanders) Percent,Miguel Bautista (Bernie Sanders),Miguel Bautista (Bernie Sanders) Percent,Ronald Lawless (Bernie Sanders),Ronald Lawless (Bernie Sanders) Percent,Tim Thomas (Bernie Sanders),Tim Thomas (Bernie Sanders) Percent,Barton Moy (Amy J. Klobuchar),Barton Moy (Amy J. Klobuchar) Percent,Gail M. Silver (Amy J. Klobuchar),Gail M. Silver (Amy J. Klobuchar) Percent,Joan L. Long (Amy J. Klobuchar),Joan L. Long (Amy J. Klobuchar) Percent,Addison Woodward (Amy J. Klobuchar),Addison Woodward (Amy J. Klobuchar) Percent,Ann Henstrand (Amy J. Klobuchar),Ann Henstrand (Amy J. Klobuchar) Percent,Jennifer Vincent (Amy J. Klobuchar),Jennifer Vincent (Amy J. Klobuchar) Percent,Markayle Tolliver (Amy J. Klobuchar),Markayle Tolliver (Amy J. Klobuchar) Percent,Thomas A. (Tom) Ciavarella (Amy J. Klo,Thomas A. (Tom) Ciavarella (Amy J. Klo Percent,precinct_id
2,14,2314,25,1.08,23,0.99,23,0.99,29,1.25,25,1.08,28,1.21,24,1.04,29,1.25,7,0.3,4,0.17,2,0.09,4,0.17,3,0.13,4,0.17,7,0.3,5,0.22,4,0.17,8,0.35,10,0.43,6,0.26,190,8.21,186,8.04,177,7.65,175,7.56,181,7.82,177,7.65,169,7.3,169,7.3,5,0.22,5,0.22,3,0.13,3,0.13,3,0.13,5,0.22,2,0.09,2,0.09,02014
2,17,2790,26,0.93,28,1.0,27,0.97,23,0.82,15,0.54,22,0.79,23,0.82,24,0.86,9,0.32,11,0.39,7,0.25,6,0.22,3,0.11,4,0.14,8,0.29,9,0.32,6,0.22,13,0.47,11,0.39,5,0.18,195,6.99,185,6.63,183,6.56,187,6.7,188,6.74,189,6.77,173,6.2,169,6.06,4,0.14,5,0.18,4,0.14,1,0.04,7,0.25,6,0.22,4,0.14,2,0.07,02017
2,18,2116,16,0.76,16,0.76,13,0.61,14,0.66,9,0.43,16,0.76,11,0.52,16,0.76,7,0.33,4,0.19,1,0.05,3,0.14,2,0.09,2,0.09,3,0.14,2,0.09,6,0.28,6,0.28,5,0.24,8,0.38,60,2.84,59,2.79,55,2.6,54,2.55,56,2.65,55,2.6,48,2.27,51,2.41,3,0.14,4,0.19,3,0.14,6,0.28,2,0.09,5,0.24,1,0.05,1,0.05,02018
2,19,1035,11,1.06,9,0.87,10,0.97,7,0.68,4,0.39,6,0.58,6,0.58,8,0.77,2,0.19,1,0.1,1,0.1,2,0.19,1,0.1,3,0.29,6,0.58,5,0.48,5,0.48,8,0.77,7,0.68,5,0.48,32,3.09,31,3.0,33,3.19,30,2.9,31,3.0,31,3.0,27,2.61,26,2.51,1,0.1,2,0.19,1,0.1,1,0.1,4,0.39,4,0.39,1,0.1,2,0.19,02019
2,20,688,11,1.6,11,1.6,7,1.02,7,1.02,7,1.02,7,1.02,7,1.02,9,1.31,0,0.0,2,0.29,2,0.29,2,0.29,2,0.29,0,0.0,5,0.73,8,1.16,5,0.73,5,0.73,7,1.02,5,0.73,30,4.36,23,3.34,24,3.49,24,3.49,22,3.2,26,3.78,25,3.63,23,3.34,5,0.73,4,0.58,1,0.15,2,0.29,1,0.15,3,0.44,0,0.0,0,0.0,02020
2,21,176,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,8.52,14,7.95,13,7.39,13,7.39,13,7.39,14,7.95,12,6.82,12,6.82,0,0.0,1,0.57,0,0.0,1,0.57,0,0.0,0,0.0,0,0.0,0,0.0,02021
2,23,1613,2,0.12,1,0.06,2,0.12,1,0.06,0,0.0,1,0.06,0,0.0,1,0.06,4,0.25,4,0.25,7,0.43,2,0.12,2,0.12,2,0.12,8,0.5,7,0.43,4,0.25,6,0.37,4,0.25,4,0.25,17,1.05,15,0.93,14,0.87,14,0.87,13,0.81,15,0.93,14,0.87,12,0.74,5,0.31,8,0.5,7,0.43,6,0.37,9,0.56,6,0.37,6,0.37,8,0.5,02023
2,27,1636,13,0.79,7,0.43,5,0.31,5,0.31,6,0.37,4,0.24,3,0.18,4,0.24,6,0.37,6,0.37,6,0.37,2,0.12,5,0.31,5,0.31,16,0.98,11,0.67,10,0.61,15,0.92,8,0.49,7,0.43,48,2.93,44,2.69,43,2.63,42,2.57,44,2.69,41,2.51,43,2.63,43,2.63,3,0.18,8,0.49,9,0.55,3,0.18,6,0.37,8,0.49,3,0.18,3,0.18,02027
2,28,781,8,1.02,8,1.02,8,1.02,5,0.64,5,0.64,8,1.02,7,0.9,6,0.77,4,0.51,2,0.26,3,0.38,1,0.13,1,0.13,2,0.26,1,0.13,2,0.26,1,0.13,2,0.26,3,0.38,1,0.13,41,5.25,41,5.25,35,4.48,33,4.23,36,4.61,35,4.48,31,3.97,30,3.84,2,0.26,4,0.51,5,0.64,4,0.51,6,0.77,4,0.51,2,0.26,2,0.26,02028
2,29,2176,18,0.83,19,0.87,16,0.74,13,0.6,15,0.69,20,0.92,15,0.69,20,0.92,5,0.23,5,0.23,2,0.09,4,0.18,2,0.09,1,0.05,13,0.6,12,0.55,13,0.6,13,0.6,18,0.83,13,0.6,91,4.18,84,3.86,83,3.81,79,3.63,79,3.63,82,3.77,77,3.54,73,3.35,3,0.14,5,0.23,7,0.32,7,0.32,5,0.23,4,0.18,4,0.18,3,0.14,02029
2,32,1458,19,1.3,12,0.82,13,0.89,13,0.89,14,0.96,15,1.03,13,0.89,13,0.89,8,0.55,6,0.41,5,0.34,2,0.14,2,0.14,1,0.07,9,0.62,8,0.55,8,0.55,7,0.48,5,0.34,5,0.34,67,4.6,65,4.46,62,4.25,61,4.18,59,4.05,59,4.05,56,3.84,55,3.77,3,0.21,4,0.27,1,0.07,2,0.14,4,0.27,4,0.27,1,0.07,1,0.07,02032
2,34,1774,12,0.68,10,0.56,10,0.56,8,0.45,9,0.51,10,0.56,11,0.62,12,0.68,5,0.28,7,0.39,3,0.17,4,0.23,2,0.11,2,0.11,18,1.01,12,0.68,17,0.96,16,0.9,14,0.79,10,0.56,33,1.86,33,1.86,31,1.75,31,1.75,30,1.69,29,1.63,24,1.35,24,1.35,8,0.45,10,0.56,7,0.39,8,0.45,7,0.39,7,0.39,6,0.34,3,0.17,02034
2,35,2204,16,0.73,17,0.77,15,0.68,16,0.73,16,0.73,15,0.68,15,0.68,19,0.86,11,0.5,9,0.41,5,0.23,4,0.18,3,0.14,5,0.23,17,0.77,16,0.73,15,0.68,17,0.77,16,0.73,12,0.54,66,2.99,59,2.68,50,2.27,51,2.31,57,2.59,52,2.36,51,2.31,49,2.22,7,0.32,13,0.59,10,0.45,10,0.45,11,0.5,7,0.32,4,0.18,6,0.27,02035
2,36,2013,19,0.94,20,0.99,12,0.6,13,0.65,14,0.7,19,0.94,16,0.79,17,0.84,7,0.35,4,0.2,6,0.3,1,0.05,0,0.0,0,0.0,12,0.6,11,0.55,12,0.6,10,0.5,7,0.35,6,0.3,76,3.78,72,3.58,66,3.28,64,3.18,67,3.33,68,3.38,60,2.98,59,2.93,3,0.15,8,0.4,7,0.35,8,0.4,6,0.3,7,0.35,3,0.15,4,0.2,02036
2,38,1378,5,0.36,7,0.51,7,0.51,7,0.51,5,0.36,8,0.58,7,0.51,6,0.44,3,0.22,6,0.44,8,0.58,5,0.36,4,0.29,4,0.29,13,0.94,9,0.65,13,0.94,13,0.94,9,0.65,7,0.51,41,2.98,38,2.76,36,2.61,34,2.47,34,2.47,34,2.47,28,2.03,28,2.03,5,0.36,6,0.44,6,0.44,5,0.36,6,0.44,6,0.44,4,0.29,3,0.22,02038
2,39,1093,22,2.01,16,1.46,12,1.1,11,1.01,10,0.91,9,0.82,7,0.64,12,1.1,10,0.91,6,0.55,2,0.18,3,0.27,4,0.37,4,0.37,4,0.37,9,0.82,6,0.55,10,0.91,9,0.82,9,0.82,46,4.21,48,4.39,38,3.48,38,3.48,36,3.29,37,3.39,36,3.29,42,3.84,0,0.0,3,0.27,0,0.0,2,0.18,2,0.18,2,0.18,3,0.27,4,0.37,02039
2,40,1800,17,0.94,16,0.89,12,0.67,15,0.83,11,0.61,15,0.83,12,0.67,9,0.5,2,0.11,6,0.33,2,0.11,3,0.17,2,0.11,2,0.11,7,0.39,7,0.39,6,0.33,7,0.39,5,0.28,5,0.28,71,3.94,69,3.83,68,3.78,69,3.83,66,3.67,67,3.72,62,3.44,61,3.39,0,0.0,1,0.06,1,0.06,1,0.06,3,0.17,3,0.17,1,0.06,1,0.06,02040
2,41,1735,9,0.52,16,0.92,11,0.63,12,0.69,9,0.52,15,0.86,11,0.63,12,0.69,13,0.75,10,0.58,3,0.17,8,0.46,2,0.12,2,0.12,8,0.46,9,0.52,9,0.52,9,0.52,9,0.52,5,0.29,61,3.52,58,3.34,56,3.23,50,2.88,51,2.94,49,2.82,47,2.71,43,2.48,4,0.23,8,0.46,6,0.35,4,0.23,6,0.35,5,0.29,2,0.12,6,0.35,02041
2,42,1951,20,1.03,16,0.82,17,0.87,19,0.97,14,0.72,18,0.92,15,0.77,16,0.82,5,0.26,8,0.41,5,0.26,7,0.36,4,0.21,4,0.21,7,0.36,5,0.26,4,0.21,6,0.31,6,0.31,2,0.1,83,4.25,81,4.15,75,3.84,75,3.84,75,3.84,72,3.69,69,3.54,66,3.38,2,0.1,4,0.21,6,0.31,6,0.31,6,0.31,7,0.36,3,0.15,5,0.26,02042
2,43,2235,10,0.45,12,0.54,7,0.31,9,0.4,8,0.36,7,0.31,4,0.18,5,0.22,7,0.31,5,0.22,6,0.27,3,0.13,1,0.04,5,0.22,10,0.45,11,0.49,10,0.45,9,0.4,9,0.4,6,0.27,60,2.68,60,2.68,53,2.37,52,2.33,54,2.42,55,2.46,48,2.15,45,2.01,7,0.31,8,0.36,7,0.31,2,0.09,4,0.18,4,0.18,2,0.09,4,0.18,02043
2,45,2054,27,1.31,22,1.07,23,1.12,24,1.17,19,0.93,24,1.17,21,1.02,22,1.07,11,0.54,6,0.29,3,0.15,6,0.29,4,0.19,2,0.1,11,0.54,13,0.63,8,0.39,12,0.58,11,0.54,7,0.34,89,4.33,86,4.19,72,3.51,71,3.46,76,3.7,73,3.55,63,3.07,65,3.16,4,0.19,9,0.44,12,0.58,6,0.29,9,0.44,10,0.49,3,0.15,5,0.24,02045
2,46,1264,18,1.42,15,1.19,12,0.95,13,1.03,11,0.87,12,0.95,8,0.63,16,1.27,10,0.79,6,0.47,2,0.16,1,0.08,1,0.08,0,0.0,8,0.63,8,0.63,7,0.55,10,0.79,7,0.55,4,0.32,62,4.91,57,4.51,52,4.11,52,4.11,49,3.88,51,4.03,48,3.8,44,3.48,2,0.16,5,0.4,4,0.32,2,0.16,3,0.24,2,0.16,1,0.08,0,0.0,02046
3,1,2249,50,2.22,40,1.78,25,1.11,21,0.93,31,1.38,25,1.11,18,0.8,23,1.02,17,0.76,10,0.44,7,0.31,5,0.22,0,0.0,3,0.13,4,0.18,7,0.31,5,0.22,6,0.27,4,0.18,2,0.09,100,4.45,93,4.14,79,3.51,77,3.42,91,4.05,79,3.51,76,3.38,74,3.29,1,0.04,3,0.13,6,0.27,2,0.09,3,0.13,2,0.09,1,0.04,1,0.04,03001
3,2,2519,71,2.82,61,2.42,36,1.43,34,1.35,48,1.91,28,1.11,30,1.19,32,1.27,19,0.75,11,0.44,12,0.48,13,0.52,2,0.08,10,0.4,9,0.36,15,0.6,8,0.32,7,0.28,5,0.2,11,0.44,66,2.62,61,2.42,43,1.71,44,1.75,52,2.06,47,1.87,52,2.06,40,1.59,2,0.08,3,0.12,2,0.08,2,0.08,2,0.08,4,0.16,1,0.04,8,0.32,03002
3,3,1220,23,1.89,15,1.23,15,1.23,12,0.98,18,1.48,9,0.74,9,0.74,15,1.23,10,0.82,8,0.66,6,0.49,5,0.41,3,0.25,3,0.25,2,0.16,4,0.33,3,0.25,1,0.08,1,0.08,1,0.08,56,4.59,51,4.18,41,3.36,48,3.93,44,3.61,44,3.61,37,3.03,38,3.11,0,0.0,2,0.16,1,0.08,2,0.16,1,0.08,0,0.0,0,0.0,1,0.08,03003
3,4,604,7,1.16,10,1.66,5,0.83,8,1.32,9,1.49,4,0.66,6,0.99,5,0.83,2,0.33,6,0.99,3,0.5,2,0.33,1,0.17,0,0.0,1,0.17,2,0.33,1,0.17,1,0.17,1,0.17,1,0.17,18,2.98,17,2.81,16,2.65,12,1.99,19,3.15,13,2.15,12,1.99,12,1.99,0,0.0,2,0.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.33,03004
3,5,1145,20,1.75,20,1.75,8,0.7,6,0.52,10,0.87,11,0.96,3,0.26,7,0.61,12,1.05,8,0.7,1,0.09,4,0.35,2,0.17,1,0.09,5,0.44,4,0.35,1,0.09,1,0.09,1,0.09,1,0.09,53,4.63,48,4.19,43,3.76,42,3.67,46,4.02,45,3.93,45,3.93,39,3.41,0,0.0,0,0.0,1,0.09,2,0.17,2,0.17,0,0.0,0,0.0,2,0.17,03005
3,6,2794,35,1.25,32,1.15,37,1.32,32,1.15,30,1.07,32,1.15,26,0.93,31,1.11,10,0.36,10,0.36,6,0.21,13,0.47,4,0.14,5,0.18,19,0.68,19,0.68,15,0.54,14,0.5,14,0.5,8,0.29,107,3.83,99,3.54,91,3.26,91,3.26,92,3.29,97,3.47,85,3.04,84,3.01,2,0.07,6,0.21,6,0.21,3,0.11,4,0.14,8,0.29,5,0.18,5,0.18,03006
3,8,1215,30,2.47,22,1.81,19,1.56,11,0.91,19,1.56,10,0.82,9,0.74,13,1.07,11,0.91,7,0.58,6,0.49,2,0.16,2,0.16,4,0.33,5,0.41,7,0.58,5,0.41,3,0.25,4,0.33,2,0.16,60,4.94,58,4.77,51,4.2,40,3.29,53,4.36,50,4.12,44,3.62,47,3.87,2,0.16,0,0.0,1,0.08,1,0.08,0,0.0,2,0.16,0,0.0,4,0.33,03008
3,9,2423,32,1.32,25,1.03,14,0.58,10,0.41,16,0.66,12,0.5,7,0.29,15,0.62,14,0.58,13,0.54,8,0.33,10,0.41,1,0.04,3,0.12,8,0.33,4,0.17,2,0.08,5,0.21,2,0.08,4,0.17,123,5.08,111,4.58,103,4.25,92,3.8,112,4.62,99,4.09,95,3.92,86,3.55,1,0.04,9,0.37,6,0.25,4,0.17,1,0.04,3,0.12,4,0.17,1,0.04,03009
3,10,790,25,3.16,14,1.77,10,1.27,8,1.01,13,1.65,4,0.51,5,0.63,7,0.89,3,0.38,4,0.51,1,0.13,5,0.63,0,0.0,1,0.13,5,0.63,3,0.38,3,0.38,1,0.13,2,0.25,4,0.51,31,3.92,25,3.16,20,2.53,18,2.28,19,2.41,24,3.04,19,2.41,20,2.53,2,0.25,5,0.63,2,0.25,2,0.25,0,0.0,2,0.25,2,0.25,1,0.13,03010
3,11,1935,23,1.19,28,1.45,12,0.62,10,0.52,12,0.62,6,0.31,8,0.41,8,0.41,6,0.31,6,0.31,1,0.05,4,0.21,1,0.05,3,0.16,0,0.0,2,0.1,0,0.0,1,0.05,0,0.0,1,0.05,82,4.24,71,3.67,65,3.36,63,3.26,72,3.72,62,3.2,57,2.95,53,2.74,1,0.05,1,0.05,1,0.05,0,0.0,3,0.16,3,0.16,2,0.1,2,0.1,03011
3,12,1998,36,1.8,32,1.6,20,1.0,17,0.85,23,1.15,23,1.15,17,0.85,21,1.05,14,0.7,7,0.35,4,0.2,8,0.4,0,0.0,5,0.25,8,0.4,9,0.45,5,0.25,3,0.15,2,0.1,6,0.3,81,4.05,67,3.35,65,3.25,69,3.45,73,3.65,63,3.15,56,2.8,55,2.75,2,0.1,7,0.35,7,0.35,1,0.05,0,0.0,5,0.25,4,0.2,3,0.15,03012
3,13,2887,26,0.9,29,1.0,24,0.83,17,0.59,15,0.52,15,0.52,19,0.66,24,0.83,7,0.24,6,0.21,3,0.1,3,0.1,3,0.1,5,0.17,16,0.55,10,0.35,9,0.31,13,0.45,15,0.52,20,0.69,99,3.43,88,3.05,84,2.91,75,2.6,88,3.05,88,3.05,75,2.6,76,2.63,8,0.28,9,0.31,7,0.24,5,0.17,7,0.24,6,0.21,4,0.14,6,0.21,03013
3,14,2442,31,1.27,21,0.86,12,0.49,21,0.86,19,0.78,20,0.82,18,0.74,21,0.86,15,0.61,16,0.66,11,0.45,9,0.37,12,0.49,11,0.45,10,0.41,14,0.57,14,0.57,10,0.41,7,0.29,15,0.61,142,5.81,124,5.08,120,4.91,114,4.67,117,4.79,118,4.83,107,4.38,107,4.38,9,0.37,18,0.74,12,0.49,8,0.33,8,0.33,13,0.53,6,0.25,4,0.16,03014
3,15,1476,27,1.83,26,1.76,11,0.75,6,0.41,10,0.68,10,0.68,7,0.47,15,1.02,10,0.68,6,0.41,6,0.41,6,0.41,3,0.2,3,0.2,3,0.2,6,0.41,2,0.14,2,0.14,2,0.14,2,0.14,65,4.4,67,4.54,62,4.2,59,4.0,61,4.13,58,3.93,43,2.91,45,3.05,1,0.07,5,0.34,4,0.27,2,0.14,1,0.07,1,0.07,3,0.2,1,0.07,03015
3,16,1551,33,2.13,27,1.74,17,1.1,13,0.84,22,1.42,16,1.03,13,0.84,13,0.84,9,0.58,6,0.39,5,0.32,3,0.19,3,0.19,2,0.13,7,0.45,9,0.58,3,0.19,4,0.26,3,0.19,4,0.26,57,3.68,51,3.29,46,2.97,43,2.77,49,3.16,46,2.97,42,2.71,40,2.58,0,0.0,1,0.06,1,0.06,2,0.13,1,0.06,2,0.13,2,0.13,2,0.13,03016
