ward,precinct,total,Chakena Sims (Elizabeth Warren),Chakena Sims (Elizabeth Warren) Percent,"Allen Louis Linton, II (Elizabeth Warr","Allen Louis Linton, II (Elizabeth Warr Percent",Grace Chan McKibben (Elizabeth Warren),Grace Chan McKibben (Elizabeth Warren) Percent,William E. Hall (Elizabeth Warren),William E. Hall (Elizabeth Warren) Percent,Shelley Davis (Elizabeth Warren),Shelley Davis (Elizabeth Warren) Percent,Nicholas ''Nick'' Shields (Elizabeth W,Nicholas ''Nick'' Shields (Elizabeth W Percent,Rebecca Zorach (Elizabeth Warren),Rebecca Zorach (Elizabeth Warren) Percent,Devlin Joseph Schoop (Elizabeth Warren,Devlin Joseph Schoop (Elizabeth Warren Percent,Jeanette Taylor (Bernie Sanders),Jeanette Taylor (Bernie Sanders) Percent,Maria R. Bell (Bernie Sanders),Maria R. Bell (Bernie Sanders) Percent,Naomi Davis (Bernie Sanders),Naomi Davis (Bernie Sanders) Percent,Patricia L. Guinn (Bernie Sanders),Patricia L. Guinn (Bernie Sanders) Percent,Robert Peters (Bernie Sanders),Robert Peters (Bernie Sanders) Percent,Rodney Gipson (Bernie Sanders),Rodney Gipson (Bernie Sanders) Percent,Raheem Uqdah (Bernie Sanders),Raheem Uqdah (Bernie Sanders) Percent,Larry Gilman (Bernie Sanders),Larry Gilman (Bernie Sanders) Percent,Preston Brown Jr (Bernie Sanders),Preston Brown Jr (Bernie Sanders) Percent,Evajamania Brown (Bernie Sanders),Evajamania Brown (Bernie Sanders) Percent,Linda Hudson (Bernie Sanders),Linda Hudson (Bernie Sanders) Percent,Darren Fuller (Andrew Yang),Darren Fuller (Andrew Yang) Percent,Carol Horton (Andrew Yang),Carol Horton (Andrew Yang) Percent,Ben Silvian (Andrew Yang),Ben Silvian (Andrew Yang) Percent,Laura Sieh (Andrew Yang),Laura Sieh (Andrew Yang) Percent,John Hart (Amy J. Klobuchar),John Hart (Amy J. Klobuchar) Percent,Myra Hart (Amy J. Klobuchar),Myra Hart (Amy J. Klobuchar) Percent,Norene Shader (Amy J. Klobuchar),Norene Shader (Amy J. Klobuchar) Percent,precinct_id
6,11,1378,9,0.65,7,0.51,6,0.44,9,0.65,12,0.87,3,0.22,7,0.51,6,0.44,54,3.92,46,3.34,59,4.28,47,3.41,31,2.25,35,2.54,34,2.47,31,2.25,22,1.6,22,1.6,27,1.96,4,0.29,1,0.07,4,0.29,3,0.22,4,0.29,6,0.44,4,0.29,06011
6,12,1006,21,2.09,12,1.19,12,1.19,15,1.49,14,1.39,12,1.19,10,0.99,7,0.7,40,3.98,32,3.18,35,3.48,38,3.78,28,2.78,32,3.18,27,2.68,21,2.09,15,1.49,12,1.19,13,1.29,2,0.2,1,0.1,0,0.0,2,0.2,3,0.3,4,0.4,4,0.4,06012
6,13,1214,15,1.24,4,0.33,7,0.58,11,0.91,14,1.15,7,0.58,6,0.49,2,0.16,46,3.79,33,2.72,45,3.71,39,3.21,23,1.89,26,2.14,27,2.22,20,1.65,18,1.48,19,1.57,26,2.14,1,0.08,4,0.33,1,0.08,1,0.08,1,0.08,4,0.33,1,0.08,06013
6,14,1503,11,0.73,9,0.6,7,0.47,9,0.6,11,0.73,12,0.8,6,0.4,8,0.53,39,2.59,37,2.46,50,3.33,33,2.2,27,1.8,29,1.93,25,1.66,23,1.53,19,1.26,23,1.53,22,1.46,2,0.13,4,0.27,4,0.27,0,0.0,3,0.2,3,0.2,3,0.2,06014
6,15,1036,13,1.25,8,0.77,6,0.58,7,0.68,10,0.97,9,0.87,5,0.48,8,0.77,37,3.57,31,2.99,40,3.86,37,3.57,27,2.61,25,2.41,25,2.41,17,1.64,21,2.03,13,1.25,20,1.93,6,0.58,6,0.58,6,0.58,5,0.48,6,0.58,5,0.48,2,0.19,06015
6,16,2001,31,1.55,13,0.65,14,0.7,17,0.85,19,0.95,10,0.5,9,0.45,12,0.6,88,4.4,68,3.4,83,4.15,76,3.8,49,2.45,53,2.65,45,2.25,36,1.8,41,2.05,51,2.55,54,2.7,8,0.4,7,0.35,3,0.15,4,0.2,4,0.2,4,0.2,5,0.25,06016
6,17,858,10,1.17,7,0.82,6,0.7,8,0.93,8,0.93,9,1.05,4,0.47,2,0.23,27,3.15,24,2.8,29,3.38,19,2.21,18,2.1,20,2.33,14,1.63,11,1.28,15,1.75,15,1.75,15,1.75,3,0.35,3,0.35,1,0.12,3,0.35,5,0.58,1,0.12,1,0.12,06017
6,18,1288,12,0.93,1,0.08,5,0.39,8,0.62,12,0.93,4,0.31,7,0.54,8,0.62,27,2.1,28,2.17,34,2.64,31,2.41,27,2.1,20,1.55,15,1.16,19,1.48,19,1.48,12,0.93,17,1.32,4,0.31,4,0.31,3,0.23,5,0.39,4,0.31,4,0.31,0,0.0,06018
6,19,1168,16,1.37,2,0.17,6,0.51,6,0.51,13,1.11,2,0.17,4,0.34,4,0.34,38,3.25,32,2.74,46,3.94,42,3.6,27,2.31,31,2.65,29,2.48,25,2.14,23,1.97,17,1.46,20,1.71,2,0.17,0,0.0,1,0.09,1,0.09,1,0.09,5,0.43,1,0.09,06019
6,20,857,8,0.93,6,0.7,7,0.82,4,0.47,5,0.58,8,0.93,5,0.58,4,0.47,24,2.8,23,2.68,27,3.15,21,2.45,20,2.33,22,2.57,18,2.1,14,1.63,13,1.52,7,0.82,14,1.63,1,0.12,1,0.12,0,0.0,3,0.35,1,0.12,1,0.12,0,0.0,06020
6,21,47,1,2.13,1,2.13,1,2.13,1,2.13,1,2.13,2,4.26,1,2.13,1,2.13,0,0.0,1,2.13,0,0.0,1,2.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.13,0,0.0,0,0.0,0,0.0,1,2.13,0,0.0,0,0.0,06021
6,22,1096,12,1.09,13,1.19,13,1.19,15,1.37,19,1.73,13,1.19,13,1.19,10,0.91,33,3.01,32,2.92,36,3.28,35,3.19,28,2.55,27,2.46,30,2.74,25,2.28,22,2.01,19,1.73,19,1.73,11,1.0,9,0.82,11,1.0,10,0.91,11,1.0,13,1.19,9,0.82,06022
6,23,646,5,0.77,2,0.31,3,0.46,4,0.62,8,1.24,4,0.62,2,0.31,3,0.46,25,3.87,21,3.25,28,4.33,26,4.02,25,3.87,28,4.33,21,3.25,19,2.94,13,2.01,14,2.17,17,2.63,4,0.62,2,0.31,2,0.31,0,0.0,5,0.77,2,0.31,1,0.15,06023
6,24,713,11,1.54,8,1.12,6,0.84,7,0.98,8,1.12,8,1.12,4,0.56,4,0.56,29,4.07,23,3.23,23,3.23,32,4.49,23,3.23,22,3.09,20,2.81,21,2.95,12,1.68,17,2.38,14,1.96,7,0.98,3,0.42,3,0.42,2,0.28,2,0.28,0,0.0,0,0.0,06024
6,25,690,15,2.17,6,0.87,6,0.87,5,0.72,11,1.59,4,0.58,3,0.43,5,0.72,23,3.33,26,3.77,24,3.48,24,3.48,21,3.04,22,3.19,18,2.61,14,2.03,14,2.03,11,1.59,13,1.88,4,0.58,5,0.72,3,0.43,6,0.87,1,0.14,4,0.58,1,0.14,06025
6,26,906,19,2.1,8,0.88,6,0.66,9,0.99,14,1.55,10,1.1,8,0.88,11,1.21,29,3.2,28,3.09,34,3.75,32,3.53,23,2.54,24,2.65,21,2.32,18,1.99,18,1.99,17,1.88,24,2.65,3,0.33,1,0.11,2,0.22,4,0.44,2,0.22,3,0.33,1,0.11,06026
6,27,688,12,1.74,7,1.02,10,1.45,7,1.02,10,1.45,6,0.87,8,1.16,4,0.58,25,3.63,19,2.76,24,3.49,21,3.05,14,2.03,18,2.62,12,1.74,9,1.31,12,1.74,8,1.16,10,1.45,1,0.15,1,0.15,1,0.15,0,0.0,1,0.15,1,0.15,0,0.0,06027
6,28,681,8,1.17,7,1.03,4,0.59,8,1.17,8,1.17,5,0.73,3,0.44,3,0.44,27,3.96,21,3.08,25,3.67,25,3.67,20,2.94,16,2.35,14,2.06,13,1.91,11,1.62,10,1.47,13,1.91,4,0.59,4,0.59,3,0.44,1,0.15,3,0.44,1,0.15,1,0.15,06028
6,29,1827,23,1.26,9,0.49,12,0.66,13,0.71,18,0.99,8,0.44,9,0.49,6,0.33,52,2.85,51,2.79,61,3.34,46,2.52,34,1.86,41,2.24,38,2.08,29,1.59,32,1.75,25,1.37,26,1.42,5,0.27,5,0.27,4,0.22,2,0.11,5,0.27,2,0.11,1,0.05,06029
6,30,1172,10,0.85,4,0.34,8,0.68,12,1.02,13,1.11,5,0.43,6,0.51,5,0.43,43,3.67,35,2.99,56,4.78,36,3.07,33,2.82,24,2.05,29,2.47,18,1.54,24,2.05,25,2.13,21,1.79,5,0.43,7,0.6,3,0.26,8,0.68,3,0.26,2,0.17,2,0.17,06030
6,31,1954,32,1.64,12,0.61,15,0.77,15,0.77,18,0.92,15,0.77,10,0.51,12,0.61,57,2.92,47,2.41,67,3.43,48,2.46,32,1.64,36,1.84,38,1.94,27,1.38,37,1.89,35,1.79,37,1.89,4,0.2,2,0.1,7,0.36,2,0.1,5,0.26,7,0.36,5,0.26,06031
6,32,1476,21,1.42,10,0.68,9,0.61,12,0.81,19,1.29,9,0.61,8,0.54,8,0.54,37,2.51,33,2.24,45,3.05,34,2.3,26,1.76,27,1.83,24,1.63,16,1.08,17,1.15,21,1.42,22,1.49,4,0.27,5,0.34,2,0.14,4,0.27,4,0.27,2,0.14,4,0.27,06032
6,33,1504,15,1.0,9,0.6,7,0.47,14,0.93,13,0.86,6,0.4,12,0.8,6,0.4,52,3.46,51,3.39,54,3.59,45,2.99,31,2.06,34,2.26,33,2.19,26,1.73,24,1.6,29,1.93,26,1.73,7,0.47,4,0.27,5,0.33,6,0.4,1,0.07,1,0.07,5,0.33,06033
6,34,1809,29,1.6,18,1.0,13,0.72,15,0.83,29,1.6,10,0.55,16,0.88,12,0.66,62,3.43,48,2.65,57,3.15,50,2.76,35,1.93,33,1.82,37,2.05,24,1.33,25,1.38,28,1.55,34,1.88,9,0.5,8,0.44,1,0.06,7,0.39,5,0.28,5,0.28,7,0.39,06034
6,35,1732,20,1.15,11,0.64,14,0.81,15,0.87,16,0.92,11,0.64,9,0.52,9,0.52,53,3.06,43,2.48,56,3.23,48,2.77,35,2.02,42,2.42,31,1.79,32,1.85,31,1.79,27,1.56,27,1.56,3,0.17,6,0.35,4,0.23,9,0.52,8,0.46,8,0.46,5,0.29,06035
6,36,2016,32,1.59,14,0.69,19,0.94,20,0.99,26,1.29,16,0.79,15,0.74,12,0.6,50,2.48,44,2.18,60,2.98,39,1.93,20,0.99,24,1.19,24,1.19,18,0.89,18,0.89,16,0.79,34,1.69,8,0.4,7,0.35,3,0.15,8,0.4,4,0.2,8,0.4,2,0.1,06036
6,37,2020,33,1.63,18,0.89,18,0.89,18,0.89,21,1.04,13,0.64,12,0.59,8,0.4,59,2.92,47,2.33,68,3.37,54,2.67,36,1.78,39,1.93,42,2.08,29,1.44,29,1.44,24,1.19,31,1.53,9,0.45,5,0.25,8,0.4,10,0.5,3,0.15,11,0.54,3,0.15,06037
6,38,1972,24,1.22,11,0.56,6,0.3,8,0.41,17,0.86,9,0.46,13,0.66,12,0.61,75,3.8,67,3.4,80,4.06,59,2.99,36,1.83,48,2.43,46,2.33,31,1.57,30,1.52,38,1.93,27,1.37,3,0.15,7,0.35,4,0.2,1,0.05,4,0.2,10,0.51,1,0.05,06038
6,39,1142,20,1.75,6,0.53,9,0.79,10,0.88,8,0.7,7,0.61,10,0.88,3,0.26,41,3.59,36,3.15,40,3.5,36,3.15,27,2.36,32,2.8,28,2.45,21,1.84,18,1.58,21,1.84,26,2.28,3,0.26,4,0.35,1,0.09,4,0.35,4,0.35,3,0.26,1,0.09,06039
6,40,1335,20,1.5,6,0.45,11,0.82,15,1.12,15,1.12,9,0.67,7,0.52,3,0.22,42,3.15,29,2.17,47,3.52,37,2.77,21,1.57,28,2.1,20,1.5,20,1.5,23,1.72,20,1.5,18,1.35,5,0.37,2,0.15,3,0.22,2,0.15,3,0.22,4,0.3,3,0.22,06040
6,41,1781,35,1.97,14,0.79,17,0.95,17,0.95,22,1.24,18,1.01,15,0.84,14,0.79,71,3.99,67,3.76,65,3.65,62,3.48,32,1.8,38,2.13,35,1.97,32,1.8,32,1.8,28,1.57,35,1.97,4,0.22,6,0.34,4,0.22,2,0.11,3,0.17,6,0.34,3,0.17,06041
6,42,1450,14,0.97,10,0.69,9,0.62,11,0.76,13,0.9,9,0.62,9,0.62,8,0.55,45,3.1,44,3.03,50,3.45,45,3.1,36,2.48,27,1.86,32,2.21,26,1.79,27,1.86,25,1.72,30,2.07,4,0.28,2,0.14,2,0.14,5,0.34,1,0.07,2,0.14,3,0.21,06042
6,43,1439,17,1.18,8,0.56,9,0.63,10,0.69,11,0.76,10,0.69,10,0.69,8,0.56,47,3.27,46,3.2,44,3.06,39,2.71,23,1.6,28,1.95,33,2.29,29,2.02,24,1.67,21,1.46,22,1.53,5,0.35,4,0.28,1,0.07,3,0.21,5,0.35,2,0.14,2,0.14,06043
6,44,1715,19,1.11,6,0.35,10,0.58,12,0.7,16,0.93,8,0.47,8,0.47,3,0.17,62,3.62,53,3.09,71,4.14,56,3.27,37,2.16,30,1.75,29,1.69,20,1.17,33,1.92,48,2.8,44,2.57,5,0.29,9,0.52,4,0.23,7,0.41,3,0.17,1,0.06,2,0.12,06044
6,45,1940,27,1.39,6,0.31,6,0.31,13,0.67,16,0.82,7,0.36,6,0.31,7,0.36,62,3.2,51,2.63,67,3.45,54,2.78,42,2.16,41,2.11,34,1.75,29,1.49,38,1.96,32,1.65,36,1.86,5,0.26,7,0.36,5,0.26,3,0.15,6,0.31,8,0.41,2,0.1,06045
6,46,1111,15,1.35,7,0.63,5,0.45,10,0.9,15,1.35,8,0.72,4,0.36,8,0.72,41,3.69,37,3.33,43,3.87,40,3.6,21,1.89,18,1.62,25,2.25,21,1.89,34,3.06,22,1.98,26,2.34,3,0.27,3,0.27,6,0.54,6,0.54,6,0.54,8,0.72,5,0.45,06046
6,47,1109,16,1.44,7,0.63,12,1.08,9,0.81,12,1.08,5,0.45,11,0.99,4,0.36,41,3.7,39,3.52,45,4.06,36,3.25,28,2.52,26,2.34,26,2.34,17,1.53,17,1.53,16,1.44,24,2.16,2,0.18,5,0.45,0,0.0,3,0.27,3,0.27,2,0.18,2,0.18,06047
6,48,1401,16,1.14,8,0.57,3,0.21,6,0.43,15,1.07,7,0.5,8,0.57,8,0.57,52,3.71,49,3.5,48,3.43,51,3.64,25,1.78,32,2.28,31,2.21,16,1.14,28,2.0,23,1.64,28,2.0,7,0.5,5,0.36,4,0.29,6,0.43,2,0.14,4,0.29,1,0.07,06048
7,1,625,3,0.48,2,0.32,2,0.32,5,0.8,6,0.96,2,0.32,4,0.64,2,0.32,29,4.64,22,3.52,29,4.64,20,3.2,19,3.04,16,2.56,18,2.88,14,2.24,10,1.6,11,1.76,13,2.08,3,0.48,1,0.16,1,0.16,3,0.48,1,0.16,0,0.0,2,0.32,07001
8,1,1074,19,1.77,6,0.56,8,0.74,4,0.37,11,1.02,5,0.47,7,0.65,5,0.47,43,4.0,40,3.72,41,3.82,30,2.79,20,1.86,28,2.61,29,2.7,15,1.4,24,2.23,26,2.42,17,1.58,3,0.28,3,0.28,0,0.0,3,0.28,4,0.37,4,0.37,7,0.65,08001
8,2,1157,10,0.86,5,0.43,4,0.35,4,0.35,7,0.61,8,0.69,5,0.43,9,0.78,44,3.8,36,3.11,44,3.8,32,2.77,32,2.77,33,2.85,32,2.77,21,1.82,12,1.04,21,1.82,18,1.56,3,0.26,3,0.26,1,0.09,5,0.43,1,0.09,1,0.09,0,0.0,08002
8,3,2273,18,0.79,10,0.44,8,0.35,11,0.48,18,0.79,5,0.22,5,0.22,10,0.44,69,3.04,54,2.38,59,2.6,58,2.55,36,1.58,38,1.67,38,1.67,34,1.5,32,1.41,34,1.5,32,1.41,5,0.22,7,0.31,3,0.13,5,0.22,1,0.04,2,0.09,0,0.0,08003
8,4,799,7,0.88,2,0.25,3,0.38,5,0.63,6,0.75,3,0.38,4,0.5,2,0.25,25,3.13,25,3.13,31,3.88,24,3.0,17,2.13,21,2.63,20,2.5,18,2.25,16,2.0,9,1.13,9,1.13,1,0.13,1,0.13,1,0.13,2,0.25,2,0.25,3,0.38,1,0.13,08004
8,5,2017,30,1.49,11,0.55,15,0.74,15,0.74,16,0.79,11,0.55,5,0.25,8,0.4,52,2.58,44,2.18,52,2.58,39,1.93,26,1.29,29,1.44,32,1.59,22,1.09,24,1.19,31,1.54,30,1.49,5,0.25,7,0.35,2,0.1,4,0.2,6,0.3,3,0.15,3,0.15,08005
8,6,1695,23,1.36,6,0.35,9,0.53,10,0.59,13,0.77,4,0.24,9,0.53,9,0.53,51,3.01,42,2.48,57,3.36,48,2.83,32,1.89,36,2.12,36,2.12,25,1.47,24,1.42,25,1.47,25,1.47,5,0.29,4,0.24,7,0.41,7,0.41,3,0.18,5,0.29,2,0.12,08006
8,8,1929,28,1.45,13,0.67,19,0.98,16,0.83,17,0.88,13,0.67,12,0.62,7,0.36,59,3.06,58,3.01,66,3.42,51,2.64,35,1.81,39,2.02,42,2.18,29,1.5,29,1.5,34,1.76,31,1.61,4,0.21,2,0.1,2,0.1,2,0.1,4,0.21,4,0.21,3,0.16,08008
8,10,2480,31,1.25,17,0.69,19,0.77,15,0.6,30,1.21,20,0.81,14,0.56,15,0.6,60,2.42,50,2.02,63,2.54,51,2.06,29,1.17,33,1.33,33,1.33,28,1.13,31,1.25,35,1.41,35,1.41,7,0.28,7,0.28,3,0.12,5,0.2,5,0.2,4,0.16,4,0.16,08010
8,11,1044,8,0.77,4,0.38,7,0.67,6,0.57,11,1.05,5,0.48,4,0.38,6,0.57,37,3.54,34,3.26,36,3.45,36,3.45,24,2.3,22,2.11,15,1.44,18,1.72,12,1.15,16,1.53,23,2.2,5,0.48,2,0.19,4,0.38,3,0.29,4,0.38,3,0.29,1,0.1,08011
8,12,1543,20,1.3,16,1.04,16,1.04,16,1.04,14,0.91,11,0.71,9,0.58,11,0.71,43,2.79,37,2.4,53,3.43,43,2.79,33,2.14,32,2.07,31,2.01,26,1.69,26,1.69,19,1.23,25,1.62,7,0.45,2,0.13,6,0.39,4,0.26,7,0.45,5,0.32,4,0.26,08012
8,13,1614,21,1.3,5,0.31,10,0.62,11,0.68,23,1.43,13,0.81,10,0.62,10,0.62,57,3.53,53,3.28,64,3.97,45,2.79,34,2.11,36,2.23,39,2.42,24,1.49,37,2.29,23,1.43,29,1.8,4,0.25,7,0.43,4,0.25,10,0.62,3,0.19,4,0.25,2,0.12,08013
8,14,1039,19,1.83,9,0.87,12,1.15,14,1.35,15,1.44,12,1.15,8,0.77,8,0.77,49,4.72,32,3.08,44,4.23,41,3.95,30,2.89,24,2.31,26,2.5,21,2.02,25,2.41,21,2.02,35,3.37,6,0.58,4,0.38,4,0.38,7,0.67,4,0.38,3,0.29,1,0.1,08014
8,15,1487,26,1.75,8,0.54,8,0.54,11,0.74,21,1.41,6,0.4,13,0.87,10,0.67,49,3.3,43,2.89,53,3.56,43,2.89,28,1.88,27,1.82,29,1.95,25,1.68,28,1.88,29,1.95,28,1.88,4,0.27,5,0.34,1,0.07,1,0.07,3,0.2,4,0.27,2,0.13,08015
8,16,514,10,1.95,6,1.17,4,0.78,3,0.58,5,0.97,3,0.58,6,1.17,3,0.58,18,3.5,15,2.92,18,3.5,13,2.53,10,1.95,14,2.72,10,1.95,7,1.36,6,1.17,8,1.56,10,1.95,2,0.39,3,0.58,2,0.39,3,0.58,3,0.58,3,0.58,3,0.58,08016
8,18,1022,24,2.35,17,1.66,16,1.57,16,1.57,14,1.37,10,0.98,9,0.88,10,0.98,43,4.21,34,3.33,33,3.23,28,2.74,16,1.57,18,1.76,20,1.96,17,1.66,17,1.66,13,1.27,26,2.54,7,0.68,3,0.29,4,0.39,3,0.29,3,0.29,3,0.29,1,0.1,08018
8,19,2244,27,1.2,15,0.67,18,0.8,15,0.67,23,1.02,13,0.58,13,0.58,6,0.27,68,3.03,57,2.54,71,3.16,58,2.58,38,1.69,39,1.74,46,2.05,38,1.69,30,1.34,26,1.16,36,1.6,7,0.31,6,0.27,1,0.04,2,0.09,8,0.36,5,0.22,4,0.18,08019
8,20,1977,21,1.06,11,0.56,15,0.76,14,0.71,19,0.96,12,0.61,13,0.66,11,0.56,60,3.03,48,2.43,66,3.34,51,2.58,33,1.67,38,1.92,50,2.53,32,1.62,31,1.57,26,1.32,23,1.16,1,0.05,3,0.15,3,0.15,6,0.3,4,0.2,3,0.15,1,0.05,08020
8,21,1955,25,1.28,11,0.56,15,0.77,20,1.02,22,1.13,15,0.77,14,0.72,11,0.56,67,3.43,49,2.51,57,2.92,49,2.51,29,1.48,37,1.89,32,1.64,26,1.33,26,1.33,26,1.33,30,1.53,11,0.56,7,0.36,4,0.2,10,0.51,3,0.15,3,0.15,3,0.15,08021
8,22,1548,27,1.74,11,0.71,12,0.78,12,0.78,17,1.1,12,0.78,10,0.65,15,0.97,39,2.52,37,2.39,44,2.84,35,2.26,24,1.55,24,1.55,24,1.55,15,0.97,17,1.1,20,1.29,22,1.42,4,0.26,3,0.19,3,0.19,5,0.32,4,0.26,4,0.26,3,0.19,08022
8,23,1173,17,1.45,7,0.6,8,0.68,7,0.6,12,1.02,8,0.68,7,0.6,3,0.26,36,3.07,32,2.73,40,3.41,28,2.39,23,1.96,18,1.53,20,1.71,17,1.45,17,1.45,17,1.45,19,1.62,4,0.34,7,0.6,5,0.43,6,0.51,2,0.17,4,0.34,2,0.17,08023
8,24,1132,13,1.15,7,0.62,3,0.27,6,0.53,13,1.15,8,0.71,3,0.27,6,0.53,44,3.89,46,4.06,56,4.95,41,3.62,37,3.27,31,2.74,28,2.47,25,2.21,28,2.47,24,2.12,19,1.68,3,0.27,3,0.27,0,0.0,1,0.09,3,0.27,4,0.35,1,0.09,08024
8,25,1432,22,1.54,10,0.7,11,0.77,12,0.84,15,1.05,12,0.84,13,0.91,8,0.56,45,3.14,36,2.51,44,3.07,35,2.44,29,2.03,26,1.82,29,2.03,25,1.75,21,1.47,19,1.33,21,1.47,4,0.28,1,0.07,5,0.35,4,0.28,4,0.28,1,0.07,1,0.07,08025
8,26,1029,13,1.26,7,0.68,9,0.87,9,0.87,13,1.26,10,0.97,12,1.17,5,0.49,46,4.47,37,3.6,48,4.66,37,3.6,30,2.92,33,3.21,25,2.43,22,2.14,14,1.36,20,1.94,19,1.85,3,0.29,3,0.29,3,0.29,3,0.29,2,0.19,5,0.49,3,0.29,08026
8,27,476,3,0.63,1,0.21,0,0.0,0,0.0,2,0.42,1,0.21,0,0.0,1,0.21,12,2.52,8,1.68,12,2.52,9,1.89,5,1.05,6,1.26,4,0.84,2,0.42,5,1.05,7,1.47,6,1.26,2,0.42,1,0.21,0,0.0,2,0.42,1,0.21,1,0.21,0,0.0,08027
8,29,1822,17,0.93,6,0.33,6,0.33,13,0.71,18,0.99,5,0.27,9,0.49,6,0.33,53,2.91,57,3.13,55,3.02,53,2.91,35,1.92,43,2.36,43,2.36,36,1.98,31,1.7,26,1.43,19,1.04,4,0.22,6,0.33,2,0.11,3,0.16,3,0.16,2,0.11,2,0.11,08029
8,30,1752,26,1.48,12,0.68,7,0.4,8,0.46,17,0.97,8,0.46,8,0.46,12,0.68,58,3.31,49,2.8,59,3.37,50,2.85,28,1.6,44,2.51,46,2.63,31,1.77,36,2.05,30,1.71,34,1.94,7,0.4,7,0.4,6,0.34,4,0.23,6,0.34,8,0.46,5,0.29,08030
8,31,1163,21,1.81,9,0.77,11,0.95,9,0.77,12,1.03,6,0.52,8,0.69,6,0.52,35,3.01,32,2.75,34,2.92,29,2.49,22,1.89,22,1.89,28,2.41,16,1.38,17,1.46,14,1.2,15,1.29,4,0.34,2,0.17,1,0.09,2,0.17,2,0.17,2,0.17,1,0.09,08031
8,33,1124,18,1.6,5,0.44,11,0.98,7,0.62,14,1.25,7,0.62,10,0.89,8,0.71,24,2.14,17,1.51,30,2.67,25,2.22,15,1.33,17,1.51,14,1.25,15,1.33,10,0.89,10,0.89,18,1.6,2,0.18,2,0.18,2,0.18,4,0.36,4,0.36,6,0.53,3,0.27,08033
8,34,1541,20,1.3,7,0.45,11,0.71,6,0.39,13,0.84,4,0.26,4,0.26,3,0.19,35,2.27,31,2.01,31,2.01,29,1.88,24,1.56,21,1.36,20,1.3,13,0.84,15,0.97,21,1.36,29,1.88,4,0.26,4,0.26,6,0.39,3,0.19,6,0.39,8,0.52,3,0.19,08034
8,35,1996,23,1.15,18,0.9,10,0.5,13,0.65,18,0.9,13,0.65,8,0.4,13,0.65,54,2.71,43,2.15,57,2.86,41,2.05,39,1.95,42,2.1,37,1.85,27,1.35,30,1.5,23,1.15,28,1.4,8,0.4,4,0.2,5,0.25,9,0.45,8,0.4,7,0.35,5,0.25,08035
8,37,1509,21,1.39,15,0.99,10,0.66,12,0.8,19,1.26,12,0.8,9,0.6,5,0.33,43,2.85,37,2.45,44,2.92,34,2.25,24,1.59,25,1.66,33,2.19,23,1.52,30,1.99,36,2.39,47,3.11,7,0.46,6,0.4,2,0.13,8,0.53,3,0.2,5,0.33,5,0.33,08037
8,38,1096,14,1.28,7,0.64,6,0.55,10,0.91,10,0.91,10,0.91,3,0.27,4,0.36,31,2.83,29,2.65,32,2.92,29,2.65,22,2.01,18,1.64,18,1.64,26,2.37,23,2.1,19,1.73,19,1.73,6,0.55,3,0.27,2,0.18,1,0.09,4,0.36,2,0.18,3,0.27,08038
8,40,1419,23,1.62,8,0.56,10,0.7,14,0.99,17,1.2,9,0.63,11,0.78,10,0.7,39,2.75,36,2.54,41,2.89,34,2.4,22,1.55,27,1.9,22,1.55,15,1.06,23,1.62,26,1.83,26,1.83,1,0.07,2,0.14,1,0.07,4,0.28,2,0.14,3,0.21,3,0.21,08040
8,41,1655,37,2.24,14,0.85,19,1.15,21,1.27,24,1.45,14,0.85,13,0.79,10,0.6,45,2.72,46,2.78,54,3.26,45,2.72,40,2.42,40,2.42,33,1.99,37,2.24,29,1.75,21,1.27,31,1.87,0,0.0,5,0.3,3,0.18,6,0.36,3,0.18,3,0.18,0,0.0,08041
8,43,822,14,1.7,7,0.85,8,0.97,7,0.85,10,1.22,5,0.61,9,1.09,6,0.73,25,3.04,17,2.07,28,3.41,20,2.43,14,1.7,13,1.58,12,1.46,11,1.34,13,1.58,5,0.61,9,1.09,3,0.36,0,0.0,2,0.24,1,0.12,3,0.36,1,0.12,0,0.0,08043
8,44,1077,15,1.39,9,0.84,5,0.46,4,0.37,16,1.49,6,0.56,2,0.19,1,0.09,29,2.69,23,2.14,33,3.06,30,2.79,16,1.49,20,1.86,23,2.14,12,1.11,16,1.49,11,1.02,14,1.3,5,0.46,3,0.28,1,0.09,3,0.28,2,0.19,1,0.09,3,0.28,08044
8,45,1088,13,1.19,6,0.55,11,1.01,13,1.19,12,1.1,9,0.83,12,1.1,5,0.46,44,4.04,37,3.4,42,3.86,35,3.22,26,2.39,30,2.76,24,2.21,24,2.21,21,1.93,12,1.1,21,1.93,4,0.37,3,0.28,1,0.09,8,0.74,4,0.37,1,0.09,0,0.0,08045
8,47,1333,18,1.35,9,0.68,9,0.68,9,0.68,14,1.05,4,0.3,8,0.6,5,0.38,30,2.25,27,2.03,34,2.55,29,2.18,13,0.98,14,1.05,16,1.2,12,0.9,19,1.43,16,1.2,17,1.28,8,0.6,4,0.3,3,0.23,5,0.38,2,0.15,4,0.3,2,0.15,08047
