ward,precinct,total,Kelly Marie McCarthy,Kelly Marie McCarthy Percent,Aileen Bhandari,Aileen Bhandari Percent,Elizabeth ''Beth'' Ryan,Elizabeth ''Beth'' Ryan Percent,"James T. Derico, Jr.","James T. Derico, Jr. Percent",precinct_id
1,31,164,36,21.95,53,32.32,40,24.39,35,21.34,01031
1,32,229,51,22.27,75,32.75,50,21.83,53,23.14,01032
1,33,265,73,27.55,84,31.7,62,23.4,46,17.36,01033
1,34,232,43,18.53,101,43.53,41,17.67,47,20.26,01034
1,35,281,72,25.62,89,31.67,72,25.62,48,17.08,01035
1,36,244,52,21.31,89,36.48,45,18.44,58,23.77,01036
1,37,195,51,26.15,72,36.92,30,15.38,42,21.54,01037
1,38,182,47,25.82,69,37.91,31,17.03,35,19.23,01038
1,39,164,47,28.66,61,37.2,31,18.9,25,15.24,01039
1,40,242,82,33.88,73,30.17,43,17.77,44,18.18,01040
1,41,163,59,36.2,49,30.06,30,18.4,25,15.34,01041
1,42,74,24,32.43,23,31.08,15,20.27,12,16.22,01042
1,43,152,30,19.74,56,36.84,30,19.74,36,23.68,01043
1,44,221,56,25.34,75,33.94,50,22.62,40,18.1,01044
2,1,240,57,23.75,93,38.75,38,15.83,52,21.67,02001
2,2,166,42,25.3,43,25.9,32,19.28,49,29.52,02002
2,3,250,53,21.2,83,33.2,43,17.2,71,28.4,02003
2,4,219,37,16.89,96,43.84,39,17.81,47,21.46,02004
2,5,269,64,23.79,92,34.2,60,22.3,53,19.7,02005
2,6,230,58,25.22,91,39.57,39,16.96,42,18.26,02006
2,7,155,33,21.29,60,38.71,32,20.65,30,19.35,02007
2,8,225,56,24.89,68,30.22,48,21.33,53,23.56,02008
2,9,137,31,22.63,39,28.47,37,27.01,30,21.9,02009
2,10,139,29,20.86,27,19.42,39,28.06,44,31.65,02010
2,11,197,47,23.86,30,15.23,57,28.93,63,31.98,02011
2,12,231,62,26.84,46,19.91,63,27.27,60,25.97,02012
2,13,220,41,18.64,45,20.45,72,32.73,62,28.18,02013
2,14,292,85,29.11,97,33.22,56,19.18,54,18.49,02014
2,15,207,51,24.64,74,35.75,40,19.32,42,20.29,02015
2,16,214,53,24.77,70,32.71,31,14.49,60,28.04,02016
2,17,313,60,19.17,109,34.82,62,19.81,82,26.2,02017
2,18,215,47,21.86,44,20.47,65,30.23,59,27.44,02018
2,19,109,22,20.18,30,27.52,24,22.02,33,30.28,02019
2,20,211,54,25.59,66,31.28,53,25.12,38,18.01,02020
2,21,262,53,20.23,98,37.4,54,20.61,57,21.76,02021
2,22,229,42,18.34,56,24.45,67,29.26,64,27.95,02022
2,23,142,28,19.72,33,23.24,38,26.76,43,30.28,02023
2,24,154,28,18.18,36,23.38,45,29.22,45,29.22,02024
2,25,247,62,25.1,93,37.65,55,22.27,37,14.98,02025
2,26,177,49,27.68,35,19.77,60,33.9,33,18.64,02026
2,27,155,53,34.19,27,17.42,40,25.81,35,22.58,02027
2,28,207,50,24.15,65,31.4,49,23.67,43,20.77,02028
2,29,217,46,21.2,65,29.95,51,23.5,55,25.35,02029
2,30,187,35,18.72,37,19.79,50,26.74,65,34.76,02030
2,31,266,70,26.32,45,16.92,71,26.69,80,30.08,02031
2,32,146,35,23.97,43,29.45,38,26.03,30,20.55,02032
2,33,329,80,24.32,69,20.97,85,25.84,95,28.88,02033
2,34,194,39,20.1,35,18.04,43,22.16,77,39.69,02034
2,35,218,59,27.06,62,28.44,55,25.23,42,19.27,02035
2,36,196,54,27.55,38,19.39,52,26.53,52,26.53,02036
2,37,231,60,25.97,47,20.35,63,27.27,61,26.41,02037
2,38,161,35,21.74,40,24.84,34,21.12,52,32.3,02038
2,39,121,24,19.83,31,25.62,26,21.49,40,33.06,02039
2,40,167,43,25.75,39,23.35,46,27.54,39,23.35,02040
2,41,185,50,27.03,56,30.27,45,24.32,34,18.38,02041
2,42,174,47,27.01,50,28.74,39,22.41,38,21.84,02042
2,43,207,59,28.5,46,22.22,44,21.26,58,28.02,02043
2,44,136,38,27.94,25,18.38,36,26.47,37,27.21,02044
2,45,220,66,30.0,48,21.82,57,25.91,49,22.27,02045
2,46,135,38,28.15,33,24.44,33,24.44,31,22.96,02046
3,1,321,96,29.91,32,9.97,67,20.87,126,39.25,03001
3,2,387,110,28.42,43,11.11,92,23.77,142,36.69,03002
3,3,154,40,25.97,21,13.64,28,18.18,65,42.21,03003
3,4,326,81,24.85,60,18.4,52,15.95,133,40.8,03004
3,5,161,67,41.61,13,8.07,30,18.63,51,31.68,03005
3,6,315,79,25.08,84,26.67,61,19.37,91,28.89,03006
3,7,194,60,30.93,23,11.86,45,23.2,66,34.02,03007
3,8,185,75,40.54,29,15.68,35,18.92,46,24.86,03008
3,9,319,90,28.21,59,18.5,52,16.3,118,36.99,03009
3,10,111,52,46.85,5,4.5,16,14.41,38,34.23,03010
3,11,265,82,30.94,28,10.57,42,15.85,113,42.64,03011
3,12,289,83,28.72,41,14.19,50,17.3,115,39.79,03012
3,13,315,65,20.63,98,31.11,59,18.73,93,29.52,03013
3,14,299,73,24.41,81,27.09,55,18.39,90,30.1,03014
3,15,211,65,30.81,28,13.27,41,19.43,77,36.49,03015
3,16,234,73,31.2,36,15.38,58,24.79,67,28.63,03016
3,17,368,83,22.55,99,26.9,85,23.1,101,27.45,03017
3,18,353,103,29.18,70,19.83,75,21.25,105,29.75,03018
3,19,269,57,21.19,61,22.68,52,19.33,99,36.8,03019
3,20,309,95,30.74,52,16.83,67,21.68,95,30.74,03020
3,21,299,67,22.41,46,15.38,72,24.08,114,38.13,03021
3,22,306,63,20.59,97,31.7,62,20.26,84,27.45,03022
3,23,180,54,30.0,20,11.11,55,30.56,51,28.33,03023
3,24,224,75,33.48,28,12.5,48,21.43,73,32.59,03024
3,25,394,77,19.54,85,21.57,81,20.56,151,38.32,03025
3,26,302,76,25.17,83,27.48,45,14.9,98,32.45,03026
3,27,300,85,28.33,74,24.67,67,22.33,74,24.67,03027
3,28,187,67,35.83,13,6.95,52,27.81,55,29.41,03028
3,29,267,100,37.45,31,11.61,78,29.21,58,21.72,03029
3,30,237,71,29.96,37,15.61,41,17.3,88,37.13,03030
3,31,321,102,31.78,48,14.95,69,21.5,102,31.78,03031
3,32,310,69,22.26,80,25.81,74,23.87,87,28.06,03032
3,33,303,79,26.07,100,33.0,59,19.47,65,21.45,03033
3,34,312,70,22.44,95,30.45,62,19.87,85,27.24,03034
3,35,124,33,26.61,21,16.94,16,12.9,54,43.55,03035
3,36,129,46,35.66,23,17.83,26,20.16,34,26.36,03036
3,37,243,75,30.86,33,13.58,50,20.58,85,34.98,03037
3,38,225,58,25.78,30,13.33,46,20.44,91,40.44,03038
3,39,337,66,19.58,108,32.05,58,17.21,105,31.16,03039
3,40,224,60,26.79,37,16.52,41,18.3,86,38.39,03040
3,41,223,59,26.46,39,17.49,50,22.42,75,33.63,03041
4,1,375,77,20.53,112,29.87,41,10.93,145,38.67,04001
4,2,319,82,25.71,88,27.59,52,16.3,97,30.41,04002
4,3,213,66,30.99,31,14.55,34,15.96,82,38.5,04003
4,4,380,121,31.84,45,11.84,88,23.16,126,33.16,04004
4,5,332,93,28.01,48,14.46,58,17.47,133,40.06,04005
4,6,364,97,26.65,50,13.74,67,18.41,150,41.21,04006
4,7,365,111,30.41,50,13.7,53,14.52,151,41.37,04007
4,8,320,55,17.19,62,19.38,52,16.25,151,47.19,04008
4,9,385,96,24.94,73,18.96,65,16.88,151,39.22,04009
4,10,381,89,23.36,70,18.37,71,18.64,151,39.63,04010
4,11,251,67,26.69,41,16.33,50,19.92,93,37.05,04011
4,12,331,85,25.68,57,17.22,62,18.73,127,38.37,04012
4,13,284,75,26.41,85,29.93,65,22.89,59,20.77,04013
4,14,264,74,28.03,36,13.64,70,26.52,84,31.82,04014
4,15,339,100,29.5,54,15.93,66,19.47,119,35.1,04015
4,16,396,81,20.45,128,32.32,73,18.43,114,28.79,04016
4,17,308,69,22.4,79,25.65,57,18.51,103,33.44,04017
4,18,298,90,30.2,40,13.42,71,23.83,97,32.55,04018
4,19,202,82,40.59,22,10.89,45,22.28,53,26.24,04019
4,20,255,69,27.06,72,28.24,41,16.08,73,28.63,04020
4,21,302,73,24.17,103,34.11,73,24.17,53,17.55,04021
4,22,282,63,22.34,73,25.89,40,14.18,106,37.59,04022
4,23,365,72,19.73,123,33.7,43,11.78,127,34.79,04023
4,24,265,65,24.53,64,24.15,37,13.96,99,37.36,04024
4,25,310,61,19.68,105,33.87,57,18.39,87,28.06,04025
4,26,251,76,30.28,37,14.74,46,18.33,92,36.65,04026
4,27,368,79,21.47,117,31.79,50,13.59,122,33.15,04027
4,28,256,74,28.91,48,18.75,50,19.53,84,32.81,04028
4,29,256,54,21.09,57,22.27,51,19.92,94,36.72,04029
4,30,341,102,29.91,44,12.9,79,23.17,116,34.02,04030
4,31,364,82,22.53,56,15.38,71,19.51,155,42.58,04031
4,32,303,66,21.78,59,19.47,51,16.83,127,41.91,04032
4,33,288,59,20.49,72,25.0,46,15.97,111,38.54,04033
4,34,251,74,29.48,40,15.94,46,18.33,91,36.25,04034
4,35,328,80,24.39,37,11.28,58,17.68,153,46.65,04035
4,36,350,89,25.43,65,18.57,68,19.43,128,36.57,04036
4,37,457,92,20.13,154,33.7,87,19.04,124,27.13,04037
4,38,326,66,20.25,58,17.79,52,15.95,150,46.01,04038
5,1,211,79,37.44,32,15.17,43,20.38,57,27.01,05001
5,2,195,66,33.85,24,12.31,58,29.74,47,24.1,05002
5,3,269,54,20.07,112,41.64,34,12.64,69,25.65,05003
5,4,330,73,22.12,95,28.79,49,14.85,113,34.24,05004
5,5,224,74,33.04,33,14.73,38,16.96,79,35.27,05005
5,6,217,77,35.48,23,10.6,40,18.43,77,35.48,05006
5,7,270,76,28.15,45,16.67,68,25.19,81,30.0,05007
5,8,291,51,17.53,102,35.05,31,10.65,107,36.77,05008
5,9,342,81,23.68,87,25.44,53,15.5,121,35.38,05009
5,10,204,65,31.86,19,9.31,46,22.55,74,36.27,05010
5,11,297,70,23.57,98,33.0,40,13.47,89,29.97,05011
5,12,160,60,37.5,20,12.5,40,25.0,40,25.0,05012
5,13,236,81,34.32,32,13.56,45,19.07,78,33.05,05013
5,14,249,64,25.7,42,16.87,43,17.27,100,40.16,05014
5,15,259,56,21.62,63,24.32,58,22.39,82,31.66,05015
5,16,234,68,29.06,40,17.09,55,23.5,71,30.34,05016
5,17,199,72,36.18,23,11.56,50,25.13,54,27.14,05017
5,18,277,57,20.58,93,33.57,42,15.16,85,30.69,05018
5,19,278,57,20.5,79,28.42,34,12.23,108,38.85,05019
5,20,340,63,18.53,86,25.29,53,15.59,138,40.59,05020
5,21,274,57,20.8,83,30.29,47,17.15,87,31.75,05021
5,22,347,56,16.14,92,26.51,55,15.85,144,41.5,05022
5,23,453,102,22.52,148,32.67,64,14.13,139,30.68,05023
5,24,309,60,19.42,100,32.36,45,14.56,104,33.66,05024
5,25,246,60,24.39,41,16.67,33,13.41,112,45.53,05025
5,26,253,67,26.48,38,15.02,52,20.55,96,37.94,05026
5,27,251,55,21.91,88,35.06,36,14.34,72,28.69,05027
5,28,290,64,22.07,49,16.9,50,17.24,127,43.79,05028
5,29,269,75,27.88,62,23.05,47,17.47,85,31.6,05029
5,30,173,44,25.43,24,13.87,44,25.43,61,35.26,05030
5,31,182,49,26.92,28,15.38,35,19.23,70,38.46,05031
5,32,300,73,24.33,53,17.67,44,14.67,130,43.33,05032
5,33,289,102,35.29,25,8.65,78,26.99,84,29.07,05033
5,34,315,50,15.87,109,34.6,48,15.24,108,34.29,05034
5,35,328,61,18.6,103,31.4,50,15.24,114,34.76,05035
5,36,96,28,29.17,10,10.42,22,22.92,36,37.5,05036
5,37,304,61,20.07,86,28.29,45,14.8,112,36.84,05037
5,38,215,79,36.74,31,14.42,50,23.26,55,25.58,05038
5,39,223,43,19.28,75,33.63,36,16.14,69,30.94,05039
5,40,194,63,32.47,34,17.53,33,17.01,64,32.99,05040
5,41,159,33,20.75,30,18.87,20,12.58,76,47.8,05041
6,1,260,92,35.38,39,15.0,55,21.15,74,28.46,06001
6,2,286,98,34.27,33,11.54,61,21.33,94,32.87,06002
6,3,262,77,29.39,23,8.78,65,24.81,97,37.02,06003
6,4,160,47,29.38,18,11.25,46,28.75,49,30.63,06004
6,5,132,49,37.12,13,9.85,31,23.48,39,29.55,06005
6,6,252,91,36.11,31,12.3,42,16.67,88,34.92,06006
6,7,199,76,38.19,23,11.56,44,22.11,56,28.14,06007
6,8,249,66,26.51,28,11.24,50,20.08,105,42.17,06008
6,9,174,66,37.93,20,11.49,40,22.99,48,27.59,06009
6,10,129,37,28.68,12,9.3,37,28.68,43,33.33,06010
6,11,180,59,32.78,28,15.56,48,26.67,45,25.0,06011
6,12,143,52,36.36,19,13.29,35,24.48,37,25.87,06012
6,13,182,63,34.62,23,12.64,44,24.18,52,28.57,06013
6,14,204,62,30.39,22,10.78,54,26.47,66,32.35,06014
6,15,168,62,36.9,10,5.95,61,36.31,35,20.83,06015
6,16,280,83,29.64,35,12.5,66,23.57,96,34.29,06016
6,17,130,43,33.08,16,12.31,44,33.85,27,20.77,06017
6,18,172,60,34.88,31,18.02,55,31.98,26,15.12,06018
6,19,169,58,34.32,16,9.47,41,24.26,54,31.95,06019
6,20,120,46,38.33,12,10.0,31,25.83,31,25.83,06020
6,21,98,39,39.8,11,11.22,29,29.59,19,19.39,06021
6,22,131,50,38.17,18,13.74,37,28.24,26,19.85,06022
6,23,85,31,36.47,10,11.76,20,23.53,24,28.24,06023
6,24,110,40,36.36,19,17.27,26,23.64,25,22.73,06024
6,25,101,34,33.66,10,9.9,22,21.78,35,34.65,06025
6,26,131,54,41.22,17,12.98,32,24.43,28,21.37,06026
6,27,107,37,34.58,11,10.28,36,33.64,23,21.5,06027
6,28,91,48,52.75,8,8.79,17,18.68,18,19.78,06028
6,29,244,43,17.62,31,12.7,52,21.31,118,48.36,06029
6,30,167,57,34.13,27,16.17,35,20.96,48,28.74,06030
6,31,244,53,21.72,41,16.8,43,17.62,107,43.85,06031
6,32,208,63,30.29,33,15.87,42,20.19,70,33.65,06032
6,33,206,63,30.58,22,10.68,39,18.93,82,39.81,06033
6,34,232,80,34.48,24,10.34,49,21.12,79,34.05,06034
6,35,235,76,32.34,28,11.91,46,19.57,85,36.17,06035
6,36,273,76,27.84,34,12.45,64,23.44,99,36.26,06036
6,37,279,62,22.22,33,11.83,56,20.07,128,45.88,06037
6,38,252,72,28.57,34,13.49,40,15.87,106,42.06,06038
6,39,165,51,30.91,23,13.94,40,24.24,51,30.91,06039
6,40,195,55,28.21,26,13.33,38,19.49,76,38.97,06040
6,41,242,82,33.88,27,11.16,57,23.55,76,31.4,06041
6,42,197,75,38.07,23,11.68,60,30.46,39,19.8,06042
6,43,187,60,32.09,19,10.16,35,18.72,73,39.04,06043
6,44,234,76,32.48,24,10.26,60,25.64,74,31.62,06044
6,45,259,76,29.34,25,9.65,59,22.78,99,38.22,06045
6,46,151,52,34.44,22,14.57,40,26.49,37,24.5,06046
6,47,160,61,38.13,21,13.13,43,26.88,35,21.88,06047
6,48,208,73,35.1,21,10.1,60,28.85,54,25.96,06048
7,1,185,67,36.22,21,11.35,41,22.16,56,30.27,07001
7,2,182,62,34.07,31,17.03,35,19.23,54,29.67,07002
7,3,228,66,28.95,29,12.72,45,19.74,88,38.6,07003
7,4,200,81,40.5,24,12.0,32,16.0,63,31.5,07004
7,5,184,58,31.52,28,15.22,39,21.2,59,32.07,07005
7,6,270,79,29.26,45,16.67,58,21.48,88,32.59,07006
7,7,181,60,33.15,18,9.94,44,24.31,59,32.6,07007
7,8,121,42,34.71,16,13.22,29,23.97,34,28.1,07008
7,9,348,97,27.87,54,15.52,75,21.55,122,35.06,07009
7,10,236,73,30.93,36,15.25,47,19.92,80,33.9,07010
7,11,202,81,40.1,31,15.35,48,23.76,42,20.79,07011
7,12,167,60,35.93,29,17.37,42,25.15,36,21.56,07012
7,13,126,41,32.54,21,16.67,32,25.4,32,25.4,07013
7,14,186,66,35.48,26,13.98,40,21.51,54,29.03,07014
7,15,200,63,31.5,32,16.0,31,15.5,74,37.0,07015
7,16,150,58,38.67,23,15.33,33,22.0,36,24.0,07016
7,17,174,64,36.78,16,9.2,38,21.84,56,32.18,07017
7,18,141,59,41.84,22,15.6,30,21.28,30,21.28,07018
7,19,174,46,26.44,25,14.37,42,24.14,61,35.06,07019
7,20,145,62,42.76,19,13.1,31,21.38,33,22.76,07020
7,21,127,55,43.31,20,15.75,26,20.47,26,20.47,07021
7,22,161,44,27.33,33,20.5,42,26.09,42,26.09,07022
7,23,221,68,30.77,21,9.5,47,21.27,85,38.46,07023
7,24,154,55,35.71,29,18.83,32,20.78,38,24.68,07024
7,25,149,58,38.93,17,11.41,48,32.21,26,17.45,07025
7,26,174,49,28.16,26,14.94,32,18.39,67,38.51,07026
7,27,159,57,35.85,19,11.95,38,23.9,45,28.3,07027
7,28,125,39,31.2,24,19.2,26,20.8,36,28.8,07028
7,29,175,42,24.0,17,9.71,37,21.14,79,45.14,07029
7,30,124,50,40.32,13,10.48,29,23.39,32,25.81,07030
7,31,122,46,37.7,15,12.3,29,23.77,32,26.23,07031
7,32,319,94,29.47,39,12.23,56,17.55,130,40.75,07032
7,33,300,101,33.67,41,13.67,50,16.67,108,36.0,07033
7,34,267,85,31.84,31,11.61,64,23.97,87,32.58,07034
7,35,217,78,35.94,27,12.44,41,18.89,71,32.72,07035
7,36,265,81,30.57,44,16.6,47,17.74,93,35.09,07036
7,37,204,68,33.33,22,10.78,44,21.57,70,34.31,07037
7,38,177,64,36.16,14,7.91,40,22.6,59,33.33,07038
7,39,192,61,31.77,24,12.5,48,25.0,59,30.73,07039
7,40,203,72,35.47,11,5.42,40,19.7,80,39.41,07040
7,41,197,64,32.49,14,7.11,44,22.34,75,38.07,07041
7,42,179,51,28.49,21,11.73,41,22.91,66,36.87,07042
7,43,197,78,39.59,21,10.66,47,23.86,51,25.89,07043
7,44,170,61,35.88,20,11.76,35,20.59,54,31.76,07044
7,45,162,51,31.48,17,10.49,34,20.99,60,37.04,07045
7,46,89,46,51.69,9,10.11,18,20.22,16,17.98,07046
8,1,159,61,38.36,12,7.55,43,27.04,43,27.04,08001
8,2,167,43,25.75,25,14.97,36,21.56,63,37.72,08002
8,3,284,71,25.0,34,11.97,46,16.2,133,46.83,08003
8,4,270,73,27.04,34,12.59,43,15.93,120,44.44,08004
8,5,265,55,20.75,40,15.09,43,16.23,127,47.92,08005
8,6,251,77,30.68,33,13.15,47,18.73,94,37.45,08006
8,7,267,78,29.21,37,13.86,46,17.23,106,39.7,08007
8,8,244,49,20.08,33,13.52,48,19.67,114,46.72,08008
8,9,164,57,34.76,14,8.54,28,17.07,65,39.63,08009
8,10,315,67,21.27,39,12.38,60,19.05,149,47.3,08010
8,11,140,39,27.86,11,7.86,41,29.29,49,35.0,08011
8,12,200,57,28.5,25,12.5,49,24.5,69,34.5,08012
8,13,226,63,27.88,22,9.73,57,25.22,84,37.17,08013
8,14,155,57,36.77,22,14.19,44,28.39,32,20.65,08014
8,15,211,88,41.71,20,9.48,50,23.7,53,25.12,08015
8,16,72,18,25.0,6,8.33,16,22.22,32,44.44,08016
8,17,195,62,31.79,21,10.77,29,14.87,83,42.56,08017
8,18,148,46,31.08,16,10.81,42,28.38,44,29.73,08018
8,19,279,82,29.39,23,8.24,50,17.92,124,44.44,08019
8,20,250,61,24.4,32,12.8,44,17.6,113,45.2,08020
8,21,262,75,28.63,32,12.21,41,15.65,114,43.51,08021
8,22,217,60,27.65,18,8.29,43,19.82,96,44.24,08022
8,23,173,58,33.53,20,11.56,34,19.65,61,35.26,08023
8,24,143,50,34.97,24,16.78,28,19.58,41,28.67,08024
8,25,208,79,37.98,22,10.58,42,20.19,65,31.25,08025
8,26,150,32,21.33,14,9.33,46,30.67,58,38.67,08026
8,27,265,74,27.92,26,9.81,57,21.51,108,40.75,08027
8,28,224,72,32.14,26,11.61,38,16.96,88,39.29,08028
8,29,233,64,27.47,33,14.16,42,18.03,94,40.34,08029
8,30,239,76,31.8,30,12.55,54,22.59,79,33.05,08030
8,31,162,49,30.25,30,18.52,34,20.99,49,30.25,08031
8,32,200,60,30.0,19,9.5,35,17.5,86,43.0,08032
8,33,172,55,31.98,20,11.63,41,23.84,56,32.56,08033
8,34,239,64,26.78,27,11.3,56,23.43,92,38.49,08034
8,35,268,69,25.75,40,14.93,60,22.39,99,36.94,08035
8,36,223,83,37.22,24,10.76,41,18.39,75,33.63,08036
8,37,197,48,24.37,29,14.72,35,17.77,85,43.15,08037
8,38,153,45,29.41,20,13.07,31,20.26,57,37.25,08038
8,39,228,61,26.75,23,10.09,36,15.79,108,47.37,08039
8,40,192,59,30.73,25,13.02,40,20.83,68,35.42,08040
8,41,230,87,37.83,29,12.61,43,18.7,71,30.87,08041
8,42,260,81,31.15,31,11.92,42,16.15,106,40.77,08042
8,43,119,39,32.77,10,8.4,36,30.25,34,28.57,08043
8,44,142,57,40.14,14,9.86,35,24.65,36,25.35,08044
8,45,153,66,43.14,20,13.07,26,16.99,41,26.8,08045
8,46,169,63,37.28,23,13.61,35,20.71,48,28.4,08046
8,47,184,63,34.24,15,8.15,35,19.02,71,38.59,08047
8,48,190,60,31.58,21,11.05,42,22.11,67,35.26,08048
8,49,230,58,25.22,35,15.22,58,25.22,79,34.35,08049
8,50,234,67,28.63,25,10.68,41,17.52,101,43.16,08050
8,51,247,60,24.29,26,10.53,47,19.03,114,46.15,08051
8,52,319,81,25.39,45,14.11,68,21.32,125,39.18,08052
8,53,98,35,35.71,15,15.31,16,16.33,32,32.65,08053
8,54,163,56,34.36,15,9.2,46,28.22,46,28.22,08054
8,55,226,64,28.32,22,9.73,51,22.57,89,39.38,08055
8,56,243,70,28.81,29,11.93,50,20.58,94,38.68,08056
9,1,193,65,33.68,23,11.92,38,19.69,67,34.72,09001
9,2,192,76,39.58,19,9.9,51,26.56,46,23.96,09002
9,3,113,55,48.67,13,11.5,23,20.35,22,19.47,09003
9,4,168,58,34.52,24,14.29,34,20.24,52,30.95,09004
9,5,188,63,33.51,17,9.04,39,20.74,69,36.7,09005
9,6,198,69,34.85,18,9.09,46,23.23,65,32.83,09006
9,7,128,55,42.97,14,10.94,22,17.19,37,28.91,09007
9,8,172,61,35.47,18,10.47,39,22.67,54,31.4,09008
9,9,230,86,37.39,22,9.57,49,21.3,73,31.74,09009
9,10,172,57,33.14,27,15.7,39,22.67,49,28.49,09010
9,11,141,56,39.72,13,9.22,33,23.4,39,27.66,09011
9,12,230,70,30.43,18,7.83,57,24.78,85,36.96,09012
9,13,276,105,38.04,30,10.87,55,19.93,86,31.16,09013
9,14,268,96,35.82,27,10.07,66,24.63,79,29.48,09014
9,15,154,57,37.01,14,9.09,43,27.92,40,25.97,09015
9,16,221,65,29.41,33,14.93,47,21.27,76,34.39,09016
9,17,131,64,48.85,8,6.11,34,25.95,25,19.08,09017
9,18,151,58,38.41,19,12.58,37,24.5,37,24.5,09018
9,19,190,71,37.37,24,12.63,39,20.53,56,29.47,09019
9,20,187,72,38.5,21,11.23,42,22.46,52,27.81,09020
9,21,179,73,40.78,17,9.5,45,25.14,44,24.58,09021
9,22,224,70,31.25,23,10.27,48,21.43,83,37.05,09022
9,23,237,53,22.36,37,15.61,47,19.83,100,42.19,09023
9,24,240,65,27.08,34,14.17,61,25.42,80,33.33,09024
9,25,224,62,27.68,31,13.84,59,26.34,72,32.14,09025
9,26,158,58,36.71,17,10.76,45,28.48,38,24.05,09026
9,27,169,76,44.97,18,10.65,29,17.16,46,27.22,09027
9,28,90,25,27.78,17,18.89,23,25.56,25,27.78,09028
9,29,121,48,39.67,8,6.61,28,23.14,37,30.58,09029
9,30,149,54,36.24,17,11.41,27,18.12,51,34.23,09030
9,31,144,52,36.11,14,9.72,39,27.08,39,27.08,09031
9,32,201,64,31.84,29,14.43,49,24.38,59,29.35,09032
9,33,147,54,36.73,15,10.2,31,21.09,47,31.97,09033
9,34,142,53,37.32,16,11.27,38,26.76,35,24.65,09034
9,35,210,64,30.48,32,15.24,31,14.76,83,39.52,09035
9,36,164,65,39.63,16,9.76,40,24.39,43,26.22,09036
9,37,274,83,30.29,61,22.26,54,19.71,76,27.74,09037
9,38,198,73,36.87,32,16.16,52,26.26,41,20.71,09038
9,39,226,78,34.51,26,11.5,51,22.57,71,31.42,09039
9,40,250,80,32.0,24,9.6,60,24.0,86,34.4,09040
9,41,173,56,32.37,14,8.09,44,25.43,59,34.1,09041
9,42,242,51,21.07,28,11.57,51,21.07,112,46.28,09042
9,43,149,68,45.64,11,7.38,40,26.85,30,20.13,09043
9,44,202,71,35.15,22,10.89,51,25.25,58,28.71,09044
9,45,149,60,40.27,17,11.41,30,20.13,42,28.19,09045
9,46,209,71,33.97,35,16.75,41,19.62,62,29.67,09046
9,47,246,55,22.36,28,11.38,48,19.51,115,46.75,09047
9,48,224,79,35.27,25,11.16,41,18.3,79,35.27,09048
9,49,243,71,29.22,33,13.58,50,20.58,89,36.63,09049
9,50,323,77,23.84,41,12.69,61,18.89,144,44.58,09050
9,51,234,63,26.92,30,12.82,50,21.37,91,38.89,09051
10,1,164,62,37.8,18,10.98,43,26.22,41,25.0,10001
10,2,133,52,39.1,22,16.54,39,29.32,20,15.04,10002
10,3,146,62,42.47,23,15.75,35,23.97,26,17.81,10003
10,4,120,41,34.17,22,18.33,37,30.83,20,16.67,10004
10,5,122,49,40.16,16,13.11,34,27.87,23,18.85,10005
