ward,precinct,total,Gerard C. Moorer,Gerard C. Moorer Percent,Jawaharial ''Omar'' Williams,Jawaharial ''Omar'' Williams Percent,Gina Zuccaro,Gina Zuccaro Percent,precinct_id
27,34,162,42,25.93,109,67.28,11,6.79,27034
27,35,244,66,27.05,106,43.44,72,29.51,27035
27,36,186,49,26.34,105,56.45,32,17.2,27036
27,37,20,8,40.0,10,50.0,2,10.0,27037
27,39,198,89,44.95,91,45.96,18,9.09,27039
27,40,243,62,25.51,132,54.32,49,20.16,27040
27,43,153,44,28.76,91,59.48,18,11.76,27043
27,44,156,46,29.49,66,42.31,44,28.21,27044
27,45,20,3,15.0,10,50.0,7,35.0,27045
27,49,182,80,43.96,79,43.41,23,12.64,27049
27,50,228,81,35.53,117,51.32,30,13.16,27050
28,1,0,0,0.0,0,0.0,0,0.0,28001
28,2,180,87,48.33,50,27.78,43,23.89,28002
28,3,150,58,38.67,54,36.0,38,25.33,28003
28,7,165,50,30.3,58,35.15,57,34.55,28007
28,9,165,59,35.76,59,35.76,47,28.48,28009
28,13,213,78,36.62,81,38.03,54,25.35,28013
28,15,51,14,27.45,23,45.1,14,27.45,28015
28,16,95,31,32.63,41,43.16,23,24.21,28016
28,17,142,40,28.17,42,29.58,60,42.25,28017
28,20,156,64,41.03,62,39.74,30,19.23,28020
28,21,161,64,39.75,57,35.4,40,24.84,28021
28,22,219,110,50.23,75,34.25,34,15.53,28022
28,23,218,66,30.28,67,30.73,85,38.99,28023
28,24,154,58,37.66,56,36.36,40,25.97,28024
28,25,273,85,31.14,83,30.4,105,38.46,28025
28,26,167,60,35.93,57,34.13,50,29.94,28026
28,30,36,16,44.44,12,33.33,8,22.22,28030
28,32,171,101,59.06,52,30.41,18,10.53,28032
28,33,194,83,42.78,72,37.11,39,20.1,28033
28,36,108,26,24.07,53,49.07,29,26.85,28036
28,37,213,60,28.17,67,31.46,86,40.38,28037
28,38,61,27,44.26,24,39.34,10,16.39,28038
28,40,245,92,37.55,97,39.59,56,22.86,28040
28,42,36,11,30.56,16,44.44,9,25.0,28042
28,44,145,38,26.21,77,53.1,30,20.69,28044
29,6,1,1,100.0,0,0.0,0,0.0,29006
32,2,291,92,31.62,120,41.24,79,27.15,32002
32,4,270,98,36.3,103,38.15,69,25.56,32004
32,5,266,84,31.58,97,36.47,85,31.95,32005
32,6,312,87,27.88,125,40.06,100,32.05,32006
32,29,218,66,30.28,90,41.28,62,28.44,32029
32,31,265,88,33.21,116,43.77,61,23.02,32031
32,32,310,93,30.0,149,48.06,68,21.94,32032
32,33,130,36,27.69,65,50.0,29,22.31,32033
32,34,209,75,35.89,77,36.84,57,27.27,32034
32,35,231,64,27.71,101,43.72,66,28.57,32035
32,36,259,82,31.66,108,41.7,69,26.64,32036
32,37,146,40,27.4,59,40.41,47,32.19,32037
37,2,125,43,34.4,65,52.0,17,13.6,37002
37,3,123,48,39.02,54,43.9,21,17.07,37003
37,4,144,63,43.75,61,42.36,20,13.89,37004
37,7,128,34,26.56,63,49.22,31,24.22,37007
37,8,117,45,38.46,51,43.59,21,17.95,37008
37,12,64,26,40.63,21,32.81,17,26.56,37012
37,13,148,55,37.16,62,41.89,31,20.95,37013
37,14,3,1,33.33,0,0.0,2,66.67,37014
37,19,138,39,28.26,72,52.17,27,19.57,37019
37,20,1,0,0.0,1,100.0,0,0.0,37020
37,21,152,63,41.45,57,37.5,32,21.05,37021
37,22,12,2,16.67,5,41.67,5,41.67,37022
37,27,4,1,25.0,2,50.0,1,25.0,37027
37,28,178,63,35.39,71,39.89,44,24.72,37028
37,30,20,10,50.0,8,40.0,2,10.0,37030
43,5,126,53,42.06,52,41.27,21,16.67,43005
43,7,182,59,32.42,85,46.7,38,20.88,43007
43,10,358,125,34.92,148,41.34,85,23.74,43010
43,11,204,70,34.31,72,35.29,62,30.39,43011
43,23,177,61,34.46,64,36.16,52,29.38,43023
