ward,precinct,total,Sondra Nicole Denmark,Sondra Nicole Denmark Percent,Felicia H. Simmons-Stovall,Felicia H. Simmons-Stovall Percent,Chelsey R. Robinson,Chelsey R. Robinson Percent,precinct_id
9,45,146,51,34.93,37,25.34,58,39.73,09045
9,46,207,80,38.65,63,30.43,64,30.92,09046
19,28,227,64,28.19,83,36.56,80,35.24,19028
19,43,28,9,32.14,6,21.43,13,46.43,19043
21,1,234,101,43.16,76,32.48,57,24.36,21001
21,2,128,36,28.13,49,38.28,43,33.59,21002
21,3,238,63,26.47,97,40.76,78,32.77,21003
21,5,268,102,38.06,90,33.58,76,28.36,21005
21,6,198,51,25.76,67,33.84,80,40.4,21006
21,7,221,78,35.29,72,32.58,71,32.13,21007
21,8,221,82,37.1,75,33.94,64,28.96,21008
21,9,255,73,28.63,91,35.69,91,35.69,21009
21,10,197,70,35.53,72,36.55,55,27.92,21010
21,11,212,69,32.55,75,35.38,68,32.08,21011
21,12,193,84,43.52,60,31.09,49,25.39,21012
21,13,142,39,27.46,63,44.37,40,28.17,21013
21,14,244,81,33.2,105,43.03,58,23.77,21014
21,16,184,72,39.13,68,36.96,44,23.91,21016
21,17,83,30,36.14,34,40.96,19,22.89,21017
21,18,237,80,33.76,92,38.82,65,27.43,21018
21,19,221,68,30.77,93,42.08,60,27.15,21019
21,20,19,8,42.11,4,21.05,7,36.84,21020
21,21,174,61,35.06,62,35.63,51,29.31,21021
21,22,184,68,36.96,67,36.41,49,26.63,21022
21,23,195,82,42.05,69,35.38,44,22.56,21023
21,24,240,87,36.25,89,37.08,64,26.67,21024
21,25,193,62,32.12,78,40.41,53,27.46,21025
21,27,215,82,38.14,73,33.95,60,27.91,21027
21,29,258,98,37.98,78,30.23,82,31.78,21029
21,32,193,67,34.72,76,39.38,50,25.91,21032
21,33,104,31,29.81,38,36.54,35,33.65,21033
21,34,87,38,43.68,29,33.33,20,22.99,21034
21,35,263,101,38.4,71,27.0,91,34.6,21035
21,36,210,63,30.0,78,37.14,69,32.86,21036
21,37,147,55,37.41,55,37.41,37,25.17,21037
21,38,183,67,36.61,74,40.44,42,22.95,21038
21,39,174,49,28.16,65,37.36,60,34.48,21039
21,40,202,67,33.17,77,38.12,58,28.71,21040
21,41,215,75,34.88,89,41.4,51,23.72,21041
21,42,243,81,33.33,96,39.51,66,27.16,21042
21,44,186,70,37.63,60,32.26,56,30.11,21044
21,45,175,59,33.71,69,39.43,47,26.86,21045
21,46,230,80,34.78,84,36.52,66,28.7,21046
21,48,125,46,36.8,45,36.0,34,27.2,21048
21,49,246,73,29.67,95,38.62,78,31.71,21049
21,50,158,49,31.01,65,41.14,44,27.85,21050
21,52,24,10,41.67,11,45.83,3,12.5,21052
34,1,250,70,28.0,92,36.8,88,35.2,34001
34,2,198,41,20.71,65,32.83,92,46.46,34002
34,3,226,63,27.88,97,42.92,66,29.2,34003
34,4,147,27,18.37,51,34.69,69,46.94,34004
34,5,203,45,22.17,82,40.39,76,37.44,34005
34,6,252,60,23.81,105,41.67,87,34.52,34006
34,7,272,85,31.25,89,32.72,98,36.03,34007
34,8,156,33,21.15,63,40.38,60,38.46,34008
34,9,131,35,26.72,50,38.17,46,35.11,34009
34,10,232,75,32.33,78,33.62,79,34.05,34010
34,11,160,44,27.5,54,33.75,62,38.75,34011
34,12,242,57,23.55,93,38.43,92,38.02,34012
34,13,229,62,27.07,69,30.13,98,42.79,34013
34,14,163,54,33.13,64,39.26,45,27.61,34014
34,15,179,45,25.14,72,40.22,62,34.64,34015
34,16,182,42,23.08,68,37.36,72,39.56,34016
34,18,144,41,28.47,42,29.17,61,42.36,34018
34,19,178,37,20.79,72,40.45,69,38.76,34019
34,20,286,72,25.17,125,43.71,89,31.12,34020
34,21,282,100,35.46,85,30.14,97,34.4,34021
34,22,201,50,24.88,68,33.83,83,41.29,34022
34,23,185,43,23.24,65,35.14,77,41.62,34023
34,24,195,45,23.08,94,48.21,56,28.72,34024
34,25,346,92,26.59,148,42.77,106,30.64,34025
34,26,249,92,36.95,80,32.13,77,30.92,34026
34,27,160,45,28.13,51,31.88,64,40.0,34027
34,28,110,27,24.55,52,47.27,31,28.18,34028
34,29,178,37,20.79,75,42.13,66,37.08,34029
34,30,219,52,23.74,98,44.75,69,31.51,34030
34,31,146,49,33.56,58,39.73,39,26.71,34031
34,32,199,43,21.61,69,34.67,87,43.72,34032
34,33,143,52,36.36,45,31.47,46,32.17,34033
34,34,267,100,37.45,82,30.71,85,31.84,34034
34,35,248,72,29.03,95,38.31,81,32.66,34035
34,36,194,57,29.38,55,28.35,82,42.27,34036
34,37,110,29,26.36,38,34.55,43,39.09,34037
34,38,83,16,19.28,36,43.37,31,37.35,34038
34,39,139,35,25.18,59,42.45,45,32.37,34039
34,40,236,68,28.81,77,32.63,91,38.56,34040
34,41,133,41,30.83,42,31.58,50,37.59,34041
34,42,238,72,30.25,66,27.73,100,42.02,34042
34,43,215,67,31.16,85,39.53,63,29.3,34043
34,44,221,52,23.53,93,42.08,76,34.39,34044
34,45,186,55,29.57,76,40.86,55,29.57,34045
34,46,162,55,33.95,56,34.57,51,31.48,34046
34,47,221,60,27.15,89,40.27,72,32.58,34047
34,48,250,84,33.6,77,30.8,89,35.6,34048
34,49,76,23,30.26,39,51.32,14,18.42,34049
34,50,166,55,33.13,48,28.92,63,37.95,34050
34,51,265,79,29.81,90,33.96,96,36.23,34051
34,52,174,59,33.91,58,33.33,57,32.76,34052
34,53,129,35,27.13,48,37.21,46,35.66,34053
