ward,precinct,total,Pamela ''Pam'' Stratigakis,Pamela ''Pam'' Stratigakis Percent,Thomas M. Cushing,Thomas M. Cushing Percent,Ira I. Silverstein,Ira I. Silverstein Percent,Timothy Patrick Carter,Timothy Patrick Carter Percent,precinct_id
50,18,63,3,4.76,3,4.76,56,88.89,1,1.59,50018
50,19,127,49,38.58,36,28.35,33,25.98,9,7.09,50019
50,20,221,98,44.34,58,26.24,50,22.62,15,6.79,50020
50,21,205,75,36.59,58,28.29,57,27.8,15,7.32,50021
50,22,231,41,17.75,30,12.99,149,64.5,11,4.76,50022
50,24,184,29,15.76,15,8.15,132,71.74,8,4.35,50024
50,25,264,43,16.29,35,13.26,180,68.18,6,2.27,50025
50,26,132,57,43.18,22,16.67,45,34.09,8,6.06,50026
50,27,66,19,28.79,10,15.15,34,51.52,3,4.55,50027
50,28,190,60,31.58,46,24.21,63,33.16,21,11.05,50028
50,29,141,58,41.13,27,19.15,46,32.62,10,7.09,50029
50,30,103,35,33.98,29,28.16,27,26.21,12,11.65,50030
50,31,172,81,47.09,25,14.53,48,27.91,18,10.47,50031
50,32,194,81,41.75,40,20.62,54,27.84,19,9.79,50032
50,33,283,39,13.78,34,12.01,207,73.14,3,1.06,50033
50,34,364,113,31.04,102,28.02,135,37.09,14,3.85,50034
50,35,293,117,39.93,97,33.11,61,20.82,18,6.14,50035
50,36,244,107,43.85,64,26.23,58,23.77,15,6.15,50036
50,37,236,108,45.76,67,28.39,43,18.22,18,7.63,50037
50,38,103,28,27.18,27,26.21,43,41.75,5,4.85,50038
50,39,133,23,17.29,16,12.03,84,63.16,10,7.52,50039
50,40,374,30,8.02,26,6.95,314,83.96,4,1.07,50040
