ward,precinct,total,Robert Peters,Robert Peters Percent,Ken Thomas,Ken Thomas Percent,precinct_id
5,16,241,91,37.76,150,62.24,05016
5,17,197,98,49.75,99,50.25,05017
5,18,304,215,70.72,89,29.28,05018
5,19,313,228,72.84,85,27.16,05019
5,20,359,211,58.77,148,41.23,05020
5,21,321,214,66.67,107,33.33,05021
5,22,375,224,59.73,151,40.27,05022
5,23,495,300,60.61,195,39.39,05023
5,24,359,206,57.38,153,42.62,05024
5,25,266,139,52.26,127,47.74,05025
5,26,260,120,46.15,140,53.85,05026
5,27,329,258,78.42,71,21.58,05027
5,28,307,151,49.19,156,50.81,05028
5,29,291,118,40.55,173,59.45,05029
5,30,91,36,39.56,55,60.44,05030
5,31,198,60,30.3,138,69.7,05031
5,32,334,128,38.32,206,61.68,05032
5,33,305,142,46.56,163,53.44,05033
5,34,358,243,67.88,115,32.12,05034
5,35,387,248,64.08,139,35.92,05035
5,36,105,50,47.62,55,52.38,05036
5,37,340,232,68.24,108,31.76,05037
5,38,240,76,31.67,164,68.33,05038
5,39,258,166,64.34,92,35.66,05039
5,40,214,65,30.37,149,69.63,05040
5,41,173,106,61.27,67,38.73,05041
7,1,147,60,40.82,87,59.18,07001
7,2,178,81,45.51,97,54.49,07002
7,3,240,108,45.0,132,55.0,07003
7,4,220,83,37.73,137,62.27,07004
7,5,196,88,44.9,108,55.1,07005
7,6,290,135,46.55,155,53.45,07006
7,7,188,82,43.62,106,56.38,07007
7,8,126,73,57.94,53,42.06,07008
7,9,374,144,38.5,230,61.5,07009
7,10,250,107,42.8,143,57.2,07010
7,11,205,93,45.37,112,54.63,07011
7,12,188,79,42.02,109,57.98,07012
7,13,146,62,42.47,84,57.53,07013
7,14,209,80,38.28,129,61.72,07014
7,15,203,85,41.87,118,58.13,07015
7,16,153,61,39.87,92,60.13,07016
7,17,188,68,36.17,120,63.83,07017
7,18,144,59,40.97,85,59.03,07018
7,19,185,75,40.54,110,59.46,07019
7,20,149,52,34.9,97,65.1,07020
7,21,140,57,40.71,83,59.29,07021
7,22,168,80,47.62,88,52.38,07022
7,23,231,80,34.63,151,65.37,07023
7,24,160,62,38.75,98,61.25,07024
7,25,162,79,48.77,83,51.23,07025
7,28,36,14,38.89,22,61.11,07028
7,30,22,10,45.45,12,54.55,07030
7,31,131,62,47.33,69,52.67,07031
7,32,191,71,37.17,120,62.83,07032
7,33,315,114,36.19,201,63.81,07033
7,34,282,114,40.43,168,59.57,07034
7,35,232,86,37.07,146,62.93,07035
7,37,205,93,45.37,112,54.63,07037
7,46,99,60,60.61,39,39.39,07046
8,1,7,3,42.86,4,57.14,08001
8,2,95,41,43.16,54,56.84,08002
8,21,0,0,0.0,0,0.0,08021
8,42,261,109,41.76,152,58.24,08042
10,1,176,97,55.11,79,44.89,10001
10,4,127,75,59.06,52,40.94,10004
10,6,142,91,64.08,51,35.92,10006
10,7,110,66,60.0,44,40.0,10007
10,8,84,43,51.19,41,48.81,10008
10,10,176,126,71.59,50,28.41,10010
10,11,229,170,74.24,59,25.76,10011
10,12,118,86,72.88,32,27.12,10012
10,14,221,171,77.38,50,22.62,10014
10,18,96,60,62.5,36,37.5,10018
10,19,186,133,71.51,53,28.49,10019
10,20,195,134,68.72,61,31.28,10020
10,21,162,117,72.22,45,27.78,10021
10,22,113,81,71.68,32,28.32,10022
10,23,143,105,73.43,38,26.57,10023
10,25,56,36,64.29,20,35.71,10025
10,26,129,84,65.12,45,34.88,10026
10,27,144,85,59.03,59,40.97,10027
10,28,215,146,67.91,69,32.09,10028
10,29,189,133,70.37,56,29.63,10029
10,30,160,129,80.63,31,19.38,10030
10,31,134,90,67.16,44,32.84,10031
10,32,171,118,69.01,53,30.99,10032
10,33,143,102,71.33,41,28.67,10033
10,34,121,80,66.12,41,33.88,10034
10,35,192,127,66.15,65,33.85,10035
10,36,46,28,60.87,18,39.13,10036
20,5,253,112,44.27,141,55.73,20005
20,9,333,153,45.95,180,54.05,20009
20,16,269,152,56.51,117,43.49,20016
20,22,281,131,46.62,150,53.38,20022
20,24,255,140,54.9,115,45.1,20024
20,26,220,115,52.27,105,47.73,20026
20,34,324,186,57.41,138,42.59,20034
42,1,198,132,66.67,66,33.33,42001
42,2,211,136,64.45,75,35.55,42002
42,4,425,276,64.94,149,35.06,42004
42,6,267,177,66.29,90,33.71,42006
42,7,248,139,56.05,109,43.95,42007
42,8,234,146,62.39,88,37.61,42008
42,11,88,69,78.41,19,21.59,42011
42,13,252,159,63.1,93,36.9,42013
42,19,82,51,62.2,31,37.8,42019
42,24,159,107,67.3,52,32.7,42024
42,26,269,145,53.9,124,46.1,42026
42,28,215,138,64.19,77,35.81,42028
42,29,195,122,62.56,73,37.44,42029
42,30,177,124,70.06,53,29.94,42030
42,31,252,158,62.7,94,37.3,42031
42,34,184,124,67.39,60,32.61,42034
42,35,299,175,58.53,124,41.47,42035
42,40,182,114,62.64,68,37.36,42040
43,35,237,155,65.4,82,34.6,43035
