ward,precinct,total,Sophia Olazaba (Elizabeth Warren),Sophia Olazaba (Elizabeth Warren) Percent,Will Guzzardi (Elizabeth Warren),Will Guzzardi (Elizabeth Warren) Percent,Venu Gupta (Elizabeth Warren),Venu Gupta (Elizabeth Warren) Percent,Omar Aquino (Elizabeth Warren),Omar Aquino (Elizabeth Warren) Percent,Abby Witt (Elizabeth Warren),Abby Witt (Elizabeth Warren) Percent,Alma Anaya (Bernie Sanders),Alma Anaya (Bernie Sanders) Percent,Melissa Rubio (Bernie Sanders),Melissa Rubio (Bernie Sanders) Percent,Shana East (Bernie Sanders),Shana East (Bernie Sanders) Percent,Byron Sigcho-Lopez (Bernie Sanders),Byron Sigcho-Lopez (Bernie Sanders) Percent,Colin Bird-Martinez (Bernie Sanders),Colin Bird-Martinez (Bernie Sanders) Percent,"Jesus Ayala, Jr. (Andrew Yang)","Jesus Ayala, Jr. (Andrew Yang) Percent",Melissa Strube (Andrew Yang),Melissa Strube (Andrew Yang) Percent,Peter Gariepy (Pete Buttigieg),Peter Gariepy (Pete Buttigieg) Percent,precinct_id
14,25,499,7,1.4,6,1.2,10,2.0,8,1.6,4,0.8,85,17.03,73,14.63,59,11.82,63,12.63,57,11.42,13,2.61,3,0.6,6,1.2,14025
14,27,968,17,1.76,5,0.52,10,1.03,17,1.76,16,1.65,148,15.29,142,14.67,115,11.88,120,12.4,109,11.26,11,1.14,12,1.24,11,1.14,14027
14,28,621,13,2.09,9,1.45,2,0.32,9,1.45,8,1.29,94,15.14,86,13.85,67,10.79,77,12.4,73,11.76,15,2.42,7,1.13,3,0.48,14028
14,30,531,13,2.45,3,0.56,2,0.38,8,1.51,2,0.38,97,18.27,86,16.2,77,14.5,81,15.25,78,14.69,11,2.07,3,0.56,1,0.19,14030
14,31,541,9,1.66,4,0.74,4,0.74,7,1.29,3,0.55,87,16.08,85,15.71,66,12.2,68,12.57,65,12.01,18,3.33,3,0.55,5,0.92,14031
15,1,149,2,1.34,0,0.0,0,0.0,3,2.01,0,0.0,28,18.79,24,16.11,18,12.08,19,12.75,22,14.77,7,4.7,1,0.67,1,0.67,15001
15,4,786,16,2.04,6,0.76,5,0.64,12,1.53,11,1.4,135,17.18,112,14.25,86,10.94,100,12.72,87,11.07,18,2.29,4,0.51,5,0.64,15004
15,5,504,6,1.19,3,0.6,2,0.4,9,1.79,5,0.99,85,16.87,73,14.48,60,11.9,61,12.1,54,10.71,12,2.38,4,0.79,4,0.79,15005
15,6,784,19,2.42,7,0.89,5,0.64,11,1.4,7,0.89,137,17.47,123,15.69,95,12.12,103,13.14,100,12.76,14,1.79,6,0.77,2,0.26,15006
15,8,411,7,1.7,1,0.24,1,0.24,9,2.19,5,1.22,74,18.0,71,17.27,57,13.87,61,14.84,55,13.38,6,1.46,1,0.24,2,0.49,15008
15,9,925,17,1.84,5,0.54,8,0.86,18,1.95,11,1.19,153,16.54,141,15.24,118,12.76,122,13.19,113,12.22,20,2.16,7,0.76,5,0.54,15009
15,10,1055,22,2.09,6,0.57,11,1.04,19,1.8,13,1.23,168,15.92,146,13.84,111,10.52,132,12.51,108,10.24,28,2.65,11,1.04,11,1.04,15010
15,11,815,20,2.45,8,0.98,3,0.37,16,1.96,6,0.74,139,17.06,109,13.37,77,9.45,80,9.82,78,9.57,16,1.96,11,1.35,7,0.86,15011
15,12,863,25,2.9,9,1.04,12,1.39,11,1.27,12,1.39,157,18.19,124,14.37,94,10.89,94,10.89,91,10.54,17,1.97,5,0.58,12,1.39,15012
15,15,232,5,2.16,2,0.86,1,0.43,3,1.29,4,1.72,43,18.53,37,15.95,30,12.93,33,14.22,25,10.78,3,1.29,1,0.43,0,0.0,15015
16,1,257,8,3.11,3,1.17,2,0.78,6,2.33,5,1.95,37,14.4,31,12.06,29,11.28,30,11.67,31,12.06,3,1.17,0,0.0,3,1.17,16001
22,3,1091,22,2.02,7,0.64,11,1.01,19,1.74,13,1.19,188,17.23,181,16.59,139,12.74,146,13.38,142,13.02,24,2.2,4,0.37,5,0.46,22003
22,4,630,10,1.59,6,0.95,3,0.48,14,2.22,5,0.79,108,17.14,92,14.6,65,10.32,79,12.54,71,11.27,21,3.33,5,0.79,1,0.16,22004
22,5,698,12,1.72,2,0.29,4,0.57,15,2.15,4,0.57,119,17.05,116,16.62,91,13.04,98,14.04,92,13.18,11,1.58,4,0.57,4,0.57,22005
22,6,802,18,2.24,3,0.37,3,0.37,10,1.25,6,0.75,142,17.71,131,16.33,107,13.34,101,12.59,94,11.72,18,2.24,7,0.87,6,0.75,22006
22,7,564,13,2.3,5,0.89,5,0.89,14,2.48,7,1.24,86,15.25,69,12.23,57,10.11,61,10.82,56,9.93,12,2.13,5,0.89,3,0.53,22007
22,9,540,12,2.22,4,0.74,3,0.56,11,2.04,3,0.56,94,17.41,87,16.11,67,12.41,78,14.44,68,12.59,13,2.41,2,0.37,2,0.37,22009
22,10,1017,22,2.16,8,0.79,5,0.49,20,1.97,10,0.98,167,16.42,141,13.86,106,10.42,118,11.6,111,10.91,22,2.16,11,1.08,4,0.39,22010
22,11,703,9,1.28,2,0.28,4,0.57,11,1.56,6,0.85,123,17.5,122,17.35,95,13.51,98,13.94,84,11.95,18,2.56,5,0.71,2,0.28,22011
22,13,800,19,2.38,5,0.63,9,1.13,10,1.25,6,0.75,136,17.0,124,15.5,91,11.38,104,13.0,93,11.63,15,1.88,6,0.75,3,0.38,22013
22,14,280,9,3.21,2,0.71,3,1.07,6,2.14,3,1.07,51,18.21,47,16.79,39,13.93,44,15.71,36,12.86,7,2.5,1,0.36,0,0.0,22014
22,15,612,17,2.78,6,0.98,2,0.33,20,3.27,1,0.16,103,16.83,95,15.52,80,13.07,78,12.75,72,11.76,17,2.78,4,0.65,2,0.33,22015
22,16,609,12,1.97,6,0.99,4,0.66,12,1.97,9,1.48,100,16.42,83,13.63,65,10.67,72,11.82,71,11.66,7,1.15,3,0.49,4,0.66,22016
22,17,870,21,2.41,5,0.57,8,0.92,13,1.49,6,0.69,155,17.82,127,14.6,97,11.15,110,12.64,94,10.8,32,3.68,17,1.95,8,0.92,22017
22,18,575,11,1.91,3,0.52,5,0.87,12,2.09,1,0.17,96,16.7,81,14.09,63,10.96,74,12.87,65,11.3,18,3.13,0,0.0,7,1.22,22018
22,19,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22019
22,20,883,18,2.04,4,0.45,2,0.23,18,2.04,8,0.91,152,17.21,139,15.74,121,13.7,134,15.18,120,13.59,16,1.81,5,0.57,4,0.45,22020
22,22,742,11,1.48,5,0.67,4,0.54,11,1.48,8,1.08,126,16.98,116,15.63,100,13.48,109,14.69,105,14.15,18,2.43,5,0.67,2,0.27,22022
22,24,953,17,1.78,4,0.42,4,0.42,13,1.36,11,1.15,151,15.84,141,14.8,122,12.8,121,12.7,117,12.28,15,1.57,3,0.31,5,0.52,22024
22,25,780,20,2.56,5,0.64,7,0.9,17,2.18,2,0.26,137,17.56,129,16.54,100,12.82,108,13.85,95,12.18,25,3.21,7,0.9,7,0.9,22025
23,9,381,10,2.62,3,0.79,0,0.0,10,2.62,4,1.05,57,14.96,49,12.86,33,8.66,44,11.55,39,10.24,9,2.36,1,0.26,4,1.05,23009
23,13,652,9,1.38,6,0.92,3,0.46,10,1.53,4,0.61,114,17.48,95,14.57,73,11.2,89,13.65,79,12.12,14,2.15,6,0.92,8,1.23,23013
23,15,31,2,6.45,2,6.45,1,3.23,1,3.23,1,3.23,3,9.68,1,3.23,1,3.23,3,9.68,1,3.23,0,0.0,1,3.23,1,3.23,23015
23,24,581,11,1.89,1,0.17,3,0.52,6,1.03,3,0.52,79,13.6,64,11.02,51,8.78,57,9.81,54,9.29,13,2.24,3,0.52,10,1.72,23024
23,26,313,7,2.24,4,1.28,4,1.28,5,1.6,2,0.64,49,15.65,49,15.65,37,11.82,36,11.5,32,10.22,6,1.92,2,0.64,1,0.32,23026
23,34,353,8,2.27,3,0.85,3,0.85,9,2.55,2,0.57,52,14.73,50,14.16,36,10.2,43,12.18,38,10.76,8,2.27,3,0.85,2,0.57,23034
23,39,674,13,1.93,4,0.59,4,0.59,7,1.04,4,0.59,105,15.58,93,13.8,78,11.57,81,12.02,83,12.31,11,1.63,2,0.3,6,0.89,23039
24,16,611,9,1.47,2,0.33,5,0.82,8,1.31,3,0.49,101,16.53,94,15.38,81,13.26,94,15.38,85,13.91,19,3.11,2,0.33,7,1.15,24016
25,1,947,23,2.43,3,0.32,5,0.53,11,1.16,3,0.32,155,16.37,128,13.52,116,12.25,140,14.78,111,11.72,15,1.58,4,0.42,10,1.06,25001
25,2,1481,26,1.76,18,1.22,14,0.95,26,1.76,19,1.28,257,17.35,225,15.19,207,13.98,254,17.15,201,13.57,11,0.74,7,0.47,7,0.47,25002
25,5,1279,13,1.02,7,0.55,7,0.55,21,1.64,15,1.17,199,15.56,179,14.0,149,11.65,192,15.01,156,12.2,18,1.41,3,0.23,15,1.17,25005
25,7,1283,29,2.26,11,0.86,15,1.17,19,1.48,15,1.17,208,16.21,206,16.06,176,13.72,217,16.91,171,13.33,18,1.4,6,0.47,12,0.94,25007
25,8,1389,38,2.74,22,1.58,26,1.87,30,2.16,27,1.94,209,15.05,192,13.82,162,11.66,205,14.76,165,11.88,13,0.94,6,0.43,15,1.08,25008
25,9,1115,25,2.24,9,0.81,16,1.43,19,1.7,18,1.61,177,15.87,171,15.34,136,12.2,170,15.25,139,12.47,12,1.08,7,0.63,5,0.45,25009
25,11,1311,37,2.82,21,1.6,16,1.22,34,2.59,23,1.75,203,15.48,195,14.87,166,12.66,215,16.4,161,12.28,21,1.6,8,0.61,9,0.69,25011
25,12,1232,29,2.35,11,0.89,16,1.3,19,1.54,15,1.22,195,15.83,181,14.69,156,12.66,202,16.4,154,12.5,18,1.46,10,0.81,9,0.73,25012
25,13,1329,33,2.48,16,1.2,18,1.35,21,1.58,19,1.43,211,15.88,199,14.97,178,13.39,223,16.78,173,13.02,21,1.58,5,0.38,8,0.6,25013
25,14,78,3,3.85,1,1.28,1,1.28,2,2.56,1,1.28,13,16.67,12,15.38,10,12.82,13,16.67,10,12.82,2,2.56,0,0.0,3,3.85,25014
25,15,971,10,1.03,3,0.31,4,0.41,9,0.93,9,0.93,156,16.07,136,14.01,126,12.98,154,15.86,121,12.46,15,1.54,6,0.62,5,0.51,25015
25,17,1175,38,3.23,16,1.36,21,1.79,26,2.21,13,1.11,164,13.96,146,12.43,123,10.47,162,13.79,120,10.21,33,2.81,7,0.6,14,1.19,25017
25,19,1359,28,2.06,12,0.88,12,0.88,15,1.1,14,1.03,233,17.14,215,15.82,196,14.42,222,16.34,190,13.98,16,1.18,9,0.66,5,0.37,25019
25,22,1138,27,2.37,11,0.97,12,1.05,16,1.41,10,0.88,195,17.14,179,15.73,163,14.32,203,17.84,154,13.53,20,1.76,4,0.35,8,0.7,25022
25,23,1323,28,2.12,9,0.68,17,1.28,18,1.36,16,1.21,202,15.27,182,13.76,146,11.04,214,16.18,160,12.09,16,1.21,6,0.45,6,0.45,25023
25,24,1314,22,1.67,18,1.37,12,0.91,17,1.29,14,1.07,204,15.53,204,15.53,171,13.01,231,17.58,169,12.86,21,1.6,5,0.38,13,0.99,25024
25,26,1235,20,1.62,10,0.81,8,0.65,22,1.78,11,0.89,194,15.71,183,14.82,153,12.39,197,15.95,149,12.06,22,1.78,2,0.16,7,0.57,25026
25,27,137,1,0.73,0,0.0,0,0.0,0,0.0,2,1.46,17,12.41,17,12.41,14,10.22,18,13.14,15,10.95,2,1.46,1,0.73,1,0.73,25027
25,28,1319,22,1.67,9,0.68,7,0.53,13,0.99,9,0.68,209,15.85,208,15.77,185,14.03,236,17.89,182,13.8,14,1.06,9,0.68,8,0.61,25028
25,30,1187,29,2.44,13,1.1,18,1.52,22,1.85,16,1.35,200,16.85,185,15.59,151,12.72,206,17.35,156,13.14,22,1.85,5,0.42,6,0.51,25030
25,32,880,18,2.05,12,1.36,12,1.36,21,2.39,12,1.36,127,14.43,117,13.3,98,11.14,119,13.52,96,10.91,20,2.27,9,1.02,8,0.91,25032
26,1,548,16,2.92,20,3.65,16,2.92,23,4.2,17,3.1,68,12.41,64,11.68,57,10.4,56,10.22,53,9.67,7,1.28,2,0.36,11,2.01,26001
26,2,763,11,1.44,12,1.57,6,0.79,20,2.62,11,1.44,117,15.33,124,16.25,107,14.02,105,13.76,101,13.24,9,1.18,4,0.52,5,0.66,26002
26,5,945,24,2.54,13,1.38,5,0.53,15,1.59,16,1.69,135,14.29,141,14.92,122,12.91,123,13.02,111,11.75,9,0.95,2,0.21,9,0.95,26005
26,6,753,24,3.19,13,1.73,10,1.33,25,3.32,16,2.12,109,14.48,113,15.01,89,11.82,90,11.95,85,11.29,15,1.99,8,1.06,7,0.93,26006
26,7,1098,33,3.01,41,3.73,20,1.82,22,2.0,23,2.09,170,15.48,163,14.85,157,14.3,148,13.48,138,12.57,2,0.18,4,0.36,10,0.91,26007
26,8,468,12,2.56,10,2.14,8,1.71,20,4.27,7,1.5,62,13.25,75,16.03,55,11.75,49,10.47,46,9.83,9,1.92,5,1.07,7,1.5,26008
26,9,668,18,2.69,5,0.75,9,1.35,27,4.04,12,1.8,94,14.07,95,14.22,81,12.13,80,11.98,75,11.23,11,1.65,0,0.0,8,1.2,26009
26,10,245,4,1.63,2,0.82,1,0.41,4,1.63,1,0.41,35,14.29,38,15.51,33,13.47,35,14.29,32,13.06,5,2.04,3,1.22,3,1.22,26010
26,11,815,17,2.09,10,1.23,7,0.86,22,2.7,8,0.98,113,13.87,109,13.37,92,11.29,98,12.02,89,10.92,5,0.61,4,0.49,8,0.98,26011
26,12,1096,23,2.1,18,1.64,12,1.09,25,2.28,16,1.46,164,14.96,161,14.69,151,13.78,150,13.69,143,13.05,18,1.64,3,0.27,10,0.91,26012
26,13,375,8,2.13,2,0.53,3,0.8,13,3.47,4,1.07,42,11.2,49,13.07,35,9.33,38,10.13,33,8.8,6,1.6,1,0.27,1,0.27,26013
26,14,716,19,2.65,8,1.12,7,0.98,20,2.79,8,1.12,114,15.92,109,15.22,91,12.71,98,13.69,87,12.15,12,1.68,7,0.98,7,0.98,26014
26,15,411,6,1.46,4,0.97,1,0.24,11,2.68,2,0.49,59,14.36,61,14.84,51,12.41,50,12.17,44,10.71,6,1.46,1,0.24,1,0.24,26015
26,16,362,7,1.93,4,1.1,5,1.38,9,2.49,2,0.55,52,14.36,51,14.09,44,12.15,43,11.88,46,12.71,4,1.1,0,0.0,3,0.83,26016
26,18,431,13,3.02,12,2.78,9,2.09,12,2.78,12,2.78,55,12.76,57,13.23,48,11.14,49,11.37,48,11.14,6,1.39,4,0.93,3,0.7,26018
26,20,906,23,2.54,16,1.77,16,1.77,24,2.65,29,3.2,127,14.02,129,14.24,115,12.69,100,11.04,101,11.15,8,0.88,1,0.11,5,0.55,26020
26,22,331,3,0.91,3,0.91,3,0.91,18,5.44,2,0.6,57,17.22,54,16.31,42,12.69,41,12.39,42,12.69,6,1.81,1,0.3,1,0.3,26022
26,23,702,24,3.42,11,1.57,8,1.14,20,2.85,12,1.71,107,15.24,100,14.25,86,12.25,90,12.82,81,11.54,12,1.71,5,0.71,5,0.71,26023
26,24,585,12,2.05,12,2.05,6,1.03,11,1.88,9,1.54,89,15.21,92,15.73,80,13.68,79,13.5,79,13.5,7,1.2,2,0.34,5,0.85,26024
26,25,727,19,2.61,15,2.06,8,1.1,20,2.75,15,2.06,108,14.86,106,14.58,98,13.48,89,12.24,86,11.83,9,1.24,3,0.41,7,0.96,26025
26,26,639,17,2.66,10,1.56,11,1.72,11,1.72,13,2.03,102,15.96,98,15.34,98,15.34,93,14.55,87,13.62,7,1.1,3,0.47,7,1.1,26026
26,27,472,24,5.08,17,3.6,14,2.97,23,4.87,17,3.6,52,11.02,54,11.44,49,10.38,45,9.53,43,9.11,6,1.27,3,0.64,6,1.27,26027
