ward,precinct,total,Trina Mangrum,Trina Mangrum Percent,Lakesia Collins,Lakesia Collins Percent,Aaron Turner,Aaron Turner Percent,Tyjuan ''Ty'' Cratic,Tyjuan ''Ty'' Cratic Percent,Maurice Edwards,Maurice Edwards Percent,Sandra Schneller,Sandra Schneller Percent,Nicole L. ''Nikki'' Harvey,Nicole L. ''Nikki'' Harvey Percent,precinct_id
24,37,109,15,13.76,59,54.13,21,19.27,2,1.83,1,0.92,1,0.92,10,9.17,24037
24,38,177,33,18.64,78,44.07,30,16.95,8,4.52,3,1.69,3,1.69,22,12.43,24038
24,39,196,23,11.73,93,47.45,41,20.92,3,1.53,5,2.55,13,6.63,18,9.18,24039
24,40,189,30,15.87,99,52.38,27,14.29,4,2.12,10,5.29,8,4.23,11,5.82,24040
25,3,282,22,7.8,127,45.04,32,11.35,42,14.89,6,2.13,32,11.35,21,7.45,25003
25,4,184,24,13.04,94,51.09,19,10.33,17,9.24,4,2.17,8,4.35,18,9.78,25004
25,10,230,24,10.43,97,42.17,14,6.09,51,22.17,2,0.87,22,9.57,20,8.7,25010
25,16,268,28,10.45,94,35.07,32,11.94,35,13.06,4,1.49,46,17.16,29,10.82,25016
25,20,144,5,3.47,75,52.08,31,21.53,3,2.08,11,7.64,7,4.86,12,8.33,25020
25,25,217,29,13.36,91,41.94,23,10.6,29,13.36,5,2.3,24,11.06,16,7.37,25025
25,27,152,7,4.61,64,42.11,22,14.47,25,16.45,7,4.61,13,8.55,14,9.21,25027
25,29,211,19,9.0,127,60.19,17,8.06,5,2.37,15,7.11,9,4.27,19,9.0,25029
25,31,304,21,6.91,135,44.41,40,13.16,48,15.79,8,2.63,29,9.54,23,7.57,25031
27,2,177,20,11.3,93,52.54,16,9.04,14,7.91,3,1.69,16,9.04,15,8.47,27002
27,6,232,11,4.74,86,37.07,25,10.78,18,7.76,45,19.4,32,13.79,15,6.47,27006
27,9,111,8,7.21,44,39.64,10,9.01,13,11.71,15,13.51,16,14.41,5,4.5,27009
27,10,73,6,8.22,36,49.32,7,9.59,5,6.85,4,5.48,8,10.96,7,9.59,27010
27,11,47,2,4.26,28,59.57,3,6.38,8,17.02,2,4.26,2,4.26,2,4.26,27011
27,14,51,4,7.84,23,45.1,3,5.88,3,5.88,3,5.88,4,7.84,11,21.57,27014
27,16,119,8,6.72,42,35.29,14,11.76,29,24.37,1,0.84,14,11.76,11,9.24,27016
27,18,162,13,8.02,83,51.23,14,8.64,9,5.56,14,8.64,12,7.41,17,10.49,27018
27,20,147,8,5.44,83,56.46,10,6.8,3,2.04,21,14.29,9,6.12,13,8.84,27020
27,21,192,16,8.33,74,38.54,18,9.38,20,10.42,21,10.94,25,13.02,18,9.38,27021
27,25,64,8,12.5,30,46.88,9,14.06,3,4.69,2,3.13,3,4.69,9,14.06,27025
27,28,180,18,10.0,99,55.0,9,5.0,16,8.89,10,5.56,14,7.78,14,7.78,27028
27,33,65,6,9.23,26,40.0,8,12.31,5,7.69,3,4.62,7,10.77,10,15.38,27033
27,37,204,16,7.84,97,47.55,21,10.29,19,9.31,12,5.88,22,10.78,17,8.33,27037
27,38,191,22,11.52,94,49.21,25,13.09,16,8.38,4,2.09,16,8.38,14,7.33,27038
27,41,202,19,9.41,124,61.39,15,7.43,5,2.48,21,10.4,8,3.96,10,4.95,27041
27,42,156,19,12.18,85,54.49,9,5.77,14,8.97,3,1.92,11,7.05,15,9.62,27042
27,45,364,22,6.04,161,44.23,42,11.54,60,16.48,10,2.75,30,8.24,39,10.71,27045
27,47,179,10,5.59,92,51.4,12,6.7,9,5.03,30,16.76,13,7.26,13,7.26,27047
27,48,352,26,7.39,176,50.0,21,5.97,22,6.25,71,20.17,18,5.11,18,5.11,27048
28,4,135,14,10.37,61,45.19,19,14.07,19,14.07,4,2.96,9,6.67,9,6.67,28004
28,5,148,33,22.3,56,37.84,14,9.46,14,9.46,7,4.73,8,5.41,16,10.81,28005
28,6,91,9,9.89,35,38.46,14,15.38,16,17.58,3,3.3,10,10.99,4,4.4,28006
28,8,150,15,10.0,71,47.33,17,11.33,15,10.0,4,2.67,15,10.0,13,8.67,28008
28,10,218,31,14.22,108,49.54,31,14.22,17,7.8,3,1.38,18,8.26,10,4.59,28010
28,11,418,55,13.16,207,49.52,28,6.7,61,14.59,17,4.07,27,6.46,23,5.5,28011
28,18,173,19,10.98,88,50.87,23,13.29,8,4.62,6,3.47,8,4.62,21,12.14,28018
28,19,152,30,19.74,50,32.89,15,9.87,26,17.11,4,2.63,13,8.55,14,9.21,28019
28,27,200,23,11.5,101,50.5,20,10.0,17,8.5,3,1.5,24,12.0,12,6.0,28027
28,28,245,31,12.65,105,42.86,34,13.88,28,11.43,7,2.86,28,11.43,12,4.9,28028
28,29,83,18,21.69,34,40.96,11,13.25,4,4.82,3,3.61,4,4.82,9,10.84,28029
28,32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28032
28,34,293,76,25.94,111,37.88,42,14.33,10,3.41,19,6.48,14,4.78,21,7.17,28034
28,35,181,27,14.92,103,56.91,16,8.84,3,1.66,7,3.87,14,7.73,11,6.08,28035
28,45,166,15,9.04,88,53.01,17,10.24,21,12.65,1,0.6,11,6.63,13,7.83,28045
28,46,353,55,15.58,143,40.51,30,8.5,57,16.15,13,3.68,35,9.92,20,5.67,28046
42,3,228,17,7.46,98,42.98,24,10.53,39,17.11,9,3.95,25,10.96,16,7.02,42003
42,9,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,42009
42,12,122,7,5.74,46,37.7,10,8.2,28,22.95,1,0.82,15,12.3,15,12.3,42012
42,16,228,27,11.84,102,44.74,21,9.21,40,17.54,6,2.63,18,7.89,14,6.14,42016
42,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42018
42,21,60,5,8.33,24,40.0,7,11.67,13,21.67,0,0.0,6,10.0,5,8.33,42021
42,36,105,7,6.67,49,46.67,9,8.57,18,17.14,3,2.86,10,9.52,9,8.57,42036
42,41,49,10,20.41,20,40.82,1,2.04,8,16.33,3,6.12,5,10.2,2,4.08,42041
43,1,135,8,5.93,50,37.04,7,5.19,32,23.7,6,4.44,22,16.3,10,7.41,43001
43,3,268,14,5.22,110,41.04,21,7.84,77,28.73,8,2.99,24,8.96,14,5.22,43003
43,5,111,6,5.41,39,35.14,13,11.71,42,37.84,1,0.9,7,6.31,3,2.7,43005
43,45,185,12,6.49,69,37.3,15,8.11,50,27.03,6,3.24,20,10.81,13,7.03,43045
