ward,precinct,total,Jon Stromsta,Jon Stromsta Percent,Maire Aileen Dempsey,Maire Aileen Dempsey Percent,precinct_id
39,36,51,10,19.61,30,58.82,39036
39,37,210,45,21.43,102,48.57,39037
39,38,139,31,22.3,79,56.83,39038
39,39,176,27,15.34,103,58.52,39039
39,40,217,40,18.43,101,46.54,39040
39,41,263,39,14.83,117,44.49,39041
39,42,259,53,20.46,123,47.49,39042
39,43,214,41,19.16,92,42.99,39043
39,44,171,24,14.04,93,54.39,39044
39,45,234,31,13.25,105,44.87,39045
40,1,202,57,28.22,97,48.02,40001
40,2,199,38,19.1,125,62.81,40002
40,3,325,80,24.62,206,63.38,40003
40,4,104,39,37.5,50,48.08,40004
40,5,273,68,24.91,169,61.9,40005
40,6,364,103,28.3,217,59.62,40006
40,7,266,79,29.7,154,57.89,40007
40,10,163,33,20.25,90,55.21,40010
40,11,294,80,27.21,172,58.5,40011
40,12,226,47,20.8,146,64.6,40012
40,13,192,60,31.25,114,59.38,40013
40,14,177,30,16.95,93,52.54,40014
40,15,201,33,16.42,118,58.71,40015
40,16,396,127,32.07,230,58.08,40016
40,17,228,56,24.56,134,58.77,40017
40,18,51,11,21.57,31,60.78,40018
40,19,274,50,18.25,153,55.84,40019
40,20,189,44,23.28,115,60.85,40020
40,21,216,46,21.3,140,64.81,40021
40,24,183,39,21.31,87,47.54,40024
40,25,344,85,24.71,220,63.95,40025
40,29,250,51,20.4,155,62.0,40029
40,30,209,42,20.1,135,64.59,40030
40,34,208,46,22.12,110,52.88,40034
40,38,175,47,26.86,105,60.0,40038
40,39,65,9,13.85,32,49.23,40039
41,1,217,21,9.68,69,31.8,41001
41,2,214,26,12.15,62,28.97,41002
41,3,211,26,12.32,85,40.28,41003
41,4,258,47,18.22,102,39.53,41004
41,5,251,37,14.74,103,41.04,41005
41,6,179,20,11.17,76,42.46,41006
41,7,221,25,11.31,86,38.91,41007
41,8,228,28,12.28,70,30.7,41008
41,10,300,41,13.67,107,35.67,41010
41,11,254,28,11.02,87,34.25,41011
41,12,186,28,15.05,53,28.49,41012
41,13,214,25,11.68,82,38.32,41013
41,14,189,31,16.4,90,47.62,41014
41,15,275,41,14.91,107,38.91,41015
41,16,212,22,10.38,70,33.02,41016
41,17,207,34,16.43,79,38.16,41017
41,18,203,22,10.84,65,32.02,41018
41,20,153,14,9.15,63,41.18,41020
41,21,241,19,7.88,86,35.68,41021
41,22,274,22,8.03,95,34.67,41022
41,23,204,21,10.29,59,28.92,41023
41,24,174,27,15.52,52,29.89,41024
41,26,230,35,15.22,85,36.96,41026
41,30,196,22,11.22,58,29.59,41030
41,31,222,28,12.61,123,55.41,41031
41,32,200,22,11.0,79,39.5,41032
41,33,205,31,15.12,56,27.32,41033
41,34,209,30,14.35,68,32.54,41034
41,35,286,34,11.89,94,32.87,41035
41,36,207,26,12.56,90,43.48,41036
41,37,254,43,16.93,82,32.28,41037
41,38,195,21,10.77,76,38.97,41038
41,39,274,32,11.68,115,41.97,41039
41,40,224,19,8.48,75,33.48,41040
41,41,201,20,9.95,54,26.87,41041
41,42,230,31,13.48,69,30.0,41042
41,43,214,27,12.62,74,34.58,41043
41,44,241,31,12.86,77,31.95,41044
41,45,216,36,16.67,66,30.56,41045
41,46,286,33,11.54,115,40.21,41046
41,47,121,14,11.57,53,43.8,41047
45,1,222,78,35.14,103,46.4,45001
45,2,226,71,31.42,108,47.79,45002
45,3,245,55,22.45,130,53.06,45003
45,4,279,61,21.86,157,56.27,45004
45,5,55,9,16.36,28,50.91,45005
45,7,367,95,25.89,168,45.78,45007
45,8,205,54,26.34,86,41.95,45008
45,9,152,19,12.5,57,37.5,45009
45,10,127,25,19.69,46,36.22,45010
45,11,171,42,24.56,68,39.77,45011
45,12,196,37,18.88,104,53.06,45012
45,13,246,63,25.61,91,36.99,45013
45,14,332,44,13.25,148,44.58,45014
45,15,350,59,16.86,144,41.14,45015
45,16,204,45,22.06,85,41.67,45016
45,17,256,51,19.92,114,44.53,45017
45,18,215,21,9.77,91,42.33,45018
45,19,112,15,13.39,53,47.32,45019
45,20,145,30,20.69,58,40.0,45020
45,21,197,27,13.71,67,34.01,45021
45,22,150,31,20.67,44,29.33,45022
45,23,175,23,13.14,53,30.29,45023
45,24,157,28,17.83,47,29.94,45024
45,25,145,18,12.41,48,33.1,45025
45,26,98,15,15.31,28,28.57,45026
45,27,213,29,13.62,61,28.64,45027
45,28,138,25,18.12,57,41.3,45028
45,29,112,24,21.43,38,33.93,45029
45,30,193,23,11.92,100,51.81,45030
45,31,202,37,18.32,77,38.12,45031
45,32,204,35,17.16,78,38.24,45032
45,33,175,38,21.71,69,39.43,45033
45,34,256,44,17.19,81,31.64,45034
45,35,276,47,17.03,113,40.94,45035
45,36,266,42,15.79,89,33.46,45036
45,37,210,31,14.76,75,35.71,45037
45,38,227,31,13.66,79,34.8,45038
45,39,205,35,17.07,69,33.66,45039
45,40,185,29,15.68,41,22.16,45040
45,41,240,22,9.17,48,20.0,45041
45,42,268,27,10.07,48,17.91,45042
45,43,213,17,7.98,54,25.35,45043
45,44,268,26,9.7,67,25.0,45044
45,45,144,14,9.72,46,31.94,45045
45,46,143,16,11.19,51,35.66,45046
45,47,151,24,15.89,46,30.46,45047
45,48,162,19,11.73,46,28.4,45048
47,1,186,45,24.19,125,67.2,47001
47,2,292,112,38.36,153,52.4,47002
47,3,238,46,19.33,146,61.34,47003
47,4,329,114,34.65,178,54.1,47004
47,5,294,99,33.67,163,55.44,47005
47,6,305,79,25.9,182,59.67,47006
47,7,269,78,29.0,146,54.28,47007
47,8,291,87,29.9,163,56.01,47008
47,9,29,6,20.69,17,58.62,47009
47,10,413,137,33.17,237,57.38,47010
47,12,310,89,28.71,186,60.0,47012
47,13,236,64,27.12,149,63.14,47013
47,14,264,97,36.74,143,54.17,47014
47,16,314,98,31.21,168,53.5,47016
47,17,292,73,25.0,171,58.56,47017
47,20,296,82,27.7,182,61.49,47020
47,21,303,89,29.37,174,57.43,47021
47,22,359,131,36.49,193,53.76,47022
47,25,302,127,42.05,146,48.34,47025
47,26,393,134,34.1,221,56.23,47026
47,27,259,80,30.89,155,59.85,47027
47,28,293,78,26.62,174,59.39,47028
47,29,306,75,24.51,180,58.82,47029
47,30,364,97,26.65,223,61.26,47030
47,31,327,88,26.91,202,61.77,47031
47,32,382,109,28.53,240,62.83,47032
47,33,149,33,22.15,101,67.79,47033
47,34,357,111,31.09,205,57.42,47034
47,35,297,74,24.92,191,64.31,47035
47,36,368,119,32.34,218,59.24,47036
47,37,292,96,32.88,163,55.82,47037
47,38,283,87,30.74,165,58.3,47038
47,39,316,116,36.71,172,54.43,47039
47,40,189,45,23.81,124,65.61,47040
47,42,189,72,38.1,100,52.91,47042
47,43,241,71,29.46,140,58.09,47043
47,45,311,120,38.59,171,54.98,47045
47,46,273,82,30.04,142,52.01,47046
47,47,308,86,27.92,185,60.06,47047
47,48,31,5,16.13,8,25.81,47048
50,23,105,18,17.14,51,48.57,50023
50,24,21,4,19.05,9,42.86,50024
50,26,13,2,15.38,7,53.85,50026
50,30,33,4,12.12,15,45.45,50030
50,31,41,7,17.07,18,43.9,50031
