ward,precinct,total,Michael G. Grace,Michael G. Grace Percent,Mike Cashman,Mike Cashman Percent,Frank Avila,Frank Avila Percent,Heather Boyle,Heather Boyle Percent,M Cameron ''Cam'' Davis,M Cameron ''Cam'' Davis Percent,Kimberly Neely Dubuclet,Kimberly Neely Dubuclet Percent,Eira L. Corral Sep̼lveda,Eira L. Corral Sep̼lveda Percent,Patricia Theresa Flynn,Patricia Theresa Flynn Percent,Shundar Lin,Shundar Lin Percent,Deyon Dean,Deyon Dean Percent,precinct_id
2,11,568,37,6.51,28,4.93,43,7.57,63,11.09,103,18.13,127,22.36,90,15.85,47,8.27,19,3.35,11,1.94,02011
2,12,570,35,6.14,24,4.21,50,8.77,59,10.35,101,17.72,128,22.46,81,14.21,62,10.88,17,2.98,13,2.28,02012
2,13,604,33,5.46,28,4.64,34,5.63,63,10.43,109,18.05,141,23.34,96,15.89,61,10.1,25,4.14,14,2.32,02013
2,14,688,30,4.36,24,3.49,55,7.99,66,9.59,132,19.19,151,21.95,120,17.44,68,9.88,31,4.51,11,1.6,02014
2,15,596,30,5.03,25,4.19,61,10.23,59,9.9,117,19.63,134,22.48,91,15.27,40,6.71,28,4.7,11,1.85,02015
2,16,618,33,5.34,27,4.37,48,7.77,64,10.36,109,17.64,132,21.36,108,17.48,53,8.58,37,5.99,7,1.13,02016
2,17,768,21,2.73,33,4.3,58,7.55,68,8.85,155,20.18,189,24.61,138,17.97,61,7.94,28,3.65,17,2.21,02017
2,18,591,33,5.58,24,4.06,38,6.43,76,12.86,93,15.74,136,23.01,87,14.72,63,10.66,33,5.58,8,1.35,02018
2,19,297,15,5.05,15,5.05,23,7.74,23,7.74,59,19.87,65,21.89,50,16.84,30,10.1,11,3.7,6,2.02,02019
2,20,543,38,7.0,33,6.08,54,9.94,73,13.44,94,17.31,94,17.31,78,14.36,42,7.73,27,4.97,10,1.84,02020
2,21,690,34,4.93,24,3.48,63,9.13,74,10.72,129,18.7,156,22.61,110,15.94,62,8.99,29,4.2,9,1.3,02021
2,22,622,24,3.86,27,4.34,34,5.47,91,14.63,115,18.49,148,23.79,90,14.47,67,10.77,23,3.7,3,0.48,02022
2,23,403,16,3.97,24,5.96,29,7.2,47,11.66,77,19.11,86,21.34,65,16.13,44,10.92,10,2.48,5,1.24,02023
2,24,440,20,4.55,25,5.68,24,5.45,53,12.05,82,18.64,106,24.09,74,16.82,40,9.09,11,2.5,5,1.14,02024
2,25,650,28,4.31,39,6.0,61,9.38,81,12.46,102,15.69,135,20.77,100,15.38,67,10.31,22,3.38,15,2.31,02025
2,26,394,33,8.38,25,6.35,40,10.15,48,12.18,58,14.72,74,18.78,46,11.68,42,10.66,19,4.82,9,2.28,02026
2,27,393,40,10.18,17,4.33,29,7.38,46,11.7,67,17.05,80,20.36,47,11.96,40,10.18,17,4.33,10,2.54,02027
2,28,571,31,5.43,30,5.25,42,7.36,62,10.86,103,18.04,128,22.42,86,15.06,52,9.11,28,4.9,9,1.58,02028
2,29,563,34,6.04,29,5.15,46,8.17,69,12.26,84,14.92,110,19.54,86,15.28,66,11.72,24,4.26,15,2.66,02029
2,30,472,15,3.18,15,3.18,31,6.57,62,13.14,85,18.01,120,25.42,80,16.95,47,9.96,12,2.54,5,1.06,02030
2,31,764,43,5.63,42,5.5,57,7.46,85,11.13,142,18.59,168,21.99,119,15.58,76,9.95,23,3.01,9,1.18,02031
2,32,370,23,6.22,17,4.59,32,8.65,36,9.73,63,17.03,86,23.24,52,14.05,33,8.92,20,5.41,8,2.16,02032
2,33,920,50,5.43,49,5.33,63,6.85,113,12.28,155,16.85,198,21.52,134,14.57,106,11.52,37,4.02,15,1.63,02033
2,34,550,32,5.82,26,4.73,35,6.36,57,10.36,116,21.09,116,21.09,85,15.45,55,10.0,20,3.64,8,1.45,02034
2,35,571,36,6.3,25,4.38,42,7.36,73,12.78,98,17.16,124,21.72,87,15.24,57,9.98,23,4.03,6,1.05,02035
2,36,481,20,4.16,19,3.95,46,9.56,63,13.1,79,16.42,101,21.0,64,13.31,58,12.06,26,5.41,5,1.04,02036
2,37,644,43,6.68,38,5.9,47,7.3,88,13.66,99,15.37,127,19.72,90,13.98,81,12.58,19,2.95,12,1.86,02037
2,38,451,17,3.77,19,4.21,26,5.76,59,13.08,84,18.63,111,24.61,75,16.63,43,9.53,13,2.88,4,0.89,02038
2,39,338,24,7.1,14,4.14,47,13.91,36,10.65,55,16.27,62,18.34,41,12.13,33,9.76,21,6.21,5,1.48,02039
2,40,462,32,6.93,23,4.98,39,8.44,63,13.64,68,14.72,104,22.51,63,13.64,45,9.74,13,2.81,12,2.6,02040
2,41,466,29,6.22,18,3.86,37,7.94,64,13.73,68,14.59,106,22.75,71,15.24,48,10.3,13,2.79,12,2.58,02041
2,42,499,26,5.21,21,4.21,33,6.61,69,13.83,79,15.83,113,22.65,74,14.83,50,10.02,25,5.01,9,1.8,02042
2,43,580,34,5.86,28,4.83,37,6.38,70,12.07,102,17.59,132,22.76,103,17.76,50,8.62,15,2.59,9,1.55,02043
2,44,351,17,4.84,22,6.27,28,7.98,45,12.82,61,17.38,70,19.94,58,16.52,34,9.69,14,3.99,2,0.57,02044
2,45,559,37,6.62,22,3.94,64,11.45,66,11.81,89,15.92,108,19.32,73,13.06,62,11.09,25,4.47,13,2.33,02045
2,46,347,13,3.75,18,5.19,16,4.61,43,12.39,73,21.04,82,23.63,54,15.56,34,9.8,8,2.31,6,1.73,02046
3,1,821,71,8.65,37,4.51,59,7.19,62,7.55,175,21.32,189,23.02,85,10.35,89,10.84,15,1.83,39,4.75,03001
3,2,960,78,8.13,43,4.48,70,7.29,93,9.69,190,19.79,215,22.4,104,10.83,90,9.38,28,2.92,49,5.1,03002
3,3,408,47,11.52,28,6.86,44,10.78,29,7.11,80,19.61,76,18.63,47,11.52,30,7.35,17,4.17,10,2.45,03003
3,4,857,57,6.65,28,3.27,83,9.68,54,6.3,176,20.54,201,23.45,107,12.49,66,7.7,22,2.57,63,7.35,03004
3,5,419,47,11.22,20,4.77,40,9.55,41,9.79,81,19.33,75,17.9,40,9.55,43,10.26,8,1.91,24,5.73,03005
3,6,850,41,4.82,38,4.47,66,7.76,77,9.06,156,18.35,192,22.59,142,16.71,78,9.18,36,4.24,24,2.82,03006
3,7,478,55,11.51,25,5.23,43,9.0,45,9.41,95,19.87,100,20.92,39,8.16,45,9.41,12,2.51,19,3.97,03007
3,8,431,57,13.23,21,4.87,39,9.05,47,10.9,74,17.17,82,19.03,25,5.8,53,12.3,7,1.62,26,6.03,03008
3,9,808,59,7.3,26,3.22,61,7.55,79,9.78,170,21.04,177,21.91,89,11.01,81,10.02,23,2.85,43,5.32,03009
3,10,274,33,12.04,18,6.57,26,9.49,23,8.39,55,20.07,49,17.88,27,9.85,30,10.95,5,1.82,8,2.92,03010
3,11,614,47,7.65,21,3.42,60,9.77,56,9.12,134,21.82,121,19.71,53,8.63,67,10.91,12,1.95,43,7.0,03011
3,12,744,64,8.6,28,3.76,60,8.06,70,9.41,140,18.82,152,20.43,90,12.1,67,9.01,25,3.36,48,6.45,03012
3,13,818,42,5.13,26,3.18,53,6.48,77,9.41,158,19.32,189,23.11,141,17.24,75,9.17,41,5.01,16,1.96,03013
3,14,686,38,5.54,27,3.94,66,9.62,61,8.89,119,17.35,149,21.72,106,15.45,62,9.04,31,4.52,27,3.94,03014
3,15,534,60,11.24,20,3.75,47,8.8,50,9.36,108,20.22,96,17.98,47,8.8,56,10.49,13,2.43,37,6.93,03015
3,16,512,56,10.94,24,4.69,49,9.57,53,10.35,93,18.16,91,17.77,39,7.62,65,12.7,12,2.34,30,5.86,03016
3,17,896,56,6.25,37,4.13,78,8.71,104,11.61,150,16.74,183,20.42,125,13.95,86,9.6,39,4.35,38,4.24,03017
3,18,867,68,7.84,42,4.84,78,9.0,81,9.34,148,17.07,180,20.76,99,11.42,85,9.8,38,4.38,48,5.54,03018
3,19,730,43,5.89,34,4.66,56,7.67,69,9.45,136,18.63,168,23.01,117,16.03,55,7.53,34,4.66,18,2.47,03019
3,20,739,61,8.25,43,5.82,56,7.58,56,7.58,157,21.24,142,19.22,70,9.47,82,11.1,24,3.25,48,6.5,03020
3,21,742,62,8.36,29,3.91,58,7.82,79,10.65,142,19.14,158,21.29,97,13.07,80,10.78,21,2.83,16,2.16,03021
3,22,829,37,4.46,23,2.77,65,7.84,80,9.65,153,18.46,170,20.51,136,16.41,84,10.13,49,5.91,32,3.86,03022
3,23,433,48,11.09,21,4.85,48,11.09,43,9.93,73,16.86,75,17.32,36,8.31,58,13.39,6,1.39,25,5.77,03023
3,24,504,43,8.53,21,4.17,40,7.94,51,10.12,101,20.04,106,21.03,48,9.52,56,11.11,11,2.18,27,5.36,03024
3,25,1062,41,3.86,36,3.39,90,8.47,81,7.63,228,21.47,270,25.42,195,18.36,72,6.78,37,3.48,12,1.13,03025
3,26,831,33,3.97,42,5.05,69,8.3,70,8.42,171,20.58,199,23.95,135,16.25,62,7.46,34,4.09,16,1.93,03026
3,27,788,50,6.35,32,4.06,73,9.26,90,11.42,135,17.13,175,22.21,113,14.34,77,9.77,31,3.93,12,1.52,03027
3,28,428,51,11.92,23,5.37,35,8.18,39,9.11,80,18.69,77,17.99,40,9.35,55,12.85,9,2.1,19,4.44,03028
3,29,618,50,8.09,32,5.18,57,9.22,73,11.81,114,18.45,119,19.26,48,7.77,84,13.59,14,2.27,27,4.37,03029
3,30,601,60,9.98,23,3.83,53,8.82,34,5.66,137,22.8,127,21.13,66,10.98,61,10.15,8,1.33,32,5.32,03030
3,31,784,69,8.8,32,4.08,56,7.14,84,10.71,142,18.11,155,19.77,75,9.57,93,11.86,25,3.19,53,6.76,03031
3,32,814,27,3.32,24,2.95,63,7.74,89,10.93,147,18.06,198,24.32,122,14.99,76,9.34,37,4.55,31,3.81,03032
3,33,828,33,3.99,27,3.26,61,7.37,87,10.51,145,17.51,199,24.03,131,15.82,88,10.63,39,4.71,18,2.17,03033
3,34,850,54,6.35,34,4.0,81,9.53,75,8.82,162,19.06,179,21.06,131,15.41,69,8.12,41,4.82,24,2.82,03034
3,35,320,18,5.63,4,1.25,29,9.06,28,8.75,62,19.38,74,23.13,31,9.69,35,10.94,12,3.75,27,8.44,03035
3,36,282,32,11.35,14,4.96,30,10.64,19,6.74,51,18.09,54,19.15,25,8.87,40,14.18,5,1.77,12,4.26,03036
3,37,608,60,9.87,25,4.11,59,9.7,60,9.87,111,18.26,119,19.57,52,8.55,72,11.84,12,1.97,38,6.25,03037
3,38,571,65,11.38,19,3.33,45,7.88,42,7.36,115,20.14,123,21.54,60,10.51,66,11.56,11,1.93,25,4.38,03038
3,39,915,43,4.7,20,2.19,62,6.78,80,8.74,181,19.78,227,24.81,163,17.81,63,6.89,48,5.25,28,3.06,03039
3,40,542,42,7.75,27,4.98,44,8.12,43,7.93,110,20.3,103,19.0,77,14.21,50,9.23,20,3.69,26,4.8,03040
3,41,550,52,9.45,26,4.73,46,8.36,52,9.45,97,17.64,118,21.45,66,12.0,50,9.09,21,3.82,22,4.0,03041
4,1,1050,30,2.86,24,2.29,86,8.19,76,7.24,237,22.57,262,24.95,196,18.67,69,6.57,40,3.81,30,2.86,04001
4,2,882,42,4.76,25,2.83,58,6.58,91,10.32,176,19.95,210,23.81,145,16.44,71,8.05,39,4.42,25,2.83,04002
4,3,514,36,7.0,23,4.47,40,7.78,47,9.14,115,22.37,114,22.18,68,13.23,35,6.81,10,1.95,26,5.06,04003
4,4,895,78,8.72,36,4.02,71,7.93,70,7.82,197,22.01,177,19.78,94,10.5,98,10.95,18,2.01,56,6.26,04004
4,5,825,47,5.7,18,2.18,82,9.94,75,9.09,158,19.15,193,23.39,101,12.24,84,10.18,19,2.3,48,5.82,04005
4,6,953,90,9.44,31,3.25,91,9.55,72,7.56,185,19.41,202,21.2,116,12.17,81,8.5,26,2.73,59,6.19,04006
4,7,938,68,7.25,29,3.09,86,9.17,81,8.64,196,20.9,210,22.39,119,12.69,79,8.42,23,2.45,47,5.01,04007
4,8,846,53,6.26,25,2.96,63,7.45,58,6.86,187,22.1,197,23.29,113,13.36,64,7.57,26,3.07,60,7.09,04008
4,9,1081,64,5.92,28,2.59,79,7.31,89,8.23,221,20.44,277,25.62,146,13.51,101,9.34,25,2.31,51,4.72,04009
4,10,979,68,6.95,33,3.37,70,7.15,92,9.4,193,19.71,226,23.08,122,12.46,93,9.5,21,2.15,61,6.23,04010
4,11,630,60,9.52,21,3.33,47,7.46,40,6.35,132,20.95,139,22.06,81,12.86,60,9.52,19,3.02,31,4.92,04011
4,12,895,78,8.72,35,3.91,75,8.38,78,8.72,185,20.67,184,20.56,104,11.62,74,8.27,21,2.35,61,6.82,04012
4,13,732,38,5.19,24,3.28,53,7.24,87,11.89,120,16.39,149,20.36,121,16.53,73,9.97,46,6.28,21,2.87,04013
4,14,674,50,7.42,27,4.01,53,7.86,56,8.31,140,20.77,144,21.36,81,12.02,76,11.28,15,2.23,32,4.75,04014
4,15,840,65,7.74,25,2.98,85,10.12,80,9.52,150,17.86,186,22.14,90,10.71,92,10.95,18,2.14,49,5.83,04015
4,16,1050,33,3.14,13,1.24,62,5.9,113,10.76,204,19.43,259,24.67,197,18.76,88,8.38,46,4.38,35,3.33,04016
4,17,784,31,3.95,16,2.04,57,7.27,90,11.48,136,17.35,187,23.85,144,18.37,69,8.8,37,4.72,17,2.17,04017
4,18,749,76,10.15,39,5.21,87,11.62,67,8.95,136,18.16,148,19.76,68,9.08,66,8.81,15,2.0,47,6.28,04018
4,19,436,49,11.24,32,7.34,34,7.8,34,7.8,78,17.89,93,21.33,39,8.94,50,11.47,4,0.92,23,5.28,04019
4,20,696,38,5.46,27,3.88,64,9.2,49,7.04,135,19.4,164,23.56,104,14.94,62,8.91,31,4.45,22,3.16,04020
4,21,808,43,5.32,31,3.84,57,7.05,81,10.02,135,16.71,185,22.9,133,16.46,76,9.41,47,5.82,20,2.48,04021
4,22,769,43,5.59,19,2.47,56,7.28,57,7.41,169,21.98,199,25.88,120,15.6,59,7.67,22,2.86,25,3.25,04022
4,23,1060,32,3.02,19,1.79,73,6.89,66,6.23,256,24.15,281,26.51,206,19.43,57,5.38,35,3.3,35,3.3,04023
4,24,702,37,5.27,12,1.71,46,6.55,46,6.55,158,22.51,177,25.21,119,16.95,57,8.12,20,2.85,30,4.27,04024
4,25,819,40,4.88,39,4.76,72,8.79,87,10.62,138,16.85,171,20.88,124,15.14,73,8.91,52,6.35,23,2.81,04025
4,26,695,47,6.76,26,3.74,54,7.77,47,6.76,153,22.01,165,23.74,91,13.09,58,8.35,19,2.73,35,5.04,04026
4,27,984,36,3.66,27,2.74,64,6.5,71,7.22,234,23.78,249,25.3,172,17.48,68,6.91,29,2.95,34,3.46,04027
4,28,651,53,8.14,26,3.99,54,8.29,72,11.06,131,20.12,131,20.12,69,10.6,68,10.45,17,2.61,30,4.61,04028
4,29,628,42,6.69,22,3.5,64,10.19,52,8.28,127,20.22,146,23.25,78,12.42,41,6.53,14,2.23,42,6.69,04029
4,30,892,69,7.74,30,3.36,75,8.41,93,10.43,193,21.64,181,20.29,97,10.87,83,9.3,22,2.47,49,5.49,04030
4,31,1002,62,6.19,28,2.79,69,6.89,76,7.58,216,21.56,250,24.95,146,14.57,88,8.78,16,1.6,51,5.09,04031
4,32,793,52,6.56,21,2.65,76,9.58,58,7.31,181,22.82,173,21.82,110,13.87,60,7.57,17,2.14,45,5.67,04032
4,33,809,40,4.94,31,3.83,70,8.65,66,8.16,168,20.77,183,22.62,124,15.33,66,8.16,26,3.21,35,4.33,04033
4,34,622,48,7.72,21,3.38,57,9.16,64,10.29,121,19.45,136,21.86,66,10.61,61,9.81,14,2.25,34,5.47,04034
4,35,881,49,5.56,35,3.97,58,6.58,61,6.92,205,23.27,221,25.09,115,13.05,73,8.29,13,1.48,51,5.79,04035
4,36,957,59,6.17,27,2.82,88,9.2,79,8.25,191,19.96,216,22.57,127,13.27,92,9.61,27,2.82,51,5.33,04036
4,37,1181,48,4.06,37,3.13,91,7.71,101,8.55,231,19.56,289,24.47,216,18.29,89,7.54,51,4.32,28,2.37,04037
4,38,884,57,6.45,19,2.15,63,7.13,64,7.24,189,21.38,211,23.87,118,13.35,75,8.48,29,3.28,59,6.67,04038
5,1,518,59,11.39,29,5.6,33,6.37,52,10.04,101,19.5,103,19.88,40,7.72,63,12.16,10,1.93,28,5.41,05001
5,2,454,49,10.79,15,3.3,33,7.27,42,9.25,104,22.91,82,18.06,34,7.49,59,13.0,11,2.42,25,5.51,05002
5,3,803,28,3.49,14,1.74,54,6.72,67,8.34,171,21.3,215,26.77,138,17.19,58,7.22,38,4.73,20,2.49,05003
5,4,884,45,5.09,20,2.26,64,7.24,81,9.16,189,21.38,201,22.74,133,15.05,69,7.81,38,4.3,44,4.98,05004
5,5,520,50,9.62,29,5.58,57,10.96,49,9.42,96,18.46,88,16.92,48,9.23,54,10.38,16,3.08,33,6.35,05005
5,6,545,60,11.01,35,6.42,59,10.83,48,8.81,107,19.63,88,16.15,43,7.89,56,10.28,16,2.94,33,6.06,05006
5,7,699,46,6.58,23,3.29,57,8.15,89,12.73,117,16.74,157,22.46,65,9.3,85,12.16,29,4.15,31,4.43,05007
5,8,856,23,2.69,14,1.64,57,6.66,60,7.01,210,24.53,234,27.34,174,20.33,39,4.56,34,3.97,11,1.29,05008
5,9,931,49,5.26,29,3.11,74,7.95,79,8.49,195,20.95,219,23.52,138,14.82,76,8.16,35,3.76,37,3.97,05009
5,10,504,50,9.92,23,4.56,48,9.52,44,8.73,92,18.25,101,20.04,35,6.94,63,12.5,13,2.58,35,6.94,05010
5,11,797,44,5.52,14,1.76,63,7.9,79,9.91,157,19.7,203,25.47,119,14.93,62,7.78,33,4.14,23,2.89,05011
5,12,388,45,11.6,22,5.67,31,7.99,37,9.54,76,19.59,70,18.04,28,7.22,49,12.63,9,2.32,21,5.41,05012
5,13,535,55,10.28,27,5.05,45,8.41,52,9.72,87,16.26,99,18.5,46,8.6,67,12.52,15,2.8,42,7.85,05013
5,14,638,42,6.58,20,3.13,43,6.74,55,8.62,125,19.59,153,23.98,69,10.82,74,11.6,16,2.51,41,6.43,05014
5,15,695,30,4.32,23,3.31,59,8.49,56,8.06,142,20.43,163,23.45,102,14.68,53,7.63,34,4.89,33,4.75,05015
5,16,570,52,9.12,33,5.79,50,8.77,58,10.18,103,18.07,105,18.42,45,7.89,66,11.58,19,3.33,39,6.84,05016
5,17,451,51,11.31,28,6.21,37,8.2,45,9.98,69,15.3,83,18.4,31,6.87,67,14.86,11,2.44,29,6.43,05017
5,18,733,29,3.96,20,2.73,59,8.05,47,6.41,166,22.65,188,25.65,128,17.46,52,7.09,23,3.14,21,2.86,05018
5,19,778,25,3.21,19,2.44,57,7.33,45,5.78,176,22.62,205,26.35,154,19.79,54,6.94,19,2.44,24,3.08,05019
5,20,891,37,4.15,24,2.69,71,7.97,80,8.98,190,21.32,220,24.69,135,15.15,69,7.74,29,3.25,36,4.04,05020
5,21,748,28,3.74,14,1.87,57,7.62,50,6.68,172,22.99,185,24.73,129,17.25,57,7.62,33,4.41,23,3.07,05021
5,22,980,51,5.2,27,2.76,74,7.55,73,7.45,214,21.84,244,24.9,151,15.41,71,7.24,39,3.98,36,3.67,05022
5,23,1266,52,4.11,27,2.13,100,7.9,86,6.79,287,22.67,322,25.43,217,17.14,83,6.56,51,4.03,41,3.24,05023
5,24,858,36,4.2,17,1.98,67,7.81,71,8.28,186,21.68,225,26.22,140,16.32,55,6.41,38,4.43,23,2.68,05024
5,25,671,44,6.56,28,4.17,64,9.54,46,6.86,131,19.52,161,23.99,91,13.56,60,8.94,13,1.94,33,4.92,05025
5,26,637,49,7.69,26,4.08,49,7.69,62,9.73,129,20.25,132,20.72,57,8.95,79,12.4,16,2.51,38,5.97,05026
