ward,precinct,total,Tiesha L. Smith,Tiesha L. Smith Percent,Cristin Keely McDonald Duffy,Cristin Keely McDonald Duffy Percent,Kerrie Maloney Laytin,Kerrie Maloney Laytin Percent,precinct_id
5,19,282,82,29.08,87,30.85,113,40.07,05019
5,20,341,149,43.7,57,16.72,135,39.59,05020
5,21,280,106,37.86,68,24.29,106,37.86,05021
5,22,355,140,39.44,77,21.69,138,38.87,05022
5,23,457,150,32.82,123,26.91,184,40.26,05023
5,24,316,113,35.76,77,24.37,126,39.87,05024
5,25,248,145,58.47,32,12.9,71,28.63,05025
5,26,256,154,60.16,40,15.63,62,24.22,05026
5,27,250,58,23.2,93,37.2,99,39.6,05027
5,28,300,175,58.33,40,13.33,85,28.33,05028
5,29,271,165,60.89,41,15.13,65,23.99,05029
5,30,170,110,64.71,20,11.76,40,23.53,05030
5,31,185,113,61.08,20,10.81,52,28.11,05031
5,32,307,187,60.91,27,8.79,93,30.29,05032
5,33,287,169,58.89,49,17.07,69,24.04,05033
5,34,315,64,20.32,103,32.7,148,46.98,05034
5,35,331,117,35.35,94,28.4,120,36.25,05035
5,36,99,62,62.63,13,13.13,24,24.24,05036
5,37,306,100,32.68,73,23.86,133,43.46,05037
5,38,218,140,64.22,41,18.81,37,16.97,05038
5,39,223,52,23.32,80,35.87,91,40.81,05039
5,40,202,129,63.86,24,11.88,49,24.26,05040
5,41,164,63,38.41,38,23.17,63,38.41,05041
6,1,267,176,65.92,37,13.86,54,20.22,06001
6,2,291,181,62.2,43,14.78,67,23.02,06002
6,3,256,141,55.08,38,14.84,77,30.08,06003
6,4,161,108,67.08,25,15.53,28,17.39,06004
6,5,134,90,67.16,18,13.43,26,19.4,06005
6,6,263,175,66.54,21,7.98,67,25.48,06006
6,7,209,141,67.46,32,15.31,36,17.22,06007
6,8,250,142,56.8,30,12.0,78,31.2,06008
6,9,181,118,65.19,35,19.34,28,15.47,06009
6,10,128,83,64.84,24,18.75,21,16.41,06010
6,11,190,134,70.53,26,13.68,30,15.79,06011
6,12,148,99,66.89,26,17.57,23,15.54,06012
6,13,181,131,72.38,20,11.05,30,16.57,06013
6,14,214,147,68.69,28,13.08,39,18.22,06014
6,15,167,113,67.66,36,21.56,18,10.78,06015
6,16,285,199,69.82,29,10.18,57,20.0,06016
6,17,131,95,72.52,16,12.21,20,15.27,06017
6,18,176,89,50.57,53,30.11,34,19.32,06018
6,19,174,119,68.39,22,12.64,33,18.97,06019
6,20,125,88,70.4,19,15.2,18,14.4,06020
6,21,99,71,71.72,17,17.17,11,11.11,06021
6,22,126,68,53.97,27,21.43,31,24.6,06022
6,23,84,55,65.48,14,16.67,15,17.86,06023
6,24,111,72,64.86,17,15.32,22,19.82,06024
6,25,103,64,62.14,12,11.65,27,26.21,06025
6,26,130,88,67.69,14,10.77,28,21.54,06026
6,27,109,68,62.39,21,19.27,20,18.35,06027
6,28,94,57,60.64,22,23.4,15,15.96,06028
6,29,241,111,46.06,28,11.62,102,42.32,06029
6,30,175,109,62.29,22,12.57,44,25.14,06030
6,31,258,148,57.36,35,13.57,75,29.07,06031
6,32,210,127,60.48,31,14.76,52,24.76,06032
6,33,208,125,60.1,25,12.02,58,27.88,06033
6,34,237,147,62.03,38,16.03,52,21.94,06034
6,35,236,159,67.37,23,9.75,54,22.88,06035
6,36,283,176,62.19,38,13.43,69,24.38,06036
6,37,279,159,56.99,23,8.24,97,34.77,06037
6,38,251,166,66.14,29,11.55,56,22.31,06038
6,39,170,101,59.41,22,12.94,47,27.65,06039
6,40,193,123,63.73,23,11.92,47,24.35,06040
6,41,248,151,60.89,34,13.71,63,25.4,06041
6,42,198,130,65.66,39,19.7,29,14.65,06042
6,43,189,121,64.02,22,11.64,46,24.34,06043
6,44,235,162,68.94,26,11.06,47,20.0,06044
6,45,267,174,65.17,27,10.11,66,24.72,06045
6,46,156,108,69.23,24,15.38,24,15.38,06046
6,47,158,100,63.29,33,20.89,25,15.82,06047
6,48,205,138,67.32,24,11.71,43,20.98,06048
7,1,201,140,69.65,28,13.93,33,16.42,07001
7,2,181,111,61.33,32,17.68,38,20.99,07002
7,3,238,143,60.08,37,15.55,58,24.37,07003
7,4,202,115,56.93,29,14.36,58,28.71,07004
7,5,187,111,59.36,36,19.25,40,21.39,07005
7,6,285,172,60.35,33,11.58,80,28.07,07006
7,7,181,104,57.46,35,19.34,42,23.2,07007
7,8,120,78,65.0,19,15.83,23,19.17,07008
7,9,349,225,64.47,42,12.03,82,23.5,07009
7,10,238,150,63.03,35,14.71,53,22.27,07010
7,11,208,143,68.75,31,14.9,34,16.35,07011
7,12,173,115,66.47,29,16.76,29,16.76,07012
7,13,127,77,60.63,25,19.69,25,19.69,07013
7,14,198,130,65.66,33,16.67,35,17.68,07014
7,15,207,118,57.0,23,11.11,66,31.88,07015
7,16,147,104,70.75,22,14.97,21,14.29,07016
7,17,175,106,60.57,27,15.43,42,24.0,07017
7,18,146,90,61.64,31,21.23,25,17.12,07018
7,19,174,110,63.22,24,13.79,40,22.99,07019
7,20,146,93,63.7,27,18.49,26,17.81,07020
7,21,127,89,70.08,16,12.6,22,17.32,07021
7,22,164,91,55.49,36,21.95,37,22.56,07022
7,23,219,123,56.16,25,11.42,71,32.42,07023
7,24,153,106,69.28,17,11.11,30,19.61,07024
7,25,152,84,55.26,38,25.0,30,19.74,07025
7,26,173,101,58.38,20,11.56,52,30.06,07026
7,27,164,107,65.24,23,14.02,34,20.73,07027
7,28,129,81,62.79,19,14.73,29,22.48,07028
7,29,170,93,54.71,16,9.41,61,35.88,07029
7,30,128,72,56.25,21,16.41,35,27.34,07030
7,31,123,77,62.6,21,17.07,25,20.33,07031
7,32,319,191,59.87,22,6.9,106,33.23,07032
7,33,311,185,59.49,37,11.9,89,28.62,07033
7,34,272,192,70.59,26,9.56,54,19.85,07034
7,35,221,139,62.9,23,10.41,59,26.7,07035
7,36,269,163,60.59,34,12.64,72,26.77,07036
7,37,209,122,58.37,31,14.83,56,26.79,07037
7,38,178,103,57.87,29,16.29,46,25.84,07038
7,39,195,126,64.62,25,12.82,44,22.56,07039
7,40,203,119,58.62,30,14.78,54,26.6,07040
7,41,203,126,62.07,18,8.87,59,29.06,07041
7,42,181,113,62.43,26,14.36,42,23.2,07042
7,43,199,118,59.3,26,13.07,55,27.64,07043
7,44,177,111,62.71,17,9.6,49,27.68,07044
7,45,172,115,66.86,25,14.53,32,18.6,07045
7,46,92,57,61.96,17,18.48,18,19.57,07046
8,1,165,102,61.82,26,15.76,37,22.42,08001
8,2,164,97,59.15,22,13.41,45,27.44,08002
8,3,300,174,58.0,31,10.33,95,31.67,08003
8,4,281,155,55.16,31,11.03,95,33.81,08004
8,5,276,163,59.06,24,8.7,89,32.25,08005
8,6,256,134,52.34,27,10.55,95,37.11,08006
8,7,278,157,56.47,35,12.59,86,30.94,08007
8,8,243,127,52.26,28,11.52,88,36.21,08008
8,9,166,103,62.05,17,10.24,46,27.71,08009
8,10,316,178,56.33,26,8.23,112,35.44,08010
8,11,145,92,63.45,17,11.72,36,24.83,08011
8,12,203,120,59.11,24,11.82,59,29.06,08012
8,13,224,141,62.95,33,14.73,50,22.32,08013
8,14,161,102,63.35,33,20.5,26,16.15,08014
8,15,207,127,61.35,28,13.53,52,25.12,08015
8,16,76,47,61.84,7,9.21,22,28.95,08016
8,17,200,126,63.0,16,8.0,58,29.0,08017
8,18,156,106,67.95,17,10.9,33,21.15,08018
8,19,293,165,56.31,36,12.29,92,31.4,08019
8,20,263,156,59.32,25,9.51,82,31.18,08020
8,21,273,161,58.97,29,10.62,83,30.4,08021
8,22,222,115,51.8,30,13.51,77,34.68,08022
8,23,175,99,56.57,20,11.43,56,32.0,08023
8,24,143,96,67.13,18,12.59,29,20.28,08024
8,25,206,122,59.22,35,16.99,49,23.79,08025
8,26,156,94,60.26,12,7.69,50,32.05,08026
8,27,262,163,62.21,30,11.45,69,26.34,08027
8,28,228,144,63.16,31,13.6,53,23.25,08028
8,29,244,142,58.2,22,9.02,80,32.79,08029
8,30,248,156,62.9,33,13.31,59,23.79,08030
8,31,163,102,62.58,18,11.04,43,26.38,08031
8,32,198,109,55.05,18,9.09,71,35.86,08032
8,33,178,94,52.81,34,19.1,50,28.09,08033
8,34,234,124,52.99,30,12.82,80,34.19,08034
8,35,280,176,62.86,33,11.79,71,25.36,08035
8,36,228,135,59.21,36,15.79,57,25.0,08036
8,37,200,111,55.5,22,11.0,67,33.5,08037
8,38,153,88,57.52,17,11.11,48,31.37,08038
8,39,235,136,57.87,21,8.94,78,33.19,08039
8,40,200,135,67.5,22,11.0,43,21.5,08040
8,41,232,155,66.81,27,11.64,50,21.55,08041
8,42,270,171,63.33,20,7.41,79,29.26,08042
8,43,120,74,61.67,17,14.17,29,24.17,08043
8,44,146,97,66.44,25,17.12,24,16.44,08044
8,45,160,112,70.0,24,15.0,24,15.0,08045
8,46,168,108,64.29,23,13.69,37,22.02,08046
8,47,182,95,52.2,23,12.64,64,35.16,08047
8,48,195,118,60.51,23,11.79,54,27.69,08048
8,49,239,136,56.9,25,10.46,78,32.64,08049
8,50,245,145,59.18,21,8.57,79,32.24,08050
8,51,249,133,53.41,23,9.24,93,37.35,08051
8,52,325,186,57.23,34,10.46,105,32.31,08052
8,53,102,65,63.73,11,10.78,26,25.49,08053
8,54,162,95,58.64,23,14.2,44,27.16,08054
8,55,228,116,50.88,25,10.96,87,38.16,08055
8,56,246,157,63.82,26,10.57,63,25.61,08056
9,1,195,132,67.69,23,11.79,40,20.51,09001
9,2,197,129,65.48,31,15.74,37,18.78,09002
9,3,117,74,63.25,24,20.51,19,16.24,09003
9,4,173,102,58.96,23,13.29,48,27.75,09004
9,5,195,113,57.95,28,14.36,54,27.69,09005
9,6,210,142,67.62,23,10.95,45,21.43,09006
9,7,129,90,69.77,21,16.28,18,13.95,09007
9,8,177,117,66.1,23,12.99,37,20.9,09008
9,9,229,142,62.01,28,12.23,59,25.76,09009
9,10,175,114,65.14,23,13.14,38,21.71,09010
9,11,142,88,61.97,18,12.68,36,25.35,09011
9,12,237,149,62.87,22,9.28,66,27.85,09012
9,13,278,187,67.27,32,11.51,59,21.22,09013
9,14,276,172,62.32,26,9.42,78,28.26,09014
9,15,166,101,60.84,35,21.08,30,18.07,09015
9,16,226,142,62.83,30,13.27,54,23.89,09016
9,17,134,75,55.97,29,21.64,30,22.39,09017
9,18,148,95,64.19,23,15.54,30,20.27,09018
9,19,191,124,64.92,28,14.66,39,20.42,09019
9,20,183,119,65.03,22,12.02,42,22.95,09020
9,21,180,115,63.89,22,12.22,43,23.89,09021
9,22,235,145,61.7,23,9.79,67,28.51,09022
9,23,244,147,60.25,28,11.48,69,28.28,09023
9,24,241,153,63.49,28,11.62,60,24.9,09024
9,25,221,140,63.35,23,10.41,58,26.24,09025
9,26,164,116,70.73,27,16.46,21,12.8,09026
9,27,175,114,65.14,26,14.86,35,20.0,09027
9,28,93,65,69.89,11,11.83,17,18.28,09028
9,29,119,85,71.43,16,13.45,18,15.13,09029
9,30,151,93,61.59,22,14.57,36,23.84,09030
9,31,148,81,54.73,24,16.22,43,29.05,09031
9,32,211,133,63.03,32,15.17,46,21.8,09032
9,33,152,88,57.89,25,16.45,39,25.66,09033
9,34,154,94,61.04,27,17.53,33,21.43,09034
9,35,212,124,58.49,24,11.32,64,30.19,09035
9,36,164,104,63.41,28,17.07,32,19.51,09036
9,37,273,122,44.69,69,25.27,82,30.04,09037
9,38,200,137,68.5,27,13.5,36,18.0,09038
9,39,230,153,66.52,30,13.04,47,20.43,09039
9,40,260,166,63.85,28,10.77,66,25.38,09040
9,41,177,107,60.45,20,11.3,50,28.25,09041
9,42,243,145,59.67,26,10.7,72,29.63,09042
9,43,146,100,68.49,25,17.12,21,14.38,09043
9,44,202,120,59.41,33,16.34,49,24.26,09044
9,45,151,91,60.26,22,14.57,38,25.17,09045
9,46,216,131,60.65,33,15.28,52,24.07,09046
9,47,252,150,59.52,28,11.11,74,29.37,09047
9,48,233,144,61.8,21,9.01,68,29.18,09048
9,49,251,155,61.75,33,13.15,63,25.1,09049
9,50,337,213,63.2,38,11.28,86,25.52,09050
9,51,237,139,58.65,23,9.7,75,31.65,09051
10,1,162,101,62.35,31,19.14,30,18.52,10001
10,2,135,39,28.89,59,43.7,37,27.41,10002
10,3,143,45,31.47,59,41.26,39,27.27,10003
10,4,122,62,50.82,35,28.69,25,20.49,10004
10,5,121,27,22.31,55,45.45,39,32.23,10005
10,6,127,49,38.58,49,38.58,29,22.83,10006
10,7,109,43,39.45,35,32.11,31,28.44,10007
10,8,83,48,57.83,23,27.71,12,14.46,10008
10,9,133,37,27.82,56,42.11,40,30.08,10009
10,10,163,37,22.7,73,44.79,53,32.52,10010
10,11,211,84,39.81,68,32.23,59,27.96,10011
10,12,106,33,31.13,41,38.68,32,30.19,10012
10,13,165,84,50.91,48,29.09,33,20.0,10013
10,14,210,71,33.81,84,40.0,55,26.19,10014
10,15,387,254,65.63,64,16.54,69,17.83,10015
10,16,98,27,27.55,41,41.84,30,30.61,10016
10,17,224,64,28.57,92,41.07,68,30.36,10017
10,18,93,43,46.24,34,36.56,16,17.2,10018
10,19,180,63,35.0,74,41.11,43,23.89,10019
10,20,184,71,38.59,70,38.04,43,23.37,10020
10,21,172,63,36.63,67,38.95,42,24.42,10021
10,22,108,31,28.7,41,37.96,36,33.33,10022
10,23,146,60,41.1,44,30.14,42,28.77,10023
10,24,135,40,29.63,55,40.74,40,29.63,10024
10,25,49,28,57.14,6,12.24,15,30.61,10025
10,26,120,57,47.5,39,32.5,24,20.0,10026
10,27,142,88,61.97,29,20.42,25,17.61,10027
10,28,201,81,40.3,69,34.33,51,25.37,10028
10,29,181,74,40.88,64,35.36,43,23.76,10029
10,30,151,55,36.42,56,37.09,40,26.49,10030
10,31,128,49,38.28,46,35.94,33,25.78,10031
10,32,160,59,36.88,58,36.25,43,26.88,10032
10,33,126,51,40.48,49,38.89,26,20.63,10033
10,34,108,51,47.22,35,32.41,22,20.37,10034
10,35,187,48,25.67,97,51.87,42,22.46,10035
10,36,42,22,52.38,15,35.71,5,11.9,10036
11,1,246,79,32.11,93,37.8,74,30.08,11001
11,2,15,7,46.67,5,33.33,3,20.0,11002
11,3,230,84,36.52,71,30.87,75,32.61,11003
11,4,170,50,29.41,64,37.65,56,32.94,11004
11,5,322,135,41.93,99,30.75,88,27.33,11005
11,6,276,105,38.04,87,31.52,84,30.43,11006
11,7,243,135,55.56,56,23.05,52,21.4,11007
11,8,220,69,31.36,84,38.18,67,30.45,11008
11,9,206,63,30.58,86,41.75,57,27.67,11009
11,10,203,59,29.06,98,48.28,46,22.66,11010
11,11,210,71,33.81,73,34.76,66,31.43,11011
11,12,312,52,16.67,178,57.05,82,26.28,11012
11,13,251,46,18.33,129,51.39,76,30.28,11013
11,14,105,29,27.62,42,40.0,34,32.38,11014
11,15,76,22,28.95,33,43.42,21,27.63,11015
11,16,145,39,26.9,61,42.07,45,31.03,11016
11,17,333,102,30.63,118,35.44,113,33.93,11017
11,18,191,51,26.7,90,47.12,50,26.18,11018
11,19,307,103,33.55,103,33.55,101,32.9,11019
11,20,145,29,20.0,74,51.03,42,28.97,11020
11,21,318,69,21.7,137,43.08,112,35.22,11021
11,22,277,61,22.02,112,40.43,104,37.55,11022
11,23,158,37,23.42,83,52.53,38,24.05,11023
11,24,335,49,14.63,185,55.22,101,30.15,11024
11,25,276,73,26.45,117,42.39,86,31.16,11025
11,26,284,70,24.65,114,40.14,100,35.21,11026
11,27,78,24,30.77,34,43.59,20,25.64,11027
11,28,92,20,21.74,53,57.61,19,20.65,11028
11,29,265,41,15.47,148,55.85,76,28.68,11029
11,30,100,20,20.0,43,43.0,37,37.0,11030
11,31,228,52,22.81,126,55.26,50,21.93,11031
11,32,96,18,18.75,49,51.04,29,30.21,11032
11,33,265,82,30.94,100,37.74,83,31.32,11033
11,34,72,18,25.0,35,48.61,19,26.39,11034
11,35,34,15,44.12,14,41.18,5,14.71,11035
11,36,72,17,23.61,32,44.44,23,31.94,11036
11,37,55,24,43.64,10,18.18,21,38.18,11037
11,38,107,52,48.6,34,31.78,21,19.63,11038
12,1,249,105,42.17,88,35.34,56,22.49,12001
12,2,167,76,45.51,54,32.34,37,22.16,12002
12,3,313,97,30.99,101,32.27,115,36.74,12003
12,4,263,84,31.94,93,35.36,86,32.7,12004
12,5,189,47,24.87,87,46.03,55,29.1,12005
12,6,222,89,40.09,84,37.84,49,22.07,12006
12,7,214,94,43.93,67,31.31,53,24.77,12007
12,8,226,85,37.61,92,40.71,49,21.68,12008
12,9,184,73,39.67,54,29.35,57,30.98,12009
12,10,278,145,52.16,65,23.38,68,24.46,12010
12,11,228,101,44.3,73,32.02,54,23.68,12011
12,12,207,85,41.06,81,39.13,41,19.81,12012
12,13,205,82,40.0,76,37.07,47,22.93,12013
12,14,185,82,44.32,53,28.65,50,27.03,12014
12,15,176,87,49.43,60,34.09,29,16.48,12015
12,16,157,72,45.86,49,31.21,36,22.93,12016
12,17,207,75,36.23,79,38.16,53,25.6,12017
12,18,139,59,42.45,37,26.62,43,30.94,12018
12,19,208,86,41.35,69,33.17,53,25.48,12019
12,20,221,104,47.06,73,33.03,44,19.91,12020
12,21,194,75,38.66,68,35.05,51,26.29,12021
12,22,214,109,50.93,66,30.84,39,18.22,12022
12,23,242,108,44.63,78,32.23,56,23.14,12023
13,1,160,37,23.13,80,50.0,43,26.88,13001
13,2,144,28,19.44,79,54.86,37,25.69,13002
