ward,precinct,total,"Gerardo Tristan, Jr.","Gerardo Tristan, Jr. Percent",Steve Demitro,Steve Demitro Percent,precinct_id
14,6,112,93,83.04,19,16.96,14006
14,10,131,84,64.12,47,35.88,14010
14,11,148,115,77.7,33,22.3,14011
14,14,202,140,69.31,62,30.69,14014
14,15,190,154,81.05,36,18.95,14015
14,16,144,102,70.83,42,29.17,14016
14,17,184,143,77.72,41,22.28,14017
14,19,156,108,69.23,48,30.77,14019
14,20,139,101,72.66,38,27.34,14020
14,21,141,110,78.01,31,21.99,14021
14,25,108,79,73.15,29,26.85,14025
14,26,147,112,76.19,35,23.81,14026
14,29,177,136,76.84,41,23.16,14029
14,30,113,94,83.19,19,16.81,14030
14,31,120,94,78.33,26,21.67,14031
15,1,168,127,75.6,41,24.4,15001
15,4,192,137,71.35,55,28.65,15004
15,5,146,100,68.49,46,31.51,15005
15,6,169,118,69.82,51,30.18,15006
15,8,175,119,68.0,56,32.0,15008
15,9,216,151,69.91,65,30.09,15009
15,10,248,162,65.32,86,34.68,15010
15,11,199,141,70.85,58,29.15,15011
15,12,210,147,70.0,63,30.0,15012
15,13,180,141,78.33,39,21.67,15013
15,14,159,115,72.33,44,27.67,15014
15,15,152,118,77.63,34,22.37,15015
15,16,211,133,63.03,78,36.97,15016
15,19,158,104,65.82,54,34.18,15019
16,1,176,138,78.41,38,21.59,16001
16,2,41,28,68.29,13,31.71,16002
16,4,122,87,71.31,35,28.69,16004
16,6,6,5,83.33,1,16.67,16006
16,7,127,94,74.02,33,25.98,16007
16,11,52,31,59.62,21,40.38,16011
16,13,127,99,77.95,28,22.05,16013
16,17,135,102,75.56,33,24.44,16017
16,18,99,68,68.69,31,31.31,16018
16,19,135,92,68.15,43,31.85,16019
16,22,100,70,70.0,30,30.0,16022
16,23,135,90,66.67,45,33.33,16023
16,32,156,117,75.0,39,25.0,16032
16,35,176,125,71.02,51,28.98,16035
17,6,140,87,62.14,53,37.86,17006
17,7,150,106,70.67,44,29.33,17007
17,12,148,96,64.86,52,35.14,17012
17,14,94,64,68.09,30,31.91,17014
17,16,168,129,76.79,39,23.21,17016
17,25,104,68,65.38,36,34.62,17025
20,4,13,9,69.23,4,30.77,20004
20,15,157,111,70.7,46,29.3,20015
20,17,83,54,65.06,29,34.94,20017
20,20,122,84,68.85,38,31.15,20020
22,3,256,203,79.3,53,20.7,22003
22,4,156,125,80.13,31,19.87,22004
22,5,156,121,77.56,35,22.44,22005
22,6,178,145,81.46,33,18.54,22006
22,7,127,104,81.89,23,18.11,22007
22,9,117,84,71.79,33,28.21,22009
22,10,238,194,81.51,44,18.49,22010
22,11,162,123,75.93,39,24.07,22011
22,12,144,100,69.44,44,30.56,22012
22,13,180,142,78.89,38,21.11,22013
22,14,158,126,79.75,32,20.25,22014
22,15,137,105,76.64,32,23.36,22015
22,16,137,101,73.72,36,26.28,22016
22,17,183,142,77.6,41,22.4,22017
22,18,143,113,79.02,30,20.98,22018
22,19,79,61,77.22,18,22.78,22019
22,20,191,162,84.82,29,15.18,22020
22,22,144,105,72.92,39,27.08,22022
22,24,215,177,82.33,38,17.67,22024
22,25,177,135,76.27,42,23.73,22025
24,7,101,80,79.21,21,20.79,24007
24,10,2,0,0.0,2,100.0,24010
24,16,361,237,65.65,124,34.35,24016
24,39,134,104,77.61,30,22.39,24039
25,1,196,150,76.53,46,23.47,25001
25,2,257,195,75.88,62,24.12,25002
25,4,50,39,78.0,11,22.0,25004
25,5,262,193,73.66,69,26.34,25005
25,7,228,183,80.26,45,19.74,25007
25,8,274,218,79.56,56,20.44,25008
25,9,206,162,78.64,44,21.36,25009
25,11,262,207,79.01,55,20.99,25011
25,12,224,179,79.91,45,20.09,25012
25,13,256,214,83.59,42,16.41,25013
25,14,16,11,68.75,5,31.25,25014
25,15,206,158,76.7,48,23.3,25015
25,17,218,167,76.61,51,23.39,25017
25,19,251,196,78.09,55,21.91,25019
25,22,216,167,77.31,49,22.69,25022
25,23,268,217,80.97,51,19.03,25023
25,24,247,197,79.76,50,20.24,25024
25,25,183,126,68.85,57,31.15,25025
25,26,240,192,80.0,48,20.0,25026
25,27,22,19,86.36,3,13.64,25027
25,28,267,226,84.64,41,15.36,25028
25,30,230,178,77.39,52,22.61,25030
25,32,192,121,63.02,71,36.98,25032
28,19,0,0,0.0,0,0.0,28019
