ward,precinct,total,Amalia Dejesus (Bernie Sanders),Amalia Dejesus (Bernie Sanders) Percent,Deliah Odeh (Bernie Sanders),Deliah Odeh (Bernie Sanders) Percent,Maureen Sullivan (Bernie Sanders),Maureen Sullivan (Bernie Sanders) Percent,Daniel Guzman (Bernie Sanders),Daniel Guzman (Bernie Sanders) Percent,Jose Requena (Bernie Sanders),Jose Requena (Bernie Sanders) Percent,Kyle Killacky (Bernie Sanders),Kyle Killacky (Bernie Sanders) Percent,Neel Jhobalia (Andrew Yang),Neel Jhobalia (Andrew Yang) Percent,Brian Pioppo (Andrew Yang),Brian Pioppo (Andrew Yang) Percent,Kate Wu (Andrew Yang),Kate Wu (Andrew Yang) Percent,Kathleen ''Kathy'' Shaevel (Elizabeth,Kathleen ''Kathy'' Shaevel (Elizabeth Percent,Adam Flores (Elizabeth Warren),Adam Flores (Elizabeth Warren) Percent,Angela Robertson (Elizabeth Warren),Angela Robertson (Elizabeth Warren) Percent,Jose Luis Torrez (Elizabeth Warren),Jose Luis Torrez (Elizabeth Warren) Percent,Tammy Georgiou (Elizabeth Warren),Tammy Georgiou (Elizabeth Warren) Percent,Christian D. Perry (Elizabeth Warren),Christian D. Perry (Elizabeth Warren) Percent,precinct_id
13,26,871,76,8.73,64,7.35,75,8.61,79,9.07,71,8.15,66,7.58,6,0.69,4,0.46,7,0.8,8,0.92,11,1.26,10,1.15,10,1.15,6,0.69,5,0.57,13026
13,27,922,76,8.24,67,7.27,71,7.7,76,8.24,65,7.05,58,6.29,3,0.33,8,0.87,7,0.76,9,0.98,11,1.19,12,1.3,14,1.52,7,0.76,7,0.76,13027
13,28,849,91,10.72,78,9.19,84,9.89,89,10.48,83,9.78,73,8.6,3,0.35,3,0.35,5,0.59,5,0.59,13,1.53,3,0.35,10,1.18,3,0.35,3,0.35,13028
13,29,803,77,9.59,63,7.85,69,8.59,82,10.21,67,8.34,64,7.97,1,0.12,1,0.12,1,0.12,4,0.5,8,1.0,6,0.75,13,1.62,4,0.5,2,0.25,13029
13,30,861,98,11.38,76,8.83,85,9.87,101,11.73,90,10.45,78,9.06,6,0.7,1,0.12,5,0.58,3,0.35,10,1.16,5,0.58,11,1.28,2,0.23,4,0.46,13030
13,31,1054,64,6.07,55,5.22,63,5.98,58,5.5,54,5.12,45,4.27,9,0.85,13,1.23,12,1.14,6,0.57,13,1.23,8,0.76,10,0.95,6,0.57,1,0.09,13031
13,32,916,53,5.79,44,4.8,56,6.11,49,5.35,42,4.59,41,4.48,4,0.44,4,0.44,8,0.87,5,0.55,10,1.09,8,0.87,15,1.64,8,0.87,5,0.55,13032
13,33,1071,82,7.66,73,6.82,83,7.75,89,8.31,77,7.19,69,6.44,5,0.47,4,0.37,5,0.47,10,0.93,10,0.93,8,0.75,13,1.21,4,0.37,5,0.47,13033
13,34,1248,107,8.57,79,6.33,84,6.73,111,8.89,92,7.37,71,5.69,8,0.64,8,0.64,13,1.04,6,0.48,20,1.6,5,0.4,23,1.84,6,0.48,6,0.48,13034
13,35,1175,127,10.81,99,8.43,109,9.28,137,11.66,107,9.11,101,8.6,7,0.6,6,0.51,6,0.51,4,0.34,10,0.85,10,0.85,18,1.53,4,0.34,5,0.43,13035
13,36,678,72,10.62,57,8.41,61,9.0,78,11.5,60,8.85,56,8.26,2,0.29,3,0.44,4,0.59,6,0.88,15,2.21,7,1.03,17,2.51,5,0.74,1,0.15,13036
13,37,1104,77,6.97,66,5.98,75,6.79,77,6.97,73,6.61,58,5.25,8,0.72,7,0.63,4,0.36,4,0.36,9,0.82,10,0.91,12,1.09,3,0.27,6,0.54,13037
13,38,927,78,8.41,77,8.31,75,8.09,76,8.2,70,7.55,68,7.34,7,0.76,8,0.86,5,0.54,8,0.86,7,0.76,5,0.54,6,0.65,3,0.32,5,0.54,13038
13,39,1000,94,9.4,74,7.4,86,8.6,90,9.0,79,7.9,69,6.9,5,0.5,3,0.3,6,0.6,5,0.5,15,1.5,10,1.0,19,1.9,2,0.2,5,0.5,13039
13,40,912,70,7.68,69,7.57,72,7.89,87,9.54,72,7.89,66,7.24,9,0.99,11,1.21,7,0.77,9,0.99,15,1.64,11,1.21,19,2.08,11,1.21,10,1.1,13040
13,41,982,103,10.49,85,8.66,90,9.16,106,10.79,96,9.78,78,7.94,4,0.41,5,0.51,9,0.92,11,1.12,7,0.71,9,0.92,14,1.43,6,0.61,4,0.41,13041
13,42,1092,66,6.04,55,5.04,71,6.5,66,6.04,53,4.85,54,4.95,6,0.55,10,0.92,10,0.92,9,0.82,11,1.01,8,0.73,13,1.19,9,0.82,9,0.82,13042
13,43,1018,93,9.14,76,7.47,82,8.06,94,9.23,77,7.56,68,6.68,7,0.69,11,1.08,7,0.69,7,0.69,11,1.08,10,0.98,11,1.08,3,0.29,4,0.39,13043
13,44,974,95,9.75,70,7.19,69,7.08,100,10.27,74,7.6,67,6.88,2,0.21,2,0.21,4,0.41,9,0.92,12,1.23,7,0.72,14,1.44,5,0.51,3,0.31,13044
13,45,1208,88,7.28,80,6.62,85,7.04,90,7.45,76,6.29,78,6.46,8,0.66,9,0.75,7,0.58,3,0.25,10,0.83,5,0.41,9,0.75,5,0.41,7,0.58,13045
13,46,1189,119,10.01,94,7.91,101,8.49,119,10.01,97,8.16,90,7.57,11,0.93,7,0.59,11,0.93,5,0.42,12,1.01,8,0.67,20,1.68,7,0.59,5,0.42,13046
13,47,1120,111,9.91,89,7.95,96,8.57,119,10.63,98,8.75,81,7.23,1,0.09,3,0.27,1,0.09,2,0.18,9,0.8,13,1.16,17,1.52,4,0.36,2,0.18,13047
13,48,833,53,6.36,50,6.0,54,6.48,54,6.48,44,5.28,43,5.16,8,0.96,6,0.72,10,1.2,7,0.84,7,0.84,7,0.84,7,0.84,6,0.72,4,0.48,13048
14,1,1223,84,6.87,73,5.97,93,7.6,98,8.01,80,6.54,79,6.46,15,1.23,14,1.14,15,1.23,8,0.65,14,1.14,8,0.65,17,1.39,16,1.31,11,0.9,14001
14,4,1002,69,6.89,60,5.99,71,7.09,74,7.39,63,6.29,54,5.39,16,1.6,20,2.0,15,1.5,8,0.8,14,1.4,10,1.0,19,1.9,13,1.3,9,0.9,14004
14,5,397,51,12.85,39,9.82,38,9.57,51,12.85,41,10.33,34,8.56,0,0.0,2,0.5,2,0.5,4,1.01,5,1.26,3,0.76,6,1.51,2,0.5,1,0.25,14005
14,7,1346,164,12.18,141,10.48,141,10.48,170,12.63,146,10.85,125,9.29,5,0.37,4,0.3,10,0.74,5,0.37,19,1.41,9,0.67,28,2.08,3,0.22,8,0.59,14007
14,8,1168,147,12.59,122,10.45,120,10.27,159,13.61,132,11.3,109,9.33,1,0.09,4,0.34,6,0.51,6,0.51,16,1.37,9,0.77,32,2.74,6,0.51,10,0.86,14008
14,9,1452,123,8.47,107,7.37,108,7.44,130,8.95,112,7.71,91,6.27,6,0.41,10,0.69,15,1.03,10,0.69,14,0.96,9,0.62,16,1.1,6,0.41,6,0.41,14009
14,12,1018,103,10.12,85,8.35,87,8.55,108,10.61,95,9.33,83,8.15,5,0.49,5,0.49,7,0.69,3,0.29,13,1.28,7,0.69,22,2.16,4,0.39,6,0.59,14012
14,18,472,53,11.23,41,8.69,46,9.75,48,10.17,43,9.11,37,7.84,2,0.42,2,0.42,1,0.21,3,0.64,6,1.27,4,0.85,10,2.12,5,1.06,3,0.64,14018
14,21,812,106,13.05,92,11.33,99,12.19,118,14.53,99,12.19,89,10.96,8,0.99,6,0.74,9,1.11,2,0.25,8,0.99,6,0.74,17,2.09,5,0.62,3,0.37,14021
14,22,1368,115,8.41,100,7.31,107,7.82,123,8.99,108,7.89,87,6.36,10,0.73,8,0.58,16,1.17,17,1.24,23,1.68,18,1.32,28,2.05,13,0.95,10,0.73,14022
14,23,838,87,10.38,79,9.43,82,9.79,93,11.1,81,9.67,72,8.59,4,0.48,6,0.72,6,0.72,4,0.48,13,1.55,8,0.95,17,2.03,8,0.95,5,0.6,14023
14,24,1248,87,6.97,77,6.17,94,7.53,89,7.13,81,6.49,74,5.93,9,0.72,13,1.04,11,0.88,8,0.64,13,1.04,13,1.04,14,1.12,9,0.72,10,0.8,14024
14,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14025
14,26,742,99,13.34,67,9.03,69,9.3,108,14.56,75,10.11,67,9.03,6,0.81,4,0.54,4,0.54,4,0.54,16,2.16,4,0.54,17,2.29,2,0.27,5,0.67,14026
14,29,882,112,12.7,99,11.22,92,10.43,116,13.15,101,11.45,82,9.3,5,0.57,6,0.68,10,1.13,7,0.79,11,1.25,4,0.45,13,1.47,1,0.11,2,0.23,14029
15,1,715,89,12.45,66,9.23,68,9.51,93,13.01,70,9.79,67,9.37,3,0.42,3,0.42,4,0.56,2,0.28,12,1.68,5,0.7,15,2.1,1,0.14,2,0.28,15001
15,5,140,15,10.71,8,5.71,11,7.86,17,12.14,11,7.86,9,6.43,0,0.0,0,0.0,1,0.71,1,0.71,1,0.71,1,0.71,6,4.29,2,1.43,1,0.71,15005
15,8,472,70,14.83,56,11.86,53,11.23,70,14.83,57,12.08,43,9.11,1,0.21,3,0.64,4,0.85,2,0.42,8,1.69,3,0.64,13,2.75,1,0.21,3,0.64,15008
15,13,825,104,12.61,84,10.18,86,10.42,109,13.21,88,10.67,79,9.58,8,0.97,7,0.85,10,1.21,5,0.61,14,1.7,9,1.09,14,1.7,4,0.48,4,0.48,15013
15,14,783,112,14.3,97,12.39,102,13.03,117,14.94,108,13.79,83,10.6,3,0.38,2,0.26,2,0.26,4,0.51,13,1.66,7,0.89,20,2.55,1,0.13,7,0.89,15014
15,15,455,64,14.07,46,10.11,55,12.09,74,16.26,56,12.31,45,9.89,4,0.88,2,0.44,5,1.1,4,0.88,4,0.88,3,0.66,10,2.2,1,0.22,2,0.44,15015
15,16,1054,121,11.48,89,8.44,90,8.54,124,11.76,98,9.3,72,6.83,2,0.19,5,0.47,5,0.47,8,0.76,14,1.33,8,0.76,19,1.8,5,0.47,4,0.38,15016
15,19,904,88,9.73,78,8.63,75,8.3,87,9.62,78,8.63,63,6.97,3,0.33,3,0.33,7,0.77,9,1.0,10,1.11,11,1.22,9,1.0,5,0.55,9,1.0,15019
16,1,729,91,12.48,75,10.29,74,10.15,90,12.35,84,11.52,71,9.74,1,0.14,2,0.27,1,0.14,2,0.27,9,1.23,6,0.82,11,1.51,1,0.14,4,0.55,16001
16,7,35,4,11.43,3,8.57,3,8.57,3,8.57,4,11.43,2,5.71,1,2.86,1,2.86,0,0.0,2,5.71,0,0.0,0,0.0,2,5.71,0,0.0,0,0.0,16007
16,23,697,75,10.76,62,8.9,69,9.9,82,11.76,67,9.61,52,7.46,1,0.14,2,0.29,4,0.57,2,0.29,9,1.29,5,0.72,20,2.87,1,0.14,6,0.86,16023
16,32,832,102,12.26,84,10.1,84,10.1,101,12.14,85,10.22,74,8.89,3,0.36,2,0.24,6,0.72,6,0.72,8,0.96,5,0.6,17,2.04,1,0.12,6,0.72,16032
16,35,285,35,12.28,25,8.77,27,9.47,31,10.88,30,10.53,22,7.72,2,0.7,0,0.0,1,0.35,1,0.35,4,1.4,1,0.35,3,1.05,1,0.35,1,0.35,16035
18,15,1241,102,8.22,84,6.77,87,7.01,100,8.06,86,6.93,73,5.88,7,0.56,6,0.48,10,0.81,13,1.05,16,1.29,9,0.73,23,1.85,10,0.81,9,0.73,18015
18,24,890,88,9.89,78,8.76,82,9.21,86,9.66,71,7.98,59,6.63,6,0.67,1,0.11,10,1.12,9,1.01,13,1.46,9,1.01,14,1.57,7,0.79,6,0.67,18024
18,25,917,84,9.16,63,6.87,79,8.62,71,7.74,69,7.52,53,5.78,3,0.33,6,0.65,10,1.09,6,0.65,11,1.2,7,0.76,14,1.53,4,0.44,2,0.22,18025
18,30,1187,115,9.69,101,8.51,97,8.17,118,9.94,94,7.92,90,7.58,7,0.59,9,0.76,14,1.18,10,0.84,14,1.18,14,1.18,18,1.52,6,0.51,6,0.51,18030
18,40,1201,92,7.66,85,7.08,100,8.33,101,8.41,87,7.24,77,6.41,3,0.25,1,0.08,10,0.83,5,0.42,8,0.67,8,0.67,16,1.33,8,0.67,8,0.67,18040
18,43,730,77,10.55,66,9.04,73,10.0,84,11.51,68,9.32,58,7.95,3,0.41,3,0.41,3,0.41,1,0.14,13,1.78,4,0.55,14,1.92,1,0.14,2,0.27,18043
18,46,1199,118,9.84,101,8.42,108,9.01,125,10.43,104,8.67,97,8.09,8,0.67,5,0.42,5,0.42,9,0.75,16,1.33,7,0.58,17,1.42,8,0.67,8,0.67,18046
19,1,1088,52,4.78,46,4.23,61,5.61,51,4.69,45,4.14,53,4.87,13,1.19,12,1.1,15,1.38,12,1.1,6,0.55,10,0.92,8,0.74,7,0.64,8,0.74,19001
19,2,365,11,3.01,10,2.74,11,3.01,10,2.74,8,2.19,10,2.74,1,0.27,1,0.27,2,0.55,3,0.82,2,0.55,3,0.82,0,0.0,4,1.1,1,0.27,19002
19,3,810,33,4.07,34,4.2,43,5.31,38,4.69,32,3.95,33,4.07,14,1.73,20,2.47,17,2.1,9,1.11,9,1.11,8,0.99,7,0.86,9,1.11,11,1.36,19003
19,4,1303,68,5.22,58,4.45,88,6.75,68,5.22,63,4.83,66,5.07,11,0.84,14,1.07,23,1.77,12,0.92,9,0.69,13,1.0,9,0.69,7,0.54,8,0.61,19004
19,5,604,17,2.81,15,2.48,22,3.64,20,3.31,17,2.81,16,2.65,4,0.66,2,0.33,2,0.33,9,1.49,9,1.49,8,1.32,6,0.99,9,1.49,6,0.99,19005
19,6,1121,55,4.91,54,4.82,73,6.51,57,5.08,53,4.73,54,4.82,10,0.89,16,1.43,17,1.52,7,0.62,6,0.54,10,0.89,6,0.54,8,0.71,7,0.62,19006
19,7,1135,59,5.2,55,4.85,69,6.08,57,5.02,52,4.58,57,5.02,4,0.35,7,0.62,12,1.06,4,0.35,5,0.44,4,0.35,5,0.44,6,0.53,4,0.35,19007
19,8,1232,64,5.19,63,5.11,83,6.74,63,5.11,59,4.79,59,4.79,14,1.14,17,1.38,19,1.54,17,1.38,12,0.97,16,1.3,13,1.06,14,1.14,15,1.22,19008
19,9,1005,37,3.68,38,3.78,44,4.38,34,3.38,36,3.58,38,3.78,12,1.19,11,1.09,10,1.0,14,1.39,8,0.8,7,0.7,6,0.6,8,0.8,9,0.9,19009
19,10,1803,91,5.05,82,4.55,93,5.16,79,4.38,73,4.05,75,4.16,12,0.67,9,0.5,13,0.72,15,0.83,15,0.83,20,1.11,12,0.67,16,0.89,15,0.83,19010
19,11,961,46,4.79,52,5.41,71,7.39,48,4.99,42,4.37,47,4.89,10,1.04,12,1.25,13,1.35,9,0.94,6,0.62,5,0.52,6,0.62,7,0.73,3,0.31,19011
