ward,precinct,total,Daniel O. Tiernan,Daniel O. Tiernan Percent,Perla Tirado,Perla Tirado Percent,precinct_id
16,11,53,30,56.6,23,43.4,16011
16,13,127,47,37.01,80,62.99,16013
16,17,136,67,49.26,69,50.74,16017
16,18,99,43,43.43,56,56.57,16018
16,19,134,74,55.22,60,44.78,16019
16,22,103,64,62.14,39,37.86,16022
16,23,135,44,32.59,91,67.41,16023
16,32,156,49,31.41,107,68.59,16032
16,35,181,66,36.46,115,63.54,16035
17,6,143,85,59.44,58,40.56,17006
17,7,154,72,46.75,82,53.25,17007
17,12,148,70,47.3,78,52.7,17012
17,14,95,39,41.05,56,58.95,17014
17,16,168,84,50.0,84,50.0,17016
17,25,107,68,63.55,39,36.45,17025
20,4,13,6,46.15,7,53.85,20004
20,15,164,43,26.22,121,73.78,20015
20,17,83,38,45.78,45,54.22,20017
20,20,122,31,25.41,91,74.59,20020
22,3,268,41,15.3,227,84.7,22003
22,4,155,18,11.61,137,88.39,22004
22,5,168,33,19.64,135,80.36,22005
22,6,189,39,20.63,150,79.37,22006
22,7,134,19,14.18,115,85.82,22007
22,9,127,27,21.26,100,78.74,22009
22,10,248,34,13.71,214,86.29,22010
22,11,163,27,16.56,136,83.44,22011
22,12,148,54,36.49,94,63.51,22012
22,13,184,33,17.93,151,82.07,22013
22,14,160,62,38.75,98,61.25,22014
22,15,138,27,19.57,111,80.43,22015
22,16,142,21,14.79,121,85.21,22016
22,17,194,32,16.49,162,83.51,22017
22,18,144,25,17.36,119,82.64,22018
22,19,81,56,69.14,25,30.86,22019
22,20,199,31,15.58,168,84.42,22020
22,22,150,32,21.33,118,78.67,22022
22,24,216,35,16.2,181,83.8,22024
22,25,184,21,11.41,163,88.59,22025
24,7,104,37,35.58,67,64.42,24007
24,10,2,1,50.0,1,50.0,24010
24,16,360,157,43.61,203,56.39,24016
24,39,137,73,53.28,64,46.72,24039
25,1,203,43,21.18,160,78.82,25001
25,2,260,75,28.85,185,71.15,25002
25,4,51,30,58.82,21,41.18,25004
25,5,261,85,32.57,176,67.43,25005
25,7,237,72,30.38,165,69.62,25007
25,8,272,76,27.94,196,72.06,25008
25,9,211,66,31.28,145,68.72,25009
25,11,268,62,23.13,206,76.87,25011
25,12,228,76,33.33,152,66.67,25012
25,13,265,63,23.77,202,76.23,25013
25,14,16,4,25.0,12,75.0,25014
25,15,203,50,24.63,153,75.37,25015
25,17,217,64,29.49,153,70.51,25017
25,19,252,66,26.19,186,73.81,25019
25,22,226,53,23.45,173,76.55,25022
25,23,281,86,30.6,195,69.4,25023
25,24,255,71,27.84,184,72.16,25024
25,25,184,110,59.78,74,40.22,25025
25,26,248,58,23.39,190,76.61,25026
25,27,22,5,22.73,17,77.27,25027
25,28,268,81,30.22,187,69.78,25028
25,30,234,58,24.79,176,75.21,25030
25,32,190,71,37.37,119,62.63,25032
28,19,0,0,0.0,0,0.0,28019
