ward,precinct,total,Marie Newman,Marie Newman Percent,Rush Darwish,Rush Darwish Percent,Daniel William Lipinski,Daniel William Lipinski Percent,Charles M. Hughes,Charles M. Hughes Percent,precinct_id
13,11,269,93,34.57,7,2.6,163,60.59,6,2.23,13011
13,12,200,90,45.0,8,4.0,101,50.5,1,0.5,13012
13,13,238,94,39.5,7,2.94,134,56.3,3,1.26,13013
13,14,208,87,41.83,10,4.81,105,50.48,6,2.88,13014
13,15,340,132,38.82,7,2.06,191,56.18,10,2.94,13015
13,16,149,75,50.34,2,1.34,69,46.31,3,2.01,13016
13,17,180,76,42.22,6,3.33,95,52.78,3,1.67,13017
13,18,176,62,35.23,5,2.84,109,61.93,0,0.0,13018
13,20,155,39,25.16,7,4.52,106,68.39,3,1.94,13020
13,21,249,59,23.69,5,2.01,185,74.3,0,0.0,13021
13,22,236,67,28.39,6,2.54,158,66.95,5,2.12,13022
13,23,154,66,42.86,7,4.55,80,51.95,1,0.65,13023
13,24,195,85,43.59,7,3.59,99,50.77,4,2.05,13024
13,25,224,102,45.54,9,4.02,105,46.88,8,3.57,13025
13,26,201,69,34.33,6,2.99,124,61.69,2,1.0,13026
13,27,209,82,39.23,8,3.83,115,55.02,4,1.91,13027
13,28,175,70,40.0,7,4.0,93,53.14,5,2.86,13028
13,29,170,75,44.12,6,3.53,85,50.0,4,2.35,13029
13,30,193,88,45.6,4,2.07,96,49.74,5,2.59,13030
13,31,234,75,32.05,10,4.27,148,63.25,1,0.43,13031
13,32,211,68,32.23,3,1.42,134,63.51,6,2.84,13032
13,33,238,81,34.03,7,2.94,146,61.34,4,1.68,13033
13,34,301,81,26.91,7,2.33,209,69.44,4,1.33,13034
13,35,248,93,37.5,9,3.63,143,57.66,3,1.21,13035
13,36,150,61,40.67,3,2.0,79,52.67,7,4.67,13036
13,37,222,83,37.39,14,6.31,116,52.25,9,4.05,13037
13,38,218,76,34.86,5,2.29,133,61.01,4,1.83,13038
13,39,206,81,39.32,9,4.37,112,54.37,4,1.94,13039
13,40,201,63,31.34,10,4.98,124,61.69,4,1.99,13040
13,41,210,89,42.38,9,4.29,104,49.52,8,3.81,13041
13,42,252,66,26.19,3,1.19,180,71.43,3,1.19,13042
13,43,223,88,39.46,4,1.79,130,58.3,1,0.45,13043
13,44,223,81,36.32,4,1.79,130,58.3,8,3.59,13044
13,45,277,72,25.99,5,1.81,195,70.4,5,1.81,13045
13,46,249,96,38.55,12,4.82,137,55.02,4,1.61,13046
13,47,264,83,31.44,10,3.79,168,63.64,3,1.14,13047
13,48,201,56,27.86,3,1.49,139,69.15,3,1.49,13048
14,1,282,89,31.56,2,0.71,185,65.6,6,2.13,14001
14,4,229,60,26.2,5,2.18,159,69.43,5,2.18,14004
14,5,96,40,41.67,7,7.29,46,47.92,3,3.13,14005
14,7,270,135,50.0,19,7.04,111,41.11,5,1.85,14007
14,8,235,128,54.47,8,3.4,93,39.57,6,2.55,14008
14,9,310,118,38.06,3,0.97,184,59.35,5,1.61,14009
14,12,202,92,45.54,8,3.96,99,49.01,3,1.49,14012
14,18,107,48,44.86,3,2.8,53,49.53,3,2.8,14018
14,21,152,94,61.84,4,2.63,48,31.58,6,3.95,14021
