ward,precinct,total,Lorraine Mary Murphy,Lorraine Mary Murphy Percent,James Patrick Crawley,James Patrick Crawley Percent,Araceli Reyes De La Cruz,Araceli Reyes De La Cruz Percent,precinct_id
4,4,371,158,42.59,86,23.18,127,34.23,04004
4,5,323,119,36.84,51,15.79,153,47.37,04005
4,6,350,147,42.0,42,12.0,161,46.0,04006
4,7,352,122,34.66,55,15.63,175,49.72,04007
4,8,314,93,29.62,50,15.92,171,54.46,04008
4,9,373,135,36.19,43,11.53,195,52.28,04009
4,10,359,140,39.0,65,18.11,154,42.9,04010
4,11,244,90,36.89,45,18.44,109,44.67,04011
4,12,326,120,36.81,48,14.72,158,48.47,04012
4,13,286,139,48.6,49,17.13,98,34.27,04013
4,14,256,121,47.27,34,13.28,101,39.45,04014
4,15,342,135,39.47,55,16.08,152,44.44,04015
4,16,381,170,44.62,41,10.76,170,44.62,04016
4,17,300,116,38.67,39,13.0,145,48.33,04017
4,18,282,124,43.97,60,21.28,98,34.75,04018
4,19,197,91,46.19,44,22.34,62,31.47,04019
4,20,254,115,45.28,39,15.35,100,39.37,04020
4,21,307,120,39.09,60,19.54,127,41.37,04021
4,22,278,98,35.25,40,14.39,140,50.36,04022
4,23,357,116,32.49,68,19.05,173,48.46,04023
4,24,254,98,38.58,45,17.72,111,43.7,04024
4,25,303,127,41.91,49,16.17,127,41.91,04025
4,26,247,84,34.01,53,21.46,110,44.53,04026
4,27,359,108,30.08,82,22.84,169,47.08,04027
4,28,248,101,40.73,42,16.94,105,42.34,04028
4,29,248,80,32.26,39,15.73,129,52.02,04029
4,30,342,135,39.47,75,21.93,132,38.6,04030
4,31,349,121,34.67,60,17.19,168,48.14,04031
4,32,301,99,32.89,48,15.95,154,51.16,04032
4,33,283,97,34.28,49,17.31,137,48.41,04033
4,34,248,94,37.9,44,17.74,110,44.35,04034
4,35,327,110,33.64,53,16.21,164,50.15,04035
4,36,335,120,35.82,55,16.42,160,47.76,04036
4,37,447,198,44.3,74,16.55,175,39.15,04037
4,38,319,96,30.09,49,15.36,174,54.55,04038
5,1,208,90,43.27,45,21.63,73,35.1,05001
5,2,189,80,42.33,41,21.69,68,35.98,05002
5,3,265,95,35.85,56,21.13,114,43.02,05003
5,4,332,115,34.64,57,17.17,160,48.19,05004
5,5,208,83,39.9,46,22.12,79,37.98,05005
5,6,216,94,43.52,49,22.69,73,33.8,05006
5,7,269,102,37.92,58,21.56,109,40.52,05007
5,8,291,121,41.58,61,20.96,109,37.46,05008
5,9,332,121,36.45,67,20.18,144,43.37,05009
5,10,196,87,44.39,40,20.41,69,35.2,05010
5,11,292,100,34.25,59,20.21,133,45.55,05011
5,12,153,77,50.33,31,20.26,45,29.41,05012
5,13,228,99,43.42,47,20.61,82,35.96,05013
5,14,241,87,36.1,36,14.94,118,48.96,05014
5,15,258,107,41.47,51,19.77,100,38.76,05015
5,16,231,86,37.23,67,29.0,78,33.77,05016
5,17,189,79,41.8,57,30.16,53,28.04,05017
5,18,273,98,35.9,61,22.34,114,41.76,05018
5,19,267,105,39.33,36,13.48,126,47.19,05019
5,20,324,105,32.41,55,16.98,164,50.62,05020
5,21,272,101,37.13,54,19.85,117,43.01,05021
5,22,338,117,34.62,52,15.38,169,50.0,05022
5,23,454,196,43.17,89,19.6,169,37.22,05023
5,24,306,117,38.24,63,20.59,126,41.18,05024
5,25,241,68,28.22,46,19.09,127,52.7,05025
5,26,241,109,45.23,38,15.77,94,39.0,05026
5,27,245,97,39.59,58,23.67,90,36.73,05027
5,28,279,102,36.56,42,15.05,135,48.39,05028
5,29,260,107,41.15,41,15.77,112,43.08,05029
5,30,169,67,39.64,34,20.12,68,40.24,05030
5,31,176,63,35.8,46,26.14,67,38.07,05031
5,32,292,101,34.59,43,14.73,148,50.68,05032
5,33,278,130,46.76,64,23.02,84,30.22,05033
5,34,296,124,41.89,60,20.27,112,37.84,05034
5,35,322,130,40.37,55,17.08,137,42.55,05035
5,36,98,41,41.84,23,23.47,34,34.69,05036
5,37,291,99,34.02,55,18.9,137,47.08,05037
5,38,197,81,41.12,48,24.37,68,34.52,05038
5,39,217,83,38.25,62,28.57,72,33.18,05039
5,40,184,90,48.91,27,14.67,67,36.41,05040
5,41,153,50,32.68,21,13.73,82,53.59,05041
6,1,252,119,47.22,43,17.06,90,35.71,06001
6,2,272,130,47.79,50,18.38,92,33.82,06002
6,3,245,98,40.0,37,15.1,110,44.9,06003
6,4,147,72,48.98,41,27.89,34,23.13,06004
6,5,131,57,43.51,36,27.48,38,29.01,06005
6,6,249,105,42.17,44,17.67,100,40.16,06006
6,7,193,87,45.08,48,24.87,58,30.05,06007
6,8,244,102,41.8,46,18.85,96,39.34,06008
6,9,168,77,45.83,44,26.19,47,27.98,06009
