ward,precinct,total,Robin Kelly,Robin Kelly Percent,Marcus Lewis,Marcus Lewis Percent,precinct_id
7,44,187,155,82.89,32,17.11,07044
7,45,190,152,80.0,38,20.0,07045
7,46,103,88,85.44,15,14.56,07046
8,4,179,150,83.8,29,16.2,08004
8,5,6,5,83.33,1,16.67,08005
8,7,294,240,81.63,54,18.37,08007
8,9,171,143,83.63,28,16.37,08009
8,17,217,177,81.57,40,18.43,08017
8,27,227,194,85.46,33,14.54,08027
8,28,237,194,81.86,43,18.14,08028
8,32,213,185,86.85,28,13.15,08032
8,36,244,203,83.2,41,16.8,08036
8,39,244,211,86.48,33,13.52,08039
8,42,269,231,85.87,38,14.13,08042
8,46,176,149,84.66,27,15.34,08046
8,49,6,3,50.0,3,50.0,08049
8,50,97,87,89.69,10,10.31,08050
8,53,110,99,90.0,11,10.0,08053
9,1,217,188,86.64,29,13.36,09001
9,2,201,168,83.58,33,16.42,09002
9,3,126,100,79.37,26,20.63,09003
9,4,179,144,80.45,35,19.55,09004
9,5,207,174,84.06,33,15.94,09005
9,6,222,183,82.43,39,17.57,09006
9,7,140,119,85.0,21,15.0,09007
9,8,185,152,82.16,33,17.84,09008
9,9,246,209,84.96,37,15.04,09009
9,10,184,147,79.89,37,20.11,09010
9,11,147,120,81.63,27,18.37,09011
9,13,283,247,87.28,36,12.72,09013
9,14,275,234,85.09,41,14.91,09014
9,15,160,121,75.63,39,24.38,09015
9,16,234,204,87.18,30,12.82,09016
9,17,139,114,82.01,25,17.99,09017
9,18,158,124,78.48,34,21.52,09018
9,19,199,174,87.44,25,12.56,09019
9,20,201,168,83.58,33,16.42,09020
9,21,192,150,78.13,42,21.88,09021
9,22,239,206,86.19,33,13.81,09022
9,26,167,131,78.44,36,21.56,09026
9,27,176,150,85.23,26,14.77,09027
9,28,92,74,80.43,18,19.57,09028
9,29,120,101,84.17,19,15.83,09029
9,30,159,130,81.76,29,18.24,09030
9,31,152,123,80.92,29,19.08,09031
9,32,223,198,88.79,25,11.21,09032
9,33,154,129,83.77,25,16.23,09033
9,34,161,134,83.23,27,16.77,09034
9,35,231,197,85.28,34,14.72,09035
9,37,309,258,83.5,51,16.5,09037
9,38,208,172,82.69,36,17.31,09038
9,39,232,198,85.34,34,14.66,09039
9,40,274,227,82.85,47,17.15,09040
9,41,180,148,82.22,32,17.78,09041
9,43,151,118,78.15,33,21.85,09043
9,44,211,164,77.73,47,22.27,09044
9,45,160,131,81.88,29,18.13,09045
9,46,223,175,78.48,48,21.52,09046
10,1,178,139,78.09,39,21.91,10001
10,2,165,136,82.42,29,17.58,10002
10,3,155,118,76.13,37,23.87,10003
10,4,127,102,80.31,25,19.69,10004
10,5,134,96,71.64,38,28.36,10005
10,6,136,113,83.09,23,16.91,10006
10,7,115,91,79.13,24,20.87,10007
10,8,88,66,75.0,22,25.0,10008
10,9,152,117,76.97,35,23.03,10009
10,10,175,138,78.86,37,21.14,10010
10,11,226,186,82.3,40,17.7,10011
10,12,116,95,81.9,21,18.1,10012
10,13,178,121,67.98,57,32.02,10013
10,14,223,185,82.96,38,17.04,10014
10,15,415,353,85.06,62,14.94,10015
10,16,106,80,75.47,26,24.53,10016
10,17,259,210,81.08,49,18.92,10017
10,18,100,75,75.0,25,25.0,10018
10,19,181,150,82.87,31,17.13,10019
10,20,200,140,70.0,60,30.0,10020
10,21,184,140,76.09,44,23.91,10021
10,22,106,80,75.47,26,24.53,10022
10,23,161,136,84.47,25,15.53,10023
10,24,158,117,74.05,41,25.95,10024
10,25,58,44,75.86,14,24.14,10025
10,26,128,96,75.0,32,25.0,10026
10,27,151,119,78.81,32,21.19,10027
10,28,212,159,75.0,53,25.0,10028
10,29,182,139,76.37,43,23.63,10029
10,30,161,130,80.75,31,19.25,10030
10,31,133,105,78.95,28,21.05,10031
10,32,174,138,79.31,36,20.69,10032
10,33,139,110,79.14,29,20.86,10033
10,34,120,96,80.0,24,20.0,10034
10,35,196,160,81.63,36,18.37,10035
10,36,44,38,86.36,6,13.64,10036
34,2,35,28,80.0,7,20.0,34002
34,4,156,131,83.97,25,16.03,34004
34,18,146,121,82.88,25,17.12,34018
34,22,87,79,90.8,8,9.2,34022
34,23,190,160,84.21,30,15.79,34023
34,24,197,165,83.76,32,16.24,34024
34,27,176,144,81.82,32,18.18,34027
34,28,120,102,85.0,18,15.0,34028
34,30,144,128,88.89,16,11.11,34030
34,36,209,166,79.43,43,20.57,34036
34,37,119,99,83.19,20,16.81,34037
34,38,91,74,81.32,17,18.68,34038
34,39,142,121,85.21,21,14.79,34039
34,41,108,87,80.56,21,19.44,34041
34,53,128,112,87.5,16,12.5,34053
