ward,precinct,total,Jonathan Clark Green,Jonathan Clark Green Percent,precinct_id
27,48,267,187,70.04,27048
32,7,229,112,48.91,32007
32,8,229,91,39.74,32008
32,10,215,106,49.3,32010
32,13,68,27,39.71,32013
32,18,181,86,47.51,32018
32,23,232,119,51.29,32023
32,27,16,8,50.0,32027
32,39,204,122,59.8,32039
40,13,252,112,44.44,40013
40,21,101,50,49.5,40021
40,22,286,132,46.15,40022
40,23,352,170,48.3,40023
40,26,307,129,42.02,40026
40,28,83,36,43.37,40028
40,31,310,146,47.1,40031
40,32,296,139,46.96,40032
40,33,285,122,42.81,40033
40,36,238,119,50.0,40036
42,1,180,103,57.22,42001
42,2,186,111,59.68,42002
42,4,383,244,63.71,42004
42,5,164,96,58.54,42005
42,6,227,132,58.15,42006
42,7,225,133,59.11,42007
42,8,197,111,56.35,42008
42,9,256,160,62.5,42009
42,10,306,183,59.8,42010
42,11,80,46,57.5,42011
42,12,101,47,46.53,42012
42,13,245,149,60.82,42013
42,14,197,108,54.82,42014
42,15,206,120,58.25,42015
42,17,177,101,57.06,42017
42,18,0,0,0.0,42018
42,19,238,130,54.62,42019
42,20,165,99,60.0,42020
42,22,67,41,61.19,42022
42,23,177,109,61.58,42023
42,24,134,70,52.24,42024
42,25,202,104,51.49,42025
42,26,227,137,60.35,42026
42,27,176,101,57.39,42027
42,28,196,114,58.16,42028
42,29,170,106,62.35,42029
42,30,159,85,53.46,42030
42,31,208,126,60.58,42031
42,32,173,103,59.54,42032
42,33,250,134,53.6,42033
42,34,159,93,58.49,42034
42,35,244,135,55.33,42035
42,36,23,15,65.22,42036
42,37,139,82,58.99,42037
42,38,175,107,61.14,42038
42,39,227,135,59.47,42039
42,40,210,126,60.0,42040
42,42,373,214,57.37,42042
43,1,102,59,57.84,43001
43,2,219,96,43.84,43002
43,3,229,110,48.03,43003
43,4,210,109,51.9,43004
43,5,196,80,40.82,43005
43,6,165,81,49.09,43006
43,7,150,58,38.67,43007
43,8,161,86,53.42,43008
43,9,239,141,59.0,43009
43,10,269,123,45.72,43010
43,11,156,78,50.0,43011
43,12,123,65,52.85,43012
43,13,185,90,48.65,43013
43,14,251,121,48.21,43014
43,15,221,107,48.42,43015
43,16,226,123,54.42,43016
43,17,170,66,38.82,43017
43,18,227,115,50.66,43018
43,19,231,112,48.48,43019
43,20,234,109,46.58,43020
43,21,219,103,47.03,43021
43,22,163,84,51.53,43022
43,23,146,71,48.63,43023
43,24,137,79,57.66,43024
43,25,189,98,51.85,43025
43,26,170,79,46.47,43026
43,27,220,108,49.09,43027
43,28,191,95,49.74,43028
43,29,253,127,50.2,43029
43,30,255,126,49.41,43030
43,31,226,148,65.49,43031
43,32,241,126,52.28,43032
43,33,234,122,52.14,43033
43,34,138,63,45.65,43034
43,35,205,95,46.34,43035
43,36,126,59,46.83,43036
43,37,190,101,53.16,43037
43,38,154,68,44.16,43038
43,39,147,82,55.78,43039
43,40,167,75,44.91,43040
43,41,301,144,47.84,43041
43,42,197,100,50.76,43042
43,43,218,106,48.62,43043
43,44,191,85,44.5,43044
43,45,157,87,55.41,43045
43,46,104,55,52.88,43046
44,1,303,148,48.84,44001
44,2,214,101,47.2,44002
44,3,228,167,73.25,44003
44,4,161,72,44.72,44004
44,5,197,90,45.69,44005
44,6,325,160,49.23,44006
44,7,196,96,48.98,44007
44,8,234,122,52.14,44008
44,9,208,105,50.48,44009
44,10,212,101,47.64,44010
44,11,261,139,53.26,44011
44,12,276,129,46.74,44012
44,13,193,87,45.08,44013
44,14,153,68,44.44,44014
44,15,242,110,45.45,44015
44,16,270,149,55.19,44016
44,17,321,144,44.86,44017
44,18,233,115,49.36,44018
44,19,316,157,49.68,44019
44,20,234,109,46.58,44020
44,21,261,127,48.66,44021
44,22,264,133,50.38,44022
44,23,247,99,40.08,44023
44,24,170,73,42.94,44024
44,25,246,115,46.75,44025
44,26,304,133,43.75,44026
44,27,302,144,47.68,44027
44,28,231,108,46.75,44028
44,29,255,133,52.16,44029
44,30,263,141,53.61,44030
44,31,178,90,50.56,44031
44,32,259,140,54.05,44032
44,33,222,95,42.79,44033
44,34,283,136,48.06,44034
44,35,223,113,50.67,44035
44,36,218,92,42.2,44036
44,37,322,132,40.99,44037
44,38,210,107,50.95,44038
44,39,228,114,50.0,44039
44,40,234,120,51.28,44040
44,41,326,168,51.53,44041
46,1,212,100,47.17,46001
46,2,252,116,46.03,46002
46,3,331,172,51.96,46003
46,4,256,125,48.83,46004
46,5,295,133,45.08,46005
46,6,233,126,54.08,46006
46,7,276,156,56.52,46007
46,8,177,110,62.15,46008
46,9,321,177,55.14,46009
46,10,418,193,46.17,46010
46,11,221,128,57.92,46011
46,12,321,148,46.11,46012
46,13,244,116,47.54,46013
46,14,190,135,71.05,46014
46,15,272,146,53.68,46015
46,16,340,155,45.59,46016
46,17,318,169,53.14,46017
46,18,289,155,53.63,46018
46,19,228,133,58.33,46019
46,20,208,119,57.21,46020
46,21,154,80,51.95,46021
46,22,186,93,50.0,46022
46,23,234,123,52.56,46023
46,24,314,171,54.46,46024
46,25,236,108,45.76,46025
46,26,329,162,49.24,46026
46,27,332,188,56.63,46027
46,28,186,100,53.76,46028
46,29,187,78,41.71,46029
46,30,300,159,53.0,46030
46,31,280,132,47.14,46031
46,32,239,134,56.07,46032
46,33,277,140,50.54,46033
46,34,292,138,47.26,46034
46,35,206,124,60.19,46035
46,36,267,149,55.81,46036
46,37,189,101,53.44,46037
46,38,267,149,55.81,46038
46,39,208,104,50.0,46039
46,40,251,120,47.81,46040
47,9,81,45,55.56,47009
47,11,219,105,47.95,47011
47,15,392,163,41.58,47015
47,18,254,101,39.76,47018
47,19,407,159,39.07,47019
47,23,376,169,44.95,47023
47,24,294,145,49.32,47024
47,33,88,41,46.59,47033
47,41,349,168,48.14,47041
47,44,197,99,50.25,47044
48,1,307,157,51.14,48001
48,2,127,50,39.37,48002
48,3,314,153,48.73,48003
48,4,267,131,49.06,48004
48,5,167,75,44.91,48005
48,6,341,192,56.3,48006
48,7,316,151,47.78,48007
48,8,138,57,41.3,48008
48,9,182,95,52.2,48009
48,10,439,168,38.27,48010
48,11,248,109,43.95,48011
48,12,362,172,47.51,48012
48,14,122,72,59.02,48014
48,16,286,144,50.35,48016
48,17,228,127,55.7,48017
48,18,175,114,65.14,48018
48,19,240,110,45.83,48019
48,20,348,159,45.69,48020
48,21,343,217,63.27,48021
48,23,277,127,45.85,48023
48,24,272,158,58.09,48024
48,25,256,115,44.92,48025
48,26,110,50,45.45,48026
48,27,110,66,60.0,48027
48,28,256,149,58.2,48028
48,29,70,36,51.43,48029
48,30,276,117,42.39,48030
48,31,197,118,59.9,48031
48,32,111,57,51.35,48032
48,34,234,100,42.74,48034
48,35,168,103,61.31,48035
48,36,157,80,50.96,48036
48,37,293,134,45.73,48037
48,38,335,132,39.4,48038
48,39,160,82,51.25,48039
48,40,272,109,40.07,48040
48,41,318,180,56.6,48041
48,42,356,169,47.47,48042
48,43,329,172,52.28,48043
48,44,367,167,45.5,48044
48,45,222,96,43.24,48045
49,2,178,103,57.87,49002
49,17,187,111,59.36,49017
