ward,precinct,total,Maura McMahon Zeller,Maura McMahon Zeller Percent,Russell W. Hartigan,Russell W. Hartigan Percent,precinct_id
8,5,252,98,38.89,53,21.03,08005
8,6,244,117,47.95,42,17.21,08006
8,7,256,95,37.11,60,23.44,08007
8,8,232,103,44.4,42,18.1,08008
8,9,160,59,36.88,33,20.63,08009
8,10,309,136,44.01,59,19.09,08010
8,11,136,46,33.82,32,23.53,08011
8,12,200,84,42.0,45,22.5,08012
8,13,214,89,41.59,31,14.49,08013
8,14,150,39,26.0,45,30.0,08014
8,15,196,70,35.71,48,24.49,08015
8,16,71,32,45.07,14,19.72,08016
8,17,187,66,35.29,36,19.25,08017
8,18,144,55,38.19,30,20.83,08018
8,19,270,107,39.63,57,21.11,08019
8,20,254,113,44.49,56,22.05,08020
8,21,255,105,41.18,49,19.22,08021
8,22,211,93,44.08,33,15.64,08022
8,23,169,74,43.79,45,26.63,08023
8,24,140,48,34.29,31,22.14,08024
8,25,199,80,40.2,43,21.61,08025
8,26,147,62,42.18,32,21.77,08026
8,27,250,108,43.2,46,18.4,08027
8,28,215,83,38.6,45,20.93,08028
8,29,226,93,41.15,45,19.91,08029
8,30,234,77,32.91,54,23.08,08030
8,31,154,55,35.71,31,20.13,08031
8,32,197,91,46.19,31,15.74,08032
8,33,173,72,41.62,36,20.81,08033
8,34,226,94,41.59,47,20.8,08034
8,35,257,102,39.69,57,22.18,08035
8,36,218,84,38.53,34,15.6,08036
8,37,192,84,43.75,34,17.71,08037
8,38,150,68,45.33,35,23.33,08038
8,39,230,104,45.22,40,17.39,08039
8,40,187,68,36.36,41,21.93,08040
8,41,220,70,31.82,55,25.0,08041
8,42,250,96,38.4,58,23.2,08042
8,43,108,41,37.96,28,25.93,08043
8,44,137,48,35.04,31,22.63,08044
8,45,153,50,32.68,48,31.37,08045
8,46,161,55,34.16,29,18.01,08046
8,47,180,81,45.0,44,24.44,08047
8,48,189,76,40.21,36,19.05,08048
8,49,218,92,42.2,39,17.89,08049
8,50,224,93,41.52,64,28.57,08050
8,51,243,110,45.27,47,19.34,08051
8,52,304,121,39.8,55,18.09,08052
8,53,95,35,36.84,19,20.0,08053
8,54,160,63,39.38,40,25.0,08054
8,55,223,103,46.19,35,15.7,08055
8,56,235,81,34.47,67,28.51,08056
9,1,187,62,33.16,32,17.11,09001
9,2,190,60,31.58,47,24.74,09002
9,3,108,30,27.78,29,26.85,09003
9,4,164,50,30.49,32,19.51,09004
9,5,181,59,32.6,39,21.55,09005
9,6,196,76,38.78,40,20.41,09006
9,7,126,39,30.95,35,27.78,09007
9,8,167,52,31.14,43,25.75,09008
9,9,218,71,32.57,54,24.77,09009
9,10,164,52,31.71,33,20.12,09010
9,11,135,41,30.37,32,23.7,09011
9,12,217,81,37.33,43,19.82,09012
9,13,261,90,34.48,47,18.01,09013
9,14,261,95,36.4,51,19.54,09014
9,15,156,39,25.0,49,31.41,09015
9,16,214,67,31.31,44,20.56,09016
9,17,128,51,39.84,17,13.28,09017
9,18,149,48,32.21,22,14.77,09018
9,19,182,67,36.81,32,17.58,09019
9,20,180,60,33.33,37,20.56,09020
9,21,176,72,40.91,36,20.45,09021
9,22,214,85,39.72,45,21.03,09022
9,23,232,94,40.52,48,20.69,09023
9,24,232,79,34.05,48,20.69,09024
9,25,213,75,35.21,47,22.07,09025
9,26,158,46,29.11,43,27.22,09026
9,27,167,58,34.73,42,25.15,09027
9,28,88,27,30.68,19,21.59,09028
9,29,111,27,24.32,31,27.93,09029
9,30,148,43,29.05,33,22.3,09030
9,31,142,49,34.51,29,20.42,09031
9,32,192,79,41.15,46,23.96,09032
9,33,144,50,34.72,40,27.78,09033
9,34,137,34,24.82,29,21.17,09034
9,35,197,84,42.64,28,14.21,09035
9,36,157,50,31.85,33,21.02,09036
9,37,264,90,34.09,64,24.24,09037
9,38,191,63,32.98,58,30.37,09038
9,39,223,61,27.35,45,20.18,09039
9,40,237,93,39.24,49,20.68,09040
9,41,172,58,33.72,42,24.42,09041
9,42,231,82,35.5,50,21.65,09042
9,43,143,42,29.37,32,22.38,09043
9,44,192,63,32.81,55,28.65,09044
9,45,144,52,36.11,34,23.61,09045
9,46,206,77,37.38,42,20.39,09046
9,47,239,100,41.84,45,18.83,09047
9,48,216,68,31.48,44,20.37,09048
9,49,232,91,39.22,41,17.67,09049
9,50,314,111,35.35,68,21.66,09050
9,51,224,83,37.05,50,22.32,09051
10,1,158,52,32.91,28,17.72,10001
10,2,129,66,51.16,36,27.91,10002
10,3,136,60,44.12,36,26.47,10003
10,4,116,42,36.21,30,25.86,10004
10,5,116,55,47.41,30,25.86,10005
10,6,125,56,44.8,32,25.6,10006
10,7,106,58,54.72,18,16.98,10007
10,8,76,25,32.89,20,26.32,10008
10,9,132,66,50.0,36,27.27,10009
10,10,153,69,45.1,36,23.53,10010
10,11,203,107,52.71,40,19.7,10011
10,12,100,40,40.0,24,24.0,10012
10,13,159,67,42.14,30,18.87,10013
10,14,204,87,42.65,56,27.45,10014
10,15,361,105,29.09,99,27.42,10015
10,16,97,45,46.39,28,28.87,10016
10,17,221,102,46.15,63,28.51,10017
10,18,94,41,43.62,24,25.53,10018
10,19,169,69,40.83,44,26.04,10019
10,20,181,64,35.36,46,25.41,10020
10,21,166,77,46.39,35,21.08,10021
10,22,103,56,54.37,20,19.42,10022
10,23,143,71,49.65,23,16.08,10023
10,24,134,50,37.31,45,33.58,10024
10,25,46,17,36.96,7,15.22,10025
10,26,115,49,42.61,31,26.96,10026
10,27,139,55,39.57,26,18.71,10027
10,28,189,77,40.74,38,20.11,10028
10,29,176,81,46.02,44,25.0,10029
10,30,147,70,47.62,33,22.45,10030
10,31,125,59,47.2,29,23.2,10031
10,32,148,72,48.65,29,19.59,10032
10,33,120,56,46.67,26,21.67,10033
10,34,109,45,41.28,18,16.51,10034
10,35,180,84,46.67,48,26.67,10035
10,36,39,12,30.77,7,17.95,10036
11,1,232,96,41.38,71,30.6,11001
11,2,15,4,26.67,6,40.0,11002
11,3,202,79,39.11,53,26.24,11003
11,4,172,71,41.28,42,24.42,11004
11,5,304,99,32.57,90,29.61,11005
11,6,275,96,34.91,94,34.18,11006
11,7,230,75,32.61,70,30.43,11007
11,8,205,83,40.49,67,32.68,11008
11,9,198,74,37.37,58,29.29,11009
11,10,182,63,34.62,65,35.71,11010
11,11,189,81,42.86,51,26.98,11011
11,12,285,127,44.56,92,32.28,11012
11,13,232,106,45.69,82,35.34,11013
11,14,98,40,40.82,31,31.63,11014
11,15,71,25,35.21,28,39.44,11015
11,16,137,68,49.64,32,23.36,11016
11,17,317,133,41.96,84,26.5,11017
11,18,169,74,43.79,50,29.59,11018
11,19,283,97,34.28,83,29.33,11019
11,20,133,56,42.11,31,23.31,11020
11,21,304,135,44.41,102,33.55,11021
11,22,273,115,42.12,83,30.4,11022
11,23,141,57,40.43,43,30.5,11023
11,24,324,154,47.53,98,30.25,11024
11,25,270,106,39.26,82,30.37,11025
11,26,266,130,48.87,69,25.94,11026
11,27,76,22,28.95,29,38.16,11027
11,28,90,38,42.22,29,32.22,11028
11,29,255,108,42.35,96,37.65,11029
11,30,96,34,35.42,40,41.67,11030
11,31,194,83,42.78,62,31.96,11031
11,32,84,37,44.05,32,38.1,11032
11,33,256,93,36.33,79,30.86,11033
11,34,70,28,40.0,25,35.71,11034
11,35,32,7,21.88,8,25.0,11035
11,36,71,31,43.66,19,26.76,11036
11,37,52,24,46.15,11,21.15,11037
11,38,101,35,34.65,32,31.68,11038
12,1,236,98,41.53,56,23.73,12001
12,2,160,73,45.63,38,23.75,12002
12,3,306,117,38.24,95,31.05,12003
12,4,251,85,33.86,83,33.07,12004
12,5,169,68,40.24,56,33.14,12005
12,6,210,104,49.52,48,22.86,12006
12,7,199,89,44.72,48,24.12,12007
12,8,215,91,42.33,53,24.65,12008
12,9,181,62,34.25,50,27.62,12009
12,10,266,118,44.36,44,16.54,12010
12,11,214,107,50.0,44,20.56,12011
12,12,193,101,52.33,35,18.13,12012
12,13,197,113,57.36,29,14.72,12013
12,14,174,71,40.8,34,19.54,12014
12,15,173,66,38.15,37,21.39,12015
12,16,152,70,46.05,32,21.05,12016
12,17,197,100,50.76,36,18.27,12017
12,18,132,64,48.48,27,20.45,12018
12,19,199,93,46.73,42,21.11,12019
12,20,206,96,46.6,50,24.27,12020
12,21,182,72,39.56,52,28.57,12021
12,22,204,91,44.61,47,23.04,12022
12,23,224,108,48.21,51,22.77,12023
13,1,158,72,45.57,41,25.95,13001
13,2,137,52,37.96,44,32.12,13002
13,3,167,71,42.51,39,23.35,13003
13,4,166,62,37.35,58,34.94,13004
13,5,214,94,43.93,37,17.29,13005
13,6,187,84,44.92,64,34.22,13006
13,7,136,54,39.71,32,23.53,13007
13,8,130,54,41.54,38,29.23,13008
13,9,181,74,40.88,45,24.86,13009
13,10,160,65,40.63,54,33.75,13010
13,11,212,100,47.17,60,28.3,13011
13,12,168,70,41.67,47,27.98,13012
13,13,188,76,40.43,44,23.4,13013
13,14,155,64,41.29,43,27.74,13014
13,15,275,116,42.18,72,26.18,13015
13,16,123,51,41.46,28,22.76,13016
13,17,137,54,39.42,39,28.47,13017
13,18,137,57,41.61,40,29.2,13018
13,19,233,89,38.2,62,26.61,13019
13,20,112,50,44.64,33,29.46,13020
13,21,178,83,46.63,65,36.52,13021
13,22,162,78,48.15,47,29.01,13022
13,23,123,62,50.41,25,20.33,13023
13,24,162,68,41.98,42,25.93,13024
13,25,189,90,47.62,43,22.75,13025
13,26,151,58,38.41,38,25.17,13026
13,27,169,68,40.24,51,30.18,13027
13,28,145,63,43.45,31,21.38,13028
13,29,144,59,40.97,29,20.14,13029
13,30,160,63,39.38,38,23.75,13030
13,31,169,72,42.6,57,33.73,13031
13,32,152,71,46.71,37,24.34,13032
13,33,171,73,42.69,48,28.07,13033
13,34,228,109,47.81,49,21.49,13034
13,35,205,95,46.34,31,15.12,13035
13,36,118,57,48.31,20,16.95,13036
13,37,178,75,42.13,47,26.4,13037
13,38,155,78,50.32,42,27.1,13038
13,39,165,74,44.85,39,23.64,13039
13,40,164,73,44.51,44,26.83,13040
13,41,225,97,43.11,45,20.0,13041
13,42,165,63,38.18,72,43.64,13042
13,43,185,72,38.92,42,22.7,13043
13,44,166,68,40.96,39,23.49,13044
13,45,211,93,44.08,48,22.75,13045
13,46,198,85,42.93,45,22.73,13046
13,47,202,95,47.03,45,22.28,13047
13,48,150,73,48.67,46,30.67,13048
14,1,206,93,45.15,65,31.55,14001
14,2,256,107,41.8,67,26.17,14002
14,3,161,73,45.34,33,20.5,14003
14,4,164,74,45.12,49,29.88,14004
14,5,249,120,48.19,51,20.48,14005
14,6,97,45,46.39,25,25.77,14006
14,7,238,88,36.97,57,23.95,14007
14,8,202,103,50.99,28,13.86,14008
14,9,238,102,42.86,68,28.57,14009
14,10,121,52,42.98,18,14.88,14010
14,11,111,53,47.75,22,19.82,14011
14,12,176,70,39.77,39,22.16,14012
14,13,173,72,41.62,31,17.92,14013
14,14,200,90,45.0,39,19.5,14014
14,15,190,74,38.95,38,20.0,14015
14,16,149,61,40.94,42,28.19,14016
14,17,182,84,46.15,37,20.33,14017
14,18,88,35,39.77,23,26.14,14018
14,19,152,72,47.37,37,24.34,14019
14,20,137,57,41.61,38,27.74,14020
14,21,131,54,41.22,30,22.9,14021
14,22,241,90,37.34,74,30.71,14022
14,23,150,58,38.67,41,27.33,14023
14,24,219,101,46.12,65,29.68,14024
14,25,107,49,45.79,19,17.76,14025
14,26,149,56,37.58,32,21.48,14026
14,27,206,98,47.57,42,20.39,14027
14,28,143,77,53.85,25,17.48,14028
14,29,164,76,46.34,39,23.78,14029
14,30,106,44,41.51,18,16.98,14030
14,31,113,54,47.79,23,20.35,14031
15,1,169,85,50.3,33,19.53,15001
15,2,104,26,25.0,29,27.88,15002
15,3,119,36,30.25,31,26.05,15003
15,4,192,97,50.52,37,19.27,15004
15,5,142,63,44.37,26,18.31,15005
15,6,169,67,39.64,43,25.44,15006
15,7,93,26,27.96,31,33.33,15007
15,8,172,71,41.28,36,20.93,15008
15,9,217,101,46.54,53,24.42,15009
15,10,238,101,42.44,70,29.41,15010
15,11,200,94,47.0,62,31.0,15011
15,12,212,96,45.28,52,24.53,15012
15,13,183,72,39.34,38,20.77,15013
15,14,152,75,49.34,28,18.42,15014
15,15,144,71,49.31,24,16.67,15015
15,16,214,76,35.51,64,29.91,15016
15,17,120,29,24.17,43,35.83,15017
15,18,79,32,40.51,22,27.85,15018
15,19,156,60,38.46,34,21.79,15019
15,20,117,30,25.64,40,34.19,15020
15,21,118,41,34.75,37,31.36,15021
15,22,119,32,26.89,34,28.57,15022
15,23,113,38,33.63,35,30.97,15023
15,24,94,33,35.11,23,24.47,15024
16,1,164,69,42.07,45,27.44,16001
16,2,137,55,40.15,35,25.55,16002
16,3,106,31,29.25,29,27.36,16003
16,4,130,47,36.15,31,23.85,16004
16,5,88,36,40.91,24,27.27,16005
16,6,139,50,35.97,32,23.02,16006
16,7,128,48,37.5,31,24.22,16007
16,8,73,21,28.77,18,24.66,16008
16,9,125,32,25.6,39,31.2,16009
16,10,119,42,35.29,26,21.85,16010
16,11,130,45,34.62,28,21.54,16011
16,12,111,35,31.53,27,24.32,16012
16,13,132,53,40.15,27,20.45,16013
16,14,104,31,29.81,21,20.19,16014
16,15,138,33,23.91,37,26.81,16015
16,16,120,44,36.67,24,20.0,16016
16,17,143,66,46.15,29,20.28,16017
16,18,98,40,40.82,24,24.49,16018
16,19,143,49,34.27,42,29.37,16019
16,20,96,38,39.58,24,25.0,16020
16,21,109,25,22.94,34,31.19,16021
16,22,105,29,27.62,17,16.19,16022
16,23,136,57,41.91,29,21.32,16023
16,24,76,25,32.89,18,23.68,16024
16,25,149,53,35.57,34,22.82,16025
16,26,111,40,36.04,19,17.12,16026
16,27,101,43,42.57,27,26.73,16027
16,28,128,45,35.16,37,28.91,16028
16,29,97,32,32.99,17,17.53,16029
16,30,81,36,44.44,19,23.46,16030
16,31,157,53,33.76,39,24.84,16031
16,32,164,83,50.61,28,17.07,16032
16,33,90,26,28.89,22,24.44,16033
16,34,132,46,34.85,25,18.94,16034
16,35,193,87,45.08,38,19.69,16035
16,36,92,24,26.09,25,27.17,16036
17,1,194,82,42.27,43,22.16,17001
17,2,156,41,26.28,35,22.44,17002
17,3,167,64,38.32,37,22.16,17003
17,4,217,56,25.81,56,25.81,17004
17,5,116,43,37.07,32,27.59,17005
17,6,147,69,46.94,37,25.17,17006
17,7,157,58,36.94,35,22.29,17007
17,8,136,39,28.68,40,29.41,17008
17,9,134,39,29.1,24,17.91,17009
17,10,218,59,27.06,58,26.61,17010
17,11,130,42,32.31,37,28.46,17011
17,12,227,99,43.61,45,19.82,17012
17,13,117,38,32.48,23,19.66,17013
