ward,precinct,total,Arthur D. Sutton,Arthur D. Sutton Percent,Bonnie Carol McGrath,Bonnie Carol McGrath Percent,Jennifer Patricia Callahan,Jennifer Patricia Callahan Percent,Chris Stacey,Chris Stacey Percent,Joy E. Tolbert Nelson,Joy E. Tolbert Nelson Percent,Joseph Chico,Joseph Chico Percent,precinct_id
3,12,284,85,29.93,24,8.45,33,11.62,69,24.3,55,19.37,18,6.34,03012
3,13,311,32,10.29,40,12.86,66,21.22,129,41.48,23,7.4,21,6.75,03013
3,14,295,39,13.22,31,10.51,73,24.75,92,31.19,32,10.85,28,9.49,03014
3,15,204,72,35.29,9,4.41,32,15.69,42,20.59,37,18.14,12,5.88,03015
3,16,225,68,30.22,20,8.89,30,13.33,59,26.22,27,12.0,21,9.33,03016
3,17,361,66,18.28,44,12.19,86,23.82,87,24.1,40,11.08,38,10.53,03017
3,18,347,85,24.5,45,12.97,54,15.56,71,20.46,57,16.43,35,10.09,03018
3,19,267,36,13.48,28,10.49,66,24.72,94,35.21,20,7.49,23,8.61,03019
3,20,306,80,26.14,31,10.13,67,21.9,65,21.24,44,14.38,19,6.21,03020
3,21,290,59,20.34,22,7.59,62,21.38,98,33.79,31,10.69,18,6.21,03021
3,22,315,42,13.33,33,10.48,72,22.86,111,35.24,30,9.52,27,8.57,03022
3,23,178,54,30.34,21,11.8,26,14.61,43,24.16,24,13.48,10,5.62,03023
3,24,213,69,32.39,21,9.86,27,12.68,45,21.13,32,15.02,19,8.92,03024
3,25,402,40,9.95,45,11.19,80,19.9,171,42.54,27,6.72,39,9.7,03025
3,26,301,44,14.62,48,15.95,49,16.28,100,33.22,37,12.29,23,7.64,03026
3,27,298,51,17.11,38,12.75,75,25.17,82,27.52,30,10.07,22,7.38,03027
3,28,184,54,29.35,25,13.59,33,17.93,35,19.02,21,11.41,16,8.7,03028
3,29,264,69,26.14,43,16.29,52,19.7,35,13.26,38,14.39,27,10.23,03029
3,30,239,83,34.73,18,7.53,28,11.72,59,24.69,38,15.9,13,5.44,03030
3,31,319,89,27.9,32,10.03,64,20.06,69,21.63,37,11.6,28,8.78,03031
3,32,297,45,15.15,28,9.43,81,27.27,92,30.98,36,12.12,15,5.05,03032
3,33,305,29,9.51,38,12.46,75,24.59,99,32.46,39,12.79,25,8.2,03033
3,34,311,36,11.58,35,11.25,77,24.76,96,30.87,38,12.22,29,9.32,03034
3,35,127,38,29.92,12,9.45,19,14.96,24,18.9,23,18.11,11,8.66,03035
3,36,128,38,29.69,16,12.5,25,19.53,23,17.97,18,14.06,8,6.25,03036
3,37,242,72,29.75,20,8.26,46,19.01,49,20.25,33,13.64,22,9.09,03037
3,38,226,59,26.11,14,6.19,35,15.49,63,27.88,33,14.6,22,9.73,03038
3,39,330,24,7.27,26,7.88,93,28.18,123,37.27,44,13.33,20,6.06,03039
3,40,218,45,20.64,20,9.17,46,21.1,70,32.11,19,8.72,18,8.26,03040
3,41,220,54,24.55,28,12.73,34,15.45,62,28.18,23,10.45,19,8.64,03041
4,1,374,60,16.04,23,6.15,64,17.11,146,39.04,46,12.3,35,9.36,04001
4,2,316,32,10.13,35,11.08,58,18.35,121,38.29,47,14.87,23,7.28,04002
4,3,219,47,21.46,25,11.42,37,16.89,68,31.05,29,13.24,13,5.94,04003
4,4,377,74,19.63,41,10.88,63,16.71,103,27.32,68,18.04,28,7.43,04004
4,5,326,57,17.48,35,10.74,36,11.04,102,31.29,61,18.71,35,10.74,04005
4,6,367,72,19.62,38,10.35,56,15.26,112,30.52,59,16.08,30,8.17,04006
4,7,367,69,18.8,35,9.54,62,16.89,130,35.42,50,13.62,21,5.72,04007
4,8,317,59,18.61,19,5.99,40,12.62,120,37.85,63,19.87,16,5.05,04008
4,9,381,95,24.93,24,6.3,52,13.65,129,33.86,56,14.7,25,6.56,04009
4,10,360,71,19.72,35,9.72,57,15.83,106,29.44,58,16.11,33,9.17,04010
4,11,245,47,19.18,25,10.2,32,13.06,91,37.14,39,15.92,11,4.49,04011
4,12,330,78,23.64,39,11.82,40,12.12,92,27.88,58,17.58,23,6.97,04012
4,13,288,34,11.81,36,12.5,86,29.86,75,26.04,29,10.07,28,9.72,04013
4,14,265,59,22.26,24,9.06,41,15.47,73,27.55,47,17.74,21,7.92,04014
4,15,340,73,21.47,40,11.76,54,15.88,84,24.71,58,17.06,31,9.12,04015
4,16,391,29,7.42,46,11.76,104,26.6,132,33.76,51,13.04,29,7.42,04016
4,17,303,17,5.61,54,17.82,51,16.83,123,40.59,38,12.54,20,6.6,04017
4,18,293,65,22.18,47,16.04,43,14.68,75,25.6,38,12.97,25,8.53,04018
4,19,202,45,22.28,31,15.35,40,19.8,52,25.74,21,10.4,13,6.44,04019
4,20,259,23,8.88,36,13.9,51,19.69,109,42.08,26,10.04,14,5.41,04020
4,21,304,24,7.89,44,14.47,86,28.29,86,28.29,33,10.86,31,10.2,04021
4,22,285,35,12.28,21,7.37,40,14.04,129,45.26,33,11.58,27,9.47,04022
4,23,361,33,9.14,27,7.48,50,13.85,161,44.6,57,15.79,33,9.14,04023
4,24,270,32,11.85,29,10.74,44,16.3,107,39.63,38,14.07,20,7.41,04024
4,25,311,23,7.4,43,13.83,80,25.72,108,34.73,32,10.29,25,8.04,04025
4,26,254,49,19.29,22,8.66,29,11.42,98,38.58,34,13.39,22,8.66,04026
4,27,363,44,12.12,27,7.44,51,14.05,141,38.84,60,16.53,40,11.02,04027
4,28,246,54,21.95,30,12.2,33,13.41,61,24.8,45,18.29,23,9.35,04028
4,29,255,57,22.35,17,6.67,46,18.04,78,30.59,37,14.51,20,7.84,04029
4,30,345,80,23.19,33,9.57,54,15.65,111,32.17,45,13.04,22,6.38,04030
4,31,359,74,20.61,36,10.03,39,10.86,129,35.93,63,17.55,18,5.01,04031
4,32,304,54,17.76,24,7.89,45,14.8,109,35.86,46,15.13,26,8.55,04032
4,33,296,52,17.57,18,6.08,52,17.57,94,31.76,47,15.88,33,11.15,04033
4,34,252,43,17.06,28,11.11,49,19.44,65,25.79,46,18.25,21,8.33,04034
4,35,328,65,19.82,18,5.49,40,12.2,121,36.89,51,15.55,33,10.06,04035
4,36,345,86,24.93,25,7.25,54,15.65,109,31.59,47,13.62,24,6.96,04036
4,37,457,34,7.44,59,12.91,107,23.41,175,38.29,49,10.72,33,7.22,04037
4,38,319,61,19.12,25,7.84,33,10.34,112,35.11,56,17.55,32,10.03,04038
5,1,210,43,20.48,28,13.33,39,18.57,53,25.24,35,16.67,12,5.71,05001
5,2,194,37,19.07,24,12.37,46,23.71,48,24.74,23,11.86,16,8.25,05002
5,3,270,29,10.74,22,8.15,63,23.33,99,36.67,35,12.96,22,8.15,05003
5,4,330,58,17.58,25,7.58,68,20.61,93,28.18,52,15.76,34,10.3,05004
5,5,214,43,20.09,29,13.55,33,15.42,60,28.04,29,13.55,20,9.35,05005
5,6,215,52,24.19,25,11.63,35,16.28,53,24.65,23,10.7,27,12.56,05006
5,7,270,52,19.26,33,12.22,57,21.11,67,24.81,47,17.41,14,5.19,05007
5,8,292,13,4.45,17,5.82,58,19.86,159,54.45,29,9.93,16,5.48,05008
5,9,338,43,12.72,30,8.88,61,18.05,128,37.87,46,13.61,30,8.88,05009
5,10,207,55,26.57,21,10.14,34,16.43,50,24.15,35,16.91,12,5.8,05010
5,11,295,31,10.51,27,9.15,54,18.31,108,36.61,43,14.58,32,10.85,05011
5,12,162,47,29.01,23,14.2,26,16.05,38,23.46,14,8.64,14,8.64,05012
5,13,231,62,26.84,27,11.69,34,14.72,52,22.51,39,16.88,17,7.36,05013
5,14,247,50,20.24,19,7.69,40,16.19,72,29.15,44,17.81,22,8.91,05014
5,15,260,44,16.92,25,9.62,59,22.69,84,32.31,32,12.31,16,6.15,05015
5,16,236,58,24.58,22,9.32,41,17.37,66,27.97,34,14.41,15,6.36,05016
5,17,186,36,19.35,29,15.59,31,16.67,47,25.27,31,16.67,12,6.45,05017
5,18,273,27,9.89,19,6.96,41,15.02,118,43.22,45,16.48,23,8.42,05018
5,19,273,19,6.96,18,6.59,56,20.51,125,45.79,35,12.82,20,7.33,05019
5,20,335,54,16.12,30,8.96,54,16.12,128,38.21,43,12.84,26,7.76,05020
5,21,270,36,13.33,17,6.3,45,16.67,119,44.07,31,11.48,22,8.15,05021
5,22,345,46,13.33,26,7.54,53,15.36,149,43.19,40,11.59,31,8.99,05022
5,23,455,54,11.87,27,5.93,76,16.7,190,41.76,66,14.51,42,9.23,05023
5,24,308,45,14.61,23,7.47,63,20.45,123,39.94,37,12.01,17,5.52,05024
5,25,246,65,26.42,19,7.72,25,10.16,83,33.74,29,11.79,25,10.16,05025
5,26,248,58,23.39,25,10.08,45,18.15,70,28.23,27,10.89,23,9.27,05026
5,27,240,16,6.67,23,9.58,52,21.67,108,45.0,20,8.33,21,8.75,05027
5,28,281,63,22.42,24,8.54,42,14.95,94,33.45,45,16.01,13,4.63,05028
5,29,274,69,25.18,14,5.11,35,12.77,83,30.29,45,16.42,28,10.22,05029
5,30,170,37,21.76,16,9.41,37,21.76,36,21.18,28,16.47,16,9.41,05030
5,31,182,53,29.12,16,8.79,30,16.48,50,27.47,20,10.99,13,7.14,05031
5,32,298,70,23.49,22,7.38,28,9.4,105,35.23,48,16.11,25,8.39,05032
5,33,278,65,23.38,35,12.59,65,23.38,63,22.66,30,10.79,20,7.19,05033
5,34,310,16,5.16,28,9.03,73,23.55,155,50.0,25,8.06,13,4.19,05034
5,35,329,38,11.55,23,6.99,61,18.54,132,40.12,44,13.37,31,9.42,05035
5,36,97,24,24.74,14,14.43,17,17.53,26,26.8,11,11.34,5,5.15,05036
5,37,294,33,11.22,13,4.42,59,20.07,110,37.41,37,12.59,42,14.29,05037
5,38,206,49,23.79,21,10.19,36,17.48,43,20.87,37,17.96,20,9.71,05038
5,39,222,14,6.31,13,5.86,60,27.03,94,42.34,23,10.36,18,8.11,05039
5,40,193,52,26.94,22,11.4,31,16.06,44,22.8,30,15.54,14,7.25,05040
5,41,155,23,14.84,5,3.23,18,11.61,65,41.94,21,13.55,23,14.84,05041
6,1,263,78,29.66,19,7.22,41,15.59,56,21.29,50,19.01,19,7.22,06001
6,2,277,81,29.24,28,10.11,30,10.83,89,32.13,38,13.72,11,3.97,06002
6,3,251,55,21.91,29,11.55,40,15.94,82,32.67,23,9.16,22,8.76,06003
6,4,156,46,29.49,18,11.54,29,18.59,35,22.44,21,13.46,7,4.49,06004
6,5,133,38,28.57,15,11.28,24,18.05,32,24.06,17,12.78,7,5.26,06005
6,6,252,70,27.78,21,8.33,33,13.1,70,27.78,39,15.48,19,7.54,06006
6,7,196,52,26.53,25,12.76,30,15.31,48,24.49,29,14.8,12,6.12,06007
6,8,244,56,22.95,18,7.38,38,15.57,83,34.02,35,14.34,14,5.74,06008
6,9,170,50,29.41,20,11.76,29,17.06,34,20.0,30,17.65,7,4.12,06009
6,10,125,36,28.8,13,10.4,24,19.2,25,20.0,16,12.8,11,8.8,06010
6,11,181,50,27.62,20,11.05,36,19.89,33,18.23,23,12.71,19,10.5,06011
6,12,146,34,23.29,16,10.96,31,21.23,36,24.66,21,14.38,8,5.48,06012
6,13,173,52,30.06,22,12.72,18,10.4,46,26.59,21,12.14,14,8.09,06013
6,14,206,60,29.13,23,11.17,42,20.39,41,19.9,30,14.56,10,4.85,06014
6,15,168,54,32.14,23,13.69,36,21.43,23,13.69,16,9.52,16,9.52,06015
6,16,278,72,25.9,16,5.76,48,17.27,76,27.34,38,13.67,28,10.07,06016
6,17,131,37,28.24,17,12.98,28,21.37,26,19.85,18,13.74,5,3.82,06017
6,18,170,59,34.71,29,17.06,34,20.0,24,14.12,17,10.0,7,4.12,06018
6,19,173,45,26.01,22,12.72,24,13.87,38,21.97,29,16.76,15,8.67,06019
6,20,115,29,25.22,10,8.7,28,24.35,27,23.48,12,10.43,9,7.83,06020
6,21,95,30,31.58,21,22.11,16,16.84,13,13.68,8,8.42,7,7.37,06021
6,22,141,26,18.44,19,13.48,35,24.82,28,19.86,19,13.48,14,9.93,06022
6,23,83,14,16.87,13,15.66,19,22.89,21,25.3,9,10.84,7,8.43,06023
6,24,109,32,29.36,14,12.84,19,17.43,25,22.94,9,8.26,10,9.17,06024
6,25,103,30,29.13,10,9.71,22,21.36,27,26.21,10,9.71,4,3.88,06025
6,26,129,31,24.03,15,11.63,24,18.6,30,23.26,17,13.18,12,9.3,06026
6,27,105,36,34.29,15,14.29,25,23.81,13,12.38,13,12.38,3,2.86,06027
6,28,92,29,31.52,10,10.87,23,25.0,18,19.57,9,9.78,3,3.26,06028
6,29,238,60,25.21,17,7.14,29,12.18,95,39.92,18,7.56,19,7.98,06029
6,30,165,45,27.27,18,10.91,29,17.58,40,24.24,20,12.12,13,7.88,06030
6,31,255,60,23.53,17,6.67,29,11.37,92,36.08,36,14.12,21,8.24,06031
6,32,206,50,24.27,18,8.74,33,16.02,56,27.18,40,19.42,9,4.37,06032
6,33,210,54,25.71,12,5.71,31,14.76,61,29.05,34,16.19,18,8.57,06033
6,34,235,60,25.53,22,9.36,39,16.6,57,24.26,43,18.3,14,5.96,06034
6,35,229,48,20.96,21,9.17,37,16.16,71,31.0,33,14.41,19,8.3,06035
6,36,279,67,24.01,23,8.24,43,15.41,87,31.18,33,11.83,26,9.32,06036
6,37,270,62,22.96,22,8.15,27,10.0,98,36.3,44,16.3,17,6.3,06037
6,38,252,63,25.0,19,7.54,28,11.11,79,31.35,45,17.86,18,7.14,06038
6,39,163,34,20.86,17,10.43,20,12.27,64,39.26,21,12.88,7,4.29,06039
6,40,193,46,23.83,17,8.81,31,16.06,51,26.42,27,13.99,21,10.88,06040
6,41,242,57,23.55,19,7.85,37,15.29,69,28.51,37,15.29,23,9.5,06041
6,42,197,47,23.86,25,12.69,34,17.26,40,20.3,38,19.29,13,6.6,06042
6,43,188,60,31.91,21,11.17,19,10.11,52,27.66,21,11.17,15,7.98,06043
6,44,226,54,23.89,27,11.95,33,14.6,56,24.78,42,18.58,14,6.19,06044
6,45,258,62,24.03,29,11.24,37,14.34,70,27.13,48,18.6,12,4.65,06045
6,46,150,47,31.33,14,9.33,26,17.33,30,20.0,23,15.33,10,6.67,06046
6,47,160,46,28.75,15,9.38,36,22.5,31,19.38,18,11.25,14,8.75,06047
6,48,203,49,24.14,17,8.37,39,19.21,46,22.66,36,17.73,16,7.88,06048
7,1,191,55,28.8,21,10.99,36,18.85,44,23.04,21,10.99,14,7.33,07001
7,2,184,44,23.91,30,16.3,35,19.02,41,22.28,20,10.87,14,7.61,07002
7,3,226,60,26.55,23,10.18,41,18.14,62,27.43,26,11.5,14,6.19,07003
7,4,199,44,22.11,34,17.09,39,19.6,52,26.13,18,9.05,12,6.03,07004
7,5,186,43,23.12,21,11.29,33,17.74,44,23.66,22,11.83,23,12.37,07005
7,6,269,60,22.3,19,7.06,39,14.5,75,27.88,55,20.45,21,7.81,07006
7,7,178,34,19.1,21,11.8,43,24.16,36,20.22,25,14.04,19,10.67,07007
7,8,120,34,28.33,9,7.5,16,13.33,26,21.67,19,15.83,16,13.33,07008
7,9,346,96,27.75,31,8.96,40,11.56,99,28.61,49,14.16,31,8.96,07009
7,10,235,65,27.66,17,7.23,30,12.77,68,28.94,39,16.6,16,6.81,07010
7,11,197,52,26.4,26,13.2,37,18.78,47,23.86,23,11.68,12,6.09,07011
7,12,169,40,23.67,18,10.65,33,19.53,44,26.04,22,13.02,12,7.1,07012
7,13,126,37,29.37,14,11.11,17,13.49,27,21.43,19,15.08,12,9.52,07013
7,14,192,55,28.65,21,10.94,34,17.71,40,20.83,27,14.06,15,7.81,07014
7,15,205,50,24.39,16,7.8,24,11.71,69,33.66,29,14.15,17,8.29,07015
7,16,148,50,33.78,12,8.11,20,13.51,24,16.22,32,21.62,10,6.76,07016
7,17,175,39,22.29,20,11.43,30,17.14,50,28.57,26,14.86,10,5.71,07017
7,18,146,45,30.82,21,14.38,29,19.86,25,17.12,17,11.64,9,6.16,07018
7,19,172,50,29.07,5,2.91,32,18.6,43,25.0,27,15.7,15,8.72,07019
7,20,144,38,26.39,15,10.42,31,21.53,36,25.0,16,11.11,8,5.56,07020
7,21,128,31,24.22,18,14.06,23,17.97,28,21.88,16,12.5,12,9.38,07021
7,22,163,38,23.31,15,9.2,29,17.79,29,17.79,31,19.02,21,12.88,07022
7,23,217,45,20.74,12,5.53,23,10.6,84,38.71,40,18.43,13,5.99,07023
7,24,148,37,25.0,16,10.81,24,16.22,36,24.32,23,15.54,12,8.11,07024
7,25,153,30,19.61,14,9.15,29,18.95,33,21.57,15,9.8,32,20.92,07025
7,26,171,38,22.22,12,7.02,20,11.7,61,35.67,22,12.87,18,10.53,07026
7,27,160,44,27.5,16,10.0,23,14.38,44,27.5,23,14.38,10,6.25,07027
7,28,125,24,19.2,12,9.6,27,21.6,36,28.8,10,8.0,16,12.8,07028
7,29,168,38,22.62,15,8.93,29,17.26,54,32.14,23,13.69,9,5.36,07029
7,30,130,41,31.54,8,6.15,20,15.38,25,19.23,10,7.69,26,20.0,07030
7,31,120,29,24.17,16,13.33,16,13.33,21,17.5,21,17.5,17,14.17,07031
7,32,313,78,24.92,22,7.03,29,9.27,115,36.74,46,14.7,23,7.35,07032
7,33,302,74,24.5,24,7.95,38,12.58,101,33.44,39,12.91,26,8.61,07033
7,34,267,76,28.46,25,9.36,42,15.73,65,24.34,39,14.61,20,7.49,07034
7,35,219,56,25.57,19,8.68,29,13.24,56,25.57,33,15.07,26,11.87,07035
7,36,269,52,19.33,28,10.41,31,11.52,92,34.2,38,14.13,28,10.41,07036
7,37,202,44,21.78,18,8.91,41,20.3,53,26.24,27,13.37,19,9.41,07037
7,38,173,39,22.54,24,13.87,25,14.45,53,30.64,22,12.72,10,5.78,07038
7,39,190,36,18.95,22,11.58,46,24.21,45,23.68,32,16.84,9,4.74,07039
7,40,197,45,22.84,15,7.61,28,14.21,64,32.49,33,16.75,12,6.09,07040
7,41,196,35,17.86,20,10.2,33,16.84,68,34.69,25,12.76,15,7.65,07041
7,42,180,45,25.0,14,7.78,30,16.67,48,26.67,27,15.0,16,8.89,07042
7,43,196,47,23.98,12,6.12,42,21.43,53,27.04,24,12.24,18,9.18,07043
7,44,169,35,20.71,16,9.47,37,21.89,48,28.4,18,10.65,15,8.88,07044
7,45,167,57,34.13,13,7.78,29,17.37,39,23.35,17,10.18,12,7.19,07045
