ward,precinct,total,Jacqueline Marie Griffin,Jacqueline Marie Griffin Percent,Daniel L. Collins,Daniel L. Collins Percent,Mary Therese Quinn,Mary Therese Quinn Percent,Celestia L. Mays,Celestia L. Mays Percent,precinct_id
2,15,207,36,17.39,19,9.18,25,12.08,127,61.35,02015
2,16,211,58,27.49,16,7.58,23,10.9,114,54.03,02016
2,17,306,54,17.65,23,7.52,52,16.99,177,57.84,02017
2,18,210,43,20.48,31,14.76,54,25.71,82,39.05,02018
2,19,111,17,15.32,13,11.71,14,12.61,67,60.36,02019
2,20,211,44,20.85,17,8.06,48,22.75,102,48.34,02020
2,21,259,43,16.6,19,7.34,58,22.39,139,53.67,02021
2,22,227,48,21.15,24,10.57,53,23.35,102,44.93,02022
2,23,147,27,18.37,16,10.88,33,22.45,71,48.3,02023
2,24,154,32,20.78,12,7.79,27,17.53,83,53.9,02024
2,25,244,59,24.18,18,7.38,44,18.03,123,50.41,02025
2,26,167,46,27.54,24,14.37,37,22.16,60,35.93,02026
2,27,156,42,26.92,24,15.38,42,26.92,48,30.77,02027
2,28,202,55,27.23,27,13.37,40,19.8,80,39.6,02028
2,29,213,44,20.66,29,13.62,51,23.94,89,41.78,02029
2,30,174,28,16.09,21,12.07,44,25.29,81,46.55,02030
2,31,261,47,18.01,27,10.34,67,25.67,120,45.98,02031
2,32,146,37,25.34,13,8.9,27,18.49,69,47.26,02032
2,33,320,64,20.0,36,11.25,80,25.0,140,43.75,02033
2,34,192,28,14.58,26,13.54,39,20.31,99,51.56,02034
2,35,219,57,26.03,29,13.24,46,21.0,87,39.73,02035
2,36,190,52,27.37,17,8.95,44,23.16,77,40.53,02036
2,37,227,56,24.67,30,13.22,49,21.59,92,40.53,02037
2,38,159,19,11.95,21,13.21,34,21.38,85,53.46,02038
2,39,117,20,17.09,16,13.68,29,24.79,52,44.44,02039
2,40,168,53,31.55,22,13.1,30,17.86,63,37.5,02040
2,41,184,47,25.54,23,12.5,37,20.11,77,41.85,02041
2,42,174,40,22.99,19,10.92,41,23.56,74,42.53,02042
2,43,208,41,19.71,22,10.58,42,20.19,103,49.52,02043
2,44,129,38,29.46,14,10.85,30,23.26,47,36.43,02044
2,45,216,51,23.61,29,13.43,53,24.54,83,38.43,02045
2,46,133,31,23.31,19,14.29,22,16.54,61,45.86,02046
3,1,324,86,26.54,58,17.9,44,13.58,136,41.98,03001
3,2,380,116,30.53,50,13.16,68,17.89,146,38.42,03002
3,3,153,44,28.76,22,14.38,20,13.07,67,43.79,03003
3,4,336,94,27.98,53,15.77,33,9.82,156,46.43,03004
3,5,167,60,35.93,36,21.56,19,11.38,52,31.14,03005
3,6,319,67,21.0,27,8.46,59,18.5,166,52.04,03006
3,7,192,70,36.46,27,14.06,28,14.58,67,34.9,03007
3,8,176,52,29.55,43,24.43,28,15.91,53,30.11,03008
3,9,327,88,26.91,44,13.46,35,10.7,160,48.93,03009
3,10,106,30,28.3,24,22.64,21,19.81,31,29.25,03010
3,11,271,91,33.58,40,14.76,33,12.18,107,39.48,03011
3,12,287,95,33.1,34,11.85,26,9.06,132,45.99,03012
3,13,310,68,21.94,25,8.06,62,20.0,155,50.0,03013
3,14,293,85,29.01,30,10.24,41,13.99,137,46.76,03014
3,15,215,71,33.02,39,18.14,28,13.02,77,35.81,03015
3,16,231,75,32.47,42,18.18,43,18.61,71,30.74,03016
3,17,366,96,26.23,46,12.57,63,17.21,161,43.99,03017
3,18,347,99,28.53,66,19.02,51,14.7,131,37.75,03018
3,19,265,58,21.89,32,12.08,49,18.49,126,47.55,03019
3,20,303,95,31.35,52,17.16,43,14.19,113,37.29,03020
3,21,292,60,20.55,40,13.7,46,15.75,146,50.0,03021
3,22,304,69,22.7,27,8.88,56,18.42,152,50.0,03022
3,23,184,62,33.7,38,20.65,31,16.85,53,28.8,03023
3,24,216,78,36.11,33,15.28,29,13.43,76,35.19,03024
3,25,393,74,18.83,42,10.69,78,19.85,199,50.64,03025
3,26,300,64,21.33,20,6.67,50,16.67,166,55.33,03026
3,27,300,73,24.33,29,9.67,66,22.0,132,44.0,03027
3,28,184,67,36.41,33,17.93,38,20.65,46,25.0,03028
3,29,267,88,32.96,60,22.47,45,16.85,74,27.72,03029
3,30,243,82,33.74,36,14.81,24,9.88,101,41.56,03030
3,31,322,104,32.3,44,13.66,54,16.77,120,37.27,03031
3,32,302,78,25.83,26,8.61,49,16.23,149,49.34,03032
3,33,303,63,20.79,20,6.6,62,20.46,158,52.15,03033
3,34,309,68,22.01,30,9.71,63,20.39,148,47.9,03034
3,35,127,36,28.35,14,11.02,12,9.45,65,51.18,03035
3,36,130,42,32.31,35,26.92,21,16.15,32,24.62,03036
3,37,246,74,30.08,45,18.29,27,10.98,100,40.65,03037
3,38,221,73,33.03,29,13.12,30,13.57,89,40.27,03038
3,39,332,67,20.18,26,7.83,45,13.55,194,58.43,03039
3,40,218,50,22.94,42,19.27,31,14.22,95,43.58,03040
3,41,221,72,32.58,27,12.22,33,14.93,89,40.27,03041
4,1,375,74,19.73,16,4.27,47,12.53,238,63.47,04001
4,2,315,78,24.76,29,9.21,44,13.97,164,52.06,04002
4,3,229,73,31.88,30,13.1,33,14.41,93,40.61,04003
4,4,375,120,32.0,68,18.13,56,14.93,131,34.93,04004
4,5,328,80,24.39,42,12.8,40,12.2,166,50.61,04005
4,6,360,107,29.72,41,11.39,33,9.17,179,49.72,04006
4,7,370,109,29.46,49,13.24,37,10.0,175,47.3,04007
4,8,319,81,25.39,32,10.03,36,11.29,170,53.29,04008
4,9,391,105,26.85,46,11.76,33,8.44,207,52.94,04009
4,10,380,107,28.16,57,15.0,42,11.05,174,45.79,04010
4,11,253,75,29.64,33,13.04,32,12.65,113,44.66,04011
4,12,336,90,26.79,53,15.77,44,13.1,149,44.35,04012
4,13,287,58,20.21,24,8.36,75,26.13,130,45.3,04013
4,14,269,93,34.57,40,14.87,27,10.04,109,40.52,04014
4,15,346,124,35.84,36,10.4,36,10.4,150,43.35,04015
4,16,393,83,21.12,35,8.91,59,15.01,216,54.96,04016
4,17,302,48,15.89,25,8.28,66,21.85,163,53.97,04017
4,18,302,102,33.77,52,17.22,60,19.87,88,29.14,04018
4,19,203,73,35.96,48,23.65,25,12.32,57,28.08,04019
4,20,260,47,18.08,23,8.85,54,20.77,136,52.31,04020
4,21,305,68,22.3,29,9.51,58,19.02,150,49.18,04021
4,22,284,53,18.66,30,10.56,26,9.15,175,61.62,04022
4,23,366,76,20.77,28,7.65,33,9.02,229,62.57,04023
4,24,268,70,26.12,28,10.45,22,8.21,148,55.22,04024
4,25,306,60,19.61,36,11.76,57,18.63,153,50.0,04025
4,26,256,80,31.25,40,15.63,27,10.55,109,42.58,04026
4,27,364,71,19.51,24,6.59,39,10.71,230,63.19,04027
4,28,258,93,36.05,38,14.73,36,13.95,91,35.27,04028
4,29,255,82,32.16,41,16.08,25,9.8,107,41.96,04029
4,30,348,104,29.89,64,18.39,41,11.78,139,39.94,04030
4,31,368,96,26.09,40,10.87,48,13.04,184,50.0,04031
4,32,310,73,23.55,43,13.87,34,10.97,160,51.61,04032
4,33,297,78,26.26,39,13.13,31,10.44,149,50.17,04033
4,34,259,88,33.98,33,12.74,30,11.58,108,41.7,04034
4,35,326,84,25.77,45,13.8,36,11.04,161,49.39,04035
4,36,350,105,30.0,47,13.43,35,10.0,163,46.57,04036
4,37,450,78,17.33,37,8.22,85,18.89,250,55.56,04037
4,38,328,98,29.88,37,11.28,31,9.45,162,49.39,04038
5,1,215,68,31.63,48,22.33,32,14.88,67,31.16,05001
5,2,192,69,35.94,34,17.71,29,15.1,60,31.25,05002
5,3,269,38,14.13,12,4.46,38,14.13,181,67.29,05003
5,4,333,74,22.22,36,10.81,43,12.91,180,54.05,05004
5,5,215,78,36.28,29,13.49,25,11.63,83,38.6,05005
5,6,215,70,32.56,37,17.21,28,13.02,80,37.21,05006
5,7,271,88,32.47,38,14.02,31,11.44,114,42.07,05007
5,8,291,34,11.68,14,4.81,31,10.65,212,72.85,05008
5,9,338,76,22.49,39,11.54,41,12.13,182,53.85,05009
5,10,204,63,30.88,40,19.61,24,11.76,77,37.75,05010
5,11,292,56,19.18,22,7.53,40,13.7,174,59.59,05011
5,12,162,62,38.27,26,16.05,24,14.81,50,30.86,05012
5,13,234,71,30.34,41,17.52,36,15.38,86,36.75,05013
5,14,254,65,25.59,34,13.39,26,10.24,129,50.79,05014
5,15,259,59,22.78,35,13.51,36,13.9,129,49.81,05015
5,16,235,66,28.09,42,17.87,30,12.77,97,41.28,05016
5,17,190,63,33.16,33,17.37,36,18.95,58,30.53,05017
5,18,276,56,20.29,17,6.16,33,11.96,170,61.59,05018
5,19,268,49,18.28,9,3.36,28,10.45,182,67.91,05019
5,20,341,79,23.17,23,6.74,39,11.44,200,58.65,05020
5,21,276,66,23.91,17,6.16,33,11.96,160,57.97,05021
5,22,351,74,21.08,26,7.41,40,11.4,211,60.11,05022
5,23,453,89,19.65,44,9.71,43,9.49,277,61.15,05023
5,24,313,80,25.56,16,5.11,20,6.39,197,62.94,05024
5,25,254,54,21.26,46,18.11,16,6.3,138,54.33,05025
5,26,250,82,32.8,35,14.0,31,12.4,102,40.8,05026
5,27,250,31,12.4,18,7.2,33,13.2,168,67.2,05027
5,28,292,82,28.08,39,13.36,29,9.93,142,48.63,05028
5,29,274,76,27.74,45,16.42,36,13.14,117,42.7,05029
5,30,175,59,33.71,34,19.43,19,10.86,63,36.0,05030
5,31,182,65,35.71,25,13.74,21,11.54,71,39.01,05031
5,32,303,92,30.36,45,14.85,23,7.59,143,47.19,05032
5,33,287,112,39.02,43,14.98,44,15.33,88,30.66,05033
5,34,306,45,14.71,19,6.21,33,10.78,209,68.3,05034
5,35,319,70,21.94,13,4.08,43,13.48,193,60.5,05035
5,36,98,35,35.71,17,17.35,7,7.14,39,39.8,05036
5,37,294,52,17.69,20,6.8,38,12.93,184,62.59,05037
5,38,214,62,28.97,49,22.9,37,17.29,66,30.84,05038
5,39,217,38,17.51,22,10.14,22,10.14,135,62.21,05039
5,40,195,62,31.79,33,16.92,20,10.26,80,41.03,05040
5,41,151,37,24.5,10,6.62,12,7.95,92,60.93,05041
6,1,262,93,35.5,37,14.12,31,11.83,101,38.55,06001
6,2,285,91,31.93,48,16.84,31,10.88,115,40.35,06002
6,3,260,78,30.0,38,14.62,44,16.92,100,38.46,06003
6,4,156,55,35.26,38,24.36,26,16.67,37,23.72,06004
6,5,132,44,33.33,35,26.52,13,9.85,40,30.3,06005
6,6,253,77,30.43,46,18.18,26,10.28,104,41.11,06006
6,7,203,84,41.38,40,19.7,25,12.32,54,26.6,06007
6,8,247,63,25.51,35,14.17,30,12.15,119,48.18,06008
6,9,180,65,36.11,33,18.33,27,15.0,55,30.56,06009
6,10,128,45,35.16,31,24.22,19,14.84,33,25.78,06010
6,11,185,53,28.65,52,28.11,32,17.3,48,25.95,06011
6,12,144,64,44.44,21,14.58,18,12.5,41,28.47,06012
6,13,174,57,32.76,40,22.99,18,10.34,59,33.91,06013
6,14,204,81,39.71,34,16.67,28,13.73,61,29.9,06014
6,15,173,67,38.73,44,25.43,31,17.92,31,17.92,06015
6,16,286,94,32.87,37,12.94,43,15.03,112,39.16,06016
6,17,132,51,38.64,23,17.42,21,15.91,37,28.03,06017
6,18,172,56,32.56,71,41.28,23,13.37,22,12.79,06018
6,19,167,54,32.34,36,21.56,29,17.37,48,28.74,06019
6,20,119,46,38.66,22,18.49,19,15.97,32,26.89,06020
6,21,96,30,31.25,29,30.21,15,15.63,22,22.92,06021
6,22,131,46,35.11,29,22.14,29,22.14,27,20.61,06022
6,23,84,26,30.95,19,22.62,24,28.57,15,17.86,06023
6,24,109,34,31.19,29,26.61,21,19.27,25,22.94,06024
6,25,101,31,30.69,21,20.79,15,14.85,34,33.66,06025
6,26,128,47,36.72,22,17.19,18,14.06,41,32.03,06026
6,27,104,44,42.31,22,21.15,19,18.27,19,18.27,06027
6,28,91,35,38.46,21,23.08,15,16.48,20,21.98,06028
6,29,241,55,22.82,29,12.03,23,9.54,134,55.6,06029
6,30,172,54,31.4,35,20.35,31,18.02,52,30.23,06030
6,31,249,73,29.32,32,12.85,21,8.43,123,49.4,06031
6,32,213,74,34.74,34,15.96,27,12.68,78,36.62,06032
6,33,210,71,33.81,36,17.14,15,7.14,88,41.9,06033
6,34,232,86,37.07,37,15.95,26,11.21,83,35.78,06034
6,35,231,75,32.47,41,17.75,29,12.55,86,37.23,06035
6,36,278,80,28.78,44,15.83,45,16.19,109,39.21,06036
6,37,272,80,29.41,33,12.13,28,10.29,131,48.16,06037
6,38,255,77,30.2,43,16.86,27,10.59,108,42.35,06038
6,39,166,65,39.16,35,21.08,14,8.43,52,31.33,06039
6,40,195,60,30.77,35,17.95,25,12.82,75,38.46,06040
6,41,243,88,36.21,29,11.93,35,14.4,91,37.45,06041
6,42,196,83,42.35,40,20.41,20,10.2,53,27.04,06042
6,43,186,74,39.78,30,16.13,10,5.38,72,38.71,06043
6,44,233,83,35.62,34,14.59,35,15.02,81,34.76,06044
6,45,260,84,32.31,35,13.46,28,10.77,113,43.46,06045
6,46,155,57,36.77,27,17.42,29,18.71,42,27.1,06046
6,47,160,70,43.75,32,20.0,23,14.38,35,21.88,06047
6,48,204,73,35.78,42,20.59,29,14.22,60,29.41,06048
7,1,188,67,35.64,41,21.81,22,11.7,58,30.85,07001
7,2,178,64,35.96,26,14.61,28,15.73,60,33.71,07002
7,3,231,76,32.9,29,12.55,23,9.96,103,44.59,07003
7,4,201,65,32.34,36,17.91,21,10.45,79,39.3,07004
7,5,188,63,33.51,41,21.81,27,14.36,57,30.32,07005
7,6,273,75,27.47,45,16.48,33,12.09,120,43.96,07006
7,7,178,62,34.83,38,21.35,20,11.24,58,32.58,07007
7,8,123,51,41.46,25,20.33,19,15.45,28,22.76,07008
7,9,349,94,26.93,66,18.91,37,10.6,152,43.55,07009
7,10,240,78,32.5,34,14.17,25,10.42,103,42.92,07010
7,11,203,77,37.93,35,17.24,29,14.29,62,30.54,07011
7,12,173,65,37.57,32,18.5,28,16.18,48,27.75,07012
7,13,128,37,28.91,32,25.0,16,12.5,43,33.59,07013
7,14,191,68,35.6,41,21.47,26,13.61,56,29.32,07014
7,15,201,61,30.35,30,14.93,25,12.44,85,42.29,07015
7,16,149,51,34.23,29,19.46,26,17.45,43,28.86,07016
7,17,179,67,37.43,33,18.44,24,13.41,55,30.73,07017
7,18,143,53,37.06,29,20.28,25,17.48,36,25.17,07018
7,19,176,64,36.36,26,14.77,23,13.07,63,35.8,07019
7,20,145,56,38.62,38,26.21,14,9.66,37,25.52,07020
7,21,129,47,36.43,29,22.48,21,16.28,32,24.81,07021
7,22,166,55,33.13,30,18.07,34,20.48,47,28.31,07022
7,23,218,63,28.9,34,15.6,24,11.01,97,44.5,07023
7,24,151,63,41.72,23,15.23,19,12.58,46,30.46,07024
7,25,149,52,34.9,39,26.17,29,19.46,29,19.46,07025
7,26,172,54,31.4,34,19.77,10,5.81,74,43.02,07026
7,27,159,61,38.36,30,18.87,15,9.43,53,33.33,07027
7,28,125,41,32.8,24,19.2,22,17.6,38,30.4,07028
7,29,171,49,28.65,18,10.53,22,12.87,82,47.95,07029
7,30,125,47,37.6,13,10.4,23,18.4,42,33.6,07030
7,31,120,41,34.17,22,18.33,17,14.17,40,33.33,07031
7,32,316,86,27.22,42,13.29,29,9.18,159,50.32,07032
7,33,306,110,35.95,35,11.44,42,13.73,119,38.89,07033
7,34,271,94,34.69,45,16.61,34,12.55,98,36.16,07034
7,35,218,71,32.57,41,18.81,27,12.39,79,36.24,07035
7,36,267,87,32.58,38,14.23,28,10.49,114,42.7,07036
7,37,207,64,30.92,35,16.91,32,15.46,76,36.71,07037
7,38,173,51,29.48,40,23.12,30,17.34,52,30.06,07038
7,39,194,69,35.57,26,13.4,28,14.43,71,36.6,07039
7,40,204,74,36.27,31,15.2,24,11.76,75,36.76,07040
7,41,199,67,33.67,23,11.56,32,16.08,77,38.69,07041
7,42,178,63,35.39,35,19.66,17,9.55,63,35.39,07042
7,43,198,74,37.37,31,15.66,28,14.14,65,32.83,07043
7,44,171,61,35.67,36,21.05,15,8.77,59,34.5,07044
7,45,165,48,29.09,41,24.85,27,16.36,49,29.7,07045
7,46,89,44,49.44,18,20.22,14,15.73,13,14.61,07046
8,1,152,45,29.61,30,19.74,26,17.11,51,33.55,08001
8,2,164,37,22.56,28,17.07,23,14.02,76,46.34,08002
8,3,291,76,26.12,34,11.68,28,9.62,153,52.58,08003
8,4,273,69,25.27,31,11.36,24,8.79,149,54.58,08004
8,5,266,67,25.19,37,13.91,21,7.89,141,53.01,08005
8,6,248,74,29.84,38,15.32,27,10.89,109,43.95,08006
8,7,267,91,34.08,35,13.11,27,10.11,114,42.7,08007
8,8,248,63,25.4,40,16.13,22,8.87,123,49.6,08008
8,9,165,56,33.94,23,13.94,21,12.73,65,39.39,08009
8,10,315,93,29.52,37,11.75,19,6.03,166,52.7,08010
8,11,142,36,25.35,20,14.08,20,14.08,66,46.48,08011
8,12,201,69,34.33,33,16.42,35,17.41,64,31.84,08012
8,13,225,84,37.33,34,15.11,30,13.33,77,34.22,08013
8,14,156,51,32.69,29,18.59,33,21.15,43,27.56,08014
8,15,209,88,42.11,28,13.4,35,16.75,58,27.75,08015
8,16,73,17,23.29,17,23.29,8,10.96,31,42.47,08016
8,17,200,66,33.0,31,15.5,15,7.5,88,44.0,08017
8,18,151,47,31.13,50,33.11,23,15.23,31,20.53,08018
8,19,281,74,26.33,48,17.08,25,8.9,134,47.69,08019
8,20,254,78,30.71,29,11.42,20,7.87,127,50.0,08020
8,21,269,59,21.93,41,15.24,27,10.04,142,52.79,08021
8,22,217,65,29.95,28,12.9,26,11.98,98,45.16,08022
8,23,171,52,30.41,29,16.96,24,14.04,66,38.6,08023
8,24,146,47,32.19,26,17.81,15,10.27,58,39.73,08024
8,25,205,75,36.59,29,14.15,30,14.63,71,34.63,08025
8,26,157,40,25.48,31,19.75,22,14.01,64,40.76,08026
8,27,267,87,32.58,42,15.73,21,7.87,117,43.82,08027
8,28,222,79,35.59,30,13.51,24,10.81,89,40.09,08028
8,29,233,68,29.18,28,12.02,29,12.45,108,46.35,08029
8,30,244,88,36.07,40,16.39,32,13.11,84,34.43,08030
8,31,165,50,30.3,28,16.97,24,14.55,63,38.18,08031
8,32,204,66,32.35,31,15.2,17,8.33,90,44.12,08032
8,33,171,52,30.41,26,15.2,25,14.62,68,39.77,08033
8,34,241,75,31.12,44,18.26,24,9.96,98,40.66,08034
8,35,279,79,28.32,54,19.35,24,8.6,122,43.73,08035
8,36,230,80,34.78,27,11.74,29,12.61,94,40.87,08036
8,37,200,60,30.0,26,13.0,16,8.0,98,49.0,08037
8,38,152,44,28.95,31,20.39,18,11.84,59,38.82,08038
8,39,233,65,27.9,31,13.3,23,9.87,114,48.93,08039
8,40,198,71,35.86,27,13.64,22,11.11,78,39.39,08040
8,41,234,81,34.62,43,18.38,27,11.54,83,35.47,08041
8,42,264,79,29.92,34,12.88,22,8.33,129,48.86,08042
8,43,119,41,34.45,26,21.85,13,10.92,39,32.77,08043
8,44,144,49,34.03,20,13.89,26,18.06,49,34.03,08044
8,45,159,56,35.22,30,18.87,36,22.64,37,23.27,08045
8,46,168,58,34.52,29,17.26,18,10.71,63,37.5,08046
8,47,186,59,31.72,29,15.59,19,10.22,79,42.47,08047
8,48,190,58,30.53,30,15.79,22,11.58,80,42.11,08048
8,49,229,61,26.64,42,18.34,26,11.35,100,43.67,08049
8,50,236,69,29.24,29,12.29,24,10.17,114,48.31,08050
8,51,248,63,25.4,25,10.08,25,10.08,135,54.44,08051
8,52,322,100,31.06,49,15.22,30,9.32,143,44.41,08052
8,53,98,41,41.84,14,14.29,7,7.14,36,36.73,08053
8,54,166,65,39.16,21,12.65,29,17.47,51,30.72,08054
8,55,228,64,28.07,27,11.84,35,15.35,102,44.74,08055
8,56,245,74,30.2,37,15.1,21,8.57,113,46.12,08056
9,1,195,74,37.95,32,16.41,25,12.82,64,32.82,09001
9,2,191,82,42.93,32,16.75,37,19.37,40,20.94,09002
9,3,113,48,42.48,22,19.47,21,18.58,22,19.47,09003
9,4,163,57,34.97,38,23.31,17,10.43,51,31.29,09004
9,5,194,62,31.96,37,19.07,19,9.79,76,39.18,09005
9,6,198,77,38.89,33,16.67,25,12.63,63,31.82,09006
9,7,130,45,34.62,39,30.0,17,13.08,29,22.31,09007
9,8,177,62,35.03,22,12.43,33,18.64,60,33.9,09008
9,9,231,68,29.44,35,15.15,35,15.15,93,40.26,09009
9,10,169,52,30.77,37,21.89,17,10.06,63,37.28,09010
9,11,143,47,32.87,23,16.08,21,14.69,52,36.36,09011
9,12,229,79,34.5,32,13.97,22,9.61,96,41.92,09012
9,13,278,110,39.57,34,12.23,31,11.15,103,37.05,09013
9,14,268,80,29.85,46,17.16,30,11.19,112,41.79,09014
9,15,158,57,36.08,45,28.48,28,17.72,28,17.72,09015
9,16,220,78,35.45,40,18.18,25,11.36,77,35.0,09016
9,17,134,45,33.58,27,20.15,27,20.15,35,26.12,09017
9,18,153,63,41.18,26,16.99,21,13.73,43,28.1,09018
9,19,190,67,35.26,38,20.0,26,13.68,59,31.05,09019
9,20,185,67,36.22,33,17.84,19,10.27,66,35.68,09020
9,21,184,71,38.59,27,14.67,28,15.22,58,31.52,09021
9,22,228,69,30.26,43,18.86,26,11.4,90,39.47,09022
9,23,246,70,28.46,40,16.26,25,10.16,111,45.12,09023
9,24,244,84,34.43,31,12.7,23,9.43,106,43.44,09024
9,25,221,70,31.67,39,17.65,25,11.31,87,39.37,09025
9,26,160,60,37.5,32,20.0,26,16.25,42,26.25,09026
9,27,173,64,36.99,24,13.87,34,19.65,51,29.48,09027
9,28,92,31,33.7,16,17.39,24,26.09,21,22.83,09028
9,29,117,44,37.61,16,13.68,17,14.53,40,34.19,09029
9,30,148,49,33.11,31,20.95,18,12.16,50,33.78,09030
9,31,144,47,32.64,32,22.22,16,11.11,49,34.03,09031
9,32,205,61,29.76,34,16.59,35,17.07,75,36.59,09032
9,33,154,45,29.22,37,24.03,27,17.53,45,29.22,09033
9,34,144,50,34.72,17,11.81,34,23.61,43,29.86,09034
9,35,208,61,29.33,32,15.38,18,8.65,97,46.63,09035
9,36,165,62,37.58,32,19.39,19,11.52,52,31.52,09036
9,37,272,73,26.84,32,11.76,54,19.85,113,41.54,09037
9,38,198,83,41.92,40,20.2,25,12.63,50,25.25,09038
9,39,230,85,36.96,40,17.39,24,10.43,81,35.22,09039
9,40,252,85,33.73,45,17.86,32,12.7,90,35.71,09040
9,41,171,64,37.43,34,19.88,17,9.94,56,32.75,09041
9,42,240,63,26.25,18,7.5,30,12.5,129,53.75,09042
9,43,148,68,45.95,16,10.81,26,17.57,38,25.68,09043
9,44,203,74,36.45,38,18.72,24,11.82,67,33.0,09044
9,45,149,57,38.26,21,14.09,26,17.45,45,30.2,09045
9,46,207,72,34.78,33,15.94,28,13.53,74,35.75,09046
9,47,252,83,32.94,30,11.9,23,9.13,116,46.03,09047
9,48,220,84,38.18,31,14.09,18,8.18,87,39.55,09048
9,49,247,74,29.96,40,16.19,26,10.53,107,43.32,09049
9,50,334,99,29.64,46,13.77,33,9.88,156,46.71,09050
9,51,239,75,31.38,31,12.97,25,10.46,108,45.19,09051
10,1,160,59,36.88,24,15.0,36,22.5,41,25.63,10001
10,2,132,32,24.24,28,21.21,55,41.67,17,12.88,10002
10,3,142,46,32.39,20,14.08,45,31.69,31,21.83,10003
10,4,118,41,34.75,25,21.19,28,23.73,24,20.34,10004
10,5,119,31,26.05,31,26.05,35,29.41,22,18.49,10005
10,6,126,43,34.13,18,14.29,44,34.92,21,16.67,10006
