ward,precinct,total,Leonard ''Len'' Dominguez,Leonard ''Len'' Dominguez Percent,Joseph Mario Moreno,Joseph Mario Moreno Percent,Albert Martinez,Albert Martinez Percent,precinct_id
22,8,80,13,16.25,47,58.75,20,25.0,22008
22,9,120,28,23.33,67,55.83,25,20.83,22009
22,10,96,12,12.5,64,66.67,20,20.83,22010
22,11,84,11,13.1,54,64.29,19,22.62,22011
22,12,103,25,24.27,56,54.37,22,21.36,22012
22,13,129,24,18.6,87,67.44,18,13.95,22013
22,14,79,13,16.46,53,67.09,13,16.46,22014
22,15,88,10,11.36,63,71.59,15,17.05,22015
22,16,125,35,28.0,71,56.8,19,15.2,22016
22,17,98,23,23.47,50,51.02,25,25.51,22017
22,18,113,23,20.35,69,61.06,21,18.58,22018
22,20,132,38,28.79,73,55.3,21,15.91,22020
22,22,72,15,20.83,40,55.56,17,23.61,22022
22,23,101,27,26.73,56,55.45,18,17.82,22023
22,24,95,13,13.68,63,66.32,19,20.0,22024
22,25,89,24,26.97,46,51.69,19,21.35,22025
22,26,88,15,17.05,53,60.23,20,22.73,22026
22,27,121,36,29.75,65,53.72,20,16.53,22027
22,28,73,12,16.44,42,57.53,19,26.03,22028
22,29,72,20,27.78,38,52.78,14,19.44,22029
23,6,98,20,20.41,63,64.29,15,15.31,23006
23,9,180,20,11.11,127,70.56,33,18.33,23009
23,24,111,10,9.01,79,71.17,22,19.82,23024
23,29,153,22,14.38,116,75.82,15,9.8,23029
24,53,146,27,18.49,91,62.33,28,19.18,24053
24,57,114,16,14.04,78,68.42,20,17.54,24057
25,1,157,25,15.92,108,68.79,24,15.29,25001
25,2,195,71,36.41,103,52.82,21,10.77,25002
25,3,16,4,25.0,10,62.5,2,12.5,25003
25,5,171,38,22.22,109,63.74,24,14.04,25005
25,7,125,43,34.4,68,54.4,14,11.2,25007
25,8,145,30,20.69,95,65.52,20,13.79,25008
25,9,213,52,24.41,110,51.64,51,23.94,25009
25,11,156,37,23.72,82,52.56,37,23.72,25011
25,12,120,22,18.33,91,75.83,7,5.83,25012
25,13,173,33,19.08,124,71.68,16,9.25,25013
25,15,164,33,20.12,113,68.9,18,10.98,25015
25,17,231,78,33.77,112,48.48,41,17.75,25017
25,19,158,55,34.81,85,53.8,18,11.39,25019
25,20,184,31,16.85,128,69.57,25,13.59,25020
25,22,77,18,23.38,50,64.94,9,11.69,25022
25,23,181,67,37.02,97,53.59,17,9.39,25023
25,24,161,47,29.19,88,54.66,26,16.15,25024
25,29,45,9,20.0,33,73.33,3,6.67,25029
25,30,158,40,25.32,76,48.1,42,26.58,25030
25,31,5,2,,3,,0,,25031
28,29,101,22,21.78,68,67.33,11,10.89,28029
28,34,20,4,20.0,14,70.0,2,10.0,28034
28,38,60,13,21.67,41,68.33,6,10.0,28038
