ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,precinct_id
5,42,179,179,100.0,05042
5,43,196,196,100.0,05043
5,44,211,211,100.0,05044
5,45,95,95,100.0,05045
5,46,151,151,100.0,05046
5,47,124,124,100.0,05047
5,48,90,90,100.0,05048
5,49,38,38,100.0,05049
5,50,140,140,100.0,05050
5,51,114,114,100.0,05051
5,52,19,19,100.0,05052
5,53,212,212,100.0,05053
5,54,251,251,100.0,05054
5,55,154,154,100.0,05055
6,4,126,126,100.0,06004
6,5,97,97,100.0,06005
6,6,172,172,100.0,06006
6,7,211,211,100.0,06007
6,11,203,203,100.0,06011
6,12,140,140,100.0,06012
6,15,126,126,100.0,06015
6,20,202,202,100.0,06020
6,23,165,165,100.0,06023
6,30,148,148,100.0,06030
6,32,192,192,100.0,06032
6,33,241,241,100.0,06033
6,36,102,102,100.0,06036
6,39,161,161,100.0,06039
6,40,110,110,100.0,06040
6,42,89,89,100.0,06042
6,48,175,175,100.0,06048
6,49,197,197,100.0,06049
6,55,162,162,100.0,06055
6,56,133,133,100.0,06056
6,61,122,122,100.0,06061
7,9,161,161,100.0,07009
7,35,80,80,100.0,07035
7,40,172,172,100.0,07040
7,48,60,60,100.0,07048
7,50,114,114,100.0,07050
7,64,139,139,100.0,07064
8,57,115,115,100.0,08057
8,67,89,89,100.0,08067
8,68,103,103,100.0,08068
8,69,128,128,100.0,08069
