ward,precinct,total,William A. Marovitz,William A. Marovitz Percent,Patrick D. McDonough,Patrick D. McDonough Percent,precinct_id
50,4,103,67,65.05,36,34.95,50004
50,5,101,84,83.17,17,16.83,50005
50,6,119,70,58.82,49,41.18,50006
50,7,146,89,60.96,57,39.04,50007
50,8,81,41,50.62,40,49.38,50008
50,9,96,64,66.67,32,33.33,50009
50,10,70,55,78.57,15,21.43,50010
50,11,105,88,83.81,17,16.19,50011
50,12,141,132,93.62,9,6.38,50012
50,13,115,67,58.26,48,41.74,50013
50,14,97,91,93.81,6,6.19,50014
50,15,156,100,64.1,56,35.9,50015
50,16,98,91,92.86,7,7.14,50016
50,17,76,55,72.37,21,27.63,50017
50,18,98,75,76.53,23,23.47,50018
50,19,98,61,62.24,37,37.76,50019
50,20,87,51,58.62,36,41.38,50020
50,21,123,82,66.67,41,33.33,50021
50,22,97,51,52.58,46,47.42,50022
50,23,75,44,58.67,31,41.33,50023
50,24,91,53,58.24,38,41.76,50024
50,25,88,68,77.27,20,22.73,50025
50,26,72,45,62.5,27,37.5,50026
50,27,67,56,83.58,11,16.42,50027
50,28,68,37,54.41,31,45.59,50028
50,29,110,60,54.55,50,45.45,50029
50,30,104,85,81.73,19,18.27,50030
50,31,72,69,95.83,3,4.17,50031
50,32,80,41,51.25,39,48.75,50032
50,33,69,45,65.22,24,34.78,50033
50,34,133,109,81.95,24,18.05,50034
50,35,141,90,63.83,51,36.17,50035
50,36,106,61,57.55,45,42.45,50036
50,37,138,89,64.49,49,35.51,50037
50,38,139,128,92.09,11,7.91,50038
50,39,116,75,64.66,41,35.34,50039
50,40,108,84,77.78,24,22.22,50040
50,41,133,104,78.2,29,21.8,50041
50,42,119,67,56.3,52,43.7,50042
50,43,88,54,61.36,34,38.64,50043
