ward,precinct,total,Casandra Lewis,Casandra Lewis Percent,Michael James Murphy,Michael James Murphy Percent,Deborah Mary Dooling,Deborah Mary Dooling Percent,Kathleen G. Kennedy,Kathleen G. Kennedy Percent,Christine Patricia Curran,Christine Patricia Curran Percent,precinct_id
3,40,92,76,82.61,7,7.61,3,3.26,3,3.26,3,3.26,03040
3,41,123,80,65.04,16,13.01,8,6.5,13,10.57,6,4.88,03041
3,42,86,45,52.33,26,30.23,3,3.49,7,8.14,5,5.81,03042
3,43,45,14,31.11,14,31.11,7,15.56,6,13.33,4,8.89,03043
3,44,48,30,62.5,6,12.5,4,8.33,4,8.33,4,8.33,03044
3,45,83,40,48.19,16,19.28,9,10.84,14,16.87,4,4.82,03045
3,46,61,36,59.02,8,13.11,6,9.84,9,14.75,2,3.28,03046
3,47,91,48,52.75,21,23.08,6,6.59,13,14.29,3,3.3,03047
3,48,92,59,,16,,4,,13,,0,,03048
3,49,42,25,59.52,11,26.19,4,9.52,1,2.38,1,2.38,03049
3,50,110,69,62.73,16,14.55,8,7.27,10,9.09,7,6.36,03050
3,51,48,12,25.0,13,27.08,6,12.5,11,22.92,6,12.5,03051
3,52,53,27,50.94,12,22.64,4,7.55,9,16.98,1,1.89,03052
3,53,108,55,50.93,19,17.59,6,5.56,17,15.74,11,10.19,03053
3,54,142,43,30.28,34,23.94,23,16.2,28,19.72,14,9.86,03054
4,1,133,49,36.84,39,29.32,18,13.53,20,15.04,7,5.26,04001
4,2,231,125,54.11,72,31.17,10,4.33,21,9.09,3,1.3,04002
4,3,208,83,39.9,77,37.02,13,6.25,22,10.58,13,6.25,04003
4,4,199,89,44.72,72,36.18,20,10.05,13,6.53,5,2.51,04004
4,5,176,99,56.25,42,23.86,15,8.52,12,6.82,8,4.55,04005
4,6,79,41,51.9,26,32.91,3,3.8,8,10.13,1,1.27,04006
4,7,166,79,47.59,62,37.35,6,3.61,13,7.83,6,3.61,04007
4,8,195,83,42.56,74,37.95,11,5.64,19,9.74,8,4.1,04008
4,9,354,172,48.59,107,30.23,16,4.52,42,11.86,17,4.8,04009
4,10,186,93,50.0,55,29.57,16,8.6,16,8.6,6,3.23,04010
4,11,154,92,59.74,36,23.38,8,5.19,14,9.09,4,2.6,04011
4,12,95,48,50.53,31,32.63,4,4.21,7,7.37,5,5.26,04012
4,13,126,69,54.76,28,22.22,17,13.49,11,8.73,1,0.79,04013
4,14,122,52,42.62,42,34.43,9,7.38,14,11.48,5,4.1,04014
4,15,110,56,50.91,26,23.64,11,10.0,11,10.0,6,5.45,04015
4,16,211,109,51.66,60,28.44,12,5.69,19,9.0,11,5.21,04016
4,17,152,61,40.13,60,39.47,13,8.55,15,9.87,3,1.97,04017
4,18,185,94,50.81,62,33.51,10,5.41,13,7.03,6,3.24,04018
4,19,186,104,55.91,46,24.73,11,5.91,19,10.22,6,3.23,04019
4,20,65,23,35.38,29,44.62,6,9.23,5,7.69,2,3.08,04020
4,21,206,112,54.37,53,25.73,18,8.74,17,8.25,6,2.91,04021
4,22,228,86,37.72,69,30.26,24,10.53,37,16.23,12,5.26,04022
4,23,125,56,44.8,39,31.2,9,7.2,14,11.2,7,5.6,04023
4,24,184,74,40.22,72,39.13,13,7.07,20,10.87,5,2.72,04024
4,25,196,109,55.61,56,28.57,7,3.57,20,10.2,4,2.04,04025
4,26,170,95,55.88,50,29.41,8,4.71,10,5.88,7,4.12,04026
4,27,171,82,47.95,57,33.33,9,5.26,15,8.77,8,4.68,04027
4,28,102,34,33.33,29,28.43,15,14.71,21,20.59,3,2.94,04028
4,29,140,50,35.71,39,27.86,12,8.57,31,22.14,8,5.71,04029
4,30,28,6,,14,,3,,5,,0,,04030
4,31,98,60,61.22,19,19.39,4,4.08,11,11.22,4,4.08,04031
4,32,156,50,32.05,50,32.05,23,14.74,25,16.03,8,5.13,04032
4,33,95,51,53.68,24,25.26,2,2.11,11,11.58,7,7.37,04033
4,34,115,25,21.74,43,37.39,17,14.78,23,20.0,7,6.09,04034
4,35,97,42,43.3,28,28.87,11,11.34,12,12.37,4,4.12,04035
4,36,80,42,52.5,18,22.5,10,12.5,8,10.0,2,2.5,04036
4,37,53,29,54.72,12,22.64,4,7.55,5,9.43,3,5.66,04037
4,38,246,95,38.62,92,37.4,15,6.1,27,10.98,17,6.91,04038
4,39,92,39,42.39,36,39.13,5,5.43,6,6.52,6,6.52,04039
4,40,131,51,38.93,44,33.59,10,7.63,16,12.21,10,7.63,04040
4,41,76,24,31.58,19,25.0,16,21.05,16,21.05,1,1.32,04041
4,42,211,113,53.55,50,23.7,16,7.58,21,9.95,11,5.21,04042
4,43,110,40,36.36,34,30.91,8,7.27,22,20.0,6,5.45,04043
4,44,99,39,39.39,35,35.35,9,9.09,11,11.11,5,5.05,04044
4,45,348,150,43.1,134,38.51,16,4.6,31,8.91,17,4.89,04045
4,46,127,60,47.24,45,35.43,9,7.09,9,7.09,4,3.15,04046
4,47,197,76,38.58,80,40.61,9,4.57,22,11.17,10,5.08,04047
4,48,229,94,41.05,67,29.26,20,8.73,41,17.9,7,3.06,04048
4,49,140,64,45.71,40,28.57,11,7.86,18,12.86,7,5.0,04049
4,50,154,75,48.7,47,30.52,10,6.49,17,11.04,5,3.25,04050
4,51,213,122,57.28,52,24.41,10,4.69,26,12.21,3,1.41,04051
4,52,226,129,57.08,54,23.89,12,5.31,21,9.29,10,4.42,04052
