ward,precinct,total,"Michael J. Howlett, Jr.","Michael J. Howlett, Jr. Percent",Margaret Ann (Meg) Carey,Margaret Ann (Meg) Carey Percent,precinct_id
21,37,96,61,63.54,35,36.46,21037
21,38,156,105,67.31,51,32.69,21038
21,39,135,87,64.44,48,35.56,21039
21,40,175,120,68.57,55,31.43,21040
21,41,132,88,66.67,44,33.33,21041
21,42,167,111,66.47,56,33.53,21042
21,43,124,77,62.1,47,37.9,21043
21,44,153,98,64.05,55,35.95,21044
21,45,127,84,66.14,43,33.86,21045
21,46,94,71,75.53,23,24.47,21046
21,47,219,148,67.58,71,32.42,21047
21,48,210,139,66.19,71,33.81,21048
21,49,224,157,70.09,67,29.91,21049
21,50,139,93,66.91,46,33.09,21050
21,51,177,108,61.02,69,38.98,21051
21,52,178,124,69.66,54,30.34,21052
21,53,112,70,62.5,42,37.5,21053
21,54,173,114,65.9,59,34.1,21054
21,55,171,107,62.57,64,37.43,21055
21,56,124,76,61.29,48,38.71,21056
21,57,136,90,66.18,46,33.82,21057
21,58,136,83,61.03,53,38.97,21058
21,59,207,155,74.88,52,25.12,21059
21,60,178,106,59.55,72,40.45,21060
21,61,157,95,60.51,62,39.49,21061
21,62,181,113,62.43,68,37.57,21062
21,63,165,121,73.33,44,26.67,21063
21,64,98,66,67.35,32,32.65,21064
21,65,242,167,69.01,75,30.99,21065
21,66,121,70,57.85,51,42.15,21066
21,67,149,81,54.36,68,45.64,21067
21,68,165,120,72.73,45,27.27,21068
21,69,130,89,68.46,41,31.54,21069
21,70,163,115,70.55,48,29.45,21070
21,71,132,84,63.64,48,36.36,21071
21,72,140,89,63.57,51,36.43,21072
21,73,198,134,67.68,64,32.32,21073
21,74,55,34,61.82,21,38.18,21074
22,1,70,41,58.57,29,41.43,22001
22,2,55,31,56.36,24,43.64,22002
22,3,107,57,53.27,50,46.73,22003
22,4,91,49,53.85,42,46.15,22004
22,5,96,60,62.5,36,37.5,22005
22,6,99,73,73.74,26,26.26,22006
22,7,105,69,65.71,36,34.29,22007
22,8,71,38,53.52,33,46.48,22008
22,9,103,58,56.31,45,43.69,22009
22,10,80,40,50.0,40,50.0,22010
22,11,71,41,57.75,30,42.25,22011
22,12,80,41,51.25,39,48.75,22012
22,13,104,49,47.12,55,52.88,22013
22,14,65,27,41.54,38,58.46,22014
22,15,77,42,54.55,35,45.45,22015
22,16,106,59,55.66,47,44.34,22016
22,17,88,49,55.68,39,44.32,22017
22,18,100,54,54.0,46,46.0,22018
22,19,87,55,63.22,32,36.78,22019
22,20,117,62,52.99,55,47.01,22020
22,21,136,96,70.59,40,29.41,22021
22,22,66,42,63.64,24,36.36,22022
22,23,95,57,60.0,38,40.0,22023
22,24,67,30,44.78,37,55.22,22024
22,25,71,44,61.97,27,38.03,22025
22,26,78,33,42.31,45,57.69,22026
22,27,98,60,61.22,38,38.78,22027
22,28,58,29,50.0,29,50.0,22028
22,29,60,37,61.67,23,38.33,22029
23,1,172,110,63.95,62,36.05,23001
23,2,197,116,58.88,81,41.12,23002
23,3,158,84,53.16,74,46.84,23003
23,4,161,91,56.52,70,43.48,23004
23,5,149,92,61.74,57,38.26,23005
23,6,174,118,67.82,56,32.18,23006
23,7,62,47,75.81,15,24.19,23007
23,8,182,122,67.03,60,32.97,23008
23,9,167,83,49.7,84,50.3,23009
23,10,206,156,75.73,50,24.27,23010
23,11,200,99,49.5,101,50.5,23011
23,12,192,118,61.46,74,38.54,23012
23,13,221,132,59.73,89,40.27,23013
23,14,73,53,72.6,20,27.4,23014
23,15,148,86,58.11,62,41.89,23015
23,16,185,110,59.46,75,40.54,23016
23,17,216,126,58.33,90,41.67,23017
23,18,138,82,59.42,56,40.58,23018
23,19,155,76,49.03,79,50.97,23019
23,20,173,108,62.43,65,37.57,23020
23,21,144,90,62.5,54,37.5,23021
23,22,178,109,61.24,69,38.76,23022
23,23,143,83,58.04,60,41.96,23023
23,24,90,46,51.11,44,48.89,23024
