ward,precinct,total,Eileen Mary Brewer,Eileen Mary Brewer Percent,Joy Virginia Cunningham,Joy Virginia Cunningham Percent,James Michael Bailey,James Michael Bailey Percent,Barbara Ann Riley,Barbara Ann Riley Percent,precinct_id
36,16,228,36,15.79,49,21.49,22,9.65,29,12.72,36016
36,17,118,13,11.02,5,4.24,18,15.25,24,20.34,36017
36,18,163,26,15.95,17,10.43,26,15.95,37,22.7,36018
36,19,148,17,11.49,14,9.46,16,10.81,25,16.89,36019
36,20,135,8,5.93,17,12.59,14,10.37,19,14.07,36020
36,21,196,14,7.14,26,13.27,23,11.73,31,15.82,36021
36,22,164,25,15.24,30,18.29,18,10.98,34,20.73,36022
36,23,86,9,10.47,15,17.44,5,5.81,8,9.3,36023
36,24,147,17,11.56,26,17.69,11,7.48,22,14.97,36024
36,25,87,11,12.64,13,14.94,7,8.05,18,20.69,36025
36,26,126,18,14.29,27,21.43,13,10.32,25,19.84,36026
36,27,74,8,10.81,9,12.16,16,21.62,11,14.86,36027
36,28,133,15,11.28,11,8.27,16,12.03,16,12.03,36028
36,29,109,8,7.34,18,16.51,14,12.84,19,17.43,36029
36,30,133,20,15.04,22,16.54,25,18.8,18,13.53,36030
36,31,135,14,10.37,14,10.37,13,9.63,11,8.15,36031
36,32,118,12,10.17,19,16.1,18,15.25,26,22.03,36032
36,33,125,14,11.2,28,22.4,20,16.0,18,14.4,36033
36,34,95,13,13.68,17,17.89,13,13.68,17,17.89,36034
36,35,174,15,8.62,20,11.49,18,10.34,21,12.07,36035
36,36,98,19,19.39,22,22.45,10,10.2,18,18.37,36036
36,37,87,9,10.34,18,20.69,13,14.94,13,14.94,36037
36,38,77,7,9.09,16,20.78,5,6.49,15,19.48,36038
36,39,113,13,11.5,12,10.62,16,14.16,21,18.58,36039
36,40,114,16,14.04,14,12.28,28,24.56,18,15.79,36040
36,41,89,14,15.73,11,12.36,11,12.36,18,20.22,36041
36,42,91,11,12.09,10,10.99,14,15.38,14,15.38,36042
36,43,82,8,9.76,15,18.29,14,17.07,13,15.85,36043
36,44,160,21,13.13,30,18.75,15,9.38,28,17.5,36044
36,45,155,18,11.61,28,18.06,19,12.26,22,14.19,36045
36,46,93,14,15.05,18,19.35,10,10.75,12,12.9,36046
36,47,105,13,12.38,16,15.24,8,7.62,19,18.1,36047
36,48,107,9,8.41,14,13.08,21,19.63,19,17.76,36048
36,49,133,12,9.02,26,19.55,27,20.3,19,14.29,36049
36,50,126,11,8.73,12,9.52,11,8.73,18,14.29,36050
36,51,162,19,11.73,20,12.35,13,8.02,17,10.49,36051
36,52,103,19,18.45,11,10.68,13,12.62,22,21.36,36052
36,53,92,14,15.22,9,9.78,10,10.87,7,7.61,36053
36,54,178,24,13.48,38,21.35,15,8.43,26,14.61,36054
