ward,precinct,total,Marlow H. Colvin,Marlow H. Colvin Percent,Emerson Douyon,Emerson Douyon Percent,Derrick T. Prince,Derrick T. Prince Percent,precinct_id
8,46,168,140,83.33,3,1.79,25,14.88,08046
8,48,172,154,89.53,2,1.16,16,9.3,08048
8,49,242,201,83.06,5,2.07,36,14.88,08049
8,50,216,171,79.17,12,5.56,33,15.28,08050
8,51,241,182,75.52,13,5.39,46,19.09,08051
8,52,224,189,84.38,7,3.13,28,12.5,08052
8,53,247,219,88.66,4,1.62,24,9.72,08053
8,54,219,177,80.82,17,7.76,25,11.42,08054
8,55,155,123,79.35,5,3.23,27,17.42,08055
8,57,112,90,80.36,6,5.36,16,14.29,08057
8,58,227,175,77.09,18,7.93,34,14.98,08058
8,60,156,121,77.56,10,6.41,25,16.03,08060
8,61,161,130,80.75,11,6.83,20,12.42,08061
8,62,194,155,79.9,5,2.58,34,17.53,08062
8,63,238,209,87.82,5,2.1,24,10.08,08063
8,64,160,135,84.38,5,3.13,20,12.5,08064
8,65,129,105,81.4,5,3.88,19,14.73,08065
10,3,85,57,67.06,22,25.88,6,7.06,10003
10,6,137,106,77.37,10,7.3,21,15.33,10006
10,8,103,79,76.7,12,11.65,12,11.65,10008
10,9,106,82,77.36,11,10.38,13,12.26,10009
10,10,88,63,71.59,16,18.18,9,10.23,10010
10,11,102,62,60.78,28,27.45,12,11.76,10011
10,12,79,59,74.68,15,18.99,5,6.33,10012
10,13,105,81,77.14,15,14.29,9,8.57,10013
10,14,101,70,69.31,18,17.82,13,12.87,10014
10,16,118,89,75.42,11,9.32,18,15.25,10016
10,19,125,90,72.0,27,21.6,8,6.4,10019
10,20,67,55,82.09,8,11.94,4,5.97,10020
10,23,93,66,70.97,11,11.83,16,17.2,10023
10,24,85,63,74.12,15,17.65,7,8.24,10024
10,26,81,52,64.2,18,22.22,11,13.58,10026
10,27,125,92,73.6,20,16.0,13,10.4,10027
10,28,102,67,65.69,11,10.78,24,23.53,10028
10,29,129,92,71.32,13,10.08,24,18.6,10029
10,30,112,77,68.75,16,14.29,19,16.96,10030
10,31,99,63,63.64,20,20.2,16,16.16,10031
10,32,86,47,54.65,25,29.07,14,16.28,10032
10,33,86,68,79.07,9,10.47,9,10.47,10033
10,34,97,56,57.73,20,20.62,21,21.65,10034
10,35,103,69,66.99,20,19.42,14,13.59,10035
10,36,130,100,76.92,9,6.92,21,16.15,10036
10,38,110,71,64.55,23,20.91,16,14.55,10038
10,39,96,67,69.79,21,21.88,8,8.33,10039
10,40,85,66,77.65,10,11.76,9,10.59,10040
10,41,117,78,66.67,30,25.64,9,7.69,10041
10,42,68,42,61.76,15,22.06,11,16.18,10042
10,44,95,62,65.26,19,20.0,14,14.74,10044
10,46,99,73,73.74,14,14.14,12,12.12,10046
10,49,2,1,,0,,1,,10049
