ward,precinct,total,Marguerite Anne Quinn,Marguerite Anne Quinn Percent,Martha A. Mills,Martha A. Mills Percent,Patrick W. ''Pat'' O'Brien,Patrick W. ''Pat'' O'Brien Percent,Thomas ''TJ'' Loftus,Thomas ''TJ'' Loftus Percent,Susan Mary Matyus,Susan Mary Matyus Percent,John Martin Stalmack,John Martin Stalmack Percent,Phyllis F. Ringer-Taylor,Phyllis F. Ringer-Taylor Percent,precinct_id
2,28,31,5,,15,,5,,0,,0,,1,,5,,02028
2,29,38,8,,9,,8,,2,,0,,5,,6,,02029
2,30,60,16,26.67,6,10.0,14,23.33,5,8.33,2,3.33,5,8.33,12,20.0,02030
2,31,163,30,18.4,26,15.95,26,15.95,13,7.98,4,2.45,14,8.59,50,30.67,02031
2,32,52,15,28.85,5,9.62,12,23.08,4,7.69,1,1.92,5,9.62,10,19.23,02032
2,33,64,10,,6,,18,,3,,0,,11,,16,,02033
2,34,138,16,11.59,18,13.04,31,22.46,7,5.07,6,4.35,15,10.87,45,32.61,02034
2,35,27,7,25.93,8,29.63,1,3.7,5,18.52,2,7.41,2,7.41,2,7.41,02035
2,36,57,14,24.56,3,5.26,17,29.82,1,1.75,3,5.26,11,19.3,8,14.04,02036
2,37,131,34,25.95,33,25.19,16,12.21,5,3.82,8,6.11,13,9.92,22,16.79,02037
2,38,136,34,25.0,19,13.97,30,22.06,8,5.88,5,3.68,16,11.76,24,17.65,02038
2,39,87,19,21.84,10,11.49,16,18.39,6,6.9,6,6.9,15,17.24,15,17.24,02039
2,40,148,33,22.3,28,18.92,28,18.92,6,4.05,6,4.05,8,5.41,39,26.35,02040
2,41,59,13,22.03,6,10.17,16,27.12,4,6.78,1,1.69,5,8.47,14,23.73,02041
2,42,20,4,,5,,4,,0,,1,,2,,4,,02042
2,43,179,31,17.32,49,27.37,34,18.99,9,5.03,8,4.47,22,12.29,26,14.53,02043
2,44,121,26,21.49,8,6.61,17,14.05,8,6.61,7,5.79,18,14.88,37,30.58,02044
2,45,90,17,18.89,9,10.0,23,25.56,5,5.56,4,4.44,5,5.56,27,30.0,02045
2,46,211,24,11.37,33,15.64,26,12.32,15,7.11,6,2.84,24,11.37,83,39.34,02046
2,47,110,27,24.55,12,10.91,25,22.73,13,11.82,3,2.73,7,6.36,23,20.91,02047
2,48,91,15,16.48,6,6.59,27,29.67,4,4.4,4,4.4,16,17.58,19,20.88,02048
2,49,87,14,16.09,34,39.08,12,13.79,7,8.05,9,10.34,1,1.15,10,11.49,02049
2,50,71,7,9.86,13,18.31,21,29.58,7,9.86,6,8.45,4,5.63,13,18.31,02050
2,51,66,17,25.76,8,12.12,13,19.7,5,7.58,1,1.52,14,21.21,8,12.12,02051
2,52,138,33,23.91,19,13.77,27,19.57,3,2.17,7,5.07,14,10.14,35,25.36,02052
2,53,40,4,10.0,8,20.0,10,25.0,5,12.5,5,12.5,3,7.5,5,12.5,02053
2,54,106,18,16.98,43,40.57,7,6.6,7,6.6,9,8.49,6,5.66,16,15.09,02054
2,55,30,7,23.33,9,30.0,3,10.0,4,13.33,1,3.33,1,3.33,5,16.67,02055
2,56,123,20,16.26,12,9.76,22,17.89,7,5.69,5,4.07,12,9.76,45,36.59,02056
2,57,104,26,25.0,11,10.58,18,17.31,9,8.65,3,2.88,13,12.5,24,23.08,02057
2,58,48,7,14.58,13,27.08,7,14.58,2,4.17,4,8.33,5,10.42,10,20.83,02058
2,59,145,25,17.24,44,30.34,26,17.93,7,4.83,6,4.14,20,13.79,17,11.72,02059
2,60,133,27,20.3,40,30.08,31,23.31,11,8.27,8,6.02,7,5.26,9,6.77,02060
2,61,75,13,17.33,15,20.0,10,13.33,5,6.67,7,9.33,11,14.67,14,18.67,02061
3,1,147,38,25.85,11,7.48,28,19.05,9,6.12,1,0.68,7,4.76,53,36.05,03001
3,2,209,27,12.92,35,16.75,37,17.7,7,3.35,8,3.83,11,5.26,84,40.19,03002
3,3,92,23,25.0,15,16.3,19,20.65,2,2.17,1,1.09,3,3.26,29,31.52,03003
3,4,100,16,,10,,17,,8,,0,,2,,47,,03004
3,5,143,18,12.59,20,13.99,29,20.28,9,6.29,1,0.7,9,6.29,57,39.86,03005
3,6,47,14,29.79,10,21.28,13,27.66,1,2.13,1,2.13,1,2.13,7,14.89,03006
3,7,138,27,19.57,26,18.84,23,16.67,8,5.8,7,5.07,8,5.8,39,28.26,03007
3,8,34,7,20.59,5,14.71,12,35.29,1,2.94,1,2.94,1,2.94,7,20.59,03008
3,9,112,21,18.75,17,15.18,17,15.18,7,6.25,5,4.46,9,8.04,36,32.14,03009
3,10,54,11,20.37,8,14.81,9,16.67,1,1.85,2,3.7,1,1.85,22,40.74,03010
3,11,140,19,13.57,10,7.14,12,8.57,5,3.57,1,0.71,10,7.14,83,59.29,03011
3,12,135,27,20.0,14,10.37,26,19.26,7,5.19,5,3.7,7,5.19,49,36.3,03012
3,13,81,22,27.16,12,14.81,26,32.1,2,2.47,9,11.11,3,3.7,7,8.64,03013
3,14,89,19,21.35,12,13.48,14,15.73,8,8.99,1,1.12,7,7.87,28,31.46,03014
3,15,120,22,18.33,12,10.0,24,20.0,4,3.33,3,2.5,3,2.5,52,43.33,03015
3,16,132,14,10.61,11,8.33,18,13.64,6,4.55,6,4.55,3,2.27,74,56.06,03016
3,17,91,19,20.88,9,9.89,19,20.88,3,3.3,3,3.3,6,6.59,32,35.16,03017
3,18,97,20,,11,,16,,5,,0,,3,,42,,03018
3,19,7,2,,0,,3,,1,,0,,0,,1,,03019
3,20,96,19,19.79,14,14.58,10,10.42,7,7.29,3,3.13,5,5.21,38,39.58,03020
3,21,53,9,16.98,11,20.75,7,13.21,1,1.89,2,3.77,4,7.55,19,35.85,03021
3,22,77,11,14.29,7,9.09,15,19.48,2,2.6,1,1.3,4,5.19,37,48.05,03022
3,23,25,5,20.0,1,4.0,11,44.0,1,4.0,1,4.0,2,8.0,4,16.0,03023
3,24,98,21,21.43,10,10.2,20,20.41,2,2.04,3,3.06,8,8.16,34,34.69,03024
3,25,105,11,10.48,7,6.67,18,17.14,6,5.71,2,1.9,13,12.38,48,45.71,03025
3,26,114,17,14.91,19,16.67,21,18.42,1,0.88,5,4.39,4,3.51,47,41.23,03026
3,27,129,23,17.83,17,13.18,34,26.36,4,3.1,5,3.88,11,8.53,35,27.13,03027
3,28,48,15,31.25,4,8.33,6,12.5,5,10.42,2,4.17,3,6.25,13,27.08,03028
3,29,96,32,33.33,5,5.21,31,32.29,6,6.25,3,3.13,8,8.33,11,11.46,03029
3,30,117,19,16.24,18,15.38,19,16.24,8,6.84,2,1.71,6,5.13,45,38.46,03030
3,31,180,33,18.33,18,10.0,22,12.22,13,7.22,3,1.67,14,7.78,77,42.78,03031
3,32,86,11,12.79,6,6.98,17,19.77,3,3.49,2,2.33,1,1.16,46,53.49,03032
3,33,149,31,20.81,15,10.07,35,23.49,4,2.68,11,7.38,3,2.01,50,33.56,03033
3,34,94,12,12.77,11,11.7,18,19.15,9,9.57,1,1.06,3,3.19,40,42.55,03034
3,35,106,17,16.04,9,8.49,15,14.15,5,4.72,2,1.89,4,3.77,54,50.94,03035
3,36,55,11,20.0,8,14.55,6,10.91,4,7.27,1,1.82,2,3.64,23,41.82,03036
3,37,46,10,21.74,8,17.39,5,10.87,3,6.52,1,2.17,3,6.52,16,34.78,03037
3,38,157,33,21.02,15,9.55,27,17.2,9,5.73,7,4.46,9,5.73,57,36.31,03038
3,39,201,33,16.42,27,13.43,24,11.94,8,3.98,6,2.99,13,6.47,90,44.78,03039
3,40,93,16,,7,,12,,5,,1,,0,,52,,03040
3,41,123,20,16.26,15,12.2,22,17.89,6,4.88,2,1.63,4,3.25,54,43.9,03041
3,42,85,20,23.53,11,12.94,20,23.53,4,4.71,5,5.88,9,10.59,16,18.82,03042
3,43,46,12,26.09,5,10.87,11,23.91,2,4.35,1,2.17,1,2.17,14,30.43,03043
3,44,47,10,21.28,4,8.51,8,17.02,4,8.51,3,6.38,3,6.38,15,31.91,03044
3,45,78,15,19.23,8,10.26,20,25.64,6,7.69,1,1.28,3,3.85,25,32.05,03045
3,46,60,16,26.67,4,6.67,18,30.0,7,11.67,2,3.33,4,6.67,9,15.0,03046
3,47,86,14,16.28,17,19.77,18,20.93,2,2.33,6,6.98,6,6.98,23,26.74,03047
3,48,88,15,17.05,7,7.95,21,23.86,3,3.41,4,4.55,3,3.41,35,39.77,03048
3,49,42,8,19.05,6,14.29,8,19.05,4,9.52,1,2.38,3,7.14,12,28.57,03049
3,50,105,13,,13,,23,,6,,3,,0,,47,,03050
3,51,47,9,19.15,9,19.15,18,38.3,3,6.38,1,2.13,2,4.26,5,10.64,03051
3,52,55,10,18.18,4,7.27,16,29.09,1,1.82,1,1.82,3,5.45,20,36.36,03052
3,53,99,15,15.15,16,16.16,12,12.12,5,5.05,7,7.07,6,6.06,38,38.38,03053
3,54,138,19,13.77,32,23.19,25,18.12,18,13.04,10,7.25,8,5.8,26,18.84,03054
4,1,129,20,15.5,59,45.74,12,9.3,4,3.1,6,4.65,4,3.1,24,18.6,04001
4,2,219,36,16.44,84,38.36,23,10.5,12,5.48,4,1.83,5,2.28,55,25.11,04002
4,3,196,33,16.84,62,31.63,32,16.33,8,4.08,7,3.57,14,7.14,40,20.41,04003
4,4,181,33,18.23,42,23.2,37,20.44,7,3.87,7,3.87,11,6.08,44,24.31,04004
4,5,168,24,14.29,31,18.45,31,18.45,13,7.74,5,2.98,5,2.98,59,35.12,04005
4,6,74,7,9.46,19,25.68,10,13.51,2,2.7,1,1.35,5,6.76,30,40.54,04006
4,7,164,18,,45,,20,,17,,0,,19,,45,,04007
4,8,189,29,15.34,81,42.86,23,12.17,8,4.23,4,2.12,8,4.23,36,19.05,04008
4,9,337,48,14.24,114,33.83,36,10.68,18,5.34,8,2.37,21,6.23,92,27.3,04009
4,10,186,35,18.82,59,31.72,32,17.2,10,5.38,4,2.15,6,3.23,40,21.51,04010
4,11,150,28,18.67,29,19.33,35,23.33,6,4.0,6,4.0,5,3.33,41,27.33,04011
4,12,94,21,22.34,28,29.79,16,17.02,6,6.38,2,2.13,1,1.06,20,21.28,04012
4,13,111,17,15.32,44,39.64,10,9.01,5,4.5,6,5.41,4,3.6,25,22.52,04013
4,14,117,17,14.53,34,29.06,24,20.51,9,7.69,2,1.71,11,9.4,20,17.09,04014
4,15,108,21,19.44,32,29.63,14,12.96,9,8.33,1,0.93,3,2.78,28,25.93,04015
4,16,198,39,19.7,46,23.23,26,13.13,16,8.08,11,5.56,10,5.05,50,25.25,04016
4,17,152,24,15.79,60,39.47,15,9.87,6,3.95,7,4.61,6,3.95,34,22.37,04017
4,18,181,30,16.57,68,37.57,17,9.39,5,2.76,9,4.97,3,1.66,49,27.07,04018
4,19,177,25,14.12,40,22.6,37,20.9,9,5.08,6,3.39,9,5.08,51,28.81,04019
4,20,68,11,16.18,23,33.82,16,23.53,4,5.88,2,2.94,5,7.35,7,10.29,04020
4,21,185,35,18.92,66,35.68,27,14.59,9,4.86,4,2.16,8,4.32,36,19.46,04021
4,22,212,36,16.98,89,41.98,31,14.62,6,2.83,7,3.3,7,3.3,36,16.98,04022
4,23,120,13,10.83,41,34.17,11,9.17,2,1.67,1,0.83,5,4.17,47,39.17,04023
4,24,182,26,14.29,69,37.91,23,12.64,8,4.4,2,1.1,10,5.49,44,24.18,04024
4,25,192,28,14.58,68,35.42,15,7.81,14,7.29,3,1.56,5,2.6,59,30.73,04025
4,26,164,27,16.46,34,20.73,24,14.63,16,9.76,5,3.05,5,3.05,53,32.32,04026
4,27,160,26,16.25,49,30.63,20,12.5,8,5.0,4,2.5,9,5.63,44,27.5,04027
4,28,102,11,10.78,52,50.98,15,14.71,7,6.86,1,0.98,2,1.96,14,13.73,04028
4,29,139,24,17.27,58,41.73,15,10.79,8,5.76,4,2.88,8,5.76,22,15.83,04029
4,30,26,7,,5,,6,,1,,0,,3,,4,,04030
4,31,93,22,23.66,23,24.73,8,8.6,6,6.45,4,4.3,6,6.45,24,25.81,04031
4,32,150,16,10.67,75,50.0,11,7.33,10,6.67,5,3.33,10,6.67,23,15.33,04032
4,33,92,13,14.13,23,25.0,13,14.13,7,7.61,1,1.09,4,4.35,31,33.7,04033
4,34,109,24,22.02,48,44.04,8,7.34,5,4.59,6,5.5,3,2.75,15,13.76,04034
4,35,95,12,12.63,18,18.95,27,28.42,5,5.26,2,2.11,5,5.26,26,27.37,04035
4,36,77,17,22.08,24,31.17,6,7.79,7,9.09,2,2.6,2,2.6,19,24.68,04036
4,37,56,12,21.43,10,17.86,12,21.43,5,8.93,3,5.36,2,3.57,12,21.43,04037
4,38,233,37,15.88,105,45.06,13,5.58,7,3.0,9,3.86,7,3.0,55,23.61,04038
4,39,89,12,13.48,39,43.82,18,20.22,2,2.25,2,2.25,3,3.37,13,14.61,04039
4,40,131,20,15.27,45,34.35,22,16.79,10,7.63,4,3.05,7,5.34,23,17.56,04040
4,41,76,20,26.32,30,39.47,6,7.89,3,3.95,5,6.58,4,5.26,8,10.53,04041
4,42,203,26,12.81,42,20.69,29,14.29,16,7.88,5,2.46,15,7.39,70,34.48,04042
4,43,107,15,14.02,55,51.4,9,8.41,5,4.67,6,5.61,5,4.67,12,11.21,04043
4,44,103,19,18.45,39,37.86,10,9.71,4,3.88,2,1.94,9,8.74,20,19.42,04044
4,45,334,39,11.68,146,43.71,19,5.69,11,3.29,12,3.59,15,4.49,92,27.54,04045
4,46,125,18,14.4,41,32.8,20,16.0,7,5.6,4,3.2,6,4.8,29,23.2,04046
4,47,195,27,13.85,98,50.26,24,12.31,3,1.54,7,3.59,12,6.15,24,12.31,04047
4,48,219,35,15.98,111,50.68,18,8.22,12,5.48,6,2.74,6,2.74,31,14.16,04048
4,49,133,33,24.81,29,21.8,31,23.31,7,5.26,7,5.26,8,6.02,18,13.53,04049
4,50,159,34,21.38,51,32.08,24,15.09,6,3.77,6,3.77,9,5.66,29,18.24,04050
4,51,197,27,13.71,59,29.95,29,14.72,17,8.63,4,2.03,10,5.08,51,25.89,04051
4,52,212,54,25.47,39,18.4,37,17.45,15,7.08,6,2.83,8,3.77,53,25.0,04052
4,53,150,24,16.0,31,20.67,28,18.67,7,4.67,4,2.67,8,5.33,48,32.0,04053
4,54,77,14,18.18,24,31.17,10,12.99,7,9.09,4,5.19,5,6.49,13,16.88,04054
4,55,84,8,9.52,59,70.24,5,5.95,2,2.38,2,2.38,3,3.57,5,5.95,04055
5,1,159,24,15.09,21,13.21,25,15.72,16,10.06,3,1.89,15,9.43,55,34.59,05001
5,2,138,30,21.74,21,15.22,26,18.84,9,6.52,5,3.62,21,15.22,26,18.84,05002
5,3,74,12,16.22,18,24.32,8,10.81,4,5.41,2,2.7,17,22.97,13,17.57,05003
5,4,122,24,19.67,20,16.39,13,10.66,6,4.92,5,4.1,16,13.11,38,31.15,05004
5,5,136,28,20.59,15,11.03,33,24.26,5,3.68,5,3.68,12,8.82,38,27.94,05005
5,6,181,40,22.1,20,11.05,39,21.55,15,8.29,1,0.55,14,7.73,52,28.73,05006
5,7,169,27,15.98,25,14.79,22,13.02,14,8.28,5,2.96,30,17.75,46,27.22,05007
5,8,172,20,11.63,97,56.4,13,7.56,7,4.07,4,2.33,17,9.88,14,8.14,05008
5,9,150,23,15.33,26,17.33,26,17.33,10,6.67,5,3.33,30,20.0,30,20.0,05009
5,10,140,25,17.86,23,16.43,26,18.57,12,8.57,2,1.43,22,15.71,30,21.43,05010
5,11,135,28,20.74,40,29.63,10,7.41,10,7.41,5,3.7,22,16.3,20,14.81,05011
5,12,108,25,23.15,21,19.44,18,16.67,5,4.63,2,1.85,16,14.81,21,19.44,05012
5,13,132,26,19.7,14,10.61,24,18.18,13,9.85,3,2.27,11,8.33,41,31.06,05013
5,14,191,29,15.18,64,33.51,18,9.42,18,9.42,8,4.19,18,9.42,36,18.85,05014
5,15,116,24,20.69,28,24.14,13,11.21,10,8.62,4,3.45,6,5.17,31,26.72,05015
5,16,114,25,21.93,18,15.79,22,19.3,7,6.14,2,1.75,14,12.28,26,22.81,05016
5,17,166,30,18.07,21,12.65,32,19.28,8,4.82,7,4.22,27,16.27,41,24.7,05017
5,18,160,33,20.63,17,10.63,31,19.38,10,6.25,4,2.5,34,21.25,31,19.38,05018
5,19,82,11,13.41,10,12.2,18,21.95,6,7.32,4,4.88,13,15.85,20,24.39,05019
5,20,78,18,23.08,10,12.82,17,21.79,6,7.69,2,2.56,13,16.67,12,15.38,05020
5,21,198,45,22.73,26,13.13,41,20.71,9,4.55,3,1.52,11,5.56,63,31.82,05021
5,22,152,35,23.03,19,12.5,31,20.39,8,5.26,13,8.55,11,7.24,35,23.03,05022
5,23,116,26,22.41,12,10.34,23,19.83,15,12.93,1,0.86,8,6.9,31,26.72,05023
5,24,155,28,18.06,50,32.26,16,10.32,5,3.23,10,6.45,7,4.52,39,25.16,05024
5,25,166,29,17.47,23,13.86,36,21.69,13,7.83,7,4.22,20,12.05,38,22.89,05025
5,26,169,24,14.2,16,9.47,21,12.43,12,7.1,5,2.96,26,15.38,65,38.46,05026
5,27,135,23,17.04,75,55.56,10,7.41,3,2.22,4,2.96,9,6.67,11,8.15,05027
5,28,163,18,11.04,26,15.95,22,13.5,17,10.43,4,2.45,29,17.79,47,28.83,05028
5,29,169,23,13.61,32,18.93,22,13.02,20,11.83,8,4.73,8,4.73,56,33.14,05029
5,30,136,19,,90,,9,,0,,7,,5,,6,,05030
5,31,129,23,17.83,18,13.95,26,20.16,4,3.1,5,3.88,15,11.63,38,29.46,05031
5,32,253,34,13.44,39,15.42,36,14.23,19,7.51,4,1.58,25,9.88,96,37.94,05032
5,33,135,34,25.19,18,13.33,29,21.48,6,4.44,4,2.96,12,8.89,32,23.7,05033
5,34,158,39,24.68,16,10.13,21,13.29,5,3.16,2,1.27,27,17.09,48,30.38,05034
5,35,119,19,15.97,45,37.82,14,11.76,7,5.88,4,3.36,8,6.72,22,18.49,05035
5,36,82,21,25.61,8,9.76,13,15.85,6,7.32,1,1.22,14,17.07,19,23.17,05036
5,37,125,32,25.6,31,24.8,14,11.2,8,6.4,7,5.6,6,4.8,27,21.6,05037
5,38,156,23,14.74,64,41.03,18,11.54,6,3.85,6,3.85,17,10.9,22,14.1,05038
5,39,169,24,14.2,96,56.8,15,8.88,4,2.37,6,3.55,13,7.69,11,6.51,05039
5,40,138,25,18.12,21,15.22,26,18.84,11,7.97,4,2.9,13,9.42,38,27.54,05040
5,41,90,11,12.22,59,65.56,6,6.67,4,4.44,2,2.22,2,2.22,6,6.67,05041
5,42,174,45,25.86,31,17.82,28,16.09,11,6.32,5,2.87,19,10.92,35,20.11,05042
5,43,183,23,12.57,45,24.59,18,9.84,13,7.1,4,2.19,20,10.93,60,32.79,05043
5,44,190,42,22.11,30,15.79,27,14.21,16,8.42,5,2.63,26,13.68,44,23.16,05044
5,45,98,15,15.31,22,22.45,14,14.29,7,7.14,4,4.08,15,15.31,21,21.43,05045
5,46,150,32,21.33,50,33.33,16,10.67,6,4.0,3,2.0,16,10.67,27,18.0,05046
5,47,115,35,30.43,18,15.65,25,21.74,4,3.48,2,1.74,10,8.7,21,18.26,05047
5,48,90,12,13.33,28,31.11,12,13.33,2,2.22,3,3.33,17,18.89,16,17.78,05048
5,49,32,8,25.0,3,9.38,5,15.63,2,6.25,2,6.25,5,15.63,7,21.88,05049
5,50,110,32,29.09,16,14.55,12,10.91,14,12.73,1,0.91,12,10.91,23,20.91,05050
5,51,105,27,25.71,18,17.14,22,20.95,4,3.81,3,2.86,15,14.29,16,15.24,05051
5,52,17,3,17.65,5,29.41,1,5.88,2,11.76,1,5.88,1,5.88,4,23.53,05052
5,53,177,35,19.77,45,25.42,19,10.73,13,7.34,6,3.39,14,7.91,45,25.42,05053
5,54,222,41,18.47,34,15.32,31,13.96,12,5.41,4,1.8,25,11.26,75,33.78,05054
