ward,precinct,total,Sharon Finegan Patterson,Sharon Finegan Patterson Percent,Pamela E. Hill Veal,Pamela E. Hill Veal Percent,Thomas J. Byrne,Thomas J. Byrne Percent,Siobhán Maura Murphy,Siobhán Maura Murphy Percent,precinct_id
4,9,346,92,26.59,188,54.34,52,15.03,14,4.05,04009
4,10,181,45,24.86,95,52.49,29,16.02,12,6.63,04010
4,11,150,54,36.0,64,42.67,29,19.33,3,2.0,04011
4,12,92,24,26.09,47,51.09,18,19.57,3,3.26,04012
4,13,120,24,20.0,60,50.0,19,15.83,17,14.17,04013
4,14,118,32,27.12,48,40.68,33,27.97,5,4.24,04014
4,15,105,25,23.81,48,45.71,24,22.86,8,7.62,04015
4,16,206,68,33.01,85,41.26,37,17.96,16,7.77,04016
4,17,148,38,25.68,75,50.68,26,17.57,9,6.08,04017
4,18,185,30,16.22,127,68.65,18,9.73,10,5.41,04018
4,19,173,46,26.59,81,46.82,35,20.23,11,6.36,04019
4,20,67,20,29.85,32,47.76,13,19.4,2,2.99,04020
4,21,189,48,25.4,95,50.26,30,15.87,16,8.47,04021
4,22,214,48,22.43,105,49.07,42,19.63,19,8.88,04022
4,23,121,27,22.31,59,48.76,20,16.53,15,12.4,04023
4,24,179,44,24.58,96,53.63,27,15.08,12,6.7,04024
4,25,194,47,24.23,115,59.28,23,11.86,9,4.64,04025
4,26,167,48,28.74,86,51.5,25,14.97,8,4.79,04026
4,27,161,27,16.77,98,60.87,25,15.53,11,6.83,04027
4,28,102,23,22.55,49,48.04,18,17.65,12,11.76,04028
4,29,133,30,22.56,65,48.87,28,21.05,10,7.52,04029
4,30,25,4,16.0,14,56.0,5,20.0,2,8.0,04030
4,31,92,24,26.09,49,53.26,15,16.3,4,4.35,04031
4,32,150,21,14.0,68,45.33,42,28.0,19,12.67,04032
4,33,93,21,22.58,49,52.69,20,21.51,3,3.23,04033
4,34,110,13,11.82,57,51.82,26,23.64,14,12.73,04034
4,35,95,30,31.58,36,37.89,20,21.05,9,9.47,04035
4,36,79,15,18.99,44,55.7,15,18.99,5,6.33,04036
4,37,51,18,35.29,18,35.29,11,21.57,4,7.84,04037
4,38,236,41,17.37,139,58.9,43,18.22,13,5.51,04038
4,39,88,16,18.18,50,56.82,15,17.05,7,7.95,04039
4,40,130,28,21.54,65,50.0,26,20.0,11,8.46,04040
4,41,75,15,20.0,31,41.33,15,20.0,14,18.67,04041
4,42,199,55,27.64,103,51.76,35,17.59,6,3.02,04042
4,43,108,23,21.3,48,44.44,21,19.44,16,14.81,04043
4,44,104,26,25.0,53,50.96,11,10.58,14,13.46,04044
4,45,336,78,23.21,203,60.42,36,10.71,19,5.65,04045
4,46,122,17,13.93,75,61.48,20,16.39,10,8.2,04046
4,47,190,27,14.21,116,61.05,37,19.47,10,5.26,04047
4,48,221,38,17.19,113,51.13,45,20.36,25,11.31,04048
4,49,131,46,35.11,35,26.72,39,29.77,11,8.4,04049
4,50,155,44,28.39,70,45.16,31,20.0,10,6.45,04050
4,51,200,47,23.5,109,54.5,33,16.5,11,5.5,04051
4,52,215,86,40.0,89,41.4,33,15.35,7,3.26,04052
4,53,147,38,25.85,67,45.58,36,24.49,6,4.08,04053
4,54,79,23,29.11,36,45.57,14,17.72,6,7.59,04054
4,55,84,10,11.9,49,58.33,18,21.43,7,8.33,04055
5,1,164,45,27.44,86,52.44,17,10.37,16,9.76,05001
5,2,136,40,29.41,66,48.53,20,14.71,10,7.35,05002
5,3,78,11,14.1,35,44.87,21,26.92,11,14.1,05003
5,4,126,24,19.05,75,59.52,18,14.29,9,7.14,05004
5,5,139,44,31.65,56,40.29,28,20.14,11,7.91,05005
5,6,179,76,42.46,55,30.73,38,21.23,10,5.59,05006
5,7,167,61,36.53,76,45.51,21,12.57,9,5.39,05007
5,8,167,24,14.37,81,48.5,39,23.35,23,13.77,05008
5,9,152,48,31.58,69,45.39,30,19.74,5,3.29,05009
5,10,141,45,31.91,64,45.39,26,18.44,6,4.26,05010
5,11,138,31,22.46,62,44.93,27,19.57,18,13.04,05011
5,12,108,36,33.33,49,45.37,20,18.52,3,2.78,05012
5,13,132,46,34.85,60,45.45,20,15.15,6,4.55,05013
5,14,192,41,21.35,83,43.23,41,21.35,27,14.06,05014
5,15,120,32,26.67,59,49.17,18,15.0,11,9.17,05015
5,16,115,32,27.83,50,43.48,29,25.22,4,3.48,05016
5,17,173,60,34.68,71,41.04,35,20.23,7,4.05,05017
5,18,158,38,24.05,77,48.73,39,24.68,4,2.53,05018
5,19,79,21,26.58,41,51.9,13,16.46,4,5.06,05019
5,20,75,24,32.0,32,42.67,17,22.67,2,2.67,05020
5,21,198,81,40.91,60,30.3,39,19.7,18,9.09,05021
5,22,154,63,40.91,58,37.66,20,12.99,13,8.44,05022
5,23,117,38,32.48,43,36.75,30,25.64,6,5.13,05023
5,24,158,42,26.58,68,43.04,40,25.32,8,5.06,05024
5,25,170,53,31.18,73,42.94,31,18.24,13,7.65,05025
5,26,176,47,26.7,99,56.25,21,11.93,9,5.11,05026
5,27,137,22,16.06,44,32.12,41,29.93,30,21.9,05027
5,28,173,31,17.92,104,60.12,33,19.08,5,2.89,05028
5,29,177,49,27.68,81,45.76,36,20.34,11,6.21,05029
5,30,130,17,13.08,57,43.85,33,25.38,23,17.69,05030
5,31,129,40,31.01,56,43.41,22,17.05,11,8.53,05031
5,32,251,70,27.89,126,50.2,39,15.54,16,6.37,05032
5,33,132,57,43.18,39,29.55,28,21.21,8,6.06,05033
5,34,164,52,31.71,77,46.95,23,14.02,12,7.32,05034
5,35,115,26,22.61,46,40.0,26,22.61,17,14.78,05035
5,36,82,33,40.24,27,32.93,18,21.95,4,4.88,05036
5,37,123,31,25.2,51,41.46,24,19.51,17,13.82,05037
5,38,154,32,20.78,57,37.01,56,36.36,9,5.84,05038
5,39,167,27,16.17,56,33.53,49,29.34,35,20.96,05039
5,40,143,53,37.06,49,34.27,34,23.78,7,4.9,05040
5,41,91,15,16.48,33,36.26,25,27.47,18,19.78,05041
5,42,169,65,38.46,57,33.73,30,17.75,17,10.06,05042
5,43,181,49,27.07,96,53.04,25,13.81,11,6.08,05043
5,44,188,72,38.3,75,39.89,31,16.49,10,5.32,05044
5,45,93,27,29.03,41,44.09,20,21.51,5,5.38,05045
5,46,151,26,17.22,61,40.4,25,16.56,39,25.83,05046
5,47,113,47,41.59,44,38.94,16,14.16,6,5.31,05047
5,48,79,14,17.72,32,40.51,21,26.58,12,15.19,05048
5,49,33,17,,12,,4,,0,,05049
5,50,114,39,34.21,49,42.98,23,20.18,3,2.63,05050
5,51,107,31,28.97,42,39.25,25,23.36,9,8.41,05051
5,52,16,4,25.0,4,25.0,5,31.25,3,18.75,05052
5,53,179,45,25.14,82,45.81,37,20.67,15,8.38,05053
5,54,217,61,28.11,109,50.23,37,17.05,10,4.61,05054
5,55,137,48,35.04,58,42.34,26,18.98,5,3.65,05055
6,1,243,46,18.93,162,66.67,28,11.52,7,2.88,06001
6,2,217,65,29.95,105,48.39,38,17.51,9,4.15,06002
6,3,213,56,26.29,109,51.17,34,15.96,14,6.57,06003
6,4,114,41,35.96,41,35.96,26,22.81,6,5.26,06004
6,5,86,31,36.05,36,41.86,15,17.44,4,4.65,06005
6,6,156,42,26.92,93,59.62,14,8.97,7,4.49,06006
6,7,199,42,21.11,102,51.26,46,23.12,9,4.52,06007
6,8,219,53,24.2,124,56.62,37,16.89,5,2.28,06008
6,9,176,34,19.32,103,58.52,28,15.91,11,6.25,06009
6,10,261,66,25.29,150,57.47,38,14.56,7,2.68,06010
6,11,182,51,28.02,94,51.65,29,15.93,8,4.4,06011
6,12,125,45,36.0,54,43.2,20,16.0,6,4.8,06012
6,13,170,46,27.06,87,51.18,31,18.24,6,3.53,06013
6,14,166,48,28.92,85,51.2,27,16.27,6,3.61,06014
6,15,114,33,28.95,55,48.25,17,14.91,9,7.89,06015
6,16,206,61,29.61,116,56.31,24,11.65,5,2.43,06016
6,17,227,59,25.99,124,54.63,36,15.86,8,3.52,06017
6,18,72,28,38.89,30,41.67,8,11.11,6,8.33,06018
6,19,202,73,36.14,90,44.55,29,14.36,10,4.95,06019
6,20,188,58,30.85,100,53.19,25,13.3,5,2.66,06020
6,21,190,36,18.95,116,61.05,34,17.89,4,2.11,06021
6,22,183,40,21.86,104,56.83,28,15.3,11,6.01,06022
6,23,145,43,29.66,55,37.93,38,26.21,9,6.21,06023
6,24,220,63,28.64,113,51.36,30,13.64,14,6.36,06024
6,25,150,40,26.67,79,52.67,23,15.33,8,5.33,06025
6,26,192,49,25.52,103,53.65,28,14.58,12,6.25,06026
6,27,242,47,19.42,144,59.5,39,16.12,12,4.96,06027
6,28,344,90,26.16,189,54.94,43,12.5,22,6.4,06028
6,29,227,47,20.7,140,61.67,28,12.33,12,5.29,06029
6,30,139,53,38.13,57,41.01,19,13.67,10,7.19,06030
6,31,216,49,22.69,122,56.48,35,16.2,10,4.63,06031
6,32,171,57,33.33,84,49.12,28,16.37,2,1.17,06032
6,33,211,39,18.48,123,58.29,39,18.48,10,4.74,06033
6,34,154,43,27.92,75,48.7,30,19.48,6,3.9,06034
6,35,167,39,23.35,91,54.49,29,17.37,8,4.79,06035
6,36,94,34,36.17,34,36.17,20,21.28,6,6.38,06036
6,37,221,50,22.62,126,57.01,37,16.74,8,3.62,06037
6,38,177,56,31.64,75,42.37,31,17.51,15,8.47,06038
6,39,144,41,28.47,66,45.83,29,20.14,8,5.56,06039
6,40,94,33,35.11,42,44.68,17,18.09,2,2.13,06040
6,41,188,31,16.49,133,70.74,21,11.17,3,1.6,06041
6,42,86,27,31.4,39,45.35,17,19.77,3,3.49,06042
6,43,174,53,30.46,83,47.7,32,18.39,6,3.45,06043
6,44,179,45,25.14,95,53.07,31,17.32,8,4.47,06044
6,45,124,33,26.61,63,50.81,21,16.94,7,5.65,06045
6,46,167,43,25.75,92,55.09,29,17.37,3,1.8,06046
6,47,196,55,28.06,94,47.96,36,18.37,11,5.61,06047
6,48,158,47,29.75,79,50.0,22,13.92,10,6.33,06048
6,49,166,60,36.14,66,39.76,35,21.08,5,3.01,06049
6,50,193,36,18.65,123,63.73,26,13.47,8,4.15,06050
6,51,122,42,34.43,60,49.18,15,12.3,5,4.1,06051
6,52,123,33,26.83,65,52.85,21,17.07,4,3.25,06052
6,53,158,47,29.75,72,45.57,30,18.99,9,5.7,06053
6,54,178,45,25.28,95,53.37,31,17.42,7,3.93,06054
6,55,145,31,21.38,84,57.93,24,16.55,6,4.14,06055
6,56,127,39,30.71,62,48.82,17,13.39,9,7.09,06056
6,57,98,27,27.55,46,46.94,20,20.41,5,5.1,06057
6,58,210,58,27.62,118,56.19,27,12.86,7,3.33,06058
6,59,159,51,32.08,69,43.4,29,18.24,10,6.29,06059
6,60,121,34,28.1,63,52.07,19,15.7,5,4.13,06060
6,61,115,34,29.57,58,50.43,18,15.65,5,4.35,06061
6,62,146,40,27.4,73,50.0,27,18.49,6,4.11,06062
6,63,153,45,29.41,80,52.29,19,12.42,9,5.88,06063
6,64,223,61,27.35,116,52.02,35,15.7,11,4.93,06064
7,1,205,51,24.88,108,52.68,40,19.51,6,2.93,07001
7,2,212,68,32.08,98,46.23,35,16.51,11,5.19,07002
7,3,89,29,32.58,35,39.33,19,21.35,6,6.74,07003
7,4,120,27,22.5,66,55.0,20,16.67,7,5.83,07004
7,5,115,30,26.09,58,50.43,21,18.26,6,5.22,07005
7,6,133,21,15.79,80,60.15,26,19.55,6,4.51,07006
7,7,86,25,29.07,47,54.65,8,9.3,6,6.98,07007
7,8,57,17,29.82,25,43.86,13,22.81,2,3.51,07008
7,9,152,33,21.71,83,54.61,23,15.13,13,8.55,07009
7,10,96,19,19.79,48,50.0,19,19.79,10,10.42,07010
7,11,168,35,20.83,107,63.69,18,10.71,8,4.76,07011
7,12,115,31,26.96,60,52.17,19,16.52,5,4.35,07012
7,13,110,38,34.55,53,48.18,15,13.64,4,3.64,07013
7,14,157,52,33.12,60,38.22,31,19.75,14,8.92,07014
7,15,81,23,28.4,32,39.51,22,27.16,4,4.94,07015
7,16,124,40,32.26,49,39.52,27,21.77,8,6.45,07016
7,17,95,40,42.11,32,33.68,18,18.95,5,5.26,07017
7,18,98,34,34.69,39,39.8,19,19.39,6,6.12,07018
7,19,216,70,32.41,95,43.98,32,14.81,19,8.8,07019
7,20,75,34,45.33,23,30.67,17,22.67,1,1.33,07020
7,21,139,39,28.06,78,56.12,19,13.67,3,2.16,07021
7,22,111,35,31.53,65,58.56,9,8.11,2,1.8,07022
7,23,92,31,33.7,47,51.09,12,13.04,2,2.17,07023
7,24,150,46,30.67,74,49.33,21,14.0,9,6.0,07024
7,25,182,45,24.73,103,56.59,29,15.93,5,2.75,07025
7,26,190,57,30.0,103,54.21,28,14.74,2,1.05,07026
7,27,222,69,31.08,103,46.4,40,18.02,10,4.5,07027
7,28,133,45,33.83,51,38.35,31,23.31,6,4.51,07028
7,29,108,26,24.07,55,50.93,23,21.3,4,3.7,07029
7,30,186,68,36.56,82,44.09,27,14.52,9,4.84,07030
7,31,178,55,30.9,73,41.01,45,25.28,5,2.81,07031
7,32,122,45,36.89,42,34.43,26,21.31,9,7.38,07032
7,33,140,49,35.0,59,42.14,26,18.57,6,4.29,07033
7,34,138,29,21.01,84,60.87,18,13.04,7,5.07,07034
7,35,70,20,28.57,25,35.71,17,24.29,8,11.43,07035
7,36,209,49,23.44,107,51.2,38,18.18,15,7.18,07036
7,37,63,16,25.4,28,44.44,13,20.63,6,9.52,07037
7,38,118,31,26.27,59,50.0,23,19.49,5,4.24,07038
7,39,120,41,34.17,53,44.17,19,15.83,7,5.83,07039
7,40,153,46,30.07,56,36.6,35,22.88,16,10.46,07040
7,41,123,40,32.52,49,39.84,23,18.7,11,8.94,07041
7,42,208,62,29.81,97,46.63,38,18.27,11,5.29,07042
7,43,156,44,28.21,74,47.44,34,21.79,4,2.56,07043
7,44,183,56,30.6,83,45.36,32,17.49,12,6.56,07044
7,45,239,72,30.13,129,53.97,31,12.97,7,2.93,07045
7,46,77,38,49.35,25,32.47,9,11.69,5,6.49,07046
7,47,130,31,23.85,62,47.69,28,21.54,9,6.92,07047
7,48,59,19,32.2,23,38.98,12,20.34,5,8.47,07048
7,49,92,28,30.43,42,45.65,18,19.57,4,4.35,07049
7,50,96,21,21.88,53,55.21,17,17.71,5,5.21,07050
7,51,153,39,25.49,75,49.02,29,18.95,10,6.54,07051
7,52,112,29,25.89,54,48.21,18,16.07,11,9.82,07052
7,53,130,37,28.46,64,49.23,25,19.23,4,3.08,07053
7,54,53,18,33.96,19,35.85,10,18.87,6,11.32,07054
7,55,132,39,29.55,63,47.73,26,19.7,4,3.03,07055
7,56,100,26,26.0,56,56.0,13,13.0,5,5.0,07056
7,57,126,21,16.67,79,62.7,24,19.05,2,1.59,07057
7,58,214,38,17.76,136,63.55,30,14.02,10,4.67,07058
7,59,75,19,25.33,33,44.0,16,21.33,7,9.33,07059
7,60,100,29,29.0,49,49.0,19,19.0,3,3.0,07060
7,61,158,22,13.92,97,61.39,33,20.89,6,3.8,07061
7,62,144,44,30.56,71,49.31,23,15.97,6,4.17,07062
7,63,108,34,31.48,47,43.52,23,21.3,4,3.7,07063
7,64,119,28,23.53,61,51.26,23,19.33,7,5.88,07064
7,65,143,54,37.76,49,34.27,34,23.78,6,4.2,07065
8,1,207,48,23.19,116,56.04,35,16.91,8,3.86,08001
8,2,97,27,27.84,39,40.21,21,21.65,10,10.31,08002
8,3,243,49,20.16,142,58.44,42,17.28,10,4.12,08003
8,4,180,45,25.0,105,58.33,20,11.11,10,5.56,08004
8,5,243,60,24.69,140,57.61,34,13.99,9,3.7,08005
8,6,192,60,31.25,79,41.15,35,18.23,18,9.38,08006
8,7,130,45,34.62,59,45.38,14,10.77,12,9.23,08007
8,8,231,62,26.84,126,54.55,37,16.02,6,2.6,08008
8,9,251,60,23.9,138,54.98,44,17.53,9,3.59,08009
8,10,249,70,28.11,127,51.0,41,16.47,11,4.42,08010
8,11,164,45,27.44,80,48.78,29,17.68,10,6.1,08011
8,12,153,55,35.95,59,38.56,30,19.61,9,5.88,08012
8,13,128,32,25.0,62,48.44,27,21.09,7,5.47,08013
