ward,precinct,total,Mary Colleen Roberts,Mary Colleen Roberts Percent,Lawrence Andolino,Lawrence Andolino Percent,precinct_id
36,12,80,52,65.0,28,35.0,36012
36,13,284,58,20.42,226,79.58,36013
36,14,175,37,21.14,138,78.86,36014
36,15,120,32,26.67,88,73.33,36015
36,16,247,123,49.8,124,50.2,36016
36,17,125,52,41.6,73,58.4,36017
36,18,165,89,53.94,76,46.06,36018
36,19,143,53,37.06,90,62.94,36019
36,20,153,42,27.45,111,72.55,36020
36,21,208,86,41.35,122,58.65,36021
36,22,175,101,57.71,74,42.29,36022
36,23,88,35,39.77,53,60.23,36023
36,24,140,80,57.14,60,42.86,36024
36,25,85,46,54.12,39,45.88,36025
36,26,123,56,45.53,67,54.47,36026
36,27,71,33,46.48,38,53.52,36027
36,28,129,49,37.98,80,62.02,36028
36,29,112,57,50.89,55,49.11,36029
36,30,144,71,49.31,73,50.69,36030
36,31,140,57,40.71,83,59.29,36031
36,32,120,60,50.0,60,50.0,36032
36,33,135,56,41.48,79,58.52,36033
36,34,94,52,55.32,42,44.68,36034
36,35,183,59,32.24,124,67.76,36035
36,36,102,67,65.69,35,34.31,36036
36,37,84,45,53.57,39,46.43,36037
36,38,78,32,41.03,46,58.97,36038
36,39,118,41,34.75,77,65.25,36039
36,40,119,54,45.38,65,54.62,36040
36,41,87,47,54.02,40,45.98,36041
36,42,94,48,51.06,46,48.94,36042
36,43,82,35,42.68,47,57.32,36043
36,44,171,116,67.84,55,32.16,36044
36,45,168,85,50.6,83,49.4,36045
36,46,98,51,52.04,47,47.96,36046
36,47,106,33,31.13,73,68.87,36047
36,48,106,45,42.45,61,57.55,36048
36,49,134,74,55.22,60,44.78,36049
36,50,130,45,34.62,85,65.38,36050
36,51,165,65,39.39,100,60.61,36051
36,52,105,53,50.48,52,49.52,36052
36,53,94,41,43.62,53,56.38,36053
36,54,175,96,54.86,79,45.14,36054
36,55,233,81,34.76,152,65.24,36055
37,11,39,30,76.92,9,23.08,37011
37,16,151,125,82.78,26,17.22,37016
37,24,141,123,87.23,18,12.77,37024
37,26,151,123,81.46,28,18.54,37026
37,39,40,26,65.0,14,35.0,37039
38,2,79,56,70.89,23,29.11,38002
38,3,76,47,61.84,29,38.16,38003
38,6,95,66,69.47,29,30.53,38006
38,8,73,46,63.01,27,36.99,38008
38,9,82,73,89.02,9,10.98,38009
38,10,70,57,81.43,13,18.57,38010
38,11,63,46,73.02,17,26.98,38011
38,12,122,77,63.11,45,36.89,38012
38,13,68,47,69.12,21,30.88,38013
38,14,84,61,72.62,23,27.38,38014
38,15,78,57,73.08,21,26.92,38015
38,16,115,81,70.43,34,29.57,38016
38,17,97,71,73.2,26,26.8,38017
38,18,117,79,67.52,38,32.48,38018
38,19,136,90,66.18,46,33.82,38019
38,20,113,91,80.53,22,19.47,38020
38,21,91,64,70.33,27,29.67,38021
38,22,100,75,75.0,25,25.0,38022
38,23,65,47,72.31,18,27.69,38023
38,24,62,39,62.9,23,37.1,38024
38,25,88,50,56.82,38,43.18,38025
38,26,66,46,69.7,20,30.3,38026
38,27,65,49,75.38,16,24.62,38027
38,28,82,56,68.29,26,31.71,38028
38,29,90,73,81.11,17,18.89,38029
38,30,84,61,72.62,23,27.38,38030
38,31,119,79,66.39,40,33.61,38031
38,32,107,81,75.7,26,24.3,38032
38,33,86,60,69.77,26,30.23,38033
38,34,64,35,54.69,29,45.31,38034
38,35,110,72,65.45,38,34.55,38035
38,36,98,69,70.41,29,29.59,38036
38,37,98,75,76.53,23,23.47,38037
38,38,129,90,69.77,39,30.23,38038
38,39,93,64,68.82,29,31.18,38039
38,40,89,63,70.79,26,29.21,38040
38,43,113,87,76.99,26,23.01,38043
38,44,99,69,69.7,30,30.3,38044
38,45,99,77,77.78,22,22.22,38045
38,46,88,56,63.64,32,36.36,38046
38,47,87,55,63.22,32,36.78,38047
38,48,106,84,79.25,22,20.75,38048
38,49,78,46,58.97,32,41.03,38049
38,50,111,88,79.28,23,20.72,38050
38,51,70,63,90.0,7,10.0,38051
38,52,108,78,72.22,30,27.78,38052
38,53,25,17,68.0,8,32.0,38053
41,25,42,26,61.9,16,38.1,41025
41,26,62,32,51.61,30,48.39,41026
41,27,30,21,70.0,9,30.0,41027
41,28,98,74,75.51,24,24.49,41028
41,29,43,32,74.42,11,25.58,41029
41,48,69,44,63.77,25,36.23,41048
45,1,71,57,80.28,14,19.72,45001
45,20,33,20,60.61,13,39.39,45020
